Speaker,Chinese Traditional (CHT)
Ushiromiya Eva,「我說你啊？！對小緣壽出的這是什麼題嘛！出之前就不能好好選選嗎？！」
Kanon,「因為我從繪羽夫人那裡，已經得到了可以隨意出難題的許可了。」
Ushiromiya Ange,「……是啊。繪羽姑母你自己這麼說的。所以就被出了我懂不了的問題。」
Ushiromiya Eva,「唔、唔咕咕咕咕咕咕咕咕……！！對，……對不起啊，小緣壽…」
,繪羽姑母苦笑著合掌道歉。
,因為太難了我完全不明白……。
Kanon,「………答對了。」
Ushiromiya Ange,「好厲害啊，繪羽姑母。為什麼？！為什麼是 78 枚呢？！明明是比金獎更高的獎，為什麼獎金會比金獎少？！」
Ushiromiya Eva,「這個獎金的枚數啊，是各自獎的原子序數。銅是 29 號，銀是 47 號，金是 79 號。然後鉑（白金）是 78 號。所以，白金獎的獎金是金幣 78 枚。」
Ushiromiya Ange,「誒，……繪羽姑母，真厲害！！」
,曾經聽爸爸說過，繪羽姑母很熱愛學習，在學生時代頭腦就很好。
,她的兒子讓治哥哥也很聰明，繪羽姑母真的是很厲害。
Ushiromiya Eva,「這問題還真過分呢。至少也要出個小緣壽能會的問題啊。」
Kanon,「因為繪羽夫人您已經下達了，隨意出難題的許可。」
Ushiromiya Ange,「……是啊。繪羽姑母你自己這麼說的。所以就出了緣壽不會的問題。」
Ushiromiya Eva,「唔、唔咕咕咕……。是、是我的責任嗎。對不起啊，小緣壽…。不過嘛，既然得到了金幣就原諒我吧。」
,又得到了一枚金幣。到現在已經多少枚了呢？{n}不過我還要攢更多。這次找紗音出題吧。
Shannon,「我出的問題並不是很難，所以請放心吧。」
Kanon,「因為是姐姐的思考水平嘛。」
Shannon,「別，別把我當笨蛋…！那，嘉音君也要挑戰試試麼？」
Kanon,「正如我願。」
Ushiromiya Eva,「這次好像是小緣壽能會的問題了。姑母就來出提示吧。」
Ushiromiya Ange,「嗯，我會加油。解開。攢金幣。」
Shannon,「那麼我就說了。請聽好…」
Ushiromiya Ange,「不太明白。英文字母…？」
Kanon,「……大概是把各自的名稱標成注音，然後再取第一個字母吧。」
Ushiromiya Eva,「我一開始也是這麼想的。甜納豆是 T，咸仙貝是 X。都是注音的第一個字母。但是之後，咖喱飯的 L 和黑咖啡的 K 就不理解了。」
Shannon,「呵呵呵呵。您明白了嗎？」
Ushiromiya Ange,「還有別的提示嗎？」
Shannon,「有的。告訴您其它食物的英文字母吧。首先，T＝杏仁巧克力。X＝檸檬冰糕。L＝辣白菜。K＝苦綠茶。呵呵呵呵……」
Ushiromiya Eva,「真弄不明白……。像是首字母，但有的又明顯不是……」
Ushiromiya Ange,「……緣壽喜歡 T 字母的食物。奶油泡芙和蛋糕也都是 T 嗎？」
Shannon,「是的，都是。」
Kanon,「這樣的話，果然不是注音的第一個字母呢…」
Ushiromiya Eva,「什麼意思？T 這組是什麼？甜納豆和杏仁巧克力是吧。甜點？零食？X 是咸仙貝和檸檬冰糕？L 是咖喱和辣白菜，K 是咖啡和綠茶？這是，怎麼個組合？？」
Ushiromiya Ange,「……好像有點懂，又有點不懂，……好像更奇怪了。」
Shannon,「那麼這是最後的提示。各位可曾喝過檸檬水嗎？」
Ushiromiya Ange,「喝過。一開始還以為是甜果汁，結果大吃一驚。再也不要喝了。」
Ushiromiya Eva,「…………啊，……我知道了！小緣壽，謝謝你。多虧了你，我大概已經知道答案了！」
Shannon,「要投降嗎？嘉音君呢？」
Kanon,「……不明白。……好像明白但又不明白…」
Ushiromiya Ange,「嗯。明明感覺各自的組合都是有意義的，但就差最後一步。」
Ushiromiya Eva,「這是，……指味道嗎？」
Shannon,「對，是這樣的。緣壽小姐和嘉音君都還沒有察覺到嗎？」
Ushiromiya Ange,「不知道。繪羽姑母，怎麼回事？告訴我。」
Ushiromiya Eva,「T 這一組都是甜的食物對吧？那，X 呢？L 呢？」
Kanon,「………是嗎，原來是這樣……。對姐姐你來說，還真行…」
Shannon,「快點對把姐姐當笨蛋一事道歉吧？不然的話嘉音君的飯就都給做成 X 和 K 的。」
Ushiromiya Eva,「X 還好，都是 K 可夠難受的。」
,最後，嘉音為了避免吃到 K 料理，只得向紗音謝罪。
,只有緣壽還不知道正確答案。
,再想也不是辦法。
,重新打起精神，挑戰下一個問題吧。
Ushiromiya Eva,「來，小緣壽。想想這些食物的味道吧？！甜納豆的味道是？」
Ushiromiya Ange,「甜的。」
Ushiromiya Eva,「咸仙貝的味道呢？」
Ushiromiya Ange,「咸的。」
Ushiromiya Eva,「咖喱飯呢？還有黑咖啡呢？！」
Kanon,「……原來如此，是這樣啊……」
Ushiromiya Ange,「咖喱是辣的。咖啡是苦的呀。……什麼意思？英文字母是指味道麼？」
Ushiromiya Eva,「沒錯！甜標拼音的話開頭字母是 T。X 是咸，辣是 L，苦是 K！那麼，檸檬水的味道是？」
Ushiromiya Ange,「酸的！」
Ushiromiya Eva,「就是這樣！酸的拼音首字母就是，S！檸檬水的答案就是 S 了！」
Shannon,「是，您答對了。恭喜，繪羽夫人，緣壽小姐。」
Ushiromiya Ange,「繪羽姑母，好厲害好厲害！！」
Ushiromiya Eva,「這是咱們兩人一起努力解開的。是兩個人的成果喲。」
Shannon,「這個是我的金幣。請收下吧。」
Ushiromiya Ange,「好耶，又得到 1 枚金幣了。謝謝！」
Shannon,「嘉音君明白沒？很難吧。」
Kanon,「…………對姐姐來說，還真行…」
Shannon,「快點對把姐姐當笨蛋一事道歉吧？不然的話嘉音君的飯就都給做成 X 和 K 的。」
Ushiromiya Eva,「X 還好，都是 K 可夠難受的。」
Ushiromiya Ange,「緣壽只要 T 的。」
Ushiromiya Eva,「那樣可是會得蛀牙的喲？不過要是來姑母家玩的話，我就給你準備好多好多讓你吃個夠。」
Ushiromiya Ange,「哇！！最喜歡姑母了！！」
,結果，嘉音為了避免吃到 K 料理，不得不向紗音謝罪…。
Shannon,「這樣，我們的問題就都出完了。二位還算開心嗎…？」
Ushiromiya Ange,「嗯。謝謝你們！」
Kanon,「其餘諸位一定也準備了很難的題。還請多多注意。」
Ushiromiya Eva,「是呢。剩下的都是不好對付的人了。」
Ushiromiya Ange,「就算如此也要贏！和繪羽姑母在一起的話一定會贏…！」
Ushiromiya Eva,「是啊。集合咱們兩人的智慧，一起加油吧！」
Shannon,「請慢走。多加油啊。」
,紗音和嘉音，推著餐車回到了廚房。
,餐廳中充滿了熱鬧和開心的氣氛，但是這樣走在走廊上，還是會想起今夜在下雨，風也十分強烈。
,不過，他們認為這樣就好。
,道別的派對，就應該是要暫時忘記寂寞的風雨，熱熱鬧鬧地度過才對。
Shannon,「………這樣，漫長的遊戲，就要結束了呢…」
Kanon,「這樣就輕鬆了。……我們總算，不會再成為誰的玩具了。……真想安靜地被遺忘，被灰塵掩埋消失呢。」
Shannon,「不是的。我們不會被灰塵掩埋而消失。」
Kanon,「…………………」
Shannon,「被關閉的貓箱世界中，無人知曉的，屬於我們的未來還會繼續。」
Kanon,「………是啊。……對不起。那是我們也不了解的世界，……所以忘記了。」
Shannon,「我們在貓箱的世界裡，會編織出怎樣的未來呢。」
Kanon,「就因為不知道，才叫做貓箱不是嗎。」
Shannon,「…………也是呢。」
Kanon,「姐姐還有什麼留戀嗎。………比如讓治少爺的事。」
Shannon,「…………………………」
Kanon,「姐姐只能從讓治少爺那裡得到戒指，此後的事都做不到。…不能結婚，不能夫妻偕老，什麼都不能。」
Shannon,「要將之實現的，不就是貓箱之中的，我們的未來嗎。……而且不僅是我啊。嘉音君也是一樣。朱志香小姐和嘉音君的未來，對吧。」
Kanon,「………我……」
Shannon,「也可能會有，我放棄和讓治少爺的婚約，無法離開島的未來喲。在那個世界，嘉音君就不用再顧忌我的事了。………可以和小姐一起謳歌青春。」
Kanon,「……如果姐姐放棄和讓治少爺之間的婚約的話，說不定也會有這種世界呢。」
Shannon,「所以說。……我與讓治少爺結合的世界。以及你和小姐結合的世界，在貓箱之中兩者不是都能同時存在的嗎。」
Kanon,「………不論多麼矛盾的夢想，都能夠同時存在的世界。」
Shannon,「那是，我們不再做棋子的世界。……所以，既不寂寞，也不悲傷。……儘管現在在此的我，只能觀測到接受讓治少爺的戒指而已。」
,在貓箱中的，我無法觀測到的世界中的我，在那之後一定會編織出幸福的未來的…。
,貓箱是，能夠收納棋子和玩具和夢想的，不可思議的箱子。
,那並不是將我們封閉在裡面的牢籠。
,不如說，貓箱之中才是能夠解放一切的，無限的世界……。
Kanon,「從全部中解放出來，又同時滿足全部的世界。……不過，那個世界的我，不是此時此刻的我。……對此還是讓人有些不甘心。」
Shannon,「………吶，嘉音君。」
Kanon,「什麼……？」
Shannon,「要進行嗎？」
Kanon,「………進行什麼？」
Shannon,「決鬥。」
Kanon,「…………………好嗎？」
Shannon,「我們應該更早作出決斷的。但是，這樣到遊戲結束的最後瞬間也是這樣，一直都拖延著。」
Kanon,「……好啊。……反正是最後的遊戲了。在這最後的最後，………我們應該用自己的雙手，好好地作出個決斷來。」
Shannon,「這樣的話，在貓箱關上之前，我們就能見到未來了。」
Kanon,「………可以。那就這麼辦吧。……用什麼來決定？硬幣？還是說再用槍來…？」
Shannon,「嗯，……那，我們也來個問答大會吧。」
Kanon,「……哈？………姐姐還真是好事者啊。」
Shannon,「那，嗯……，第一問。」
Ushiromiya Maria,「唧嘻嘻嘻嘻嘻嘻嘻嘻！要給緣壽出超級難的題喲！用我最得意的難題欺負你，絕對不會給你金幣的！」
Ushiromiya Ange,「我會解開的，絕對，會解開的…！」
,真里亞和緣壽眼神一對，馬上就開始吵架。
,年齡相近的這兩人，關係特別好的同時，也經常會吵架。
,特別是，面對互相競爭這類的遊戲時，總是十分吵鬧。
Ushiromiya Eva,「小真里亞好像知道很多謎語呢。真期待啊。請多指教咯。」
Ushiromiya Maria,「唧嘻嘻嘻嘻，才不出呢。真里亞是壓軸的，要在媽媽之後出！」
Ushiromiya Rosa,「是嗎？那，媽媽就先出了？」
Ushiromiya Maria,「嗚——！」
Ushiromiya Rosa,「那，就由我先出題了。聽好哦？呵呵呵呵。」
Ushiromiya Eva,「嗯——……，這個問題應該不需要提示吧。」
Ushiromiya Rosa,「呵呵，是啊。因為是給小緣壽出的題嘛。對姐姐來說就太簡單了。」
Ushiromiya Ange,「1 個小時有 60 分鐘，往返一次要 8 分鐘……」
Ushiromiya Eva,「加油。小緣壽肯定能解開的。這個問題姑母就不給提示了。」
Ushiromiya Ange,「誒？為什麼不對呢…？！」
Ushiromiya Rosa,「呵呵，對不起啊。可能是個比較讓人討厭的問題吧。」
Ushiromiya Eva,「關鍵是，能帶出幾塊來對吧。」
,……啊啊。好像是個很簡單的錯誤。
,因為之前挑戰過很繞彎的問題，似乎是想得有些太過了。
Ushiromiya Rosa,「那，姑母我的問題就出完了。下一個是真正的真里亞的問題喲。加油啊！」
Ushiromiya Ange,「8 塊…！」
Ushiromiya Rosa,「呵呵，確定嗎？要把黃金運到地面，往返一次需要 8 分鐘的喲？8×8 的話，就超出 60 分鐘了。」
Ushiromiya Ange,「嗯。因為問題是，能帶出多少塊嘛。只要金塊離開房間一步，就算是“帶出”了。」
Ushiromiya Eva,「不愧是小緣壽…！已經被很多問題給鍛鍊出來了呢。」
Ushiromiya Rosa,「就是這樣。往返 7 次 8×7＝56 分鐘。之後剩下 4 分鐘。但是還可以用 3 分鐘回到地下貴賓室，在最後的 1 分鐘把第 8 塊金塊給“帶出來”。」
Ushiromiya Maria,「唧嘻嘻嘻嘻嘻嘻…。緣壽還挺能幹！很棒喲，嗚——。」
Ushiromiya Ange,「我不會輸給真里亞姐姐的。」
Ushiromiya Rosa,「恭喜你。這是我的金幣。那，之後就來挑戰真里亞秘藏的問題吧。」
Ushiromiya Maria,「總算是輪到真里亞了呢。唧嘻嘻嘻嘻，媽媽那個簡單的問題都花了那麼長時間還挺讓人擔心的。緣壽肯定答不出來，肯定答不出！」
Ushiromiya Ange,「還有繪羽姑母在呢，我們兩人來解開！」
Ushiromiya Maria,「唧嘻嘻嘻嘻嘻，不行的不行不行！就算是繪羽姑母也解不出來！因為狼與羊的謎題是非常難的…！」
,真里亞從手提包中，把翻過很多回都有些破損了的，「狼與羊的謎題書」像拿魔導書一般威風地拿了出來。
Ushiromiya Maria,「知道狼與羊的謎題是什麼吧？」
Ushiromiya Ange,「知道啊。都被問了很多回了。」
Ushiromiya Rosa,「是從此岸到彼岸，用船來運載大家的謎題。」
Ushiromiya Eva,「大多都是有著奇怪的規則呢。狼和羊的話，在兩邊的岸上，狼的數量都不能超過羊的數量，是吧？」
Ushiromiya Maria,「對，就是這樣！是要注意著狼得比羊少，還要用船往復將全員送到對岸的謎題…！！但是啊，只有狼和羊的，是最最簡單的單純問題，也就是入門篇的基礎篇的練習問題的程度而已…！！」
Ushiromiya Rosa,「到了上級篇啊，除了狼和羊，還會出現很多別的。很有趣哦。」
Ushiromiya Eva,「………需要用紙記錄的問題嗎？」
Ushiromiya Rosa,「是呢，那樣應該更容易整理。」
Ushiromiya Eva,「這可糟了，……這個問題，似乎會很複雜呢。」
Ushiromiya Maria,「這枚金幣，絕——對，不會給緣壽的！唧嘻嘻嘻嘻嘻嘻嘻嘻！！」
Ushiromiya Ange,「才不會輸給你呢，絕對不會輸啦！！」
Ushiromiya Eva,「等，等一下…。有這麼條件複雜的謎題嗎？！」
Ushiromiya Maria,「只知道狼和羊啊？加上了各種應用的，複雜的謎題可多得是呢！怎樣？緣壽完全不懂吧？！唧嘻嘻嘻嘻嘻嘻！」
Ushiromiya Ange,「給個提示啊，提示！」
Ushiromiya Maria,「好好整理整理吧。船隻能由那 3 個人來划。然後要記住相克。妻子在農夫不在時不能和牧羊人在一起。牧羊人在農夫和妻子不在的時候不能和肉在一起。羊在牧羊人不在的時候不能和蔬菜在一起。牛也是一樣，不過旁邊的人是哪個都 OK。不過，最重要的應該是肉吧？」
Ushiromiya Eva,「……哦哦，原來如此。從船上運下來過後就無法再裝載，並不是說就只能乘一次船吧。」
Ushiromiya Maria,「就是這樣。蔬菜是真正的只能運一次，只要用船把它送到了對岸，就再也無法回來。但是肉只要不從船上下來，就能一直來往於兩岸之間。」
Ushiromiya Ange,「………真夠複雜的。怎麼想都弄不清楚…」
Ushiromiya Eva,「只能寫在紙上仔細整理了。小緣壽有嗎？便簽紙和筆記用品。」
Ushiromiya Maria,「沒用沒用，你們絕對解不開的！還是投降吧？無能就是連思考都是浪費時間啊！唧嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻…！」
Ushiromiya Eva,「這個，真的能解開嗎？不會是那種根本解不開的矛盾問題吧？」
Ushiromiya Maria,「嗚———？誰知道呢？唧——嘻嘻嘻嘻！」
Ushiromiya Maria,「唧嘻嘻嘻嘻嘻嘻嘻嘻！！答錯了！連這都不會嗎？！緣壽你不行啊，唧嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻，啊疼。」
Ushiromiya Rosa,「好了，真里亞。別太得意忘形。」
,對我經過一番煩惱選擇出的答案，真里亞姐姐像決堤一樣笑了出來。
,雖然在被樓座姑母敲頭之後收斂了一下，之後又繼續發出壞笑。
Ushiromiya Eva,「完全想不出啊，這題，難度到底有多少…？」
Ushiromiya Maria,「也就 20 皮克拉左右吧？書上還有很多很多比這更難的問題呢！」
,雖然不知道 20 皮什麼是什麼意思，不過看來這個問題，對真里亞姐姐來說還根本算不上難的…。
,我沮喪地垂下頭。
,真里亞姐姐在被樓座姑母敲頭之前，還在唧嘻嘻嘻嘻嘻嘻地笑著。
Ushiromiya Eva,「真是個過分的問題啊，這真的能解開嗎？比如把東西放到河裡不用船來運而是漂到對岸，或者是讓牛把蔬菜吃掉這樣按 1 人份來運，不會是這種小把戲吧…？」
Ushiromiya Rosa,「這個，誰知道呢。再想也想不出來的話，要不就投降吧…？」
Ushiromiya Maria,「這個可是超難的喲！連媽媽都沒能解開呢！雖然真里亞是一下就解出來了！」
Ushiromiya Rosa,「那，知道了嗎？要多少次才能運送全員到對岸。」
Ushiromiya Eva,「這個，是小把戲或者謎語吧？！肯定不是通常想法解得出來的吧？！」
Ushiromiya Rosa,「才不是呢。聰明的姐姐肯定能明白的。要幾次才能運送全員到對岸。」
Ushiromiya Ange,「我知道了。3 次。」
Ushiromiya Eva,「……誒？3 次？！為什麼…！」
Ushiromiya Ange,「因為。農夫和妻子上船，到對岸妻子下船是 1 次。農夫駕船回去是第 2 次。然後和牧羊人一起到對岸是第 3 次。」
Ushiromiya Eva,「牛和羊呢！肉和蔬菜又怎麼辦啊！」
Ushiromiya Ange,「因為說的是全員啊……？那些又不是人。」
Ushiromiya Eva,「誒，啊，…………」
,繪羽姑母驚訝地張著嘴，而樓座姑母則對我拍手予以祝賀。真里亞姐姐也是，表情很不愉快地咂嘴並拍手。
Ushiromiya Rosa,「答對了。問題中說的是，把全員運送到對岸需要多少次。跟動物以及貨物，從一開始就沒有關係。」
Ushiromiya Maria,「就是因為媽媽老在說全員全員的才會被識破啦。嗚——！」
,大概，樓座姑母是打算把這個作為提示才會重複提到吧。不是這樣的話，我也不會得到靈感。
Ushiromiya Eva,「真是的。被擺了一道啊。這問題太欺負人了呢！」
Ushiromiya Rosa,「來吧，真里亞。要把金幣給小緣壽喲？」
Ushiromiya Maria,「嗚——嗚——嗚……」
,就像不高興的狗一樣嘟囔著，真里亞不情願地交出了金幣。
,把金幣拿了過來，我也像狗一樣開心地歡鬧著。
,在這樣的我的背後微笑著的真里亞姐姐的表情，……真的像個姐姐一樣，開朗舒暢。
Ushiromiya Rosa,「這樣，我們的問題就問完了。下次再一起玩吧。」
Ushiromiya Maria,「那個時候，得準備好特別特別難的，真正難得要命的問題呢…！連我都解不開的那種！」
Ushiromiya Ange,「不要！我再也不和真里亞姐姐玩了…！！」
Ushiromiya Eva,「呵呵。看，小緣壽。你爸爸他們在招手哦，走吧。那過會兒見了，樓座。」
Ushiromiya Rosa,「嗯。再見，小緣壽。還有幾個人沒有出題呢。要加油到最後啊。姐姐你也要多給她幫忙哦。」
Ushiromiya Eva,「那當然。我們已經齊心合力，收集到很多金幣了不是嗎？」
Ushiromiya Ange,「嗯！」
,我們走了出去。
,對面是爸爸他們在招手。
,肯定是想到了很欺負人的問題。
,不過肯定，要比真里亞姐姐的問題簡單多了…！
,真里亞姐姐會欺負人，最討厭了！
Sakutarou,「嗚溜。這種難題欺負人得太過了呀……」
Ushiromiya Maria,「因為，想多和緣壽玩玩嘛。太簡單的問題，立馬就會被解開的喲？」
Sakutarou,「因為真里亞很喜歡緣壽呢。」
Ushiromiya Maria,「是討厭哦？因為她把櫻太郎當作是普通的玩偶來看。」
,真里亞嘴裡是這麼說，但那表情絕對不是和說的一樣。
Sakutarou,「緣壽，要是能幸福就好了…」
Ushiromiya Maria,「能的，一定能。因為，有那麼多人，都在祈願那孩子的幸福。而且戰人還成為了 GM，為了緣壽而進行了最後的遊戲。……得到了這麼多，怎麼可能會不幸福呢。」
Sakutarou,「……不過，就算大家能準備出來幸福，要抓住幸福也只能靠自己啊。」
Ushiromiya Maria,「是啊。那孩子，可不擅長拾起幸福的碎片了。就算想告訴她這些，在 12 年間，那孩子也一直閉耳不聽。……這場遊戲，可能會比戰人所想的，對緣壽來說更難。」
Sakutarou,「………偶覺得，緣壽一定能得到幸福的。」
Ushiromiya Maria,「是啊。……如果這個派對，能讓那孩子打心眼裡感到開心的話。把這個傳達給現在的那孩子就差不多是竭盡全力了。」
,不論給她看什麼魔法，都會說是戲法而不相信的那個緣壽。
,在 12 年後的未來，會繼承最後的貝阿朵莉切之名。
Ushiromiya Maria,「那孩子，曾有一次理解了我的白魔法。」
Sakutarou,「嗯。連偶的事，都理解了。」
Ushiromiya Maria,「召喚出了七姐妹，應該已經理解了魔法。……這樣的她，只對自己不能使用魔法呢。」
{f:5:Beatrice},「相信吧。過去的戰人，也是這樣不是嗎？」
Ushiromiya Maria,「……貝阿朵。」
{f:5:Beatrice},「對人施與魔法很容易。所以讓人相信魔法，也並非有那麼難。最難的就是，對自己施與魔法了。」
Sakutarou,「緣壽能做到這點嗎……」
{f:5:Beatrice},「一定能做到。就連那個戰人，都理解了魔法。他的妹妹，沒理由做不到。」
Ushiromiya Maria,「也是啊。………既有只有孩童才能看到的魔法，……也有成為大人後才能理解的魔法。緣壽現在，就在這夾縫之間。」
{f:5:Beatrice},「失去了孩童的魔法，又無法理解大人的魔法，正處於最艱辛的年齡啊。」
Sakutarou,「這種時候，重要的人們還都不在身邊，……真是太可怜了…」
Ushiromiya Maria,「沒有那樣的事。我們無論何時都在那孩子的身邊。只不過那孩子，不相信這點罷了。」
,緣壽，快點察覺到吧。
,在你的背後有著許多，帶著微笑溫柔地守望著你的人。
,只要你肯回頭看的話，我們就能微笑著，向你說出更多的話來了。
,………黃金魔女同盟的最後的魔女，安琪·貝阿朵莉切。
Ushiromiya Maria,「就算無法到達正確的結局。……我也衷心希望，至少今夜你能感到快樂……」
,要快樂啊，緣壽。
,再見了。
,和你共處的日子，說長不長，說短不短。{n}即便如此對我來說，那也是永恒的回憶………。
Ushiromiya Rudolf,「如何啊，緣壽。金幣收集了多少啦？」
Ushiromiya Ange,「有不少了呢！」
Ushiromiya Eva,「不清楚。之後再好好數數吧！」
Ushiromiya Kyrie,「看起來已經回答過不少問題了啊。」
Ushiromiya Ange,「嗯。等答完爸爸媽媽的問題，應該就剩下堂哥堂姐他們了。」
Ushiromiya Rudolf,「是嗎是嗎。好。來挑戰我們的問題吧！很難的哦～？！」
Ushiromiya Eva,「大家都是這麼說的，不過我們都給解開了對吧——！」
Ushiromiya Ange,「嗯。所以我和繪羽姑母會把金幣拿到手的！」
Ushiromiya Kyrie,「呵呵。真是好氣勢。那，就我先出題吧。」
Ushiromiya Eva,「啊啊，這是典型的說謊者問題呢。姑母我可擅長了。」
Ushiromiya Rudolf,「你擅長的是說謊吧？」
,好厲害。原來爸爸的耳朵可以抻得那麼長。
Ushiromiya Kyrie,「只有 1 人說了真話。而其餘的人都說了謊。所以，有兩個人的主張與真相是相反的意思。」
Ushiromiya Ange,「………還是，不太明白。再給點提示吧。」
Ushiromiya Kyrie,「我的提示就這些了。剩下的去找繪羽姑母商量吧。」
Ushiromiya Ange,「繪羽姑母。」
Ushiromiya Eva,「重點是梨花呢。梨花說美代子撒謊了。也就是說，美代子如果說的是真話那就是梨花說謊，美代子說謊的話梨花說的就是真話。……也就是說，互相矛盾的這兩人中，有一個說了謊，有一個說的肯定是真話。」
Ushiromiya Kyrie,「不愧是繪羽姐。就是這樣。所謂說謊者問題，就是要在互相矛盾的證言之中確定哪一方是真實。這時就可以確定，沙都子說的是謊話了。……呵呵，答案已經出來了吧。」
Ushiromiya Ange,「呃，…………？？？」
Ushiromiya Kyrie,「真遺憾，答錯了。」
Ushiromiya Rudolf,「對緣壽來說還是有點難吧？」
Ushiromiya Ange,「才不是呢，只是稍微搞錯了而已！這次沒問題，這次！所以再給一次機會…！」
Ushiromiya Eva,「真可惜啊，明明就差一點了…」
Ushiromiya Rudolf,「那就，從爸爸的問題這裡挽回吧。那，我就也一樣出說謊者的問題了啊？這次可要答對喲？」
Ushiromiya Ange,「梨花！」
Ushiromiya Eva,「正確！不愧是小緣壽！明明女兒這麼聰明，父親怎麼就那麼愚笨呢！」
Ushiromiya Rudolf,「我愚笨真是不好意思啊。幹的不錯，緣壽！是全部組合到一起來考慮的嗎？」
Ushiromiya Ange,「嗯。如果美代子是年齡最大的，那麼沙都子的話就是真話了。因為只有年齡最大的人才會說真話，所以這是不對的。」
Ushiromiya Kyrie,「就是如此。那麼當沙都子是年齡最大的情況呢？」
Ushiromiya Ange,「那樣的話，說美代子是在說謊的梨花的話就成了真話，也是不對的。所以，只有梨花年齡最大才行。」
Ushiromiya Kyrie,「答得不錯。給，這是我的金幣。恭喜你。」
Ushiromiya Ange,「謝謝你，媽媽。」
Ushiromiya Eva,「下一個是留弗夫了。打算出什麼問題啊？」
Ushiromiya Rudolf,「那我也一樣出說謊者問題吧。這次就來個別出心裁的咯…？」
Ushiromiya Ange,「戴著面具，而且美代子以外的兩人說的不知道是真是假。……這個，好難。」
Ushiromiya Eva,「才不難呢。姑母我已經知道答案了。這個問題比剛才你媽媽出的還要簡單哦？」
Ushiromiya Ange,「為什麼？」
Ushiromiya Eva,「因為美代子以外的兩人說的話無法確信，所以先要找出哪個是美代子。美代子是絕對不會說謊的對吧？」
Ushiromiya Ange,「嗯。美代子不會說謊。」
Ushiromiya Eva,「那麼，就先集中考慮誰是美代子，再重新讀一遍題試試看？肯定馬上就會有靈感的。」
Ushiromiya Ange,「只考慮誰是美代子是吧。嗯，我知道了。」
Ushiromiya Kyrie,「你很乖乖聽繪羽姐的話呢。」
Ushiromiya Ange,「嗯。姑母她又溫柔又聰明，最喜歡了。所以她說的我都聽。」
Ushiromiya Rudolf,「下次讓她吃茄子和青椒的時候，得讓大姐來幫個忙啊？」
Ushiromiya Kyrie,「呵呵呵呵……」
Ushiromiya Rudolf,「很遺憾——！！答錯了。」
Ushiromiya Ange,「誒——？！我弄錯了？弄錯了？！」
Ushiromiya Kyrie,「之後和繪羽姑母一起整理一下吧。很快就能明白了。」
Ushiromiya Eva,「想想看？美代子說的是真話對吧？那麼，說“旁邊的人是美代子”的人可能會是美代子嗎？」
,美代子說的是真話。
,那麼，她就會說自己是美代子。她不可能說別處的人是美代子的。
,……注意到這點的話，就能很簡單地找到美代子了。
,到現在才找到訣竅。真是好遺憾…。
