Speaker,Chinese Traditional (CHT)
Furudo Erika,「還有威爾先生的近況呢。誒，真意外！威爾先生好像炒外匯大賺了一筆，用這筆錢買了不動產，現在就靠不動產收入悠閑自得中…！還說最近開始打羽毛球了。」
{f:5:Bernkastel},「……教練會很嚴厲呢。」
{f:5:Lambdadelta},「肯定屁股都腫起來了。」
{f:5:Bernkastel},「那，德拉諾爾呢？」
Furudo Erika,「還是老樣子，蓋章和蓋章和已決定印章和確認印章和，偶爾也會有簽字的日子。」
Furudo Erika,「還寫著自己會親自出動的，請務必在她的管區裡引發案件。」
{f:5:Bernkastel},「給她弄一起吧？案件。」
{f:5:Lambdadelta},「所謂偵探去的地方就會有案件嘛。」
Furudo Erika,「嘛，到時候再說。有興趣的話就去欺負她好了。啊啊，還寫了謝絲塔姐妹兵們的事。」
{f:5:Bernkastel},「………等等。我不想一次聽完。得稍微擺點架子。……來，完成了。」
{f:5:Lambdadelta},「啊啊，終於右手復活了！下一個，左手拜託你了！」
{f:5:Bernkastel},「在那之前先喝茶吧。……繪梨花，去準備紅茶罐子和梅乾的壺。」
Furudo Erika,「是，我主！」
,航海者的魔女們，結束了一趟旅程，在讓她們的翅膀歇息。
,為了尋找下一個碎片，開始新的旅程。
,現在就先享受著紅茶的香味，稍事休息……。
{f:5:Lambdadelta},「下次去哪裡？」
{f:5:Bernkastel},「……你往北走的話我就往南。」
{f:5:Lambdadelta},「那，貝倫去東邊的話，我就去西邊。」
{f:5:Bernkastel},「……要是，還能找到這樣愉快的故事就好了。」
{f:5:Lambdadelta},「下次，貝倫要不是被憎恨的那邊就好了呢——」
{f:5:Bernkastel},「啊啦。演壞人也很有趣哦。」
{f:5:Lambdadelta},「……下次，會找到什麼樣的故事呢。」
{f:5:Bernkastel},「然後，會在怎樣的故事中再會呢。」
{f:5:Lambdadelta},「對相愛的兩人來說，碎片之海是很狹窄的。」
{f:5:Bernkastel},「《天堂之子》。」
{f:5:Lambdadelta},「碎片之海可廣大了。」
{f:5:Bernkastel},「《殻中幽靈》。」
{f:5:Lambdadelta},「總能再會的。還在什麼的鳴泣之時裡。」
{f:5:Bernkastel},「………挺好嘛。就這樣吧。」
,{a:c:「「總能再會的。還在什麼的鳴泣之時裡。」」}
,{a:c:啊哈哈哈哈哈哈哈哈哈哈哈哈……。}
,{a:c:魔女們快樂的聲音逐漸遠去。}
,{a:c:再見了，各位。{n}還在什麼的，鳴泣之時裡。}
