Speaker,PS3 Japanese - Censored (JPC)
,……空振りさせ、悔しがる自分たちをどこかで見ていて、嘲笑っているに決まっている。……あいつはそういうヤツなのだ。
,そういう目で見ていたから、嘉音が一番最初に見つけられた。…他の二人は人影を探すことに集中していたから気付けなかったのだ。
,サイドテーブルの上の水差しの脇に、便箋が一枚置かれていた。短いメッセージと、それを書いたのだろう万年筆が添えられている…。
,嘉音は魔女を理解していた。６人の死体を見つけて、怒りに駆られてここへ押し掛け、姿を見つけられない自分たちを、必ず魔女は嘲る。
,……嘲りは、それを伝えなければ成立しない。{n}だからつまり、…これはきっと、それ…！
Kanon,「……お嬢様。………ここに何か書かれています」
Ushiromiya Jessica,「書かれてるって、何だ？！」
,朱志香はズカズカと早足にやって来ると、便箋を乱暴に奪った。
,……本人に乱暴なつもりはないのだろう。{n}…今は力の加減ができないだけだ。
Ushiromiya Jessica,「………何だとぉ…？！　な、舐めやがってッ！！！」
,メッセージを読んだ途端、朱志香は激しく怒り、便箋をぐしゃぐしゃに丸めて叩きつける。
,そして、ベッドサイドにあったインテリアスタンドを掴むと、それを乱暴に振り回して、それを壁や家具にひたすら叩き付けた。
,…たちまち電球が破裂しその破片を辺りにばら撒いた。
Gohda Toshiro,「お嬢様、気をお静め下さい…！　お怪我をなさいます！！」
Ushiromiya Jessica,「離せよッ！！　畜生畜生ォ！　出て来やがれベアトリーチェッ！！　よくも父さんと母さんをッ！！　そんなに私が怖ぇかよッ！！　殺してやる殺してやる！！　ブッ殺してやるから姿を現しやがれッ！！！　だから離せって言ってんだろッ、くっそおおおおおぉおぉお！！」
,便箋にはこう書かれていた…。
{f:5:Beatrice},{e:070:“私がぬくぬくとここで、貴方が飛び込んでくるのを待ち呆けるとでも？{n}知的な夜に、粗暴なる貴方は似合わない。{n}こんな間抜けに育てた親はどんな顔？{n}うん、見たよ、本当にそっくりな間抜け面。{n}今はお菓子の国でお腹いっぱい！”}
,……あの魔女なら書きそうなことだ…。……両親を失った子どもの誰かがここへ駆け込んでくるだろうことはお見通しだったというわけだ。
,…もし、この部屋のどこかに隠れているのならば、今頃、腹を抱えて転げ回っているに違いない…。
,あの魔女はそういうヤツ。{n}…人の不幸を嘲笑い、千年の退屈しのぎをする…！
Gohda Toshiro,「これはお渡し下さい…！　お怪我をなさいますと申し上げております…！　………んんん、……んん！！」
Ushiromiya Jessica,「離せって言ってんだよ！！　くそおぉおおくそおおおッ！！　……あぅッ！」
,郷田は、朱志香の振り回すインテリアスタンドを取り上げる。
,…これ以上、振り回せば、どこかにぶつけて怪我をするかもしれないからだ。
,…郷田の目には、朱志香が怒りに我を忘れ、憤怒の炎で己を焦がしているに違いないと映ったのだろう。
,……しかし、嘉音の目には違って見えた。
,それは多分、怒りに隠した、悲しみの涙…。
,だから。
,インテリアスタンドを取り上げられた途端、朱志香が床に、まるで這いつくばるようにしながら、絨毯を掻き毟って泣き出した時。
,……郷田は驚くが、嘉音は驚かなかった。
,……怒りを振り回すという泣き方を奪われたのだから、…それは必然なのだ。
Ushiromiya Jessica,「うううううぅううぅ、わああああああぁああぁあああああ！！　父さん……、母さん……、うわああぁああああああぁあぁぁうううぅ！！」
,…それは、……右代宮本家の令嬢を思えば、…あまりにみすぼらしい姿。
,……絨毯を爪で掻き毟り、足でもがくように掻く。
,朱志香は強く強く、涙を流す。…でないと、再び怒りが込み上げてきて、自分を飲み込んでしまいそうだから。
,しかし、その度にあの便箋の屈辱のメッセージが蘇るのだ…。
,……こんな間抜けに育てた親はどんな顔？
Ushiromiya Jessica,「間抜けなんかじゃないッ！！　父さんも母さんも、頭が良かった！！　私なんかとは違う、本当に頭が良かったッ！！　間抜けなんかじゃないぃ！　取り消せ、取り消せッ！！」
,うん、見たよ、本当にそっくりな間抜け面。{n}今はお菓子の国でお腹いっぱい！！
Ushiromiya Jessica,「うおおおぉおおおお、畜ッ生ォオオ！！！　殺してやる殺してやる、野郎の腹を裂いて同じ目に遭わせてやるッ！！　ううわぁああああああぁああぁああ、わぁああああああぁああああああぁ……！！！　ぅっく、ゲホゲホ、ゴホンゴホンゴホンッ！！！」
,泣き喚く朱志香は、喘息の発作を起こしてしまう…。見守っていた使用人たちは慌てて駆け寄り、その背中を撫でたが、それは朱志香の逆鱗に触れるだけだった…。
Ushiromiya Jessica,「ゲホンゴホン！！　んだよッ！！　そんなことする暇があったら、あいつを探せよッ！！　探し出して私のところへ連れて来いッ！！」
Ushiromiya Jessica,「お前らが行かないなら私が探す！！　そしてこの手で殺してやる、腹を引き裂いてやる！！」
Ushiromiya Jessica,「ゲホゲホゴホゴホ！！　がはッ、げはッ！！　触るんじゃねぇぜッ！！！　ちくしょぉ…、ちくしょぉ、ゲホゲホン！！　ゴホゲホンッ！！」
,朱志香はよろよろと立ち上がると、喘息を繰り返しながら廊下に出て行く…。
Gohda Toshiro,「お嬢様、お薬を至急…！　南條先生をお呼びします！」
Kanon,「……………郷田さん。………僕に、任せてくれませんか」
,嘉音は察した。………歳が大きく離れた郷田には多分、…朱志香の心の涙が感じられない。
,……それを察した自分が、彼女を支えなければならないのだ。
Gohda Toshiro,「か、嘉音さん。…………いいのですか…？」
Kanon,「………今のお嬢様には、…涙を流す時間も必要なのだと思います。…………ご両親の、あんな死に方を目の当たりにしては…」
Gohda Toshiro,「………………………………。…そうですね」
,郷田も理解する。……そして、朱志香と嘉音の二人が、ささやかな交流を持っていることも知っていた。
,だから、全てを理解し、任せる。
Gohda Toshiro,「………わかりました。……私は楼座さまのところへ戻ります。…お嬢様を、くれぐれもよろしくお願いしますよ」
Kanon,「はい。……お任せを」
,嘉音は弱々しい声だったけれど、……力強く頷く。{n}その目を見て、郷田も同じように力強く頷いた。
,…郷田も長い年季を持つベテランだ。大勢の人間を見てきた。…だから、克己した人間の目に浮かぶ力強い輝きを知っていた。
,それが嘉音の目に浮かんだのを確かに見た。{n}……だから、嘉音にこの場を任せるのだ。
,…思えば、郷田が嘉音に信頼して仕事を任せた、初めての瞬間だったかもしれない…。
,朱志香は喘息に苦しみながら、…壁にもたれかかりつつも、自分の部屋に向かっているようだった。
,……嘉音は無言でその後を追う。
,手を貸せといわれれば、飛んでいって支える。…しかし朱志香がそれを求めない限り気配を殺し、いつでも助けられる距離にいて、彼女を見守った。
,……心が張り裂けそうなほど悲しい時、誰かがそこにいてくれたらと、百億の人々が振り返る時、居て欲しい場所に嘉音はいながら朱志香の背中を無言で見守った…。
,そしてとうとう、自分の部屋の扉の前でうずくまってしまう。
,……喘息の発作は、全身の体力を奪う。そして酸欠になった頭は朦朧とし、もはや立ち上がることもできないのだ。
,……でも、今の朱志香は誰かに手を貸されたいとは思っていない。なぜなら、怒りの炎にまだ打ち勝てていなかったから。
,…もし、差し伸べてくれる手が善意であっても、今の朱志香はその手を掴み引き裂いてしまいたくなるだろうから。
,…そしてそれがあまりに理不尽なことだと理解していたから。…怒りの炎に打ち勝てるまで、彼女は決して助けを求めなかった。
,朱志香はもはや助けを口にする気力もなかっただろう。
,……でも、嘉音は聞いた。…確かに聞いた。
,……世界中で悲哀に嘆く人々が、なぜこれほどに叫んでいるのに誰も聞こえてくれないのかと嘆くその声なき助けを、確かに嘉音は聞いた。
,嘉音はそっと朱志香の脇に跪き、無言で肩を貸した。
,……朱志香は苦しい咳を繰り返しながらも、それを借り、………自分の部屋の鍵を開け、入る…。
Kanon,「…………こちらへ。……………今、お薬をご用意します」
Ushiromiya Jessica,「………………ごほんごほんごほん…！　………くッ、………ゲヘガハゴホッ…！！」
,朱志香はよく、喘息をし尽くすと胃袋丸ごとを吐き出しそうになるような苦しみになると口にしていた。
,顔色は蒼白で、目の焦点も定まっていなかった。{n}なのに咳だけはまだ繰り返している…。
,……それでも多分、…それよりも悲しみの方が勝っているのだ…。
,ベッドに腰掛けさせると、嘉音はベッド脇のサイドテーブルの上にある可愛い篭の中から気管支拡張剤を取り、手渡した。
,……朱志香は時折、薬を持ち歩くのを忘れる。
,そんな気配のある時には、気を利かせて、使用人室の救急箱にある予備をこっそり持ち歩くのだが、今日はその準備がなかった。
,……こんな日に持ち歩かなくて、どうして自分は家具などと言えるのかと自分を責めた。
,………そして、それを口にし、朱志香の何かの気持ちを裏切った日を思い出して、…嘉音の心が軋んだが、……それは今の朱志香の悲しみに比べればはるかに不謹慎な感情だと思い、心の奥底に押し止める…。
Ushiromiya Jessica,「………はぁ、………はぁ…。……………………はぁ…」
,薬を吸引すると、朱志香の荒い呼吸は少しずつ和らぎ、…ようやく落ち着きを取り戻す。
,………しかし、失った気力と体力は、彼女をベッドから起き上がらせるほどではなかった。
Kanon,「…………………大丈夫ですか。……お嬢様」
Ushiromiya Jessica,「…………私は、………大丈夫だぜ…。………父さんと母さんは駄目だけど、………私は、……もうちょっと泣きゃ、………大丈夫だぜ…………」
Kanon,「……………………」
,嘉音は失言を悔いる。
,……今の彼女に、「大丈夫か」？{n}…何て自分は心の痛みを読めないのか。
,…………だから、所詮は家具。{n}だから人間になれない…。
Kanon,「………………廊下におります。…御用がありましたら、すぐにお呼び下さい」
,彼女には、ひとりで涙を流す時間がまだ必要であると嘉音は理解する。
,嘉音はいつでも呼べと告げ、一礼してから退室しようとする。
Ushiromiya Jessica,「……ぁ、……………」
Kanon,「……何か」
,朱志香が呼び止めるような声を出したので、嘉音は足を止めた。
,………彼女が求めるならば、どんな助けにもなろうと思った。
,…彼女の心の痛みが癒せるなら、今の僕は杖にも椅子にもなるだろう。
,………そうすることで、……あの日に与えた心の痛みの代償となるのなら…。
Ushiromiya Jessica,「……………………………………」
,…朱志香はしばらくの間、嘉音の目をじっと見つめていた。{n}……呼び止めたものの、何も口にすることがない、という風だった。
Kanon,「……………………………」
Ushiromiya Jessica,「………………………」
,しばらくの間、無言。…………その沈黙は、朱志香が破った。…小声で。
Ushiromiya Jessica,「………ごめん。………何でもないぜ。……………しばらくひとりになりたいって、楼座叔母さんに伝えてくれるかな…」
Kanon,「ひとりには…、しません」
Ushiromiya Jessica,「……………………え…」
Kanon,「あなたを、…僕はひとりにしない。………………だから、廊下にいます。…いつでも、……呼んで下さい」
,朱志香は一瞬だけ、確かに瞳に何かの希望を浮かべた。
,…でもそれはとても儚く、初雪が川面に消えるように、すっ…と消える。
Ushiromiya Jessica,「……ありがとな。………………しばらくだけ、ひとりで泣かせてくれ…」
Kanon,「…………はい。……………失礼します」
,嘉音は頭をもう一度下げ、扉を閉める…。
,………彼女を勇気付けるため、言葉をかけたはずだった。{n}…………でも、なぜかそれは、かえって傷つけた気がした。
,…なぜ？　………わからない。{n}……それはきっと、………………自分が、家具だから。
,だから未だに、人の悲しみが、…汲み取れない。
,嘉音は自問を繰り返しながら、廊下を歩く。………突き当たりの窓が、涼しげに自分を誘っている気がした。
Kanon,「…………………………。……僕は、………やっぱり家具でしかないのか……」
,外は相変わらずの土砂降りで、薄暗い灰色の世界だった。
,…今日のような天気の日にも、紗音はきっと海を見て青さを知るのだろう。
,……だが僕の目にはきっと、たとえ晴れていても灰色に見えている…。
,海の青さがわからない限り、……僕は人の形を似せた、家具でしかない………。
{f:5:Beatrice},「…………………本当に女心のわからぬヤツよ。…あぁいう時は、黙って側にいるのが正解だ。…くっくっくっく、だからゆえに貴様は家具なのよ」
Kanon,「き、…………貴様ッ……、」
,この廊下に人の気配などあったはずもない。{n}冷たい空気に満たされた無人の廊下だった。{n}………しかし嘉音の背中に、その嘲りの言葉は掛けられた。
,振り返れば、……そこにはあの魔女の姿があった。{n}朱志香が身を焦がすほどの怒りでその姿を求めたのに見せず、嘲笑する手紙を残して弄んだ、その魔女の姿が…！
{f:5:Beatrice},「女の傷付け方は３つある。…特別に妾が教えてやろう。１つは刃物で傷つける。１つは心で傷つける」
{f:5:Beatrice},「…そして最後が一番難しく、一番効果的に傷付けられる。なのに意識せずして傷付けられる。わかるか…？」
Kanon,「わ、……わかるわけもないし、知りたくもないッ！！」
{f:5:Beatrice},「期待を裏切る、だ。……女ほど夢見がちな生き物はいない！　勝手に夢を見、勝手に傷付く。……お前のような距離の男が一番女を傷付ける！　わかるまいな、貴様には。どれほど朱志香を傷付けてきたか、まったく考えが及んでいまい」
{f:5:Beatrice},「……家具だからッ！　くっくくくくくくくくくくく！」
Kanon,「お、お前の戯言に付き合う気は毛頭ない！　……僕を嘲笑うためだけに姿を現したというのか！！」
{f:5:Beatrice},「自惚れるな家具。貴様如き、嘲笑うにも足りぬわ！」
{f:5:Beatrice},「くっくっくっく！　しかしそなたもひとりではそれに値しなくても、二人揃えば充分に足りる。……若々しき男女の悲運を笑う喜びは何度繰り返しても飽きぬのでな」
Kanon,「何だと…。………ま、…まさか貴様、……お嬢様を……」
{f:5:Beatrice},「第二の晩の生贄に、“寄り添う二人”が必要なのでな。…お前たち二人は実に都合が良い…！！」
Kanon,「ま、……待て…！　勘違いするな……！　僕はお嬢様と、……そういう関係じゃない…！　第二の晩の生贄にはならないッ！」
{f:5:Beatrice},「くっくっくくくくくはっははははははははははははははは！！　だからお前は朱志香を傷付ける。だからお前は人間になれぬッ…！！」
{f:5:Beatrice},「ならば良いだろう、貴様が朱志香を想い人と認めぬならば、それを受け容れても良い。……だが朱志香は殺す！！」
Kanon,「なぜッ？！」
{f:5:Beatrice},「この馬鹿がッ！！　決まっておろうがッ！！」
{f:5:Beatrice},「{i:殺したらそなたが歪めるだろうその表情が楽しいからの他に何の理由が必要なのか}ッ！！」
{f:5:Beatrice},「儀式に従い、妾は気まぐれに１３人を生贄とする。だが、それ以上を殺してはならないとの決まりはない」
{f:5:Beatrice},「…妾が楽しければ幾人でも殺すッ！！　だから殺す！！　{i:妾を思いッ切り笑わせて見せろよ}、家具ゥゥウッ嘉音ンンンンッ？！？！」
,その時、嘉音は確かに朱志香の悲鳴を聞いた。
,瞬きをして廊下の向こうを見た瞬間、直前まで当たり前のような顔をしてそこにいたはずの魔女の姿は掻き消えていた。
,…自分は今この瞬間、たったひとりで廊下に立ち尽くしているに過ぎない。
,……そして、守りたい人が助けを求めていて、その人は彼方にいる。
,自分のすべきことは明白だった。{n}それは理屈じゃない。電気的で反射的。{n}一切の躊躇も雑念もない。
,…守りたい人がいて、助けを求めていて。………だからその瞬間、そこにいるのが自分でありたいという純粋な気持ち。
,朱志香の部屋に飛び込んだ時、その目に飛び込んできたのは異様な光景だった。
,部屋は、金色の粉吹雪が舞い、まるでスノーグローブの中で金箔を舞い散らせているような幻想的な世界だった。
,………いや違う。{n}僕はこの光景を以前にも見ている。{n}これは金箔じゃない。
,……無数の黄金の蝶たち、ベアトリーチェの眷属たちッ！！
,朱志香は無数の蝶に群がられ、必死にそれを払うように腕を振り回していた。
Kanon,「お嬢様ッ！！！」
Ushiromiya Jessica,「か、嘉音くん……、た、助けて……………。…ゲホンゲホゲホゲホッ！！」
,嘉音は朱志香に飛びつくと、群がる蝶たちを乱暴に払いのける。
,…この美しくも汚らわしい蝶たちは、朱志香の顔に群がり、口や鼻から入り込もうとしていたのだ。
,朱志香が激しく咽込む。
,…まるで、この蝶たちが朱志香の喘息発作を引き起こし、嘲笑っているかのようだった。
,だって、嘉音が駆けつけ朱志香が咽込んだら、蝶たちは襲うのをやめ、今度は二人の周りを優雅に、ロンドのように舞い始めたから。
Ushiromiya Jessica,「………嘉音くん……、嘉音くん………」
Kanon,「…大丈夫。…………僕の目の黒い内は、……あなたに誰の指一本、触れさせたりするものか」
Kanon,「………出て来い、ベアトリーチェ！！　これで満足かッ！！」
,苦しそうにしながら薬を吸引する朱志香を庇いつつ、嘉音は虚空に叫ぶ。
,……すると確かに虚空は満足げに笑い返した。
,…そして姿を現す。{n}嘉音の要望に応えたわけじゃない。
,姿を現して嘲笑った方が、より屈辱を与えられて楽しいからという理由でに決まってる！
{f:5:Beatrice},「くっくくくくくははははは！！　これで全ては筋書き通りよ。今やそなたは俎上の鯉よの」
{f:5:Beatrice},「いや、二人が揃ったのだから鴨と葱と呼ぶべきか？　はっはははははははははははははは！！」
Ushiromiya Jessica,「お、……お前、……ベ、ベアトリーチェ…！！」
Kanon,「お下がりください。……お嬢様は、僕が守る…！」
{f:5:Beatrice},「姫に騎士が揃わば、魔女が現れるのは必然よ。……どれ、金蔵の家具がどの程度の力を持つか、見せてもらおうではないか」
,魔女は指を弾いて鋭い音を立てる。
,すると部屋に黄金の蝶たちの吹雪が起こり、それらは渦を巻きながら小山を作っていく。
,…まるで、木枯らしが渦を巻いて枯葉の山を作るように。
,その黄金の小山から、腕が生え、…まるで、底の世界の住民が這い上がってくるかのように、……現れる。
Ushiromiya Jessica,「な、………何これ……。何だよこれ……ッ？！」
,朱志香は今見ているものが何なのか、理解できず、口をぱくぱくとさせる…。
,それはまさに、理解不能なものをわかろうとする知の咀嚼。
,這い上がりし者は、……多分、魔女に仕える従者に違いないだろう。
,その身なりは、仕える者たちが身にまとう様式に則る正装に見えた。
,……しかし顔が違う。それは、異形…。
,……真っ黒な毛に覆われ、…腐った息を吐き、溶岩と同じ地の底の怪しい輝きを湛える目。
,…そして、………人ならざる者の象徴である、…二本の角…。魔女に仕える山羊面の従者の姿だった……。
Ushiromiya Jessica,「………………………ッッ！！！」
,朱志香はもう、自分が口に出すべき言葉すら決め切れない。
,…目の前で起こっている、この世の常識で説明できないそれに、ひたすら口をぱくぱくさせるだけだった。
,……朱志香は気付けなかった。…この島がすでに、この世の法則から切り離されていることに。
,しかしそれでも理解はできる。……この山羊の従者が魔女の使いで、……自分の命を狙っていることは。
,そして魔女もそれをすでに命じてあるらしい。{n}そして嘉音に期待の眼差しを向ける。
,……どのようにして姫君を守るつもりなのかと、期待という名の挑発の眼差しを向ける！
,従者は、這い上がる時こそ獣のように見えたが、それの背筋は美しく、黄金の魔女に仕えるに値する気品を充分に備えているように見えた。
,……そして、仕える主の期待に応えたいという家具の喜びに満ち溢れていることもわかる。
{f:5:Beatrice},「………見せてもらおうではないか。金蔵の家具の力を！」
{f:5:Beatrice},「今度は間違えるな？　……家具であることを忘れるな？　この期に及んで人間のフリを続けるのなら、死ぬのはお前だけでは済まぬぞ。くっきっきききききききききききき！」
,山羊の従者は黙礼するような仕草をする。{n}それは、主に応えるためのものだったのか、対峙する嘉音に捧げたものなのか、…わからない。
,そして、従者の手に、……邪まなる、悪意の刃が現れる……。
Ushiromiya Jessica,「………な、…………何だよ、………ソレ…………」
,朱志香にはすでに、目の前で起こっていることなど理解できない。
,……理解に及ぶのは、……ソレが自分の命を脅かすために閃いているということだけだ。
,そして、今はそれで充分だった。
,嘉音の背中に隠れる朱志香に、嘉音は静かに言う。
Kanon,「………お嬢様。…壁に下がっていて下さい。…背中は決して壁から離さないように」
Ushiromiya Jessica,「え……？！」
{f:5:Beatrice},「……くっくっくっくっくっく！　姫君は大人しく騎士殿の背中に隠れているがいい。自らの命を男に守らせる醍醐味でも存分に味わえば良い。……さぁ！　嘉音、お前の刃を見せてみよッ！！」
Kanon,「…………………………………」
{f:5:Beatrice},「……美しい。…金蔵は家具を生み出すことに関してだけは、妾の足元に及ぶやも知れぬ」
Kanon,「…こんなもの、薔薇の手入れにも、……使えない」
Ushiromiya Jessica,「……………か、………嘉音くん…。……………それは、………」
Kanon,「………見せたく…、なかった」
{f:5:Beatrice},「よくぞ抜いたぞ。………想いを寄せる女の前で、己が人間以下の存在であることを晒した気分はどんなものよ」
Kanon,「……………………黙れ」
{f:5:Beatrice},「……ふ。……憤怒で己を焦がしているくせに冷静を装うか。…なるほど、真に熱き炎は青く静かだという。今のそなたがそうだというのか」
Kanon,「僕の力で、お前を殺すことなどできるわけもない。……お前は月。石つぶてを投げたとて月を砕くことなどできるわけもない。……だが、お前は顕現するために水面にその姿を映す」
Kanon,「水面に石つぶてを投じれば、一時、月を乱すこともできるかもしれない。…しかし、月を砕くことなど至らない。だから僕は」
Kanon,「……この命尽きるまで、……お前の映る水面を叩き続けてやる……！」
{f:5:Beatrice},「気に入ったぞ、嘉音ッ！！　始めろ、家具どもッ！！」
{f:5:Beatrice},「…………ほぉ。……………美しい軌跡だ」
,魔女が漏らす感嘆の言葉が、沈黙を解き、朱志香の金縛りを一瞬だけ解く。
Ushiromiya Jessica,「…………………………、わ、……私は、……夢を見てるの………？」
Kanon,「…………来い。魔女の家具め。………元来た地獄へ叩き落してやる」
The Goat Butler,「………………………………」
,嘉音の頬に一条の赤い筋が残る。{n}…それを見て魔女はにやりと笑う…。
{f:5:Beatrice},「くっくくくくくくくくく。……勘が戻らぬことを、言い訳に呟いても良いぞ？」
Kanon,「……………………」
Ushiromiya Jessica,「か、……嘉音くん、…………しっかり…！」
Kanon,「………大丈夫。………僕は、…まだ死なない」
,山羊の従者の刃が描く軌跡は、……大きな弧を虚空に描く。
,…嘉音の姿は、そこにない。{n}……その背中にいた。
Kanon,「………先に帰りて、主の帰りを待つがいい。……逝け」
,輝く軌跡が描くその戦いがチェスだったなら。{n}…それは背後より掛けた嘉音のチェック。
,詰める、詰める、詰める、詰める。{n}七手を掛けて、メイトする…！
,……山羊の従者には断末魔を発する資格も与えられていなかったのか。
,……それは膝を落として倒れながら、ぶわっと黄金の蝶たちの群れに崩れ散っていく…。
,だから、床に倒れる音はなかった。この戦いを理解できぬ者にも、…嘉音が華麗であったことだけはきっと理解できた。
{f:5:Beatrice},「……ふ。ハンドメイドには勝てぬか。…そこまで見下げたものではないらしい」
Kanon,「次はお前だ、………ベアトリーチェぇええええええッ！！」
,嘉音の刃は、まるで溶けかかったバターを切るように、魔女の姿を斜めに切断した刹那、その姿は黄金色に弾け散る。
,……何千という黄金の蝶たちが散らばって、室内を一瞬だけ黄昏色の光で満たす。
,…嘉音が自ら口にした通りなのだ。ベアトリーチェに斬りつけようとも、水面に映る月を斬るに同じこと。
,…魔女の姿は、さっきからずっとそこにいたかのような当り前の表情を浮かべつつ、嘉音の後にあった。
{f:5:Beatrice},「はっはっはっはっはっはっは…！！　充分に面白い見世物であったぞ。それに免じ、見逃してやろうかと思ったが、今の無礼で気が変わった…」
Kanon,「嘘をつくな！　お前にお嬢様を殺させはしないッ！！　……たとえそれが無理でも、……僕より先に殺させはしないッ！」
{f:5:Beatrice},「お前にはそれすら出来ぬわ。喋るな、家具が。無口であれ、家具が。身の程を知れ、家具がッ！！」
Ushiromiya Jessica,「か、………嘉音くんは家具なんかじゃない…！」
{f:5:Beatrice},「……ほぅ。…なぜそう言えるのか」
Ushiromiya Jessica,「理由なんかいらない。……嘉音くんは嘉音くんだよ」
Ushiromiya Jessica,「うぅん、本当の名前は別にあるけれど、……それでも名前は家具じゃないッ！　嘉音くんには嘉音くんの生き方がある。それはとても高潔なもので、自らが決めるもの」
Ushiromiya Jessica,「……家具だから意見しちゃいけないとか、家具だから自分の人生を持っちゃいけないとか、……そんなのないよ！！」
Kanon,「お嬢様…、あいつを挑発してはいけません」
Ushiromiya Jessica,「うぅん、はっきり言っておくぜ。………嘉音くんは家具じゃない。人間だよ。……どうして？」
Ushiromiya Jessica,「嘉音くんは自分の意思で、私を助けに駆け付けてくれた。そして恐ろしい魔女であるあんたの前に立ちはだかってくれた。私を見捨てることなんていくらでもできただろうに、そうしなかった」
Ushiromiya Jessica,「………自己犠牲は人間だけが持つ高潔な精神だ！！　だから、嘉音くんは人間なんだッ！！　だから訂正しろ！　嘉音くんを家具だなんて呼ぶな、二度とッ！！」
Kanon,「………お嬢…様………」
{f:5:Beatrice},「ふ。……くっくくくくくくくく。…くっははははははははははははは。わっはっはっはっはっはっはっはっは！！」
{f:5:Beatrice},「語るな人間が！！　とっとと終わらせよう、何しろまだまだ第二の晩。互いの尊厳を認め合う“寄り添いし二人”を今こそ生贄に捧げよ」
{f:5:Beatrice},「さぁさ、お出でなさい、罪を赦しなさい、煉獄の七杭が一つ、色欲！！！」
,笑いと怒り双方を浮かべたる顔にて、魔女は己が家具を呼び出す。
Asmodeus,「……色欲のアスモデウス。ここに」
{f:5:Beatrice},「茶番は飽きた。第二の晩を速やかに遂行せよ。……妾に瞬きを三つも許すな？」
Asmodeus,「……仰せのままに」
Ushiromiya Jessica,「ま、……また、妙なのが出やがったぜ……」
Kanon,「………………………く…」
,嘉音は瞬時以上の時間を掛けず理解する。……先ほどの山羊面など、魔女にとってはポーン程度の駒でしかない。
