Speaker,Indonesian (IDN)
Shannon,"""Saat melakukan pemeriksaan kedua terhadap pintu dan jendela yang seharusnya sudah dikunci, kadang ditemukan terbuka. Lampu yang seharusnya mati malah menyala, dan lampu yang seharusnya menyala jadi mati. Barang-barang yang sebelumnya ada bisa tiba-tiba hilang, dan barang-barang muncul di tempat yang tidak ada orang yang ingat menaruhnya. "
Shannon,"Saat kejadian-kejadian seperti ini terjadi, pelayan-pelayan lama akan berkata bahwa penyihir telah datang mengunjungi mansion secara tak terlihat dan sedang bermain-main."" "
Ushiromiya Maria,"""Uu-! Lihat kan, dia ada! {f:5:Beatrice} itu benar-benar ada!!"" "
Ushiromiya Jessica,"""Ya, dia ada. Dulu, pas aku kecil, setiap mau berangkat sekolah selalu nggak bisa nemuin tas, gitu..."" "
,Maria membusungkan dadanya dengan “uu-uu-” seolah itu bukti pamungkas keberadaan penyihir. 
,"Kalau aku buka mulut sekarang, Maria pasti sakit hati lagi, jadi aku diam saja. "
,"...Yah, cerita kayak begini kan ada di mana-mana. "
,"Tergantung tempatnya saja, kadang mereka menyalahkan kurcaci atau peri. Satu-satunya perbedaan adalah di pulau ini disebut penyihir. "
,"Tentu saja, berjalan sendirian di mansion mewah dan luas saat malam bisa cukup menyeramkan. "
,"Pulau ini pun sepi dari manusia. Mansion-nya besar dan berangin, kalau malam hari hujan petir pasti suasananya menyeramkan. "
Shannon,"""Selain itu, beberapa pelayan juga pernah melihat api hantu dan kupu-kupu berkilauan menari-nari. ...Kanon-kun juga pernah melihat sesuatu seperti itu saat dia patroli malam. "
Shannon,"Dan akhir-akhir ini, para pelayan sering bicara tentang suara langkah kaki aneh yang terdengar di dalam mansion sekitar tengah malam. Kami berbisik bahwa {f:5:Beatrice}-sama dari potret itu kadang membuat dirinya tak terlihat dan berjalan keliling mansion. "
Shannon,"...Itu terjadi beberapa waktu lalu, tapi aku sendiri juga pernah mendengar langkah kaki saat patroli malam yang mirip dengan cerita ini."" "
Ushiromiya Battler,"""......Whew. Seram juga ya..."" "
Shannon,"""Ah, ...tapi tidak ada yang perlu ditakuti. {f:5:Beatrice}-sama adalah penguasa lain dari mansion ini, terpisah dari Tuan besar. Jadi, tidak perlu takut secara berlebihan. Kalau anda menghormatinya, katanya dia tidak akan melakukan hal buruk."" "
Ushiromiya George,"""Namun, dia bisa sangat menyeramkan kalau kamu tidak menghormatinya, kan?"" "
Shannon,"""...Benar. Aku pernah dengar, sebelum aku mulai bekerja di sini, ada seseorang yang bicara buruk tentang {f:5:Beatrice}-sama dan jatuh dari tangga lalu berhenti bekerja setelah mengalami luka parah di punggungnya. Karena itu, ada rumor di antara pelayan bahwa kemarahan {f:5:Beatrice}-sama telah menimpa orang itu..."" "
Ushiromiya Maria,"""Uu-... Battler dan Jessica pasti akan kena marah... Uu-..."" "
Ushiromiya Battler,"""A-A-Aku minta maaf! Aku tidak mau kena marah! Aku minta maaf, Maria. Tentu saja aku juga minta maaf pada penyihir. Maaf, {f:5:Beatrice}-sama. Tolong ampuni omongan konyol dari orang luar."" "
Ushiromiya Jessica,"""Aku juga minta maaf. Maaf, {f:5:Beatrice}-sama. .........Apakah penyihir bisa memaafkan kami sekarang?"" "
Ushiromiya Maria,"""...Uu-. Tidak tahu. Penyihir itu suka berubah-ubah, jadi kadang memaafkan kalau ingin, kadang tidak. Uu- "" "
Ushiromiya George,"""Itu tidak bagus... Maria-chan, apa ada jimat keberuntungan yang bisa mencegah Battler-kun dan Jessica-chan dari murka {f:5:Beatrice}-sama? Mungkin sesuatu yang bisa menangkal sihir?"" "
,"Dengan mengandalkan Maria, yang bangga karena paling tahu soal penyihir, George berusaha mengembalikan rasa percaya dirinya. "
,"...Sekali lagi, aku harus mengakui kemampuannya menenangkan anak kecil. "
,"Setelah beberapa saat menyilangkan tangan dan merenung serius apakah ada jimat yang bisa menyelamatkan kami, dia mulai membolak-balik halaman buku catatannya. "
,"Kupikir itu hanya buku harian coret-coretan, ......tapi ternyata ada cukup banyak halaman yang terlihat seperti dari buku sihir hitam. "
,"Maria dengan khidmat menatap kumpulan halaman itu, yang berisi lingkaran-lingkaran sihir. "
,.........Ternyata bukan hanya Kakek yang hobi dengan sihir hitam. 
,"Ketika Maria akhirnya menemukan apa yang dia cari, dia menutup buku catatannya dan memasukkannya ke dalam tas. Lalu dia mulai mengobrak-abrik isi tas tersebut. "
,Tampaknya ada berbagai macam benda campur aduk di sana. 
,"Setelah beberapa saat, dia mengeluarkan berbagai barang aneh—meski mungkin itu benda penting bagi Maria— dan berulang kali memasukkannya kembali sambil bilang itu bukan yang dia cari. "
,"Semua itu agak lucu, seperti saat Doraemon mengeluarkan alat yang salah. "
,"Akhirnya, dia tampak menemukan apa yang dia cari. "
,"Dengan wajah yang jauh lebih ceria dibanding ekspresi seriusnya barusan, dia mengulurkan ""benda itu"" kepada Jessica dan aku. "
Ushiromiya Maria,"""Uu-!"" "
,Aku mengambilnya... dan melihat bahwa itu adalah jimat yang terlihat sangat murah. 
,"Bentuknya seperti gelang dari rosario plastik, ...dengan medali bergambar kalajengking. "
,Pernah lihat aksesori murah bertema zodiak seperti itu? 
,Yang biasanya kau dapat dari mesin capit di arcade. Benda ini benar-benar seperti itu. 
,Ada dua buah. Mungkin satu untukku dan satu untuk Jessica. 
,"...Namun, kenyataan bahwa ada dua malah makin menegaskan kesan barang massal, dan agak sulit membayangkannya sebagai benda sihir sungguhan. "
Ushiromiya Jessica,"""Kamu memberikan ini pada aku dan Battler?"" "
Ushiromiya Maria,"""Uu-! Dengan jimat ini, kau tak perlu takut pada {f:5:Beatrice}! Karena kalajengking punya kekuatan untuk menangkal sihir!"" "
Ushiromiya Battler,"""Hah, sungguh? Aku baru tahu kalajengking bisa begitu."" "
Ushiromiya Maria,"""Uu-, Battler tidak percaya! Uu-uu-uu-!"" "
,Aku kebanyakan ngomong dan membuat Maria marah lagi... 
,"Maria mengeluarkan buku catatannya lagi, menunjukkan berbagai halaman sambil menjelaskan panjang lebar tentang kekuatan suci kalajengking yang telah digunakan dalam lingkaran sihir pelindung sejak zaman dahulu. "
Shannon,"""......Ah, aku pernah dengar dari beberapa pelayan muda. Katanya kalajengking memang sering digambar sebagai simbol penangkal sihir dalam ilmu sihir..."" "
Ushiromiya Jessica,"""Hah, sungguh...!"" "
Ushiromiya Maria,"""Uu-! Kalajengking melindungi dari sihir jahat dan bencana. Dan zamrud membawa kedamaian dalam hati. Jadi, efeknya dua kali lipat! Uu-!"" "
Ushiromiya George,"""Itu benar. Kalajengking melingkari zamrud dan menjaganya. Ya, itu terdengar seperti kombinasi yang ampuh."" "
,"Aku benar-benar ingin menertawakan jimat yang terlihat tidak berharga itu, tapi saat kulihat Maria menjelaskannya dengan sepenuh hati dan menyadari bahwa dia menemukannya demi kami, aku mulai merasa benda itu mungkin benar-benar manjur, meski cuma hadiah dari game center. "
,Bahan pembuat jimat itu tak penting. Yang penting adalah ketulusan perasaannya. Bahkan aku pun bukan tipe orang yang sebegitu buruknya sampai menertawakan hal seperti itu. 
Ushiromiya Battler,"""Oke, terima kasih. Aku sudah minta maaf pada {f:5:Beatrice}-sama, tapi meskipun aku akhirnya kena kutuk, aku akan selamat berkat jimat Maria. Benar begitu, Jessica?"" "
Ushiromiya Jessica,"""Ya, betul! Terima kasih, Maria."" "
Ushiromiya Maria,"""Uu-! Pakai di tangan saat ingin ketenangan hati. Masukkan ke dompet supaya uang tidak cepat habis! Gantung di gagang pintu supaya hal buruk tidak bisa masuk! Ini jimat yang sangat praktis!"" "
Shannon,"""Wah, efeknya luar biasa. Kalau sudah mendapat cap persetujuan Maria-sama, pastinya bisa diandalkan."" "
,"Shannon-chan bertepuk tangan, dan Maria membusungkan dadanya. "
,Dia benar-benar dalam suasana hati yang bagus lagi. 
,"Sepertinya akan lebih baik kalau kami biarkan dia memimpin percakapan sedikit lebih lama, demi menjaga suasana hati baiknya itu. "
,"Ngomong-ngomong, dia tampak agak bosan waktu kami sibuk membahas emas tersembunyi, mungkin karena dia tak bisa ikut terlibat. "
,"Sambil menikmati kue kering buatan Kumasawa-san, Jessica dan aku bertanya ini-itu tentang sihir hitam pada Maria. "
,Maria menjawab dengan gembira setiap pertanyaan kami. 
,"Setiap kali, George-aniki dan Shannon-chan akan pura-pura terkejut atau ikut menimpali. "
,"Awan di langit semakin gelap, tapi kami para sepupu benar-benar menikmati komunikasi bebas setelah setahun berpisah... "
Ushiromiya George,"""...Nn? Tadi aku merasa ada titik air di dahiku?"" "
Ushiromiya Battler,"""Hah? Entahlah."" "
,George-aniki mengusap dahinya sambil melihat ke langit. 
,"Melihat warna langit dan kelembapan udara, memang tak aneh kalau setetes hujan jatuh. "
,Angin juga tampaknya mulai bertiup agak lebih kencang. 
Ushiromiya Maria,"""Uu-? Aku tidak merasakannya. Hanya aku saja yang tidak. Uu-!"" "
Ushiromiya Battler,"""Tenang saja, aku juga tidak. Lagipula, malam ini pasti bakal hujan deras, jadi semua juga bakal kebagian tetes hujan."" "
Ushiromiya George,"""Benar juga. Mungkin kita sebaiknya segera kembali..."" "
,Shannon-chan melihat ke arlojinya. Mungkin sekarang memang sudah cukup sore. 
Ushiromiya Jessica,"""Apa waktumu untuk kembali kerja sudah tiba?"" "
Shannon,"""Ya. ...Terima kasih banyak... karena telah mengizinkan aku menikmati waktu bersama kalian."" "
Ushiromiya George,"""Sampaikan terima kasih pada Kumasawa-san untuk kue-kuenya. Oke semuanya, bantu beres-beres ya."" "
,"Shannon-chan menolak bantuan kami, katanya ini tugas seorang pelayan, tapi buatku, mengambil garpu jatuh sebelum pelayan harus melakukannya adalah tujuan hidup. "
,"Kami melipat selimut, mengumpulkan sampah, dan membantu membersihkan semuanya. "
Ushiromiya Maria,"""Uu-! Sampahnya terbaawa aaanngin! Uu-uu-!!"" "
Ushiromiya Battler,"""Tidak akan kubiarkan kabur, aku akan ambil sebelum Maria sempat!"" "
Ushiromiya Maria,"""Uu-!! Aku yang akan ambil! Uu-uu-uu-!"" "
Ushiromiya Jessica,"""Maria! Jangan sampai sepatumu basah, nanti dimarahi lho!"" "
,"Bagi Maria, mengejar sampah yang terbang ditiup angin kencang hanyalah permainan lain. "
,"Saat kami selesai, angin sudah bertiup cukup kencang. "
,Mungkin sudah waktunya kembali.    
Shannon,"""Kalian semua sudah banyak membantu. Terima kasih banyak."" "
Ushiromiya George,"""...Sepertinya waktumu benar-benar sudah habis. Tak apa kalau kau kembali duluan."" "
,George-aniki menyadari dari sikapnya yang tergesa bahwa waktu bebasnya hampir habis. 
Ushiromiya Jessica,"""Genji-san sangat ketat soal waktu. Kalau kau tidak muncul di tempat yang seharusnya tepat waktu, bisa-bisa dia akan marah."" "
Ushiromiya George,"""Sampai nanti. Semangat dengan pekerjaanmu."" "
Shannon,"""Y-Ya! ......Kalau begitu, mohon permisi."" "
,"Setelah membungkuk dengan hormat, Shannon-chan berlari ke arah taman mawar. "
Ushiromiya Battler,"""Oke, ayo kita kembali ke rumah tamu. Kita bisa nonton TV atau santai-santai sebentar."" "
Ushiromiya Maria,"""Uu-! Mau nonton TV! Mau nonton TV, uu-!"" "
Ushiromiya Jessica,"""Kalau begitu sudah diputuskan. Ayo kita semua kembali dan nonton TV bareng."" "
,"Maria, yang belum puas bermain, langsung setuju begitu TV disebut. "
,Kami menaiki anak tangga landai dan kembali ke taman mawar. 
,"Angin sudah bertiup sangat kencang, dan mawar-mawar bergoyang di seluruh taman seperti riak di permukaan air. "
,Mungkin ini kesempatan terakhir kami melihat mawar-mawar yang indah ini... Kukira topan malam ini akan merusaknya... 
Ushiromiya Battler,"""Mawar-mawar ini mungkin akan rusak oleh angin malam ini."" "
Ushiromiya Jessica,"""Kau benar. Tapi kurasa mawar-mawar ini cukup beruntung. Karena mereka bisa menyambut kalian semua sebelum topan datang."" "
Ushiromiya George,"""Semua bunga pada akhirnya akan gugur. Tapi itu justru membuat kita lebih bisa mengagumi saat mereka sedang mekar."" "
Ushiromiya Battler,"""Benar juga. ...Maria, simpan gambar ini baik-baik dalam ingatanmu. Saat ini, mereka adalah mawar terbaik tahun ini."" "
Ushiromiya Maria,"""Uu-. Sudah tersimpan di mata."" "
