Speaker,Umineko Project (UP)
{f:5:Bernkastel},""".........You will eradicate and erase {f:5:Beatrice}'s name and all traces of her. Until that is all finished, I order you to become the master of this sealed‐off Rokkenjima."""
{f:5:Bernkastel},"""......By the name of the Witch of Miracles, {f:5:Bernkastel}, I hereby grant you the rank of witch until that day arrives. ......From now on, you will call yourself {f:5:Erika}, Witch of Truth."""
Furudo Erika,"""W‐......Witch...of Truth......! ......Th‐......thank you very much, my master...!! I vow to work even harder so that this honor is not wasted...!"""
,"Even though she was nothing more than a piece, .........she was being granted the honor of calling herself a witch like her master, if only for a brief stretch of time......"
,Erika was so moved at having her hard work acknowledged in this greatest form that she trembled......
{f:5:Bernkastel},"""Dlanor, continue to aid {f:5:Erika}...and report on her progress to me."""
Dlanor,"""......As you {f:5:wish}."""
{f:5:Bernkastel},"""............By the way, where's Lambda?"""
Dlanor,"""She is over {f:5:there}."""
,"From the guest seating on the second floor, she pointed downwards."
,"{f:5:Lambdadelta}.........could be seen beneath Battler, who hung there dead, run through by the red longsword."
{f:5:Lambdadelta},""".........Ushiromiya Battler... You were an interesting guy. ...You could have been so much more interesting...... Such a shame."""
{f:5:Bernkastel},"""I think it was a wonderful way to die. .........{f:5:Erika}! You can hang Battler's corpse in the mansion's reception hall. ......The next time I come to visit this fragment, welcome me in front of it."""
Furudo Erika,"""Certainly, my master. I'll make that foolish man an eternal monument to your victory!"""
{f:5:Lambdadelta},"""*giggle*, that sounds wonderful. Super stylish. Maybe you can coat him with plaster and make a beautiful white statue. ......And it'd be even better if you decorated him all cute!"""
Furudo Erika,"""Yes, Lady {f:5:Lambdadelta}. I will strive to answer your expectations...!"""
{f:5:Lambdadelta},"""Grats on your witch promotion. Even though it's only temporary, I welcome you as a friend."""
,Erika was so overcome with emotion that tears came to her eyes.
,.........Because no greater pleasure exists for a piece than having its efforts acknowledged by its master.
{f:5:Bernkastel},"""In the end, I'd like to have Beato stuffed too. Then I'll have her displayed on high in the reception hall."""
{f:5:Lambdadelta},"""Lake Shirakaba?"""
{f:5:Bernkastel},"""The {c:86EF9C:{y:0:Human}{n:0:human}‐hunting Count}."""
{f:5:Lambdadelta},"""......You know, I read that back when I wasn't a witch. ...I wondered, how can humans who obtain eternal life become so cruel? I always found that strange. ......At the time, I honestly couldn't relate."""
{f:5:Bernkastel},""".........After becoming a witch and living a thousand years, I fully understand it. ......That writer could understand our cruelty really well, in the truest sense. *giggle*giggle*!"""
{f:5:Lambdadelta},"""......Where to next? I guess we'll go off in opposite directions like always?"""
{f:5:Bernkastel},"""Only because I don't want to bore you."""
{f:5:Lambdadelta},"""Thanks, Bern. But you can be sure that I'll count to a hundred and then start searching for you again."""
{f:5:Bernkastel},"""You never let me get bored, do you? That's why I like you, love you. ............Let's meet again somewhere. Of course, that might be a hundred or a thousand years from now...or never again for all eternity."""
{f:5:Lambdadelta},"""It'll work out. The sea of fragments is tiny to a pair who love each other."""
{f:5:Bernkastel},"""The Third Man?"""
{f:5:Lambdadelta},"""No, Children of Paradise, of course."""
{f:5:Bernkastel},""".........If each time you smashed one of those countless fragments that glitter like a starry night, you could escape the poison of just a single evening's worth of boredom, even you would want to count the stars in the sky."""
{f:5:Lambdadelta},"""Ooh, not bad...pfft, *giggle*giggle*...!"""
,"The witches known as Voyagers travel across the countless glittering futures of possibility, ......and gobble them up, trying to escape their illness called boredom for as long as they can."
,"The tiny, tiny fragment created by the {y:0:Human}{n:0:human} known as {f:5:Beatrice}......had now been gobbled up by the two witches......and had lost its glitter."
,The two who had earlier called themselves rivals in front of Beato...now stopped that charade and laughed together playfully.
{f:5:Bernkastel},"""{f:5:Erika}. The new ruler of this fragment. .........Weave the truth, ......and create the tale that leads up to this world's demise. ...Umm, the next was the sixth game, right?"""
Furudo Erika,"""Yes, it's the sixth game."""
{f:5:Bernkastel},"""Decide the title for Episode 6 yourself. After all, you're already the spinner of this tale, as well as its Master."""
Furudo Erika,"""Thank you very much. ......Actually, I've already decided on one."""
{f:5:Bernkastel},"""......Oh, already? ......Then let me hear it. What's the title?"""
Furudo Erika,"""It is...Episode 6.........heheheheh, actually, I'd like to tease you a bit, but I'll tell you."""
{f:5:Lambdadelta},"""*giggle*! Come on, stop being a smartass and tell us. A newbie witch like you shouldn't be teasing your seniors!"""
Furudo Erika,"""Episode 6: Checkmate of the Golden Witch!"""
