Speaker,Umineko Project (UP)
Gohda Toshiro,"""One must not serve something if one does not know the taste beforehand. ......For example, when you visit a restaurant, what are you likely to ask the waiter if a dish you've never heard of catches your eye? ""How does this dish taste"", correct?"""
Shannon,"""I see... If the waiter says that he's never tried it, that would seem a bit odd......"""
Gohda Toshiro,"""Precisely. As a matter of course, anyone serving their customers must be deeply acquainted with the taste of the tea and food they serve."""
Kumasawa Chiyo,"""Hoh‐hoh‐hoh‐ho. And you'll always feel happier serving a sort of tea that you've tried and enjoyed for yourself."""
Shannon,"""That's right. After tasting tea this delicious, I can't wait to let everyone else try it."""
Kumasawa Chiyo,"""And because of that! We servants must be very familiar with the tastes of all sorts of foods. So if you ever catch me stealing a little nibble, that's all part of my job description... Hoh‐hoh‐ho."""
Gohda Toshiro,"""It's both a perk and a part of the job. Do you understand?"""
Shannon,"""Yes!"""
Ronoue Genji,"""......Everything is proceeding smoothly. Are there any problems with the tea?"""
Gohda Toshiro,"""Oh, Genji‐san, you must try some as well. Seeing as it's almost Halloween, I decided to make some pumpkin tea."""
Ronoue Genji,"""Later, perhaps. The family will be arriving at the mansion very soon. ......It looks as though the children will be with them."""
Shannon,"""Yes sir. The cups are ready to go as well."""
,"At that moment, the kitchen's extension line started to ring."
,"Genji, who was standing right beside it, swiftly picked up the receiver before the second ring."
,Shannon and the others always thought Genji looked like a samurai when he did this.
Ronoue Genji,"""......OK. Take care when guiding them."""
,"After making that short response, Genji set the receiver down."
Ronoue Genji,"""That was Kanon. The relatives will be here shortly. The children are with them. Shannon, Kumasawa, go to serve them. Gohda, hurry up with that tea."""
,"""""""Right away!"""""""
,"The family conference—the largest event of the year for the servants. Their morale was high, and they were all full of determination to make it through another year by banding together."
Kanon,"""Pardon the interruption. The relatives are here."""
Ushiromiya Krauss,"""Oho, you made it. Did you have any difficulties en route?"""
Ushiromiya Eva,"""Nii‐san, you've been doing pretty well for yourself lately, haven't you? Isn't it about time you bought a private jet?"""
Ushiromiya Hideyoshi,"""Wahahahaha. It was another flight with only us Ushiromiyas on board!"""
Ushiromiya Natsuhi,"""Ange‐chan, isn't it lucky that you could come? I was so worried when I heard that you might be too sick to make it today."""
Ushiromiya Kyrie,"""Thanks for your concern. She suddenly got all better this morning."""
Ushiromiya Ange,"""My tummy ache went away! I rubbed my tummy clockwise!"""
Ushiromiya Maria,"""Uu‐uu! That's a magic charm to heal tummy aches!"""
Ushiromiya Rosa,"""Now, Maria, quiet down..."""
Ushiromiya Krauss,"""Oh, is that Battler‐kun...?! You've grown so big!"""
Ushiromiya Natsuhi,"""It's been six years, hasn't it? You've grown splendidly."""
Ushiromiya Battler,"""Well, ......ihihi. I do keep getting bigger, at least..."""
Ushiromiya Jessica,"""Can't really say that about his guts though!"""
Ushiromiya George,"""Yep, it's nice to know he's still the same old Battler‐kun."""
,"Everyone laughed. No matter how big his body grew, Battler would always be Battler."
Ushiromiya Rudolf,"""This brat's always been terrified of falling off planes and boats and stuff."""
Ushiromiya Kyrie,"""Would that be Asumu‐san's blood?"""
Ushiromiya Rudolf,"""I'm pretty sure I know what did it. It's probably because we made him ride all those wild rides in amusement parks when he was little."""
Ushiromiya Eva,"""Aren't there height restrictions to stop children from riding those things?"""
Ushiromiya Rudolf,"""Ah, no, not those. I'm talking about teacup rides, paddle boats, all that kind of stuff, you know? Looks like we took those a bit too rough back in the day."""
Ushiromiya Rosa,"""You've always gone a bit overboard on rides like that, Rudolf nii‐san."""
Ushiromiya Natsuhi,"""Oh, dear, I see...... Poor Battler‐kun."""
Ushiromiya Krauss,"""Haha, poor Battler‐kun indeed."""
Ushiromiya Eva,"""Still, it's comforting, in a way. That fear of riding things shows he's still the Battler‐kun we all know so well."""
Ushiromiya Ange,"""Onii‐chan isn't scared of riding things. He's scared of falling off them!"""
Ushiromiya Maria,"""Gonna faaall, gonna faaall!! Uu‐uu‐uu!!"""
Ushiromiya Rosa,"""Hey, stop running around...! Maria! You're one of the big cousins now, right? Be a good example!"""
Shannon,"""Pardon me. I've brought some tea for everyone."""
,A pleasant aroma followed Shannon as she came into the room pushing a serving cart.
,"Even Ange and Maria, who had been running around in circles, sat down obediently when they heard that drinks were here."
Ushiromiya Rudolf,"""By the way, what's Dad doing?"""
Ushiromiya Krauss,"""He should be down here soon. He's been rushing about all morning trying to choose a tie."""
Ushiromiya Eva,"""You mean, all that about choosing an attire suitable for the family head?"""
Ushiromiya Rosa,"""Father's always been picky about ties, hasn't he?"""
Ushiromiya Natsuhi,"""It's just something he has a passion for. Staying stylish is a good thing."""
Ushiromiya Krauss,"""And yet, he always shows up wearing the same tie in the end."""
,The family members burst out laughing.
,"The sweet scent of Gohda's specially made pumpkin tea spread throughout the parlor, and the calm atmosphere grew more cheery and excited."
Ushiromiya Maria,"""Look, Mama! Look, Mama! It's a pumpkin cookie! For Halloween!!"""
Ushiromiya Rosa,"""Oh, that's right. This sweet scent is kabocha, isn't it?"""
Shannon,"""That's right. Today, we have some special pumpkin‐flavored tea for you to try. It really is delicious, so I suggest you try some without sugar first."""
Kanon,"""Nee‐san, your sleeve. Be careful."""
Ushiromiya Jessica,"""Wow, I've never even heard of something like kabocha tea... How does Gohda‐san find this stuff?"""
Ushiromiya George,"""Delicious. This is excellent. You can taste the kabocha's natural sweetness."""
Ushiromiya Battler,"""Kabocha tea, huh? Still, kabocha always tastes best in tempura!"""
Ushiromiya Maria,"""Uu! It's not ""kabocha"", it's ""pumpkin""!"""
Ushiromiya Ange,"""Yeah, pumpkin is different from kabocha! This is pumpkin!"""
,"Maria seemed to be complaining about the difference of nuance between the Japanese and English words, but it looked like Ange thought kabocha and pumpkins were entirely different things."
,"Everyone laughed, but Ange cocked her head to one side discontentedly, not understanding what was so funny."
,"Just when it looked like she was about to get in a bad mood and start grumbling, Maria started teaching her a ""cookie game"", and Ange immediately became engrossed with that distraction."
,"Then, the clomping sound of approaching heavy footsteps could be heard from the hallway."
,"Having a pretty good idea of whose footsteps they were, the relatives straightened their backs."
,Those quick footsteps stopped for a moment just outside the parlor door.
,......As though someone was taking a deep breath and setting up a dramatic pause.
,"Then, as the door exploded open, Kinzo—with Genji and Nanjo standing behind him—yelled out loud."
Ushiromiya Kinzo,"""<Hhhhhhappy Halloween!! And trick or tree{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}a{-}a{-}a{-}a{-}aat!!>"""
,"""""""<Trick‐or‐treeeeat>!!"""""""
,"The cousins shouted it back.{n}The adults returned the greeting too, looking a little embarrassed."
,"Ange alone stood there with her mouth open, unable to comprehend what had just happened."
Ushiromiya Kinzo,"""Welcome, my grandchildren!! If you don't give me a treat, I shall prank you!!"""
Ushiromiya Rosa,"""Go ahead, Maria."""
Ushiromiya Maria,"""Happy Halloween, Grandfather!! I got you a really incredible one this year! You'll be surprised!!"""
,Maria picked up a present that had been hidden behind a sofa.
,All of the other relatives were suddenly holding similar packages as well.
Ushiromiya Kyrie,"""Come on, Ange, you too. Give this to Grandfather."""
,Kyrie handed Ange a neatly wrapped present.
Ushiromiya Kinzo,"""Ooooooh, Mariaa{-}a{-}a{-}a{-}a{-}aaa, you're always so thoughtfu{-}u{-}u{-}u{-}ul!! Grandpa's so happyy{-}y{-}y{-}y{-}y{-}y{-}yyy!!"""
,"As Kinzo took Maria's present, a smile broke out across his face, and he rubbed his cheek up against it."
Ronoue Genji,""".........Master. Your dignity."""
Ushiromiya Kinzo,"""Nngg...o‐oh, that's right. ......You have pleased your grandfather greatly, Maria. In return for the treat you have given me, I promise not to prank you this year."""
Ushiromiya Maria,"""Now it's your turn, Grandfather!! If you don't give me a treat, I'll prank you!!"""
Ushiromiya Kinzo,"""Yes, splendid. Genji...!"""
Ronoue Genji,"""Here."""
,"Genji fished through something that looked like Santa Claus's sack and pulled out a present addressed to Maria, handing it over to Kinzo."
Ushiromiya Kinzo,"""Heeere you go, Maria~!! Here's a present from your grandpa!! I'm warning yoooou, it's verr{-}r{-}r{-}r{-}rry cuu{-}u{-}u{-}ute!! It's almost a waste to give it up to you{p:0:♪}"""
Ronoue Genji,""".........Master. Dignity."""
Ushiromiya Kinzo,"""Nnngggyyyyhhhh... Th‐this is a present from the Ushiromiya family head to Maria... It is a...cute......nnnggg, *cough*cough*...a‐an item worthy of the Ushiromiya family's dignity and grace. T‐take good care of it......"""
Ushiromiya Maria,"""Thank you, Grandfather!! I love you!! Kiss‐kiss‐kiss!"""
Ushiromiya Kinzo,"""N‐nngggwoooooooohhhhh...!! Ooohhh, Mariaa{-}a{-}a{-}aaa, my cute little granddaughter!! Kissie kissie kissieee~~~~~!!!"""
Ronoue Genji,"""........................"""
,"By this point, even Genji had to give up on Kinzo's dignity."
,"Still, the dignity of the family head had lasted a full ten seconds longer than usual this year."
Ushiromiya George,"""Happy Halloween, Grandfather. This is from me."""
Ushiromiya Jessica,"""Happy Halloween. This one's mine. I hope you like it."""
Ushiromiya Kinzo,"""Oooooh, George, Jessica, I thank you for yet another year. I'm, ......I'm so happy..."""
,"With tears streaming down his face, Kinzo hugged George and Jessica."
Ushiromiya Kinzo,"""Oh, and Battler too. ......I'm so glad you've returned to the family. ......It's been lonely without you, these past six years..."""
Ushiromiya Battler,"""......Well, ......um, anyway... .........Happy Halloween. Not sure if you'll like it though..."""
Ushiromiya Kinzo,"""Don't worry...... Don't worry, Battler...... I know you have things you want to say, things you want to ask. ......But now is not the time."""
Ushiromiya Battler,"""Grandfather......"""
Ushiromiya Kinzo,"""I am......glad that you have returned to the Ushiromiya family...... ......It makes me feel......happy......"""
,"Slowly, ......Kinzo moved forward and hugged Battler."
,"Battler drew back at first, but he then understood Kinzo's feelings and hugged him back."
,Ange watched this scene play out......shocked.
,Was Ushiromiya Kinzo............always this kind of person......?
Ushiromiya Rudolf,"""Ange. You're up."""
Ushiromiya Kyrie,"""Go on, give it to Grandfather."""
Ushiromiya Ange,"""............Ah, .........okay."""
,Ange......didn't have a clue what was going on.
,She took the present her mother had given her......and walked forward timidly.
,"......Kinzo's face, which had been looking so cheery a second ago, seemed to become much sterner the moment Ange stepped forward."
,"No, it hadn't ""become"" stern."
,That expression.........was the one always worn by the Kinzo inside Ange's mind.
,This {i:was} Ushiromiya Kinzo.
,"He was fickle, short‐tempered, always with a stern expression on his face. ......The most terrifying person in the Ushiromiya family..."
Ushiromiya Ange,"""..........................."""
Ushiromiya Kinzo,"""................................."""
,"It felt as though the world had gone suddenly quiet, and it had only done it when it was my turn to step forward."
,......Why? Why only for me?
,"But, even so, ......isn't this the way it should be?{n}Isn't this the Ushiromiya Kinzo I expect? ...The Ushiromiya Kinzo I understand......?"
,"I was like a puppet carrying tea.{n}I walked forward, bewildered, with the present held out in front of me, ......and stopped in front of Kinzo."
,"Without letting his expression change in the slightest, Kinzo slowly reached out and touched the present......"
Ushiromiya Kinzo,"""MmmmmAAAAAaaannnggeeee{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}eee!!!"""
,"In an instant, Ange was caught in a firm embrace, present and all.{n}Kinzo's white beard rubbed against her cheek."
Ushiromiya Kinzo,"""Grandpa......Grandpa is so happyyyyyyyyyyyyyy!! I'm so glad to be blessed with such lovely grandchildren!! I feel happyyyyyyy!! So happy the tears just won't...just won't stooo{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}oop!!"""
Ronoue Genji,""".........Master, your nose is running. ......That...and your dignity."""
Ushiromiya Kinzo,"""Oh, Genji, forgive me!! I...alwa{0}n{0}t{0}h{0}f{0}n{0}h{0}h{0}h{0}hnnn... *honkkkk*!!"""
,"As the old man blew his nose, he didn't look like he could possibly be anyone other than a kindly grandpa overcome with tears at his grandchildren's gifts."
Ushiromiya Kinzo,"""Thank you, Ange. I heard that you chose to come even though you weren't feeling well at all... I'm so glad...! Here, this is for you."""
,He pressed a large gift box to Ange's chest.
,......She finally realized that all of the presents given out by Kinzo were wrapped differently and in boxes of different sizes.
Ushiromiya Battler,"""I wonder what he got you, Ange. I hear that Grandfather always personally chooses what he'll give each one of us. Pretty incredible, with all these people."""
Ushiromiya Ange,""".........Every year... ......He picks them himself... ............"""
,He does...what every year?{n}He picks......what himself?
,This bizarre ceremony happens......every year.
,The cousins were all happily chattering about what their Halloween presents would be this year.
,"Maria came up to Ange and suggested that they compare the weights of their presents, but for some reason, Ange just stared blankly."
,"After that, the adults also handed their presents to Kinzo one by one, receiving a gift in return, along with considerate words about their health and questions about how they'd been doing recently."
,"Then, after watching to see that all exchanges had been completed, Gohda appeared... and announced that lunch was ready."
Ushiromiya Kinzo,"""So, it is ready...! Come, ladies and gentlemen! Let us enjoy the splendid lunch that Gohda has prepared for us. Quickly, to the dining hall!"""
Gohda Toshiro,"""This way, everyone. Follow me."""
Shannon,"""We will carry your presents to your rooms in the guesthouse."""
Kanon,"""Please, feel free to leave them here as you leave for lunch."""
,"The relatives stood up, leaving their presents where they lay on tables and sofas, and followed Kinzo out of the parlor."
,"......Only Ange remained standing there, stunned, ......as she clutched the gift box Kinzo had given her..."
,Never once had Gohda's lunches betrayed expectations.
,"When Hideyoshi said that the lunches were the only reason anyone ever came to these family conferences, everyone laughed and nodded."
,Delicious food has a way of keeping conversation flowing.
,"You've gotten so tall. How have you been lately? Oh, you know, not bad."
,"It was a fun meal, with everyone asking each other about the latest and laughing together."
,"The Ushiromiya family sat at meals in a specific ranked seating order, so the adult siblings, the cousins, and the spouses all sat in groups."
,That made it even easier for conversation to flow smoothly.
,Ange had withdrawn slightly from the cousins' chat and was looking around the dining hall.
,......What are Kinzo and the adult siblings doing?
,Their conversation seemed to be peaceful and fun.
,"Most of the time, the siblings were mothers or fathers of their own households."
,"However, when they gathered together by themselves in front of Kinzo, that burden was lifted from their shoulders, and they became young and bright as though they'd gone back to being kids again."
,"Rudolf, who was usually an easygoing father but one with a sense of dignity, became so bright and cheery in this group that it almost looked like there was another Battler."
,Even Kinzo looked peaceful and relaxed.
,He didn't say a word about money or the inheritance.
,"In fact, he didn't even insult his children or call them incompetent."
,"He just looked like a happy old man, genuinely pleased to have his whole family together for the only time this year."
,The group of spouses was just as harmonious.
,"Their conversation jumped from topic to topic on motherly issues like their children's education, the running of the household, and family health."
,Hideyoshi and even Nanjo happily joined in.
,And what about the cousins?
,......There was no way that such a fun dinner table with such a fun group of friends could fail to be raucous.
,"Maria was in her element, showing off her knowledge of Halloween trivia."
,"George and Jessica would nod in understanding, Battler would say something stupid, and Maria would laugh at him."
,"If I wanted, I could easily join in on the conversation, and I could easily slip out of it too by shifting my attention to the dessert."
,"It was......happiness, both fun and natural."
,......It felt like I was enjoying a pleasant doze in the rays of the springtime sun.
Ushiromiya Kinzo,"""According to the weather report, we can expect a big storm sometime tonight."""
Ushiromiya Rudolf,"""It's supposed to be a typhoon. Looks like we'll be stuck here for more than one night again."""
Ushiromiya Kinzo,"""I do not mind in the least. You may stay here as long as you wish. If it would mean seeing the faces of my precious grandchildren more often, I would pray for rain every day."""
Ushiromiya Eva,"""Give us a break. We do have work to worry about."""
Ushiromiya Rosa,"""Why don't you leave the island, Father? That way, you could see your grandchildren whenever you wanted."""
Ushiromiya Krauss,"""Hahhahaha, true. Living on a remote island may have a sense of majesty, but haven't you had enough of it?"""
Ushiromiya Kinzo,"""......It's too noisy in the city. I much prefer a quiet island, with no one on it but my family. I like it here."""
Ushiromiya Rosa,"""But on Rokkenjima, if something happens, it would take some time for a doctor to arrive."""
Ushiromiya Eva,"""I agree. At your age, I think you should at least consider moving to Niijima."""
Ushiromiya Kinzo,"""......Yes, I am old. I want to live in peace, surrounded only by my family. ......And I am satisfied. I have this island to make that dream of mine come true."""
Ushiromiya Krauss,"""Father......"""
Ushiromiya Kinzo,"""Hmm...... It seems I've gotten you all down. Ladies and gentlemen, Gohda's lunch is now complete. Grandchildren, it will probably be raining constantly starting tomorrow. Now is the only time that you'll have clear skies. Why not go to enjoy the roses and then take a walk on the beach?"""
Ushiromiya George,"""That sounds good. Okay, everyone. Want to go?"""
Ushiromiya Maria,"""Uu! I wanna see the roses and walk on the beach! We can collect shells, and collect glass too!"""
Ushiromiya Battler,"""Collect glass? That, uh, sounds a bit dangerous...!"""
Ushiromiya Jessica,"""Fragments of glass get washed by the waves and become round, beautiful gems, which drift to shore. Did you forget, Battler? Remember how we used to pick them up together?"""
Ushiromiya Battler,"""Oh...... Were those pieces of glass? I always thought they were just pretty gems."""
Ushiromiya Maria,"""Have you ever seen a glass gem, Ange?!"""
Ushiromiya Ange,"""......No."""
Ushiromiya Maria,"""Then let's go!! I'll show you!! Let's go, let's go! But the first to see them gets them! I'm gonna get them all!"""
Ushiromiya Jessica,"""Heheh, in that case, I'm not gonna lose either. Let's see who can find the prettiest, biggest glass gem!"""
Ushiromiya Battler,"""Alright! Times like this, why not be a kid?! I'm not gonna lose either!"""
Ushiromiya George,"""Then I guess we'll be heading down to the beach."""
Ushiromiya Kinzo,"""Mm. Take it easy and enjoy your time together, grandchildren."""
,The cousins rose from their seats and noisily left the dining hall.
,Maria grabbed Ange's hand and dragged her along.
,"However, Ange's expression was vague and absentminded, the opposite of Maria's full smile......"
