Speaker,Chinese Simplified (CN)
Ushiromiya Kinzo,「缘寿还小。而且，经常因为身体不好，不能到六轩岛上来。……肯定没法，好好记得我吧。」
,年幼的孩子，有着特有的无情。
,那就是，会觉得温柔是自己理所应当享受的东西。
,所以，会觉得人的温柔对待是理所应当的，……不会把它留在记忆里。
Ronoue Genji,「………父母之恩也是如此。要想对此有所理解的话，缘寿小姐还需要年月的积累吧。」
Ushiromiya Kinzo,「总有一天。………会想起我是个有趣的爷爷来吧。」
Ronoue Genji,「……是的。一定会。」
Ushiromiya Kinzo,「………………………………」
,金藏的表情，有一些阴沉。
,……他是知道等缘寿长大之后，世间对右代宫金藏有着怎样的评判的吧。
,世间所知的右代宫金藏，和对待孙儿们的金藏，简直不是同一个人。
,当她知道的时候。……缘寿想起的会是右代宫金藏那世人所知的暴君的一面呢，还是微笑着的笑脸呢。
Ushiromiya Kinzo,「………可以的话，我希望能想起我的笑脸，……这会不会是个过高的奢望啊。」
Ronoue Genji,「……………………………」
{f:5:Beatrice},「这也没有办法。小孩就是这样的。」
Ushiromiya Kinzo,「是贝阿朵啊。」
{f:5:Beatrice},「小孩会饱尝温柔，然后绝不会留下记忆。再过 12 年的话，只会知道右代宫金藏是个怎样的奇人怪人吧。被这些所涂改，汝的笑脸，仅有被遗忘的命运。」
Ushiromiya Kinzo,「………也是啊。不管有多疼爱，这也是得不到回报的爱。」
{f:5:Beatrice},「但是，就如同不养儿不知父母恩一样。……缘寿也总有一天，会想起来的吧。……想起汝对孙女，是报以怎样的笑颜的。」
Ushiromiya Kinzo,「呵……。忘了也好。仅有一刻，她能够对我微笑，这就足够当做我带去阴间的礼物了。这就是，无偿的爱的境界吧。」
{f:5:Beatrice},「爷爷真是，得不到回报的存在啊。」
Ushiromiya Kinzo,「无所谓回报。只要能回想起刚才缘寿的微笑。我就算今夜就被迎去另一个世界也没关系。哇哈哈哈哈哈哈哈哈……」
,金藏寂寞地笑着，摆了下披风。
,他作为爷爷对缘寿施与的爱，已经足够了。
,虽然希望能够给缘寿留下记忆，但这谈不上是愿望。
,这就是，无偿的爱的境界。
,看着这样的金藏的背影，贝阿朵再次凝视缘寿的背影。
{f:5:Beatrice},「…………缘寿。……汝以后一定要想起来。……金藏到底，给汝展现了怎样的笑容。」
,那，这次找谁来出题呢？
,挑战越多人，答对越多得到越多金币，就能得到很棒的奖励来向大家炫耀了。
,在那里的是藏臼伯父和夏妃伯母。
,他们在看着这边微笑。肯定，是准备好了什么有意思的问题吧。
,那边是秀吉姑父在招手。
,有趣的姑父，一定会出个有趣的问题吧。
,对面是爸爸和妈妈。{n}挥手说着给你准备好了好好期待吧。
,……爸爸好像知道很多刁钻的问题，说不定挺难对付。
,那边的是楼座姑母和真里亚姐姐。{n}两人在看猜谜书，好像是在寻找问题。
,有时，真里亚姐姐会瞥向我这边，唧嘻嘻嘻嘻地笑。
,偶尔姐姐也很刁难人，所以问题也肯定是很刁钻的。
,再往里，是战人哥哥和让治哥哥还有朱志香姐姐。
,……战人哥哥虽然平时很温柔，但有时也会说些刁难人的话，以让我为难为乐。
,……肯定会出很刁难人的问题。我这么觉得。
,就没有人会出不太刁钻的问题吗？
,在头脑的转动回到正常状态之前，想尽量从简单的问题挑战起。
,在那边的是源次先生和南条医生。{n}那两个人应该不会欺负人才对。
,还有，纱音和嘉音。
,纱音知道很多的谜题和故事。肯定会出超难的吧。
,然后，在倒茶的乡田先生和熊泽婆婆。
,熊泽婆婆说不定很强。……总觉得，会出很能迷惑人的问题来。
,……好像，大家都够难摆平的呢。{n}嗯………。
Ushiromiya Hideyoshi,「小缘寿。我可准备了不得了的问题呐…！到这边来呀！」
,秀吉姑父在叫我。{n}……怎么办。要挑战试试吗？
Ushiromiya Eva,「要去秀吉姑父那里吗？」
Ushiromiya Ange,「嗯。顺序没有关系。因为我是要挑战所有人的。」
,我跃跃欲试地，走向秀吉姑父。
Ushiromiya Hideyoshi,「哇哈哈哈哈哈哈，来得好啊。俺这可是难题呐。」
Ushiromiya Eva,「亲爱的会出什么样的问题呢。可不许出特别难的题哟？」
Ushiromiya Ange,「难也没事。我会答对的。」
Ushiromiya Hideyoshi,「哦哦，这可真让人期待呐…！那，要说了！」
,秀吉姑父咳了一声清清嗓子，说出了问题…。
Ushiromiya Hideyoshi,「俺出的啊，是个谜语呐。好了吗，好好听呐。知道桃太郎的故事吧？」
Ushiromiya Ange,「从河里漂来个大桃子？」
Ushiromiya Hideyoshi,「是呐。但是啊，我说的这条河里漂来的是艾蒿呐。」
Ushiromiya Ange,「艾蒿？？」
Ushiromiya Hideyoshi,「是呐！然后第二天，漂来了个白蒜呐！」
Ushiromiya Ange,「白蒜，味道怪怪的不喜欢。」
Ushiromiya Hideyoshi,「到第三天啊，这次漂来了蚕豆呐！第四天是冬瓜。第五天是鳄梨。第六天漂来了番薯呐！」
Ushiromiya Eva,「呵呵。这故事真怪。在上游莫不是有个菜站啊。」
Ushiromiya Hideyoshi,「那么，问题来了。到了第七天，你觉得会漂来什么呢？！」
Ushiromiya Ange,「诶…？！」
Ushiromiya Eva,「姑母已经明白了。小缘寿明白了吗？」
Ushiromiya Ange,「不明白。」
Ushiromiya Eva,「那给你个提示吧。漂来的东西，都是根据顺序来的。知道那是什么顺序吗？」
Ushiromiya Hideyoshi,「哇哈哈哈哈！这可是大提示呐…！」
Ushiromiya Ange,「………完全，搞不懂。」
Ushiromiya Hideyoshi,「哇哈哈哈哈哈哈哈。好像太难了啊…！」
Ushiromiya Eva,「姑母连第八天会漂来的都知道哟？肯定是漂来花菜吧？」
Ushiromiya Hideyoshi,「是呐。然后，第九天大概是，……i、………i…。……i 开头的农作物想不出呐！」
,还是不太明白。嗯，真遗憾。
Ushiromiya Ange,「我知道了！高丽菜！」
Ushiromiya Eva,「对，正确哟。虽然选项里没有，但“根芹”也一定是正确答案哦。」
,这是字母表的顺序。艾蒿的“a”。白蒜的“b”。蚕豆的“c”。
,就这样，a、b、c、d、e、f，地继续下去。
,按照顺序，“f”之后是“g”了。所以正确答案是，由“g”开头的东西。
Ushiromiya Ange,「谢谢，这是靠姑母的提示解开的。」
Ushiromiya Eva,「呵呵。这是小缘寿自己解开的。好厉害哦。」
Ushiromiya Hideyoshi,「哎呀哎呀，真棒呐！来，给你答对的金币…！」
,秀吉取出金色的纪念币，放在我的手掌上。
,手里沉甸甸的。嗯，真有获胜的感觉。
,就这样继续努力吧！
Ushiromiya Hideyoshi,「俺啊，连绘羽的份一起，还拿到了一枚金币呐。但是，已经想不出问题来了呐。」
Ushiromiya Eva,「那，我来给小缘寿出个题吧？」
Ushiromiya Ange,「诶？绘羽姑母来？」
Ushiromiya Eva,「是啊。由随从来向公主出题♪ 正好想到个有意思的题，你可一定要来挑战下哦！」
,绘羽姑母笑得很灿烂。
,金币是拿得越多越好，所以机会当然也是多多益善。
Ushiromiya Ange,「嗯，我要挑战。」
Ushiromiya Eva,「呵呵。就是这个气势。那，我出题咯。」
Ushiromiya Eva,「姑母有没有说过，我特别喜欢旅游啊？」
Ushiromiya Ange,「嗯。说绘羽姑母您经常去国外旅行。」
Ushiromiya Eva,「是呀。所以这个问题是关于旅游的。某个地方有个旅人。」
Ushiromiya Ange,「旅人？」
Ushiromiya Eva,「那个旅人啊，先向北走了 5km。」
Ushiromiya Ange,「……这个问题，要记在纸上吗？」
Ushiromiya Eva,「不用。没那么复杂，只要听一遍就 OK。」
Ushiromiya Eva,「旅人他，先向北走了 5km。然后向东走了 5km。之后又向南走了 5km。」
Ushiromiya Ange,「…………向北 5km。向东 5km。向南 5km。……是走了个门字型吗？」
Ushiromiya Hideyoshi,「是这样呐！算出来应该是在离开始地点东边 5km 的地方。」
Ushiromiya Eva,「按理说是这样哦？但是没想到，旅人走到的是起始地点。……你觉得这种奇怪的事，有可能吗？」
Ushiromiya Hideyoshi,「哇哈哈，这种事不可能有呐！指南针是不是坏掉了呐？」
Ushiromiya Eva,「才不是那样的呢！唔呵呵呵呵，小缘寿，懂了么？」
Ushiromiya Ange,「不是指南针的原因？……这是谜语吗？」
Ushiromiya Eva,「不不，正经是问答题哟？作为提示啊，好好想想地球仪？」
Ushiromiya Ange,「…………不知道。」
,我从来就没去国外旅行过。
,说不定这个世界上会有个，走门字型也能回到起点的奇怪地方。
,……比如百慕大三角，什么的…。
Ushiromiya Eva,「嗯……。对小缘寿来说，是不是太难了啊。」
Ushiromiya Ange,「向北走再向东走再向南走还能回到起点的地方，不可能有的。」
Ushiromiya Eva,「这个啊，是有的哦？就在地球上的某个地方。家里要是有地球仪的话，看着它好好想想吧。实在不明白的话，就去找爸爸问吧？」
Ushiromiya Ange,「嗯，会去问的。所以，告诉我正确答案…！」
Ushiromiya Eva,「呵呵。答案是，特别冷～的地方哟？冷的地方是地球上的哪里啊？好好想一想吧。懂了的话，小缘寿也可以用这题来考班里的同学。大家一定会吃惊的呢。」
,冷的地方是哪里啊。……北海道？
,就算是北海道，也没有个向北走向东走向南走就能回到起点的地方吧。
,……嗯。搞不懂。认输。
Ushiromiya Hideyoshi,「那，俺们的问题就出完了呐！去找别人来出题吧！」
Ushiromiya Eva,「走吧！下一个要挑战谁呢！」
,既然知道这么复杂的问题，肯定绘羽姑母对猜谜很在行吧。
,和姑母在一起，一定能收集到很多金币。
,下回要找谁来出题呢…！
Ushiromiya Ange,「我知道了…！是特别冷的地方！嗯，那里特别的冷，绝对是！」
Ushiromiya Eva,「答对了！真棒啊，小缘寿这个年纪就知道，真是个小天才。」
Ushiromiya Hideyoshi,「把南极点当成起点的话，向北再向东走，就等于是相对于南极点画个圆呐。所以再向南走，就会回到南极点了呐。」
Ushiromiya Eva,「本来以为能够难住你的，小缘寿可真是厉害呢。」
Ushiromiya Hideyoshi,「恭喜呐！来，这就是另一枚金币呐。」
,得到了金色的，沉甸甸的金币。
,真好真好，做得真棒…！我和绘羽姑母一起做胜利的姿势。
Ushiromiya Hideyoshi,「那，俺们的问题就出完了呐！去找别人来出题吧！」
Ushiromiya Ange,「嗯，谢谢你，秀吉姑父…！」
Ushiromiya Hideyoshi,「你绘羽姑母可聪明了…！两个人一起的话，金币大把大把来呐！」
Ushiromiya Eva,「嗯，是哟。大把大把来哦！」
Ushiromiya Ange,「嗯。一起加油吧，绘羽姑母。」
,我走了出去。{n}下一个要找谁出题呢…！
,秀吉姑父微笑着，挥手送我离开……。
,为了寻求下一个出题者，而高兴地跑出去的缘寿，被秀吉和绘羽静静地目送。
Ushiromiya Eva,「………明明是个有着那样可爱笑容的孩子，……我却，………把那笑容夺走了…」
Ushiromiya Hideyoshi,「绘羽……………」
,绘羽低下头。在她的眼角，一颗泪滴，正闪着光芒…。
Ushiromiya Eva,「要是考虑她的心情的话，这是理所当然的事。……但是，我却没能接受她……」
Ushiromiya Hideyoshi,「这也没办法。你也是个普通人呐。人总会有，无法割舍的东西呐。」
Ushiromiya Eva,「就算如此，也是我不对…！好歹我也是个育有一儿的母亲啊？！………我应该成为那个孩子的母亲的。……但是，我只顾自己沉浸在悲伤中，没有那么做…」
Ushiromiya Hideyoshi,「这也没办法。这也没办法呐…！这不是你一个人的错呐…！别这么责备自己！」
,绘羽已经无法制止呜咽声…。{n}她低头颤抖着，豆大的泪珠扑簌簌地落下…。
Ushiromiya Eva,「我犯下了，何等罪孽……。………那孩子和我是一样的悲伤…！但我却认为是自己更悲伤，……没能接受那孩子的感受……。………我没有做母亲的资格…。没有去做，………那孩子的母亲………」
Ushiromiya Kyrie,「不。……你已经很努力了，绘羽姐。」
Ushiromiya Eva,「雾江…」
,不知何时，雾江站在了绘羽的身后。还有留弗夫。
Ushiromiya Kyrie,「我知道你为了和缘寿和谐相处，做了各种努力。」
Ushiromiya Rudolf,「……大姐已经忍得够多了。到现在都还不理解大姐的辛苦，我家这女儿真会给人添麻烦。」
,六轩岛事故之后。
,独自从六轩岛生还的绘羽，将当天缺席而活下来的缘寿迎为养子。
,……之后，变成互相伤害这样悲哀的关系的两个人，一开始也并没有那么险恶。
,绘羽为了把缘寿当做新的亲人，当做最后的唯一血亲而努力尝试着贯注爱情，拼命忍着自己的悲伤。
,但是缘寿没有接受这些。{n}把唯一生还的绘羽，骂作夺走自己双亲的凶手。
,……绘羽理解 6 岁的小孩的伤心，努力地忍受着。{n}咬着牙，向缘寿倾注不被回报的爱情。
,但是，………绘羽也被，深深地伤害着。
,她那悲伤的努力最终没得到回报，…………之后的未来，也成了悲哀。
Ushiromiya Kyrie,「你已经试着对缘寿倾注和对让治君一样的爱了。」
Ushiromiya Eva,「但是，……这只是我自以为是，……完全没能传达给小缘寿…」
Ushiromiya Rudolf,「没有接受它的是缘寿。这不是大姐的责任。」
Ushiromiya Eva,「哪能要求 6 岁的小缘寿理解这些呢…！就算如此我也应该为了能传达自己的感情，更加地……，明明必须要忍下来才行的…！」
Ushiromiya Kyrie,「绘羽姐。这一点你一定要相信。」
Ushiromiya Eva,「………………………」
Ushiromiya Kyrie,「我们从来，……都没有责怪过你。」
Ushiromiya Eva,「……雾江……………」
Ushiromiya Kyrie,「为了缘寿，肯接受那么深的伤害，谢谢你……。………那孩子只要有人的心，总有一天，一定会察觉到你所倾注的爱情的。」
Ushiromiya Rudolf,「谢谢你，大姐。我们会，永远感谢你的……」
Ushiromiya Hideyoshi,「…………太好了呐，绘羽……。……你的努力啊，……总算，……被承认了呐……」
Ushiromiya Eva,「呜呜呜……、呜呜呜呜呜呜…………」
Gohda Toshiro,「如何啊，缘寿小姐？可以的话，请务必来挑战鄙人乡田啊。」
Kumasawa Chiyo,「嚯嚯嚯嚯。熊泽婆婆我也，准备了好～难的问题了哟？」
Ushiromiya Ange,「难的问题也不在乎。缘寿不是一个人嘛。我和绘羽姑母一起来答！」
,乡田和熊泽在劝我挑战他们。{n}反正是要挑战所有人的，谁在先都无所谓。
,绘羽姑母挥手催我快点来，我就奔向了姑母。
Ushiromiya Eva,「这次是这两个人来出题？从哪个开始挑战？」
Ushiromiya Ange,「那，乡田先生。」
Gohda Toshiro,「好好，遵命。那么鄙人就出题了。」
Kumasawa Chiyo,「嚯嚯嚯嚯嚯嚯。可是难题哟？」
Ushiromiya Ange,「难题也能解开。我已经知道要领了。」
Ushiromiya Eva,「可不能小看小缘寿呢？对吧！」
Ushiromiya Ange,「对吧！」
Gohda Toshiro,「那可真是。…那么，就出一道和鄙人乡田相关的，关于厨房和料理的问题吧。」
Ushiromiya Eva,「这次一起挑战吧。不懂的时候就来问姑母吧？我会给你些提示的。」
Ushiromiya Ange,「……被提示的话就得不到金币了吗？」
Ushiromiya Eva,「和金币没有关系的，尽管来依赖我吧！」
Ushiromiya Eva,「姑母我，知道了。提示是，魔女比平时都要晚回来这点？」
Ushiromiya Ange,「……比平时晚会发生什么啊？」
Ushiromiya Eva,「好好想想？饭都是在固定的时间做好的哟？也就是说，比平时回来得晚的话，……会出现什么状况呢？」
Ushiromiya Ange,「………不明白。食物会说话太奇怪了。」
Gohda Toshiro,「不不，这是童话故事里的问题啦……」
Kumasawa Chiyo,「呵呵呵呵呵呵…。看起来，还是没能理解呢。」
,我所选择的答案，好像不是正确的。……遗憾。
Ushiromiya Ange,「那，告诉我正确答案。绘羽姑母是知道的吧？告诉我！」
Ushiromiya Eva,「好啊。答案是，」
Gohda Toshiro,「绘羽夫人，请您谅解…！菜谱和谜语的答案，都要保密才能出彩的。」
Ushiromiya Eva,「是吗…？呵呵，那么就等会儿在乡田先生不在的地方，悄悄地告诉你吧——。」
Ushiromiya Ange,「嗯，约好了。」
,不过，就算过后会告诉我答案，答错了还是答错了。
,没办法。重新打气精神，来挑战熊泽婆婆的问题吧。
Ushiromiya Ange,「是冰激淋！因为魔女回来得太晚了，那时就已经化掉了。所以没法吃了！」
Ushiromiya Eva,「答得好！如何啊？小缘寿真是很聪明吧？」
Gohda Toshiro,「恭喜您，缘寿小姐。实在佩服。鄙人乡田，拿手的这个难题，居然这么简单地就被解开了…！」
Ushiromiya Ange,「简直太简单了嘛。绘羽姑母刚才的题还更难些。」
Ushiromiya Eva,「呵呵，谢谢夸奖。」
Gohda Toshiro,「恭喜您。这是，作为答对问题的奖励的金币。」
Ushiromiya Ange,「谢谢！」
,好好，这真是胜得轻松。{n}之后来挑战熊泽婆婆的问题吧。
Kumasawa Chiyo,「下一个是我呢。那么就用我特别准备的，好难～的问题来考考缘寿小姐吧。那么开始了哦？」
Ushiromiya Ange,「难题是，有多难？」
Kumasawa Chiyo,「嚯嚯嚯嚯嚯嚯。这就是挑战的期待啊。那么我要出一个关于鲭鱼的甜点的问题。」
Ushiromiya Ange,「鲭鱼的甜点…？」
Ushiromiya Eva,「熊泽婆婆的话，肯定会出个大难题。要多多注意啊。」
Ushiromiya Ange,「嗯。」
Ushiromiya Ange,「姑母，你明白了吗？」
Ushiromiya Eva,「缺一个字的话，答案肯定是俏皮话一类的东西。想想さば（鲭鱼）加上一个字，能不能变成甜点……。……啊，我知道了！」
Ushiromiya Ange,「诶？！什么？什么？！」
Ushiromiya Eva,「总之，用姑母说的这几个词试试？就会有答案了。」
Kumasawa Chiyo,「噗噗。您可答错了哟——。」
Ushiromiya Ange,「诶——？！不明白！完全不明白…！」
Kumasawa Chiyo,「呵呵呵呵呵呵，答错了就是答错了。这对缘寿来说稍微有些难了吧。」
Ushiromiya Eva,「真是的，熊泽婆婆。这问题多讨厌的…」
Ushiromiya Ange,「这太奇怪了！鲭鱼怎么能做甜点呢！答案是什么？告诉我！」
Kumasawa Chiyo,「呵呵呵呵呵，说出来就没意思了。不快点找出答案的话，……甜点就真的要变成鲭鱼了哟？咿嘻嘻嘻嘻嘻嘻嘻嘻……」
Ushiromiya Ange,「答案，告诉我嘛——。」
Kumasawa Chiyo,「就不告诉您。」
,熊泽朗朗地笑着，就是顽固地不让我。{n}不管我怎么粘她，都不会告诉我答案吧。
Gohda Toshiro,「那么，我们的问题就出完了。其余诸位也在等着缘寿小姐来挑战吧。来，请去挑战下一位吧。」
Kumasawa Chiyo,「祈祷缘寿小姐能一路顺风。」
Ushiromiya Ange,「嗯。我会更努力，收集更多金币的！」
Ushiromiya Eva,「是啊，不沮丧不沮丧。再多多加油吧！」
,我们走了出去。{n}那，下一个要挑战谁呢…！
Ushiromiya Ange,「我知道了！缺的字是“く”！鲭鱼加上“く”就是，{ruby:さばく:沙漠}！」
Kumasawa Chiyo,「呵呵呵呵呵呵，回答正确。」
Ushiromiya Eva,「さばく就是“沙漠”。{ruby:desert:沙漠}和{ruby:dessert:甜点}的英语发音几乎是一样的…！」
Ushiromiya Ange,「我会英文。厉害不？厉害不？！」
Ushiromiya Eva,「真不愧是小缘寿，真聪明！来摸摸头…！」
Ushiromiya Ange,「嗯——。被姑母摸头很舒服，我喜欢。」
Kumasawa Chiyo,「鲭鱼加上“く”就能做甜点。鲭鱼可真是了不起呢。」
Gohda Toshiro,「因为这样的俏皮话而让甜点用鲭鱼做的那天，我估计会被炒鱿鱼的……」
Ushiromiya Ange,「我也不要。甜点还是冰激淋好。」
Ushiromiya Eva,「啊哈哈哈哈哈哈，的确。没事吧？今天的甜点。」
Kumasawa Chiyo,「哦呵呵呵呵呵呵……。在厨房，鲭鱼做的水果冻糕，正为了让大家大吃一惊而等着呢哟？」
Ushiromiya Ange,「才不要呢！！」
,大家都大笑着。
,我这段时间里，都在持续着冻糕变成用鲭鱼漂亮地装点着的恐怖想象…。
Kumasawa Chiyo,「这真是遗憾……。为了不让缘寿小姐得到太好的奖励而绞尽脑汁想出来的问题，居然被这么轻松地解开了。」
,虽然这么说，熊泽还是朗朗地笑着。{n}她那皱纹累累的手里，金色的纪念币正闪着光。
,缘寿便收下了它。
Kumasawa Chiyo,「那，我们的问题就已经出完了。」
Gohda Toshiro,「请就这样继续下去，收集很多的金币，来从老爷那里获得最好的奖励来吧！」
Ushiromiya Ange,「嗯。谢谢。我会更努力的…！是吧，绘羽姑母！」
Ushiromiya Eva,「呵呵！就这样继续下去吧！」
,我们走了出去。{n}那，下一个要挑战谁呢…！
Kumasawa Chiyo,「总是藏在雾江夫人身后，战战兢兢的那个小孩，何时长成了这么有精神的孩子呢…」
Gohda Toshiro,「……每次举办亲族会议，就能感受到年轻人的成长。再过上几年的话，缘寿小姐也会懂得恋爱，懂得化妆，成长为一名出色的女性吧。」
Kumasawa Chiyo,「是啊……。如果是普通地，一年年长大的话…」
,残酷的命运，……强迫缘寿这只雏鸟，迎接独自一人的未来。
,卵如果不加以温度，就不能孵化。{n}她这枚卵，没法得到温暖，也就无法孵化…。
Gohda Toshiro,「缘寿小姐就只能作为冷却的卵，迎接孤独的未来吗…」
Kumasawa Chiyo,「……卵壳总是从内侧被打破的。……虽然冷却的壳会特别特别的硬，但也并非无法打破。」
Gohda Toshiro,「缘寿小姐，会有那么坚强吗。」
Kumasawa Chiyo,「缘寿小姐能否得到它。这就是这最后的游戏的意义。」
Gohda Toshiro,「我们是不是应该，给予更多的信息啊。……至少，让这无法温暖的卵能够更容易破壳，稍微从外侧敲一敲之类。」
Kumasawa Chiyo,「若是硬是让没有自己破壳而出的力量的雏鸟出来的话，肯定无法忍耐寒风吧。缘寿小姐必须要自己来获得，这份力量和坚强。」
Gohda Toshiro,「……但是，这份力量和坚强，我们就不能告诉她些什么吗？」
Kumasawa Chiyo,「语言并不是能被给予的东西，而是需要接受的。……我们不论给予了什么，缘寿小姐要是不接受的话，就没有任何意义。」
Gohda Toshiro,「…………是啊。我们不论告诉什么，缘寿小姐要是不听的话，就没有意义。」
Kumasawa Chiyo,「呵呵呵呵……。只能远远地看着啊，我们。因为就算能牵马到水槽边，也不能强迫它喝水啊。」
Gohda Toshiro,「就只能祈祷，缘寿小姐能够自己选择，……更好的未来了。」
Kumasawa Chiyo,「缘寿小姐她仅是为了排解悲伤和绝望的愤怒而无法随心所欲。……要是能将缘寿小姐真正追求的唯一的愿望，还原出原本的纯粹的话。她绝对能，实现自己最大的愿望吧。」
Gohda Toshiro,「真是讽刺。……这最大的愿望，从最开始就被否定了。」
Kumasawa Chiyo,「笑口常开福自来。摆哭脸遭不幸。信者可得救赎。……人的思念，那份坚强，自己的未来都是自己走出来的。」
Gohda Toshiro,「哪怕，只把这句话告诉她也好啊……」
Kumasawa Chiyo,「战人少爷也是严格。……这样的话都不允许说，只能希望缘寿小姐能自己察觉到了。」
Gohda Toshiro,「………我们也只能远远地看着呢。」
Kumasawa Chiyo,「所以，祈祷吧。希望她能够抓住，她最期望的未来。」
Nanjo Terumasa,「哦呀，您这是来指名我们吗。」
Ushiromiya Ange,「嗯。反正是要挑战所有人的。对吧，姑母！」
Ushiromiya Eva,「对呀！来，给我们出题吧。我们会对答如流的！」
Nanjo Terumasa,「哈哈哈哈。这样啊这样啊。那就必须得出珍藏着的大难题咯。」
Ushiromiya Kinzo,「源次。你也来出个题吧。出最难的啊。」
Ronoue Genji,「遵命。……那么，我就出个最难的。」
,唔哇。
,本以为源次先生会出个简单的问题呢，结果说是特难的。真可怕。
,但是，总归是要打倒的对手。不可以带着恐惧。
Nanjo Terumasa,「那，就从我先开始吧。因为我是个医生。那就出个关于“救”的问题吧。」
Ushiromiya Ange,「“?”是数字吧？但是“救救”是文字呀？数字＋文字要怎么计算啊？」
Ushiromiya Eva,「救救啊，有点像是俏皮话呢。你看，救救听着像不像“99”？」
Ushiromiya Ange,「也就是说，? 加上 99 就是救护车了？」
Ushiromiya Eva,「?＋99 算出来的数字，到底怎么成为救护车呢。…………啊，我知道了！」
Ushiromiya Ange,「咦，真的？！是什么，为什么？！」
Ushiromiya Eva,「给个提示。不是救护车的亮红灯的车，是指警车哟？呵呵，已经懂了吧？」
Ushiromiya Ange,「呃，……嗯——……，……不知道…」
Nanjo Terumasa,「哦呀哦呀，不知道吗？我觉得这题还挺简单的呢。」
,没能解出的问题被这么一说，让人有些生气。
,可是，就算不服气，就算很恼火，还是想不出答案来。
Ushiromiya Eva,「嗯——，真可惜啊。我觉得都已经想得差不多了…」
,绘羽姑母似乎是知道了答案。在为我没有想到一起去而遗憾着。
Ushiromiya Kinzo,「………唔唔唔唔…？啊，原来如此，我知道了！救护车加上 2 的话，就连天气都能知道了啊。」
Nanjo Terumasa,「答得漂亮，金藏先生。那么，这枚金币就得交给您了呢。」
Ushiromiya Kinzo,「哇哈哈哈哈哈哈。抱歉啊，缘寿。这枚金币是爷爷我的啦。」
Ushiromiya Ange,「………我才没有不服气呢。」
,金色的纪念币，从南条手上交给了金藏。
,那枚金币本应是我的……。就算不服气也晚了。
,救护车加上 2…？这要怎么知道天气啊…？？
Ushiromiya Eva,「会告诉你天气预报的电话号码，是多少啊？」
Ushiromiya Ange,「…………？？？」
,果然，还是不明白。{n}还是打起精神，挑战源次的问题吧。
Ushiromiya Ange,「20！20 加上救救（99），119。叫救护车的电话号码！」
Ushiromiya Eva,「从 130 减去 20，110。这是叫警车的电话号码哦。」
Nanjo Terumasa,「真棒！答对了。果然小缘寿的头脑很灵活啊。」
