Speaker,Italian (IT)
{f:5:Bernkastel},"Questo è il mio piccolo regalo d'addio per te, povera anima catturata da Beato. È proprio come un cucchiaio."
{f:5:Bernkastel},"Un cucchiaio puoi usarlo non solo per bere della zuppa.{n}Puoi usarlo per scavare attraverso la prigione di pietra in cui sei stato rinchiuso, o come arma per cavare gli occhi della strega..."
{f:5:Bernkastel},"Ovviamente, puoi anche usarlo per sorseggiare all'infinito la tua zuppa annacquata, tra le mura di pietra della tua eterna prigione..."
{f:5:Bernkastel},"Non farti un'idea sbagliata, non ho alcuna intenzione di diventare una tua alleata."
{f:5:Bernkastel},"Ti compatisco, ma non ti aiuterò...{n} È come se fossi seduta davanti al televisore: non importa quante volta io urli ad un personaggio dall'altra parte dello schermo, la mia voce non lo raggiungerà mai."
{f:5:Bernkastel},"{a:c:DOPOTUTTO, SAI CHE ANCH'IO SONO UNA STREGA, VERO?}"
{f:5:Bernkastel},"Intendo gustarmi questa storia infinita che Beato sta tessendo, finché non me ne stancherò. Ma non basterà a tenere vivo il mio interesse..."
{f:5:Bernkastel},È per questo che ti presterò il mio potere. Così non mi annoierò.
{f:5:Bernkastel},"Io sono la strega più crudele del mondo.{n}Qualunque sia il mio avversario, io lo piegherò senz'altro..."
{f:5:Bernkastel},"Anche se fosse {f:5:Beatrice}, la Strega dell'Infinito, chiaro...?"
{f:5:Bernkastel},"Tu sei la mia pedina. Fai del tuo meglio.{n}La terrò all'oscuro, e ti darò dei consigli di tanto in tanto."
{f:5:Bernkastel},"Non annoiarmi, va bene...?"
{f:5:Bernkastel},Uhuhuhuh...
