Speaker,Italian (IT)
,"Non c'era l'aura solenne di un luogo come la cappella, solitamente priva di persone. Le tracce suggerivano chiaramente che qualcuno avesse soggiornato in quella stanza."
,"Tuttavia, non si vedeva da nessuna parte."
,"Ad onor del vero, sia Jessica che Gouda non avevano ancora incontrato {f:5:Beatrice}."
,Avevano solo sentito da quelli che si erano imbattuti in lei che era una copia sputata del soggetto del ritratto...
,"Perciò, non erano certi su come fosse veramente la sua faccia..."
,Ma Kanon era il solo ad averla incrociata. Sapeva che tipo di entità fosse la strega... e come fosse la sua personalità.
,"Pertanto, se avevano fatto irruzione lì per cercarla, era garantito che le cose non sarebbero andate come si voleva."
,"Sicuramente stava osservando da qualche parte i loro sforzi inutili, prendendosi gioco della loro frustrazione... Lei era quel tipo di persona."
,"Esaminando la situazione da quella prospettiva, Kanon fu il primo a trovarlo... Dato che gli altri due si stavano concentrando per trovare la sagoma di una persona, non ci avevano fatto caso."
,"Accanto ad una brocca posta su un tavolino, c'era un foglio di carta da lettere. C'era un breve messaggio, insieme ad una stilografica che probabilmente era stata usata per scriverlo..."
,"Kanon aveva compreso le intenzioni della strega. Dopo aver scoperto i sei cadaveri, erano stati sopraffatti dalla rabbia ed erano entrati di prepotenza, per poi non trovare nessuno, e la strega si stava prendendo gioco di ciò..."
,"Non si può manifestare il disprezzo senza comunicarlo.{n}Per cui, in altre parole... era di sicuro per quello...!"
Kanon,"""...Signorina... Qui c'è scritto qualcosa."""
Ushiromiya Jessica,"""Scritto qualcosa, hai detto?"""
,"Jessica si diresse subito verso di lui, e afferrò la carta da lettere in malo modo."
,Probabilmente non intendeva essere manesca...{n}Era solo che in quel momento non riusciva a dosare la sua forza.
Ushiromiya Jessica,"""...Che cosa...?! M-Mi sta {i:perculando}!!"""
,"Non appena lesse il messaggio, Jessica si infuriò come non mai, per poi accartocciare il foglio e scagliarlo via."
,"Dopodiché, prese una lampada da interni vicina al letto e la agitò all'impazzata, colpendo senza ritegno muri e mobili..."
,"La lampadina si frantumò in men che non si dica, sparpagliando schegge nei dintorni."
Gohda Toshiro,"""La prego, signorina, si dia una calmata...! Finirà per farsi male!!"""
Ushiromiya Jessica,"""Lasciami!! Maledetta, maledetta! Porta il tuo culo qui, {f:5:Beatrice}!! Come hai potuto fare questo a mamma e a papà?!! Ti faccio così tanta paura?!! Io ti ammazzo, ti ammazzo!! Mostra la tua faccia di merda, così ti sfonderò di cazzotti!!! Ti ho detto di lasciarmi, cazzooooooooo!!"""
,Sulla carta da lettere era scritto il seguente testo...
{f:5:Beatrice},"{e:070:―Mi credi così sciocca da starmene qui ad aspettare in tutta comodità la tua intrusione?{n} La tua aggressività non si addice a questa serata intellettuale.{n} Che tipo di facce dovevano avere i tuoi genitori per crescere una tale testa di rapa?{n} Sì, le ho viste, avevano un'espressione da vere teste di rapa, esattamente come la tua.{n} Adesso loro sono con la pancia piena a Dolcilandia!}"
,...Sembrava qualcosa che avrebbe scritto la strega... Voleva dire che aveva predetto che uno dei ragazzi che aveva perso i genitori si sarebbe fiondato qui...
,"...Se il caso voleva che si era nascosta da qualche parte nella stanza, sicuramente si stava rotolando per terra dalle risate..."
,"La strega era quel tipo di persona...{n}Rideva sardonicamente delle disgrazie altrui, in modo da allievare la sua noia millenaria...!"
Gohda Toshiro,"""Per favore, mi dia quella cosa...! Glielo ripeto, finirà per farsi male...! Nnnngh... Nnngh!!"""
Ushiromiya Jessica,"""Ti ho detto di lasciarmi!! Fanculo, fanculooo...!! Agh!"""
,Gouda strappò via la lampada dalle mani di Jessica...
,"Se avesse continuato a brandirla, avrebbe potuto urtare contro qualcosa e ferirsi..."
,"Agli occhi di Gouda, Jessica doveva sembrare impazzita dalla rabbia, e che stesse venendo consumata dall'indignazione che ardeva in lei."
,Ma gli occhi di Kanon vedevano le cose diversamente.
,"Probabilmente, le sue erano lacrime di tristezza occultate dall'ira..."
,Pertanto...
,"Nell'istante in cui le venne sottratta la lampada, Jessica scoppiò a piangere sul pavimento, graffiando il tappeto praticamente strisciante..."
,"Gouda rimase sorpreso, ma non Kanon..."
,"Impugnare la rabbia come un'arma era il suo modo di piangere, e una volta che glielo era stato privato... una reazione del genere era inevitabile."
Ushiromiya Jessica,"""Uuuuuuuuugh, waaaa{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}aaaah!! Papà... Mamma... uwaaa{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}auuuugh!!"""
,Se si teneva in conto il fatto che fosse una giovane figlia della famiglia Ushiromiya... il suo era uno stato alquanto miserevole...
,"Lacerò il tappeto con le sue unghie, e persino i suoi piedi dimenanti lo stavano raschiando."
,"Jessica piangeva, con un'intensità sempre più crescente... Perché se non l'avesse fatto, la rabbia l'avrebbe nuovamente avvolta fino ad inghiottirla completamente."
,"Ma ogni volta, le tornava alla mente il messaggio umiliante di quel foglio..."
, ‘Che tipo di facce dovevano avere i tuoi genitori per crescere una tale testa di rapa?’.
Ushiromiya Jessica,"""Non erano delle teste di rapa!! Papà e mamma erano entrambe delle persone intelligenti!! Erano molto intelligenti, al contrario di me!! Non erano delle teste di rapa! Rimangiati quello che hai detto, rimangiatelo!!"""
,"‘Sì, le ho viste, avevano un'espressione da vere teste di rapa, esattamente come la tua. Adesso loro sono con la pancia piena a Dolcilandia!’"
Ushiromiya Jessica,"""Aaaaaaaagh, maledizioneeeee!!! La ammazzo, la ammazzo, taglierò la pancia di quella troia e le farò fare la loro stessa fine!! Uuuuaaa{0}a{0}a{0}a{0}a{0}a{0}aaaaaah, waaa{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}aaaaah...!!! Hic, coff, coff, cough, cough, cough!!!"""
,"A forza di piangere e urlare, a Jessica venne un attacco d'asma... I domestici che la tenevano d'occhio accorsero da lei allarmati, massaggiandole la schiena, ma ciò servì solo a provocare l'ira di Jessica..."
Ushiromiya Jessica,"""Coff, cough!! Che fate?!! Se avete tempo da perdere in questo modo, andate a cercarla!! Trovatela, e portatela da me!!"""
Ushiromiya Jessica,"""Se non ci andrete voi, la cercherò io!! E la ucciderò con le mie stesse mani, farò a brandelli la sua pancia!!"""
Ushiromiya Jessica,"""Coff, coff, cough, cough!! Gack, gack!! Non mi toccate!!! Dannazione... Dannazione, coff, cough!! Coff, cough!!"""
,"Jessica si alzò barcollante, e con il suo asma ancora in corso, uscì lungo il corridoio..."
Gohda Toshiro,"""Signorina, la sua medicina, presto...! Chiamerò il dottor Nanjo!"""
Kanon,"""...Gouda‐san... Potrebbe... lasciare che ci pensi io?"""
,"Kanon se ne era accorto... Gouda, che aveva molti anni di differenza... probabilmente non riusciva a percepire le lacrime versate dal cuore di Jessica..."
,"Essendo stato lui a rendersene conto, doveva fornirle supporto."
Gohda Toshiro,"""K‐Kanon‐san... Sicuro di farcela...?"""
Kanon,"""...Penso che per ora, alla signorina serva del tempo per piangere. Aver visto il modo in cui i suoi genitori sono morti..."""
Gohda Toshiro,"""...Hai ragione."""
,Anche Gouda capì... Ed era anche consapevole del flebile rapporto che legava Jessica e Kanon tra loro.
,"Perciò comprese ogni cosa, e lasciò fare a lui."
Gohda Toshiro,"""...Capisco... Tornerò dalla signora Rosa... Mi raccomando, prenditi cura della signorina."""
Kanon,"""Sì... Lasci fare a me."""
,"La voce di Kanon era fiacca... ma aveva annuito energicamente.{n}Dopo averlo guardato negli occhi, Gouda annuì a sua volta allo stesso modo..."
,Gouda era un veterano con molti anni di esperienza alle spalle. Si era trovato di fronte a diverse tipologie di persone... Perciò conosceva la scintilla di determinazione che brillava negli occhi di coloro che possedevano autodisciplina.
,Era sicuro di averla vista negli occhi di Kanon...{n}Ragion per cui poteva lasciare a lui questo compito...
,"A rifletterci, forse era la prima volta che Gouda si fidava nell'affidare a Kanon un incarico..."
,"Jessica, che pativa il suo asma... sembrava dirigersi verso la sua stanza, sostenendosi contro la parete..."
,Kanon la seguì senza proferire parola.
,"Se gli avesse chiesto una mano, sarebbe corso ad aiutarla... Ma finché Jessica non glielo avesse chiesto, avrebbe nascosto le sue tracce, vigilando su di lei da una distanza da cui avrebbe sempre potuto accorrere in suo aiuto..."
,"Stanziando nel luogo in cui milioni di miliardi di persone, dal cuore sul punto di scoppiare per lo sconforto, avrebbero voluto avere qualcuno lì presente nel momento in cui si sarebbero girate con la testa, Kanon copriva silenziosamente le spalle di Jessica..."
,"E alla fine del suo percorso, lei si rannicchiò di fronte alla porta della propria stanza..."
,"L'attacco d'asma l'aveva privata di tutte le sue forze. Inoltre, i suoi pensieri erano offuscati dalla mancanza di ossigeno, e non riusciva più a reggersi in piedi..."
,"Ma in quel momento, Jessica non stava pensando di volere qualcuno che la aiutasse. Perché non era ancora riuscita a prevalere sulle fiamme della propria rabbia..."
,"Perciò, anche se le fosse stata offerta una mano con buone intenzioni, Jessica l'avrebbe voluta afferrare solamente per poi strapparla via..."
,"E dato che comprendeva quanto fossero irrazionali questi suoi pensieri... lei non avrebbe mai e poi mai chiesto aiuto, non finché non avrebbe placato le fiamme della propria ira."
,"Probabilmente, Jessica non aveva più le energie per chiedere aiuto..."
,Ma Kanon l'aveva sentita... L'aveva sentita senz'altro...
,"Kanon aveva senz'altro sentito quella richiesta di aiuto senza voce per cui miriadi di persone nel mondo gemevano dal dolore, lamentando il perché, a prescindere da quanto esse venissero urlate, non venivano mai udite."
,"Kanon si inginocchiò dolcemente al fianco di Jessica, offrendole il suo supporto senza dire una parola..."
,"Nonostante Jessica continuasse a tossire in maniera sofferente, lei accettò, aprì la serratura della sua stanza, ed entrò..."
Kanon,"""...Da questa parte... Adesso le preparo la sua medicina."""
Ushiromiya Jessica,"""...Cough, cough, cough...! G-Gack, gack, cough...!!"""
,"Jessica menzionava spesso che, quando il suo asma andava a peggiorare, stava così male da sentire l'impulso di vomitare fuori tutto il suo stomaco."
,"Era pallida in viso, e il suo sguardo era traballante.{n}E nonostante tutto, la sua tosse non voleva saperne di smettere..."
,A dispetto di ciò... la tristezza che provava era probabilmente ancor più forte...
,"Dopo averla fatta sedere sul letto, Kanon prese un broncodilatatore da una graziosa cesta su un comodino al suo fianco, per poi porgerglielo..."
,A volte Jessica dimenticava di portare la sua medicina con sé.
,"In casi in cui poteva accadere ciò, Kanon si comportava con tatto e ne teneva una di riserva nascosto con sé, prendendola dal kit di pronto soccorso nella stanza per i domestici, ma oggi non si era preparato."
,"Si incolpò di non averne una sottomano in una giornata di quel genere, chiedendosi come avrebbe potuto ancora definirsi un mobile."
,"E poi si ricordò del giorno in cui usò tale parola, tradendo in qualche modo i sentimenti di Jessica... Kanon ne era affranto... ma ritenne che, in confronto alla tristezza provata da Jessica in quel momento, era un'emozione decisamente inopportuna, e la relegò nelle profondità del suo cuore..."
Ushiromiya Jessica,"""...Aaah... Aaah... Aaah..."""
,"Quando Jessica inalò la sua medicina, il suo respiro affannoso si mitigò a poco a poco... e potè finalmente ritornare calma..."
,Ma la forza fisica e mentale rimastele non erano sufficienti a farla alzare dal letto.
Kanon,"""...Signorina... Sta bene?"""
Ushiromiya Jessica,"""...Io... sto bene... Sono ancora distrutta per mamma e papà... ma... se piangerò un altro po'... mi sentirò meglio..."""
Kanon,"""..."""
,Kanon si pentì di ciò che aveva detto.
,Le aveva davvero detto: ‘Sta bene’...?{n}Come aveva fatto a non comprendere lo strazio del suo cuore...?
,Questa era la ragione per cui era un mobile.{n}Questa era la ragione per cui non poteva diventare un essere umano...
Kanon,"""...Io sarò nel corridoio... Mi chiami immediatamente se ha bisogno di qualcosa."""
,Kanon capì che lei aveva ancora bisogno di altro tempo per piangere da sola.
,"Le disse di chiamarlo in qualsiasi momento, per poi inchinarsi e stare sul punto di lasciare la stanza."
Ushiromiya Jessica,"""...Ah..."""
Kanon,"""...Qualcosa non va?"""
,"Jessica aveva aperto la bocca come a volerlo fermare, pertanto Kanon si arrestò sui suoi passi."
,Era disposto ad aiutarla in qualsiasi modo lei avrebbe chiesto...
,"Sarebbe stato persino disposto a diventare un bastone o una sedia, se ciò avesse potuto lenire il dolore del suo cuore..."
,Se così facendo... avrebbe potuto porre rimedio al dolore che aveva arrecato al suo cuore quel giorno...
Ushiromiya Jessica,"""..."""
,"...Per un po', Jessica fissò dritto negli occhi di Kanon...{n}Gli aveva chiesto di fermarsi, eppure, dal suo atteggiamento sembrava non aver nulla da dire."
Kanon,"""..."""
Ushiromiya Jessica,"""..."""
,"Per un attimo di tempo, non si udì una singola parola... Quel silenzio fu spezzato da Jessica... con un bisbiglio."
Ushiromiya Jessica,"""...Scusa... Non è niente... Potresti dire a zia Rosa che vorrei rimanere da sola per un po'...?"""
Kanon,"""Io... non la lascerò sola."""
Ushiromiya Jessica,"""...Eh...?"""
Kanon,"""Io... non ti lascerò da sola. Per cui sarò nel corridoio... In qualsiasi momento vorrai... chiamami pure, per favore."""
,"Per un singolo istante, negli occhi di Jessica apparve una tenue speranza..."
,"Ma era molto fioca... e svanì in un soffio, così come la prima nevicata invernale svanisce sullo specchio d'acqua di un fiume."
Ushiromiya Jessica,"""...Grazie... Lasciami piangere da sola, solo per un po'..."""
Kanon,"""...Certamente... Con permesso."""
,"Kanon si inchinò nuovamente, per poi chiudere la porta..."
,"Avrebbe dovuto rivolgerle delle parole d'incoraggiamento....{n}Ma, per qualche motivo, si sentiva come se le avesse arrecato ulteriori afflizioni..."
,Perché...? Lui non lo sapeva...{n}Era senz'altro perché... lui era un mobile.
,"Per questo, anche in una circostanza del genere... non riusciva a contemplare la tristezza umana."
,"Kanon camminava lungo il corridoio, continuando a ripetersi tali frasi... Si sentì chiamato dalla frescura della finestra alla fine dell'andito."
Kanon,"""...Che io... in fin dei conti sia solo un mobile...?"""
,"Il mondo esterno era grigio e cupo, e stava ancora piovendo a capofitto..."
,"Anche in una giornata dal tempo simile, Shannon avrebbe sicuramente guardato il mare con la consapevolezza che fosse blu..."
,"Ma ai miei occhi, sarebbe stato grigio anche se il cielo si fosse schiarito..."
,Finché non sarei stato capace di distinguere il blu dell'oceano... non ero niente di più di un mobile che vestiva i panni di un umano...
{f:5:Beatrice},"""...Tu proprio non capisci il cuore di una donna... In momenti come questi, dovresti rimanere in silenzio al suo fianco... Kuahahahah, è esattamente per questo che sei un mobile."""
Kanon,"""...T-Tu..."""
,"Nel corridoio non si poteva scorgere la presenza di nessuno.{n}Vi permeava una fredda atmosfera, ed era privo di anima viva...{n}Ma alla schiena di Kanon giunsero parole di scherno."
,"Quando si girò... vide la figura della strega.{n}La strega che aveva lasciato una lettera di scherno per prendersi gioco di Jessica senza palesarsi, nonostante quest'ultima l'avesse cercata con una furia che l'aveva quasi fatta impazzire...!"
{f:5:Beatrice},"""Esistono tre modi per ferire una donna... Ti insegnerò quali sono. Uno è ferirle con una lama. Un altro è ferire il loro cuore..."""
{f:5:Beatrice},"""E poi c'è l'ultimo, il più difficile e il più efficace per ferirle. Eppure, con esso si può fare loro del male senza rendersene conto. Capisci che intendo...?"""
Kanon,"""C-Come potrei capirlo...? Non voglio neanche sapere cos'è!!"""
{f:5:Beatrice},"""È tradire le loro speranze... Non esiste creatura più sognatrice di una donna! Sono loro stesse a creare i sogni con cui poi si mortificano... Un uomo distaccato come te è quello che ferisce una donna meglio di ogni cosa! Tu non potresti capire. Non sei minimamente in grado di concepire quanto tu abbia ferito Jessica..."""
{f:5:Beatrice},"""Sei un mobile, dopotutto! Kuahahahahahahahahahahah!"""
Kanon,"""N-Non ho alcuna intenzione di prestare ascolto alle tue farneticazioni...!{n}Sei apparsa solo per deridermi?!!"""
{f:5:Beatrice},"""Non montarti la testa, mobile. La feccia come te non è degna nemmeno di essere derisa!"""
{f:5:Beatrice},"""Kuahahahah! Tuttavia, anche se da solo non vali niente, se voi due siete riuniti assieme sarete più che sufficienti... Non mi stancherò mai e poi mai del piacere che viene dal ridere del triste destino di una giovane coppia."""
Kanon,"""Che hai detto...? N-Non intenderai mica che... la signorina verrà...?"""
{f:5:Beatrice},"""Per i sacrifici del secondo crepuscolo ho bisogno di ‘due che sono vicini’... E il vostro duo calza giusto a pennello...!!"""
Kanon,"""...A-Aspetta...! Non fraintendere la situazione...! Io e la signorina... non siamo in quel tipo di relazione...! Non possiamo diventare i sacrifici per il secondo crepuscolo!"""
{f:5:Beatrice},"""Kuahahahahahah, ahahahahahahahahahahahahahahahah!! È per questo che ferisci Jessica. È per questo che non puoi diventare un essere umano...!!"""
{f:5:Beatrice},"""Andrà bene anche così. Posso accettare che tu non ammetta di provare dei sentimenti per Jessica... Ma Jessica verrà uccisa!!"""
Kanon,"""Perché?!"""
{f:5:Beatrice},"""Idiota!! Non è forse ovvio?!!"""
{f:5:Beatrice},"""{i:Perché mi divertirò nel vedere il tuo viso contorcersi dal dolore mentre verrà uccisa, per quale altra ragione sennò}?!!"""
{f:5:Beatrice},"""In base al rituale, sacrificherò tredici persone a mio piacimento. Ma non c'è una regola che dice che non possa ucciderne di più..."""
{f:5:Beatrice},"""Se mi procurasse diletto, potrei uccidere tutte le persone che voglio!! Perciò le ucciderò!! {i:Fammi ridere a più non posso}, d'accordo, moooobile Kaaaanooooon?!?!"""
,"In quel momento, Kanon fu certo di aver sentito Jessica urlare."
,"Nell'istante in cui sbattè le palpebre e guardò verso il corridoio, la strega con un atteggiamento supponente che era lì fino a poco prima... era svanita nel nulla..."
,"In quell'esatto lasso di tempo, lui era l'unica figura presente nel corridoio..."
,"E dall'altra parte, c'era la persona che voleva proteggere, e che gli stava chiedendo aiuto."
,Era palese cosa avrebbe dovuto fare.{n}Non era logica. Fu un riflesso istintivo.{n}Privo di qualsiasi esitazione o vaneggiamento...
,"La persona che voleva proteggere era lì, e gli stava chiedendo aiuto... Pertanto, in quel momento, desiderava genuinamente essere lì con lei."
,"Quando si precipitò nella stanza di Jessica, si palesò davanti ai suoi occhi una bizzarra visione."
,"Nella stanza c'era un mondo onirico, in cui turbinava una tempesta di polvere dorata, come se dei frammenti di una lamina d'oro stessero svolazzando all'interno di una palla di vetro..."
,"No, non era quello.{n}Avevo già visto quella scena in passato.{n}Non erano pezzi di una lamina d'oro."
,"Era uno sciame senza fine di farfalle dorate, le sottoposte di {f:5:Beatrice}!!"
,"Jessica era circondata da una quantità innumerevole di farfalle, e stava agitando freneticamente le braccia nel tentativo di scacciarle via."
Kanon,"""Signorina!!!"""
Ushiromiya Jessica,"""K‐Kanon‐kun... A-Aiutami... Coff, coff, coff, coff!!"""
,"Kanon corse verso Jessica, e respinse bruscamente via l'orda di farfalle..."
,"Quegli insetti, tanto belli quanto ripugnanti, si ammassarono sulla faccia di Jessica, cercando di infilarsi nella bocca e nel naso."
,Jessica si strozzò in maniera violenta...
,Come se le farfalle stessero provocando il suo attacco d'asma per farsi beffe di lei.
,"Ma quando Kanon, vedendola soffocare, si precipitò da Jessica, le farfalle smisero di assalirla, e subito dopo, iniziarono a danzare intorno ai due a ritmo di un rondò."
Ushiromiya Jessica,"""...Kanon-kun... Kanon-kun..."""
Kanon,"""...Va tutto bene... Finché avrò fiato in corpo... non permetterò a nessuno di alzare neanche un dito su di lei..."""
Kanon,"""Vieni fuori, {f:5:Beatrice}!! Sei soddisfatta adesso?!!"""
,"Kanon gridò al vuoto, proteggendo nel mentre una Jessica sofferente che aspirava la sua medicina."
,"E come previsto, in risposta, il vuoto rise in segno di compiacimento."
,"Dopodiché, lei fece la sua apparizione.{n}Non fu in risposta alla richiesta di Kanon."
,"Naturalmente lo fece perché manifestarsi per poi schernirli sarebbe stato più divertente, e avrebbe inferto loro un'umiliazione maggiore!"
{f:5:Beatrice},"""Kuahahahahahahahahahah!! Ora tutto procede secondo il copione. Adesso sei una carpa sul mio tagliere."""
{f:5:Beatrice},"""Anzi, dato che siete tutti e due insieme, forse sarebbe meglio paragonarvi a dei {c:86EF9C:baccalà con patate}? Ahaha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}hahahah!!"""
Ushiromiya Jessica,"""...T-Tu... B‐{f:5:Beatrice}...!!"""
Kanon,"""Per favore, stia indietro... Signorina, io la proteggerò...!"""
{f:5:Beatrice},"""Quando sono presenti sia una principessa che un cavaliere, è inevitabile che apparirà una strega... Orsù, perché non mi fai vedere di quanto potere dispongono i mobili di Kinzo?"""
,"Allo scocchiare delle sue dita, ci fu un suono stridente."
,"Subito dopo apparve una bufera di farfalle dorate, le quali, vorticando in cerchio, iniziarono a formare un piccolo cumulo..."
,"Esattamente come il freddo vento invernale che, mulinando, crea una catasta di foglie."
,"Da quel cumulo dorato spuntò un braccio, e poi... apparve qualcosa... come se un abitante di un mondo sotterraneo stesse emergendo dal sottosuolo."
Ushiromiya Jessica,"""...C-Cos'è quello...? Cosa diavolo è quello...?!"""
,"Jessica continuava a boccheggiare, incapace di capire che cosa stesse vedendo in quel momento..."
,La sua reazione era esattamente ciò che si ottiene quando si cerca di comprendere qualcosa di incomprensibile.
,L'essere che affiorò... probabilmente doveva essere un lacchè al servizio della strega.
,Sembrava portare un'uniforme dello stesso modello di quella indossata dagli inservienti...
,Ma il suo volto era diverso. Aveva un aspetto strano...
," Era ricoperto da un pelo nero come il carbone... Il suo respiro era fetido, e i suoi occhi emanavano lo stesso inconsueto bagliore della lava situata sottoterra..."
,E inoltre... come simbolo della sua non appartenenza al genere umano... possedeva due corna... Era la figura di un lacchè dal viso caprino che era al servizio della strega...
Ushiromiya Jessica,"""...!!!"""
,Ormai Jessica non riusciva neanche a trovare le parole con cui esprimersi...
,"Tutto quello che stava accadendo di fronte a lei non poteva essere spiegato con il buonsenso, e non potè far altro che annaspare con la bocca aperta..."
,Jessica non se ne era accorta... Le leggi del nostro mondo erano già state tranciate via dall'isola.
,"Ciononostante, poteva comprendere qualcosa... Quella capra lacchè era al servizio della strega... e stava puntando alla sua vita."
,"E apparentemente, la strega aveva già dato tale ordine.{n}E a sua volta, quest'ultima volse a Kanon uno sguardo carico d'aspettative..."
,"Lo guardò con un'occhiata di sfida ricolma di curiosità, come a chiedergli come avesse intenzione di proteggere la sua donzella!"
,"Il lacchè sembrava avere i modi di una bestia, specialmente quando era emerso fuori, ma dal modo in cui si portava, pareva detenere una grazia più che sufficiente per essere valevole di servire la Strega Dorata..."
,"Ed era anche chiaro che, in lui, traboccava la gioia tipica dei mobili di soddisfare le aspettative del loro padrone."
{f:5:Beatrice},"""...Perché non me lo vuoi mostrare? Fammi vedere il potere dei mobili di Kinzo!"""
{f:5:Beatrice},"""Stavolta niente errori, intesi...? E non dimenticarti che sei un mobile... Se continuerai ancora adesso ad atteggiarti da essere umano, la tua sola morte non sarà un rimedio sufficiente. Kihihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihihih!"""
,"La capra lacchè fece un gesto a mo' di un silenzioso inchino.{n}Non si riusciva a capire se fosse in risposta alla sua padrona... o se fosse rivolto a Kanon, con cui si sarebbe scontrato."
,"Dopodiché, sulla mano del lacchè... apparve una lama di pura malvagità..."
Ushiromiya Jessica,"""...C-Cosa cavolo è... quello...?"""
,Era da un bel po' che Jessica non riusciva a comprendere cosa stesse accadendo dinanzi ai propri occhi...
,Quello che era riuscito a capire... era che quella cosa luminosa stava minacciando la sua vita.
,"E in quel momento, le era sufficiente ciò."
,"Kanon si rivolse con delicatezza a Jessica, la quale si era nascosta dietro la sua schiena."
Kanon,"""...Signorina... Per favore, indietreggi contro il muro... Non allontani mai la schiena dalla parete."""
Ushiromiya Jessica,"""Eh...?!"""
{f:5:Beatrice},"""...Mhmhmhmhmhmh! Fa bene la donzella a nascondersi obbediente dietro la schiena del nobile cavaliere. Goditi appieno l'immenso piacere di avere la tua vita protetta da un uomo... Avanti! Mostrarmi la tua lama, Kanon!!"""
Kanon,"""..."""
{f:5:Beatrice},"""...Meravigliosa... Almeno per quanto riguarda il creare mobili, Kinzo potrebbe essere alla mia altezza."""
Kanon,"""...Un utensile del genere... non è buono nemmeno per potare le rose."""
Ushiromiya Jessica,"""...K-Kanon-kun... Cos'è...?"""
Kanon,"""...Non volevo... mostrarvela."""
{f:5:Beatrice},"""L'hai estratta abilmente... Come ci si sente ad aver rivelato di essere una creatura subumana davanti alla ragazza di cui sei innamorato?"""
Kanon,"""...Fai silenzio."""
