Speaker,Italian (IT)
Ushiromiya George,"""Oh, errore mio. Sei cambiato rispetto a quando eravamo piccoli. Dopotutto, sono passati sei anni da allora. Non sei più un bambino ormai. Ahahahahah."""
Ushiromiya Battler,"""Tch, guardati, abbastanza grande per bere e fumare. Non m'interessano le sigarette, ma vorrei provare dell'alcol, ihihih! Scommetto che con i geni di tuo padre sai reggerlo molto bene, eh?"""
Ushiromiya George,"""Nel mio caso bevo più per affari che per piacere. È difficile fare affari in Giappone senza bere."""
Ushiromiya Battler,"""Ihihihih! Esattamente! Ecco perché non perdo mai una chance per fare un po' di pratica!"""
Ushiromiya George,"""M-Ma non va bene, Battler-kun, sei ancora troppo giovane! Assumere alcol da minorenne può influenzare negativamente lo sviluppo... Ah, lasciamo perdere."""
Ushiromiya Battler,"""Eddai, alto come sono, sono già abbastanza cresciuto! Anzi, se fossi un po' più basso troverei più facilmente dei vestiti!"""
,Gonfiai il petto con orgoglio.
,"Prima di raggiungere la pubertà, la mia altezza era poco al di sopra della media della mia classe."
,"In seguito ho cominciato a crescere in un battibaleno, e adesso supero i 180cm."
,Suppongo sia grazie all'allenamento fisico incessante e agli integratori per i muscoli presi per posta da strani fornitori.
,"Non avrei mai immaginato di superare di ben 10 cm il fratellone George, che aveva già raggiunto il massimo della sua crescita..."
,"Cavolo, immaginavo che i miei parenti avrebbero detto: ‘Guarda com'è cresciuto il piccolo Battler!’..."
,"Uffa, è così imbarazzante, volevo solo essere lasciato in pace."
,"Comunque, il mio nome ‘Battler’... Come dire, è particolare, non trovate?"
,I miei genitori mi diedero un nome di pessimo gusto. Non conosco quasi nessuno che riesca a leggerlo nel modo giusto per la prima volta.
,"Il più delle volte vengo chiamato ‘{c:86EF9C:Sento-kun}’. Bel tentativo, ma proprio non ci siamo."
,"Il mio nome si scrive così: {ruby:Ushiromiya Batora:{p:0:右代宮 戦人}}. Riuscite a leggerlo? La prima parte è il mio cognome, ‘Ushiromiya’. Fin qui ancora ci siamo."
,"Il problema viene con il mio nome...{n}{ruby:Batora:{p:0:戦人}} è composto dai caratteri di ‘battaglia’ e ‘persona’, e si pronuncia: ‘Battler’."
,"Metti tutto insieme, e ottieni Battler Ushiromiya."
,"Pazzesco, vero? È assurdo che non solo i miei genitori decisero questo nome, ma anche che qualche impiegato statale lo abbia accettato... Entrambi sono in cima alla mia lista di gente da uccidere ad ogni costo."
,"Ad ogni modo, lui è il cugino più grande."
,"Il suo nome si scrive così: {ruby:Ushiromiya Jouji:{p:0:右代宮 譲治}}, e si pronuncia: ‘George Ushiromiya’."
,"È più grande di me di cinque anni, quindi quest'anno ne avrebbe compiuti 23.Visto che i cugini Ushiromiya sono composti da due maschi e due femmine, ho giocato con lui per tutto il tempo."
,È il motivo per cui ancora oggi lo chiamo ‘fratellone’.
Ushiromiya Hideyoshi,"""Ah però, Battler-kun, guarda come sei cresciuto. Sai come si dice, i ragazzi crescono a vista d'occhio!"""
Ushiromiya Eva,"""Dev'essere nel suo sangue, suppongo. Anche Rudolf non era così alto finché non iniziò il liceo, no? Probabilmente chi ha un ritardo nello sviluppo ha una crescita improvvisa alla fine della pubertà."""
Ushiromiya Battler,"""Nah, niente del genere. L'altezza di noi uomini rispecchia quello che abbiamo dentro!"""
Ushiromiya Hideyoshi,"""Proprio così! Vedi che Battler-kun ha capito! Un uomo va misurato in base a quello che ha dentro! Non devi mai dimenticare la disciplina. E se attenderai pazientemente la tua occasione, il tuo talento sboccerà in grande stile!"""
Ushiromiya Hideyoshi,"""Nemmeno io mi sarei mai immaginato che sarei stato capace di diventare il presidente di una compagnia costruita con le mie mani... Eh sì, ho iniziato da umili origini senza avere un soldo bucato...!"""
,"Quest'uomo di mezz'età dal fisico piazzato e in salute è il padre del fratellone George, lo zio Hideyoshi ({p:0:秀吉})."
,"È il marito della sorella maggiore del mio vecchio. In altre parole, non ho legami di sangue con lui."
,"È molto socievole e bravo con i bambini, ed è anche generoso con le paghette, senza dubbio il miglior zio di sempre."
,Per caso il suo strano e peculiare dialetto del Kansai era autentico? Perché lui è originario del Kanto.
,"A quanto pare le apparenze sono importanti nel mondo degli affari, per cui usare una cadenza diversa dagli altri doveva essere una recita atta a risaltarlo di più..."
,"Anche se davanti ad un nativo del Kansai provava imbarazzo, motivo per cui tornava ad usare il giapponese standard..."
,"Non lo conosco abbastanza bene, ma sicuramente è un tipo interessante."
Ushiromiya Eva,"""Il suo unico difetto è che inizia subito a vantarsi. Può bastare, caro. Battler-kun ne avrà avuto abbastanza. Vero?"""
Ushiromiya Battler,"""Niente affatto, ihihihih! Non c'è problema. Penso che per un uomo sia figo avere delle epiche imprese da poter raccontare. Io non ho nulla del genere di cui parlare."""
Ushiromiya Eva,"""Oh, davvero? Pensavo che uno come Battler-kun, con un aspetto che farebbe strage di fiumi di ragazze, avesse montagne di storie da raccontare."""
Ushiromiya Battler,"""C-C-Cosa?? S-S-Stai scherzando, spero! Di sicuro non mi sono mai capitate strane prodezze di questo tipo! Quanto vorrei che succedessero!"""
Ushiromiya Eva,"""Ah, allora ne hai di storie... Uhuhuh, più tardi raccontale a tua zia. A George non accadono mai vicende amorose del genere. Eheheh..."""
,"Questa signora è la madre del fratellone George, zia Eva ({ruby:Eba:{p:0:絵羽}})."
,"È la sorella maggiore del mio vecchio. Lei e lo zio Hideyoshi erano una coppia di burloni, e si son sempre presi gioco di me fin da quando ne ho memoria."
,"Per questa ragione non mi stavano molto a genio quand'ero piccolo... Beh, a quanto pare non ci andavo ancora molto d'accordo."
,"Nonostante ciò, la famiglia del fratellone George era simpatica, e sembravano affiatati..."
,"Porca miseria, era l'esatto opposto della mia famiglia."
Ushiromiya Kyrie,"""Battler-kun. Hai per caso visto Rudolf-san?"""
Ushiromiya Battler,"""Eh? Mi pare sia andato al bagno poco fa, perché? Non è ancora tornato? Ehiii, magari è crepato sul colpo. {c:86EF9C:Riposa in pace, amen}."""
Ushiromiya Kyrie,"""Non dovresti parlare così di tuo padre. Beh, non è la prima volta che passa così tanto tempo in bagno."""
Ushiromiya Battler,"""Già, quella carogna è sempre stata così. Vorrei che smettesse di andare al bagno con delle riviste. Oh, mi domando quali giornaletti si porti dietro! Ihihih!"""
Ushiromiya Kyrie,"""Oh, non serve che ti preoccupi. Da quando stiamo insieme, non gli faccio fare queste cose da solo."""
Ushiromiya Battler,"""Ihihih! Oooh, più tardi voglio sentire ogni dettaglio! Oh, povero babbo, sembra che le tue palle siano dentro una bella morsa di ferro."""
Ushiromiya Kyrie,"""Sai bene cosa succederebbe se non lo facessi, no?"""
Ushiromiya Battler,"""Nono, immagino. Sei l'unica capace di tenere a freno quel vecchiaccio. In qualità di suo figlio, cedo volentieri a te il compito."""
Ushiromiya Kyrie,"""Sì, lascia fare a me. Dopotutto è la mia specialità, no?"""
,Questa donna è la moglie del mio vecchio.
,Il suo nome è Kirie ({p:0:霧江}) Ushiromiya.
,"Come avrete probabilmente intuito dalla nostra conversazione, non è la mia vera madre. È praticamente la mia matrigna."
,La mia vera madre era morta sei anni fa. È per questo che il mio vecchio in seguito si è risposato con Kirie.
,Ci sta per uno della mia età. Non avrei mai potuto chiamare ‘mamma’ la sua nuova moglie.
,"E d'altra parte, suppongo che lei non volesse chiamare ‘figlio’ il suo figlioccio grande e grosso con cui non aveva legami di sangue."
,Non eravamo dei marmocchi. Litigando non avremmo ottenuto nulla.
,"Per cui decidemmo di non giocare alla famigliola felice. Stabilimmo di essere abbastanza sinceri tra di noi, comportandoci piuttosto come se lei fosse una vicina di casa."
,"Sarebbe stato molto più facile se avessimo mantenuto una certa distanza, invece di essere costretti a disprezzarci l'un l'altro."
,"Kirie-san si era mostrata molto disponibile, e grazie a ciò siamo riusciti ad andare più o meno d'accordo."
,"In seguito, mentre eravamo presi dallo sparlare di mio padre nel bagno, il diretto interessato ritornò, mentre si asciugava le mani con un fazzolettino."
Ushiromiya Rudolf,"""Mmh? Battler."""
Ushiromiya Battler,"""Che hai, vecchio...?"""
Ushiromiya Battler,"""Ahiahiahiahi! Le orecchie, non tirarmi le orecchie!"""
Ushiromiya Rudolf,"""Sparli ancora di me con tua mamma, eh? Proprio trabocchi di rispetto per tuo padre, mmh?"""
Ushiromiya Battler,"""Ahiahiahiahi, ahiahiahi! Fa male, vecchiaccio! Non è che se mi tiri le orecchie volo come Dumbo, ahiiii!!"""
Ushiromiya Rudolf,"""Coraggio, su. Su, giù, sinistra, destra, un cerchio orario, uno antiorario, aumentiamo i giri, e raddoppiamo la velocità! Ora dimmi: ‘ti prego padre, perdonami per aver detto queste cose’."""
Ushiromiya Battler,"""Stai scherzando? Fattelo dire in qualcuno dei tuoi squallidi locali, piuttosto. Gyaah, lasciamiiii!!"""
,"...Lui è quel vecchiaccio di mio padre. Io penso di essere messo bene in altezza, ma anche papà era alto all'incirca quanto me."
,"Nel guardare quanto fossi alto, zia Eva sembrava convinta che io avessi il sangue di papà in me."
,"Fra l'altro, non ho preso da lui solo l'altezza. Anche l'avere dei pessimi nomi."
,Il nome completo del mio vecchio si scrive così: {ruby:Ushiromiya Rudorufu:{p:0:右代宮 留弗夫}}...
,Riuscite a leggerlo? Va scritto come {ruby:Rudorufu:{p:0:留弗夫}}. Si pronuncia così: ‘Rudolf’.
,Ahahah... doveva odiare un sacco il nonno per aver ricevuto da lui quel nome.
,"Ma comunque, non è una scusa per passare anche a me quella stramba tradizione onomastica."
,"Mentre il vecchiaccio si dilettava nel torcermi le orecchie, zia Eva in seguito gli strizzò l'orecchio."
Ushiromiya Eva,"""Ehi, Rudolf. Non si maltrattano i propri figli."""
Ushiromiya Rudolf,"""Gyaah, mi fai male, sorellona..."""
,"Quello era un quadro perfetto di una sorella maggiore che, nonostante la sua stazza, punisce il suo fratello minore dispettoso."
Ushiromiya Kyrie,"""Così può bastare, Eva-san. Più tardi gli stropiccierò l'altro orecchio nello stesso modo."""
Ushiromiya Eva,"""Oh, mi dispiace. Dovrei lasciartelo tirare un po' anche a te, Kirie-san."""
Ushiromiya Eva,"""Rudolf? Fatti punire a dovere da Kirie-san, chiaro?"""
Ushiromiya Rudolf,"""Senti chi parla, sorellona, sei la prima a tormentare il tuo fratellino."""
Ushiromiya Rudolf,"""Hideyoshi-san, grazie davvero per averla portata via. Se tu non fossi stato tanto caritatevole, sarebbe ancora una zitella acida. Ti porgo le mie scuse in qualità di suo fratello."""
Ushiromiya Eva,"""...Mmh?! A chi dai della ‘zitella acida’?"""
,"Dopo aver fatto 2, 3 passi indietro... Zia Eva sferrò uno dei suoi tipici e spettacolari calci rotanti verso l'alto, fermandosi ad un centimetro di distanza dalla punta del naso del vecchio."
,"Dopo aver iniziato a praticare il taijiquan, per tenersi bella o per chissà quale motivo, finì per interessarsi alle arti marziali cinesi, e in seguito passò al karate, al taekwondo, alla capoeira... in cosa si stava allenando ultimamente...?"
,"Beh, in ogni caso, quando zia Eva diceva che una donna detiene le proprie armi dal ventre in giù, lo intendeva alla lettera."
Ushiromiya Eva,"""Rudooolf? Sai che se ti avessi colpito sulla tempia saresti crollato sul colpo? Non molto tempo fa ho fatto un errore durante un allenamento, e ho fatto uscire della schiuma dalla bocca del mio sparring partner."""
Ushiromiya Rudolf,"""...Ah, che disastro. Le mie scuse più sincere per i modi violenti con cui usa le gambe."""
,"Senza battere ciglio, il mio vecchio scrollò le spalle, e rivolse un sorriso amaro a zio Hideyoshi."
Ushiromiya Hideyoshi,"""Wahahahah, non ho mai avuto fratelli o sorelle. Quindi, quando vedo Eva e Rudolf-kun battibeccare tra loro, il mio cuore si riempie di gioia. La famiglia e i fratelli sono persone davvero preziose."""
Ushiromiya Kyrie,"""Oh, allora perché non considerare l'idea di fare un fratellino per George-kun? Ormai è un adulto in tutto e per tutto che sarà presto indipendente, quindi potrebbe essere una buona idea avere un altro figlio."""
Ushiromiya Rudolf,"""Ehi, Kirie, pensa anche ai guai del bambino che nascerà. George-kun è cresciuto senza alcun problema, per essere nato da una sorella tanto perfida."""
Ushiromiya Rudolf,"""E che ragazzo in gamba. Quello zuccone di mio figlio potrebbe imparare qualcosa da te."""
Ushiromiya Kyrie,"""Non funziona come dici tu. È per merito dell'ineccepibile educazione di Eva-san se George-kun è diventato un ragazzo così bravo. Non è vero, Eva-san?"""
Ushiromiya Eva,"""Oh, suvvia, eheheh, lo pensi davvero...? Il nostro George ne ha ancora di strada da fare."""
Ushiromiya Eva,"""Ah, ma piuttosto, come sta la piccola Ange? Ho sentito che ha vomitato, vero?"""
Ushiromiya Hideyoshi,"""Oh, giusto! E io che mi aspettavo di vedere il suo visino dopo tutto il tempo passato. Sta bene?"""
Ushiromiya Kyrie,"""Prende sempre l'influenza al cambio delle stagioni. È molto delicata... A dire il vero volevo portarla con noi, ma questa volta la mia famiglia si sta occupando di lei."""
Ushiromiya Eva,"""Saggia decisione. Guarirà più in fretta se non respirerà l'atmosfera malsana della villa. Una bambina malata è più importante degli impegni di un adulto, giusto?"""
Ushiromiya Hideyoshi,"""Io conosco un rimedio molto efficace per i vomiti influenzali! Quando torneremo a casa ve lo manderemo subito, perciò usatelo!"""
Ushiromiya Kyrie,"""Grazie mille, Hideyoshi-san. Sei sempre di grande aiuto..."""
,"Si misero a chiacchierare senza che ce ne accorgessimo, e noi ragazzi proprio non riuscimmo a prendere parola."
,"Ad ogni modo, mi sentii appagato dal fatto che zia Eva mi avesse vendicato come si deve, strizzando l'orecchio del vecchio."
Ushiromiya George,"""Quanto ci vuole per il controllo del meteo?"""
,Il fratellone George puntò il dito verso il tabellone. Il segnale del controllo del meteo era ancora bloccato accanto all'orario stimato di partenza del volo su cui era previsto salissimo a bordo.
,"Secondo il fratellone, un aereo più piccolo doveva essere più soggetto al vento e alle condizioni atmosferiche, e a seconda del meteo, pareva che spesso gli orari di partenza e arrivo dei voli ritardassero di parecchie ore..."
,"Ehi, ma eravamo certi che non avrebbe oscillato...?"
,"Finchè si rimaneva quaggiù, non si sarebbe potuto capire se ci fossero turbolenze basandosi solo sul cielo nuvoloso..."
,"Beh, forse sarebbe stato un altro discorso una volta che l'aereo sarebbe salito in alta quota."
Ushiromiya Eva,"""Il tempo è un po' incerto."""
,"Zia Eva guardò il televisore nella sala d'attesa. In esso venivano trasmesse le previsioni meteo, le quali informavano che un tifone si sarebbe diretto nella regione del Kanto."
Ushiromiya Rudolf,"""Di nuovo un tifone...? È destino che avvenga durante la riunione annuale di famiglia ad ottobre. Ma non poteva scegliere un periodo migliore?"""
Ushiromiya Eva,"""Concordo. Anch'io ho sempre pensato che si sarebbe potuta fare durante l'Obon. Rudolf, in tal caso proponiamolo a papà e a Klaus in questa riunione."""
Ushiromiya Rudolf,"""...Molto divertente. Diglielo tu. Klaus non mi ascolterà mai a prescindere da quel che dico."""
Ushiromiya Eva,"""Per carità. A me non dispiace poi così tanto che sia ad ottobre. Perché non lo proponi tu, che dici di detestare i tifoni? L'avevi detto tu, no?"""
Ushiromiya Rudolf,"""Ho solo detto che c'è sempre un tifone. Sei stata tu la prima a dire di spostarla durante l'Obon, no?"""
Ushiromiya Eva,"""Beh, l'hai detto anche l'anno scorso, o sbaglio? Non hai detto che se si spostasse nel periodo dell'Obon sarebbe più semplice per te infilarla in mezzo ai tuoi impegni di lavoro?!"""
Ushiromiya Rudolf,"""Non ho mai detto niente del genere."""
Ushiromiya Eva,"""Oh, sì che l'hai detto. Non lo dimenticherei mai per nessun motivo!"""
Ushiromiya Rudolf,"""No, non l'ho detto, sei tu che lo dici sempre!"""
Ushiromiya Eva,"""Sai una cosa? Sai che fermare un calcio prima dell'impatto è una tecnica di alto livello?"""
Ushiromiya Rudolf,"""Tch, le donne della tua età non dovrebbero allargare le gambe in quel modo!"""
,"Mentre osservavo papà e zia Eva battibeccare, tutto ciò che riuscivo a vedere erano dei bambini che bisticciavano..."
Ushiromiya George,"""Anche se solitamente si comportano come dei genitori normali, quando si rincontrano tra fratelli durante queste riunioni di famiglia, tornano nuovamente bambini."""
Ushiromiya Battler,"""Mah, sei tu che sembri un vero adulto quando valuti ogni cosa con sguardo freddo... Spero di non diventare in futuro come quel vecchiaccio. Vorrei diventare un adulto perspicace come te, fratellone."""
Ushiromiya George,"""Come me? Oh, ho molta strada da fare. Ho ancora poca esperienza sul campo, e non ho abbastanza grinta e affabilità... Penso tu abbia già molti di questi pregi, Battler-kun. Sono sicuro che mi supererai in fretta quando sarai grande."""
,"Il fratellone George rise mentre si grattò la testa, come a nascondere l'imbarazzo.Ma ovviamente era per semplice umiltà."
,"Il fratellone era entrato all'università e allo stesso tempo nell'azienda di zio Hideyoshi come apprendista, studiando in contemporanea materie accademiche e come diventare un magnate degli affari."
,"Successivamente, si unì alla compagnia di mio zio come collaboratore subito dopo essersi laureato, e mentre si impegnò duramente negli studi, accumulò molta esperienza professionale."
,Il suo più grande sogno era quello di poter costruire il suo dominio indipendente.
,"Il fratellone dava il meglio di sé per raggiungere questo obiettivo, era un uomo veramente esemplare. Dire che lo stimo non sarebbe un'esagerazione."
,Se solo fossi stato come lui. Ero quasi il suo opposto.
,Mi godevo il liceo in spensierato relax e schivando ogni responsabilità.
,"Per il mio futuro non avevo alcuna aspirazione! Volevo godermi i soldi facili senza avere guai, ma sarebbe stato troppo bello per essere vero..."
,"Quando il fratellone aveva la mia età, durante i suoi studi si era già prefissato un nobile scopo, non potevo competere con uno come lui."
,Il mio vecchiaccio mi rifilò un: ‘Vuoi fare pratica nella mia compagnia? Puoi iniziare col pulire i cessi’.
,"Dannazione, non volevo dipendere da quel balordo. Mi sarei fatto la mia vita con le mie forze...! Beh, però si può essere maturi solo avendo audacia."
,Forse avrei dovuto affrontare uno di quei viaggi alla ricerca di se stessi..? Non potevo neanche scroccare qualche spicciolo ai miei...
Ushiromiya Hideyoshi,"""...Hm?! Ohh~!"""
,"Improvvisamente, zio Hideyoshi gridò fortissimo. Lo zio di solito era una persona pacata, ma non riusciva proprio a controllare il volume della sua voce."
,"Vedemmo che stava salutando zia Rosa e sua figlia, che erano arrivate in ritardo."
Ushiromiya Hideyoshi,"""Ohoooooooooh!!! Se non è Rosa-san! Maria-chan, da quanto tempo!!"""
Ushiromiya Maria,"""Da quanto tempo! Uuh!"""
Ushiromiya Rosa,"""Maria! Non dovresti forse dire: ‘è bello rivederti’? Saluta tuo zio per bene."""
Ushiromiya Maria,"""Uuh. È bello... rivederti..."""
Ushiromiya Hideyoshi,"""Esatto! Ben detto! Ti darò una caramella come ricompensa...! Oh, eh? Dove l'ho messa..."""
Ushiromiya Kyrie,"""È bello rivederti, Rosa-san. È bello rivedere anche te, Maria-chan."""
Ushiromiya Rosa,"""Kirie-san, Hideyoshi-san, è da tempo che non ci vediamo..."""
Ushiromiya Rosa,"""E... oh cielo, Battler-kun?! Come sei cresciuto...!"""
Ushiromiya Battler,"""Ah, ma dai, ahahah... È imbarazzante sentirmelo dire da ogni persona che incontro...!"""
