Speaker,Turkish (TR)
,Jessica hızla yanına koştu ve kağıt parçasını sert bir şekilde kaptı.
,"......Muhtemelen saldırgan olmaya çalışmıyordu.{n}...Sadece, şu anda gücünü kontrol edemiyordu."
Ushiromiya Jessica,""".........Ne dedin...?! B-Benimle {i:alay} mı ediyor?!!"""
,"Mesajı okur okumaz Jessica çılgınca bir öfkeye kapıldı, kağıdı buruşturdu ve fırlattı."
,Sonra yatağın yanında duran bir masa lambasını kaptığı gibi şiddetle savurarak duvarlara ve mobilyalara acımasızca vurdu.
,...Ampul bir anda paramparça olarak parçaları odanın dört bir yanına saçıldı.
Gohda Toshiro,"""Leydim, lütfen sakinleşin...! Kendinize zarar vereceksiniz!!"""
Ushiromiya Jessica,"""Bırak!! Kahretsin, kahretsin! Göster kendini, {f:5:Beatrice}!! Bunu anneme ve babama nasıl yaparsın?! Benden bu kadar mı korkuyorsun?! Seni öldüreceğim, seni öldüreceğim!! Göster kendini de seni öldürene kadar dövebileyim!!! Sana beni bırakmanı söyledim, kahretsiiiiiiin!"""
,Kağıtta yazanlar şunlardı...
{f:5:Beatrice},"{e:070:—Buraya paldır küldür gelmeni bekleyerek vaktimi boşa harcayacağımı mı sanıyordun?{n} Bu entelektüel geceye uygun olamayacak kadar vahşisin.{n} Seni böyle beceriksiz bir aptal olarak yetiştirdikten sonra ailenin yüzleri kim bilir nasıldır?{n} Ah evet, onları gördüm, tıpkı senin gibi muhteşem aptal suratları vardı.{n} Şimdi karınları tıka basa dolu hâlde Şeker Diyarı'ndalar!}"
,"......Tam da o cadının yazacağı bir şeye benziyordu... ......Bu, ailesini kaybeden çocuklardan birinin koşarak buraya geleceğini tahmin ettiği anlamına geliyordu."
,"...Eğer bu odada bir yerlerde saklanıyor olsaydı, kesinlikle kahkahalar içinde yerde yuvarlanıyor olurdu..."
,"Cadı böyle biriydi.{n}...İnsanların şanssızlıklarıyla alay eder, ve bunları bin yıllık can sıkıntısını gidermek için kullanırdı...!"
Gohda Toshiro,"""Bırakın lütfen...! Size kendinize zarar vereceğinizi söylüyorum...! .........nnnnn, ......nnnn!!"""
Ushiromiya Jessica,"""Bırak dedim!! Kahretsiiin, kahretsiiin!! ......au!"""
,"Gohda, Jessica'nın etrafa salladığı masa lambasını yakaladı ve elinden aldı."
,"...Çünkü eğer sallamaya devam ederse, bir yerlere çarpıp yaralanabilirdi."
,"...Gohda'nın gözünde Jessica muhtemelen öfkeden delirmiş, öfkenin alevleri içinde yanıyor gibi görünüyordu."
,......Ama Kanon'un gözleri olayı farklı görüyordu.
,Bunlar muhtemelen...öfkenin gizlediği...üzüntü gözyaşlarıydı...
,Bu nedenle...
,"Masa lambası elinden alındığı anda, Jessica neredeyse teslim olur gibi yere yığıldı ve ağlamaya ve halıyı tırmalamaya başladı..."
,......Gohda şaşırmıştı ama Kanon şaşırmamıştı.
,"......Öfkesini dışa vurarak üzülme yöntemi elinden alınmıştı, ...yani bu kaçınılmazdı."
Ushiromiya Jessica,"""Uuuuuuuuuuughhh, waaaa{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}aaaa!! Anne......Baba......uwaaa{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}auuu{0}u{0}u{0}uuuu!!"""
,"...Ushiromiya baş ailesinin kızı olduğu düşünüldüğünde, ...çok perişan bir haldeydi."
,"......Tırnakları, ve hatta ayakları bile kıvrılarak halıyı tırmaladı."
,"Jessica çok ama çok ağladı. ...Çünkü ağlamazsa, öfkesi yeniden birikmeye başlayacak, ve onu tüketecekti."
,"Ama tekrar ve tekrar, mektubun aşağılayıcı mesajını hatırladı..."
, ......Seni böyle beceriksiz bir aptal olarak yetiştirdikten sonra ailenin yüzleri kim bilir nasıldır?
Ushiromiya Jessica,"""Onlar aptal değil!! Annem de babam da zekiydi!! Benim gibi değillerdi, gerçekten zekiydiler!! Onlar aptal değil! Sözünü geri al, geri al!!"""
,"Ah evet, onları gördüm, tıpkı senin gibi muhteşem aptal suratları vardı.{n}Şimdi karınları tıka basa dolu hâlde Şeker Diyarı'ndalar!!"
Ushiromiya Jessica,"""Ooooooooooooooohhh, kahretsiiiiin!! Onu öldüreceğim, onu öldüreceğim, onun karnını yaracağım ve aynı şekilde ölmesini sağlayacağım!! Uuuuaaa{0}a{0}a{0}a{0}a{0}a{0}aaaa, waaa{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}aaaa......!!! Hic, *öksürme*öksürme*, *öksürme*öksürme*öksürme*!!!"""
,Jessica'nın ağlayıp çığlıklar atması astım krizini tetiklendi... Ona göz kulak olan hizmetkârlar telaşla yanına koşup sırtını sıvazladılar ama bu sadece Jessica'nın öfkesini körükledi...
Ushiromiya Jessica,"""*öksürme*öksürme*!! Ne bu?! Eğer bunu yapacak vaktiniz varsa, o orospuyu arayın!! Onu bulun ve bana getirin!!"""
Ushiromiya Jessica,"""Eğer siz gitmezseniz, ben gideceğim!! Ve onu kendi ellerimle öldüreceğim, karnını deşeceğim!!"""
Ushiromiya Jessica,"""*öksürme*öksürme*öksürme*öksürme*!! *öksürme*, *öksürme*!! Dokunma bana!!! Sikik...sikik, *öksürük*öksürük*!! *öksürme*öksürme*!!"""
,Jessica sendeleyerek ayağa kalktı ve astımı devam ederken koridora çıktı...
Gohda Toshiro,"""Leydim, ilacınız, çabuk...! Doktor Nanjo'yu çağıracağım!"""
Kanon,"""...............Gohda-san. .........Bunu...bana bırakır mısın?"""
,"Kanon fark etmişti. .........Çok daha yaşlı olan Gohda, ...muhtemelen Jessica'nın kalbindeki gözyaşlarını hissedemiyordu."
,"......Bunu hissedebilen Kanon, Jessica'ya destek olmak zorundaydı."
Gohda Toshiro,"""K-Kanon-san. ............Emin misin...?"""
Kanon,""".........Şu anda Leydi'nin, ağlamak için biraz zamana ihtiyacı olduğunu düşünüyorum. ............Ailesinin o şekilde öldürüldüğünü gördükten sonra..."""
Gohda Toshiro,"""................................. ...Haklısın."""
,Gohda da anladı. ......Ayrıca Jessica ve Kanon'un paylaştığı mütevazı ilişkiyi de biliyordu.
,Dolayısıyla her şeyi anladı ve Kanon'a bıraktı.
Gohda Toshiro,""".........Anladım. ......Ben Rosa-sama'nın yanına döneceğim. ...Lütfen, Leydi'ye dikkat et."""
Kanon,"""Evet. ......Bana bırak."""
,"Kanon'un sesi zayıftı, ......ama güçlü bir şekilde başını salladı.{n}Kanon'un gözlerine baktıktan sonra, Gohda da güçlü bir şekilde başını salladı."
,"...Gohda, arkasında uzun yıllar bırakmış, tecrübeli biriydi. Hayatı boyunca çok sayıda insan görmüştü. ...Bu yüzden, kendini kontrol edebilenlerin gözlerinde bulunan güçlü ışıltıyı biliyordu."
,"Bunu Kanon'un gözlerinde açıkça görmüştü.{n}......Bu nedenle, bunu Kanon'a bırakacaktı."
,"...Düşünecek olursak, bu Gohda'nın Kanon'a güvendiği ve bir iş için ona bel bağladığı ilk an olabilirdi..."
,"Görünüşe göre Jessica astımının etkisiyle duvara yaslanmış bir vaziyette, ...odasına doğru ilerliyordu."
,......Kanon hiç konuşmadan onu takip etti.
,"Eğer yardım isteseydi, hemen atlar ve ona destek olurdu. ...Ama Jessica bunu istemediği sürece kendini gizledi ve onu her an kurtarmaya yetişebileceği bir mesafeden izledi."
,"......Kanon, on milyar insanın kalpleri üzüntüden patlayacakmış gibi hissettiğinde başka birinin olmasını umacağı o an, sessizce Jessica'nın arkasından onu izledi..."
,"Sonunda, Jessica kendi odasının kapısının önünde çömelip kalmıştı."
,"......Astım krizi tüm gücünü tüketmişti. Ve oksijensizlik yüzünden düşünceleri bulanıklaşmıştı, öyle ki artık ayağa bile kalkamıyordu."
,"......Ama şu anda, Jessica birinin ona yardım etmesini istemiyordu. Çünkü hâlâ öfke alevlerinin üstesinden gelememişti."
,"...Çünkü biri ona iyi niyetle elini uzatsa bile, şu anda Jessica o eli tutup kırmak isteyecekti."
,...Ve bunun ne kadar mantık dışı olduğunun farkındaydı. ...Öfkesinin alevlerinin üstesinden gelene dek kesinlikle yardım istemeyecekti.
,"Muhtemelen, Jessica artık yardım isteyecek iradeye bile sahip değildi."
,......Ama Kanon duydu. ...Kesinlikle duydu.
,"......Kanon, dünyanın dört bir yanında üzüntü yaşayanların paylaştığı ve çığlık çığlığa bağırsalar da kimse tarafından duyulamayan o sessiz yardım çağrısını kesinlikle duydu."
,"Kanon usulca Jessica'nın yanına diz çöktü, ve sözsüz bir şekilde ona omuz verdi."
,"......Jessica acı içinde öksürmeye devam etse de, yardımı kabul etti, .........odasının kilidini açtı ve içeri girdi..."
Kanon,"""............Bu taraftan. ...............Hemen ilacınızı vereceğim."""
Ushiromiya Jessica,"""..................*öksürme*öksürme*öksürme*...! .........*ök.........*öksürme*öksürme*öksürme*...!!"""
,"Jessica, astım atağının ilerlemesine izin verdiğinde, sanki midesinin tamamını kusacak kadar acı çektiğini sık sık anlatırdı."
,"Yüzü solgundu ve bakışları dalgalıydı.{n}Yine de, öksürükler devam etti..."
,"......Böyle bile olsa, ...üzüntüsü muhtemelen daha güçlüydü..."
,"Kanon onu yatağa oturttuktan sonra, yatağın yanındaki sehpanın üzerinde duran sevimli sepetten astım spreyini aldı ve ona uzattı."
,......Jessica bazen ilacını yanına almayı unuturdu.
,"Kanon böyle durumlar için hizmetkâr odasındaki ilk yardım çantasından aldığı bir astım spreyini gizlice yanında taşırdı, ama bugün böyle bir şey yapmamıştı."
,......Böyle bir günde yanında taşımadığı için kendisine nasıl mobilya diyebildiğini sorgular gibi kendi kendini azarladı.
,".........Sonra o sözleri söylediği ve Jessica'nın duygularına bir şekilde ihanet ettiği günü hatırladı, ...bu Kanon'un kalbini sarstı, ......ancak Jessica'nın şu anki üzüntüsüyle karşılaştırıldığında, bunun çok utanmazca bir duygu olduğunu düşündü ve kalbinin derinliklerine doğru gömdü..."
Ushiromiya Jessica,""".........haah.........haah... .....................haah..."""
,"İlacını içine çektiğinde Jessica'nın vahşi nefes alıp verişi yavaş yavaş sakinleşti, ...ve sonunda soğukkanlılığını yeniden kazanabildi."
,.........Ama kaybettiği güç ve iradesi yataktan kalkmasına izin vermiyordu.
Kanon,""".....................İyi misiniz? ......Leydim."""
Ushiromiya Jessica,"""............Ben.........iyiyim... .........Annem ve babama olanlar yüzünden berbat durumdayım, .........ama, ......biraz daha ağladıktan sonra, .........iyi olacağım............"""
Kanon,"""........................"""
,Kanon boş konuştuğu için pişman oldu.
,"......Ona, ""İyi misiniz"" diye mi sormuştu?{n}...Gerçekten de onun kalbindeki acıyı fark edemiyor muydu?"
,............İşte bu yüzden neticede sadece bir mobilyaydı.{n}Bu yüzden insan olamıyordu...
Kanon,"""..................Koridorda olacağım. ...Bir şeye ihtiyacınız olursa, lütfen hemen beni çağırın."""
,"Kanon, Jessica'nın hâlâ yalnız başına ağlamak için zamana ihtiyacı olduğunu anlamıştı."
,"Ona istediği zaman kendisini çağırabileceğini söyledi, eğildi ve odadan çıkmak için harekete geçti."
Ushiromiya Jessica,"""......ah, ..............."""
Kanon,"""......Bir şey mi oldu?"""
,"Jessica onun durmasını ister gibi konuşmuştu, bu yüzden Kanon durmuştu."
,".........Eğer isterse, ona yardım etmek için elimden geleni yaparım."
,"...Eğer kalbindeki acıyı iyileştirebilecekse, şu anda, bir baston ya da sandalye bile olabilirim."
,".........Eğer bunu yaparak, ......o gün kalbine yaşattığım acıyı onarabileceksem..."
Ushiromiya Jessica,""".........................................."""
,"...Jessica, bir süre Kanon'un gözlerinin içine baktı.{n}......Sanki, onu durdurmasına rağmen, söyleyecek hiçbir şeyi yoktu."
Kanon,"""................................."""
Ushiromiya Jessica,"""..........................."""
,İkisi de bir süre konuşmadı. ............Jessica bu sessizliği bozdu. ...Küçük bir sesle.
Ushiromiya Jessica,""".........Üzgünüm. .........Bir şey yok. ...............Bir süre yalnız kalmak istediğimi, benim için...Rosa Teyze'ye söyler misin...?"""
Kanon,"""Yalnız kalmanıza...izin vermeyeceğim."""
Ushiromiya Jessica,"""........................huh..."""
Kanon,"""Yalnız kalmana...izin vermeyeceğim. ..................Yani, koridorda olacağım. ...Ne zaman istersen, ......beni çağır."""
,"Bir anlığına, Jessica'nın gözlerinde bir tür ışık belirir gibi oldu."
,"...Ama çok zayıftı, ...ve tıpkı ilk kar tanesinin bir nehrin yüzeyine düşüp dağılması gibi kayboldu."
Ushiromiya Jessica,"""......Teşekkürler. ..................Sadece biraz, yalnız ağlamama izin ver..."""
Kanon,"""............Evet. ...............İzninizle."""
,"Kanon bir kez daha eğildi, ve kapıyı kapattı..."
,".........Söylediği şeylerin Jessica'ya biraz olsun cesaret vereceğini düşünmüştü.{n}............Ama nedense, sözlerinin Jessica'yı incittiğini hissetmişti."
,"...Neden? .........Bilmiyordu.{n}......Bunun nedeni, kesinlikle,..................mobilya olmasıydı."
,"Yani şu anda bile, ...insanların üzüntüsünü kavrayamıyordu."
,Kanon kendini tekrar tekrar sorgulayarak koridorda yürüdü. .........Koridorun sonundaki pencerenin soğuk bir şekilde onu çağırdığını hissetti.
Kanon,""".............................. ......Ben.........nihayetinde, bir mobilyadan başka bir şey değil miyim......?"""
,"Dışarıda hâlâ yağmur yağıyordu—karanlık, gri bir dünya."
,"...Shannon, böyle günlerde bile, okyanusa bakar ve onun mavi olduğunu söylerdi."
,"......Ama benim gözlerime, hava açsa bile, sadece gri görünürdü..."
,"Okyanusun maviliğini göremediğim sürece, ......insanları taklit eden mobilyadan başka bir şey değilim........."
{f:5:Beatrice},""".....................Gerçekten bir kadının kalbini anlamıyorsun. ...Böyle zamanlarda, sessiz bir şekilde onun yanında kalmalısın. ...*cackle*cackle*, işte sen bu yüzden bir mobilyasın."""
Kanon,"""S-............Sen—"""
,Bu koridorda hiç kimseninin varlığından eser olmamalıydı.{n}Boş ve soğuktu.{n}.........Ancak bu alaycı sözler Kanon'a arkasından ulaştı.
,"Arkasını döndüğünde, ......cadıyı gördü.{n}Jessica deliliğe varan bir öfkeyle onu ararken kendini göstermeyen—onunla dalga geçmek için o alaycı mektubu bırakan o cadıyı gördü...!"
{f:5:Beatrice},"""Bir kadını incitmenin üç yolu vardır. ...İzin ver onları sana öğreteyim. Biri bıçakla yaralamaktır. Diğeri kalbinden incitmektir."""
{f:5:Beatrice},"""...Sonuncusu ise incitmenin en zor ve en etkili yoludur. Ve üstelik sen farkına bile varmadan onu incitebilir. Bunun ne olduğunu biliyor musun...?"""
Kanon,"""...N-Nereden bilebilirim...? Bilmek bile istemiyorum!!"""
{f:5:Beatrice},"""Bu onun umutlarına ihanet etmektir. ......Yaşayan hiçbir varlık bir kadından daha hayalperest değildir! Kendi kendilerine hayal kurarlar, ve kendi kendilerine acı çekerler. ......Kadınların canını en çok senin gibi mesafeli adamlar yakar! Anlayamazsın. Jessica'yı ne kadar incittiğin hakkında en ufak bir fikrin bile yok."""
{f:5:Beatrice},"""......Mobilya olduğun için! *cackle*cackle*cackle*cackle*cackle*!"""
Kanon,"""S-Senin saçmalıklarını dinlemeye niyetim yok! ...Sadece benimle alay etmek için mi ortaya çıktın?!!"""
{f:5:Beatrice},"""Kendini bir şey sanma, mobilya. Sen alay etmeye bile değmezsin!"""
{f:5:Beatrice},"""*cackle*cackle*! Tek başına zamanımı harcamama değmesen de, ikiniz bir araya geldiğinize göre, bu fazlasıyla yeterli. ......Genç çiftlerin kaderleriyle alay etmekten aldığım zevkten asla bıkmam."""
Kanon,"""Ne dedin... .........Y-...Yoksa sen... ......Leydi'yi......"""
{f:5:Beatrice},"""İkinci alacakaranlık için kurban olarak ""yakın olan ikisine"" ihtiyacım var. ...Siz ikiniz gerçekten de çok uygunsunuz...!!"""
Kanon,"""B-......Bekle...! Yanlış anlama......! Leydim ve ben......öyle bir ilişki içinde değiliz...! İkinci alacakaranlığın kurbanı olamayız!"""
{f:5:Beatrice},"""*cackle*cackle*cackle*cackle*hahahahahahahahahahahahahahahaha!! İşte bu yüzden Jessica'yı incittin. İşte bu yüzden insan olamazsın...!!"""
{f:5:Beatrice},"""Pekâlâ, o zaman Jessica'ya karşı bir şeyler hissettiğini kabul etmiyorsan, bunu anlayışla karşılayabilirim. ......Ama Jessica'yı öldüreceğim!!"""
Kanon,"""Neden?!"""
{f:5:Beatrice},"""Seni aptal!! Bariz değil mi?!!"""
{f:5:Beatrice},"""{i:Onu öldürmek ve yüzündeki acı dolu ifadeyi görmek eğlenceli olacak, başka ne sebebi olabilir ki}?!!"""
{f:5:Beatrice},"""Ritüelin kurallarını izleyerek, keyfime göre on üç kişiyi kurban olarak seçeceğim. Ancak, daha fazla öldüremeyeceğimi söyleyen bir kural yok."""
{f:5:Beatrice},"""...Eğer eğlenceli olduğunu düşünüyorsam, istediğim kadar insan öldürebilirim!! Bu yüzden öldüreceğim!! {i:Beni olabildiğince çok güldür}, tamam mı, mobiiiiilyaaa, Kanonnnnnnnn?!?!"""
,"Tam bu esnada Kanon, kesinlikle Jessica'nın çığlığını duydu."
,"Gözlerini kırpıp koridora baktığı anda, bir saniye öncesine kadar oldukça sıradan bir ifadeyle orada duran cadı ortadan kaybolmuştu."
,...Şu anda koridorda tek başına duran sadece kendisiydi.
,......Korumak istediği kişi de çok uzaklardan...bu yöne doğru yardım istiyordu.
,Ne yapması gerektiği çok açıktı.{n}Mantığa dayanmıyordu. Elektriksel bir refleksti.{n}En ufak bir tereddüt ya da gereksiz düşünce yoktu.
,"...Korumak istediği bir kişi vardı ve yardım istiyordu. .........Dolayısıyla, o anda, gerçekten orada onunla birlikte olan kişi olmak istediğini hissetti."
,"Jessica'nın odasına daldığında, gözleri tuhaf bir manzarayla karşılaştı."
,"Oda, sanki bir kar küresinin içine altın yapraklar serpiştirilmiş gibi, altın tozundan bir kar fırtınasının dans ettiği fantastik bir dünyaydı."
,".........Hayır, öyle değil.{n}Bu manzarayı daha önce de görmüştüm.{n}Bunlar altın yapraklar değil."
,......Bunlar sayısız altın kelebekler—{f:5:Beatrice}'in yardakçıları!!
,Jessica sayısız kelebek tarafından kuşatılmıştı ve ellerini çılgınca etrafa sallayarak onları uzaklaştırmaya çalışıyordu.
Kanon,"""Leydim!!!"""
Ushiromiya Jessica,"""Ka-Kanon-kun...... Y-Yardım et............... ...*öksürme*öksürme*öksürme*öksürme*!!"""
,Kanon Jessica'ya doğru koştu ve bir grup kelebeği şiddetle uzaklaştırdı.
,"...Güzelliklerine rağmen korkutucu olan kelebekler, Jessica'nın ağzından ve burnundan içeri girmeye çalışıyordu."
,Jessica hiddetle öğürmeye başladı.
,"...Kelebekler neredeyse astım krizini tetikliyor, onunla alay ediyorlardı."
,"Gerçekten de Kanon, Jessica boğulurken ona doğru koştuğunda, kelebekler ona saldırmayı bıraktılar ve bu kez ikisinin etrafında zarif bir şekilde rondo dansına başladılar."
Ushiromiya Jessica,""".........Kanon‐kun...... Kanon‐kun........."""
Kanon,"""...Her şey yolunda. ............Gözlerimde hayat olduğu sürece, ......kimsenin sana dokunmasına izin vermeyeceğim."""
Kanon,""".........Çık ortaya, {f:5:Beatrice}!! Şimdi tatmin oldun mu?!!"""
,Acı çeken ve astım spreyini kullanan Jessica'yı korurken Kanon boşluğa doğru bağırdı.
,"......Kanon bağırdığında, o boşluk kesinlikle karşılık vererek güldü."
,"...Sonra, kendini gösterdi.{n}Kanon'un isteğine bir yanıt olarak değildi."
,Belli ki ortaya çıkıp alay etmek onların daha da aşağılanmasına neden olacaktı ve ayrıca bu daha eğlenceliydi!
{f:5:Beatrice},"""*cackle*cackle*cackle*hahahahaha!! Şimdi her şey olay örgüsünü takip ediyor. Artık kesme tahtasındaki sazanlarsınız."""
{f:5:Beatrice},"""Hayır, ikiniz de birlikte olduğunuza göre, {c:86EF9C:ördek ve yeşil soğan} mı demeliyim? Hahaha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}hahaha!!"""
Ushiromiya Jessica,"""S-......Sen, ......B-{f:5:Beatrice}...!!"""
Kanon,"""Lütfen, geri durun. ......Leydim, sizi koruyacağım...!"""
{f:5:Beatrice},"""Prenses ve şövalye beraberken cadının ortaya çıkması şarttır. ......Evet, neden bana Kinzo'nun mobilyalarının ne kadar güçlü olabileceğini göstermiyorsun?"""
,Cadı parmağını şıklattı ve kulak tırmalayan bir ses çıktı.
,"Parmağını şıklattığında, altın kelebeklerden oluşan bir kar fırtınası oluştu ve bir çember şeklinde dönerek adeta küçük bir dağ oluşturmaya başladılar."
,"...Tıpkı soğuk, kış rüzgârlarının girdaplar oluşturup yapraklardan bir dağ yaratması gibiydi."
,"O altın dağından, ...sanki aşağıdaki dünyanın bir sakini sürünerek, ......dışarı çıkıyormuş gibi bir el uzandı."
Ushiromiya Jessica,"""Bu-.........Bu ne......? Neler oluyor......?!"""
,Jessica şu anda ne gördüğünü kavrayamıyordu ve ağzını sürekli açıp kapatıyordu...
,"Bu, anlaşılmaz bir şeyi kavramaya çalışanların yaşadığı bilgeliğin ısırığıydı."
,Yukarı doğru sürünen şey......muhtemelen cadıya hizmet eden bir uşaktı.
,Hizmet edenlere uygun bir üniforma giyiyor gibi görünüyordu.
,......Ama yüzü farklıydı. Yüzü...garip görünümlüydü.
,"......Kapkara tüylerle kaplıydı, ...kokuşmuş bir nefesi vardı ve gözleri lav gibi garip bir yeraltı ışıltısıyla doluydu."
,"...Ve.........insan olmayanların sembolü olan—bir çift boynuz... Bu, cadıya hizmet eden keçi suratlı bir uşağın figürüydü......"
Ushiromiya Jessica,"""...........................!!!!!"""
,Jessica artık ne diyeceğini bilemiyordu.
,...Tüm bu önünde olup bitenler bu dünyanın mantığıyla açıklanamazdı ve ağzını açıp kapamaktan başka bir şey yapamıyordu.
,"......Jessica fark etmemişti. ...Bu ada, çoktan bu dünyanın kurallarından koparılmıştı."
,"Ama yine de, anlayabildiği bir şey vardı. ......Bu keçi uşağı cadının hizmetkârıydı, ......ve onun hayatının peşindeydi."
,"Ve öyle görünüyordu ki cadı bu emri çoktan vermişti.{n}Cadı, Kanon'a beklenti dolu bir bakış attı."
