Speaker,Turkish (TR)
Ushiromiya George,"""Aah, eğer sol eline takması gerektiğini açıkça söylemezsem, sağ eline takabilir! H-Hayır, Shannon o kadar cahil değil, ama özgür iradesini ifade edebilmesi için bir şansı olmazsa, bu biraz, uuuuuu, nnnnuuuuuuu, muuuuuuuaaaaaaaaahhhh...!!"""
,"Kollarını kavuşturmuş, oflayıp puflarken biri kapıyı çaldı.{n}George irkilerek gerçekliğe geri döndü."
Ushiromiya Rudolf,"""Hey, George-kun. İyi misin? Karın ağrın falan mı var?"""
Ushiromiya George,"""Ah, ahahahaha, Rudolf Amca...! Sorun yok, ben iyiyim! Endişelenmene gerek yok, ahahahahahaha...!"""
Ushiromiya Rudolf,"""Emin misin...? Tamam o zaman. Ama çok fazla zorlama. Yoksa kıçın patlayacak."""
,Rudolf neşeyle gülerek ellerini yıkadı ve oradan ayrıldı.
,...George en utanç verici kısmın duyulmadığının farkındaydı ve rahatlayarak göğsünü okşadı...
Ushiromiya Rudolf,"""Kyrie, Rosa hâlâ gelmedi mi?"""
Ushiromiya Kyrie,"""Henüz gelmedi. Oldukça geç kaldı."""
Ushiromiya Rudolf,"""Havanın uçuşumuzu geciktirmesi iyi oldu. Eğer uçak rötar yapmamış olsaydı, şimdiye kadar uçağı kaçırmış olurdu. O durumda ne yapacaktı?"""
Ushiromiya Kyrie,"""...Rosa-san da artık bir yetişkin. Bir şekilde hallederdi. Ağabeyler, küçük kız kardeşlerine kaç yaşlarına gelirlerse gelsinler her zaman çocuk gibi davranırlar."""
Ushiromiya Battler,"""Babam da ne kadar yaşlansa da hep bir çocuk."""
Ushiromiya Rudolf,"""Ne dedin sen? Eğer ben çocuksam, bu durumda sen de bebek oluyorsun. Hadi, Battler-chan, gel bakalım~!"""
Ushiromiya Battler,"""Kes şunu, gıdıklanıyorum, wahahaha, duuur!"""
Ushiromiya Kyrie,"""Siz ikiniz bir baba oğuldan çok yaramaz bir çift çocuğa benziyorsunuz. ...Bakın, işte geldi."""
Ushiromiya Hideyoshi,"""Ohoooooooooh!!! Bu Rosa-san değil mi! Maria-chan, görüşmeyeli uzun zaman oldu!!"""
Ushiromiya Maria,"""Görüşmeyeli uzun zaman oldu! Uu!"""
Ushiromiya Rosa,"""Maria! Bunun ""Seni tekrar görmek güzel"" olması gerekmiyor mu? Amcanı düzgünce selamla."""
Ushiromiya Maria,"""Uu. Seni...tekrar görmek güzel..."""
Ushiromiya Hideyoshi,"""İşte böyle! İyi dedin! Ödül olarak biraz şekere ne dersin?! ......Oh, huh? Nereye koymuştum onları?"""
Ushiromiya Kyrie,"""Rosa-san, seni tekrar görmek güzel. Seni görmek de güzel, Maria-chan."""
Ushiromiya Rosa,"""Çok uzun zaman oldu, Kyrie nee-san, Hideyoshi nii-san. ...Ve......amanın, Battler-kun?! Ne kadar da büyümüşsün...!"""
Ushiromiya Battler,"""Ah, hadi ama, hahaha... Karşılaştığım her insandan bunu duymak utanç verici...!"""
Ushiromiya Rudolf,"""Hey, Rosa. Geç kaldın. Uçak zamanında kalksaydı, zar zor yetişecektin..."""
Ushiromiya Rosa,"""Özür dilerim. Tren aktarmamızı yaparken biraz sorun yaşadık. Yani yine hava durumunu mu bekliyoruz?"""
Ushiromiya Eva,"""Oh, şikayet etme. Otuz dakikalık uçak yolculuğunu altı saat teknede zıplamaya tercih ederim. Burada bir saat bekletilsek bile, yine de çok daha hızlı."""
Ushiromiya Battler,"""Bu Maria mı...? Ne kadar da büyümüş... Tam da büyüme çağında..."""
Ushiromiya Rosa,"""Onu en son...altı yıl önce mi görmüştün? Elbette değişecekti. Kadınlar tek bir günde baştan doğabilen varlıklardır ve tek gereken de bir kalp değişikliğidir."""
Ushiromiya Maria,"""......Uu?"""
,Maria akrabalarının arasında tanımadığı iri bir adam olduğunu fark etti ve Rosa'nın arkasına saklanarak Battler'a ters ters baktı.
Ushiromiya Rudolf,"""Hey, Battler, merhaba de. Onunla en son görüştüğünde sadece üç yaşındaydı, yani bu ilk görüşmeniz sayılabilir."""
Ushiromiya Battler,"""Evet, tabii ki üç yaşındayken yaşadığı şeyleri hatırlamaz! Hey Maria, görüşmeyeli uzun zaman oldu. Ne kadar da büyümüşsün!"""
Ushiromiya Rosa,"""Maria. Bu Battler onii-chan. Rudolf Amca'nın oğlu. ...Anladın mı?"""
Ushiromiya Maria,"""............Amcanın oğlu... Amcanın oğlu... ............?? ......Uuuu!!"""
,Belli ki kendini korumaya çalışıyordu.{n}Battler gibi iri yarı bir adamın aniden kendisiyle açık açık konuşmaya başlamasını korkutucu bulmuş olmalıydı.
,Battler da bunu fark etti ve ona yaklaşabilmek için çeşitli yollar düşündü.
,Sonra elindeki şekeri fark etti.
,"Bu, Rosa'nın Maria'ya aldığı jack-o'-lantern şekerlemesiydi."
Ushiromiya Battler,"""Doğru ya, Ekim ayındayız, o zaman bu Cadılar Bayramı için olmalı. Ihihihi, şaka mı şeker mi~!"""
,"Normalde küçük bir çocuğun elinden şekerini aldığınızda, ağlamasını ve yaygara koparmasını beklersiniz."
,Yetişkinler Battler'ın bu yönteminin kötü sonuçlar doğuracağını düşünüyordu ama şaşırtıcı bir şekilde Maria bundan oldukça keyif aldı ve yüzünde geniş bir gülümseme belirdi.
Ushiromiya Maria,"""Cadılar Bayramı, Cadılar Bayramı!! Bak anne, Battler da Cadılar Bayramı'nı biliyor, bak, bak!!"""
Ushiromiya Rosa,"""Hey, Battler onii-chan de! Üzgünüm, Battler-kun."""
Ushiromiya Battler,"""Hayır hayır, ben umursamam. Bana Battler diyebilirsin. Ben de sana Maria diyeceğim. Hadi Maria, Cadılar Bayramı'ndayız! Şaka mı şeker mi~!!"""
Ushiromiya Maria,"""Şaka mı şeker mi~!! Kyahahaha, *giggle*giggle*!!"""
,"Maria el çantasının içinden, elindekinin tıpatıp aynısı olan bir jack-o'-lantern şekeri çıkardı ve Battler'a uzattı."
,Görünüşe göre Battler'ın bunu kabul etmesi arkadaşlıklarını doğrulamak için yeterliydi.
,"Yetişkinler, çocukların nasıl kendi iletişim yöntemlerine sahip olduklarına hayran kaldılar."
