Speaker,Turkish (TR)
{f:5:Lambdadelta},"""Evet, sana güveniyorum, Leydi {f:5:Beatrice}! Bu kız benim gerçekten canıma okudu. İkimiz birlikte onu ezmeden ve ona iki katını ödetmeden mutlu olmayacağım!!"""
{f:5:Bernkastel},"""............Bunu dört gözle bekliyorum, Lambda. Ve Beato. ...Kim kazanırsa kazansın ya da kim kaybederse kaybetsin, bu bizim için çok anlamlı bir mücadele olacak."""
{f:5:Lambdadelta},"""Bu doğru. Elbette kolay kolay kaybetmeyeceğim ama bu kazanmak ya da kaybetmekten daha önemli."""
{f:5:Beatrice},"""Ne de olsa, biz can sıkıntısını hiç sevmeyiz."""
,"Üç cadı kıkırdadı, güldü ve kahkahalar attı."
{f:5:Bernkastel},"""......Doğru. Sana teşekkür etmeliyim, Beato. Sonunda can sıkıntısından kurtulabilirim gibi görünüyor. Beni eğlendirmek için elinden geleni yap. {f:5:Lambdadelta} ile birlikte."""
{f:5:Beatrice},"""Tam olarak bunu yapacağım. *cackle*cackle*...!!"""
{f:5:Lambdadelta},"""İşte bu Beato, hemen bir strateji toplantısı başlatalım! Bu kızın tüm zayıf noktalarını biliyorum ve sana hepsini öğreteceğim!"""
{f:5:Beatrice},"""Ama yine de, Leydi {f:5:Lambdadelta}, ona karşı yenildin... *cackle*cackle*...!"""
{f:5:Lambdadelta},"""Urrrrrrrrgggh, sana söylemeyeceğim, sana söylemeyeceğim! Tsuun!"""
{f:5:Beatrice},"""*cackle*cackle* hahhahahahahahaha! ...Şu Leydi {f:5:Lambdadelta} hiç sıkıcı olmuyor."""
{f:5:Bernkastel},"""............Değil mi? Ona göz kulak ol. Öyle görünmeyebilir ama yalnızlık çekiyor."""
{f:5:Beatrice},"""Anlıyorum. Demek o da şu yeni moda whatchamacallit'lerden biri. *cackle*, Leydi {f:5:Lambdadelta}'dan beklendiği gibi. Oldukça yenilikçi. *cackle*cackle*cackle*cackle*."""
{f:5:Bernkastel},"""Git artık. O çocuk peşinden gitmeni bekliyor."""
{f:5:Beatrice},"""......O zaman, izninle."""
{f:5:Beatrice},"""Sonraki oyunda görüşürüz. *cackle*cackle*cackle*cackle*cackle*!"""
{f:5:Bernkastel},......Özür dilerim. Baş belası biri geldi ama ona aldırış etme.
{f:5:Bernkastel},"Daha da önemlisi, .........işler kesinlikle çirkinleşti."
{f:5:Bernkastel},"Lambda ile oynadığım oyunda dehşet verici kötü sonlar yaşadığımı düşünürdüm, .........ama bu seferki, ......son derece korkunç."
{f:5:Bernkastel},...Dizlerine kapanarak kalbini kapatma arzunu anlamıyor değilim.
{f:5:Bernkastel},"Eğer bu sonla birkaç kez daha karşılaşırsan, kalbinin ölmesi yüz yıldan çok daha az sürecektir."
{f:5:Bernkastel},"......Beato benim içimi gördü, bu yüzden itiraf edeceğim."
{f:5:Bernkastel},"Şu anda tıpkı, benim geçmişte Lambda'nın dünyasına hapsedildiğim zamanki halim gibisin."
{f:5:Bernkastel},"Zalim kaderin labirentine kapatılmış, bir cadının keyfince eziyet görüyordum."
{f:5:Bernkastel},...Ben oradan doğmuş bir cadıyım.
{f:5:Bernkastel},......Belki de senin için bir abla gibiyimdir.{n} Bu yüzden sana gücümü ödünç vermeye karar verdim.
{f:5:Bernkastel},"Ancak, ............benim kaderimle karşılaştırıldığında bile, ......seninki...gerçekten acımasız."
{f:5:Bernkastel},"Sana yalnızca sempati duymakla kalmıyorum, trajik kaderin beni neredeyse gözyaşlarına boğuyor."
{f:5:Bernkastel},"Ama lütfen, cesaretini kaybetme.{n}Beato'ya boyun eğme, ne olursa olsun."
{f:5:Bernkastel},"Kuşkusuz, bu çocuğun oyunu oldukça adaletsiz."
{f:5:Bernkastel},"Oyun tahtasına şöyle bir göz attığımda, numaraların çok adice ve kurnazca olduğunu gördüm, ve sahne numaraları muhtemelen {f:5:Lambdadelta}'nın oyun tahtasını fazlasıyla aşacak derecede çirkindi."
{f:5:Bernkastel},"Ve daha da korkutucu olanı, bu çocuk bir taşı oynadığında, her zaman mümkün olan en iyi hamleyi yapıyor gibi görünmüyor."
{f:5:Bernkastel},"İşte o, bu noktada Lambda'dan çok farklı.{n}Lambda kazanmak için her zaman gereğinden fazla sayıda taş kullanır ve mümkün olan en iyi hamleyi yapar."
{f:5:Bernkastel},Ancak Beato bazen taşlarını hareket ettirirken kasıtlı olarak rahat davranıyor.
{f:5:Bernkastel},"Bu, rakibimizin hamlelerine bakarak onun stratejisini bulmaya çalışan bizler için talihsiz bir durum, çünkü bilgilerimizde müthiş miktarda karışıklık meydana getiriyor."
{f:5:Bernkastel},Bu düzensizlik sorun yaratabilir.
{f:5:Bernkastel},"......Ancak, satrançta olduğu gibi, bir oyuncu işe yaramaz bir hamleyle rakibi için biraz karışıklık yaratabilir, ancak yine de daha değerli bir hamleyi kaçırmış olur."
{f:5:Bernkastel},"Başka bir deyişle, bunu avantaja çevirme şansı sıfır değildir."
{f:5:Bernkastel},Bana inanamayabilirsin ama bu oyun da aynı böyleydi.
{f:5:Bernkastel},"......Bu gelişmeler oldukça güçlü görünse de, ...aslında zayıf noktaları vardı."
{f:5:Bernkastel},Adeta bizim bunlardan faydalanmamızı istiyormuş gibi görünüyor.
{f:5:Bernkastel},"......Yine de, bu bir tuzak mı yoksa bizi test mi ediyor bilmiyorum."
{f:5:Bernkastel},"Her halükarda, teslim olma.{n}Düşünmeyi bırakma.{n}Hiçbir olasılığı göz ardı etme."
{f:5:Bernkastel},Sen savaşma isteğini koruduğun sürece Beato kazanamayacaktır.
{f:5:Bernkastel},"Bir cadının savaşında savunma çok önemlidir, biliyor musun?{n}Kazanmaya çalışmak yerine, kaybetmemeye çalış."
{f:5:Bernkastel},"...Eğer onu kabullendiğinde kaybediyorsan, o zaman kesinlikle onu kabul etmemelisin."
{f:5:Bernkastel},......Cadıları kabullenmeni sağlamak.{n}Bunun {f:5:Beatrice}'in zafer koşullarından biri olduğuna artık hiç şüphe yok.
{f:5:Bernkastel},"Artık müttefikin olduğumu ilan ettiğime göre, ben de elimden geldiğince gücümü sana ödünç vermek için çaba göstereceğim."
{f:5:Bernkastel},Aynı çabayı sen de göster.
{f:5:Bernkastel},"Eğer halen dizlerine sarılıyorsan, hemen ayağa kalk."
{f:5:Bernkastel},"......Umm, böyle zamanlarda, ne diyordum?"
{f:5:Bernkastel},".........Umm, uh,{n} .........Fi‐...fight, oo~h. Mii, nipah~{p:0:☆}"
{f:5:Bernkastel},"..................Bunu yapmak, çok utanç verici."
{f:5:Bernkastel},"......Senin için bu kadarını yaptım, şimdi acele et ve ayağa kalk."
{f:5:Lambdadelta},"""...Ah, işte buradasın. Bern bir yerlere mi kaçtı? *giggle*, daha ezik olabilir mi?"""
{f:5:Lambdadelta},"Yine de.{n}Bern'in seçtiği taşlar her zamanki gibi uyduruk, huh."
{f:5:Lambdadelta},"Satrançta da böyle, değil mi?{n}Eğer tüm taşların piyon olsaydı, kazanma şansın sıfır olurdu, değil mi?{n}Eğer tüm taşların kale ve fil olsaydı, kaybetmene imkân olmazdı."
{f:5:Lambdadelta},"......G-Geçen sefer, ona biraz acıdım ve taşlarını istediği yerden başlatabileceğini söyledim, ve o aptal Bern benim merhametimi hiç umursamadı ve tüm piyonlarını sekizinci sıradan terfi ettirerek başladı!!"
{f:5:Lambdadelta},"O da neydi öyle, o bir mağlubiyet falan değildi!! Aaah, bunu hatırlamak bile midemi bulandırıyor."
{f:5:Lambdadelta},Bern'in aptal suskun yüzünü görünceye kadar sinirli kalacağım.
{f:5:Lambdadelta},İşte bu yüzden Bern'in yüzündeki suskun ifadeyi görene kadar rahat edemeyeceğim.
{f:5:Lambdadelta},"Ayrıca, ister inan ister inanma, o kız kaybetmekten gerçekten nefret ediyor, eminim şu anda sinirden dişlerini gıcırdatıyor ve bebek gibi ağlıyordur, gerçekten çok ezik, *giggle*, hohhh‐hoh‐hoh‐hoh‐hoh‐ho!"
{f:5:Lambdadelta},"Hadi, benimle birlikle gül, oh‐hoh‐hoh‐hoh‐ho!"
{f:5:Lambdadelta},............Bir saniye.{n}Sen hâlâ dizlerine mi sarılıyorsun?
{f:5:Lambdadelta},Beato biraz ciddileşti diye hemen böyle mi oldun?
{f:5:Lambdadelta},Bundan daha zavallı olabilir misin?
{f:5:Lambdadelta},"Çok acınası haldesin, sana biraz yardım edeceğim."
{f:5:Lambdadelta},"Ben, evrenin en güçlüsü ve Kesinliğin Cadısı olan büyük Leydi {f:5:Lambdadelta}, kazanma konusundaki umutsuz olasılığını kesinliğe sadece bir nebze daha yakınlaştıracağım. Bana teşekkür etsen iyi olur."
{f:5:Lambdadelta},"{f:5:Beatrice}, gerçekten de zalim ve güçlü bir cadı olabilir, ama benimle boy ölçüşemez."
{f:5:Lambdadelta},Neden mi? Çünkü o yumuşak.
{f:5:Lambdadelta},"O çocuk, tahtayı birkaç hamle sonra mat edebileceği bir hale getirir ama kasıtlı olarak oyunu bitirmez."
{f:5:Lambdadelta},Değersiz taşları almak ya da işleri daha da tek taraflı hale getirmek için tahtaya çok fazla taş koymak gibi şeyler yapar.
{f:5:Lambdadelta},"Mesele şu ki, kazanacağını düşündüğünde oyalanmak gibi kötü bir alışkanlığı var."
{f:5:Lambdadelta},Senin ve Bern için acı verici olan neredeyse tüm bu değişik saldırılar...bana tamamen israf ve abartı gibi geliyor.
{f:5:Lambdadelta},"...Basitçe, bu onun zayıflığı ve aynı zamanda senin için bir fırsat. Gördün mü? O korkulacak bir rakip değil, değil mi?"
{f:5:Lambdadelta},"Bazen amacı ile aracı birbirine karıştırıyor.{n}Ve çok fazla karamsar eğlencesi var.{n}Sonuç olarak, kendi zayıf noktalarını yaratıyor ve hatta ortaya çıkarıyor."
{f:5:Lambdadelta},"Benim gibi gelmiş geçmiş en güçlü cadı için, onun neden bu kadar rahat davrandığını anlamak imkansız."
{f:5:Lambdadelta},Kendi kazanma şansını azaltıyor.
{f:5:Lambdadelta},.........Ama.
{f:5:Lambdadelta},"İşte bu sebepten, Bern gibi rakibini okuyan ve hamlelerinden kaçan cadıların onunla karşılaşması gerçekten kötü oluyor. Çünkü onu okumak işe yaramıyor."
{f:5:Lambdadelta},...Bern'in benim gibi kuralcı ve şeffaf bir tipi okuyup idare etmesi muhtemelen çok kolaydır. Bu beni çok kızdırıyor!
{f:5:Lambdadelta},"...Ama yine de, benim gibi süper ateş gücüne sahip bir tip, {f:5:Beatrice} gibi hafif, geniş menzilli bir yaylım ateşi tipine kolayca kafa tutabilir, bu yüzden sanırım bu bir tür taş-kağıt-makas gibi."
{f:5:Lambdadelta},"Ben kağıtsam, Beato da taş.{n}Bern de sanırım makas olurdu.{n}Beeelki, bunların hiçbir önemi yoktur."
{f:5:Lambdadelta},"Elbette, benim kağıdım Bern'in makasına yenilir, ama tahta kadar kalın olan çok daha harika süper kağıt olsaydı, makası bile yenebilirdi, değil mi?!"
{f:5:Lambdadelta},"Kısaca, ben, Leydi {f:5:Lambdadelta}, süper kağıdım ve süper kalınım!{n} Hoh‐hoh‐hoh‐ho!"
{f:5:Lambdadelta},"Yüzüne biraz renk gelmiş gibi görünüyor.{n}Şu Beato, Rosa denen bir taşa işkence ederek eğleniyor."
{f:5:Lambdadelta},"Bir bakışta, gerçekten kötü hobileri olduğunu düşünüyorsun, değil mi?{n} Ama yanlış!"
{f:5:Lambdadelta},......O sadece senin kalkıp geri gelmeni umarak zaman öldürüyor.
{f:5:Lambdadelta},"Bu, bilerek ondan nefret etmeni sağlamak için bir şey yaparak haklı öfkeni ateşlemek için yapılan bir hareket."
{f:5:Lambdadelta},"Ah dostum, böyle çocuklardan nefret ediyorum!"
{f:5:Lambdadelta},"Peki o zaman, ben geri dönüyorum."
{f:5:Lambdadelta},Ah! Sana birazcık yardım ettiğimi kimseye söyleme!
{f:5:Lambdadelta},"Yani, seni kurtarmak istediğim için yardım etmedim, tamam mı?!"
{f:5:Lambdadelta},"Evrenin en güçlü cadısı olan ben, Bern'e yenildiğimde en güçlü olarak koltuğumu kaptırdım!"
{f:5:Lambdadelta},"Yani, o koltuğu Bern'den geri almak zorundayım, ama Bern burada Beato'ya kaybederse, o zaman en güçlü pozisyon bu sefer Beato'ya geçecek, değil mi?"
{f:5:Lambdadelta},"...Şey, aslında Beato'dan geri almak daha kolay olurdu, bu yüzden gerçekten kimin umurunda, ama bu beni tatmin etmeyecek, ne demek istediğimi anlıyor musun?!"
{f:5:Lambdadelta},Bern'i yenecek kişi ben olacağım!{n}Ve en güçlü olarak konumumu geri alacağım!
{f:5:Lambdadelta},"Sana gerçekten yardım etmiyorum, tamam mı?!{n}Bern'i ağlatırsan seni affetmeyeceğim!"
