Speaker,Turkish (TR)
Kanon,"""...Neden.........Madam kurban olarak seçilmedi...? Eğer o seçilmiş olsaydı, ......Shannon, ......Shannon ölmek zorunda kalmazdı..."""
,"Tam o sırada koridordan yüksek, keskin bir ses yankılandı.{n}İkisi de şaşkınlıkla arkalarını döndüler."
Ushiromiya Battler,"""........................Oldukça ilginç bir konuşma yapıyorsunuz gibi görünüyor. Benim de katılmama izin verin."""
,Battler mutfağın kapısında duruyordu.
Kanon,"""......Battler-sama. Lütfen, izninizle..."""
,Genji-san ve Kanon-kun şaşkınlıkla ayağa kalktılar ve aceleyle selam verdiler.
,...Ama bu gibi şeyler umurumda değildi.{n}Ben daha çok tartışmaya devam etmekle ilgileniyordum.
Ushiromiya Battler,"""Onlara tuvalete gideceğimi söyledim ve onlar da gitmeme izin verdiler. O odada daha fazla kilitli kalırsam boğulacağımı düşündüm."""
Ushiromiya Battler,"""...Sizden biraz su istemeye gelmişken oldukça ilginç bir şeye kulak misafiri oldum. ......Başınızı eğmenize falan gerek yok. Lütfen, gerisini dinleyeyim."""
Kanon,"""............Az önceki......pek de önemli......"""
Ushiromiya Battler,"""Bir süredir sizi dinliyordum. Şimdi saklamaya çalışma."""
Ushiromiya Battler,"""............Bu yüzden doğrudan soracağım. ...Kim bu {f:5:Beatrice}? Bir çocuk hikayesindeki cadı olması gerekiyordu, ama şimdi pek de öyle görünmüyor."""
Kanon,"""........................"""
,Kanon-kun bakışlarını kaçırdı.
,"...Bu konu hakkında konuşmak istemediği çok açıktı, ...bu da bende sadece daha fazla sorma isteği uyandırdı."
,Gülümsemek için çaba sarf ederken Kanon'un gömleğinin yakasını kavradım.
Ushiromiya Battler,"""......Eğer dün gece olsaydı, bu beni ilgilendirmezdi. Ama bu sabahtan itibaren her şey tersine döndü. Artık Babam ve diğerleri öldürüldüğüne göre, bu beni tamamen ilgilendirir. .........Bu şüpheli hikayeyi dinlemeye hakkım var, öyle değil mi...?"""
,"Gözlerimi Kanon-kun'un gözlerine dikmiş bakıyordum, o ise acı içinde uzaklara bakmaya devam ediyordu."
,...Boylarımız arasında büyük bir fark olduğu için Kanon-kun ayak parmaklarının üzerinde durmak zorunda kaldı ve biraz canı yanıyor gibi görünüyordu.
Kumasawa Chiyo,"""............Battler-san... ...Lütfen onu bırakın... Kanon-san bir şey saklamaya çalıştığından değil..."""
Ushiromiya Battler,"""O zaman bu konuda konuşmak senin için sorun olmaz, değil mi? Olayın dışında kalan olmak yalnız hissettiriyor."""
,"Yakasını daha da kıvırmaya çalıştığımda, Genji-san aramıza girdi ve konuştu."
,...Yüzünde hafif bir boyun eğme ifadesi vardı.{n}......Bir şey saklamayı planlamıyormuş gibi görünüyordu.
Ronoue Genji,""".........Ben bu konuda konuşabilirim. ......Ama Battler-sama, bunu kötü karşılayabileceğiniz için Kanon sadece tereddüt etti..."""
Ushiromiya Battler,"""Tereddüt etmek pek erkekçe değil. Sır olarak saklamak daha da iğrenç."""
Ushiromiya Battler,"""......Bana anlat. Yarından önce yapacak daha iyi bir işim yok. Birazcık korkutucu bir hikaye can sıkıntısını gidermenin en iyi yolu olabilir."""
,Genji-san ve Kanon-kun birbirlerine baktıktan sonra konuşmaya karar vermişler gibi başlarını salladılar...
Kanon,"""......Anlaşıldı. İstediğiniz şeyi sorabilirsiniz. ............Anlatacağız."""
Ushiromiya Battler,"""Evet. O zaman soruyorum."""
Ushiromiya Battler,"""......{f:5:Beatrice} de kim oluyor? ...Tek bildiğim Rokkenjima ormanında yaşayan bir cadı olduğu. ...Büyükannemin ya da birilerinin insanları tehlikeli ormandan uzak tutmak için uydurduğu bir hikaye olduğunu duymuştum. ......Bu yanlış mı?"""
Kanon,"""............Hayır, ...yanlış değil. Dediğiniz gibi. {f:5:Beatrice}-sama, Rokkenjima ormanında yaşayan bir cadıdır."""
Ronoue Genji,"""......Battler-sama. .........Buna birden inanmanızı beklemiyorum ama...{f:5:Beatrice}-sama gerçekten var. ...O, Efendi'ye büyük miktarda altın veren ve uzun yıllar boyunca onun yanında çalışmış olan gerçek bir kişi."""
Ushiromiya Battler,"""Ha...? Ah, kes şunu, kes şunu... Büyükbabam sana her dediğini tekrarlaman için para mı ödüyor...?"""
,"Şaka yapılıyormuş gibi güldüm, ama Genji-san da Kanon-kun da gülmedi, ......hatta bakışlarımdan sıyrılıp telaşla bulaşıkları yıkamaya koyulan Kumasawa baa-chan bile gülmedi."
,Ne yazık ki gülen tek kişi bendim. ...Acı ve buruk bir şekilde.
Ushiromiya Battler,"""......Anladım, Genji-san demek beni bu yüzden uyardın. ...Gerçekten de aklı başında olan herkes bunu kötü karşılardı. ............Yani {f:5:Beatrice} adında birinin gerçekten var olduğunu söylüyorsun?"""
Ronoue Genji,"""......Evet. Bu adada malikane inşa edilmeden önce de Efendi için çalışıyordu. ...Büyük ihtimalle benden bile daha uzun süredir onun için çalışıyor."""
Ushiromiya Battler,"""Demek öyle, Kyrie-san'ın teorisi yanlıştı... ......Büyükbabamın gerçekten de {f:5:Beatrice} adında bir sırdaşı varmış. ......Ve o şimdi adada mı...?"""
Kanon,"""...............Evet. Burada olduğuna inanıyorum."""
Ushiromiya Battler,"""...Bunu söylemek için garip bir yol. Sanırım bu, onun yüzünü dün ya da bugün görmediğiniz anlamına geliyor."""
Kanon,"""......Evet. ......Bunu söylemek son derece zor, ancak......umm..."""
,Kanon-kun bir kez daha bakışlarımdan kaçmak için bakışlarını kaçırdı.
Ushiromiya Battler,"""...Hadi ama, burada bırakma. Bu darbeyi vurmadan bir santim önce durmak gibi bir şey!"""
,Onu şakayla karışık teşvik ettim.
,"...Ancak, Kanon-kun hala konuşup konuşmama konusunda kararsız görünüyordu."
,".........Sonra, Kumasawa baa-chan konuştu."
Kumasawa Chiyo,"""...Hoh-hoh-ho... Onun yüzünü göremezsin, .........çünkü {f:5:Beatrice}-sama'nın bir şekli yok..."""
Ushiromiya Battler,"""............Onun neyi.........ne dedin?"""
Ronoue Genji,"""{f:5:Beatrice}-sama'nın bedeni yok. ...Bu nedenle, {f:5:Beatrice}-sama istemediği sürece, bizim gibi sıradan insanlar onun şeklini göremez."""
Kumasawa Chiyo,"""Portrenin, {f:5:Beatrice}-sama'nın insan formuna sahip olduğu zamanki halini gösterdiğini duymuştum... ......Onun sık sık portrenin önünde durup eski haline hasret kaldığını duydum... ...Hoh-hoh-ho..."""
Kanon,"""{f:5:Beatrice}-sama bazen formunu değiştirerek ışıltılı kelebeklere dönüşür ve kendini gösterirmiş. ......Onları malikanede bir yerde gördüğünüz nadir durumlarda, kesinlikle peşlerinden gitmemeniz gerektiğine dair bir kural vardır."""
Kanon,"""Peşlerinden giderseniz felaketle karşılaşacağınız söylenir. ...Aslında, bu kuralı çiğneyen ve büyük bir yaralanma nedeniyle istifa eden bir hizmetkâr vardı."""
Ushiromiya Battler,"""......Durun durun, ciddi misiniz? Hepiniz bu konuda gerçekten ciddi misiniz......?"""
Ronoue Genji,"""...Battler-sama, {f:5:Beatrice}-sama çoktan geldi. Böyle konuşmak akıllıca olmayabilir."""
Kanon,"""{f:5:Beatrice}-sama ona saygısızlık edenleri sevmez. ......Eğer onun varlığından şüphe ederseniz, kesinlikle felakete sürüklenirsiniz."""
Kumasawa Chiyo,"""Battler-san... Muhtemelen bu hikayeyi tatsız buluyorsunuz. Ama biliyor musunuz? {f:5:Beatrice}-sama ""gerçek"", tamam mı?"""
Ronoue Genji,"""......O ""gerçek"". {f:5:Beatrice}-sama bunun sorgulanmasından bile nefret eder."""
Kanon,"""............Anlayamıyor musunuz, Battler-sama? ......{f:5:Beatrice}-sama buraya çoktan geldi..."""
Ushiromiya Battler,"""...Hey hey, kesin şunu. Bu tür şeylere karşı zayıfım... Beni fena korkutuyorsunuz..."""
,"Ancak, üç hizmetkârın gözlerinde şakadan eser yoktu."
,Dışarıdan bakılınca gülüyordum ve ilgisiz görünmeye çalışıyordum ama hızla ciddiye almaya başlamıştım.{n}...Onların gözleri de hızla ciddileşiyordu.
Kumasawa Chiyo,"""......Battler-san... sana {f:5:Beatrice}-sama'ya saygısızlık etmeyi bırakman için yalvarıyorum. Lütfen bana güven..."""
,"Kumasawa baa-chan, genellikle neşeli biriydi ve her zaman insanlara takılırdı, ......şimdi ise daha önce hiç görmediğim bir yüz ifadesiyle konuşuyordu."
Ushiromiya Battler,""".........P-......Pekala... Onun gerçek olduğunu söylüyorsun... Ama ben hiçbir şey göremiyorum... Şu an tam da yanımda durduğunu falan mı söylemeye çalışıyorsun? Dalga geçmeyi bırak..."""
Ushiromiya Maria,"""Kihihihihihihihihihihihihihihihihi......"""
,"Tam o sırada, o sinir bozucu kahkaha aniden mutfağı doldurdu..."
,...Arkamı döndüğümde Maria girişte duruyordu.{n}...Ama yüz ifadesi ve ona dair hissettiklerim...ve varlığı hizmetkârlarla tamamen aynı şekilde hissettiriyordu.
Ushiromiya Maria,"""...Dalga boyunun uyuşup uyuşmayacağı doğumunda belirlenir. Battler, sen uyumsuz bir dalga boyuyla doğdun. Bu yüzden onu göremiyor, karşılaşamıyor, konuşamıyorsun."""
Ushiromiya Maria,"""...Kihihihihihihihihihihihihihihihihi. {f:5:Beatrice}'in en nefret ettiği tip sensin."""
,"Maria'nın kahkahası çok eğleniyormuş gibi geliyordu, ...ama yine de son derece ürkütücüydü."
,......Sanki tek anlamayan sadece ben olduğum için bana gülüyor gibiydi.
Ushiromiya Maria,"""{f:5:Beatrice}'i tanımak ister misin? ............{f:5:Beatrice} bin yaşındaki bir cadı. ......Tüm şeytanlar onun emrindedir ve simyanın gücünü kullanarak felsefe taşı veya çok miktarda altın yaratabilir. Büyükbabam onunla bir sözleşme yaparak Ushiromiya ailesinin tüm servetini oluşturdu."""
Ushiromiya Maria,"""......Dün {f:5:Beatrice}'in mektubunu okumadım mı? O gerçekti. ...Ama yine de, sanırım seni inanman için zorlamam anlamsız."""
Ushiromiya Maria,"""...Ne de olsa altıncı hissinden eser bile olmadan doğmuşsun gibi görünüyor. Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihi...!"""
Ushiromiya Battler,"""......Sen neyden bahsediyorsun? Cadılar mı, şeytanlar mı? Bunları sana kim söyledi...?"""
Ushiromiya Maria,"""Kihihihihihihihihi. {f:5:Beatrice}'in bizzat kendisinden duydum. Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihi!"""
,"Maria o rahatsız edici kahkahasını atmaya devam etti.{n}...Ancak, bunu izleyen hizmetkârlar gözlerini bile kırpmadı."
,"Maria bunu...girişi süsleyen portredeki cadıdan duymuştu.{n}Maria, sanki söyledikleri doğrulardan başka bir şey değilmiş gibi garip bir sesle gülmeye devam etti..."
Ushiromiya Battler,"""...Maria, bunu sormak kabalık olacak ama bir kez daha soracağım, tamam mı...? Dün, Maria, sana o mektubu kim verdi?"""
Ushiromiya Maria,"""{f:5:Beatrice}'den aldım. Anlaman için kaç kere daha söylemem gerekiyor?"""
Ushiromiya Maria,"""......Anlamıyorsun, değil mi? Onu göremiyorsun, biliyorum. İnanamıyorsun, biliyorum! ...Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihi."""
,"Bir anda, Maria'nın kahkahası aniden kesildi."
Ushiromiya Maria,""".........Battler. Hâlâ anlayamıyor musun? {f:5:Beatrice}'in ""gerçek"" olduğunu."""
Ushiromiya Battler,"""O ""gerçek"" diyorsun.........ama nerede?"""
Ushiromiya Maria,"""Dediğim gibi, {f:5:Beatrice} ""gerçek"", tam burada."""
,"......Bu doğru.{n}Şimdi düşününce, bir süredir diğerlerinin bakmaları gereken yöne bakmadığını hissediyordum."
,...Herkesin sadece uzaklara baktığını düşünmüştüm ama......durum böyle değildi.
,"Buradaki dört kişi—Genji-san, Kanon-kun, Kumasawa-san, ...ve Maria— ......ben hariç herkes— ...............hemen arkamdaki bir noktaya bakıyordu......"
,Nefesimi sıkıca tutarak yavaşça omzumun üzerinden baktım.
,...Tabii ki de orada kimse yoktu.{n}Bunu başından beri biliyordum!
,.........Ancak benim dışımda odadaki herkes sanki orada biri varmış gibi o noktaya odaklanmıştı.
Ushiromiya Maria,"""{f:5:Beatrice} bin yıldır yaşayan büyük Altın Cadı'dır. ......Ama formunu yanlış dalga boyundaki insanlara gösteremez ve onlarla konuşamaz."""
Ushiromiya Maria,"""...Ve biliyor musun? O bunu gerçekten üzücü buluyor. ...İşte bu yüzden senin gibi büyü duyarlılığından yoksun doğmuş insanların onun varlığını inkâr etmesinden gerçekten nefret ediyor...!"""
Ushiromiya Maria,""".........Battler, şanslısın. Dün sana o tılsımı vermem iyi olmadı mı? Onu yanında taşımıyor olsaydın kim bilir {f:5:Beatrice} şimdiye kadar seni ne tür bir şekilde lanetlerdi? ...Gerçekten şanslısın, Battler. Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihi...!"""
Ushiromiya Battler,""".........Doğru, şu akrep anahtarlık. Ucuz bir hediye falan sanmıştım ama sanırım gerçekten bir faydası varmış."""
Ushiromiya Maria,"""Kihihihihihihihi. Eğer o olmasaydı, şimdi o ambarda yüzü parçalanmış bir kurban olarak yatıyor olurdun. Kihihi{0}hi{0}hi{0}hi{0}hi{0}hihi, çok şanslısın Battler...! Kihhihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihi!"""
Ushiromiya Battler,"""......Anlıyorum. Yani o olmasaydı şimdiye kadar ölmüş olacaktım......"""
Ushiromiya Maria,"""Battler, neden {f:5:Beatrice}'e inanmıyorsun...? O ""gerçek"" olmasına rağmen. Şimdi bile, orada, bak."""
Ushiromiya Maria,"""Kihihihihihihihi! Hey, bahse girerim şimdi inanmak istiyorsundur. İnan. Ve Maria'ya, sana o tılsımı verdiği için teşekkür et...!"""
Ushiromiya Maria,"""Eğer o olmasaydı, şu anda ambarda olurdun. Ama belki de karşılığında başka birini kurtarmış olabilirdin değil mi? Kihhi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihi!"""
,Pff...!
,"......Tam o anda bir kahkaha patlattım.{n}Bir saniye öncesine kadar cadıcılık oynamak oldukça eğlenceliydi, ama ne yazık ki bu sonuncusu hedefi tam olarak tutturamadı."
Ushiromiya Battler,"""Hahahahahahah. ......O zaman hiç de iyi değil, değil mi Maria? Eğer bu doğruysa, üzgünüm ama hiç de iyi değil."""
,"Maria aniden gülmeye başladığımı görünce duraksadı.{n}Neye güldüğümü anlamamış olsa da, bunun kendisi için hoş olamayacağını fark etti."
Ushiromiya Maria,""".............................."""
Ushiromiya Battler,"""Seni incitebileceğini düşündüğüm için daha önce söylememiştim, ama..."""
Ushiromiya Battler,"""......Bana verdiğin tılsımı cebime koyduğumu sanıyordum, ama sanırım bir yerde düşürmüş olmalıyım."""
Ushiromiya Battler,"""......Bu da şu anda hayatta olmamın sebebinin tılsım olamayacağı anlamına geliyor ve cadı tarafından lanetlenmiş olmam gerekiyor olsa da, mükemmel şekilde iyiyim. ......Üzgünüm ama kendi gözlerimle görmediğim şeylere inanmam."""
Ushiromiya Battler,"""Altıncı his mi? Dalga boyları mı? Büyüye duyarlılık mı? Üzgünüm ama böyle sahte şeylere inanmıyorum. Sınıftaki kızların doğaüstü güçleri algılama yeteneklerinin ne kadar iyi ya da kötü olduğundan bahsettiklerini duyduğumda tepem atıyor!"""
Ushiromiya Battler,"""...Büyükbabamın size ne kadar ödediğini bilmiyorum, ama beni bir tarikata katılmaya ikna etmeye çalışıyorsanız, inanın bana bunu o kadar kolay yapamayacaksınız."""
Kanon,"""...............Battler-sama..."""
Ushiromiya Battler,"""...Kanon-kun ve siz çocuklar istediğiniz şeye inanmakta özgürsünüz. Ama konu benim inanıp inanmadığıma gelince, buna karar vermek her zaman bana düşer!"""
Ushiromiya Battler,"""Üzgünüm ama {f:5:Beatrice} gibi şüpheli bir şeyi kendi gözlerimle görmeden ona inanamam...!!"""
,Sert ve keskin bir şekilde konuştum...{n}Bunları söylediğimde Maria tekrar kıkırdamaya başladı.
Ushiromiya Maria,"""Kihhihihihihihihihihihihi...! Bunda bir sakınca yok, öyle değil mi...? Eninde sonunda, senin gibi dalga boyları tamamen uyumsuz insanlar bile {f:5:Beatrice}'i görebilecek."""
Ushiromiya Maria,""".........O çok yakında dirilecek. {f:5:Beatrice} dirilecek. ......Bu gerçekleştiğinde, benimle konuşacağına ve benimle bol bol oynayacağına söz verdi."""
Ushiromiya Maria,"""...Ne şüphe duymaya ne de inanmak için kendini zorlamaya gerek var. ......Çok yakında ortaya çıkacak. Kihihihihihihihihihi...!"""
,Bazı insanlar genellikle yemekten sonra lavaboya gider; bazıları da kısa bir şekerleme yapmayı tercih eder.
,Görünüşe göre birkaç kişi benim su içmek için mutfağa gittiğim zaman yaptığım gibi salondan dışarı çıkmıştı.
,"Nihayetinde, Natsuhi Teyze'nin herkesi salonda bir arada tutma emri, şu koşullar altında gönülsüzce iptal edildi: kimse yalnız başına kalmayacak, ve kimse salondan fazla uzaklaşmayacaktı."
,"Ne de olsa, sabahın erken saatlerinden itibaren on bir kişi aynı odaya kapatılırsa, ortam boğucu olmaya başlayacaktır."
,"...Aradan biraz zaman geçtikten sonra, herkes o sabahın şokunu atlatmaya başlamış—belki de tehlike algıları zamanla zayıflamıştı."
,"...... Ancak, bu malikanede altı kişinin öldürüldüğü kesin bir gerçekti, yani kimse tamamen ihmalkâr değildi."
,"Bu yüzden cesur davranmaya çalışarak temiz hava almak için koridora çıktıklarında, ......orada izole bir şekilde durmaktan korkuyorlar ve soluğu yeniden salonda alıyorlardı."
,"...Tıpkı, ""Güneş ve Kuzey Rüzgarı"" masalında olduğu gibi.{n}Birini kapalı kalmaya zorlarsanız direnir, ama ona ne isterse yapmasını söylerseniz itaatkar bir şekilde geri döner."
,İnsanlar gerçekten de ikiyüzlü.
,".........Hizmetkârlar yemek sonrası temizlik işlerini bitirdikten sonra, Natsuhi Teyze'nin onlara söylediği gibi itaatkâr bir şekilde salona döndüler ve girişe yakın bir kanepeye oturarak sabırla emirleri beklemeye başladılar."
,"Maria, sanki birdenbire cadıcılık oynamayı bırakmış gibi, ""uu-uu"" diyen, iyi tanıdığım saf Maria'ya geri dönmüştü."
,...Oradaki durum da neydi öyle?{n}.........Görünmez bir şekilde arkamda durduğunu söyledikleri {f:5:Beatrice} adlı bu kişinin varlığını zerre kadar hissetmemiştim.
,"...Ancak, Maria'nın içinde, o varlığın küçük bir parçasını yakalayabileceğimi hissettim..."
Ushiromiya George,"""Haklısın. Maria-chan cadılar hakkında konuşmaya başladığında değişiyor. ...Battler-kun, dün sahilde onu sen de gördün, değil mi?"""
Ushiromiya Battler,"""Bana o akrep anahtarlığı verdiği zamanı mı diyorsun? ...Hayır, duygularının incinmesinden değil, çift kişilikli gibi göründüğü zamanlardan bahsediyorum."""
Ushiromiya Jessica,"""Aah, bu arada oluyor. ......Tıpkı Maria'nın büyülü çember hakkında konuşmaya başladığı zamanki gibi, çok sık değil ama yaşandığı oluyor. Yine de ürkütücü."""
,"Anlaşılan, Jessica'ya göre, ""Kihihihihi"" gülen Maria arada sırada ortaya çıkıyordu."
,"Bu sadece kötü bir zamanlamaydı ve dahası, bunu ilk kez gördüğüm için beni gerçekten şok etti..."
Ushiromiya Battler,"""Peki bu ne böyle? Maria'nın çift kişiliği falan mı var? Yoksa ruhani hislerinin gerçekten o kadar güçlü olduğunu ve öyle şeyler tarafından ele geçirildiğini mi söylüyorsunuz?"""
Ushiromiya George,"""...Hayır, öyle olduğunu sanmıyorum. Battler-kun, sen hiç tecrübe etmedin mi? Küçükken kendinden başka biri olma arzusu."""
,"İnsanlar doğdukları zaman, kişiliğe sahip değillerdir.{n}Ancak büyüme dönemine ulaştıklarında ve benlik duyguları oluşmaya başladığında, kişilik kazanmaya başlarlar."
,Diğer insanlardan farklı olmak isterler.
,"...Ancak elbette, okulda aynı şeyi öğrendikleri ve aynı yaşam tarzına zorlandıkları için, sınıflarındaki diğerlerinden farklı olmadıklarını fark edeceklerdir."
,"Bunun farkına vardıklarında, asilik çağı olarak adlandırılan dönemde kuralları çiğneyerek işe başlarlar.{n}Herkes kurallara uyduğu için, kuralları çiğneyerek bireyselliklerini göstermek isterler."
,...Etrafındaki herkese bebek diyen ve ortalığı birbirine katanlar bile...bu şekilde baktığınızda sadece kendilerini bulmaya çalışan sevimli çocuklardır.
,......Bütün bunları çok akıllıymışım gibi anlatıyorum ama aslında bunları George-aniki'den ikinci elden öğrendim.
,Ben de küçük bir piç gibi davranmanın havalı olduğunu düşünen o utanç verici adamlardan biriydim...
,"Yani, o zamanlar karşı cinsin dikkatini çekmeye çalıştığım yaşlardaydım."
Ushiromiya George,"""Büyüme döneminin temelinde çocuk olmaktan kaçma dürtüsü vardır, tıpkı bir civcivin yumurtasının kabuğunu kırmaya çalışması gibi. Bir çocuk ile bir yetişkin arasındaki fark nedir biliyor musunuz?"""
Ushiromiya Battler,"""Yaş mı? Yoksa fiziği mi?"""
Ushiromiya George,"""Hayır, deneyimdir. Yetişkinler çocuklara tepeden bakar çünkü çocukların çok az hayat deneyimi vardır. Çocuklar bir şey söylediklerinde burun kıvırmalarının ve onları küçümsemelerinin nedeni, çocukların dünya hakkında hiçbir şey bilmemeleridir."""
Ushiromiya Jessica,"""Evet, ne demek istediğini anlıyorum. Çocukken, hayatı çözmüş gibi bir şeyler söylemeye ve bir yetişkin gibi davranmaya çalışırsın. ...Bir çocuk ne söylerse söylesin, yetişkinler çok saf olduğu ya da ""büyüdüğünde anlayacağı"" için ona kıs kıs gülerler."""
Ushiromiya Jessica,"""...Yani bu muhtemelen doğru, ama bir çocuk için küçümseniyormuş gibi olduğundan çok sinir bozucu olur."""
Ushiromiya Battler,"""......Anladım. Bu onların bilgi ve deneyim sahibi olup olmadıklarıyla ilgili. ...Haklısınız, sadece yaşlanarak ve hiçbir şey başaramayarak saygı kazanamazsın."""
Ushiromiya George,"""Dolayısıyla elimizde olan şey şu: çocuk olmaktan kaçma dürtüsünün olduğu ve aynı zamanda diğer insanlardan farklı bir bireyselliğe sahip olmak istedikleri bir dönem. Çocuklarla yetişkinleri ayıran şey bilgi ve deneyim ise, o zaman...?"""
Ushiromiya Battler,"""............Anlıyorum, eğer kimsenin bilmediği bir şey biliyorlarsa, bu kimlik oluşturmanın bir yoludur."""
Ushiromiya Jessica,"""İlkokuldayken, kimsenin bilmediği şeyleri biliyorsan, kimsenin sahip olmadığı şeylere sahipsen, kimsenin giymediği şeyleri giyiyorsan, bundan dolayı bir kahraman haline gelebilirsin. Eminim sen de aynı şeyi yapmışsındır, Battler."""
Ushiromiya Battler,"""Evet, evet. Kesinlikle bir şeyde mükemmelleşmek istediğim bir yaş vardı. ...Anlıyorum, bunun nedeni kendimi çocukluktan, yani büyüme dönemimden ayırmaya çalışmamdı."""
Ushiromiya George,"""Pozitif bir bakış açısından bakarsanız, büyüme dönemi sizi başkalarından ayırmaya zorlayarak kimsenin sahip olmadığı beceri ve bilgileri kazanmaya itiyor."""
Ushiromiya George,"""...Bu sosyolojik açıdan da ilginç bir durum. İnsanlar diğer herkes gibi olmaktan nefret ettikleri için, diğer insanların bilmediği becerileri öğrenmeye çalışırlar. Bu şekilde toplum, hayatta kalmak için ihtiyaç duyduğu geniş yelpazedeki becerileri edinebilir. ...Tanrıların programlama kalitesi gerçekten şaşırtıcı."""
