Speaker,Turkish (TR)
Kanon,"""............Bu yüzden Nee-san, ikinci alacakaranlığın kurbanı olmana izin vermeyeceğim! Lütfen, Nee-san! O adamın yüzüğünü kabul etme! Eğer kabul etmezsen, seni kurban olarak seçmeyeceğine söz verdi!!"""
Shannon,""".....................Bu......yapamayacağım bir şey. ......Bu geceki yüzük çok özel. ......Kalbim...onu reddetmeme izin vermiyor."""
Kanon,"""Nee-san...! Cadı ritüelin kurbanlarına keyfine göre karar veriyor! Nee-san, o cadı en azından seni görmezden geleceğine söz verdi!! Nee-san en azından sen kesinlikle Altın Diyar'a gidebileceksin!"""
Shannon,"""......En azından ben mi? Kanon-kun, peki ya sen?"""
Kanon,"""Cadının oyunu......benim için yeterli. ...Onun şeytani elinden sıyrılacağım. .........Güçsüz değilim. O küçük şansı yakalayacağım ve bırakmayacağım..."""
Shannon,"""............................................."""
Kanon,"""Ne de olsa, hayatlarımız geçici, değil mi? ...Gerçek hayatımıza başlayabilmek için, ......Altın Diyar'a gidelim. Ve...insanlığımızı kazanalım."""
Kanon,"""...............Ve sonra belki......Nee-san, ben de senin gibi, ......aşkı tanıyabilirim. Belki de artık kendime mobilya demek, .........ve insanları ağlatmak zorunda kalmayacağım......"""
Shannon,""".........Kanon-kun............"""
Kanon,"""Ben......artık mobilya olmak istemiyorum......! ......Ben......insan olacağım...... ...Ne olursa olsun, ......bu acıdan kurtulacağım.........!"""
Shannon,"""............................................."""
,Kanon'un gözlerinde yaşlar vardı...
,Kanon bunu şimdiye kadar fark etmemişti.{n}......Shannon aşkın tadını bilen ve acısını çeken tek kişi değildi.
,O da yaşamıştı.
,"Jessica'nın o gün ona gösterdiği gözyaşları, ......ve o günden sonraki tüm günlerde işleri yoluna koymaya ve ruh halini düzeltmeye çalışırken yüzünde beliren acı dolu gülümsemeler...Kanon'un kalbinde farkında olmadan yavaş yavaş bir tür değişim yaratmıştı..."
Ronoue Genji,""".........Shannon! Uzun süredir sana sesleniyorum."""
,"Shannon, Genji'nin sesiyle kendine geldi.{n}Görünüşe göre, defalarca çağırılmıştı.{n}Aceleyle cevap verdi."
,"......Arkasını döndüğünde, Kanon ortadan kaybolmuştu.{n}......Gözyaşlarını kimseye göstermek istemiyor gibiydi..."
Shannon,"""E-Evet. Dikkatsizliğim için özür dilerim..."""
Ronoue Genji,"""Öğle yemeğini Kanon'a devretmiştim, ancak doğruyu söylemek gerekirse, benden sonraki en rütbeli kişi olarak, yemeği ona götürmesi gereken kişi sen olmalıydın. .........{f:5:Beatrice}-sama bu evin onur konuğudur. Ondan daha önemli bir konuk yoktur. ......Lütfen onu malikanenin bir başka Efendisi olarak düşün ve kibar ol."""
Gohda Toshiro,"""...Üstüne basarak söylemeliyim—lütfen herhangi bir hata yapmamaya çok dikkat et. Bu işi senin gibi deneyimsiz birine emanet etmek benim için oldukça acı verici, ancak evin kuralları konusunda yapabileceğimiz bir şey yok. ......Sana içtenlikle güveniyorum."""
,"Gohda durumu kabullenmişti, ama Shannon'u, hiçbir hatayı kesinlikle affetmeyeceğini söyleyen bir ifadeyle tehdit etti."
,"Shannon bile, eğer bu kadar çok istiyorsa, görevi yerine getiren kişinin Gohda olması gerektiğini düşünüyordu, ......ama Altın Kartal'a layık görülen biri olarak bunun kendi sorumluluğu olduğunu düşünerek bundan vazgeçmek zorunda kaldı."
,......Ayrıca. ...{f:5:Beatrice} ile görüşmek istiyordum.{n}Ne hakkında konuşacağım? Ne soracağım? ...Bilmiyorum.
,"Bu bir minnettarlık görüşmesi mi olacak? Yoksa bir keder görüşmesi mi?{n}Yoksa, ...? ...Bilmiyorum."
,"Shannon cadının yemeğini servis arabasına yükledi, ve yavaş bir yürüyüşle mutfaktan çıktı..."
,Kapıyı çalan kişi Krauss'tu.
Ushiromiya Krauss,"""Baba. Bugün yıllık aile konferansı günü. Baba, tüm kardeşler seni görmek için burada toplanmadı mı?"""
Ushiromiya Kinzo,"""Aaah, sessiz ol!! Sana odadan çıkmayacağımı söyledim! Genji, orada olduğunu biliyorum!! Neden sana emrettiğim gibi yemeğimi buraya getirmedin?!!"""
,"Kinzo kapıdan bağırdı.{n}...Genji, Krauss'un arkasında bekliyordu."
Ronoue Genji,"""......Yemeğiniz çalışma odasına getirilmek üzere hazırlandı. ...Ancak, Krauss-sama bu akşam aşağıya inmenizi istiyor..."""
Ushiromiya Krauss,"""Baba. Her gün gel demiyorum. Sadece bu akşam için bile olsa, ailen ile bir araya gelmeyecek misin?"""
Ushiromiya Kinzo,"""Sen kime aile diyorsun!! Benim yığılıp ölmemi bekleyen o akbabalara ne zamandan beri aile demeye başladın?! Ne zamandan beri çürüyen, pis kokulu kurtçuklara AİLE demeye başladın?!!"""
Ushiromiya Krauss,"""........................... ...Amanın."""
,Krauss yarı yarıya beklediği bu cevap karşısında omuz silkti.
Ushiromiya Kinzo,"""Genji, sana söylendiği gibi yemeği buraya getir!! Neden söylediklerimi dinlemiyorsun?!! Neden?! NEDEN?!!"""
Ushiromiya Krauss,"""......Genji-san. Gerisini sana bırakıyorum. ...Benim sesim artık ona ulaşmıyor."""
,"Krauss başını hafifçe salladı, ve hızla çalışma odasının kapısına sırtını döndü."
,"......Faydası olmayacağını bildiği halde, yalnızca kardeşlerinin hatrı için seslenmişti."
,"Genji, Krauss'un merdivenlerden inişini izledikten sonra, kapıdan tekrar seslendi."
Ronoue Genji,"""...Lordum. Yemeğin buraya taşınması için hazırlıklarımızı tamamladık. .........Doktor Nanjo'nun servisini ne yapalım?"""
,"Nanjo da çalışma odasındaydı. Kinzo uzun süredir devam eden satranç oyununu bitirmeleri için onu çok sıkıştırdığından, Nanjo önceki akşamdan beri Kinzo'nun rakibiydi."
,"Nanjo bir doktor olarak Kinzo'nun günlerinin sayılı olduğunu belirtmişti.{n}...Bu koşullar altında, Kinzo hâlâ hayattayken satranç oyununu bitirmesi için onu sıkıştırırsa, Nanjo bunu reddedemezdi."
,"Kinzo hamlesini derinlemesine düşünüyor, her zamankinden daha fazla konsantre oluyordu. ......Sıra uzun süredir Kinzo'daydı ve beklemekten sıkılan Nanjo, anlamadığı büyü kitaplarını rastgele çıkarıp göz gezdirmeye başlamıştı."
Nanjo Terumasa,""".........Kinzo-san. Sadece kollarını kavuşturup tahtanın önünde oturarak iyi bir hamle düşünemezsin. Acaba biraz ara verip zihnimizi tazelemek iyi olmaz mı...?"""
Ushiromiya Kinzo,"""Sessiz ol. ......Hmmm. ......Savunma için bu yeterince iyi olmalı. Bu açığa fil mi yoksa at mı girecek...? ............nnnnnnnn..."""
,"Bugün, Kinzo güçlü bir savunma konusunda ısrarcıydı."
,"......Normalde, Kinzo'nun sloganı hücumun en iyi savunma olduğuydu. Ancak, bugün tam tersiydi."
Nanjo Terumasa,"""............Ben de acıktım. Oyuna burada ara verelim mi? Kafamı ara vermeden o kadar çok kullandım ki şimdiden başım dönüyor. ......Bundan daha fazlası en iyi hamlelerimi yapma yeteneğimi sınırlayabilir."""
Ushiromiya Kinzo,"""...Bu bir sorun. ............Satrançta, iki oyuncu da her zaman en iyi hamlelerini yapmalıdır. ...Diğer türlü hamleleri anlamak zor olur, ve düşünceleri okumak üzerine kurulmuş bu oyunu mahveder. ...Bu da aldığımız keyfi önemli ölçüde azaltır."""
,"Kinzo derin bir iç çekti, ve sonunda bakışlarını tahtadan uzaklaştırdı."
,"Satranç bir rakibe ihtiyaç duyar. ...Rakip yorulmuştu ve oyuna ara vermeyi öneriyordu, yapılacak bir şey yoktu..."
Nanjo Terumasa,"""Satrancın amacının her iki oyuncunun da zaferi hedeflemesi ve bunu başarmak için mümkün olan en iyi hamleleri yapması olduğu doğru. ...Birbirini okuyabilmeyi gerektiren entelektüel bir oyun."""
Nanjo Terumasa,"""......Ama Kinzo-san, zaferden bağımsız başka bir amacın daha olduğunu unutuyor olabilir misin?"""
Ushiromiya Kinzo,"""............Ne dedin? Zaferden başka ne gibi bir amaç olabilir ki?"""
