Speaker,Turkish (TR)
,Bu yüzden Maria cadı efsanesine inanıyordu. Tamamen kabullenmişti.
,...Cadılara inanan hayalperest bir kız için bu gayet doğaldı.
,"Bu yüzden kimse onun hayallerini yıkacak bir şey söylemiyordu.{n}...Aksine, onu hayalleri konusunda heyecanlandırmak için birlikte bir şeyler yaptılar."
Ushiromiya George,"""...Bu yüzden Maria-chan'ın {f:5:Beatrice}'in kendisine şeker verdiğini söylediği zamanlarda bile, ...birisinin bu izlenimi yaratmak için Maria-chan'ın çantasına şeker koymuş olabileceğini düşündüm."""
Nanjo Terumasa,"""............Ben de geçmişte birkaç kez bu tür numaralar yaptım, ve onun için bazı yerlere gizlice şekerler koydum. ...Büyük ihtimalle Kumasawa-san da—hayır—sanırım tüm hizmetkârlar ve Ushiromiya ailesinin tamamı bunu bir ya da iki kez yapmıştır."""
Ushiromiya Battler,"""......Yani, küçük, masum bir çocuğu mutlu edecekse, bir yere bir şeker koyabilir ve herkesin onun hayalini canlı tutmaya katılmasını sağlayabilirsiniz. ......Bu durumda, George-aniki'nin bu tür şeyleri zaman zaman yaptığına bahse girerim."""
Ushiromiya George,"""............Kim bilir."""
,Bunu itiraf etmek muhtemelen kaba bir davranış olurdu.
,"George, Maria'nın öğrenmemesi için son derece dikkatli davranırken bunu itiraf etti."
Ushiromiya Battler,"""Başka bir deyişle, ......bir nevi Noel Baba gibi. Bir çocuğun hayallerini korumak için, ebeveynler birlikte plan yapar ve uykuya dalmış bir çocuğun başucuna hediyeler koyarak yalan söylerler."""
Ushiromiya Jessica,"""......Yani, çocukların hayallerini korumak gerekir. ...Bana gelince, açıkçası Noel Baba'nın var olmadığını uzun zaman önce öğrendim. ......Ama o hayalden uyanmamak sorun olmasaydı, hayatım boyunca buna inanmak isterdim."""
Nanjo Terumasa,"""...Dünyanın zor olduğunu bildikleri için, ...yetişkinler en azından bir çocuğun lekelenmemiş hayallerini korumak isterler."""
Ushiromiya Maria,"""Uu!! {f:5:Beatrice} gerçek! ""Gerçeeek""!!!"""
Kumasawa Chiyo,"""Evet, kesinlikle. {f:5:Beatrice}-sama gerçekten var. Bir süre önce, siyah çay yapmak için uskumru kuruturken, aniden—"""
Ushiromiya George,"""......İşte, aslında böyle bir şey. ...Ya da en azından biz öyle sanıyorduk."""
Ushiromiya Battler,"""Özetlemek gerekirse, ......Maria dışında kimsenin inanmadığı bir cadı."""
Ushiromiya George,"""Ben olsam bu şekilde yorumlamazdım. ......Mesele inanmamamız değil. ...{i:Onun} inanmasına izin vermeye çalışıyorduk."""
,Yani bu bir çocuğun masumiyetine ihanet etmemekle ilgiliydi.
,"Ama Noel Baba gerçekte yok. Bunu öğrendiklerinde hayal kırıklığına uğramalarını istemiyorsanız, onlara en başından bu hayali vermemelisiniz."
,...Yetişkin olmaktan hâlâ çok uzak olduğum için mi böyle düşünüyordum?
,Battler nihayet Rokkenjima cadısının gerçek formunu kavrayacak bir seviyeye ulaşmıştı.
,".........Ancak mevcut durum bundan daha yüksek bir farkındalık seviyesine uzanıyor, ve tüm varsayımları altüst ediyordu..."
Ushiromiya Battler,"""......İşte cadı {f:5:Beatrice}-sama'nın bundan ibaret olduğuna inanıyorduk, ama sonra gerçekten de önümüzde belirdi. Durum bu mu?"""
Ushiromiya Battler,"""Dahası, ailelerimizin yaygarasına bakılırsa, davetli bir misafir olmadığı anlaşılıyor. ......Bu kulağa ilginç geliyor."""
Ushiromiya George,"""Aslında {f:5:Beatrice} adında bir kadının var olmadığını söyleyebilmek için hiçbir kanıt yok. ......Rudolf Amca'nın Şeytan'ın İspatı dediği şey bu. ......Hiçbirimiz kendisine {f:5:Beatrice} diyen bir kadının varlığından haberdar değildik."""
Ushiromiya George,"""...Ama bu {f:5:Beatrice}'in var olma ihtimalini inkâr edebileceğimiz anlamına gelmiyor."""
Ushiromiya Jessica,"""......Doktor Nanjo, büyükbabamla uzun zamandır arkadaşsınız, değil mi?"""
Nanjo Terumasa,"""..................... ...Aile konferanslarında Krauss-san ve diğerleri tarafından bu konuda oldukça fazla sorgulandığım bir dönem oldu. ......Uzun zaman önce Kinzo-san'ın {f:5:Beatrice} adında bir metresi ve ondan gayrimeşru bir çocuğu olup olmadığını öğrenmek istiyorlardı."""
Ushiromiya Battler,"""Anlıyorum. Ailelerimizin kafaları miras dağılımıyla meşgul. Yani bir metresin kızı ortaya çıkarsa, bunun onlar için sorun yaratacağı çok açık."""
Nanjo Terumasa,"""Krauss-san ve diğerleri muhtemelen önce Genji-san'a sormuşlardır. Ancak Genji-san, Kinzo-san'ın sağ kolu olarak ona sadakat yemini ettiğinden, ...muhtemelen Kinzo-san için benden daha güvenilir bir dosttur."""
Nanjo Terumasa,"""......Genji-san'ın onlara bir şey söylediğini zannetmiyorum. ......Ve sanırım, bir sonraki en eski dostu olan bana yöneldiler..."""
Ushiromiya Battler,"""Ve? ......Nihayetinde, Doktor Nanjo, ......büyükbabamın {f:5:Beatrice} adında bir metresi var {i:mıydı}?"""
Nanjo Terumasa,"""...............Vardı. ...Hayır, onunla hiç tanışmadım. ...Ancak böyle bir kadınla ilişkisi olduğunu Kinzo-san'dan duydum. .........Çok uzun zaman önce vefat ettiğini söyledi."""
Ushiromiya Battler,"""......Ölmüş. ......Peki ondan bir çocuğu oldu mu?"""
Nanjo Terumasa,"""Bunu bilmiyorum. ......Ama Kinzo-san her zaman {f:5:Beatrice}'i nasıl diriltebileceğini araştırdığını söylüyor."""
Nanjo Terumasa,"""...Genellikle bir kişi sevgilisini kaybeder ve sevgilisinden geriye bir çocuk kalırsa, tüm sevgisini o çocuğa yönlendirir. ......Bu nedenle, doğal olarak Kinzo-san ve {f:5:Beatrice} arasında muhtemelen bir çocuk olmadığını düşündük..."""
Ushiromiya Battler,"""............Hm? ....Bu da bizi başka bir Şeytan'ın İspatı ile baş başa bırakıyor."""
Ushiromiya Jessica,"""......Evet. ......Metresinden çocuğu ""olmadığını"" kanıtlamak imkansız. ......Şimdi gerçekten ortaya çıktığına göre, ""olduğunu"" varsaymak zorundayız."""
Ushiromiya George,"""Bu biraz aceleye getirilmiş bir argüman. ......Birilerinin Ushiromiya'nın miras meselesiyle ilgili sorunlardan haberdar olması, Büyükbaba'nın uzun zaman önceki metresiyle ilişkisini öğrenmesi, ve onun kimliğine bürünerek miras meselesine dahil olmaya çalışması daha gerçekçi."""
Ushiromiya Battler,"""......Evet, bu daha gerçekçi. ...Ancak, onun gerçekten de izole bir şekilde yaşamış, büyükbaba tarafından unutulmuş, ve intikam için geri dönmüş gizli bir çocuk olma ihtimalini de görmezden gelemeyiz, değil mi...?"""
Ushiromiya Jessica,"""İntikam mıı?! Bu da nereden çıktı?!"""
Ushiromiya Battler,"""Aaah, üzgünüm, üzgünüm... Erkekler kulağa ilginç gelsin diye olayları dramatize etmeyi severler. Çok fazla tuhaf dizi izledim. Ihihihi!"""
,Normalde bu ufak bir şaka olurdu.
,"......Ama kimsenin davet etmediği, kendisine {f:5:Beatrice} diyen gizemli bir konuk, aile konferansının yapılacağı gün, yani cadı olmadan bile kan gölüne dönüşme tehlikesi taşıyan miras paylaşımı tartışmasının yapılacağı gün ortaya çıkmıştı."
,.........Battler'ın şakasının kahkahalarla karşılanması mümkün değildi.
,Bu yüzden Nanjo'nun herkesi sakinleştirmek için enerjik bir şekilde gülmesi gerçekten çok yardımcı oldu.
Nanjo Terumasa,"""Hahahahaha... Anlıyorum, anlıyorum, bu kulağa gerçekten ilginç geliyor. Böyle bir konusu olan bir roman okumayı çok isterdim."""
Ushiromiya Battler,"""Aslında bunun gerçekte yaşanabileceğini sanmıyorum. ......Sonuçta, şu anda bu adada bir, iki, üç... 18 kişi var, değil mi?"""
Ushiromiya Battler,"""Eğer acayip bir şey yaparsa, onu hemen etkisiz hale getirebiliriz. Ve tayfun nedeniyle adadan bile ayrılamıyor. Kısacası, böyle manyakça bir suçu işleyebilmesinin imkânı yok."""
Ushiromiya George,"""......Katılıyorum. Kaçmanın hiçbir yolu olmayan bir açmazdayken ve herkesin ondan şüphelendiği bir durumda, böyle korkunç bir intikam trajedisini başarabileceğini gerçekten sanmıyorum."""
Nanjo Terumasa,"""Hiç sanmıyorum. ...Eğer amacı intikam almak olsaydı, kendini göstermeden gizlice gelmesi daha gerçekçi olurdu. Tarihi tiyatro oyunları dışında insanların intikam için açıkça ortaya çıktığını pek duymazsınız."""
Ushiromiya Jessica,"""Bunu bilemeyiz, değil mi? İntikam duygulara dayanır, mantığa falan değil. Ve eğer intikamı bu uğurda canını vermeye razı olacak kadar çok istiyorsa, polisten, insan sayısından ya da çıkış yolu olmamasından pek korkmayabilir."""
Ushiromiya George,"""Sorun yok, Jessica-chan. Hayal ettiğimiz korkunç şeylerin hiçbiri olmayacak."""
Ushiromiya Battler,"""Ihihi! Sanki miras için ailelerimiz arasındaki savaş hiç korkunç değilmiş gibi."""
Ushiromiya Jessica,"""......Haklısın. ...Babam ve Rudolf Amca oldukça sertler ve Eva Teyze dövüş sanatları eğitimi bile aldı. ......İyi olacağız. Evet..."""
,Jessica söylememişti ama kendi babasının miras konusunda diğer tüm kardeşlere karşı çıktığını az çok fark etmişti.
,Çocukların önünde her şey yolundaymış gibi davranıyorlardı ama akşam yemeğinde olduğu gibi bu rolü bir kenara bıraktıklarında ortalık birbirine giriyordu.
,"Bunu fark eden Jessica'nın, babası ve annesinin başlarının bir tür belaya girmiş olmasından, ...ve korkunç bir şey için kurban edilmelerinden korkması son derece doğaldı..."
Ushiromiya Battler,"""Değil mi? George-aniki haklı. ...Hiçbir şey olmayacak. Cadı olduğunu iddia etse bile, büyü bile kullanamayan yalnız bir {i:insan kadın} ne yapabilir?"""
Ushiromiya Maria,"""Kihihihihihihihihihihihihihihihihihihi..."""
,"Ani, ürpertici kahkaha hepimizi yerinden sıçrattı."
,......Ve bu acayip kahkahanın Maria'dan geldiğini fark ettiğimizde bir kez daha şok olduk.
Ushiromiya Maria,""".........Demek öyle. ...Senin algılama şeklin bu, öyle mi Battler?"""
Ushiromiya Battler,"""Ne-.........Neydi bu? Böyle ürkütücü bir şekilde gülme."""
Ushiromiya Maria,"""Battler, {f:5:Beatrice}'in varlığını şimdilik kabul ediyorsun. En azından onu 19. kişi ve bir konuk olarak kabul ediyorsun. ............Ama hepsi bu, değil mi? ...19. kişi olan {f:5:Beatrice}'in bir cadı olduğunu kabul etmiyorsun, değil mi...?"""
Ushiromiya Battler,"""Bunun için mi hepimizi şoke ettin? ......Tabii ki kabul etmiyorum. {i:Cadı diye bir şey olmadığı çok açık}. Cadı gibi davranan bir insan kadından başka bir şey olmasına imkân yok."""
Ushiromiya Maria,"""......Kihihihihihihihihihihihihihihi. Hmmm...? Ne tuhaf, değil mi Battler? ......Bu bir Şeytan'ın İspatı değil mi? ......""Cadı diye bir şey olmadığı çok açık"" mı? Ama Battler, bu sadece bir cadıyla hiç karşılaşmamış olduğun anlamına gelir, ama cadıların varlığını inkâr edebileceğin anlamına gelmez, öyle değil mi...?"""
Ushiromiya Battler,"""............... .........Bu doğru. ...Bu gerçekten doğru. Cadıların var olmadığını kanıtlayamam. ......Ancak, kanıtlayamasam bile iddia edebilirim. Cadıların var olmadığını iddia ediyorum."""
Ushiromiya Maria,"""Nasıl...? Nasıl olur da kanıtlayamadığın hâlde cadıların var olmadığını iddia edebiliyorsun...?"""
Ushiromiya Battler,"""Çünkü böyle şeyler gerçek değil."""
Ushiromiya Maria,"""Kihihihihihihihihihihihihihihihi! Ve bu QED mi? Herhangi bir kanıt ya da dayanak olmadan sonuca varılan kanıt? Cehaletin sorunlarını nasıl gizlediğinin klasik bir örneği. Düşüncelerin fütursuzca rafa kaldırılması. Kihihihihihihihi...!"""
Ushiromiya Battler,"""Bu durumda, tek bir cevabım var, Maria. ......Cadı tarafının da bazı kanıtlar göstermesi gerekiyor. Bu da Şeytan'ın İspatı'nın bir parçası. ......Bir şeytan getirecek olursan, bu iş hemen son bulabilir."""
Ushiromiya Battler,"""...Bizim durumumuzda, kendisine {f:5:Beatrice} diyen bu bayan gelip...sadece asasıyla parlayan yıldızlar saçmak gibi muhteşem bir büyü yapmalı, {i:ve bize {y:0:İnsan}{n:0:insan}lar için imkansız olan bir şeyi göstermeli}, değil mi?"""
Kumasawa Chiyo,"""......Hadi ama, siz ikiniz. Lütfen sakinleşin..."""
,Kumasawa aralarındaki atmosferin giderek kötüleştiğini fark etti ve onları sakinleştirmeye çalıştı.
,...Battler çocukça davrandığını çabucak fark etmiş gibi görünüyordu.
,Ama Maria'nın yüz ifadesi değişmedi. ......Sinsice gülerken Battler'a bakmaya devam etti...
Ushiromiya Jessica,"""Maria, sen de kes şunu. ...Tekrar iyi bir ruh haline dönelim, tamam mı?"""
Ushiromiya Maria,"""Kihihihihihihihihihihi, kihihihihihihihihihihihihi."""
Ushiromiya Battler,"""....................."""
Ushiromiya Maria,"""......Eğer istediğin buysa, {f:5:Beatrice} eminim ki sana gösterecektir. {i:{y:0:İnsan}{n:0:İnsan}lar için imkansız olan bir şey}. Ve sonra Battler, sen de inanacaksın, değil mi? {f:5:Beatrice}'e."""
Ushiromiya Battler,"""............Tabii. ......Eğer görmeme izin verirse, inanırım."""
Ushiromiya Maria,"""Bu, cadı ve senin aranda bir satranç mücadelesi, Battler. .........Eğer şah mat olursan Battler, cadıya inanacaksın."""
Ushiromiya Battler,"""Oh, bu çok şık bir benzetme. ......Cadı büyüsünü gösteriyor. Şahıma şah çekildi."""
Ushiromiya Battler,"""Bir insanın bile kullanabileceği yöntemlerle onun yaptıklarını tekrarlamanın mümkün olduğunu söyleyerek itiraz ediyorum ve kralım kurtuluyor. ...Eğer bunu yapamazsam, şah mat olur—bu oldukça iyi bir benzetme."""
Ushiromiya Maria,"""Battler. ......Satrançta, hem senin hem de rakibinin taşları aynı şekilde hareket eder. Bu sayede rakibinin hamlelerini okuyabilirsin."""
Ushiromiya Maria,"""............Ama biliyor musun? Rakibinin taşlarının seninkilerden çok daha garip şekillerde hareket edebileceğini hiç hesaba katmadın. Basitçe, cadıların var olmaması gerektiğinden, {f:5:Beatrice}'in taşlarının hareketlerinin açıkça seninkilerle aynı olacağını varsaydın."""
Ushiromiya Battler,"""..........................."""
Ushiromiya Maria,"""......Ama biliyor musun? .........Üzgünüm, Battler, ama satranç partnerin {y:0:İnsan}{n:0:insan} değil. O bir cadı. ......Taşlarını {y:0:İnsan}{n:0:insan}ların hareket ettiremeyeceği şekilde hareket ettirebilir. .........Battler, şu anda bu konudaki algın yanlış. ...Battler, Kyrie Teyze'nin satranç tahtası düşüncesini seviyorsun, değil mi?"""
Ushiromiya Battler,""".........Evet. Rakibinin konumunda durduğun bu düşünce tarzını seviyorum."""
Ushiromiya Maria,"""İşte bu yüzden takılıp kalıyorsun. Rakibin bir cadı olsa bile Battler, bunu kabul etmiyorsun. .........Bu yüzden bir cadının yapabileceği hamleleri anlayamazsın ve satranç tahtası düşüncen işe yaramaz. Rakibini algılayışın yanlış. Satranç tahtası düşüncesinin ilk öncülü yıkıldı."""
Ushiromiya Battler,"""........................Hoh, ...böyle mi diyorsun?"""
Ushiromiya Maria,"""{i:{ruby:sonata:Sen} bir cadıya karşı satrançta kazanamazsın}...! Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihihi!"""
Shannon,"""...Ondan sonra ne olduğunu bilmiyorum. Biz hizmetkârlara yemek salonuna yaklaşmamamız emredildi..."""
Ushiromiya George,""".........Anlıyorum. Yani, Shannon, sen bu {f:5:Beatrice} denen kişiyle daha önce tanıştın mı?"""
Shannon,"""........................... ......Bilmiyorum."""
,"Bu, bunu söylemenin biraz garip bir yoluydu.{n}Hafızasının bulanık olduğunu ima ediyormuş gibi değildi."
Shannon,"""......Biz hizmetkârlar için {f:5:Beatrice}-sama bu malikanenin bir başka efendisi. ......Bazıları sanki Efendi'den etkilendiğimiz için bu söylentiyi yaymışız gibi konuşuyor, ama..."""
Shannon,"""......Burada çalışmaya başladığımdan beri, {f:5:Beatrice}-sama'nın hikayesi çoktan ağızdan ağıza yayılmıştı."""
Ushiromiya George,"""Bunu daha önce de duymuştum. ...Ona saygı göstermezsen lanetleniyorsun ve hatta gerçekten de en azından bir hizmetkâr bu şekilde bir kaza geçirmişti, değil mi?"""
Shannon,"""Evet... ......Fakat bazı insanların diğerlerinden daha az ya da daha çok inandığı da doğru. ...Ben, umm, ...bu tür şeylere saygı duyulmasının unutulmaması gerektiğine inanıyorum, bu yüzden onun varlığından asla şüphe duymadım."""
Shannon,"""......Altın Cadı adında......umm......bilinmeyen bir varlığın kesinlikle var olduğuna inanıyordum."""
Ushiromiya George,"""...Ve sonra o varlığı belirsiz cadı gerçekten kendini gösterdi ve bariz bir şekilde kapıdan içeri girdi... Olan bu muydu?"""
Shannon,""".........Bilmiyorum. ...............Hiçbir şey...bilmiyorum."""
Ushiromiya George,"""............ ...Shannon, sen ona yemek götürdüğünde bir şeyler konuştunuz mu?"""
Shannon,"""................................. ......Hayır, hiç."""
Ushiromiya George,"""Demek öyle. ...Yine de, yemek yiyen bir cadı...nedense kulağa pek gerçekçi gelmiyor. Belki de bu adadaki cadı efsanesini bilen biri {f:5:Beatrice}'in adını kullanıyordur."""
Ushiromiya George,""".........Shannon-chan, bence {f:5:Beatrice}'e muhtemelen saygı duymaya başladın ve onu malikanenin koruyucu tanrıçası gibi bir şey olarak görüyorsun. Ve gerçekten kendine böyle diyen bir kişi ortaya çıktığında, muhtemelen biraz rahatsız olmuşsundur."""
Shannon,"""......... .........Evet. Sanırım sebebi bu olabilir."""
,"George, Shannon'un çökmüş görüntüsü karşısında ne yapacağını şaşırmıştı."
,"......Muhtemelen sadece Genji değil, Shannon da dahil olmak üzere genç hizmetkârlar da, {f:5:Beatrice} denen bu kişinin kim olduğuna dair bir fikirlerinin olup olmadığı konusunda sıkı bir sorguya çekilmişlerdi..."
,George bunu düşünerek onu bir şekilde neşelendirmeye çalışmıştı.
,Maria ve Jessica gibi Shannon da kendisine Altın Cadı diyen bir kişinin bu beklenmedik ziyareti karşısında duyduğu tedirginliği tam olarak gizleyemiyor olmalıydı.
,George durumun bu olduğunu düşündü.{n}...Ama George'un Shannon'un kalbinde ne olduğunu bilmesine imkân yoktu.
,Shannon acı ve üzüntü içindeydi.
,......Altın Diyar'ın kapısı...açılacaktı.{n}......Cadı ona bunu kesinlikle söylemişti.
,Bu...her şeyin sonu demekti.
,".........George'un yüzüğünü kabul etse bile, ............artık asla evlenemezlerdi."
,"Hayır, .........ilk etapta...{n}...Onun gibi mobilyaların......evlenmeye hakkı var mıydı?"
,"Cadı ölümlerini bildirmeye gelmemiş olsa bile, ......ilişkilerinin er ya da geç sona ermesi kaderlerinde yok muydu?"
,"Bakışlarını George'la geçirdiği neşeli günlere çevirmiş, ...ve gözlerini acı gerçeklere bilerek kapatmamış mıydı?"
Ushiromiya George,"""............Sorun ne? ...Bir süredir pek iyi görünmüyorsun."""
Shannon,"""George-san. ......Nişanlanmak...ne anlama geliyor?"""
Ushiromiya George,"""Heh?! Ah, ......şey! Evlenme sözü vermek anlamına gelir. ...Ama benim düşünceme göre, evlilikle aynı anlama geliyor."""
Ushiromiya George,"""......Dürüst olmak gerekirse, şu anda seni eşim olarak kabul etmek, ve eve götürmek istiyorum. ......Ancak şu anda eğitimimin ortasındayım ve kendi şatomu yaratacak kapasiteye sahip olmaktan hâlâ çok uzağım. Bu nedenle önce bağımsız bir adam olup, ancak ondan sonra seni gururla evime götürmek istiyorum."""
Ushiromiya George,"""Uzak bir gelecekten bahsetmiyorum. Sadece üç yıl gibi kısa bir süre beklemeni istiyorum. ......Ama böyle olsa bile, önümüzdeki üç yıl boyunca duygularım hakkında rol yapmak istemiyorum."""
Ushiromiya George,"""Bu yüzden, ......sana bir nişan yüzüğü vermeye karar verdim. ......Bu bir erkek olarak utanç verici bir sebep olabilir. Bir eşi ve bir işi birlikte sürdüremeyeceğim için beklemeni istemem utanç verici olabilir. ......Ama ben asla—"""
Shannon,""".........Çok teşekkür ederim. ...George-san, anladığım kadarıyla nişan yüzüğü senin için sevgiline vereceğin onca hediyeden daha farklı bir anlam ifade ediyor."""
Ushiromiya George,"""T-Tabii ki. Nişan yüzüğü basit bir aksesuar değil. Sevenler arasında bir yemin, bir yüzük şeklinde verilen değerli bir söz."""
Shannon,""".........*giggle*. ...Bu durumda, hemen evlenirsek, anlamını kaybeder, değil mi?"""
Ushiromiya George,"""O-O zaman nişan yüzüğü olmazdı. Sana evlilik yüzüğü olarak verirdim. ......Her iki durumda da sana bir yüzük vereceğim gerçeği değişmeyecek."""
Shannon,"""Yani bir tür sözleşme gibi, ""Bu kadın benim, kimse ona dokunmasın"" demek gibi."""
Ushiromiya George,"""Hha......hayır, umm, ......demek istediğim o değ...... ...............*cough*."""
,"George utanç verici kişiliğini biliyordu. Shannon'a aşık olduğunda ve mükemmel bir adam olmaya yemin ettiğinde, o utanç verici yanıyla yollarını ayırmaya da yemin etmişti."
,"......Yani, bilerek biraz kabaca bir cevap vermeyi seçti.{n}...Shannon'un bunu güven verici bulacağına inanıyordu."
Ushiromiya George,""".........Hayır, ...tam olarak öyle olabilir. .........Sayo. Seni eşim yapacağım. ...Seni başka kimseye vermeyeceğim. Seni tamamen benim yapacağım. ...Yani kimse sana elini sürmese iyi olur. ......Bu yüzüğün anlamı bu. ...Hiç şüphesiz."""
Shannon,"""Çok teşekkür ederim, George-san. ............Gerçekten...mutluyum."""
,"O zaman, George-san."
,"......Eğer kader, bu nişan yüzüğünün, ......bu sözün yerine getirilmeyeceğine karar verseydi, ......yüzüğü yine de bana verir miydin...?"
,"...Shannon bunu sormak üzereydi, ...ama sözlerini yuttu."
,Çünkü George cevabı çoktan söylemişti.
,......George söylemişti. Onun için nişan yüzüğünün evlilik yüzüğüyle aynı şey olduğunu söylemişti.
,"Bu nedenle, George'un yüzüğünü kabul etmek bir evlenme sözünden çok daha kutsal bir öneme sahipti."
Ushiromiya George,"""İşte bu yüzden......buna nişan yüzüğü demeyi bırakacağım. Şu andan itibaren, bu bir nişan değil. Bu bir evlilik yüzüğü."""
Shannon,"""Bu, ...bunda bir sorun yok mu...? Tanrı'nın onayı olmadan, umm, evliliğimizi ilan etmemiz doğru mu......?"""
Ushiromiya George,"""Evet. Tanrı'ya, babama ve anneme bunu daha sonra anlatmamız yeterli olacaktır. İkimizin evlendiğini ilan edeceğiz. ..........Kimse bunu bozamaz."""
Shannon,""".........George-san......"""
Ushiromiya George,"""Bunu anlık bir duygusallıkla söylemiyorum. Sadece şu anda nasıl olduğuna bakmıyorum. .........Yarın ve sonraki gün nasıl olacağına da bakıyorum. ...Hatta bunu söylerken gelecekte, yaşlılıkta nasıl olacağına bakıyorum."""
Shannon,"""......Bana hep bundan bahsediyorsun, George-san. ...Yaşlılığını nasıl yavaş yavaş, neşeli çocuklar ve torunlarla çevrili olarak geçirmek istediğinden."""
Ushiromiya George,"""Evet. O zaman, daha yaşlı bir sen yanımda olacaksın. Tahmin ettiğim—hayır—öngördüğüm şey bu. ...Evet. Çünkü o gün mutlaka gelecek."""
Shannon,""".....................Mutlaka...gelecek mi? {e:070:......Buna inanmamın......bir sakıncası yok mu?}{e:100:""}"
Ushiromiya George,"""Evet. Mutlaka. Kesinlikle. ......Ve bu yüzük bunu kelimeler olmadan kanıtlıyor."""
Shannon,"""............Lütfen......göster bana."""
Ushiromiya George,"""Huh? Ah, ah, ah, .........i-iş-işte burada...!"""
,"George, kendisine yüzüğü göstermesini istediğini düşünerek aceleyle yüzük kutusunu çıkardı."
,...O kadar pratik yapmasına rağmen havalı görünmeyi başaramamıştı.
,Ama Shannon buna bakmıyordu.
,"......Dik ve keskin bir bakışla, belli belirsiz gözyaşları ve gülümsemeyle..."
,".........George'un gözlerine bakıyordu—hayır, gözlerinin ötesinde görebildiği bir şeye..."
Shannon,"""......Bana.........bu geleceği, .........göster lütfen."""
