Speaker,Turkish (TR)
,Hâlâ acı çekmediğimizi söylemek yalan olur.
,"...Şu anda bile, gardımızı biraz düşürsek, muhtemelen Jessica gibi öfkelenmeye başlar, duygularımızı bir tür şiddetle açığa vururduk."
,"Gohda-san'ın döndükten sonra söylediğine göre, şu anda Kanon-kun Jessica'ya göz kulak oluyormuş."
,"...Görünüşe göre, duygusal olarak hâlâ çok gergindi."
Ushiromiya Rosa,"""......Anlıyorum. Teşekkürler. ...Belki genç bir çocuk, genç bir çocuğun duygularını daha iyi anlayabilir. ......Şimdilik onları yalnız bıraksak daha iyi olur."""
Nanjo Terumasa,"""Rosa-san... ......Burada kalarak yapabileceğimiz başka bir şey yok. ......Telefonlar çalışmıyor olabilir ama yarın tekne gelecek ve polise ulaşabileceğiz. Polisin soruşturması için burayı olduğu gibi bırakmalıyız."""
Gohda Toshiro,"""...Doktor Nanjo'ya katılıyorum. ......Böyle bir yerde çok uzun süre kalmak sağlığınız için zararlı. ......Geri dönüp biraz siyah çay demleyelim..."""
Ushiromiya Rosa,""".........Evet. ...Ben de böyle düşünüyorum. ......Battler-kun, George-kun, olur mu...? Hadi burayı kapatalım. Hiç değilse polis geleceği için burayı olduğu gibi bırakmalıyız."""
Ushiromiya George,"""Haklısın. .........Battler-kun, ...iyi misin...?"""
Ushiromiya Battler,"""......Evet. ...Ağlayabildiğim kadar ağladım. .........Artık iyiyim."""
,Polis kapsamlı bir soruşturma sonunda mutlaka bazı kanıtlar bulacaktır. ...Ama biz bunu bekleyebilecek kadar yetişkin değildik.
,"...Kiliseyi kendi çapımda araştırmış, polis gelmeden önce suçluyu yakalamaya çalışmıştım."
,......Ve bulduğum şey—sinir bozucu bir şekilde—hiçbir şeydi.{n}......Tek bir ipucu bile bulamamıştım.
Ushiromiya Rosa,"""Hadi, ......dışarı. ...Maria, gidiyoruz. ......Bakıp durma...!"""
Ushiromiya Maria,"""......Uu."""
Gohda Toshiro,"""Hadi, hadi, Maria-sama. Geri dönelim... Burası çok soğuk."""
Ushiromiya George,"""............Anne, baba. ......Her şey için teşekkür ederim. ...Kesinlikle sizin beklentilerinize ihanet etmeyen bir adam olacağım..."""
,George ailesine veda ederken son sözlerini söyledi.
,......Bunu gördükten sonra Battler da aynı şeyi yaptı.
Ushiromiya Battler,"""...Baba, Kyrie-san."""
,"Sadece yüzlerine bakınca...uyuyor gibi görünüyorlardı, ......ama bu daha da acı vericiydi......"
Ushiromiya Battler,""".........Sizi böyle soğuk bir yerde bıraktığım için beni affedin. .........Bunu yapanı kesinlikle yakalayacağım... Kesinlikle..."""
Ushiromiya George,"""......Bu da......ne? Ne iğrenç bir grafiti... Bunu katil mi çizdi?"""
Nanjo Terumasa,"""Bu edepsizlikten de öte...... ......Bu korkunç..."""
,"Kilisenin kapısı kapandığında, o tüyler ürpertici grafitiyi ilk kez gördük."
Gohda Toshiro,"""Biz buraya geldiğimizde çoktan buradaydı. ...Suçlu tarafından çizildiğine şüphe yok..."""
Ushiromiya Battler,"""...Sözde suçlu bir cadı, ve bu da bir şeytanı çağırmak için kullanılan büyülü bir çember falan mı......?"""
Ushiromiya Maria,"""Kihihihihihihihihihihi... Bu güneşin yedinci büyülü çemberi. Bunu bile bilmiyorsun, heh... Kihihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihihi. Ahh."""
Ushiromiya Rosa,"""Hey!! Sana sürekli o ürkütücü gülüşü yapmamanı söylemiyor muyum?!"""
Ushiromiya Battler,"""Maria, devam et. ......Bunun anlamı ne?"""
Ushiromiya Maria,"""Fiziksel veya zihinsel bağlardan kurtulmak için kullanılan büyülü bir çember. ......Ve çevresindeki İbranice yazıda: ""Rab beni zincirlerimden kurtardı. Onun adına şükran kurbanı sunacağım ve Rab'bin adını haykıracağım""."""
Ushiromiya George,"""......Şükran kurbanı mı...? Bana babam ve diğerlerini bu büyülü çembere kurban olsunlar diye mi öldürdüğünü söylüyorsun...?!"""
Ushiromiya Rosa,"""Sakin ol, George-kun...! Katil bizi kışkırtmaya çalışıyor. ...Bunun hiçbir anlamı yok. Bunu düşünmek sadece kalbi zehirler."""
Ushiromiya Battler,"""......Ve biraz da İngilizce yazı var. ...<Happy Halloween for>...<Maria>. ......Anlıyorum. Ve bu kapıyı açacak anahtar da Maria'ya teslim edildi, ...bu mudur yani?"""
Ushiromiya George,"""...Ama burası kilise. ...Belki de ""Maria"" ile Maria-chan değil, Meryem Ana kast edilmiştir. ......Bu durumda, bunu Cadılar Bayramı adına Tanrı'ya karşı bir hakaret olarak düşünebilirsiniz."""
Ushiromiya George,"""Şeytanlarla sözleşme yapan cadıların her zaman Tanrı'nın adını kirleteceklerine yemin ettikleri söylenir. ......Bu anlamda, bu gerçekten de cadı benzeri bir suç teşkil ediyor."""
Ushiromiya Rosa,"""...Epey bilgilisin. ......Maria'dan mı duydun?"""
Ushiromiya George,"""......Evet, öyle bir şey."""
Ushiromiya Battler,"""Demek, kilise. ......Onları öldürmeden önce kiliseye çağırmak için onca zahmete girmişler... ............Roza Teyze, bu kilisenin özel bir anlamı falan var mı...?"""
Ushiromiya Rosa,"""Özel bir anlam derken, ......ne demek istiyorsun?"""
Ushiromiya Battler,"""Şey, umm, ............buraya kadar altı insan cesedi taşıyıp bu özenli dekorasyonları yapmışlar."""
Ushiromiya Battler,"""...Altı kişiyi öldürmeden önce mi buraya çağırıldı, yoksa öldürdükten sonra mı buraya taşındı bilemiyoruz, ...ama her iki durumda da bu çok zahmetli bir iş. .........Suçlunun, burada... {i:altı kişinin ölümünü istemesinin} sebebi ne olabilir......?"""
Nanjo Terumasa,"""......Haklısın. Bu kadar ayrıntılı bir şey yapıldığında, polis geldiğinde aleyhine bir kanıt bulunma ihtimali son derece yüksek olacaktır."""
Nanjo Terumasa,"""......Suçlunun bunu dikkate almamış olmasına imkan yok. ...O hâlde, suçlunun bunu yapmak için neden bu kadar çaba sarf ettiği, sorusuyla karşı karşıyayız..."""
Ushiromiya Battler,"""Bu noktada, sorulması gereken bir soru var. ......Altı cesedi bulduğumuz bu yerin...nasıl bir anlamı var?"""
Ushiromiya Rosa,"""......Bu kilise......babam için önemliydi. ......Çocukluğumdan beri buraya girmemem konusunda sıkı sıkı tembihlenmiştim."""
Ushiromiya Maria,"""Uu. ...Maria da bir keresinde buraya gelmişti ve çok azar işitmişti... Uu..."""
Ushiromiya George,"""Önemli bir kilise mi...? ......Ushiromiya baş ailesiyle bir bağlantısı var mı...?"""
Ushiromiya Rosa,"""Bilmiyorum. ......Babam bu kiliseyi çok kutsal görüyordu ve ona o kadar değer veriyordu ki birkaç kez yeniden dekore ettirdi."""
Ushiromiya Rosa,"""...Ama hepinizin bildiği gibi, babam sadece kara büyüyü çok seviyordu—yani dini bütün biri olduğu için değil. ......Tanrı'ya dua etmek için buraya geldiğini hiç duymadım."""
Gohda Toshiro,"""......Benim bildiğim kadarıyla bile, Efendi buraya hiç gelmedi. Hatta buraya ""yasak kilise"" adını vermiştik, ...umm, ve perili bir ev gibi oldukça ürkütücü olduğunu düşünüyorduk."""
Ushiromiya Rosa,"""Babam kendisi hiç yaklaşmasa da, nedense yılda birkaç kez hizmetkârlara temizletiyordu. ......Sanki her an kullanılabilecek şekilde her zaman temiz tutuyormuş gibiydi."""
Ushiromiya Battler,"""Ve buna rağmen, ""yasak kilise"" deniyor... ......Ihihi! Bu biraz düşüncesizce olabilir ama kulağa ilginç gelmiyor mu? Doktor Nanjo, siz büyükbabamın eski bir arkadaşısınız, değil mi? Ona hiç bu konuda bir şey sordunuz mu?"""
Nanjo Terumasa,"""............Uzun zaman önce sormuştum ama konuyu geçiştirmek için ne dediğini unuttum. ......Doğru, sanırım şöyle bir şey demişti..."""
Nanjo Terumasa,"""......Bir gün o da orada bir kutsama görebilecekti. Ama bir mucize gerçekleşmediği sürece, o gün asla gelmeyecekti."""
Ushiromiya Battler,"""Acaba bu ne demek? .........Kilisenin içinde ne yapılır? Kendi cenazesini kastediyor olamaz, değil mi?"""
Nanjo Terumasa,"""Kinzo-san'ın böyle düşündüğünü sanmam. ...O, ölümün sonrasından ziyade, hâlâ yaşarken, şu ana odaklanmış bir adamdı. .........Ancak, miras sorunundaki tüm karmaşıklığın kökeninde bu yatıyor gibi görünüyor."""
Ushiromiya Battler,"""O zaman, bir kilisede başka ne yapılır? .........Dua mı? Günah çıkarma da kiliselerde yapılmıyor mu? ..................Her neyse, kulağa şüpheli geliyor."""
Ushiromiya George,"""......Nedenini bilmiyorum ama, ......Büyükbaba'nın gözünde, tıpkı Doktor Nanjo'nun da dediği gibi, ......bir mucize gerçekleşmediği sürece kutsanmayacağı gerçeği, bu kilisenin inşa edildiği zamandan beri değişmez bir gerçekmiş gibi görünüyor."""
Ushiromiya Rosa,"""Bu kadarını nasıl biliyorsun...?"""
Ushiromiya George,"""Bak, ...orada açıkça yazıyor. ......Bak, şurada."""
,George-aniki kapının üzerindeki kemerin üzerinde paslanmış altın harflerle yazılmış bir kabartmayı işaret etti.
,"Orada İngilizce bir mesaj yazılı gibi görünüyordu. ...Pas, mesajın inşaattan beri orada olduğunu açıkça belli ediyordu."
Ushiromiya Battler,""".........İngilizce'de kötüyüm. ......Ne yazıyor...? ......<This door is>...{0}<opened>...{0}<only at>...{0}<probability of>?? Üzgünüm, İngilizcem rezil."""
,İki satırdan ilkini okuyamadıktan sonra vazgeçtim.{n}...Diğerleri düzgün okuyabiliyormuş gibi görünüyordu.
Ushiromiya George,"""...Umm, sanırım ""m"", ""b"", ""t"", ""q"" diye devam ediyor, ...umm, umm... Ne kadar büyüktü... sanırım...umm...umm, ..............."""
Ushiromiya George,"""......Her neyse, bu inanılmaz. İki elin parmaklarıyla bile buna yakın bir sayı sayamazsınız. Bir mucize gerçekleşmediği sürece bu gerçekten imkansız olurdu."""
Nanjo Terumasa,"""......Gerçekten de. Kinzo-san'ın her şeyi kumarla ilişkilendirme eğiliminde olduğu zamanlardaki konuşmasına çok benziyor."""
Ushiromiya Battler,"""Hey, hey, hepiniz okuyabiliyor musunuz? Biri bana da ne anlama geldiğini söylesin."""
Ushiromiya Maria,"""Kihihihihihihi. ...En azından İngilizce öğren. Bu kadar okumayı bile beceremeden liseye nasıl girdin? Kihihi{0}hi{0}hi{0}hi{0}hi{0}hihihi, ahh. Aahahhaah."""
Ushiromiya Battler,"""Sen kendi işine bak. Peki orada ne yazıyor?"""
Ushiromiya Maria,"""...Kabaca şöyle yazıyor: ""Bu kapı sadece bir mucize gerçekleştiğinde açılır. Yalnızca bir mucize gerçekleştiğinde kutsanacaksınız""."""
Ushiromiya Maria,"""......Büyükbabanın büyücülüğü astronomik derecede düşük olasılıklara dayanıyor. ...Diğer bir deyişle, bu kapıyı açacak mucize......muhtemelen inanılmaz derecede büyük bir büyü gücü gerektiriyor. ......Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihihi. Aah."""
Ushiromiya Battler,"""Güüzel, iyi iş, şimdi çeneni kapat. Rosa Teyze, Maria'yı İngilizce kursuna mı gönderiyordun? Sanırım bu doğru, İngilizce öğrenmeye küçük yaşlarda başlanmalı."""
Ushiromiya George,""".........Yasak kilise. ......Cadı {f:5:Beatrice} gerçekten bir cadı olsa da olmasa da, birkaç on yıl önce gerçekten var olduğu, ......ve Büyükbabanın metresi olduğu söylentileri var."""
Gohda Toshiro,"""Bu, şey, sadece benim hayal gücüm ama.........Efendi'nin {f:5:Beatrice}-sama'yı gerçekten sevdiğini tahmin ediyorum. Ancak zaten evliydi, bu yüzden birlikte olamazlardı."""
Ushiromiya Battler,"""...Anlıyorum. .........Eğer ölü {f:5:Beatrice} bir mucizenin büyüsüyle diriltilebiliyorsa, artık Büyükanne öldüğüne göre, onunla alnı açık bir şekilde evlenebilirdi. Ve onunla bu kilisede evlenecekti......... Böyle bir peri masalı olabilir mi?"""
Ushiromiya Rosa,"""......Kulağa o kadar da mantıksız gelmiyor. ...Babamın şimdi bile {f:5:Beatrice}'i çok sevdiği bilinen bir gerçek."""
Ushiromiya Rosa,"""......Ayrıca, her ne kadar ürkütücü olduğunu söylesem de, kilisenin içinin oldukça görkemli olduğunu düşünüyorum. .........Babamın bu kiliseyi ölü metresiyle düğün yapma umuduyla inşa ettiği düşüncesi aslında o kadar da mantıksız olmayabilir."""
Ushiromiya George,"""...Büyükbaba bu kiliseyi inşa ettiğinde muhtemelen yaşadığı sürece burayı asla kilise olarak kullanmayacağını biliyordu."""
Ushiromiya George,"""......Ama cadının bir mucize ile dirilmesi için dua etti. Ve eğer o mucize gerçekleşirse, burada evlenebileceklerini düşündü..."""
Gohda Toshiro,"""......Anlıyorum. ...Bu şekilde düşünürsek, burası gerçekten {f:5:Beatrice}-sama için de son derece önemli bir yer olurdu... Kilisenin asla açılmayacağını bilmesine rağmen. ......Hüzünlü bir aşk hikayesi."""
,Gohda-san'ın bedeni benimkinden bile büyük olmasına rağmen sözleri dokunaklıydı.
,...Herkes sessizdi ama bu görüşle hemfikir oldukları anlaşılıyordu.
Nanjo Terumasa,"""Kilisenin asla açılmayacağını bilmesine rağmen, ......muhtemelen yine de bir mucizenin gerçekleşeceği günün hayalini kuruyordu. .........Kinzo-san gençlik günlerinde büyük bir romantikti. ...Onu anlıyorum."""
Ushiromiya Battler,"""Ihihi. Kim bilir. ......Ama hepiniz yılda dört kez gelip temizliyordunuz, değil mi?"""
Ushiromiya Battler,"""Hiç açılmadı da ne demek? İçeri bir süre önce girmedik mi? Bu bir mucize falan değildi. Anahtarı getirdik, tıkırdadı ve içeri girdik. Hepsi bu kadar, bu saçmalık."""
Ushiromiya Rosa,"""..................Heh? ............Ne?! ...............Bekle, .........bu da ne?"""
Ushiromiya Battler,"""Eh, ""Bu da ne"" derken, ne demek istiyorsun...?"""
,Tek yaptığımın ortalığı karıştırmak olduğunu sanıyordum çünkü atmosferin bu kadar hüzünlü hale gelmesinden hoşlanmamıştım. ......Ama Rosa Teyze aniden ciddi bir yüz ifadesiyle üzerime atladı.
,"Rosa Teyze'nin yüzü giderek solgunlaştı. ...Kapının üzerindeki büyülü çembere baktı, sonra eline, sonra ona, bir eline bir ona."
Gohda Toshiro,"""So-......Sorun nedir, Rosa-sama...?"""
Ushiromiya Rosa,"""Hey, Gohda-san! Bu, kilisenin anahtarı! Bunu Genji-san söylememiş miydi? {i:Sadece bir tane olduğunu}!"""
Ushiromiya George,""".....................Heh? ............"""
Ushiromiya Maria,"""...Kihihihihihihihihihihihihihihihihihihi. ...Fark etmeniz çok uzun sürdü. Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihihi..."""
,"...Bir çocuk şaka yaptığında, bu bazen yetişkinler tarafından fark edilmez ve bunu yapan çocuğun kalbi kırılır."
,"......Eğer sonradan bu şakalardan biri birinin dikkatini çekerse, bu o çocuğu gerçekten mutlu eder."
,......Maria'nın az önceki kutlaması buna çok benziyordu...
Gohda Toshiro,"""...E-......Evet, bu doğru. Bu anahtardan sadece bir tane var. Efendi'nin değerli kilisesinin anahtarı olduğundan sadece bir tane var ve kopyası yok. ...Normalde hizmetkâr odasındaki anahtar kutusunda muhafaza edilir, ancak..."""
Ushiromiya Rosa,"""Doğru. Ve Genji-san kayıp olduğunu söyledi. ......Birisi onu çaldı, ......zarfa koydu ve Maria'ya verdi! Ve bu dün oldu!"""
Ushiromiya Battler,"""............Ne...? Yani başka bir deyişle, .........bu çok garip değil mi?"""
Ushiromiya George,"""...Bu olamaz. .........Bu iş garipleşmeye başladı."""
Gohda Toshiro,"""N-Ne demek istiyorsunuz...? Neyden bahsettiğiniz hakkında en ufak bir fikrim yok..."""
Nanjo Terumasa,"""Benim de. ......Birisi bize açıklama nezaketinde bulunabilir mi...?"""
,...Gohda ve Nanjo'nun anlamamaları kesinlikle aptal olduklarını göstermiyordu.
,......Bilmiyorlardı. ...Kilisenin tek anahtarının ne zamandır Maria'nın elinde olduğunu bilmiyorlardı.
Ushiromiya Rosa,"""Eminim! Kilitliydi!! Kilidi ben açtım!! Eminim!!"""
,"Rosa Teyze kilisenin kapısını kapatıyor, kilitliyor, kilidi kontrol etmek için çekiştiriyor ve tekrar açıp duruyordu."
,Yüzü yine solgunlaşıyordu...
Ushiromiya Rosa,"""Ben Maria'nın zarfından anahtarı çıkarıp kapıyı açana kadar, kesinlikle kilitliydi!! Ama bu anahtar zarfın içindeydi ve Maria'nın yanındaydı! Ve bu dün öğleden önce oldu!!!"""
Nanjo Terumasa,""".........Ne dedin........."""
Gohda Toshiro,"""Ama o zaman bu......garip değil mi......?!"""
Ushiromiya Battler,"""Evet, öyle. .........Tek anahtarı dün öğlen saatlerinde Maria, kendisine cadı diyen bir kadından aldı. Yani, dün öğle saatlerinden Rosa Teyze'nin kapıyı açtığı bu sabaha kadar bu kilise kilitli bir odaydı."""
Ushiromiya Battler,""".........O altısını buraya nasıl soktular ve onları nasıl öldürdüler?!"""
,Altı kişinin ölümü kafamızı karıştırmıştı. O tuhaf büyülü çemberi ve kilisenin hikayesini duyduktan sonra bir şeyleri çözdüğümüzü düşünmüştük.
,......Bunların tümü önemsiz bir meseleydi!
,Dün öğle saatlerinden bu sabaha kadar bu kilise kilitli bir odaydı.{n}Ama ailelerimiz dün geceye kadar bizimle birlikteydi.
,Suçlu bu kapıyı nasıl açmıştı?!{n}Ve tekrar nasıl kilitlendi?!
Ushiromiya Battler,"""......Ne yapmaya çalışıyorsun? ...Yine mi? Yine mi kilitli bir oda?! Büyü gücüyle mi kilidi açtığını söylemeye çalışıyorsun? Ben o kadar aptal değilim!!"""
{f:5:Beatrice},"""Gücümle kilitleri nasıl açtığımı göstermemi istiyorsan, sana gösterebilirim. ......Ama bu teslim olmanı sağlamaz."""
{f:5:Beatrice},"""Her şeyi ""insanlarla açıklamaya"" çalışıyorsun! Senin teorilerini tamamen tükettiğimde zaferimin zamanı gelmiş olacak!! Şimdi, hadi, savunmamı nasıl sarsacaksın? Eğer bir insansa, bunu yenmek için nasıl bir numara kullanabilirdi, hmm~?"""
Ushiromiya Battler,"""Bu tıpkı geçen seferki kilitli odalar gibi. ...Yeterli bilgi yok!! Bu şekilde mantık yürütmek imkansız! Her türlü bahane bulunabilir, her türlü numara işe yarayabilir!! Mantık yürütmenin bir anlamı yok!"""
{f:5:Beatrice},"""Ha! Yine mi bu? Yeterli bilgi yok, bu yüzden bekleyip görecek misin? Bilgi net değil, bu yüzden muhakeme imkansız mı...? Ha, siz insanların düşünmeyi bırakmak için kullandığı bahaneler hep bunlar. Seni aşağılık insan, bu bahane de ne?!"""
{f:5:Beatrice},"""Laplace'ın şeytanı gibi olmadığın sürece düşünemeyeceğini mi söylüyorsun, seni beceriksiz aptal?!! ......Ve sanki bilgi eksikliği senin için dezavantaj yaratıyormuş gibi konuşuyorsun, oysa aslında tam tersi."""
{f:5:Beatrice},"""Sana ne kadar çok bilgi verilirse, o kadar çok başın ağrır! Bu sadece seni sıkıştıran kompresörün gücünün artmasına neden olacaktır! *cackle*cackle*cackle*cackle*cackle*!!"""
Ushiromiya Battler,"""Hoh, o zaman, şunu söyleyeyim. İlk etapta buranın ""kilitli bir oda"" olduğunu doğrulamak bile imkansız!! Eğer şeytanlardan bahsediyorsak, o oyunu da oynayabilirim."""
Ushiromiya Battler,"""......Bunun kilitli bir oda olmadığını kanıtlamak mümkün. Sadece birinin nasıl girip çıkabileceğini göstermen gerekiyor!"""
Ushiromiya Battler,"""Ama, kilitli bir oda {i:olduğunu} kanıtlamak imkansız!! İçeri girmek için sonsuz sayıda yöntem olduğunu inkâr edemezsin. Yani, bu da Şeytan'ın İspatlarından biri!!! Kilitli bir oda tanımını kanıtlamak gerçekte imkansızdır!!"""
{f:5:Beatrice},"""Yani, bilgi eksikliğini bir bahane olarak düşünmeyi bıraktıktan sonra, sırada bu var. ......Peki. Eğer hamlen buysa, kabul ediyorum. Devam et."""
Ushiromiya Battler,"""Öncelikle, kilisenin kilitli bir oda olduğunu söylüyorsun. ...Kısa bir süre önce, ben de içeride biraz zaman geçirdim ve evet, gerçekten de kapı dışında herhangi bir giriş veya çıkış yolu bulamadım."""
Ushiromiya Battler,"""......Ama bu, {i:sadece bulamadığım anlamına gelir}—kilitli bir oda olduğunu kanıtlamaz!!"""
Ushiromiya Battler,"""Eğer bulamadığım bir ""gizli geçit"" ya da başka bir şey varsa, dayanak noktaların tamamen uçup gider! Başka bir deyişle, gizli bir geçit bulsam da bulamasam da, kilitli odaya girilmesini sağlayacak bir X yöntemini asla inkâr edemezsin!"""
Ushiromiya Battler,"""Ve bu X yöntemi büyü olmadan da gerçekleştirilebilir. Ne de olsa bu bir ""gizli geçit""! Eminim bu kilisede bulunması imkansız gizli bir geçit vardır. Bu yüzden tahminde bulunmaya başlamama bile gerek yok ve büyünün imkansız olduğunu söyleyebilirim!!"""
{f:5:Beatrice},""".........Hohoh, demek bu muhakeme tarzını kullanıyorsun. *cackle*cackle*, ne kadar safça."""
{f:5:Beatrice},"""Beklenen bir hamle. Ben de cevabımı vereyim. ......Değersiz insanların dedektiflik romanlarında yer alan ""kilitli odalar""ın her zaman saçma olduğunu düşünmüşümdür."""
{f:5:Beatrice},"""Neden mi? Çünkü yanlış şekilde kullanılıyorlar. ......Bir dedektiflik romanında ""kilitli bir oda"" ortaya çıktığında, bunun gerçekten kilitli bir oda olduğunu düşünüyor musun? Düşünmüyorsun, değil mi?!"""
{f:5:Beatrice},"""{i:Bunu kilitli bir oda gibi göstermek için hangi numarayı kullandılar}! İşte böyle düşünüyorsun."""
{f:5:Beatrice},"""Başka bir deyişle, insanlığın yüz yıl boyunca inşa ettiği tüm kilitli oda cinayetlerinden tek bir tanesi bile eksiksiz değil!!"""
Ushiromiya Battler,"""Oooh!! Ne konuşma ama—ama biliyorsun ki gizem hayranları oldukça korkutucu. Christie muhtemelen mezarında dişlerini gıcırdatıyordur!"""
{f:5:Beatrice},"""Hmph!! Ama ben farklıyım. Ben gerçek bir kilitli oda yarattım! Ve bunu kanıtlayabilirim. Nasıl mı? Ben bir cadı olduğum için!!"""
{f:5:Beatrice},"""Şeytan'ın İspatı için tek yapman gereken bunu kanıtlayacak bir şeytan getirmek, değil mi? Bu kullanışlı—bir cadı olarak, şeytanlar ve iblisler benim iyi dostlarım, istediğin kadar getirebilirim!!"""
Ushiromiya Battler,"""Kulağa harika geliyor!! ""Babam ve diğerleri kiliseye gizli bir kapıyı kullanarak girdiler ya da bir kapıdan içeri taşındılar""! Bu hamleyi nasıl yenmeyi planlıyorsun?!"""
{f:5:Beatrice},"""Bununla. Ölü ya da canlı olmalarına bakılmaksızın, altısı kesinlikle kapıdan girdi!"""
Ushiromiya Battler,"""Ha?!?! Salak!! Kapı kilitliydi, bunu nasıl yaptılar?!!"""
{f:5:Beatrice},"""Büyüyle açtım ve onları içeri davet ettim!!"""
Ushiromiya Battler,"""Böyle bir şey olamaz!! Büyüyü kabul edemem, o yüzden bunu kabul etmemin imkânı yok!! Yalan söylüyorsun!! O kapı bir numara ile açılabilir. Ya da belki gizli bir kapı var—başka türlüsünü kabul etmem!!"""
