Speaker,Arabic (AR)
,ﻣﺘﺠﺎﻫﻼ ﻧﺎﻧﺠﻮ، ﺍﻟﺬﻱ ﺑﺪﺍ ﻋﻠﻰ ﻭﺟﻬﻪ ﻣﻼﻣﺢ ﺍﻟﻴﺄﺱ، ﺃﺧﺬ ﻛﻴﻨﺰﻭ ﺍﻟﺰﺟﺎﺟﺔ ﺍﻟﺘﻲ ﻛﺎﻥ ﻗﻴﻨﺠﻲ ﻳﻤﺴﻜﻬﺎ ﻣﻦ ﺃﺟﻠﻪ.
,......ﺭﺑﻤﺎ ﻳﻮﺟﺪ ﻋﺪﺩ ﺿﺌﻴﻞ ﻣﻦ ﺍﻷﺷﺨﺎﺹ ﺍﻟﺬﻳﻦ ﺳﻴﺮﺑﻄﻮﻥ ﻫﺬﺍ ﺍﻟﻠﻮﻥ ﺍﻟﺴﺎﻡ، ﺍﻟﺬﻱ ﻣﻸ ﺑﻪ ﺍﻟﻜﺄﺱ، ﺑﻤﺸﺮﻭﺏ ﻛﺤﻮﻟﻲ.
Ushiromiya Kinzo,""".........ﻧﺎﻧﺠﻮ. ﻛﻦ ﺻﺮﻳﺤﺎ ﻣﻌﻲ. ﻛﻢ ﺗﺒﻘﻰ ﻟﻲ ﻷﻋﻴﺶ؟"""
Nanjo Terumasa,"""ﺣﺴﻨﺎ ﺍﻵﻥ... ﻷﻱ ﻣﺪﻯ ﺃﺟﻌﻠﻬﺎ ﻗﺼﻴﺮﺓ ﻟﺘﻘﻠﻊ ﻋﻦ ﺍﻟﺸﺮﺍﺏ؟"""
,ﺗﻨﻬﺪ ﻧﺎﻧﺠﻮ ﺑﻴﺄﺱ ﻣﺮﺓ ﺃﺧﺮﻯ.{n}ﻭﻣﻦ ﺛﻢ، ﺗﺤﺪﺙ ﺃﺧﻴﺮﺍ ﺇﻟﻰ ﻛﻴﻨﺰﻭ ﺍﻟﺬﻱ ﻛﺎﻥ ﻳﺪﻭﺭ ﻛﺄﺳﻪ.
Nanjo Terumasa,""".........ﻟﻴﺲ ﻟﺪﻳﻚ ﺍﻟﻜﺜﻴﺮ ﻣﻦ ﺍﻟﻮﻗﺖ."""
Ushiromiya Kinzo,"""...ﻣﺎ ﺍﻟﺬﻱ ﺗﻌﻨﻴﻪ ﺑﺎﻟﻀﺒﻂ؟"""
Nanjo Terumasa,"""......ﺩﻋﻨﺎ ﻧﻮﺿﺤﻬﺎ ﻣﻊ ﻟﻌﺒﺔ ﺍﻟﺸﻄﺮﻧﺞ ﻫﺬﻩ. ﺃﻧﺖ ﻗﺮﻳﺐ ﺟﺪﺍ ﻣﻦ ﺗﺤﻘﻴﻖ ﺍﻟﻔﻮﺯ... ﻟﻜﻨﻚ ﻟﻢ ﺗﺤﺎﺻﺮ ﻣﻠﻜﻲ ﺑﻌﺪ."""
,ﻧﻈﺮﺓ ﻧﺎﻧﺠﻮ ﻛﺎﻧﺖ ﺑﺎﺗﺠﺎﻩ ﻃﺎﻭﻟﺔ ﺟﺎﻧﺒﻴﺔ ﻭﺿﻊ ﻋﻠﻴﻬﺎ ﻣﺠﻤﻮﻋﺔ ﻗﻄﻊ ﺷﻄﺮﻧﺞ.
,ﺑﻨﺎﺀ ﻋﻠﻰ ﺃﻣﺎﻛﻦ ﺍﻟﻘﻄﻊ، ﻳﺒﺪﻭ ﺑﺄﻥ ﺍﻟﻠﻌﺒﺔ ﺩﺧﻠﺖ ﻣﺮﺣﻠﺘﻬﺎ ﺍﻟﻨﻬﺎﺋﻴﺔ.{n}ﻛﺎﻧﺖ ﺍﻟﻘﻠﻌﺔ ﺍﻟﺴﻮﺩﺍﺀ ﻭﺍﻟﻔﻴﻞ ﻳﺘﻮﻏﻼﻥ ﺑﻌﻤﻖ ﻓﻲ ﺧﻄﻮﻁ ﺍﻟﻌﺪﻭ.
,ﻛﺎﻥ ﺍﻟﻤﻠﻚ ﺍﻷﺑﻴﺾ ﻣﺤﺎﺻﺮ، ﻭﺑﺈﻣﻜﺎﻥ ﺃﻱ ﻣﺒﺘﺪﺉ ﺭﺅﻳﺔ ﺃﻥ ﺍﻟﻤﺒﺎﺭﺍﺓ ﺳﺘﻨﺘﻬﻲ ﻋﻤﺎ ﻗﺮﻳﺐ.
,ﻓﻲ ﻛﻞ ﻣﺮﺓ ﻳﻘﻮﻡ ﻧﺎﻧﺠﻮ ﺑﻔﺤﺺ ﻃﺒﻲ، ﻳﻨﻔﺬ ﻛﻼﻫﻤﺎ ﺑﻌﺾ ﺍﻟﺘﺤﺮﻛﺎﺕ.
,ﻛﺎﻥ ﻧﺎﻧﺠﻮ ﻳﻠﻤﺢ ﺃﻥ ﻛﻴﻨﺰﻭ ﻗﺪ ﻳﻘﻊ ﻓﻲ ﻧﻮﻣﻪ ﺍﻷﺑﺪﻱ ﻗﺒﻞ ﺃﻥ ﺗﻨﺘﻬﻲ ﻫﺬﻩ ﺍﻟﻤﺒﺎﺭﺍﺓ.
,...ﻛﺎﻧﺖ ﺗﻠﻚ ﻛﻠﻤﺎﺕ ﻃﺒﻴﺐ ﺃﻛﺜﺮ ﻣﻦ ﻛﻠﻤﺎﺕ ﺻﺪﻳﻖ ﻗﺪﻳﻢ.
Nanjo Terumasa,""".......ﻟﻮ ﺃﻧﻚ ﻣﺮﻳﺾ ﻋﺎﺩﻱ. ﻟﻨﺼﺤﺘﻚ ﺑﺄﻥ ﺗﻜﺘﺐ ﻭﺻﻴﺘﻚ."""
Ushiromiya Kinzo,"""......ﻭﻣﺎ ﻫﻲ ﺍﻟﻮﺻﻴﺔ، ﻳﺎ ﻧﺎﻧﺠﻮ؟ ﻛﺘﺎﺑﺔ ﺑﺨﻂ ﺍﻟﻴﺪ ﺇﻟﻰ ﺍﻟﺠﺸﻌﻴﻦ ﺣﻮﻝ ﻛﻴﻔﻴﺔ ﺗﻘﻄﻴﻊ ﻭﺍﻟﺘﻬﺎﻡ ﺟﺜﺘﻲ؟"""
Nanjo Terumasa,"""ﻛﻼ، ﻟﻴﺲ ﻛﺬﻟﻚ ﺍﻃﻼﻗﺎ. ...ﻛﻤﺎ ﺗﻮﺣﻲ ﺍﻟﻜﻠﻤﺔ، ﻫﻲ ﻭﺳﻴﻠﺔ ﻟﺘﺪﻭﻳﻦ ﺭﻏﺒﺎﺗﻚ ﻟﻸﺟﻴﺎﻝ ﺍﻟﻘﺎﺩﻣﺔ.ﺇﻧﻬﺎ ﻭﺻﻴﺔ ﺃﺑﻌﺪ ﻣﻦ ﺃﻥ ﺗﻜﻮﻥ ﻣﻦ ﺃﺟﻞ ﺗﻘﺴﻴﻢ ﻣﻴﺮﺍﺛﻚ."""
Ushiromiya Kinzo,"""ﺃﻭﻩ. ﻭﺑﺼﺮﻑ ﺍﻟﻨﻈﺮ ﻋﻦ ﺗﻘﺴﻴﻢ ﺍﻟﻤﻴﺮﺍﺙ، ﻣﺎﺫﺍ ﻳﻤﻜﻦ ﺃﻥ ﺃﻛﺘﺐ؟"""
Nanjo Terumasa,"""...ﻗﺪ ﻳﻜﻮﻥ ﻫﻨﺎﻙ ﻣﺎ ﻧﺪﻣﺖ ﻋﻠﻴﻪ. ﻭﻣﺴﺎﺋﻞ ﻗﺪ ﺗﺮﻛﺘﻬﺎ ﻏﻴﺮ ﻣﻨﺘﻬﻴﺔ. ﻭﺃﺷﻴﺎﺀ ﺗﺮﻏﺐ ﺑﺈﻳﺮﺍﺛﻬﺎ ﻭﺍﺳﺘﻤﺮﺍﺭﻳﺘﻬﺎ....ﻭﺃﻣﻮﺭ ﺗﺮﻏﺐ ﻓﻲ ﻗﻮﻟﻬﺎ. ......ﺃﻱ ﺷﻲﺀ ﺗﺮﻳﺪﻩ."""
Ushiromiya Kinzo,"""...ﻫﻤﻤﻪ. ............ﺃﺷﻴﺎﺀ ﺃﺭﻏﺐ ﻓﻲ ﺇﻳﺮﺍﺛﻬﺎ ﻭﺃﻣﻮﺭ ﺃﻧﻮﻱ ﻗﻮﻟﻬﺎ؟ ﻫﺮﺍﺀ. ﺃﻧﺎ، ﺃﻭﺷﻴﺮﻭﻣﻴﺎ ﻛﻴﻨﺰﻭ، ﻻ ﺃﻣﻠﻚ ﺃﻱ ﺷﻲﺀ ﺃﺭﻳﺪ ﻗﻮﻟﻪ ﺃﻭ ﺗﺮﻛﻪ ﺧﻠﻔﻲ!!"""
Ushiromiya Kinzo,"""ﻟﻘﺪ ﻭﻟﺪﺕ ﻧﻜﺮﺓ ﻻ ﺃﻣﻠﻚ ﺷﻴﺌﺎ. ﻭﺳﻮﻑ ﺃﻣﻮﺕ ﻋﻠﻰ ﻣﺎ ﻭﻟﺪﺕ ﻋﻠﻴﻪ. ﻟﻴﺲ ﻫﻨﺎﻙ ﺷﻲﺀ ﺃﺗﻤﻨﻰ ﺗﺮﻛﻪ ﻷﺑﻨﺎﺋﻲ ﺍﻟﻤﻐﻔﻠﻴﻦ. ﺣﺘﻰ ﻟﻮ ﻟﻘﻴﺖ ﺣﺘﻔﻲ ﺍﻟﻴﻮﻡ، ﺣﺘﻰ ﻟﻮ ﻛﺎﻥ ﻓﻲ ﻫﺬﻩ ﺍﻟﻠﺤﻈﺔ! ﺳﻮﻑ ﺃﺗﻘﺒﻞ ﻣﺼﻴﺮﻱ ﺩﻭﻥ ﺃﻱ ﺃﺛﺮ ﻟﻠﺨﻮﻑ."""
Nanjo Terumasa,""".......ﻛﻴﻨﺰﻭ-ﺳﺎﻥ"""
Ushiromiya Kinzo,"""ﻟﻘﺪ ﻛﻮﻧﺖ ﻛﻞ ﺷﻲﺀ. ﺛﺮﻭﺗﻲ! ﻣﻜﺎﻧﺘﻲ! ﻭﻛﻞ ﺷﻲﺀ. ﻟﻘﺪ ﺑﻨﻴﺘﻬﻢ ﺑﻨﻔﺴﻲ، ﻭﺳﺄﺧﺬﻫﻢ ﻣﻌﻲ ﻋﻨﺪﻣﺎ ﺗﺄﺗﻲ ﻧﻬﺎﻳﺘﻲ. ﻻ ﻳﻮﺟﺪ ﺃﻱ ﺷﻲﺀ ﺃﺳﺘﻄﻴﻊ ﺗﺮﻛﻪ ﻭﺭﺍﺋﻲ!!"""
Ushiromiya Kinzo,"""ﻻ ﺷﻲﺀ! ﺑﻌﺪ ﺃﻥ ﺃﺭﺣﻞ، ﻻ ﻳﻬﻤﻨﻲ ﺇﺫﺍ ﻣﺎ ﺿﺎﻉ ﻛﻞ ﺫﻟﻚ ﺑﻼ ﻓﺎﺋﺪﺓ! ﻻ ﺃﺭﻏﺐ ﺑﻘﺒﺮ، ﺃﻭ ﻛﻔﻦ! ﻫﺬﻩ ﻫﻲ ﺷﺮﻭﻁ ﺍﻟﻌﻘﺪ ﺍﻟﺘﻲ ﺗﻌﻬﺪﺕ ﺑﻬﺎ ﻟﻠﺴﺎﺣﺮﺓ! ﻋﻨﺪﻣﺎ ﺃﻣﻮﺕ، ﺳﻴﺨﺘﻔﻲ ﻛﻞ ﺷﻲﺀ! ﻫﺬﺍ ﻛﺎﻥ ﺟﺰﺀ ﻣﻦ ﺍﻟﻮﻋﺪ ﻣﻨﺬ ﺍﻟﺒﺪﺍﻳﺔ، ﻻ ﺷﻲﺀ ﺳﻴﺒﻘﻰ ﻭﺭﺍﺋﻲ. ﻟﻦ ﺃﺗﺮﻙ ﺷﻴﺌﺎ ﻭﺭﺍﺋﻲ!!"""
,ﺑﻌﺪ ﺃﻥ ﺍﺯﺩﺍﺩ ﻏﻀﺒﻪ، ﻛﻴﻨﺰﻭ ﺑﺸﻜﻞ ﻣﻔﺎﺟﺊ ﺗﺮﺍﺟﻊ ﻟﻠﺨﻠﻒ.
,....ﻛﺎﻧﺖ ﻣﻼﻣﺤﻪ ﻣﺮﺗﺨﻴﺔ ﻭﻭﺍﻫﻨﺔ، ﻛﻤﺎ ﻟﻮ ﺃﻥ ﺭﻭﺣﺎ ﺷﺮﻳﺮﺓ ﺗﻠﺒﺴﺘﻪ ﻭﻣﻦ ﺛﻢ ﻏﺎﺩﺭﺕ.
Ushiromiya Kinzo,""".................. ﻭﻣﻊ ﺫﻟﻚ, ﻟﺪﻱ ﻧﺪﻡ ﻭﺣﻴﺪ. ﻻ ﺃﻣﻠﻚ ﺷﻲﺀ ﻷﺗﺮﻛﻪ ﻭﺭﺍﺋﻲ، ﻟﻜﻦ ﻫﻨﺎﻙ ﺷﻲﺀ ﻳﺠﺐ ﻋﻠﻲ ﺃﻥ ﻻ ﺃﺗﺮﻛﻪ ﻏﻴﺮ ﻣﻜﺘﻤﻞ..."""
Nanjo Terumasa,""".......ﺳﻴﻜﻮﻥ ﺃﻣﺮﺍ ﺟﻴﺪﺍ ﻟﻮ ﺩﻭﻧﺘﻪ. ﻭﺑﺎﻟﻄﺒﻊ، ﻣﻦ ﺍﻟﺠﻴﺪ ﻟﻮ ﺃﻧﻬﻴﺘﻪ ﻗﺒﻞ ﺃﻥ ﺗﺤﻴﻦ ﺳﺎﻋﺘﻚ. ﻭﺣﺘﻰ ﻓﻲ ﺣﺎﻝ ﺣﺪﻭﺙ ﺍﻷﺳﻮﺃ، ﺳﺘﺤﻤﻞ ﻋﻠﻰ ﻋﺎﺗﻖ ﻣﻦ ﻳﺨﻠﻔﻚ ﻣﻬﻤﺔ ﺇﻧﻬﺎﺋﻪ. ﻳﺠﺐ ﺃﻥ ﺗﻮﺭﺙ ﻣﺎ ﺗﻨﺪﻡ ﻋﻠﻴﻪ ﻟﻴﺘﻤﻪ ﻣﻦ ﻳﻘﺪﺭ ﺣﺘﻰ ﺇﺫﺍ ﻟﻢ ﺗﺴﺘﻄﻊ........ﻫﺬﺍ ﻫﻮ ﺍﻟﻐﺮﺽ ﻣﻦ ﺍﻟﻮﺻﻴﺔ."""
,ﻋﻨﺪﻣﺎ ﺣﺎﻭﻝ ﻧﺎﻧﺠﻮ ﺗﺮﺑﻴﺖ ﻛﺘﻒ ﻛﻴﻨﺰﻭ ﺑﻠﻄﻒ، ﺍﻟﺘﻒ ﺍﻟﺮﺟﻞ ﺍﻟﻤﺤﺘﻀﺮ ﺑﻐﻀﺐ ﻭﺃﻟﻘﻰ ﺑﻴﺪ ﻧﺎﻧﺠﻮ ﺑﻌﻴﺪﺍ.
Ushiromiya Kinzo,"""ﻻ ﻓﺎﺋﺪﺓ، ﻻ ﻓﺎﺋﺪﺓ، ﻻ ﻓﺎﺋﺪﺓ!!"""
Ushiromiya Kinzo,"""ﻳﺠﺐ ﺃﻥ ﻳﻜﺘﻤﻞ ﺑﻴﻨﻤﺎ ﺃﻧﺎ ﺣﻲ! ﻓﻲ ﻟﺤﻈﺔ ﻓﻨﺎﺋﻲ، ﺳﺘﻠﺘﻬﻢ ﺷﻴﺎﻃﻴﻦ ﺍﻟﻌﻘﺪ ﺭﻭﺣﻲ ﻭﺗﻤﺤﻮﻧﻲ ﻣﻦ ﺍﻟﻮﺟﻮﺩ!! ﺑﺎﻟﻨﺴﺒﺔ ﻟﻲ، ﻻ ﻳﻮﺟﺪ ﺳﻼﻡ ﺃﻭ ﻋﺎﻟﻢ ﺁﺧﺮ ﺑﻌﺪ ﺍﻟﻤﻮﺕ! ﻟﺬﻟﻚ ﻳﺠﺐ ﺃﻥ ﺃﻛﻤﻞ ﻛﻞ ﺷﻲﺀ ﻗﺒﻞ ﺃﻥ ﺃﺭﺣﻞ! ﻭﻫﺬﺍ ﻫﻮ ﺳﺒﺐ ﺍﻧﻌﺪﺍﻡ ﻣﻌﻨﻰ ﺍﻟﻮﺻﻴﺔ ﻟﺪﻱ!"""
Ushiromiya Kinzo,"""ﻭﺣﺘﻰ ﺇﻥ ﻛﺎﻧﺖ ﻟﺪﻱ ﻓﺮﺻﺔ ﻟﻜﺘﺎﺑﺔ ﺷﻲﺀ ﻣﻤﺎﺛﻞ. ......ﻟﻮ ﻛﺎﻧﺖ ﻟﺪﻱ ﻓﺮﺻﺔ!! ....ﺃﻭﺩ ﻟﻮ ﺃﻧﻈﺮ ﺇﻟﻴﻬﺎ. ﺃﻭﺩ ﻟﻮ ﺃﻧﻈﺮ ﺇﻟﻴﻬﺎ ﻣﺮﺓ ﻭﺍﺣﺪﺓ ﺁﺧﺮﻯ! ﺃﺭﻏﺐ ﻓﻲ ﺭﺅﻳﺔ ﻭﺟﻪ {f:7:ﺑﻴﺎﺗﺮﻳﺲ} ﺍﻟﻤﺒﺘﺴﻢ ﻟﻤﺮﺓ ﺃﺧﻴﺮﺓ!!"""
Ushiromiya Kinzo,"""ﺃﻭﻩ، {f:7:ﺑﻴﺎﺗﺮﻳﺲ}، ﻟﻤﺎﺫﺍ ﺗﺮﻛﺘﻨﻲ ﻟﻤﺪﺓ ﻃﻮﻳﻠﺔ؟ ﺳﺄﻋﻴﺪ ﻛﻞ ﺷﻲﺀ ﺃﻋﻄﻴﺘﻨﻲ ﺇﻳﺎﻩ!! ﺃﻧﺎ ﻣﺴﺘﻌﺪ ﻟﻠﺘﺨﻠﻰ ﻋﻦ ﻛﻞ ﺷﻲﺀ!! ﻓﺮﺟﺎﺀ، ﺃﺭﻳﻨﻲ ﺍﺑﺘﺴﺎﻣﺘﻚ ﻟﻤﺮﺓ ﺃﺧﻴﺮﺓ..."""
Ushiromiya Kinzo,"""{f:7:ﺑﻴﺎﺗﺮﻳﺲ}، ﺃﺗﻮﺳﻞ ﺇﻟﻴﻚ! ﻻ ﺷﻚ ﺑﺄﻧﻚ ﺗﺴﻤﻌﻴﻦ ﻃﻠﺒﻲ... ﻫﺬﺍ ﻫﻮ ﻃﺒﻌﻚ! ﺃﺗﻮﺳﻞ ﺇﻟﻴﻚ، ﺍﻇﻬﺮﻱ ﻧﻔﺴﻚ ﺇﻟﻲ! ﺃﻧﺖ ﻫﻨﺎ؟ ﺃﻟﺴﺖ ﻛﺬﻟﻚ؟ ﺇﻧﻚ ﺗﻘﻔﻴﻦ ﻫﻨﺎﻙ، ﺧﻔﻴﺔ، ﺗﺴﺘﻤﻌﻴﻦ ﻟﻜﻞ ﻛﻠﻤﺔ ﺃﻗﻮﻟﻬﺎ، ﻭﺣﺘﻰ ﺃﻧﻚ ﺗﺴﺨﺮﻳﻦ ﻣﻨﻲ ﻓﻲ ﻣﻜﺎﻥ ﻣﺎ ﻓﻲ ﻫﺬﻩ ﺍﻟﻐﺮﻓﺔ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟"""
