Speaker,Arabic (AR)
,"ﻟﺬﺍ ﺣﻴﻦ ﺳﻤﻊ ﺑﻘﺼﺔ ﺳﺎﺣﺮﺓ ﺭﻭﻛﻴﻨﺠﻴﻤﺎ، ﺍﺑﺘﺴﻢ ﺳﺎﺧﺮًﺍ ﻛﻤﻦ ﻳﻘﻮﻝ: ""ﻫﺎﻩ، ﺣﺘﻰ ﻫﻨﺎ ﻟﺪﻳﻬﻢ ﺧﺮﺍﻓﺎﺗﻬﻢ."""
,"ﻭﺑﻐﺾ ﺍﻟﻨﻈﺮ ﻋﻦ ﺳﺨﺮﻳﺘﻪ ﺗﻠﻚ، ﻓﺈﻥ ﻗﻮﺩﺍ ﻟﺪﻳﻪ ﻣﻌﺘﻘﺪ، ""ﻋِﻨﺪﻣﺎ ﺗﻜﻮﻥ ﻓﻲ ﺭﻭﻣﺎ ﻓﻌﻠﻴﻚ ﺍﻟﻌﻴﺶ ﻛﻤﺎ ﻳﻔﻌﻞ ﺃﻫْﻠﻬﺎ""،"
,ﻓﺄﻇﻬﺮ ﺍﻻﺣﺘﺮﺍﻡ، ﻟﻜﻨﻪ ﺩﺍﺧﻠﻴًﺎ ﺍﻋﺘﺒﺮ ﺍﻷﻣﺮ ﻫﺮﺍﺀ ﺃﻃﻔﺎﻝ. ...ﻭﻟﻮ ﻓﻲ ﺍﻟﺒﺪﺍﻳﺔ ﻋﻠﻰ ﺍﻷﻗﻞ.
Gohda Toshiro,"""....ﻛﻢ ﻫﺬﺍ ﻏﺮﻳﺐ. ﻓﻬﻤﺖ ﺍﻵﻥ ﻟﻤﺎﺫﺍ ﺃﺭﺍﺩ ﻣﻦ ﺳﺒﻘﻨﻲ ﻣﻦ ﺍﻟﺨﺪﻡ ﺍﻟﺘﻬﻮﻳﻞ ﻓﻲ ﻫﺬﻩ ﺍﻟﻘﺼﺺ."""
,ﻓﻬﻢ ﻗﻮﺩﺍ ﻣﻌﻨﻰ ﺃﻥ ﻳﻘﻮﻡ ﺷﺨﺺ ﺑﺠﻮﻟﺔ ﺗﻔﻘﺪﻳﺔ ﻓﻲ ﻟﻴﻠﺔ ﻏﺮﻳﺒﺔ ﻛﻬﺬﻩ، ﻷﻧﻪ ﻗﺪ ﻳﺼﺪﻕ ﻭﺟﻮﺩ ﺷﺒﺢ ﺇﺫﺍ ﻣﺎ ﺭﺃﻯ ﺍﻟﺴﺘﺎﺋﺮ ﺗﺘﺮﻧﺢ ﺇﺛْﺮ ﻫﻮﺍﺀ ﻣﻨﺒﻌﺚ ﻣﻦ ﻧﺎﻓﺬﺓ ﻣﻔﺘﻮﺣﺔ. ﻓﻤﻦ ﺍﻟﻄﺒﻴﻌﻲ ﺃﻥ ﻳﺘﻮﻫﻢ ﺍﻟﻤﺮﺀ ﺭﺅﻳﺔ ﻭﺍﺣﺪ.
Gohda Toshiro,"""ﻳﻘﺎﻝُ، ﺇﻥ ﻫﺰﺋﺖَ ﺑﺴﺎﺣﺮﺓ ﺍﻟﻠﻮﺣﺔ، ﺳﺘﺤﻞُّ ﻋﻠﻴﻚ ﻟﻌﻨﺘﻬﺎ ﻫﻤﻢ. ......ﻳﺒﺪﻭ ﺃﻥ ﺧﺎﺩﻣًﺎ ﺃﺻﻴﺐ ﺫﺍﺕ ﻣﺮﺓ  ﺑﺠﺮﺍﺡ ﺧﻄﻴﺮﺓ ﺟﺮﺍﺀ ﺫﻟﻚ ﻭﺍﺳﺘﻘﺎﻝ. ... ﺣﺴﻨًﺎ، ﻻ ﺃﺭﻳﺪ ﺣﺪﻭﺙ ﻫﺬﺍ ﻟﻲ. ﺑﺎﻟﻨﻈﺮ ﺇﻟﻰ ﻋﻤﺮﻱ، ﻻ ﺃﻋﺘﻘﺪ ﺑﺄﻧﻲ ﺳﺄﺟﺪ ﻭﻇﻴﻔﺔ ﻣﺮﻣﻮﻗﺔ ﻛﻬﺬﻩ ﻣﺮﺓ ﺃﺧﺮﻯ... ﺁﺁﻩ. ﻳﺎ ﺳﺎﺣﺮﺓ ﺍﻟﻠﻮﺣﺔ. ﺳﺄﻋﻤﻞ ﺑﺈﺧﻼﺹ، ﻟﺬﺍ ﺃﺭﺟﻮﻙِ ﻛﻮﻧﻲ ﻟﻄﻴﻔﺔ ﻣﻌﻲ."""
,ﺗﻀﺮﻉ ﻗﻮﺩﺍ ﻟﻠﻮﺣﺔ ﻭﻳﺪﺍﻩ ﻣﻀﻤﻮﻣﺘﺎﻥ، ﻭﻛﺄﻧﻪ ﺃﻣﺎﻡ ﺿﺮﻳﺢ ﺷﻨﺘﻮ...
,ﺣﻴﻨﻬﺎ...ﻇﻦّ ﺑﺄﻧﻪ ﺳﻤﻊ ﺷﻴﺌًﺎ.
,ﻣﻦ ﺍﻟﻤﻄﺒﺦ؟ ﻫﻞ ﺳﻘﻂ ﺷﻲﺀٌ ﻣﻌﺪﻧﻲ ﻋﻠﻰ ﺍﻷﺭﺽ؟
,ﻫﻞ ﻳﻤﻜﻦ ﺃﻥ ﻳﻜﻮﻥ ﻓﺄﺭًﺍ ﺃﻭ ﺻﺮﺻﻮﺭًﺍ ﻗﺪ ﺗﺴﺒﺐ ﻓﻲ ﺫﻟﻚ؟ ﻣﺴﺘﺤﻴﻞ! ﻓﺎﻟﻨﻈﺎﻓﺔ ﺗُﺮﺍﻋﻰ ﺑﺪﻗﺔ!
,ﺩﺧﻞ ﻗﻮﺩﺍ ﺇﻟﻰ ﺍﻟﻤﻄﺒﺦ ﻟﺘﻔﻘﺪ ﺳﺒﺐ ﺗﻠﻚ ﺍﻟﻀﻮﺿﺎﺀ...
,ﺛﻢ ﺃﺿﺎﺀ ﺍﻷﻧﻮﺍﺭ.{n}......ﻋﻨﺪﻫﺎ ﺳﻤﻊ ﺻﻮﺗًﺎ ﻏﺮﻳﺒًﺎ.
,*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*.
,...ﺑﺎﻟﻨﺴﺒﺔ ﻟﻄﺒﺎﺥٍ ﻣﺜﻞ ﻗﻮﺩﺍ، ﺑﺪﺍ ﺫﻟﻚ ﺍﻟﺼﻮﺕ ﻭﻛﺄﻥ ﻏﻄﺎﺀ ﻗﺪﺭ ﺍﻟﻀﻐﻂ ﺃﻭ ﺷﻲﺀٍ ﻣﺎ ﻛﺎﻥ ﻳﻬﺘﺰ.
,ﺑﺎﻟﻄﺒﻊ، ﻻ ﻳﻤﻜﻦ ﺃﻥ ﻳﻜﻮﻥ ﻗﻴﺪ ﺍﻻﺳﺘﺨﺪﺍﻡ ﻋﻨﺪﻣﺎ ﻻ ﻳﻮﺟﺪ ﺃﺣﺪ ﻓﻲ ﺍﻟﻤﻄﺒﺦ.{n}ﺣﺘﻰ ﻟﻮ ﻛﺎﻥ ﺷﺨﺺٌ ﻣﺎ ﻳﺴﺘﺨﺪﻡ ﺍﻟﻐﺎﺯ، ﻓﺈﻥ ﻣﻦ ﺍﻟﺨﻄﺮ ﺍﻟﺸﺪﻳﺪ ﺗﺮﻛﻪ ﻭﺍﻟﺬﻫﺎﺏ ﺑﻌﻴﺪًﺍ ﻋﻨﻪ.
,...ﺗﻔﺎﺩﻳًﺎ ﻟﻠﺨﻄﺮ، ﻗﺮﺭ ﻗﻮﺩﺍ ﺍﻟﺘﺄﻛﺪ ﻣﻦ ﻣﻮﻗﺪ ﺍﻟﻐﺎﺯ...
Gohda Toshiro,"""...............ﻣﺎ ﻫﺬﺍ...؟"""
,ﺛﻢ، ﺑﺠﺎﻧﺐ ﻣﻮﻗﺪ ﺍﻟﻐﺎﺯ، ...ﻛﺎﻥ ﻫﻨﺎﻙ ﺑﺎﻟﻔﻌﻞ ﻗﺪﺭ ﺿﻐﻂ، ﺗﻤﺎﻣﺎً ﻛﻤﺎ ﺗﺨﻴﻞ.
,ﻟﻜﻨﻪ ﻟﻢ ﻳﻜﻦ ﻣﻮﺿﻮﻋًﺎ ﻋﻠﻰ ﺍﻟﻨﺎﺭ.{n}...ﻭﻣﻊ ﺫﻟﻚ، ﻛﺎﻥ ﺍﻟﻐﻄﺎﺀ ﻳﺼﺪﺭ ﺻﻮﺕ ﻃﻘﻄﻘﺔ...
,ﻫﻞ ﻫﻨﺎﻙ ﺷﻲﺀ ﻣﺎ ﻳﺘﺨﻤﺮ ﻭﻳُﺨﺮﺝ ﻏﺎﺯًﺍ؟{n}...ﻣﺴﺘﺤﻴﻞ. ...ﺇﺫﻥ، ﻫﻞ ﻛﺎﻥ ﻫﻨﺎﻙ ﻓﺄﺭٌ ﺃﻭ ﺷﻲﺀٌ ﻣﺎ ﺑﺪﺍﺧﻠﻪ؟{n}ﻛﻢ ﻫﺬﺍ ﺳﺨﻴﻒ...
,ﺃﻣﺎﻡ ﺍﻟﻨﺎﺱ، ﻛﺎﻥ ﻗﻮﺩﺍ ﻳﺘﺼﺮﻑ ﻛﻤﻦ ﻟﺪﻳﻪ ﺷﺨﺼﻴﺔ ﻗﻮﻳﺔ ﺗﺘﻨﺎﺳﺐ ﻣﻊ ﺑﻨﻴﺔ ﺟﺴﺪﻩ، ......ﻟﻜﻨﻪ ﺟﺒﺎﻥ ﺑﺸﻜﻞٍ ﻏﻴﺮ ﻣﺘﻮﻗﻊ.
,ﻛﺎﻥ ﺧﺎﺋﻔًﺎ ﻣﻦ ﻭﺟﻮﺩ ﺷﻲﺀ ٍ ﺩﺍﺧﻠﻪ، ﻭﻟﻢ ﺗﺪﻓﻌﻪ ﻧﻔﺴﻪ ﻟﻠﺘﺄﻛﺪ ﺑﻼ ﻣﺒﺎﻻﺓٍ...
,"ﺑﺎﻟﺘﺎﻟﻲ، ﻭﺑﻴﻨﻤﺎ ﻳﺮﺗﻌﺪ ﺧﻮﻓًﺎ ﺃﻣﺴﻚ ﺑﻤِﺪﻕّ ﺧﺸﺒﻲ،  ""ﻃَﻖ!"" ﻭﺿﺮﺏ ﺑﻘﻮﺓ ﺟﺎﻧﺐ ﻗﺪﺭ ﺍﻟﻀﻐﻂ."
,ﻓﻤﺎ ﺇﻥ ﻓﻌﻞ ﺫﻟﻚ، ﺣﺘﻰ ﺗﻮﻗﻒ ﺻﻮﺕ ﺍﻟﻄﻘﻄﻘﺔ ﻋﻠﻰ ﺍﻟﻔﻮﺭ.
,...ﻛﺎﻥ ﻣﻦ ﺍﻟﻤﻔﺘﺮﺽ ﺃﻥ ﻳﺸﻌﺮ ﺑﺎﻟﻄﻤﺄﻧﻴﻨﺔ ﻟﺘﻮﻗﻒ ﺍﻟﺼﻮﺕ، ﻟﻜﻦ ﺣﻘﻴﻘﺔ ﺗﻮﻗﻔﻪ ﻋﻨﺪﻣﺎ ﺿﺮﺑﻪ ﻛﺎﻧﺖ ﺃﻛﺜﺮ ﻏﺮﺍﺑﺔً، ﻣﻤﺎ ﺟﻌﻠﻪ ﻳﺮﺗﺎﺏ ﺃﻛﺜﺮ ﻋﻤﺎ ﻳﻜﻮﻥ ﺩﺍﺧﻠﻪ...
Gohda Toshiro,"""...ﻧﻦ، ...*ﺑﻠﻊ*. ..........ﻻ ﻭﺟﻮﺩ ﻟﻠﻈﻮﺍﻫﺮ ﺍﻟﻐﺮﻳﺒﺔ ﻓﻲ ﻫﺬﺍ ﺍﻟﻌﺎﻟﻢ، ﻻ ﺷﻚ ﻓﻲ ﻫﺬﺍ. ﻧﻌﻢ، ﻻ ﻭﺟﻮﺩ ﻟﺴﺎﺣﺮﺍﺕ ﻭﻻ ﺳﺤﺮ ﻭﻻ ﺧﺮﺍﻓﺎﺕ ﻣﻦ ﻫﺬﺍ ﺍﻟﻘﺒﻴﻞ. ﻛﻞ ﺍﻟﻈﻮﺍﻫﺮ ﻳﻤﻜﻦ ﺗﻔﺴﻴﺮﻫﺎ ﻋﻠﻤﻴًﺎ. ......ﺍﻟﻮﺣﻮﺵ ﻭﺍﻟﺴﺎﺣﺮﺍﺕ ﻏﻴﺮ ﻣﻮﺟﻮﺩﻳﻦ...!"""
,ﻛﺮﺭ ﺫﻟﻚ، ﻣﺤﺎﻭﻻً ﺗﻌﺰﻳﺰ ﺛﻘﺘﻪ ﺑﻨﻔﺴﻪ. ...ﻭﻛﺎﻥ ﻣﻦ ﺍﻟﻤﻀﺤﻚ ﺃﻥ ﻫﺬﻩ ﺍﻟﻌﺒﺎﺭﺍﺕ ﺑﺪﺕ ﻋﻜﺲ ﺣﺎﻟﺘﻪ ﺍﻟﻨﻔﺴﻴﺔ ﺗﻤﺎﻣًﺎ.
Gohda Toshiro,"""ﻣﻦ ﺫﺍ ﻗﺪ ﻳﺆﻣﻦ ﺑﺎﻟﺴﺎﺣﺮﺓ ﻭﺍﻟﺴﺤﺮ ﺃﻭ ﺍﻟﻠﻌﻨﺎﺕ...؟ ......ﻫﻴّﺎ، ﺃﺭِﻧﻲ ﺣﻘﻴﻘﺘﻚ...! ﺧﺬ ﻫﺬﺍ!"""
,...ﺛﻢ ﻗﺎﻡ ﺑﺈﺯﺍﻟﺔ ﻏﻄﺎﺀ ﻗﺪﺭ ﺍﻟﻀﻐﻂ.
,...ﻭﻣﺎ ﺍﻧﻜﺸﻒ ﺍﻣﺎﻣﻪ ﻫﻮ...ﻗﺎﻉ ﺍﻟﻘﺪﺭ ﺍﻟﻔﻀﻲ ﺍﻟﻤﺘﻸﻟﺊ ﻧﻈﺎﻓﺔً.
,...ﻟﻢ ﻳﻜﻦ ﻫﻨﺎﻙ ﺃﻱ ﺷﻲﺀ ﻣﺨﻴﻒ ﻋﻠﻰ ﺍﻹﻃﻼﻕ ﻛﻤﺎ ﻛﺎﻥ ﻳﺘﺨﻴﻞ.
Gohda Toshiro,"""...ﻓﻴﻮ. ﻫﺎﻫﺎﻫﺎ، ﺑﺎﻟﻄﺒﻊ. ﻣﻦ ﺍﻟﻄﺒﻴﻌﻲ ﺃﻻ ﻳﻜﻮﻥ ﻫﻨﺎﻙ ﺷﻲﺀ ﺑﺎﻟﺪﺍﺧﻞ."""
,ﺃﺩﺭﻙ ﻗﻮﺩﺍ، ﻣﺘﺄﺧﺮًﺍ، ﻛﻢ ﻫﻮ ﺟﺒﺎﻥ ﺑﺎﻟﻔﻌﻞ.
,"......ﺛﻢ ﺗﺴﺎﺀﻝ ﺑﻄﺒﻴﻌﺔ ﺍﻟﺤﺎﻝ: ""ﺇﺫًﺍ، ﻟﻤﺎﺫﺍ ﻛﺎﻥ ﺍﻟﻐﻄﺎﺀ ﻳﺼﺪﺭ ﺻﻮﺗًﺎ؟ ...ﺛﻢ ﻗﺮﺭ ﺃﻥ ﺍﻷﻣﺮ ﻟﻴﺲ ﻣﻬﻤﺎ ﻭﺃﻻّ ﺩﺍﻋﻲ ﻟﻠﻤﺒﺎﻟﻐﺔ ﺑﺸﺄﻧﻪ."
,ﻓﺄﺧﺬ ﺍﻟﻐﻄﺎﺀ ﻭﺃﻋﺎﺩﻩ ﺑﻬﺪﻭﺀ.
,......ﻻ ﺑﺄﺱ، ﻟﻦ ﻳﺼﺪﺭ ﺃﻱ ﺻﻮﺕ، ......ﺑﺎﻟﻄﺒﻊ ﻟﻦ ﻳﺼﺪﺭ.{n}ﻭﻛﺄﻥ ﺍﻟﺴﺤﺮ ﻭﺍﻟﺴﺎﺣﺮﺍﺕ ﻟﻬﻢ ﻭﺟﻮﺩ...!
,ﺧﺸﺨﺸﺔ. ﺧﺸﺨﺸﺨﺔﺧﺸﺨﺸﺨﺔﺧﺸﺨﺸﺔ.
Gohda Toshiro,""".............ﻫﺎﻩ...؟"""
,*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*.
,*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*!
Gohda Toshiro,"""ﻫـــﻪ، ﻫـــﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻲ!!!"""
,ﺑﺪﺃﺕ ﺟﻤﻴﻊ ﺍﻷﻭﺍﻧﻲ ﻭﺍﻷﻃﺒﺎﻕ ﻓﻲ ﺍﻟﻤﻄﺒﺦ ﺗﺼﺪﺭ ﺧﺸﺨﺸﺔ ﺩﻓﻌﺔً ﻭﺍﺣﺪﺓ!
, ﻭﺍﺯﺩﺍﺩﺕ ﺣﺪﺓً، ﺣﺘﻰ ﺳﻘﻂ ﻏﻄﺎﺀ ﺃﺣﺪ ﺍﻷﻭﺍﻧﻲ...!
,ﻭ......ﻣﻦ ﺩﺍﺧﻞ ﺫﻟﻚ ﺍﻟﻘﺪﺭ، ...ﺍﻣﺘﺪﺕ ﺫﺭﺍﻉ ٌﺑﻴﻀﺎﺀ ﻃﻮﻳﻠﺔ.
,ﻭﺗﻮﺍﻟﻰ ﺳﻘﻮﻁ ﺑﻘﻴﺔ ﺍﻷﻭﺍﻧﻲ ﺍﻟﻮﺍﺣﺪ ﺗﻠﻮ ﺍﻵﺧﺮ... ﻭﺃﺧﺮ،  ﻭﺃﺧﺮ...
Gohda Toshiro,"""ﺇﻳﻴﻴﻴﻴﻴﻴﻴﻴﻴﻪ!!!  ﺍﻟـ-... ﺍﻟﺴﺎﺣﺮﺍﺕ ﻏﻴﺮ- ﺍﻟﺴﺎﺣﺮﺍﺕ ﻏﻴﺮ ﻣﻮﺟﻮﻭﻭﺩﺍﺕ!! ﻟﻦ ﺃﺻﺪﻕ ﻭﺟﻮﻭﻭﻭﻭﺩﻫﻦ!!"""
,ﻭﻋﻨﺪﻣﺎ ﻭﺻﻞ ﻋﺪﺩ ﺍﻷﺫﺭﻉ ﺇﻟﻰ ﺳﺒﻌﺔ، ﺩﻭﺕ ﺿﺤﻜﺎﺕٌ ﺻﺎﺭﺧﺔ ﻭﻣﻸﺕ ﺍﻟﻤﻜﺎﻥ.
Beelzebub,"""ﺃﺷﻌﺮ ﺑﺎﻹﺣﺒﺎﻁ! ﺃﻥ ﻳﻜﻮﻥ ﺷﺨﺺٌ ﻗﺎﺩﺭ ﻋﻠﻰ ﺻﻨﻊ ﻫﺬﺍ ﺍﻟﻄﻌﺎﻡ ﺍﻟﺸﻬﻲّ، ﻣﺠﺮﺩ ﺟﺒﺎﻥ ﺗﺎﻓﻪ، ﻳﺎﺍﺍﺍﺍﺍﺍﺍﻩ، ﻳﺎ ﻟﻺﺣﺒﺎﻁ!!!"""
Mammon,"""ﺇﻥ ﻛﻨﺖِ ﻻ ﺗﺮﻳﺪﻳﻨﻪ، ﻓﺴﺂﺧﺬﻩ ﺃﻧﺎ، ﺇﻧﻪ ﻣِﻠﻜﻲ!!"""
Leviathan,"""ﻫﻴﻴﻴﻲ! ﻻﺍﺍﺍﺍﺍ، ﻗﻠﺖ ﺇﻧﻨﻲ ﺳﺄﺃﺧﺬﻩ ﺃﻧﺎﺍﺍﺍﺍﺍ!!"""
Gohda Toshiro,"""ﻫﺎﻩ؟! ﻫـﺎﻩ؟ ﻫـﺎﺍﺍﻩ؟! ﻫﻴﺎﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﻩ!!"""
,"""""""""ﻛﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎ!!!"""""""""""
,ﻫﻴﺎ ﺑﻨﺎ ﻟﻨﻜﻤﻞ ﺍﻟﺒﺤﺚ، ﺑﻘﻲ ﻭﺍﺣﺪ ﻓﻘﻂ.{n}ﺗﻠﻚ ﺍﻟﻌﺠﻮﺯ ﺍﻟﺸﻤﻄﺎﺀ!! ﺃﻳﻦ ﻫﻲ؟{n}ﺑﻤﺎ ﺃﻧﻬﺎ ﻟﻴﺴﺖ ﻓﻲ ﺍﻟﻘﺼﺮ، ﻓﺮﺑﻤﺎ ﻓﻲ ﻣﻨﺰﻝ ﺍﻟﻀﻴﺎﻓﺔ؟
,ﻛﻴﻬﻴﻬﻴﻬﻴﻬﻲ، ﺳﺘﻜﻮﻥ ﻣﻦ ﻧﺼﻴﺐ ﻣﻦ ﻳﺠﺪﻫﺎ ﺃﻭﻻً، ﺻﺤﻴﺢ؟
,ﻫﻴّﺎ، ﺍﺑﺤﺜﻮﺍ... ﺍﺑﺤﺜﻮﺍ... ﺍﻋﺜﺮﻭﺍ ﻋﻠﻴﻬﺎ، ﺍﻋﺜﺮﻭﺍ ﻋﻠﻴﻬﺎ...!
,ﻻ ﺗﺪﻋﻮﺍ ﺍﻷﻗﺎﺭﺏ ﻓﻲ ﻏﺮﻓﺔ ﺍﻟﻄﻌﺎﻡ ﻳﺸﻌﺮﻭﻥ ﺑﻮﺟﻮﺩﻛﻢ.
,ﻭﺃﻳﻀًﺎ ﺍﻷﻃﻔﺎﻝ ﻓﻲ ﻣﻨﺰﻝ ﺍﻟﻀﻴﺎﻓﺔ، ﻣﻔﻬﻮﻡ؟
,ﺍﺑﺤﺜﻮﺍ ﻭﺍﻗﺘﻠﻮﺍ ﺑﺼﻤﺖ!{n}ﻓﻼ ﺯﻟﻨﺎ ﻓﻲ ﺍﻟﻐﺴﻖ ﺍﻷﻭﻝ!
,ﺇﻧﻬﺎ ﻟﻴﺴﺖ ﻓﻲ ﻣﻨﺰﻝ ﺍﻟﻀﻴﺎﻓﺔ.{n}ﻭﻻ ﻓﻲ ﺍﻟﻘﺼﺮ ﺃﻳﻀًﺎ!
,ﻣﻬﻼً، ﻭﺟﺪﺗﻬﺎ، ﻭﺟﺪﺗﻬﺎ! ﻓﻲ ﺣﺪﻳﻘﺔ ﺍﻟﻮﺭﻭﺩ!{n}ﻟﻤﺎﺫﺍ ﻫﻲ ﻭﺍﻗﻔﺔٌ ﻫﻨﺎﻙ ﺩﻭﻥ ﻣﻈﻠﺔ؟
,ﻟﻘﺪ ﺍﺳﺘﺴﻠﻤﺖ ﺑﺎﻟﻔﻌﻞ، ﺇﻧﻬﺎ ﻣِﻠﻜﻲ، ﻣِﻠﻜﻲ ﻭﺣﺪﻱ!{n}ﻳﺎ ﻟﻜﻦ ﻣﻦّ ﻏﺒﻴﺎﺕ، ﻗﻔﻦَّ ﻣﻜﺎﻧﻜﻦ ﻭﺷﺎﻫﺪﻥَ ﻓﺤﺴﺐ!
