Speaker,Arabic (AR)
Ushiromiya George,"""...ﻻ ﺣﺎﺟﺔ ﻟﻜﻞّ ﺗﻠﻚ ﺍﻷﺧﻼﻕ ﺍﻟﻤﻬﻨﻴﺔ. ﺑﺼﺮﻑ ﺍﻟﻨﻈﺮ ﻋﻦ ﻋﻤﻠﻚ، ﻋﻨﺪﻣﺎ ﺗﺄﺧﺬﻳﻦ ﺍﺳﺘﺮﺍﺣﺘﻚ ﻛﻤﺎ ﺍﻵﻥ، ﺃﻭﺩّ ﻟﻮ ﻧﺴﺘﻄﻴﻊ ﺟﻤﻴﻌًﺎ ﺃﻥ ﻧﻜﻮﻥ ﻭﺩﻭﺩﻳﻦ ﻣﻌًﺎ ﻛﻤﺎ ﻛﻨﺎ ﻓﻲ ﺍﻟﺴﺎﺑﻖ."""
Ushiromiya Jessica,"""ﻧﻌﻢ، ﺑﺎﻟﺘﺄﻛﻴﺪ. ...ﻻ ﻳﻮﺟﺪ ﺳﺒﺐ ﻳﻤﻨﻌﻚ ﻣﻦ ﻓﺼﻞ ﺷﺎﻧﻮﻥ ﺍﻟﺨﺎﺩﻣﺔ ﻋﻦ ﺳﺎﻳﻮ ﺧﺎﺭﺝ ﺍﻟﺨﺪﻣﺔ. ...ﺃﻧﺖ ﻟﺴﺖ ﻋﺒﺪﺓً، ﺃﻧﺖ ﻓﻘﻂ ﺗﻌﻤﻠﻴﻦ ﻛﺨﺎﺩﻣﺔٍ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟"""
Ushiromiya Jessica,"...ﺃﻓﻜﺮ ﻓﻴﻚ ﻳﺎ ﺷﺎﻧﻮﻥ، ...ﻻ، ﻳﺎ ﺳﺎﻳﻮ، ﻛﺄﻗﺪﻡ ﺻﺪﻳﻘﺔٍ ﻟﻲ."""
Shannon,"""...ﺷﻜﺮًﺍ ﺟﺰﻳﻼً ﻳﺎ ﺁﻧﺴﺘﻲ."""
,ﺑﺪﺍ ﺃﻥّ ﺷﺎﻧﻮﻥ ﻓﻬﻤﺖ ﻣﺎ ﻳﻜﻤﻦ ﺗﺤﺖ ﻛﻠﻤﺎﺕ ﺟﻴﺴﻴﻜﺎ.{n}...ﻷﻧّﻬﺎ ﺳﻤﻌﺖ ﻗﻠﻴﻼً ﻣﻦ ﺟﻴﺴﻴﻜﺎ ﻭﻛﺎﻧﻮﻥ ﻋﻦ ﻣﺎ ﺣﺪﺙ ﺑﻴﻨﻬﻤﺎ.
Ushiromiya George,""".................."""
,ﻋﻠﻰ ﻣﺎ ﻳﺒﺪﻭ، ﻛﺎﻥ ﺟﻮﺭﺝ ﺃﻳﻀًﺎ ﻳﻌﻠﻢ ﺑﺬﻟﻚ، ﺇﻟﻰ ﺣﺪٍّ ﻣﺎ.
,ﺍﻗﺘﺮﺏ ﺟﻮﺭﺝ ﻣﻦ ﺍﻟﻨﺎﻓﺬﺓ، ﻭﻧﻈﺮ ﺇﻟﻰ ﺍﻟﺴﻤﺎﺀ ﺍﻟﻤﻤﻄﺮﺓ ﺍﻟﻤﻈﻠﻤﺔ...
Shannon,"""...ﻛﺎﻧﻮﻥ-ﻛﻦ ﻻ ﻳﺰﺍﻝ ﺻﻐﻴﺮًﺍ، ﻭﺃﻋﺘﻘﺪ ﺃﻧّﻪ ﻓﻲ ﺑﻌﺾ ﺍﻟﺠﻮﺍﻧﺐ ﻳﺤﺎﻭﻝ ﺟﺎﻫﺪًﺍ ﺃﻥ ﻳﻜﻮﻥ ﻧﺎﺿﺠًﺎ ﻓﻲ ﻃﺮﻳﻘﺔ ﺗﻔﻜﻴﺮﻩ."""
Ushiromiya Jessica,"""ﺃﻩ، ﻫﺎﻫﺎﻫﺎ... ﻫﻴﺎ، ﺗﻮﻗﻒ ﻋﻦ ﺫﻟﻚ."""
Ushiromiya Jessica,"""ﺣﺴﻨًﺎ، ﺃﻣﻢ، ﺇﻧﻪ ﺧﻄﺄﻱ ﺃﻳﻀًﺎ، ﺃﻋﺘﻘﺪ ﺃﻥ ﺟﺰﺀً ﻣﻨﻪ ﻛﺎﻥ ﺑﺴﺒﺐ ﺍﻧﺠﺮﺍﻓﻲ ﻣﻊ ﺍﻟﺠﻮ... ﻭﺃﻣﻢ... ﺭﺑﻤﺎ ﺷﻌﺮﺕ ﺑﺎﻟﻐﻴﺮﺓ ﺑﻌﺪ ﺭﺅﻳﺘﻲ ﻟﻜﻤﺎ، ﻭﺑﺪﺃﺕ ﺃﺷﻌﺮ ﺃﻧﻨﻲ ﻣﺘﺴﺮﻋﺔ ﺑﻌﺾ ﺍﻟﺸﻲﺀ... ﻗﺪ ﻳﻜﻮﻥ ﻟﻬﺬﺍ ﺩﻭﺭ ﺃﻳﻀًﺎ..."""
Ushiromiya Jessica,"""...ﻣﻦ، ﻣﻦ ﻳﻬﺘﻢّ ﺑﻲ ﻋﻠﻰ ﺃﻱ ﺣﺎﻝ؟ ﺍﻷﻫﻢ ﻣﻦ ﺫﻟﻚ، ﻛﻴﻒ ﺗﺴﻴﺮ ﺍﻷﻣﻮﺭ ﺑﻴﻨﻜﻤﺎ؟ ﻳﺒﺪﻭ ﺃﻥّ ﺍﻷﻣﻮﺭ ﺗﺴﻴﺮ ﺟﻴﺪًﺍ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟ ﺇﻫﻴﻬﻴﻪ!"""
Shannon,"""ﺃﻣﻢ، ...ﺃﻧﺎ، ...ﺃﺗﺴﺎﺀﻝ..."""
Ushiromiya George,"""ﻧﻌﻢ. ﺇﻧّﻬﺎ ﺗﺴﻴﺮ ﺑﺸﻜﻞٍ ﺭﺍﺋﻊ."""
,ﺍﺣﻤﺮّ ﻭﺟﻪ ﺷﺎﻧﻮﻥ ﻭﻋﺠﺰﺕ ﻋﻦ ﺍﻟﺮﺩ، ﺑﻴﻨﻤﺎ ﺃﺟﺎﺏ ﺟﻮﺭﺝ ﺑﺜﻘﺔ ﻭﻭﺿﻮﺡ.{n}ﺫﻟﻚ ﺍﻟﻤﻮﻗﻒ ﺍﻟﺨﺎﻟﻲ ﻣﻦ ﺍﻟﻬﻤﻮﻡ ﺟﻌﻞ ﻣﻦ ﺍﻟﻮﺍﺿﺢ ﺃﻥّ ﻋﻼﻗﺘﻬﻤﺎ ﺗﺘﻘﺪﻡ ﺑﻤﺜﺎﻟﻴﺔٍ ﺗﺠﻌﻞ ﺃﻱّ ﺃﺣﺪٍ ﻳﺸﻌﺮ ﺑﺎﻟﻐﻴﺮﺓ.
Ushiromiya Jessica,"""ﺗﺶ، ﺃﺷﻌﺮ ﺑﺎﻟﻐﻴﺮﺓ. ......ﻫﻞ ﻫﺬﺍ ﻳﻌﻨﻲ ﺃﻥ ﺷﺎﻧﻮﻥ ﺳﺘﺴﺘﻘﻴﻞ ﻗﺮﻳﺒًﺎ ﻭﺗﺤﺘﻔﻞ ﺑﺰﻓﺎﻓﻬﺎ؟"""
Shannon,"""ﺃﻧﺎ، ﺃﺗﺴﺎﺀﻝ... ﺃﻧﺎ ﻻ، ﺃﻣﻢ..."""
Ushiromiya George,"""ﻣﻦ ﻳﺪﺭﻱ؟  ﻛﻴﻒ ﻳﻤﻜﻨﻨﻲ ﺃﻥ ﺃﻋﺮﻑ؟"""
,"ﺿﺤﻚ ﺟﻮﺭﺝ ﻭﻛﺄﻧّﻪ ﻳﺘﻌﻤﺪ ﺍﻟﻤﺰﺍﺡ ﻭﺍﻗﺘﺮﺏ ﻣﻦ ﺷﺎﻧﻮﻥ.{n}...ﺭﺑﻤﺎ ﻛﺎﻧﺖ ﺗﻠﻚ ﻫﻲ ﺍﻟﻄﺮﻳﻘﺔ ﺍﻟﺘﻲ ﻳﻐﺎﺯﻻﻥ ﺑﻬﺎ ﻋﺎﺩﺓً ﻋﻨﺪﻣﺎ ﻳﻜﻮﻧﺎﻥ ﺑﻤﻔﺮﺩﻫﻤﺎ.{n}ﻟﻢ ﺗﺴﺘﻄﻊ ﺟﻴﺴﻴﻜﺎ ﺇﻻ ﺃﻥ ﺗﺒﺘﺴﻢ ﺑﺈﺣﺮﺍﺝٍ ﻭﺗﻘﻮﻝ ""ﻧﻌﻢ، ﻧﻌﻢ، ﺷﻜﺮًﺍ، ﻫﺬﺍ ﻳﻜﻔﻲ"".."
Ushiromiya George,"""ﻟﺪﻱّ ﺣﻠﻢ. ﻟﻴﺲ ﻃﻤﻮﺣﻲ ﻓﻘﻂ ﺃﻥ ﺃﺻﺒﺢ ﻗﺎﺋﺪًﺍ ﻟﻤﺠﺎﻟﻲ ﺍﻟﺨﺎﺹّ ﻓﻲ ﺍﻷﻋﻤﺎﻝ. ﻟﺪﻱّ ﺃﻳﻀًﺎ ﺣﻠﻢ ﺑﺒﻨﺎﺀ ﻋﺎﺋﻠﺔٍ ﻣﻊ ﺷﺮﻳﻜﺔٍ ﻳﻤﻜﻨﻨﻲ ﻗﻀﺎﺀ ﺣﻴﺎﺗﻲ ﻣﻌﻬﺎ."""
Ushiromiya George,"""...ﺃﺭﻳﺪ ﻃﻔﻠﻴﻦ ﻋﻠﻰ ﺍﻷﻗﻞّ. ﻭﺃﻭﺩّ ﻣﻤﺎﺭﺳﺔ ﺑﻌﺾ ﺍﻟﺮﻳﺎﺿﺎﺕ ﺍﻟﺘﻲ ﻳﻤﻜﻦ ﻟﻠﻌﺎﺋﻠﺔ ﺑﺄﻛﻤﻠﻬﺎ ﺃﻥ ﺗﻔﻌﻠﻬﺎ ﻣﻌًﺎ. ﻭﺍﻟﻜﺜﻴﺮ ﻣﻦ ﺍﻷﺷﻴﺎﺀ ﺍﻷﺧﺮﻯ ﺑﺠﺎﻧﺐ ﺫﻟﻚ. ﻛﺜﻴﺮًﺍ ﻣﺎ ﺃﺗﺤﺪﺙ ﻣﻊ ﺷﺎﻧﻮﻥ ﻋﻦ ﻫﺬﺍ ﺍﻟﻨﻮﻉ ﻣﻦ ﺍﻷﻣﻮﺭ. ...ﺭﻏﻢ ﺃﻧّﻪ ﻓﻲ ﻛﻞّ ﻣﺮﺓٍ ﺃﺗﺤﺪﺙ ﻓﻴﻬﺎ ﻋﻦ ﻣﺜﻞ ﻫﺬﻩ ﺍﻷﺷﻴﺎﺀ، ﺗﻀﺤﻚ ﺷﺎﻧﻮﻥ ﺩﺍﺋﻤًﺎ ﻭﺗﻘﻮﻝ ﺇﻧﻨﻲ ﺃﺳﺒﻖ ﺍﻷﺣﺪﺍﺙ."""
Ushiromiya George,"""...ﻟﺴﺒﺐ ﻣﺎ، ﺣﺘﻰ ﻓﻲ ﻋﻤﺮﻱ ﻫﺬﺍ، ﺃﺟﺪ ﻧﻔﺴﻲ ﺃﻓﻜﺮ ﻓﻲ ﺍﻟﺘﻘﺎﻋﺪ ﻭﺍﻻﺳﺘﻘﺮﺍﺭ... ...ﻣﻊ ﺃﻃﻔﺎﻟﻲ ﺍﻟﺒﺎﻟﻐﻴﻦ ﺍﻷﺻﺤﺎﺀ، ﻭﺍﻷﺣﻔﺎﺩ ﻳﺮﻛﻀﻮﻥ ﺣﻮﻟﻲ. ﺃﺗﺨﻴﻞ ﺩﺍﺋﻤًﺎ ﻣﺪﻯ ﺭﻭﻋﺔ ﺃﻥ ﺃﻗﻀﻲ ﺳﻨﻮﺍﺗﻲ ﺍﻷﺧﻴﺮﺓ ﺑﻮﺗﻴﺮﺓٍ ﺑﻄﻴﺌﺔٍ ﻣﺤﺎﻃًﺎ ﺑﻬﻢ، ﻭﻣﻊ ﺷﺎﻧﻮﻥ ﺇﻟﻰ ﺍﻷﺑﺪ."""
Ushiromiya Jessica,"""ﺃﻧﺖ ﺑﺎﻟﺘﺄﻛﻴﺪ ﺗﺴﺒﻖ ﺍﻷﺣﺪﺍﺙ. ...ﻟﻜﻦ، ﻛﻴﻒ ﻳﺠﺐ ﺃﻥ ﺃﻗﻮﻟﻬﺎ، ﻳﺒﺪﻭ ﺫﻟﻚ ﻣﺜﻠﻚ ﻳﺎ ﺃﺧﻲ ﺟﻮﺭﺝ."""
Shannon,"""ﺃﻥ ﺗﻜﻮﻥ ﻣﺤﺎﻃًﺎ ﺑﻌﺎﺋﻠﺔٍ ﻛﻬﺬﻩ ﺳﻴﻜﻮﻥ ﺭﺍﺋﻌًﺎ ﻋﻠﻰ ﺍﻷﺭﺟﺢ. ...ﺍﻟﻌﺎﺋﻠﺔ ﺍﻟﻤﺜﺎﻟﻴﺔ ﺍﻟﺘﻲ ﺭﺳﻤﺘﻬﺎ ﻓﻲ ﺫﻫﻨﻲ ﻋﻨﺪﻣﺎ ﻛﻨﺖ ﺃﺻﻐﺮ ﻛﺎﻧﺖ ﺷﻴﺌًﺎ ﻛﻬﺬﺍ."""
,ﺑﺎﻟﻨﺴﺒﺔ ﻟـﺸﺎﻧﻮﻥ ﺍﻟﺘﻲ ﻧﺸﺄﺕ ﻓﻲ ﺩﺍﺭ ﺃﻳﺘﺎﻡ، ﻛﺎﻥ ﺫﻟﻚ ﺍﻟﻤﺸﻬﺪ ﺍﻟﻌﺎﺋﻠﻲ ﺍﻟﻤﺘﺂﻟﻒ ﺣﻠﻤًﺎ ﺗﺘﻮﻕ ﺇﻟﻴﻪ
,...ﺃﻣﺎ ﺟﻮﺭﺝ ﺍﻟﺬﻱ ﻭﻋﺪﻫﺎ ﺑﺄﻧﻪ ﺳﻴﺤﻘﻖ ﻟﻬﺎ ﺫﻟﻚ ﺍﻟﺤﻠﻢ ﺣﺘﻤًﺎ، ﻛﺎﻥ ﺑﻼ ﺷﻚ ﺍﻟﺸﺮﻳﻚ ﺍﻟﻤﻨﺎﺳﺐ ﻟﻬﺎ ﻟﺘﻘﻀﻲ ﺣﻴﺎﺗﻬﺎ ﻣﻌﻪ...
,ﻛﺎﻧﺖ ﺷﺎﻧﻮﻥ ﺻﺪﻳﻘﺔً ﻣﻬﻤﺔً ﻟﺠﻴﺴﻴﻜﺎ. ...ﻭﺟﻮﺭﺝ ﻛﺎﻥ ﺑﺎﻟﺘﺄﻛﻴﺪ ﺍﻷﻛﺜﺮ ﻣﻼﺀﻣﺔً ﻟﺘﻮﻛﻴﻞ ﻣﺴﺘﻘﺒﻞ ﺗﻠﻚ ﺍﻟﺼﺪﻳﻘﺔ ﺇﻟﻴﻪ.
Ushiromiya Jessica,"""ﺣﺴﻨًﺎ، ﻻ ﺃﺭﻳﺪ ﺃﻥ ﺃﻓﺴﺪ ﻋﻠﻴﻜﻤﺎ، ...ﻟﻜﻦ ﺑﺼﺮﻑ ﺍﻟﻨﻈﺮ ﻋﻦ ﺍﻟﻌﻢّ ﻫﻴﺪﻳﻮﺷﻲ، ﻣﺎﺫﺍ ﺳﻴﺤﺪﺙ ﻣﻊ ﺍﻟﻌﻤﺔ ﺇﻳﻔﺎ؟ ﺃﻟﻦ ﻳﻜﻮﻥ ﻣﻦ ﺍﻟﺼﻌﺐ ﺇﻗﻨﺎﻋﻬﺎ؟"""
Shannon,"""........................"""
Ushiromiya George,"""ﺁﻫﺎﻫﺎﻫﺎﻫﺎ. ﻻ ﻳﻮﺟﺪ ﺳﺒﺐ ﻷﻥ ﻳﻘﻠﻖ ﺃﺣﺪ ﺑﺸﺄﻥ ﺷﻲﺀٍ ﻛﻬﺬﺍ. ...ﻻ ﺃﺣﺪ ﻳﻤﻜﻨﻪ ﺍﻟﺘﺄﺛﻴﺮ ﻋﻠﻰ ﺍﺧﺘﻴﺎﺭﻱ ﻟﺸﺮﻳﻜﺘﻲ. ﺳﺄﺟﻌﻞ ﺷﺎﻧﻮﻥ ﺳﻌﻴﺪﺓً. ﻣﻦ ﺃﺣﺘﺎﺝ ﻣﻮﺍﻓﻘﺘﻪ؟"""
Ushiromiya Jessica,"""...ﻭﻭﻭﻭﻩ. ﻛﺎﻥ ﻫﺬﺍ ﺭﺍﺋﻌًﺎ ﻳﺎ ﺃﺧﻲ ﺟﻮﺭﺝ... ﻻ ﺃﺻﺪﻕ ﺃﻧﻚ ﺗﺴﺘﻄﻴﻊ ﻗﻮﻝ ﺷﻲﺀٍ ﻣﺤﺮﺝٍ ﻛﻬﺬﺍ ﺑﺼﻮﺕٍ ﻋﺎﻝٍ. ﻟﻢ ﺃﻛﻦ ﺃﻇﻨﻚ ﻣﻦ ﺍﻟﻨﻮﻉ ﺍﻟﺬﻱ ﻳﻘﻮﻝ ﺃﻣﻮﺭًﺍ ﻛﻬﺬﻩ."""
Ushiromiya George,"""ﺍﺗﺮﻙ ﺻﺒﻴًﺎ ﺛﻼﺛﺔ ﺃﻳﺎﻡ ﻭﻟﻦ ﺗﻌﺮﻓﻪ ﺑﻌﺪ ﺫﻟﻚ. ...ﻓﻲ ﺍﻟﻨﻬﺎﻳﺔ، ﺣﺘﻰ ﺃﻧﺎ ﺃﻛﺒﺮ. ...ﺃﺧﻄﻂ ﻷﺩﺭﺱ ﺃﻛﺜﺮ ﻓﺄﻛﺜﺮ، ﻷﺻﺒﺢ ﺭﺟﻼً ﻣﻨﺎﺳﺒًﺎ ﻳﺴﺘﻄﻴﻊ ﺟﻌﻞ ﺷﺎﻧﻮﻥ ﺳﻌﻴﺪﺓ."""
,ﻳﺒﺪﻭ ﺃﻥ ﺟﻮﺭﺝ ﻗﺪ ﺃﺩﺭﻙ ﻣﺪﻯ ﺇﺣﺮﺍﺝ ﻛﻠﻤﺎﺗﻪ، ﻓﻘﺪ ﺍﺣﻤﺮّ ﻭﺟﻬﻪ ﻗﻠﻴﻼً ﻭﻫﻮ ﻳﺤﻚ ﺭﺃﺳﻪ.
Shannon,"""...ﺟﻮﺭﺝ-ﺳﺎﻥ."""
Ushiromiya George,"""ﻻ ﺑﺄﺱ. ﺃﻧﺎ ﻣﺘﺄﻛﺪ ﺃﻥّ ﺃﻣﻲ ﺳﺘﻜﻮﻥ ﺻﻌﺒﺔ ﺍﻟﻤﺮﺍﺱ، ﻟﻜﻦ ﺃﺗﺮﻙ ﺫﻟﻚ ﻟﻲ. ﺳﺄﺭﻳﻚ ﺃﻧﻨﻲ ﺃﺳﺘﻄﻴﻊ ﺟﻌﻞ ﺍﻟﻌﺎﺋﻠﺔ ﺑﺄﻛﻤﻠﻬﺎ ﺗﻘﺒﻠﻚ ﻛﺸﺮﻳﻜﺘﻲ."""
Ushiromiya Jessica,"""ﺭﺍﺋﻊ... ﺃﻧﺎ ﺃﻏﺎﺭ ﻣﻨﻚ ﻳﺎ ﺷﺎﻧﻮﻥ، ﺑﺠﺪﻳﺔ!"""
Shannon,"""...ﺇ-ﺇﻥ ﻛﻨﺖ ﺳﺘﺼﻞ ﺇﻟﻰ ﻫﺬﺍ ﺍﻟﺤﺪّ، ...ﺇﺫًﺍ ﺃﻧﺎ، ﺃﻧﺎ ﻣﻤﺘﻨﺔ ﺟﺪًﺍ..."""
Ushiromiya Jessica,"""ﺍﻧﺘﻈﺮﻱ ﻟﺤﻈﺔً، ...ﺑﺪﺃﺕ ﺃﺷﻌﺮ ﻭﻛﺄﻧﻨﻲ ﺩﺧﻴﻠﺔ. ﺭﺑﻤﺎ ﻣﻦ ﺍﻷﻓﻀﻞ ﺃﻥ ﺃﻏﺎﺍﺍﺍﺩﺭ؟"""
,ﺍﺑﺘﺴﻤﺖ ﺟﻴﺴﻴﻜﺎ ﺑﺈﺣﺮﺍﺝٍ ﻭﻧﻬﻀﺖ ﻣﻦ ﺍﻟﺴﺮﻳﺮ ﺍﻟﺬﻱ ﻛﺎﻧﺖ ﺗﺠﻠﺲ ﻋﻠﻴﻪ، ﻭﻓﻲ ﺗﻠﻚ ﺍﻟﻠﺤﻈﺔ ﺑﺎﻟﺬﺍﺕ، ﺭﻥّ ﺍﻟﻬﺎﺗﻒ.
