Speaker,Arabic (AR)
Ushiromiya Battler,"""ﺑﺎﻟﻤﻨﺎﺳﺒﺔ، ﺃﻟﻢ ﺗﻘﻞ ﻣﺎﺭﻳﺎ ﻓﻲ ﺍﻟﻤﻄﺎﺭ ﺇﻧﻬﺎ ﺇﻥ ﺍﺭﺗﺪﺕ ﺯﻳًﺎ ﺗﻨﻜﺮﻳًﺎ ﻓﺴﻴﻜﻮﻥ ﺯﻱ ﺍﻟﺴﺎﺣﺮﺓ؟ ﻫﻞ ﻣﺎﺭﻳﺎ ﺗﺤﺐ ﺍﻟﺴﺎﺣﺮﺍﺕ؟"""
Ushiromiya Rosa,"""......ﻧﻌﻢ، ﻫﻲ ﺗﺤﺒﻬﻦ ﺟﺪًﺍ. ﻟﺪﺭﺟﺔ ﺃﻥ ﺍﻷﻣﺮ ﺃﺻﺒﺢ ﻣﺰﻋﺠًﺎ ﺑﻌﺾ ﺍﻟﺸﻲﺀ."""
Ushiromiya Jessica,"""ﻻ ﺑﺄﺱ، ﻣﻦ ﺍﻟﻄﺒﻴﻌﻲ ﺃﻥ ﺗُﻌﺠﺐ ﺑﺄﺷﻴﺎﺀ ﻛﻬﺬﻩ ﺑﻬﺬﺍ ﺍﻟﺴﻦ."""
Ushiromiya Rosa,"""ﻟﻮ ﺃﻧﻬﺎ ﻋﻠﻰ ﺍﻷﻗﻞ ﺃﻋﺠﺒﺖ ﺑﺒﻄﻠﺔ ﻣﻦ ﻣﺴﻠﺴﻞ ﺃﻧﻤﻲ ﻟﻜﺎﻥ ﺫﻟﻚ ﻇﺮﻳﻔًﺎ، ...ﺁﻩ."""
,ﺑﺎﻟﻨﻈﺮ ﺇﻟﻰ ﺭﺩﻭﺩ ﻓﻌﻞ ﺭﻭﺯﺍ، ﻳﺒﺪﻭ ﺃﻧﻬﺎ ﻛﺄﻡ ﻟﻢ ﺗﻜﻦ ﻣﺴﺮﻭﺭﺓ ﺑﻮﻟﻊ ﺍﺑﻨﺘﻬﺎ ﺑﺎﻟﺴﺎﺣﺮﺍﺕ.
,ﺟﻤﻴﻊ ﺃﺑﻨﺎﺀ ﺍﻟﻌﻤﻮﻣﺔ ﺑﺎﺳﺘﺜﻨﺎﺀ ﺑﺎﺗﻠﺮ ﻛﺎﻧﻮﺍ ﻳﺪﺭﻛﻮﻥ ﺫﻟﻚ، ﻓﺎﻛﺘﻔﻮﺍ ﺑﻬﺰ ﺃﻛﺘﺎﻓﻬﻢ ﻣﺒﺘﺴﻤﻴﻦ ﺍﺑﺘﺴﺎﻣﺔ ﻣﺤﺮﺟﺔ.
Ushiromiya Battler,"""ﻫﻤﻤﻤﻢ؟ ﺇﺫًﺍ، ﻣﻦ ﻳﺤﺐ ﺍﻟﺴﺎﺣﺮﺍﺕ ﻳﺤﺐ ﺍﻟﻬﺎﻟﻮﻳﻦ ﺃﻳﻀًﺎ، ﺃﻫﺬﻩ ﻫﻲ ﺍﻟﻔﻜﺮﺓ؟"""
Ushiromiya Battler,"""ﺭﺑﻤﺎ ﻋﻠﻲَّ ﺃﻥ ﺃﺳﺄﻟﻬﺎ ﻣﺒﺎﺷﺮﺓ ﺑﺪﻻً ﻣﻦ ﺗﺨﻤﻴﻦ ﺫﻟﻚ. ﻫﻴﻪ، ﻣﺎﺭﻳﺎ. ﻣﺎ ﺍﻟﻌﻼﻗﺔ ﺑﻴﻦ ﺍﻟﻬﺎﻟﻮﻳﻦ ﻭﺍﻟﺴﺎﺣﺮﺍﺕ؟"""
,ﻣﺎ ﺇﻥ ﻃﺮﺡ ﺑﺎﺗﻠﺮ ﻫﺬﺍ ﺍﻟﺴﺆﺍﻝ ﺣﺘﻰ ﺗﻨﻬﺪ ﺟﻮﺭﺝ ﻭﺟﻴﺴﻴﻜﺎ ﺑﺴﺒﺒﻪ...
,ﻗﻀﻲ ﺍﻷﻣﺮ...
,ﻭﻛﺄﻥ ﻣﺎﺭﻳﺎ ﻛﺎﻧﺖ ﺗﻨﺘﻈﺮ ﻫﺬﺍ ﺍﻟﺴﺆﺍﻝ ﺗﺤﺪﻳﺪًﺍ.
,ﻇﻬﺮ ﻋﻠﻰ ﻭﺟﻬﻬﺎ ﺍﻟﻔﺮﺡ ﻟﻠﺤﻈﺔ، ﺛﻢ ﺗﻐﻴّﺮ ﺗﻌﺒﻴﺮﻫﺎ ﻟﻴﺒﺪﻭ ﺳﺎﺧﺮًﺍ ﻗﻠﻴﻼً، ﻭﻛﺄﻧﻬﺎ ﺗﻘﻮﻝ: ﺃﻧﺖ ﻻ ﺗﻔﻬﻢ ﺷﻴﺌًﺎ، ﺻﺤﻴﺢ؟
,ﻛﺎﻥ ﺫﻟﻚ ﺗﻌﺒﻴﺮ ﺷﺨﺺ ﻣﻮﻟﻊ ﺑﺸﻲﺀ ﻣﺎ، ﺃﺛﺎﺭﻩ ﺗﻌﻠﻴﻖ ﺟﺎﻫﻞ ﻻ ﻳﻌﺮﻑ ﺳﻮﻯ ﺍﻷﻓﻜﺎﺭ ﺍﻟﺨﺎﻃﺌﺔ ﻋﻨﻪ.
Ushiromiya Maria,"""ﺃﻭﻭ... ﺍﻋﺘﻘﺪ ﺍﻟﺴﻠﺘﻴﻮﻥ ﺍﻟﻘﺪﺍﻣﺎﺀ ﺃﻥ ﺗﻐﻴّﺮ ﻗﻮﺓ ﺍﻟﺸﻤﺲ ﻋﺒﺮ ﺍﻟﻌﺎﻡ ﻳﺸﺒﻪ ﺩﻭﺭﺓ ﺣﻴﺎﺓ ﻛﺎﻣﻠﺔ: ﻭﻻﺩﺓ ﺛﻢ ﻧﻤﻮ ﺛﻢ ﺷﻴﺨﻮﺧﺔ ﻭﻣﻮﺕ، ﻭﺃﺧﻴﺮًﺍ ﻋﻮﺩﺓ ﻟﻠﺤﻴﺎﺓ."""
Ushiromiya Battler,"""ﻓﻬﻤﺖ. ﺗﻘﺼﺪﻳﻦ ﺃﻥ ﺍﻟﺸﻤﺲ ﺗﺒﺪﺃ ﺿﻌﻴﻔﺔ ﻭﺩﺍﻓﺌﺔ ﻓﻲ ﺍﻟﺮﺑﻴﻊ، ﺛﻢ ﺗﻨﻤﻮ ﻭﺗﺰﺩﺍﺩ ﺣﺮﺍﺭﺓ، ﺛﻢ ﺗﻀﻌﻒ ﺗﺪﺭﻳﺠﻴًﺎ ﻭﺗﺬﺑﻞ... ﻟﻘﺪ ﻓﻬﻤﺖ، ﺃﺳﺘﻄﻴﻊ ﺭﺅﻳﺔ ﺍﻷﻣﺮ ﺑﻬﺬﻩ ﺍﻟﻄﺮﻳﻘﺔ ﻛﺄﻧﻬﺎ ﺩﻭﺭﺓ ﺣﻴﺎﺓ ﺍﻟﺸﻤﺲ ﺑﺎﻟﻔﻌﻞ."""
Ushiromiya Maria,"""ﻧﻌﻢ. ﻟﻬﺬﺍ ﻛﺎﻧﻮﺍ ﻳﺆﻣﻨﻮﻥ ﺑﺄﻥ ﺍﻟﺸﻤﺲ ﺣﻴﻦ ﺗﻤﻮﺕ ﻓﻲ ﻧﻬﺎﻳﺔ ﺃﻛﺘﻮﺑﺮ، ﺗﺮﻳﺢ ﺟﺴﺪﻫﺎ ﻓﻲ ﺃﺭﺽ ﺍﻟﻤﻮﺕ ﺛﻢ ﺗﻨﺒﻌﺚ ﻣﺠﺪﺩﺍً ﻳﻮﻡ ﺍﻻﻧﻘﻼﺏ ﺍﻟﺸﺘﻮﻱ. ﻭﻗﺪ ﺃﻃﻠﻘﻮﺍ ﻋﻠﻰ ﺫﻟﻚ ﺍﻟﻴﻮﻡ ﺍﻟﺬﻱ ﺗﻤﻮﺕ ﻓﻴﻪ ﺍﻟﺸﻤﺲ ﻭﺗﺴﺘﻨﻔﺬ ﻋﻤﺮﻫﺎ ﺍﺳﻢ ""ﺳﺎﻣﻬﺎﻳﻦ""، ﻭﻛﺎﻧﻮﺍ ﻳﺤﺘﻔﻠﻮﻥ ﺑﻪ ﻭﻳﻌﺘﺒﺮﻭﻧﻪ ﺭﺃﺱ ﺍﻟﺴﻨﺔ."""
Ushiromiya George,"""ﻓﻜﺮﺓ ﺃﻥ ﺍﻟﺸﻤﺲ ﺗﻌﻮﺩ ﻟﻠﺤﻴﺎﺓ ﻓﻲ ﻳﻮﻡ ﺍﻻﻧﻘﻼﺏ ﺍﻟﺸﺘﻮﻱ ﻋﻨﺪﻣﺎ ﺗﺒﺪﺃ ﺳﺎﻋﺎﺕ ﺍﻟﻨﻬﺎﺭ ﺑﺎﻻﺯﺩﻳﺎﺩ ﺗﺪﺭﻳﺠﻴًﺎ ﻣﺮﺓً ﺃﺧﺮﻯ ﻣﺜﻴﺮﺓ ﻟﻼﻫﺘﻤﺎﻡ. ﻫﺬﺍ ﺍﻟﻤﻌﺘﻘﺪ ﻳُﻈﻬﺮ ﺑﻮﺿﻮﺡ ﻛﻴﻒ ﻗﺪّﺱ ﺍﻟﻘﺪﻣﺎﺀ ﺍﻟﺸﻤﺲ ﻭﻋﻈﻤﻮﻫﺎ."""
Ushiromiya Battler,"""ﻟﻘﺪ ﻓﻬﻤﺖ. ﻭﻣﺎﺫﺍ ﻋﻦ ﺍﻟﺴﺎﺣﺮﺍﺕ؟ ﻣﺎ ﻋﻼﻗﺔ ﻫﺬﺍ ﺑﻬﻦ؟"""
,ﻳﺒﺪﻭ ﺃﻥ ﺇﻟﺤﺎﺣﻲ ﺍﻟﻌﻔﻮﻱ ﺃﻏﻀﺐ ﻣﺎﺭﻳﺎ ﻗﻠﻴﻼً.
, ﺣﺪّﻗﺖ ﺑﻲ ﻣﺎﺭﻳﺎ ﺑﻨﻈﺮﺓٍ ﺣﺎﺩّﺓ، ﻛﺄﻧﻬﺎ ﺗﻄﻠﺐ ﻣﻨﻲ ﺃﻥ ﺃﺻﻤﺖ ﻭﺃﺗﺮﻛﻬﺎ ﺗﺸﺮﺡ ﺩﻭﻥ ﻣﻘﺎﻃﻌﺔ.
,......ﺑﺪﺕ ﻣﺎﺭﻳﺎ ﻣﺴﺘﻤﺘﻌﺔً ﺑﺎﻟﺸﺮﺡ، ﻟﺬﺍ ﻗﺮﺭﺕ ﺃﻻ ﺃﻗﺎﻃﻌﻬﺎ...
Ushiromiya Maria,"""ﺑﻴﻦ ﺃﻛﺘﻮﺑﺮ ﻭﻧﻮﻓﻤﺒﺮ، ﻳﻜﻮﻥ ﺍﻟﻤﻮﺕ ﻭﺍﻟﺤﻴﺎﺓ ﻓﻲ ﺃﻗﺮﺏ ﻧﻘﻄﺔ ﻣﻦ ﺑﻌﻀﻬﻤﺎ. ﻭﻗﺪ ﺁﻣﻦ ﺍﻟﺴﻠﺘﻴﻮﻥ ﺃﻥَّ ﻋﺎﻟﻢ ﺍﻷﺣﻴﺎﺀ ﻓﻲ ﻫﺬﺍ ﺍﻟﻤﻮﺳﻢ ﻳﻘﺘﺮﺏ ﻟﻠﻐﺎﻳﺔ ﻣﻦ ﻋﺎﻟﻢ ﺍﻟﻤﻮﺕ ﻭﺍﻟﻜﺎﺋﻨﺎﺕ ﺍﻟﺨﺎﺭﻗﺔ، ﻭﺃﻥ ﺳﻜﺎﻥ ﺍﻟﻌﺎﻟﻢ ﺍﻟﺴﻔﻠﻲ ﻳﺨﺮﺟﻮﻥ ﻟﺰﻳﺎﺭﺓ ﻋﺎﻟﻤﻨﺎ ﻫﺬﺍ."""
Ushiromiya Maria,"""......ﺇﻧﻪ ﻳﺸﺒﻪ ﻣﻬﺮﺟﺎﻥ ﺍﻟﺒﻮﻥ ﻓﻲ ﺍﻟﻴﺎﺑﺎﻥ. ﻛﻴﻬﻴﻬﻴﻬﻴﻬﻴﻬﻲ."""
,ﻓﻲ ﺗﻠﻚ ﺍﻟﻔﺘﺮﺓ، ﺍﻋﺘﻘﺪ ﺍﻟﻨﺎﺱ ﺃﻥ ﺍﻷﺭﻭﺍﺡ ﺍﻟﻌﺎﺋﺪﺓ ﺇﻟﻰ ﻋﺎﻟﻢ ﺍﻷﺣﻴﺎﺀ ﺗﺪﺧﻞ ﺍﻟﻤﻨﺎﺯﻝ ﺃﻭ ﺗﺴﻴﻄﺮ ﻋﻠﻰ ﺍﻷﺷﺨﺎﺹ ﻟﺘﺪﻓﻌﻬﻢ ﻻﺭﺗﻜﺎﺏ ﺃﻓﻌﺎﻝٍ ﺷﺮﻳﺮﺓ.
,ﻭﻟﻜﻲ ﻳﺘﺠﻨﺒﻮﺍ ﺍﻷﺫﻯ ﻣﻨﻬﺎ، ﺍﺑﺘﻜﺮﻭﺍ ﻃﺮﻗًﺎ ﻟﺤﻤﺎﻳﺔ ﺃﻧﻔﺴﻬﻢ.
,ﻭﻣﻦ ﺑﻴﻦ ﺗﻠﻚ ﺍﻟﻄﺮﻕ ﻛﺎﻧﺖ ﺍﻟﺘﻨﻜّﺮ ﻓﻲ ﻫﻴﺌﺔ ﻭﺣﻮﺵٍ ﻣﺮﻋﺒﺔ ﻹﺧﺎﻓﺔ ﺍﻷﺭﻭﺍﺡ، ﻭﺑﺎﻟﺘﺎﻟﻲ ﺣﻤﺎﻳﺘﻬﻢ ﻣﻦ ﺳﻴﻄﺮﺓ ﺍﻷﺭﻭﺍﺡ ﻋﻠﻴﻬﻢ.
Ushiromiya Jessica,"""ﻭﻫﻜﺬﺍ ﺗﺤﻮّﻝ ﻫﺬﺍ ﺍﻟﺘﻘﻠﻴﺪ ﻣﻊ ﺍﻟﺰﻣﻦ ﺇﻟﻰ ﻣﻬﺮﺟﺎﻥ ﻭﺍﺣﺘﻔﺎﻝٍ ﺗﻨﻜﺮﻱ. ...ﻣﺎﺭﻳﺎ ﺗﻌﺮﻑ ﺍﻟﻜﺜﻴﺮ ﺣﻘًﺎ!"""
Ushiromiya Hideyoshi,"""......ﺻﺪﻗﺖِ ﺍﻟﻘﻮﻝ. ﺣﺘﻰ ﺃﻧﺎ ﻟﻢ ﺃﻛﻦ ﺃﻋﺮﻑ ﺃﻥ ﻟﻠﻬﺎﻟﻮﻳﻦ ﺗﺎﺭﻳﺨًﺎ ﻛﻬﺬﺍ."""
Ushiromiya Rudolf,"""ﻭﻟﻜﻦ، ﻣﻦ ﺃﻳﻦ ﺟﺎﺀﺕ ﻋﺎﺩﺓ »ﺣﻠﻮﻯ ﺃﻡ ﺧﺪﻋﺔ« ﺇﺫًﺍ؟"""
,ﻛﺎﻧﺖ ﻣﻌﺮﻓﺔ ﻣﺎﺭﻳﺎ ﻋﻤﻴﻘﺔً ﻟﺪﺭﺟﺔ ﺃﻥ ﺍﻟﻜﺒﺎﺭ ﺑﺪﺅﻭﺍ ﻳﺴﺘﻤﻌﻮﻥ ﺇﻟﻴﻬﺎ ﺑﺎﻫﺘﻤﺎﻡ ﺃﻳﻀًﺎ. ﻣﺎﺭﻳﺎ، ﺍﻟﺘﻲ ﺍﻋﺘﺎﺩ ﺍﻟﺠﻤﻴﻊ ﻣﻌﺎﻣﻠﺘﻬﺎ ﺩﺍﺋﻤًﺎ ﻛﺼﻐﻴﺮﺓ ﺍﻟﻌﺎﺋﻠﺔ، ﻧﻔﺨﺖ ﺻﺪﺭﻫﺎ ﺑﺰﻫﻮٍ ﻭﻓﺨﺮ.
,ﺣﺎﻭﻟﺖ ﺭﻭﺯﺍ ﺃﻥ ﺗﻘﻮﻝ ﺇﻥ ﻫﺬﻩ ﻣﺠﺮﺩ ﺣﻜﺎﻳﺔ ﺃﻃﻔﺎﻝ، ﻭﺇﻥ ﻋﻠﻴﻬﻢ ﺍﻹﺳﺮﺍﻉ ﺑﻮﺿﻊ ﺃﻣﺘﻌﺘﻬﻢ ﻓﻲ ﺑﻴﺖ ﺍﻟﻀﻴﺎﻓﺔ ﺑﺪﻻً ﻣﻦ ﺍﻟﻮﻗﻮﻑ ﻫﻜﺬﺍ، ﻟﻜﻦ ﻟﻢ ﻳﺴﺘﺠﺐ ﻟﻬﺎ ﺃﺣﺪ، ﻓﺘﻨﻬﺪﺕ ﺑﻘﻮﺓ.
Ushiromiya Maria,"""ﺃﻭﻭ. ﺣﻠﻮﻯ ﺃﻡ ﺧﺪﻋﺔ ﻟﻴﺴﺖ ﺳﻮﻯ ﻟﻌﺒﺔٍ ﻟﻠﺘﺴﻠﻴﺔ. ﻟﻴﺲ ﻟﻬﺎ ﻋﻼﻗﺔ ﺑﺎﻟﻤﺮﺍﺳﻢ ﺍﻟﺴﻠﺘﻴﺔ ﺍﻷﺻﻠﻴﺔ، ﺑﻞ ﻇﻬﺮﺕ ﻻﺣﻘًﺎ ﺑﻌﺪ ﺃﻥ ﺍﻣﺘﺰﺟﺖ ﺑﺎﻟﺘﻘﺎﻟﻴﺪ ﺍﻟﻤﺴﻴﺤﻴﺔ. ...ﻟﻜﻨﻨﻲ ﺃﻋﺘﻘﺪ ﺃﻥ ﺍﻟﻬﺎﻟﻮﻳﻦ ﻳﻨﺒﻐﻲ ﺃﻥ ﻳﻜﻮﻥ ﻫﻜﺬﺍ."""
,ﻭﻓﻘًﺎ ﻟﻤﺎ ﻗﺎﻟﺘﻪ ﻣﺎﺭﻳﺎ، ﻓﺈﻥ ﺃﺭﻭﺍﺡ ﺍﻟﻤﻮﺗﻰ ﻟﻢ ﺗﻜﻦ ﺍﻟﻮﺣﻴﺪﺓ ﺍﻟﺘﻲ ﺗﺄﺗﻲ ﻣﻦ ﻋﺎﻟﻢ ﻣﺎ ﻭﺭﺍﺀ ﺍﻟﺒﺸﺮ؛ ﺑﻞ ﻛﺎﻧﺖ ﻫﻨﺎﻙ ﺃﻳﻀًﺎ ﺃﺭﻭﺍﺡ ﺃﺧﺮﻯ ﺗﺮﺗﺒﻂ ﺍﺭﺗﺒﺎﻃًﺎ ﻭﺛﻴﻘًﺎ ﺑﺤﻴﺎﺓ ﺍﻟﻨﺎﺱ.
,ﻭﺑﻔﻀﻞ ﻣﺎ ﻳﻨﺎﻟﻪ ﺍﻟﺒﺸﺮ ﻣﻦ ﺭﻋﺎﻳﺔ ﺗﻠﻚ ﺍﻷﺭﻭﺍﺡ، ﻳﺤﻈﻮﻥ ﺑﻨﻌﻤﺔٍ ﻭﺍﻓﺮﺓ، ﻭﻳﺠﻨﻮﻥ ﻣﺤﺼﻮﻻً ﻃﻴﺒًﺎ ﻳﻜﻔﻲ ﻋﺎﻣًﺎ ﻛﺎﻣﻼً.
Ushiromiya Jessica,"""ﺇﺫًﺍ، ﺑﻌﺒﺎﺭﺓ ﺃﺧﺮﻯ، ﻛﺎﻥ ﺍﻟﻬﺎﻟﻮﻳﻦ ﻧﻮﻋًﺎ ﻣﻦ ﺍﺣﺘﻔﺎﻝ ﺍﻟﺤﺼﺎﺩ ﺃﻳﻀًﺎ؟"""
Ushiromiya Battler,""" ﻟﻘﺪ ﻓﻬﻤﺖ. ...ﺍﻵﻥ ﻭﻗﺪ ﺫﻛﺮﺕِ ﻫﺬﺍ، ﺃﺷﻌﺮ ﺑﺄﻥ ﺃﻛﺘﻮﺑﺮ ﻫﻮ ﻧﻘﻄﺔ ﺗﺤﻮّﻝ ﻣﻦ ﻋﺪﺓ ﻧﻮﺍﺣﻲ، ﺣﺘﻰ ﻓﻲ ﺗﻐﻴّﺮ ﺍﻟﻤﻮﺍﺳﻢ. ﺇﻧﻪ ﻓﻲ ﺍﻟﺠﺎﻧﺐ ﺍﻟﻤﻘﺎﺑﻞ ﺗﻤﺎﻣًﺎ ﻟﺸﻬﺮ ﺃﺑﺮﻳﻞ ﻓﻲ ﺍﻟﻴﺎﺑﺎﻥ. ...ﺃﺟﻞ، ﻗﺪ ﻳﻜﻮﻥ ﻫﺬﺍ ﺃﻓﻀﻞ ﻭﻗﺖ ﻟﻼﺣﺘﻔﺎﻝ."""
Ushiromiya Maria,"""ﺃﻭﻭ! ﻭﺃﻳﻀًﺎ، ﻓﻲ ﺫﻟﻚ ﺍﻟﻮﻗﺖ ﺗﻌﻘﺪ ﺍﻟﺴﺎﺣﺮﺍﺕ ﺍﺟﺘﻤﺎﻋًﺎ ﺳﺮﻳًﺎ ﻳُﺴﻤّﻰ ﺑﺎﻟﺴﺒﺖ. ﺗﺠﺘﻤﻊ ﺍﻟﺴﺎﺣﺮﺍﺕ ﻓﻴﻪ ﻟﺘﻘﺪﻳﻢ ﺍﻟﺸﻜﺮ ﺇﻟﻰ ﺍﻷﺭﻭﺍﺡ ﺍﻟﺘﻲ ﺗﻤﻨﺤﻬﻢ ﺑﺮﻛﺎﺕ ﺍﻟﺮﺧﺎﺀ، ﻭﻣﻜﺎﻓﺄﺗﻬﺎ."""
Ushiromiya George,"""ﺃﺯﻳﺎﺀ ﺍﻟﻬﺎﻟﻮﻳﻦ ﻫﻲ ﻣﺤﺎﻛﺎﺓ ﻟﺰﻭّﺍﺭ ﻳﺄﺗﻮﻥ ﻣﻦ ﺍﻟﻌﺎﻟﻢ ﺍﻵﺧﺮ. ...ﻟﺬﺍ ﻻﺑﺪ ﺃﻥ ﺍﻟﺴﺒﺐ ﻭﺭﺍﺀ ﺗﻮﺯﻳﻌﻨﺎ ﺍﻟﺤﻠﻮﻯ ﻋﻠﻴﻬﻢ ﻫﻮ ﺷﻌﻮﺭٌ ﺑﺎﻻﻣﺘﻨﺎﻥ، ﻷﻧﻬﻢ ﻣﻨﺤﻮﻧﺎ ﺣﺼﺎﺩ ﺍﻟﻌﺎﻡ."""
