Speaker,Arabic (AR)
Shannon,"""ﻫﺬﺍ ﺻﺤﻴﺢ. ﺃﺗﺬﻛﺮ ﺗﻤﺎﻣًﺎ ﻛﻴﻒ ﻛﺎﻥ ﺑﺎﺗﻠﺮ-ﺳﺎﻣﺎ ﻗﺒﻞ ﺳﺖ ﺳﻨﻮﺍﺕ، ﻟﻜﻨﻨﻲ ﻓﻮﺟﺌﺖ ﺭﻏﻢ ﺫﻟﻚ."""
Ushiromiya Jessica,"""ﺑﺎﻟﻀﺒﻂ. ﺑﺎﻟﻜﺎﺩ ﺃﺻﺪﻕ ﺃﻥ ﻫﺬﺍ ﻫﻮ ﺑﺎﺗﻠﺮ ﺍﻟﺬﻱ ﻋﺮﻓﻨﺎﻩ ﻗﺒﻞ ﺳﺖ ﺳﻨﻮﺍﺕ."""
Ushiromiya Battler,"""ﺃﺩﻫﺸﻨﻲ ﻣﻘﺪﺍﺭ ﻣﺎ ﻳﺘﺬﻛﺮﻩ ﺍﻟﺠﻤﻴﻊ ﻗﺒﻞ ﺳﺖ ﺳﻨﻮﺍﺕ. ﺫﺍﻛﺮﺗﻲ ﻣﺸﻮﺷﺔ ﻛﻠﻴًﺎ."""
Ushiromiya Jessica,"""ﻻ ﻏﺮﺍﺑﺔ. ﻳﺒﺪﻭ ﺃﻧﻚ ﺳﺘﺤﺘﺎﺝ ﻭﻗﺘًﺎ ﺃﻛﺜﺮ ﻟﺘﺴﺘﻌﻴﺪ ﺫﻛﺮﻳﺎﺗﻨﺎ. ﻫﺬﺍ ﻳﺤﺰﻧﻨﺎ ﻗﻠﻴﻼً ﻳﺎ ﻫﺬﺍ"""
Ushiromiya Battler,"""ﻛﻔﺎﻙ ﻫﺮﺍﺀً، ﻟﻘﺪ ﻣﻀﺖ ﺳﺖ ﺳﻨﻮﺍﺕ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟ ﻣﻦ ﺍﻟﺠﻨﻮﻥ ﻣﻄﺎﻟﺒﺘﻲ ﺑﺎﻟﺘﻮﻗﻊ...!"""
Shannon,"""...ﺇﺫًﺍ، ﻟﺴﺖ ﺗﺬﻛﺮ ﺍﻷﺷﻴﺎﺀ ﺍﻟﺘﻲ ﺣﺪﺛﺖ ﻗﺒﻞ ﺳﺖ ﺳﻨﻮﺍﺕ ﺑﺸﻜﻞ ﺟﻴﺪ؟ ﺃﻧﺎ ﺃﺗﺬﻛﺮﻫﺎ ﺑﻮﺿﻮﺡ ﻛﻤﺎ ﻟﻮ ﻛﺎﻧﺖ ﺍﻟﺒﺎﺭﺣﺔ..."""
Ushiromiya George,"""ﻷﻥ ﺫﺍﻛﺮﺗﻚ ﻗﻮﻳﺔ ﻳﺎ ﺷﺎﻧﻮﻥ. ﺃﺭﺍﻫﻦ ﺃﻧﻚ ﺗﺬﻛﺮﻳﻦ ﺟﻴﺪًﺍ ﻣﺎ ﻗﺎﻟﻪ ﻭﻓﻌﻠﻪ ﺑﺎﺗﻠﺮ-ﻛﻦ ﺁﻧﺬﺍﻙ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟"""
Ushiromiya Jessica,"""ﻫﺬﺍ ﺻﺤﻴﺢٌ ﺑﺎﻟﻔﻌﻞ. ﻓﺬﺍﻛﺮﺓ ﺷﺎﻧﻮﻥ ﻣﺬﻫﻠﺔ ﺑﺸﻜﻞ ﻏﻴﺮ ﻣﺘﻮﻗﻊ."""
Ushiromiya Maria,"""ﺃﻭﻭ. ﻣﺎﺭﻳﺎ ﺳﻴﺌﺔ ﻓﻲ ﺍﻟﺘﺬﻛﺮ. ﺃﺫﻛﺮ ﺍﻟﻤﻤﺘﻊ ﺟﻴﺪًﺍ، ﻟﻜﻨﻨﻲ ﺃﻧﺴﻰ ﺍﻟﻤﻤﻞ. ﺃﻭﻭ."""
,ﺿﺤﻜﻨﺎ ﺟﻤﻴﻌًﺎ، ﻣﺘﻔﻘﻴﻦ ﺃﻥ ﻫﺬﺍ ﺷﺄﻥ ﺍﻟﺠﻤﻴﻊ.
Ushiromiya Jessica,"""ﺷﺎﻧﻮﻥ. ﺑﺎﻟﻤﻨﺎﺳﺒﺔ، ﻛﻴﻒ ﻛﺎﻥ ﺑﺎﺗﻠﺮ ﻗﺒﻞ ﺳﺖ ﺳﻨﻮﺍﺕ؟ ﻫﻞ ﺗﺘﺬﻛﺮﻳﻦ ﺃﻱ ﺣﻠﻘﺎﺕٍ ﺷﻴﻘﺔ؟"""
Shannon,"""ﺩﻋﻴﻨﻲ ﺃﺗﺬﻛﺮ... ......ﺃﺟﺰﻡ ﺃﻧﻪ ﻗﺎﻝ ﺷﻴﺌًﺎ ﻛﻬﺬﺍ ﻋﻨﺪ ﻣﻐﺎﺩﺭﺗﻪ. 'ﺳﻮﻑ ﺃﻋﻮﺩ ﻣﺠﺪﺩًﺍ، <ﺇﻟﻰ ﺍﻟﻠﻘﺎﺀ ﺍﻟﻘﺮﻳﺐ>. ﺳﺄﻋﻮﺩ ﺇﻟﻴﻚِ ﺍﻟﻤﺮﺓَ ﺍﻟﻘﺎﺩﻣﺔ ﻋﻠﻰ ﺣﺼﺎﻥٍ ﺃﺑﻴﺾ.'"""
Ushiromiya Battler,"""ﻏﻴﺂﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﺁﻩ، ﻛﻼﺍﺍﺍﺍﺍﺍ، ﻫﺬﺍ ﻣﺤﺮﺝٌ ﺟﺪًﺍ!!!!!"""
Ushiromiya Jessica,"""ﻛﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎ!!"""
Ushiromiya Jessica,"""ﺃﺭﺍﻫﻦ ﺃﻧﻪ ﻗﺎﻟﻬﺎ، ﺃﺭﺍﻫﻦ ﺃﻧﻪ ﻗﺎﻟﻬﺎ! ﻫﻜﺬﺍ ﻛﺎﻥ ﺗﻤﺎﻣًﺎ ﻗﺒﻞ ﺳﺖ ﺳﻨﻮﺍﺕ، ﺩﺍﺋﻤًﺎ ﻣﺎ ﻳﺘﻔﻮﻩ ﺑﻌﺒﺎﺭﺍﺕ ﺳﺨﻴﻔﺔ ﻛﻬﺬﻩ!"""
Ushiromiya Jessica,"""ﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎ!!"""
Ushiromiya George,"""ﻫﺎﻫﺎﻫﺎﻫﺎ. ﻳﺒﺪﻭ ﺣﻘًﺎ ﻛﺸﻲﺀ ﻛﺎﻥ ﺑﺎﺗﻠﺮ-ﻛﻦ ﻟﻴﻘﻮﻟﻪ ﺁﻧﺬﺍﻙ."""
Ushiromiya Maria,"""ﺃﻭﻭ. ﻣﺤﺮﺝ؟ ﻫﻞ ﻫﺬﺍ ﻣﺤﺮﺝٌ ﺣﻘًﺎ؟"""
Ushiromiya Battler,"""......ﻧﻌﻢ. ﻣﺤﺮﺝٌ ﻟﻠﻐﺎﻳﺔ..."""
Ushiromiya Battler,"""ﺍﺳﻤﻌﻲ ﻳﺎ ﻣﺎﺭﻳﺎ، ﺃﻧﺎ ﻣﺘﺄﻛﺪ ﻣﻦ ﺭﻏﺒﺘﻚ ﻓﻲ ﻗﻮﻝ ﺃﺷﻴﺎﺀ ﻣﺤﺮﺟﺔ ﻛﻬﺬﻩ ﻋﻨﺪﻣﺎ ﺗﺼﻠﻴﻦ ﻟﻠﻤﺪﺭﺳﺔ ﺍﻟﻤﺘﻮﺳﻄﺔ... ﻋﻨﺪﻣﺎ ﻳﺤﺪﺙ ﺫﻟﻚ، ﺗﺄﻛﺪﻱ ﻣﻦ ﻛﺘﺎﺑﺘﻚ ﻟﻬﺎ ﻓﻲ ﻭﺭﻗﺔ ﻭﻗﺮﺍﺀﺗﻬﺎ ﺛﻼﺙ ﻣﺮﺍﺕ ﻗﺒﻞ ﺃﻥ ﺗﻘﺮﺭﻱ ﻗﻮﻟﻬﺎ ﺟﻬﺮًﺍ. ﺇﻥ ﻟﻢ ﺗﻔﻌﻠﻲ، ﻓﺴﺘﻨﺪﻣﻴﻦ ﺑﺎﻟﺘﺄﻛﻴﺪ..."""
Ushiromiya Battler,"""ﻭﻣﻊ ﺫﻟﻚ، ﻋﻠﻰ ﺍﻟﺠﻤﻴﻊ ﺃﻥ ﻳﻤﺮ ﺑﺘﻠﻚ ﺍﻟﻔﺘﺮﺓ ﺍﻟﻤﺆﻟﻤﺔ... ﻫﻜﺬﺍ ﺗﺘﻌﻠﻢ ﻣﻜﺎﻧﺘﻚ، ﺗُﺤﺮﺝ ﻧﻔﺴﻚ ﺣﺘﻰ ﻳﻨﻀﺞ ﻓﻜﺮﻙ. ﻧﻌﻢ، ﺇﻧﻬﺎ ﺇﺣﺪﻯ ﺗﻠﻚ ﺍﻷﺷﻴﺎﺀ ﺍﻟﺤﻠﻮﺓ ﺍﻟﻤﺮﺓ ﺍﻟﺘﻲ ﻳﻔﻌﻠﻬﺎ ﺍﻟﺠﻤﻴﻊ ﻓﻲ ﻣﺮﺣﻠﺔ ﺍﻟﻤﺮﺍﻫﻘﺔ ﺃﺛﻨﺎﺀ ﺍﻧﺘﻘﺎﻟﻬﻢ ﺇﻟﻰ ﻣﺮﺣﻠﺔ ﺍﻟﺒﻠﻮﻍ، ...ﺁﺁﺁﺁﺁﺁﺁﺭﻩ."""
,ﻛﻤﺎ ﺗﺮﻭﻥ، ﺃﻣﻴﻞ ﺇﻟﻰ ﺗﺮﻙ ﻓﻤﻲ ﻳﻨﻔﺠﺮ ﺣﺪﻳﺜًﺎ ﺩﻭﻥ ﺍﻟﺘﻔﻜﻴﺮ ﻣﻠﻴًﺎ، ﻟﺬﻟﻚ ﻻ ﺃﺗﺬﻛﺮ ﻛﻞ ﺍﻟﺘﻔﺎﺻﻴﻞ ﺍﻟﺘﻲ ﻗﻠﺘﻬﺎ.
,ﻟﻜﻦ ﻋﻨﺪﻣﺎ ﻳﺘﻢ ﺗﺬﻛﻴﺮﻱ ﺑﺘﻠﻚ ﺍﻟﻜﻠﻤﺎﺕ ﻻﺣﻘًﺎ، ﺩﺍﺋﻤًﺎ ﻣﺎ ﺗﻜﻮﻥ ﺷﻴﺌًﺎ ﻣﺤﺮﺟًﺎ ﻟﻠﻐﺎﻳﺔ.
,ﻓﻲ ﺍﻟﺴﻨﻮﺍﺕ ﺍﻷﺧﻴﺮﺓ، ﺑﺪﺃﺕ ﺃﺳﺘﻮﻋﺐ ﻧﻘﻄﺔ ﺍﻟﻀﻌﻒ ﻫﺬﻩ، ﻭﻋﻤﻠﺖ ﺟﺎﻫﺪًﺍ ﻟﻀﺒﻂ ﻣﺜﻞ ﻫﺬﻩ ﺍﻻﻧﻔﺠﺎﺭﺍﺕ ﺍﻟﻄﺎﺋﺸﺔ، ﻟﻜﻦ...
,ﺃﻋﺘﻘﺪ ﺃﻧﻨﻲ ﻭﻟﺪﺕ ﻣﻊ ﻋﺎﺩﺓ ﺍﻟﺘﺤﺪﺙ ﺩﻭﻥ ﺗﻔﻜﻴﺮ، ﻭﻻ ﺃﺳﺘﻄﻴﻊ ﻓﻌﻞ ﺃﻱ ﺷﻲﺀ ﺣﻴﺎﻝ ﺫﻟﻚ.
Ushiromiya Jessica,"""ﺷﺎﻧﻮﻭﻭﻥ، ﺃﻻ ﺗﺬﻛﺮﻳﻦ ﺃﻣﻮﺭًﺍ ﻣﺤﺮﺟﺔ ﺃﺧﺮﻯ؟"""
Shannon,"""ﻧﻌﻢ ﺣﺴﻨًﺎ... ﺃﺗﺬﻛﺮ ﺑﻌﻀًﺎ ﻣﻨﻬﺎ، ﻭﻟﻜﻦ...ﺳﺄﻣﺘﻨﻊ ﻋﻦ ﻗﻮﻝ ﺍﻟﻤﺰﻳﺪ ﺑﻤﺎ ﺃﻥ ﺍﻟﺸﺨﺺ ﺍﻟﻤﻌﻨﻲ ﺑﻬﺎ ﻳﺮﻳﺪ ﻧﺴﻴﺎﻧﻬﺎ..."""
Ushiromiya Battler,"""ﺑﺼﺮﺍﺣﺔ، ﻻ ﺃﺫﻛﺮ ﺷﻴﺌًﺎ ﺁﺁﺁﺧﺮ. ﻟﺬﺍ ﺃﺭﺟﻮﻙِ ﻻ ﺗﺬﻛﺮﻳـــــﻨﻲ."""
Ushiromiya Maria,"""...ﺃﻭﻭ. ﺷﺎﻧﻮﻥ ﺗﺘﻨﻤﺮ ﻋﻠﻰ ﺑﺎﺗﻠﺮ...؟ ﺃﻭﻭ. ﺳﻲﺀ. ﺍﻟﺘﻨﻤﺮ ﺳﻲﺀ."""
Ushiromiya George,"""ﻫﺎﻫﺎﻫﺎﻫﺎ، ﻟﻴﺴﺖ ﺗﺘﻨﻤﺮ ﻋﻠﻴﻪ ﺣﻘًﺎ. ﻓﻠﻨﺘﻮﻗﻒ ﻫﻨﺎ، ﺣﺴﻨًﺎ؟"
Ushiromiya George,"""ﻟﻜﻦ ﺷﺎﻧﻮﻥ، ﺳﻴﺘﻌﻴﻦ ﻋﻠﻴﻚ ﺇﺧﺒﺎﺭﻱ ﺑﻜﻞ ﺷﻲﺀ ﻳﻮﻣًﺎ ﻣﺎ ﻋﻨﺪﻣﺎ ﻻ ﻳﻜﻮﻥ ﺑﺎﺗﻠﺮ-ﻛﻦ ﻣﻮﺟﻮﺩًﺍ. ﺃﻧﺎ ﻣﺘﺤﻤﺲٌ ﻟﻠﻐﺎﻳﺔ ﻷﺳﻤﻊ ﺍﻟﺒﺎﻗﻲ."""
Shannon,"""ﻧﻌﻢ، ﺑﺎﻟﺘﺄﻛﻴﺪ."""
Ushiromiya Battler,"""ﻛـ-ﻛﻼ، ﻻ ﻳﻤﻜﻨﻚ ﻳﺎ ﺷﺎﻧﻮﻥ-ﺗﺸﺎ~ﻥ...!"""
,ﻟﺒﻌﺾ ﺍﻟﻮﻗﺖ، ﻇﻞ ﺃﺧﻲ ﺟﻮﺭﺝ ﻳﻀﺎﻳﻘﻨﻲ ﻟﺒﻌﺾ ﺍﻟﻮﻗﺖ ﻣﺘﻈﺎﻫﺮًﺍ ﺑﺴﺆﺍﻝ ﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ ﻋﻦ ﺍﻟﻤﺰﻳﺪ ﻣﻦ ﺯﻻﺗﻲ ﺍﻟﻤﺤﺮﺟﺔ.
,ﻛﺎﻥ ﺃﺧﻲ ﺟﻮﺭﺝ ﻳﻌﺒﺚ ﻣﺘﺤﺎﻟﻔًﺎ ﻣﻊ ﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ، ﻟﻜﻨﻪ ﺑﺪﺍ، ﻛﻴﻒ ﺃﺻﻒ ﺫﻟﻚ، ﺻﺮﻳﺤًﺎ ﻭﻣﻨﻔﺘﺤًﺎ ﻟﻠﻐﺎﻳﺔ.
,ﻛﺎﻥ ﺩﺍﺋﻤًﺎ ﺻﺮﻳﺤًﺎ ﻣﻊ ﺃﺑﻨﺎﺀ ﻋﻤﻮﻣﺘﻪ، ﻟﻜﻨﻪ ﻋﺎﺩﺓً ﻣﺎ ﻳﺘﺨﺬ ﻣﻮﻗﻔًﺎ ﻣﺘﺤﻔﻈًﺎ ﻭﺭﺍﻗﻴًﺎ ﻋﻨﺪﻣﺎ ﻳﺘﻌﺎﻣﻞ ﻣﻊ ﺍﻟﺨﺪﻡ.
,ﻭﻟﻜﻦ ﻋﻨﺪﻣﺎ ﻓﻜﺮﺕ ﻣﻠﻴًﺎ، ﺷﻌﺮﺕ ﻭﻛﺄﻧﻪ ﻛﺎﻥ ﻭﺩﻭﺩًﺍ ﻟﻠﻐﺎﻳﺔ ﻣﻌﻬﺎ، ﻣﻤﺎ ﺃﺛﺎﺭ ﺍﺳﺘﻐﺮﺍﺑﻲ...
,ﺃﺧﺬﺕ ﻣﺎﺭﻳﺎ ﻋﺼﺎ ﻭﺑﺪﺃﺕ ﺗﺨﺮﺑﺶ ﺍﻟﺮﻣﺎﻝ، ﺛﻢ ﺍﻧﻀﻢ ﺇﻟﻴﻬﺎ ﺃﺧﻲ ﺟﻮﺭﺝ ﻭﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ. ﻓﺒﻘﻴﺖُ ﺃﻧﺎ ﻭﺟﻴﺴﻴﻜﺎ ﺟﺎﻧﺒًﺎ، ﻟﺬﻟﻚ ﺳﺄﻟﺘﻬﺎ ﺳﺮًﺍ.
Ushiromiya Battler,"""......ﺃﺭﻳﺪ ﺃﻥ ﺃﺳﺌﻠﻚ ﻳﺎ ﺟﻴﺴﻴﻜﺎ. ﻫﻞ ﺃﺧﻲ ﺟﻮﺭﺝ، ﺃﻣﻢ...... ﻳﻮﺍﻋﺪ ﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ؟"""
Ushiromiya Jessica,"""ﺃﻭﻩ؟ ﻣﺎ ﺍﻟﺬﻱ، ﻛﻴﻒ ﻋﺮﻓﺖ؟! ﻳﺒﺪﻭ ﺃﻥ ﻟﺪﻳﻚ ﻋﻴﻦ ﺛﺎﻗﺒﺔ ﺗﻔﻮﻕ ﺗﺼﻮﺭﻱ ﻋﻨﻚ ﻳﺎ ﺑﺎﺗﻠﺮ!"""
Ushiromiya Battler,"""ﻫﺎﻩ.... ﻣﺎﺍﺍﺍﺍﺍﺍﺍﺍﺍﺫﺍ؟! ﻛﻨﺖُ ﺃﻣﺰﺡ ﻓﻘﻂ !!! ﺃﻫﻤﺎ ﺣﻘًﺎ ﻳﺘﻮﺍﻋﺪﺍﻥ؟!"""
Ushiromiya Jessica,"""ﺷﺸﺸﺶ! ﺃﺧﻔﺾ ﺻﻮﺗﻚ! ...ﻳﺒﺪﻭ ﺃﻧﻬﻤﺎ ﻳﺮﻳﺪﺍﻥ ﺇﺑﻘﺎﺀ ﺍﻷﻣﺮ ﺳﺮًﺍ ﺇﻟﻰ ﺣﻴﻦ، ﻣﻦ ﺍﻷﻓﻀﻞ ﺃﻻ ﻳﻌﺮﻑ ﺃﺣﺪ ﻭﺧﺼﻮﺻًﺎ ﻋﻤﺘﻲ ﺇﻳﻔﺎ."""
Ushiromiya Battler,"""ﻑ-ﻓﻬﻤﺖ... ﻋﻼﻗﺔ ﺣﺐ ﻣﻊ ﺧﺎﺩﻣﺔ..."""
Ushiromiya Battler,"""...ﺃ-ﺃﺟﻞ، ﻟﻜﻦ ﻣﻨﺬ ﻣﺘﻰ؟ ﻳﺎ ﻟﻠﻌﺠﺐ، ﺃﻋﺘﻘﺪ ﺃﻥ ﺍﻟﻜﺜﻴﺮ ﻳﻤﻜﻦ ﺃﻥ ﻳﺤﺪﺙ ﻓﻲ ﻏﻀﻮﻥ ﺳﺖ ﺳﻨﻮﺍﺕ... ﻭﻣﻊ ﻫﺬﺍ، ﺃﺧﻲ ﺟﻮﺭﺝ ﻣﻮﻫﻮﺏ ﺣﻘًﺎ، ﻭﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ ﻃﻴﺒﺔ ﻭﻣﻔﻌﻤﺔ ﺑﺎﻟﻨﺸﺎﻁ... ﻟﺬﺍ ﻫﻤﺎ ﻣﻨﺎﺳﺒﺎﻥ ﻟﺒﻌﻀﻬﻤﺎ ﺣﻘًﺎ."""
,ﻓﻲ ﺍﻟﺤﻘﻴﻘﺔ ﻭ ﻗﺒﻞ ﺳﺖ ﺳﻨﻮﺍﺕ، ﺃﺫﻛﺮ ﺃﻧﻨﻲ ﺍﻧﺠﺬﺑﺖ ﺇﻟﻰ ﺷﺎﻧﻮﻥ ﻗﻠﻴﻼً.
,ﻓﻬﻤﺖ، ﻫﻲ ﺣﻘًﺎ ﺗﻠﻴﻖ ﺑﺄﺧﻲ ﺟﻮﺭﺝ، ﻭﻻ ﻳﻤﻜﻨﻨﻲ ﻓﻌﻞ ﺷﻲﺀ ﺣﻴﺎﻝ ﺫﻟﻚ. ﻭﺩﺍﻋًﺎ، ﻳﺎ ﺣﺒﻲ ﺍﻷﻭﻝ ﺍﻟﻌﺎﺑﺮ ﻣﻨﺬ ﺳﺖ ﺳﻨﻮﺍﺕ...
,...ﻣﻤﺎ ﻳﻌﻨﻲ ﺃﻥ... ﺫﻟﻚ ﺍﻟﻜﻼﻡ ﺍﻟﻤﺤﺮﺝ ﺍﻟﺬﻱ ﻗﺎﻟﺘﻪ ﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ...ﺭﺑﻤﺎ ﻛﺎﻥ ﺫﻭ ﻋﻼﻗﺔ ﺑﺬﻟﻚ ﺍﻟﺤﺐ ﺍﻟﻌﺎﺑﺮ... ﺁﺁﺁﺁﺁﺁﺁﺭﺭﺭﻩ، ﻻ ﻳﻤﻜﻨﻨﻲ ﺗﺤﻤﻞ ﺫﻟﻚ...
Ushiromiya Battler,"""ﻣﻨﺬ ﻣﺘﻰ ﻭﻫﻤﺎ ﻳﺘﻮﺍﻋﺪﺍﻥ؟"""
Ushiromiya Jessica,"""ﻫﺬﺍ ﻳﻌﺘﻤﺪ ﻋﻠﻰ ﻣﺎ ﺗﺴﻤﻴﻪ ﺑﻌﻼﻗﺔ، ﻟﻜﻨﻨﻲ ﺃﻋﺘﻘﺪ ﺃﻧﻪ ﻗﺪ ﻣﻀﻰ ﻋﺎﻡ ﻋﻠﻰ ﺍﻷﻗﻞ. ﻟﻜﻦ ﺇﻥ ﺣﺴﺒﺖَ ﺍﻟﻮﻗﺖ ﻗﺒﻞ ﺃﻥ ﻳﻌﺘﺮﻑ ﺃﺣﺪﻫﻤﺎ ﻟﻶﺧﺮ، ﻓﺴﻴﻜﻮﻥ ﺫﻟﻚ ﻋﺪﺓ ﺳﻨﻮﺍﺕ، ﻋﻠﻰ ﻣﺎ ﺃﻇﻦ."""
,ﺩﻭﻥ ﺃﻥ ﺃﻧﺘﺒﻪ، ﺍﻧﻔﺼﻼ ﻋﻦ ﺍﻟﻤﺠﻤﻮﻋﺔ، ﻭ ﺍﺧﺬﺍ ﻳﺘﺠﻮﻻﻥ ﻋﻠﻰ ﺍﻟﺸﺎﻃﺊ، ﻭﻳﺘﺤﺎﺩﺛﺎﻥ ﻋﻦ ﺷﻲﺀ ﻣﺎ.
,...ﺑﺪﺕ ﻋﻠﻴﻬﻤﺎ ﺍﻟﺴﻜﻴﻨﺔ، ﻟﻢ ﺗﻜﻦ ﻋﻼﻗﺔ ﻋﻔﻮﻳﺔ ﺑﻴﻦ ﺣﺒﻴﺒﻴﻦ، ﺑﻞ ﺑﺪﺕ ﻋﻼﻗﺔ ﻣﻠﺆﻫﺎ ﺍﻟﺠﺪﻳﺔ، ﻛﻤﺎ ﻟﻮ ﻛﺎﻧﺎ ﻣﺨﻄﻮﺑﻴﻦ ﺃﺳﺎﺳًﺎ.
Ushiromiya Battler,"""...ﺳﺖ ﺳﻨﻮﺍﺕ... ﻫﺬﺍ ﻭﻗﺖ ﻃﻮﻳﻞٌ ﺟﺪًﺍ""."
