Speaker,Arabic (AR)
,...ﺍﻟﺴﺎﺣﺮﺓ...ﻣﻦ ﺍﻟﻠﻮﺣﺔ.
,ﻛﺎﻧﺖ ﺗﺒﺪﻭ ﻭﻛﺄﻧﻬﺎ ﺗﺨﻮﺽ ﺣﺪﻳﺜًﺎ ﻣﻦ ﻃﺮﻑ ﻭﺍﺣﺪ.
, ﻛﺎﻧﺖ ﻋﻠﻰ ﺍﻷﻏﻠﺐ ﺗﺘﺤﺪﺙ ﺇﻟﻰ ﺭﻭﺯﺍ، ﻟﻜﻦ ﺫﻫﻦ ﺭﻭﺯﺍ ﻛﺎﻥ ﻏﺎﺭﻗًﺎ ﻓﻲ ﺿﺒﺎﺏ ﻛﺜﻴﻒ، ﻓﻠﻢ ﺗﺴﺘﻄﻊ ﺃﻥ ﺗﺪﺭﻙ ﺷﻴﺌًﺎ ﻣﻤﺎ ﻳُﻘﺎﻝ...
{f:5:Beatrice},"""......ﻻ ﺑﺄﺱ ﺑﺄﻱ ﺷﻲﺀ. ﻳﻤﻜﻨﻨﻲ ﻣﻨﺤﻚِ ﻛﻞ ﺷﻲﺀٍ ﺗﺮﻳﺪﻳﻨﻪ ﻣﻬﻤﺎ ﻛﺎﻥ. ﺃﻋﺘﺒﺮﻳﻬﺎ ﻣﻜﺎﻓﺄﺓٍ ﻟﻚِ ﻋﻠﻰ ﺣﻈّﻚ ﺍﻟﺤَﺴَﻦ، ﺃﻭ ﺻﻔﻘﺔ ﻋﺎﺩﻟﺔ ﻣﻘﺎﺑﻞ ﻣﻄﺎﻟﺒﻲ."""
{f:5:Beatrice},"""ﻗﺪ ﻻ ﻳﻜﻮﻥ ﺍﻷﻣﺮ ﺫﺍ ﻗﻴﻤﺔ ﻛﺒﻴﺮﺓ ﺑﺎﻟﻨﺴﺒﺔ ﻟﻚِ. ﻟﻜﻦ ﻫﻜﺬﺍ ﺗﻜﻮﻥ ﺃﻫﻤﻴﺔ ﻫﺬﻩ ﺍﻟﺼﻔﻘﺔ ﺑﺎﻟﻨﺴﺒﺔ ﻟﻲ."""
,...........ﻣﺎ ﺍﻟﺬﻱ...ﺗﺘﺤﺪﺙ ﻋﻨﻪ؟
,...ﻻ ﺃﻋﻠﻢ، ﻻ ﺃﻋﻠﻢ...
{f:5:Beatrice},"""ﻓﻘﻂ... ﻭﺑﻤﺎ ﺃﻧﻨﻲ {i:ﺃﻧﺎ} ﺳﺎﺣﺮﺓ،"" ﺃﻋﺘﻘﺪ ﺃﻧﻪ ﻣﻦ ﺍﻟﺤﻜﻤﺔ ﺃﻥ ﺗﻄﻠﺒﻲ ﺷﻴﺌًﺎ ﻻ ﻳﻤﻜﻦ ﺇﻻ ﻟﺴﺎﺣﺮﺓ ﺃﻥ ﺗﻤﻨﺤﻪ."""
{f:5:Beatrice},"""ﺃﻟﻴﺴﺖ ﻫﺬﻩ ﻓﺮﺻﺔ ﺍﻟﻌﻤﺮ؟  ﺃﻥ ﺗﺘﻠﻘﻲ ﺧﺪﻣﺔَ ﻣﻨﻲ ﺃﻧﺎ {f:7:ﺑﻴﺎﺗﺮﻳﺲ} ﺍﻟﺬﻫﺒﻴﺔ."" *ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*!"""
Ushiromiya Rosa,"""........................ﺁﻩ..."""
,ﺑﺪﺃﺕ ﺭﻭﺯﺍ ﺃﺧﻴﺮﺍً ﺗﺸﻌﺮ ﺑﺘﺪﻓﻖ ﺍﻟﺪﻡ ﻓﻲ ﺟﺴﺪﻫﺎ.{n}... ﻛﺎﻧﺖ ﺣﺮﻛﺎﺗﻬﺎ ﻣﺎ ﺯﺍﻟﺖ ﺑﻄﻴﺌﺔ، ﻭﻟﻢ ﺗﺴﺘﻄﻊ ﺣﺘﻰ ﺃﻥ ﺗﻨﻄﻖ ﺑﺎﻟﻜﻠﻤﺎﺕ ﺍﻟﺘﻲ ﻛﺎﻧﺖ ﺗﺪﻭﺭ ﻓﻲ ﺫﻫﻨﻬﺎ.
{f:5:Beatrice},""" ﻳُﻄﻠﻘﻮﻥ ﻋﻠﻲّ ﺍﺳﻢ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺬﻫﺒﻴﺔ. ﻟﻴﺲ ﺻﻌﺒًﺎ ﻋﻠﻲ ﺃﻥ ﺃﻫﺒﻚِ ﺟﺒﻼَ ﻣﻦ ﺍﻟﺬﻫﺐ، ﻣﺜﻞ ﺍﻟﺬﻱ ﻭﻫﺒﺖُ ﻟﻜﻴﻨﺰﻭ. ... ﻓﺒﻌﺪ ﻛﻞ ﺷﻲﺀ ﻛﻞ ﻟﺬﺓ ﻓﻲ ﻋﺎﻟﻢ ﺍﻟﺒﺸﺮ ﻳﻤﻜﻦ ﺗﺤﻘﻴﻘﻬﺎ ﻣﻦ ﺧﻼﻝ ﺍﻟﻤﺎﻝ. ﺑﻌﺒﺎﺭﺓ ﺃﺧﺮﻯ.. ﺍﻟﺬﻫﺐ ﻫﻮ ﻣﻠﺬﺓ ﺍﻟﺒﺸﺮ."""
{f:5:Beatrice},""" ﺗﺨﻴﻠﻲ ﻣﻌﻲ. ﺟﺒﻞٌ ﻣﻦ ﺍﻟﺬﻫﺐ ﻻ ﻳﻨﻔﺬ ﻣﻨﻚ ﻃﺎﻟﻤﺎ ﺍﻧﺖِ ﺣﻴﻪ."""
,ﻧﻔﺜﺖ ﺍﻟﺴﺎﺣﺮﺓ ﻓﻲ ﻏﻠﻴﻮﻧﻬﺎ، ﻓﻐﻄﻰ ﺍﻟﻤﻜﺎﻥ ﺑﺪﺧﺎﻥٍ ﻣﻦ ﺳﺒﻊ ﺍﻟﻮﺍﻥ.
,ﻭﻋﻨﺪﻣﺎ ﻓﻌﻠﺖ ﺫﻟﻚ ﻣﻸ ﺩﺍﺧﻞ ﻏﺮﻓﺔ ﺍﻟﻤﻌﻴﺸﺔ ﻓﺠﺄﺓَ ﺃﻛﻮﺍﻡ ﻣﻦ ﺍﻟﺴﺒﺎﺋﻚ ﺍﻟﺬﻫﺒﻴﺔ.
,ﺑﺪﺕ ﻭﻛﺄﻧﻬﺎ ﺟﺪﺍﺭ ﻣﻦ ﺍﻟﺬﻫﺐ ﺍﻟﻼﻣﻊ.
,... ﺇﺫﺍ ﻛﺎﻧﺖ ﻛﻞ ﺳﺒﻴﻜﺔ ﺗﺴﺎﻭﻱ ﻋﺸﺮﺍﺕ ﺍﻟﻤﻼﻳﻴﻦ ﻣﻦ ﺍﻟﻴﻦ، ﻓﻜﻢ ﺳﻴﺒﻠﻎ ﻗﻴﻤﺔ ﻛﻞ ﻫﺬﺍ؟
,ﺑﺪﺕ ﻣﺤﺎﻭﻟﺔ ﺍﻟﺘﻔﻜﻴﺮ ﺑﺬﻟﻚ ﺍﻟﺮﻗﻢ ﺧﺎﻃﺌﺔ ﻭﻛﺄﻧﻬﺎ ﺧﻄﻴﺌﺔ.
{f:5:Beatrice},"""......ﻟﻜﻨﻨﻲ ﺃﻋﻠﻢ ﺃﻥ ﻋﺎﻟﻢ ﺍﻟﺒﺸﺮ ﻗﺎﺳﻲ. ﻭﺃﻋﻠﻢ ﺃﻥ ﻫﻨﺎﻙ ﺃﺷﻴﺎﺀ ﻻ ﻳﻤﻜﻦ ﺗﺤﻘﻴﻘﻬﺎ ﻭﻟﻮ ﺑﺠﺒﻞٍ ﻣﻦ ﺍﻟﺬﻫﺐ ﺷﺎﻣﺦ ﻳﻼﻣﺲ ﺍﻟﺴﻤﺎﺀ.. ﺃﻋﻠﻢ ﺃﻥ ﻫﻨﺎﻙ ﺷﻘﻮﻗًﺎ ﻻ ﻳﻤﻜﻦ ﺳﺪﻫﺎ."""
{f:5:Beatrice},"""ﻟﻦ ﺃﺳﺘﺨﻒ ﺑﺬﻟﻚ ﻭﺑﻞ ﺍﻟﺤﻘﻴﻘﺔ ﺃﻧّﻲ ﺃﻋﺘﻘﺪ ﺃﻧﻬﺎ ﻫﺪﻳﺔ ﻟﻦ ﺗﻘﺪﻡ ﺇﻻ ﻣﻦ ﺳﺎﺣﺮﺓٍ ﻣﺜﻠﻲ."""
{f:5:Beatrice},"""......ﻟﻤﺎﺫﺍ ﻻ ﺃﻣﻸ ﺗﻠﻚ ﺍﻟﺸﻘﻮﻕ ﻣﻦ ﺃﺟﻠﻚ؟  ﻣﺎﺭﺃﻳﻚ؟ ﺇﻧﻪ ﺷﻲﺀ ﻻ ﻳﻤﻜﻦ ﺃﻥ ﻳﻬﺒﻪ ﺇﻻ ﺃﻧﺎ. ﻳﺠﺐ ﺃﻥ ﺗﻜﻮﻧﻲ ﺳﻌﻴﺪﺓ ﻟﻠﻐﺎﻳﺔ."""
{f:5:Beatrice},"""..ﻻ ﺣﺎﺟﺔ ﻟﻠﻜﻼﻡ.  ﻳﻤﻜﻨﻨﻲ ﺃﻥ ﺃﺭﻯ ﺍﻷﻟﻢ ﻓﻲ ﻗﻠﺒﻚ ﻣﻦ ﺧﻼﻝ ﻣﻼﻣﺤﻚ، *ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*!"""
,ﺷﻌﺮﺕ ﺭﻭﺯﺍ ﺑﺸﻲﺀ ﻣﻦ ﺍﻟﻘﻠﻖ ﺗﺠﺎﻩ ﻫﺬﻩ ﺍﻟﺴﺎﺣﺮﺓ، ﺍﻟﺘﻲ ﻛﺎﻧﺖ ﺗﻮﺍﺻﻞ ﺣﺪﻳﺜﻬﺎ ﺭﻏﻢ ﺃﻧﻬﺎ ﻟﻢ ﺗﻔﺘﺢ ﻓﻤﻬﺎ. ﻟﻜﻦ ﺑﻤﺎ ﺃﻧﻬﺎ ﻛﺎﻧﺖ ﻋﺎﺟﺰﺓ ﻋﻦ ﺍﻟﻜﻼﻡ ﺑﺸﻜﻞ ﺟﻴﺪ، ﻭﻛﺎﻥ ﻣﻦ ﺍﻟﺼﻌﺐ ﻋﻠﻴﻬﺎ ﺣﺘﻰ ﺗﺤﺮﻳﻚ ﺃﺻﺎﺑﻌﻬﺎ، ﻟﻢ ﻳﻜﻦ ﺑﻮﺳﻌﻬﺎ ﻓﻌﻞ ﺷﻲﺀ، ﻛﺎﻥ ﻋﻠﻴﻬﺎ ﻓﻘﻂ ﺍﻻﺳﺘﻤﺎﻉ.
{f:5:Beatrice},"""ﻛﻢ ﻳﺠﺐ ﺃﻥ ﺃﻋﻮﺩ ﺇﻟﻰ ﺍﻟﻤﺎﺿﻲ ﻷﺗﻤﻜﻦ ﻣﻦ ﺷﻔﺎﺀ ﺟﺮﻭﺡ ﻗﻠﺒﻚ ﺍﻟﻌﻤﻴﻘﺔ؟"""
{f:5:Beatrice},"""......ﻫﺬﺍ......ﻋﻤﻴﻖ ﻟﻠﻐﺎﻳﺔ. ""....ﺗﻠﺘﺌﻢ ﺍﻟﺠﺮﻭﺡ ﺍﺣﻴﺎﻧًﺎ ﺑﻴﻨﻤﺎ ﻻ ﻳﺰﺍﻝ ﻫﻨﺎﻙ ﺷﻈﻴﺔ ﻣﻦ ﺷﻲﺀ ﻣﺎ ﺩﺍﺧﻠﻬﺎ. ...ﺣﺘﻰ ﻋﻨﺪﻣﺎ ﺗﺒﺪﻭ ﺗﻠﻚ ﺍﻟﺠﺮﻭﺡ ﻭﻛﺄﻧﻬﺎ ﺷﻔﻴﺖ، ﻓﻬﻲ ﺗﻈﻞ ﺗﺆﻟﻤﻚ ﺇﻟﻰ ﺍﻷﺑﺪ. ﻋﻠﻴﻚ ﺃﺣﻴﺎﻧًﺎ ﺃﻥ ﺗﻔﺘﺢ ﺍﻟﺠﺮﺡ ﻣﺮﺓ ﺃﺧﺮﻯ ﻟﺘﺸﻔﻰ ﺗﻤﺎﻣًﺎ."""
,ﺑﻴﻨﻤﺎ ﻛﺎﻧﺖ ﺍﻟﺴﺎﺣﺮﺓ ﺗﺘﺤﺪﺙ، ﻛﺎﻧﺖ ﺗﺤﺪﻕ ﻓﻲ ﻋﻴﻨﻲ ﺭﻭﺯﺍ ﺑﻌﻤﻖ.
,......ﻣﺎﻟﺬﻱ ﺗﺤﺪﻕ ﻓﻴﻪ ﻓﻌﻼً؟ ﺷﻌﺮﺕ ﺭﻭﺯﺍ ﺑﻌﺪﻡ ﺍﺭﺗﻴﺎﺡ، ﻟﻜﻨﻬﺎ ﻟﻢ ﺗﺴﺘﻄﻊ ﺃﻥ ﺗﺸﻴﺢ ﺑﻨﻈﺮﻫﺎ.
{f:5:Beatrice},"""............ﺇﺫﻥ ﻓﻘﺪ ﺣﻤَّﻠَﻚِ ﻗَﺪَﺭُﻙِ ﻫﺬﺍ ﺍﻷﻟﻢ ﻣﻨﺬ ﻟﺤﻈﺔ ﻭﻻﺩﺗﻚ. ...ﻳﺎ ﻟﻪ ﻣﻦ ﺃﻣﺮ ﻣﺤﺰﻥ. ...ﻻ ﺣﺎﺟﺔ ﻷﻥ ﺗﻘﻮﻟﻲ ﺫﻟﻚ. ﺃﻧﺎ ﺃﻓﻬﻤﻚِ ......ﺃﻓﻬﻤﻚِ......"""
,ﻣﻊ ﻣﺮﻭﺭ ﺍﻟﻮﻗﺖ، ﺑﺪﺃﺕ ﺭﻭﺯﺍ ﺗﻨﺠﺬﺏ ﺇﻟﻰ ﻋﻴﻨﻲ ﺍﻟﺴﺎﺣﺮﺓ.
, ﺃﺻﺒﺢ ﺍﻟﻌﺎﻟﻢ ﻣﻈﻠﻤًﺎ ﺗﺪﺭﻳﺠﻴًﺎ، ﻳﺪﻭﺭ ﻭﻳﺪﻭﺭ ﺑﻴﻨﻤﺎ ﻛﺎﻧﺖ ﺗُﺴﺤﺐ ﻓﻴﻪ...
Ushiromiya Krauss,"ﺭﻭﺯﺍ، ﺭﻭﺯﺍ. ﻟﻤﺎﺫﺍ ﺃﻧﺖِ ﻏﺒﻴﺔ ﻫﻜﺬﺍ؟"""
,ﺁﻩ، ﺫﻟﻚ ﻛﺎﻥ ﺻﻮﺕ ﺃﺧﻲ ﻛﺮﺍﻭﺱ.{n}ﺃﺧﻲ ﻛﺮﺍﻭﺱ ﺷﺨﺺ ﻧﺎﺿﺞ ﺟﺪًﺍ، ﻟﺬﻟﻚ ﻫﻮ ﺫﻛﻲ ﺟﺪًﺍ.{n} ﻭﻟﻬﺬﺍ ﺍﻟﺴﺒﺐ ﻛﺎﻥ ﻳﻜﺮﻩ ﺭﻭﺯﺍ ﺍﻟﻄﻔﻠﺔ ﺍﻟﻐﺒﻴﺔ.
,ﻛﺎﻥ ﺷﺨﺼًﺎ ﻣﺨﻴﻔًﺎ ﺟﺪًﺍ ﻭﻏﺎﻟﺒًﺎ ﻣﺎ ﻛﺎﻥ ﻳﻀﺮﺑﻨﻲ ﻭﻳﺄﺧﺬ ﺃﻟﻌﺎﺑﻲ ﻭﻳﻜﺴﺮﻫﺎ.
,ﻛﺎﻥ ﻳﻘﻮﻝ ﺃﻧﻪ ﻋﻘﺎﺑﻲ ﻷﻧﻨﻲ ﻓﻌﻠﺖ ﺷﻴﺌًﺎ ﺳﻴﺌًﺎ، ﻟﻜﻨﻨﻲ ﻟﻢ ﺃﻓﻬﻢ ﻓﻌﻼً  ﻟﻤﺎﺫﺍ ﻛﻨﺖ ﺃﺗﻌﺎﻗﺐ.
,ﻛﻨﺖ ﺩﺍﺋﻤًﺎ ﻣﺎ ﺃﺗﻠﻘﻰ ﺍﻟﻌﻘﺎﺏ ﻓﺠﺄﺓ، ﻭﺑﻌﺪﻫﺎ ﻳُﻘﺎﻝ ﻟﻲ ﺑﻄﺮﻳﻘﺔ ﻣﺼﻄﻨﻌﺔ ﺇﻧﻪ ﻋﻘﺎﺏ ﻋﻠﻰ ﺷﻲﺀ ﻣﺎ، ﻟﻜﻦ ﻛﺎﻥ ﺩﺍﺋﻤًﺎ ﺷﻲﺀ ﻻ ﺃﺗﺬﻛﺮ ﺃﻧﻨﻲ ﻓﻌﻠﺘﻪ.
,......ﻟﺬﻟﻚ ﻛﻨﺖ ﺣﻘًﺎ ﺃﻛﺮﻩ ﺃﺧﻲ ﻛﺮﺍﻭﺱ.
Ushiromiya Eva,ﺭﻭﺯﺍ، ﺭﻭﺯﺍ. ﻟﻤﺎﺫﺍ ﺃﻧﺖِ ﻏﺒﻴﺔ ﻫﻜﺬﺍ؟
,ﺁﻩ، ﺫﻟﻚ ﻛﺎﻥ ﺻﻮﺕ ﺃﺧﺘﻲ ﺇﻳﻔﺎ.{n} ﺇﻳﻔﺎ  ﺷﺨﺺ ﻧﺎﺿﺞ ﺟﺪًﺍ، ﻟﺬﻟﻚ ﻫﻲ ﺫﻛﻴﺔ ﺟﺪًﺍ..{n} ﻭﻟﺬﺍ ﻛﺎﻧﺖ ﺗﻜﺮﻩ ﺭﻭﺯﺍ ﺍﻟﻄﻔﻠﺔ ﺍﻟﻐﺒﻴﺔ.
,ﻛﺎﻧﺖ ﺷﺨﺼًﺎ ﻣﺎﻛﺮًﺍ ﺟﺪًﺍ، ﻭﻏﺎﻟﺒًﺎ ﻣﺎ ﻛﻨﺖ ﺃﺗﻌﺮﺽ ﻟﻠﻜﺬﺏ ﻭﺍﻟﺨﺪﺍﻉ ﻭﺍﻟﺘﻨﻤﺮ ﻣﻨﻬﺎ.
,ﻛﺎﻧﺖ ﺗﻘﻮﻝ ﺇﻥ ﺫﻟﻚ ﺑﺴﺒﺐ ﺃﻧﻨﻲ ﻏﺒﻴﺔ، ﻭﺃﻧﻪ ﻣﻦ ﺍﻟﻄﺒﻴﻌﻲ ﺃﻥ ﻳُﺨﺪﻉ ﺍﻟﻨﺎﺱ ﺍﻷﻏﺒﻴﺎﺀ ﻣﻦ ﻗﺒﻞ ﻣﻦ ﻫﻢ ﺃﺫﻛﻰ ﻣﻨﻬﻢ.
,ﻟﺬﻟﻚ ﺃﺭﺩﺕ ﺃﻥ ﺃﺻﺒﺢ ﺷﺨﺼًﺎ ﺣﻜﻴﻤًﺎ ﻣﺜﻞ ﺃﺧﺘﻲ ﺇﻳﻔﺎ، ﻭﻛﻨﺖ ﺃﺳﺘﻤﻊ ﻟﻤﺎ ﺗﻘﻮﻝ، ﻭﻟﻜﻦ ﻟﺴﺒﺐٍ ﻣﺎ، ﻋﻨﺪﻣﺎ ﺃﻃﻴﻌﻬﺎ ﻛﺎﻥ ﻫﻨﺎﻙ ﺩﻭﻣًﺎ ﻣﻦ ﻳﻐﻀﺐ ﻣﻨﻲ.
,......ﻟﺬﻟﻚ ﻛﻨﺖ ﺣﻘًﺎ ﺃﻛﺮﻩ ﺃﺧﺘﻲ ﺇﻳﻔﺎ.
Ushiromiya Rudolf,ﺭﻭﺯﺍ، ﺭﻭﺯﺍ. ﻟﻤﺎﺫﺍ ﺃﻧﺖِ ﻏﺒﻴﺔ ﻫﻜﺬﺍ؟
,ﺁﻩ، ﺇﻧﻪ ﺻﻮﺕ ﺃﺧﻲ ﺭﻭﺩﻭﻟﻒ.{n}ﺃﺧﻲ ﺭﻭﺩﻭﻟﻒ ﺷﺨﺺٌ ﻣﺎﻛﺮٌ ﻟﻠﻐﺎﻳﺔ.{n} ﻭﻟﻬﺬﺍ ﻛﺎﻥ ﻳﻜﺮﻩ ﺭﻭﺯﺍ ﺍﻟﻄﻔﻠﺔ ﺍﻟﻐﺒﻴﺔ.
,ﻳﻜﻮﻥ ﻟﻄﻴﻔًﺎ ﻣﻊ ﺃﺧﻲ ﻛﺮﺍﻭﺱ ﻋﻨﺪﻣﺎ ﻳﻜﻮﻥ ﻣﻮﺟﻮﺩًﺍ ﺑﺎﻟﺠﻮﺍﺭ{n} ﻭﻳﻜﻮﻥ ﺃﻳﻀًﺎ ﻟﻄﻴﻔًﺎ ﻣﻊ ﺃﺧﺘﻲ ﺇﻳﻔﺎ ﻋﻨﺪﻣﺎ ﺗﻜﻮﻥ ﺑﺎﻟﺠﻮﺍﺭ.
,...ﻭﺣﻴﻨﻤﺎ ﻳﻐﻴﺐ ﺃﺧﻲ ﻛﺮﺍﻭﺱ، ﻳﺼﺒﺢ ﻋﻨﻴﻔًﺎ ﻣﺜﻠﻪ ﺗﻤﺎﻣًﺎ، ﻭﺣﻴﻨﻤﺎ ﺗﻐﻴﺐ ﺃﺧﺘﻲ ﺇﻳﻔﺎ، ﻳﺘﺼﺮﻑ ﺑﺨﺒﺚ ﻣﺜﻠﻬﺎ ﺗﻤﺎﻣًﺎ.
,ﻭﺭﻏﻢ ﺃﻧﻪ ﺃﻳﻀًﺎ ﻛﺎﻥ ﻳﺘﻌﺮﺽ ﻟﻠﺘﻨﻤﺮ ﻓﻲ ﺃﻏﻠﺐ ﺍﻟﻮﻗﺖ، ﻓﺈﻧﻪ ﻋﻨﺪﻣﺎ ﻳﻐﻴﺐ ﻛﻞٌ ﻣﻨﻬﻤﺎ، ﻳﺘﻨﻤﺮ ﻋﻠﻲّ ﺑﻤﻘﺪﺍﺭ ﺷﺨﺼﻴﻦ.
,......ﻟﺬﻟﻚ ﻛﻨﺖُ ﺃﻛﺮﻩ ﺃﺧﻲ ﺭﻭﺩﻭﻟﻒ ﺣﻘًﺎ.
,...... ﻭﻟﻜﻦ ﻛﻞ ﻫﺬﻩ ﻫﻲ ﺫﻛﺮﻳﺎﺗﻲ ﻭﺃﻧﺎ ﻃﻔﻠﺔ.
,ﺗﺤﺪﺙ ﺍﻟﻜﺜﻴﺮ ﻣﻦ ﺍﻷﻣﻮﺭ ﻏﻴﺮ ﺍﻟﻌﺎﺩﻟﺔ ﻋﻨﺪﻣﺎ ﺗﻜﻮﻥ ﻃﻔﻼً.{n}ﻭﻻ ﻳﻤﻜﻨﻚ ﺃﻥ ﺗﺒﻘﻰ ﺃﺳﻴﺮًﺍ ﻟﻬﺎ ﺇﻟﻰ ﺍﻷﺑﺪ.
,"ﺗﺪﻓﻨﻬﺎ ﻣﻊ ﺍﻟﻮﻗﺖ ﻓﻲ ﺃﻋﻤﺎﻕ ﺫﺍﻛﺮﺗﻚ ﻭﺗﻨﺴﺎﻫﺎ ﺷﻴﺌًﺎ ﻓﺸﻴﺌًﺎ؛ ﻓﻬﺬﺍ ﻫﻮ ﺍﻟﻤﻌﻨﻰ ﺍﻟﺤﻘﻴﻘﻲ ﻷﻥ ﺗﻜﺒﺮ ﻭﺗﺼﻴﺮ ﺑﺎﻟﻐًﺎ."""
,"""ﻟﺬﺍ ﻋﻨﺪﻣﺎ ﺗﺼﺒﺢ ﺑﺎﻟﻐًﺎ ﺳﻴﻌﻨﻲ ﻫﺬﺍ ﺃﻥ ﺗﺘﺤﺮﺭ ﻣﻦ ﻛﻞ ﺗﻠﻚ ﺍﻟﺬﻛﺮﻳﺎﺕ."""
,"""ﻭﻣﻊ ﺫﻟﻚ—  ﻟﻢ ﺗﺴﺘﻄﻊ ﺭﻭﺯﺍ ﺃﻥ ﺗﺼﺒﺢ ﺑﺎﻟﻐﺔ ﻣﻬﻤﺎ ﻣﺮ ﻣﻦ ﻭﻗﺖ."""
,"""......ﺣﺘﻰ ﻣﻊ ﺃﻥ ﺍﻟﺤﻴﺎﺓ ﻭﻫﺒﺘﻬﺎ ﺍﺑﻨﺔ ﺗﺪﻋﻰ ﻣﺎﺭﻳﺎ، ﻭﺃﺻﺒﺤﺖ ﺗﺪﻋﻰ ""ﺃﻣًﺎ""، ...ﺇﻻ ﺃﻧﻬﺎ ﻟﻢ ﺗﺸﻌﺮ ﺃﺑﺪًﺍ ﺑﺄﻧﻬﺎ ﻗﺪ ﺃﺻﺒﺤﺖ ﺑﺎﻟﻐﺔ."""
,ﺃﺷﻔﻘﺖ ﺍﻟﺴﺎﺣﺮﺓ ﻋﻠﻰ ﺣﺎﻟﻬﺎ.
,ﻭﺍﺑﺘﺴﻤﺖ ﻭﻫﻲ ﺗﻘﻮﻝ ﺇﻧﻬﺎ ﺗﺴﺘﻄﻴﻊ ﺑﻨﻔﺴﻬﺎ ﺃﻥ ﺗﺸﻔﻲ ﺫﻟﻚ ﺍﻷﻟﻢ.
{f:5:Beatrice},"""......ﻛﻴﻒ ﺃﺷﻔﻲ ﺁﻻﻣﻚ؟ ﺇﻧﻪ ﻣﻤﻜﻦ، ﻟﻜﻨﻪ ﻟﻴﺲ ﺳﻬﻼً. ...ﻳﻤﻜﻨﻨﻲ ﺣﺘﻰ ﺇﻋﺎﺩﺓ ﺍﻟﺰﻣﻦ ﺇﻟﻰ ﺍﻟﻮﺭﺍﺀ ﻭﻣﻨﺤﻚ ﻋﺎﻟﻤﺎً ﻻ ﻭﺟﻮﺩ ﻓﻴﻪ ﻷﺧﻮﺓ ﻛﺒﺎﺭ."""
