Speaker,Spanish (ES)
,"Después de terminar su oración de bruja, {f:5:Virgilia} dio un paso atrás del ataúd, donde yacía un altar adornado con muchas rosas preciosas."
,"En cambio, Battler se movió al frente del altar, llevando su capa de Lord Territorial..."
,"Aunque se suponía que la capa representaba dignidad y majestuosidad, de alguna manera hacía parecer más pequeño a Battler."
,Battler sostenía un libro con una atadura majestuosa en su mano.
,Era... el registro de un juego que acababa de ser escrito.
,O quizás era una historia. Un juego. O puede que un Fragmento.
,"Escrito en él... estaba el ""sueño"" que sería más agradable para ella que cualquier otro..."
,Battler lo presionó contra su frente y meditó por un tiempo.
Ushiromiya Battler,"""..."""
,"Luego, lo besó... y lo puso suavemente en el ataúd."
,Fue colocado sobre su pecho.
,La hizo parecer a una niña aferrada a su peluche favorito cuando se quedaba dormida...
Ushiromiya Battler,"""... Esta historia es mi regalo para ti. La única que habrá."""
,"Esta historia estará encerrada junto a ti en tu ataúd, por toda la eternidad."
,"Así que nadie más que tú será capaz de leerla, en tu ataúd."
{f:5:Virgilia},"""Encierra en esa caja del gato, la única... incambiable, inviolable, y eterna historia."""
Ushiromiya Battler,"""De esta forma, nadie será capaz de profanar su historia. Nadie podrá negarla, y nadie podrá discutir en contra de ella... Perteneciendo solo a mí y a ella, solo a nosotros dos, esta es la única... y absoluta verdad."""
,Esos desgraciados...
,Un hombre corrió a través de una ciudad envuelta en el atardecer.
,"El ajetreo y el bullicio del día de esta bella aldea, que combinaba lo tradicional con la belleza del estilo clásico del siglo pasado, ahora parecían un simple sueño."
,"El sol naranja ya se había ocultado detrás de la torre del reloj, y los estrechos callejones quedaron rápidamente en la oscuridad."
,"Mientras la luces a gas comenzaban a encenderse, hacían destacar aún más la oscuridad de este atardecer."
,El hombre echó a correr. No quedaba tiempo. Tenía que apresurarse.
,"Había tenido varios experimentos que hacer y cosas que revisar, y todo había tomado más tiempo del que esperaba."
,"""Sí, no hay error. El quién y el cómo son todo lo que necesitas en los misterios."""
,"En el género del misterio, al motivo, o el porqué se le da la menor prioridad."
,Lo único que se necesita para que exista un asesinato es un culpable que lo cometa.
,"Ninguna parte de eso requiere un motivo. Así que, usualmente, es el elemento más ignorado."
,"De hecho, estos días, incluso hay algunos que los llaman elementos innecesarios en los misterios."
,"""Si encuentras a un culpable con nada más que el porqué, no es misterio. Es propaganda. Sin embargo..."""
,No significa que puedes ignorar el motivo.{n}No hace válido ignorar al corazón.
{f:5:Virgilia},"""... Ambos sabemos cuánto se estará divirtiendo en su último sueño. Así que dudo que alguien la moleste... Después de todo, ¿quién podría molestar a una niña dormida sonriendo en su feliz sueño?"""
Ushiromiya Battler,"""..."""
{f:5:Virgilia},"""Vamos... Es hora de irnos. Si hacemos mucho ruido, la despertaremos de su sueño."""
Ushiromiya Battler,"""... Tienes razón. Qué más podrías hacer con un niño que duerme además de ponerle una manta... apagar las luces, y salir caminando tranquilamente..."""
,"Después de mirar el ataúd por última vez, {f:5:Virgilia} se dio la vuelta tranquilamente."
,Battler hizo lo mismo... pero luego se dio la vuelta y se dirigió hacia el ataúd decorado con rosas...
Ushiromiya Battler,"""..."""
,Battler dijo sus últimas palabras con su corazón.
,"Mientras esas palabras no salieran de su boca, nadie podría entender qué eran."
,"... Sin embargo, esas palabras dentro del corazón de Battler causaron que su expresión cambiara varias veces."
,"Primero, frunció el ceño con tristeza, luego, su rostro se oscureció con remordimiento, y luego cambió a una sonrisa amarga y muda... Pasó por múltiples expresiones."
," La última expresión que pasó por su cara, fue... sorprendentemente, una dulce sonrisa."
Ushiromiya Battler,"""..."""
,"Algo subió a los labios de Battler. Sin embargo, se los mordió."
,Ciertamente no había palabras... para describir los sentimientos que guardaba en su pecho.
,Por lo que... decir algo en voz alta probablemente sería vulgar.
,"Battler entendió esto, y él mismo dejó de hablar con una sonrisa amarga."
{f:5:Virgilia},"""..."""
Ushiromiya Battler,"""... Gracias."""
{f:5:Virgilia},"""Oh, no he hecho nada que requiera tus agradecimientos..."""
Ushiromiya Battler,"""... Te dejo el resto a ti."""
,"Después de ver a {f:5:Virgilia} asintiéndole, Battler le dio la espalda al altar una vez más... y se fue de la capilla."
,"{f:5:Virgilia} también desapareció, y todas las perturbaciones que podrían haber interrumpido su maravilloso sueño habían desaparecido..."
,"Los Inquisidores escucharon con tranquilas... no, con miradas despectivas."
,Escucharon el balbuceo frenético de la sirvienta acusada de asesinar a su amo.
,"Sin embargo, nada de lo que dijo podía anular los fallos en su propia coartada."
,"Todos eran argumentos emocionales.{n}""Amaba y respetaba mucho a mi amo. No tenía motivo para matarlo."""
,"No importa lo mucho que ella hablara, solo la hacía parecer más y más como el indeciso verdadero culpable que lucha patéticamente."
,"El ""quién"" y el ""cómo"" se han cumplido.{n}En cuanto al ""porqué"", el motivo, el corazón, ¿a quién le importa?"
,"... No importa lo mucho que habló de su gratitud por su amo, quien le había dado generosamente su trabajo cuando ella más lo necesitaba después de varias desgracias, no ayudaba a su causa en lo más mínimo en el género de misterio."
,"Por lo tanto, su motivo no importaba.{n}Todo eso podría ser {i:exprimido} del culpable después."
,"Un Inquisidor sacó un rollo de pergamino y lo sostuvo, acabando con los sollozos y protestas de la sirvienta."
,"""Así es como cometiste el crimen. Hágase saber que esta acusación ha sido recibida por la Gran Corte y que tu arresto ha sido aprobado. Aquí está la orden de arresto. El motivo no es necesario. Hágase saber que tal cosa es totalmente ajena a la cuestión de señalar al culpable. Con eso en mente, Permítaseme informarle lo siguiente. Hágase saber que nosotros, en la SSVD poseemos métodos para forzar a los criminales no arrepentidos a revelar la verdad."""
,"""Tenga en cuenta que con estas herramientas de interrogación bendecidas por los poderes de la justicia, nosotros, los Inquisidores de la Herejía azotaremos tus extremidades, las quemaremos, las aplastaremos, te colgaremos de ellas, y así sacar la verdad roja de ti... ¡Ni siquiera es necesario que confieses! Asistentes, ¡arresten a esa sirvienta!"""
,"""¡No fui yo! ¡¡No maté al amo!!... N-No, ¡¡noooooooooo!!"""
,"""Alto ahí. Tienes al culpable equivocado."""
,"Un hombre pateó la puerta, y todos los Inquisidores se sorprendieron al verlo."
,"""¿P-Por qué estás aquí? ¡Hágase saber que ya no estás a cargo de este caso!..."""
,"""Silencio. ¿Encuentras una persona sin una coartada y solo asumes que ella es la culpable? ¿De verdad crees que no hay necesidad de un motivo, de un corazón, en un crimen? Los crímenes los cometen las personas. No hay crímenes sin corazón. Jamás aceptaré una teoría que ignore al corazón."""
,"""¡H-Hágase saber que tu enfoque en el ""porqué"" es simplemente vergonzoso!... ¡El ""porqué"" no es necesario! ¡Tal cosa puede ser fácilmente extraída a través de los interrogatorios! ¡¡Incluso la Gran Corte ya ha reconocido a esa mujer como la culpable!!..."""
,"""La Gran Corte escuchó tu argumento de que la sirvienta debe ser la culpable porque todos tienen una coartada menos ella, y han confundido tu exceso de confianza y orgullo por sabiduría. Si alguno de los otros sospechosos pierde su coartada, tu evidencia no prueba nada... Solo mira qué patéticas son algunas de esas coartadas. ¿El reloj de la recepción sonó en el momento justo a la medianoche? ¿El perro de la puerta de atrás ladró a todos?"""
,"""Así que te las arreglaste para probar que la coartada de la sirvienta es falsa. Felicidades. ¿Pero termina ahí?"""
,"Puede que haya sido posible que ella lo haga, ¿pero tiene un motivo? ¿Son las coartadas de los demás perfectas? Esta sirvienta no era la única con una coartada falsa. Tienes que seguir buscando si quieres encontrar las otras."""
,"""¿Había algún tipo de rencor contra la víctima? ¿O algún problema relacionado con el dinero? No abandones el motivo, no abandones el corazón. Los misterios secos donde el motivo puede ser resuelto solo más adelante son una pérdida de tiempo."""
,"""S-Si la sirviente no es la culpable, ¡¿por qué falsificó su coartada?! ¡Tan siquiera preguntar algo así es una pérdida de tiempo! Hágase saber que solo debemos interrogarla, sacarle la verdad roja, ¡y hacerla firmar en sangre roja todo lo que pasó en el momento del crimen!"""
,"""Sí, quizás puedas hacer eso. Puedes solo utilizar esa tortura tuya para exprimirlo todo con franqueza y objetividad, visto desde los ojos de Dios. ¿Pero sabes qué? Jamás aceptaré misterios que carezcan de corazón."""
,"""¡¡Y-Ya he tomado la responsabilidad de este caso!! ¡Incluso tengo un decreto aquí! Vamos, Asistentes, ¡sepan que no hay razón para dudar! ¡¡Les ordeno que arresten a esta sirvienta!!"""
,"Cuando ella dio esta orden, sus subordinados dudaron, mirando a un lado y a otro entre su superior y aquel hombre..."
,"""No te dejaré. El verdadero culpable es alguien más. Es posible usar el motivo para encontrarlo, y el truco de la coartada es uno viejo. No puedes olvidarte del corazón."""
,"""¡¡N-No hay necesidad de eso!!... Solo tenemos que encontrar a los sospechosos que podrían haber cometido el crimen, interrogarlos, ¡¡y exprimir la verdad roja!! En la remota posibilidad de que uno no sea el culpable, ¡¡entonces solo tenemos que interrogar al siguiente sospechoso!!..."""
,"""¿Llamas a eso razonamiento?"""
,"""¡¡Retrocede!! ¡¡Arrestaremos a esa mujer!! ¡¡Hágase saber que esta sirvienta es la culpable!!"""
,"""¡¡{p:1:Queda prohibido que un sirviente sea el culpable}!!"""
,"""¡¿¡¿Q‐Qué... has dicho?!?!..."""
,Las palabras de poder ahuyentaron a los asistentes que intentaban detener a la doncella.
,"""{p:1:... Las Veinte Reglas de Van Dine, Regla #11.} Si quieres torturar a esta sirvienta, asegúrate primero de comprobar las coartadas de la segunda esposa y de su amante."""
,"""¡¡E-Esos dos ya tienen una coartada clara para el momento del crimen!!..."""""
,"""¿Eso, una coartada? Maldición, una idiota como tú no podría entenderlo no importa cuánto te lo facilite. Si deseas que te llamen Inquisidora General, tratar de averiguar por lo menos eso por ti misma. Hasta entonces, me llevaré la autorización para el arresto de esta sirvienta."""
,"""¡¿Qué hay de ti?! ¡¿Puedes probar que esta sirvienta no cometió el crimen?! ¡Hágase saber que estaba fuera de la cocina en el momento del crimen! Entonces, ¡¿qué hacía y dónde?! Ella no puede probarlo, yo no puedo probarlo, ¡y tú tampoco! ¡Nadie puede! ¡¡Es por eso que no tenemos más remedio que utilizar estos aparatos de tortura para interrogarla hasta que saquemos la verdad roja!!"""
,"""Puedes exprimir tanta sangre y verdad del verdadero culpable como quieras. Pero debes saber esto. No te dejaré interrogar ni torturar a nadie que no sea el culpable."""
,"""¡E-Es por eso que todos dicen que eres muy suave!... ¡Se debe interrogar a todos los sospechosos! ¡¡Es así como los Inquisidores llevamos a cabo nuestros juicios en contra de las brujas!!"""
,"""Es cierto, somos Inquisidores. Derribar a las malvadas brujas es nuestro trabajo. Sin embargo, no debemos arriesgarnos a herir a los inocentes. ¡No debemos sospechar de ellos!... Todos los humanos tienen sus propias verdades personales. Las cuales solo deben exponerse cuando se cometen crímenes. Se nos ha dado el derecho de exponerlas. Pero hay algo que no podemos hacer."""
,"""... ¡¿Q-Qué?!..."""
,"""¡¡Nadie, ni siquiera Dios, tiene el derecho de exponer las inocentes verdades de quienes no han pecado!!"""
,La sirvienta finalmente se dio cuenta de que el hombre trataba de protegerla.
,"""... N-No sé quién eres, pero... ¡M-Muchísimas... gracias!... ¡Yo... realmente... no soy la culpable!"""
,"""Sí, lo sé... Tu novio dijo que estaría dispuesto a renunciar a todo para probar tu coartada. Deberías agradecerle. Ese chico dijo que el honor y la reputación no valen nada en comparación contigo."""
,"""P-Pero, si hace eso, él..."""
,"""No llegará a eso. Exponer los secretos entre los enamorados es un trabajo para revistas de tercera. Eso no es misterio... Nunca permitiré un razonamiento sin corazón."""
,"Entonces, por primera vez, la expresión tensa del hombre se relajó y acarició sin reservas la cabeza de la sirvienta."
,"""... Estoy seguro de que ambos serán felices juntos. Pero reunirse en secreto mientras trabajas no es muy digno de elogio. Trata de hacerlo lo menos posible."""
,"""M‐Muchas gracias... Muchísimas gracias..."""
,Solo ellos dos escucharon esas palabras.
,"El hombre se había enterado de su inocencia, la cual solo podía demostrarse sacando a la luz los secretos de una pareja de jóvenes enamorados, y se había apresurado a buscar una solución, resentido por la arrogancia de quienes trataban de sacar esto por la fuerza."
,"""El objetivo de hacer teorías no es crear un culpable, ni pisotear la verdad en los corazones de los inocentes en el proceso. El corazón importa... Si quieres jugar al detective, no olvides el corazón. Olvida eso y solo serán violadores intelectuales. ¡¡No lo olvides!!"
,"""¡¡Uu...ggh...ggggghhhhh...!!"""
,Los inquisidores no pudieron oponerse por más tiempo ante las contundentes palabras del hombre.
,El hombre se llamaba Will. Pero todo el mundo lo llamaba de otra manera.
,"Inquisidor General de la SSVD, la Agencia de Aplicación del Arrepentimiento del Octavo Distrito de la Gran Corte del Cielo—"
,Cazador de Magos Wright.
Willard H. Wright,"""Esto es lo último que les dejo. Si quieren ser el próximo ""Cazador de magos Wright"", recuérdenlo. ¡¡Nunca lo olviden!!"""
