Speaker,Spanish (ES)
Furudo Erika,"""Regocíjense. Nosotros, la flota de bibliotecarios que otorgan honor y protección a los libros, hemos venido a traerles una honorable noticia. Primero. La Ciudad de los Libros ha reconocido el tablero de juego creado por la Bruja Interminable {f:5:Beatrice} como un libro honorable y selecto."""
{f:5:Beatrice},"""Oh. Es un gran honor."""
Furudo Erika,"""Este tablero de juego es extremadamente interesante, original y de gran valor para la investigación. Es algo que merece ser compartido con todos. Por lo tanto, la Ciudad de los Libros nos ha ordenado otorgar a este tablero de juego honor y protección eternos."""
{f:5:Beatrice},"""Todo esto es bastante tedioso y aburrido. Ve al grano."""
Furudo Erika,"""Exigimos que todo este tablero de juego sea transferido a la honorable Ciudad de los Libros. Esto representa el mayor honor y protección para este tablero y sus piezas."""
{f:5:Beatrice},"""¿Y si digo que no?"""
Furudo Erika,"""Serás acusada del crimen de monopolizar una cultura honorífica que debería ser compartida con todos los ciudadanos. Le notificamos que iniciaremos un ataque para proteger los derechos e intereses de todos los ciudadanos."""
{f:5:Beatrice},"""¿No les importa que ese ataque destruya el patrimonio compartido de los ciudadanos?"""
Furudo Erika,"""Según las disposiciones de la Ley de Protección de Libros Honorables, si un criminal que monopoliza la cultura honorífica intenta usar esto como escudo para atrincherarse... la flota ejecutora tiene permiso, con la autorización de la Gran Corte, de priorizar el arresto sobre la protección. Por supuesto, ya contamos con la orden escrita de la Gran Corte."""
{f:5:Beatrice},"""Y de paso, ¿esa orden también dice que el arresto puede ser con o sin vida?"""
Furudo Erika,"""Vaya. ¿Cómo es que puedes leer letras tan pequeñas? Bueno, la farsa termina aquí... Hablando claro, ¿qué decides?"""
{f:5:Beatrice},"""Si acepto tus exigencias, ¿qué beneficios obtendría?"""
Furudo Erika,"""Ambos nos ahorraríamos trabajos innecesarios. Además, tu valiente y honorable acto quedará registrado como un glorioso capítulo final en la Ciudad de los Libros."""
Furudo Erika,"""... Lo entiendes, ¿verdad? No puedes ganar. Esto ni siquiera es una batalla. Es un acto unilateral, como arrojar piedras a alguien que mira hacia arriba desde el fondo de un pozo."""
{f:5:Beatrice},"""... Así que lo único que puedo elegir es cómo las brujas de la biblioteca escribirán sobre mi final. *risita*risita*..."""
Furudo Erika,"""La decisión es tuya. Si de verdad amas este tablero de juego, deberías rendirte. Las piezas serán amadas por muchos ciudadanos y podrán cumplir su propósito por toda la eternidad."""
{f:5:Beatrice},"""Hmph... En otras palabras, las tragedias que he creado a mi antojo se repetirán eternamente."""
Furudo Erika,"""¿Y en qué se diferencia eso de lo que tú has estado haciendo?"""
{f:5:Beatrice},"""... No hay diferencia... ¿Eso es todo? Entonces, escucha mi respuesta."""
Furudo Erika,"""Adelante."""
,"Erika se preparó ligeramente.{n}Después de todo, su oponente era nada menos que la gran Lady {f:5:Beatrice}."
,"Podría gritar ""¡Esta es mi respuesta!"" y desatar algo absolutamente descomunal."
,"Como dicen, incluso un ratón acorralado puede morder al gato."
,"Además, Erika tenía información que le decía que la gran Lady {f:5:Lambdadelta}, bruja del Senado, había estado pasando su tiempo dentro de la Tierra Dorada, aunque solo como espectadora."
,Erika debía llevar a cabo esta honorable misión que le habían encomendado de manera impecable.
,"Siendo honesta, quería que Beato ondeara la bandera blanca, incluso si tenía que engañarla para lograrlo."
,"Por eso, aunque todo esto fuera una farsa, evitaba provocaciones innecesarias."
,Tragó saliva y observó cómo reaccionaría Beato.
,"Entonces, Beato dejó escapar un suspiro profundo con una expresión sorprendentemente torpe."
{f:5:Beatrice},"""Seré honesta. Estoy cansada."""
Furudo Erika,"""... ¿Qué significa eso?"""
{f:5:Beatrice},"""Mi juego cumplió su propósito cuando terminó mi batalla con Battler. Sin embargo, por conveniencia, el juego se ha repetido una y otra vez... Honestamente, estoy agotada."""
Furudo Erika,"""... Sinceramente, no esperaba esa respuesta... Entonces, ¿te rendirás? ¿De verdad?..."""
{f:5:Beatrice},"""Simplemente, me da igual... Rendirme o ser derrotada por ustedes, cualquiera de las dos está bien. Lo único que deseo es que este tablero de juego y su historia lleguen a su fin, sin importar de quién sea la mano que lo haga."""
,Por supuesto... eso era una mentira.{n}Sé que no puedo ganar si lucho.
,La mejor estrategia que me queda ahora es solo una... ganar tiempo.
,"Mantener a Erika distraída aquí... mientras tanto, Battler y los demás recuperan la llave de una {f:5:Bernkastel} completamente confiada."
,"... Una vez recuperada, regresar a la Tierra Dorada, usar esa llave para abrir la puerta del futuro a Ange y despedirse."
,Ese era el objetivo de Beato y los demás.{n}Lo que suceda después ya será un misterio dentro de la caja del gato.
,Ange vivirá con esperanza en el futuro. Será incierto si Beato y los demás estaban vivos o muertos... Eso era suficiente.
,"Por eso, la única resistencia que Beato y los demás pueden ofrecer es ganar tiempo."
Furudo Erika,"""... Si te rindes, sería un poco decepcionante, pero me ahorraría mucho trabajo."""
{f:5:Beatrice},"""Sin embargo, no será tan sencillo. Verás, y que esto quede entre tú y yo... como ya debes saber, la gran Lady {f:5:Lambdadelta} está aquí. Ella nos ha pedido, bueno, más bien exigido, que le ofrezcamos un clímax dramático."""
Furudo Erika,"""... Vaya, eso es un capricho bastante cruel. ¿Cómo espera que ustedes, un puñado de personas que ya no son más que los restos de un rompecabezas resuelto, puedan resistir contra mi flota de cien mil soldados?"""
{f:5:Beatrice},"""Así es, así es... La diferencia de fuerzas es abrumadora. Incluso hemos dicho que esto ni siquiera califica como una batalla... Pero, bueno, Lady {f:5:Lambdadelta} insiste en reunir a sus amigos para luchar juntos y nos ha ordenado resistir hasta el final."""
Furudo Erika,"""... ¿Los amigos... de Lady {f:5:Lambdadelta}?..."""
,"A diferencia de la solitaria Bruja {f:5:Bernkastel}, {f:5:Lambdadelta} tiene muchos amigos."
,Sus amigos y benefactores son todos Lords de vastos territorios o criaturas tan poderosas que se han convertido en leyendas vivientes.
,"Sin exagerar, su autoproclamado club de fans tiene tanto poder que no sería sorprendente si declararan un estado independiente en medio del Mar de Fragmentos."
{f:5:Beatrice},"""... El problema es que Lady {f:5:Lambdadelta} está completamente motivada. Hace un momento, estaba llamando por su cuenta a sus amigos y conocidos de todas partes..."""
,"... Por supuesto, todo eso es mentira."
,"{f:5:Lambdadelta} junto con Battler y Ange, se han transformado en una pequeña estrella fugaz de caramelo y ahora se dirigen a la Ciudad de los Libros."
,"Por eso, para que no noten la ausencia de {f:5:Lambdadelta} y Battler, todos se han reunido en la pérgola, fingiendo estar inmersos en acaloradas discusiones..."
Lucifer,"""¡¡Battler-sama, tome una decisión!! ¡¡Nosotras, las Siete Hermanas del Purgatorio, estamos listas para morir en cualquier momento!!"""
Ushiromiya Krauss,"""¡Estoy en contra de un sacrificio inútil! No hay fruto que florezca de la muerte."""
Ushiromiya Natsuhi,"""¡Eres un cobarde! ¡Es inconcebible vivir para sufrir la humillación de la captura!"""
{f:5:Virgilia},"""Solo estando vivos podemos esperar una oportunidad."""
Kumasawa Chiyo,"""... Así es. Como dicen, la impaciencia nunca trae nada bueno..."""
Ushiromiya Rudolf,"""Battler, si te llamas a ti mismo hombre, ¡ahora es el momento de actuar como tal! ¡La gran Lambdadelta-sama ha dicho que nos ayudará, ¿cierto?!"""
Ushiromiya Hideyoshi,"""¡'Toy de acuerdo! ¡To' hombre tiene un momento en el que debe tomar una gran decisión!"""
Ronove,"""... A veces, lo que se alaba no es tanto la decisión en sí, sino el momento en que se toma."""
Sakutarou,"""Si... si nos rendimos, tal vez no sean violentos..."""
Mammon,"""¡¡Eso jamás pasará!! ¡¿No se suponía que eras un león, y además macho?! ¡¿Dónde están tus colmillos?!"""
Belphegor,"""Si voy a morir, prefiero hacerlo como un lobo y no como un cerdo."""
Satan,"""¡¿Eres idiota?! ¡¿Estás diciendo que quieres morir como un perro?!"""
Nanjo Terumasa,"""... Todo depende de la fuerza del apoyo que pueda proporcionar {f:5:Lambdadelta}-san..."""
Ushiromiya Rosa,"""{f:5:Lambdadelta}‐san. ¿Son tus amigos realmente lo bastante fuertes para ganarles?..."""
Ushiromiya Eva,"""... Es una apuesta. ¿Nos rendimos y morimos, o nos la jugamos y morimos perdiendo?"""
Ushiromiya Kyrie,"""Oh. Entonces, arriesgarse parece ofrecer una mayor posibilidad de sobrevivir."""
Dlanor,"""... Una rendición honorable seguramente hará que la Gran Corte muestre {f:5:misericordia}."""
Willard H. Wright,"""Pero detrás de todo está el Senado. Al final, pase lo que pase, todos acabaremos en la guillotina."""
Ushiromiya Lion,"""¡D-De todos modos, por favor, mantengamos la calma! ¡Tranquilicémonos! ¡Yo estoy en contra de empeorar las cosas!"""
Ushiromiya George,"""¿No deberías ser tú quien se calme? Existe algo llamado estrategia de destrucción mutua asegurada. Aunque no podamos ganar, demostrar que no caeremos sin luchar puede servir como disuasión para el enemigo."""
Ushiromiya Jessica,"""Básicamente. Si ellos están dispuestos a atacar, ¡¡nosotros no caeremos sin llevarnos algo con nosotros!!"""
Ushiromiya Maria,"""¡¡Kiji{0}ji{0}ji{0}ji{0}ji{0}ji{0}jiji!! ¡¡Todos los amigos de {f:5:Lambdadelta} son increíbles!!... ¡Todos, absolutamente todos, son brujas, monstruos, demonios o dioses con leyendas y hazañas heroicas impresionantes! ¡Aunque sus barcos sean tantos como las estrellas, los barrerán de un soplido! ¡¡Kiji{0}ji{0}ji{0}jiji!!"""
Gohda Toshiro,"""... ¿C-Creen que estaremos bien? ¿No descubrirán nuestra actuación?"""
Ronoue Genji,"""No hay problema. También debes hablar con más fuerza. No te preocupes por la cortesía."""
Ushiromiya Kinzo,"""¡Basta, cerdo sin agallas! ¡¿No tienen el valor de dar un último golpe antes del final?!"""
Gohda Toshiro,"""¡E-Espera, espera un momento, por favor! ¡No olviden que hay quienes no desean luchar! ¡¡Yo creo que sería mejor rendirnos!!"""
Ushiromiya Kinzo,"""¡¿Qu{-}é{-}é{-}é{-}é{-}é{-}é{-}é{-}é{-}é{-}é{-}é{-}é{-}é{-}é?! ¡¡Goo{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}ohda, maldito derrotista muu{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}eeh!!"""
Gohda Toshiro,"""¡A-Ay, duele, duele! ¡¡Es solo una actuación!! ¡¡Gyaa{0}a{0}r{0}r{0}r{0}r{0}gghhh!!"""
Zepar,"""¡¡Vaya, vaya, la discusión se está poniendo interesante!!"""
Furfur,"""Oh, entonces, ¡¿nos rendiremos?! ¡¿O lucharemos?! ¡¿Qué haremos?!"""
,"""""¡¡Nadie lo sabe!!"""""
{f:5:Beatrice},"""Personalmente, yo deseo rendirme... Si mi propósito ya ha terminado, al menos quiero que el tablero de juego que creé se conserve tal como está... No quiero que Lady {f:5:Lambdadelta} siga haciendo lo que le plazca con mi tablero."""
Furudo Erika,"""... Yo también estoy harta. Vine aquí a luchar contigo, pero los amigos de Lady {f:5:Lambdadelta} están completamente fuera de mi alcance."""
,"Erika, en su interior, comenzaba a preocuparse al ver que la situación se estaba complicando."
,"Y, al mismo tiempo, se sintió aliviada de no haber llevado la conversación de forma demasiado agresiva."
,Quería ganarse el favor de Beato y acabar con esto sin derramamiento de sangre.
,"Por mucho que se tratara de la gran Lady {f:5:Lambdadelta}, no creía que realmente se atreviera a enfrentarse al Senado."
,Tal vez su única motivación sea algo tan trivial como querer presenciar de cerca el gran espectáculo final de este tablero de juego.
,"Sin embargo, si realmente se prepara para un gran espectáculo... no se puede descartar la posibilidad de que Erika no sea capaz de manejar el caos que podría desatarse."
,... Beato había leído completamente los pensamientos de Erika.
,"Por eso, continuó actuando con una expresión de aparente desamparo."
,Su habilidad para actuar es reconocida incluso entre las brujas más renombradas.
{f:5:Beatrice},"""... ¿No podrías prestarme tu ayuda también? Para que mi tablero de juego pueda conservarse en su forma más hermosa. Sí, fue un gran error invitar a esa entrometida como invitada. Oh, qué desastre."""
Furudo Erika,"""... De acuerdo. Yo también prefiero evitar que esto se salga de control. ¿Y cómo puedo colaborar?"""
{f:5:Beatrice},"""Hemos estado discutiendo si rendirnos o resistir. Yo regresaré a esa discusión y abogaré por la rendición, pidiéndole a Lady {f:5:Lambdadelta} que no provoque un caos que destruya este tablero de juego."""
Furudo Erika,"""Eso sería de gran ayuda. ¿Y qué debería hacer yo?"""
{f:5:Beatrice},"""Quiero que nos garantices tiempo para continuar con nuestra discusión... Después de todo, tus barcos nos tienen completamente rodeados, intimidándonos. Con la tensión de no saber cuándo atacarán, todos están al borde del colapso."""
{f:5:Beatrice},"""Por eso, si nos garantizas tiempo para debatir, todos podrán recuperar la calma... Y yo también tendré el tiempo necesario para convencer a Lady {f:5:Lambdadelta}."""
Furudo Erika,"""... De acuerdo. ¿Cuánto tiempo necesitan?"""
{f:5:Beatrice},"""¿Serías tan amable de evitar dar un plazo concreto? Si hay un plazo, al final, cuando el tiempo se agote, todos volverán a perder la calma y se inclinarán hacia opiniones extremas..."""
Furudo Erika,"""... Tienes razón. Lo más importante de una mecha es si está encendida o no. La longitud de la mecha es una cuestión trivial."""
{f:5:Beatrice},"""Entonces, ¿podrías darnos algo de tiempo?"""
Furudo Erika,"""De acuerdo. Les garantizo tiempo para discutir. Sin embargo, no será ilimitado. Me quedaré aquí, escuchando sus debates mientras espero."""
{f:5:Beatrice},"""El problema es que, si estás presente, todos seguirán sintiéndose tensos..."""
Furudo Erika,"""Ya he hecho una concesión. ¿No crees que ahora es tu turno de ceder un poco?"""
{f:5:Beatrice},"""..."""
,"Estaban a cierta distancia de la pérgola, pero lo bastante cerca como para poder hacerse una idea general de lo que ocurría."
,"Apenas sería posible ocultar que Battler y {f:5:Lambdadelta} habían desaparecido, o para fingir que el debate estaba tan acalorado que no se llegaba a una conclusión... Todo dependía de esa delicada, casi imperceptible distancia."
,"En realidad, prefería que esperara en un lugar más alejado."
,El plan era preparar un asiento reservado en una esquina del jardín laberinto y mantenerla aislada allí mientras tanto...
Furudo Erika,"""... ¿Acaso hay algún problema?"""
{f:5:Beatrice},"""Está bien, está bien. No pongas esa cara tan aterradora... En ese caso, espera aquí... ¡E-Esto es una reunión secreta, después de todo! Entonces, eh... ¡no te acerques más allá de esta línea!..."""
,Beato trazó una línea en el suelo con el pie.
{f:5:Beatrice},"""Ayúdales a verme con buenos ojos. Que hayas mostrado tal magnanimidad es, para mí, el arma más poderosa de todas."""
Furudo Erika,"""... ¿Podría tener una silla?"""
{f:5:Beatrice},"""¡E-Está bien, está bien! ¡Escuadrón Siesta, traigan de inmediato una silla y un paraguas para la Lady Erika! ¡Y una toalla también! ¡Yo misma la limpiaré hasta que brille antes de entregársela!"""
Furudo Erika,"""..."""
Ronove,"""Milady, ¿cómo resultaron las cosas?..."""
{f:5:Beatrice},"""¡Wajajajaja!... ¡El premio a la mejor actriz principal de este año es mío, sin duda!..."""
Leviathan,"""¡Esa es nuestra {f:5:Beatrice}-sama!"""
Ushiromiya George,"""Lo único que podemos hacer es debatir intensamente, crear confusión... Y dar la impresión de que las cosas se complicarán si no se resuelven."""
Ushiromiya Kinzo,"""Así es. Esto también es una batalla para apoyar a Battler y los demás. ¡Manténganse todos concentrados! Debatan con seriedad, ¡y no duden en lanzarse insultos! ¡¿Entendido?!"""
Gohda Toshiro,"""¡S-Sí, amo!..."""
,"Todos estuvieron a punto de soltar una carcajada al ver la mejilla roja e hinchada de Gohda, pellizcada momentos antes. Sin embargo, se apresuraron a cerrar la boca y se llevaron un dedo a los labios en señal de silencio..."
,"Luego, tras asentir todos al unísono, reanudaron la acalorada discusión teatral."
,Erika se dejó caer pesadamente en la silla que las Hermanas Siesta habían preparado para ella y comenzó a explicar la situación a una cabra.
,La cabra regresaría para informar de ello a la flota.
,"La flota llevaría ese mensaje a {f:5:Bernkastel}, quien podría tomar medidas al respecto o emitir nuevas órdenes."
,La conversación con la cabra terminó y esta giró sobre sí misma.{n}... Regresaría al bote e informaría de ello a la flota.
,"Luego, saldría del rosal, atravesaría el jardín laberíntico y se dirigiría hacia la puerta exterior..."
,"... No podemos permitir que esa cabra regrese al barco, ¿verdad?..."
,"Si la dejamos volver, el informe de Erika llegará a oídos de {f:5:Bernkastel}..."
,Las Hermanas Siesta hablaron a través de un canal secreto que solo ellas podían utilizar.
Chiester410,"""... Dos segundos, nyeh. Sin permitir ningún ruido nyeh..."""
Chiester45,"""... Pronto saldrá del radio de percepción de Erika... Habrá un intervalo de aproximadamente diez segundos antes de que entre en el radio de percepción de la cabra del barco. Durante ese tiempo, será posible ejecutar el asesinato."""
Chiester00,"""Lady {f:5:Beatrice}, solicito permiso para el asesinato... Podemos hacerlo. Erika no lo notará."""
{f:5:Beatrice},"""No lo permito... ¿Crees que un emisario militar zarparía sin un límite de tiempo establecido? Si no reciben noticias, seguramente tienen órdenes de iniciar el ataque tras un tiempo predeterminado. Deja ir a esa cabra."""
Chiester00,"""00, entendido."""
,La cabra salió por la puerta.
,"Luego, tras recibir una silenciosa reverencia de Shannon y Kanon, subió al bote y regresó a la flota."
,La flota obedecería las órdenes de Erika y permanecería en espera hasta recibir la orden de atacar.
,"... Si tan solo pudiéramos asesinar a Erika, pero... eso es imposible."
,"Es la subordinada más leal de {f:5:Bernkastel} y, además, una bruja que gobierna sobre la verdad."
,Engañarla ya es lo máximo que podemos lograr. Aspirar a algo más sería demasiado ambicioso...
Furudo Erika,"""¿Por qué no se sientan ustedes también?"""
Chiester00,"""... No se preocupe por nosotras, madam."""
,"00 no dejó entrever en lo más mínimo que momentos antes habían discutido sobre un asesinato. Se quedó de pie, con las manos cruzadas detrás de la espalda, en una postura firme e inmóvil..."
,Rendirse o luchar hasta el final.
,Todos reanudaron la falsa discusión.
,¿Hasta dónde y por cuánto tiempo podrán engañar a Erika?
,Así es... La última batalla por la Tierra Dorada ya ha comenzado.
{f:5:Beatrice},"""... Battler. Deja esto en nuestras manos... ¡Es hora de que tú y Ange recuperen este último juego!..."""
Ushiromiya Battler,"""... Vaya, qué biblioteca tan inmensa..."""
Ushiromiya Ange,"""Dicen que en cada uno de estos libros está escrita una historia como la nuestra."""
Ushiromiya Battler,"""Este lugar... es el mundo de los dioses."""
{f:5:Lambdadelta},"""Está claro que este no es un lugar al que gente como ustedes debería entrar, ¿no creen?"""
,"Tras cruzar la barrera, los tres lograron adentrarse en la ciudad de los libros."
,"Por un momento, Battler y los demás quedaron cautivados por aquel paisaje que parecía de otro mundo, pero pronto recordaron su verdadero objetivo."
{f:5:Lambdadelta},"""Escuchan bien. En primer lugar, no quiero que se hagan una idea equivocada... Han venido a enfrentar a Bern, pero eso no significa que vayan a luchar directamente contra ella para derrotarla, ¿entendido?"""
Ushiromiya Battler,"""... Lo entiendo."""
{f:5:Lambdadelta},"""Para empezar, pudieron enfrentarse en igualdad de condiciones contra la gran {f:5:Beatrice} porque estaban en el tablero de juego, donde las reglas los protegían por igual, ¿no es así? Fuera del tablero de juego... Son más bien algo que le dejará una pequeña mancha en la palma de la mano cuando los aplaste. No lo olviden, ¿entendido?"""
Ushiromiya Ange,"""... Tienes razón... Este ya no es el tablero de juego que conocemos."""
Ushiromiya Battler,"""No hemos venido aquí a luchar... Solo hemos venido a recuperar lo que nos pertenece."""
{f:5:Lambdadelta},"""Así es... Están aquí para evitar que el Libro de la Única Verdad sea expuesto al público. Ese es el único propósito de su lucha. No se equivoquen en eso."""
,"Battler y Ange asintieron, indicando que lo entendían."
{f:5:Lambdadelta},"""El propio Libro de la Única Verdad se exhibe abiertamente en medio de la fiesta, así que robarlo será imposible... Sin embargo, la entrega de la llave es una parte importante de la ceremonia."""
Ushiromiya Battler,"""Eso significa que la llave está guardada en otro lugar."""
Ushiromiya Ange,"""... Aunque no hay garantía de que ese lugar esté desprotegido."""
{f:5:Lambdadelta},"""El resto dependerá de su suerte. Les deseo la mejor de las suertes... ¡¡Escóndanse!!"""
,{f:5:Lambdadelta} se agachó rápidamente tras una estantería.{n}Los otros dos la imitaron apresuradamente.
,"... A lo lejos, se podía ver una luz verde esmeralda trazando un rastro mientras se movía."
{f:5:Lambdadelta},"""Ese es uno de los gatos familiares de Bern... Hoy están patrullando por todas partes."""
Ushiromiya Ange,"""... ¿Sabe que íbamos a venir?"""
{f:5:Lambdadelta},"""No. Es que este lugar es enorme. Son gatos del personal, que buscan a huéspedes despistados que se han perdido para llevarlos a la zona de niños perdidos."""
Ushiromiya Battler,"""Y no es ahí adonde queremos ir en este momento."""
Ushiromiya Ange,"""... Si parece que alguno está a punto de encontrarnos... ¿deberíamos acabar con ellos?..."""
{f:5:Lambdadelta},"""No es buena idea... Si estuviéramos en otro territorio o tablero de juego, sería distinto... Pero aquí estamos en el terreno de Bern, su propio territorio. Con un solo gato de esos, podrías sentirte como si estuvieras rodeado por una manada de bestias salvajes."""
{f:5:Lambdadelta},"""... Y además, son gatos. Son muy astutos y pueden llamar a sus compañeros... Si te descubren, prepárate para lo que venga. Y yo no voy a ayudarlos... Ya fue bastante problemático traerlos hasta aquí."""
{f:5:Lambdadelta},"""... En cuanto a mí, si me rindo... Me despojarían de todo y, en el peor de los casos, me condenarían a vagar durante cien años por los Fragmentos más repugnantes... Qué maravilla, tal vez así logre entender un poco cómo se siente Bern."""
,"{f:5:Lambdadelta} no se reía. Probablemente, incluso ese castigo que mencionaba era una estimación bastante optimista."
,Aunque decía que no ayudaría más...{n}Ella ya lo había apostado todo... Todo lo que tenía.
,¿Por qué?
{f:5:Lambdadelta},"""... ¿No es obvio?"""
,{f:5:Lambdadelta} se echó el pelo hacia atrás con un gesto elegante mientras esbozaba una sonrisa burlona.
{f:5:Lambdadelta},"""¡Porque ustedes me van a mostrar el mejor de los Finales Felices, ¿verdad?!"""
,{f:5:Lambdadelta} rodeó con fuerza las cabezas de ambos y las juntó con un golpe seco de frente.
{f:5:Lambdadelta},"""¡¡Demuéstrenlo, con absoluta certeza...!!"""
Ushiromiya Battler,"""... Sí. Te mostraremos un Final Feliz definitivo, ¡con absoluta certeza!"""
Ushiromiya Ange,"""¡Lo recuperaremos, sin falta!..."""
{f:5:Lambdadelta},"""Vamos. Por aquí... Naden tranquilamente."""
,Los tres comenzaron a nadar en la oscuridad de la gran fosa de la Ciudad de los Libros.
,Sus figuras se desvanecieron rápidamente en la inmensa y oscura grieta de los gigantescos estantes.
,Una vasta biblioteca que trasciende el entendimiento humano... La Ciudad de los Libros.
,"Su inmensidad hace honor al nombre de ""ciudad""."
,"Y allí, innumerables gatos negros, los sirvientes de {f:5:Bernkastel}, brillaban con sus ojos verde esmeralda."
,Contar su número sería tan difícil como contar los peces que habitan el océano.
,"Como un banco de peces, recorrían cada rincón... Siempre atentos a la improbable pero peligrosa posibilidad de que un insensato irrumpa en el evento de su ama."
,"Si detectaban algo, los gatos lo informarían al instante.{n}Se agruparían, abrirían sus grandes fauces y lo devorarían de un solo bocado."
,... No habría batalla alguna.
,"En este lugar, el grupo de Battler sería tragado como peces diminutos si fueran descubiertos."
,No cabe duda de que el número de barcos que rodean la Tierra Dorada supera el centenar.
,Cada uno de ellos apuntaba decenas de cañones directamente hacia las puertas de la Tierra Dorada.
,"A bordo, más de cien mil soldados cabra abarrotados, listos para la batalla."
,Cada uno de ellos porta en sus colmillos un veneno anti-mágico tan poderoso que niega completamente las piezas del tablero de juego.
,"Esta vez, lo devorarán todo, triturándolo hasta no dejar rastro... De las hordas de cabras emanaban alientos fétidos y saliva goteante."
,"Mientras tanto, Erika, deseando evitar complicaciones, esperaba que Beato lograra convencer a {f:5:Lambdadelta} de rendirse en paz. Tranquilamente, disfrutaba sola del té que Ronove había preparado."
,"Por supuesto, Erika no tenía intención de darles tiempo infinito. Había decidido en su interior que permitiría tres bostezos antes de dar por terminado el asunto."
Furudo Erika,"""... No está tan mal, después de todo... Ver como Beato intenta convencer a todos mientras la llaman cobarde y perdedora."""
Ronove,"""De hecho, es impresionante que nuestra malhumorada señorita haya conseguido convertirse en una persona tan madura. Pu ku ku ku."""
Furudo Erika,"""... ¿Qué es tan gracioso?"""
Ronove,"""Nada, mis disculpas... ¿Estás lista para otra taza? Por favor, disfrute con calma de los mejores tés de todas las épocas y lugares."""
{f:5:Bernkastel},"""¿Lambdadelta aliándose con Beato para resistir hasta el final?... ¿Está reuniendo aliados? No puede ser, ¿es una broma?"""
,"El gato negro mensajero movía la cabeza de un lado a otro mientras continuaba su informe con un serio ""miau, miau""."
{f:5:Bernkastel},"""... Ni siquiera Lambda es tan estúpida. Si se pusiera en contra de Auau, debería saber perfectamente las consecuencias que eso tendría..."""
,"A pesar de decir eso, {f:5:Bernkastel} mordía la uña de su pulgar con nerviosismo."
{f:5:Bernkastel},"""Esa chica, aunque no lo parezca, tiene muchos amigos extraños... Y no cualquier tipo de amigos, sino monstruos excepcionales, el tipo de criaturas excéntricas que se sienten atraídas por ella... Aun así, que se ponga del lado de quienes desafían al Senado..."""
,... Es posible...
,"Puedo imaginar a varios de los amigos de {f:5:Lambdadelta}, monstruos que disfrutan unirse a batallas perdidas solo para darles la vuelta."
,"Antes de darse cuenta, el dedo que {f:5:Bernkastel} mordía estaba empapado en sudor."
{f:5:Bernkastel},"""... Es capaz de hacerlo... ¡Esa chica a veces es increíblemente estúpida! ¡¡El teléfono, rápido!!"""
