Speaker,Spanish (ES)
Ushiromiya Ange,"""... ¿Y? ¿Por qué te tomaste la molestia de llamarme?..."""
Ushiromiya Eva,"""... No me queda mucho tiempo... Estos doctores charlatanes todavía no pueden detectar nada del veneno que me está matando... Lo sé. Estoy segura de que es una droga de asesinato secreta utilizada por la KGB Soviética."""
Ushiromiya Eva,"""... ¡¡Ooh, me van a matar, me van a matar!!... ¡¿No es genial?! ¡Muy pronto moriré, y entonces tú estarás tan aliviada!..."""
Ushiromiya Ange,"""... Qué persona tan miserable."""
,"Esto siempre sucede.{n}... Ellas inmediatamente se desviaban del tema principal, distorsionándolo hacia una discusión más irritante."
,"Eva, que estaba conspiranoica, creía que siempre había alguien tras su vida."
,"De hecho, después de heredar la inmensa riqueza de la familia Ushiromiya, ella había usado métodos descontrolados como Kinzo lo había hecho en el pasado, y repetidamente obtuvo dinero por cualquier medio necesario, creando muchos enemigos en el camino."
,"Con una provisión masiva de capital, ella conspiró para comprar agresivamente las empresas que estaban empezando a tener un rápido crecimiento, obligándoles a recomprarlas a un alto precio con el pretexto de la reconciliación."
,"... Irónicamente, era el mismo tipo de acción con la que la compañía de su esposo había sido golpeada hace 12 años..."
,Ella había repetido esto constantemente durante 12 años.{n}... Ella también se había ganado mucho odio.
,"Si su esposo escuchara esto desde el más allá, él podría haberla defendido, diciendo que esto era debido a la soledad de haber perdido a su familia."
,"... Sin embargo, de todas las personas que la conocían ahora, ninguno la defendería."
,"Durante algún tiempo, Eva fue elocuente sobre cómo su vida estaba siendo atacada, nombrando a personas que tenían odio por ella, y burlándose del hecho de que ella aún no había sido asesinada."
,"A pesar de que Ange escuchó su propio nombre incluido en dicha lista, su expresión no cambió significativamente, y esperó con indiferencia que Eva misma se cansara..."
Ushiromiya Eva,"""... ¿Sabes qué? Realmente te... odio."""
Ushiromiya Ange,"""Me siento halagada. Lo mismo digo."""
Ushiromiya Eva,"""... Construí este futuro por el bien de George... Y pensar que sería arrebatado por ti... Pensar que sería robado por la hija de Rudolf... No lo puedo soportar... Pensar que, sin dejar a un niño... mi fortuna será robada... No lo puedo perdonar... ¡Es imperdonable!..."""
Ushiromiya Ange,"""... En ese caso, ¿por qué tan solo no das toda tu fortuna a la caridad? ¿Qué ha sido de todos esos religiosos que has convocado tantas veces?"""
Ushiromiya Eva,"""... ¡*carcajada*carcajada*carcajada*! Todos dicen lo mismo... Mi excesiva riqueza se ha convertido en una carga para mí. Ellos siempre dicen algo acerca de que tengo que renunciar a ella y limpiarme a mí misma. ¡Ajajajajajajajajaja! Entonces pensé en algo. ¡Dejé de donar!"""
,"Durante un tiempo, Eva había buscado a los fundadores de varios extraños y nuevos cultos religiosos, tal vez buscando paz en su corazón."
,"... Pero al final, no le daban a su corazón ningún alivio, y solo contribuyeron a aumentar su paranoia..."
Ushiromiya Ange,"""... Si tienes tanto dinero, ¿Por qué no empiezas a comprar caballos de pura raza y hacer algo de carne en conserva?"""
Ushiromiya Eva,"""He pensado en algo aún más interesante... ¡*carcajada*carcajada*! Lo he pensado demasiado. ¿Qué podría hacer yo para que tu vida sea horrible?"""
Ushiromiya Eva,"""... Pensé en matarte. También pensé en borrar toda mi riqueza, dejándote sin un centavo, y venderte como esclava a un traficante o algo así."""
Ushiromiya Eva,"""¿No sería maravilloso? Una dama educada obligada a arrastrarse y merodear en busca de pan mohoso y agua fangosa. Aaah, eso sería maravilloso, ¡¡*carcajada*carcajada*carcajada*carcajada*!!"""
Ushiromiya Ange,"""... ¿Te estás divirtiendo?"""
Ushiromiya Eva,"""Sí, lo estoy. Es divertido asustarte... Pero muy pronto, moriré... Así que pensé en cómo puedo seguir causándote dolor incluso después de morir."""
Ushiromiya Eva,"""... Y entonces... ¡*carcajada*carcajada*! La respuesta era sorprendentemente simple... Te llamé porque quería hablar de ello."""
Ushiromiya Ange,"""... Tengo exámenes pronto... Sé breve."""
Ushiromiya Eva,"""... Lo he decidido. Haré que heredes toda mi fortuna."""
Ushiromiya Ange,"""... ¿Eh?"""
Ushiromiya Eva,"""No solo eso... Decidí que hasta el mismo día en que muera... voy a incrementar esa fortuna tanto como pueda, inflarla hasta alcanzar proporciones masivas y que tú la heredes toda. *carcajada*carcajada* ¿Puedes siquiera imaginar cómo sería eso?..."""
Ushiromiya Ange,"""... No lo comprendo. Porque es estúpido."""
Ushiromiya Eva,"""Ufufufu, ¡¡*carcajada*carcajada*carcajada*carcajada*!! Así es, no lo comprendes, ¿verdad?... ¡Estoy deseando que llegue, realmente es divertido, ser rico!... Cada día, monstruos de todo Japón vienen a jugar."""
Ushiromiya Eva,"""A partir de ahora, toda tu vida privada será seguida por programas de entrevistas y revistas semanales. ¡Los medios de comunicación me critican haga lo que haga! Si dono, me van a atacar como un burgués, y si lo paro de hacer, voy a ser maltratada como una avara."""
Ushiromiya Eva,"""Oh, cada día es realmente maravilloso, ¿lo ves? Me di cuenta que me gustaría invitarte a esa clase de vida, cuando aún eres tan joven y tienes tanto por delante. ¿No es verdaderamente maravilloso?"""
Ushiromiya Ange,"""... Parece que el público tiene razón en criticar todo lo que has hecho."""
Ushiromiya Eva,"""¡¡*carcajada*carcajada*carcajada*!! Muy cierto, sí, eso es muy cierto... Adelante, critícame todo lo que quieras. Y luego cargarás con ese criticismo."""
Ushiromiya Eva,"""... La cultura japonesa dice que las buenas personas viven en honorable pobreza, mientras que los ricos deben morir. No importa lo que hagas o dejes de hacer, en algún momento serás alzada como un símbolo de la envidia y el odio por todo Japón."""
Ushiromiya Eva,"""... ¡*carcajada*carcajada*carcajada*! Me pregunto cuán retorcida será tu vida después de esta manera..."""
Ushiromiya Eva,"""¡No tienes aliados! Nadie va a escuchar tus preocupaciones. Insultarte se convertirá en un deporte público. ¡Y nadie podrá detener eso!"""
Ushiromiya Eva,"""¡Oh, Ange! Ejejejejeje, oh, lo espero con entusiasmo... ¡Me pregunto cómo vas a vivir tu vida, y cómo la vas a terminar!... ¡¡Disfruta plenamente de una vida en la que no puedas confiar en nadie en el mundo, siendo incapaz de amar a nadie, siendo incapaz de hablar con nadie!!..."""
Ushiromiya Eva,"""Estaré esperándote pacientemente en el infierno, esperando a que vengas cayendo, trayendo contigo esa historia de penurias. Ufufufufu, ajajajajajajajajaja, wajajajajajajajaja, gkk, *toser*toser*, ¡¡gajh!!"""
,Su risa enfermiza se convirtió en una tos dolorosa.
,"Sin cambiar su expresión en lo más mínimo, de forma completamente indiferente... Ange miraba a la única sobreviviente de Rokkenjima."
,"Tal vez porque él encontró a la violenta tos extraña, mientras daba un pequeño golpe en la puerta, el guardia entró."
,"Ange lo miró, silenciosamente mostrando que ella no se movería un paso de donde estaba."
,"... Ange estaba preparada para algún tipo de trampa que la enmarque en la muerte de Eva. Sin embargo, eso fue afortunadamente una ansiedad innecesaria."
,"Mientras el guardia frotaba la espalda de Eva, vertió agua caliente de un termo en una taza."
,"Mientras lo hacía, Eva seguía tosiendo, viéndose dolorida."
,Ange pensó que esta sería la última forma de la bruja de Rokkenjima que ella sería capaz de ver.
,"Eventualmente, la tos disminuyó y Eva recuperó su respiración normal.{n}... Sin embargo, la resplandeciente locura en el interior de sus ojos no había disminuido en lo más mínimo."
Ushiromiya Eva,"""¡¡*carcajada*carcajada*carcajada*carcajada*!! La maldita masa de oro y el título del líder de la familia Ushiromiya... así como... el nombre de la Bruja Dorada, {f:5:Beatrice}... son ahora tuyos... ¡Disfruta tu enferma y retorcida vida vistiendo el nombre de la bruja!"""
Ushiromiya Ange,"""Yo no necesito eso. Más importante, dime... En aquel día, ¿qué sucedió en Rokkenjima?... Yo no creo que fuera un accidente. ¡¡Dime la verdad sobre lo sucedido ese día, y por qué mi padre, madre y Nii-san murieron!!..."""
Ushiromiya Eva,"""¡*carcajada*carcajada*!... Oh, esa debe ser la mejor manera de atormentarte, ¿verdad?... ¿Qué pasó ese día? ¿Qué fue lo que ocurrió ese día de 1986?... Quiéres saber lo que dijeron antes de morir, ¿verdaaaad?"""
Ushiromiya Eva,"""¡¡No te lo dirééééé, aaajjyajjyajjyajjya!! ¡Te dejaré el oro maldito! Pero ¿sabes qué? ¡Me llevaré la verdad que tanto deseas conmigo al infierno!... ¡¡Esa es la mejor manera en que puedo hostigarte!!"""
Ushiromiya Eva,"""¿Molesta? ¡Si quieres saber, prueba a ir al infierno y preguntar allí a tu familia! ¡En ese caso, sería mejor que te mueras ahora mismo, ¿no?! ¡Ajjajajajajaja, ¿por qué tan solo no te das por vencida y mueres?! ¡¡Waaajjajjajjajjajjajjajjajjajjajjajajajaajajajajajajajajajajaa!!"""
,Esa risa continuó hasta que ella comenzó a toser de nuevo.
,Y esa tos no desapareció hasta que empezó a gemir y entrar en convulsiones...
,4 de octubre de 1986.
,"En Rokkenjima, se celebró la habitual y última conferencia familiar de la familia Ushiromiya."
,"Y el día siguiente, el 5 de octubre..."
,"Ocurrió un ‘accidente extremadamente desafortunado’, y la familia Ushiromiya desapareció."
,"‘Afortunadamente’, Ushiromiya Eva se salvo de este, y heredó casi toda la fortuna de la familia Ushiromiya."
,"Sin embargo, debido a los muchos rumores turbios que rodean a la familia Ushiromiya, la forma en que Eva actuó después, y sus anormales acciones al momento del ‘accidente desafortunado’, hubo controversia pública sobre si podría haber sido un complot para quedarse con toda la herencia."
,"Bajo la presión pública, fiscales repetidamente trataron de investigar, y los medios de comunicación empezaron a trazar el esquema del complot bajo el nombre de La 'Masacre de Rokkenjima', pero al final, no fueron capaces de encontrar suficiente prueba de que este ‘accidente desafortunado’ fuese un crimen."
,"Sin embargo, como los medios de comunicación seguían dando la impresión de que La Masacre de Rokkenjima fue un complot de Eva, la opinión pública comenzó a creer que ella era la verdadera culpable."
,"... Por supuesto, eso fue también influenciado por la mala impresión causada por toda aquella fácilmente condenable e imperiosa actividad financiera... la cual ella llevó a cabo usando su vasta riqueza."
,"Cada vez que ella hacía algo y los rumores comenzaban a propagarse, los medios traían de vuelta lo de La Masacre de Rokkenjima, culpando al sistema judicial diciendo que ella era la verdadera culpable, y que la única razón por la que no había sido arrestada era porque hasta la policía había sido sobornada."
,Entonces la impresión de que ella era una gran villana se hacía cada vez mas fuerte...
,"Su corazón eventualmente se degeneró... e irónicamente, eso comenzó a transfigurarla en el tipo de humano que el público esperaba..."
,"Ahora mismo, Eva no tenía a nadie en quien confiar, y tampoco una familia."
,"... Luego de que su amado esposo muriera, los programas de entrevistas ocasionalmente mencionaban su compañía, diciendo que era manejada imprudentemente, mientras criticaban y deshonraban sus logros anteriores."
,"Incluso su amado hijo, George, era dramatizado bajo el estereotipo del ‘hijo rico y perezoso’ que el público esperaba... y nadie intentó siquiera averiguar sobre el carácter sencillo y honesto que tenía."
,... A nadie le interesaba saber cuánto le había dolido todo esto a Eva y cuánto la había llevado a la ruina.
,"Al público solo le interesaba la idea de una mujer malvada que había matado a toda su familia para convertirse en multimillonaria, y en cómo viviría sus lastimosos últimos años."
,Así que ella cambió cada vez más... y eventualmente...{n}... La personalidad de Eva fue transfigurada hasta que se la llamó lunática...
,"Se decía que ella a veces recordaba que esta era la misma forma en que su padre, a quién ella alguna vez admiró, había estado en sus últimos años, y se reía de si misma con desdén..."
,"Y, en el día de la última conferencia familiar..."
,"Ange, la hija de Ushiromiya Rudolf, había estado enferma y se había quedado con la familia de su madre, por lo que no había podido ir."
,"A los 6 años de edad, ella perdió a su familia y obtuvo a Eva como su tutora."
,"Debido a que Ange se había convertido en el único pariente consanguíneo de Eva, esta ‘la cuidó muy bien’."
,"Ella impuso guardias que estén siempre rodeando a Ange, para prevenirla de ser lastimada."
,"... A Ange le robaron incluso el derecho de jugar con sus amigos, volver juntos del colegio y disfrutar juntos de las estaciones del año."
,"‘Para que pueda llevar una vida escolar plena y agradable’, Eva envió a Ange a un elegante internado escolar, el cual se preocupaba de todas sus necesidades, aislándola completamente del mundo."
,Ella ni siquiera sabía que canciones populares tarareaban las chicas de su edad.
,Nunca tuvo la oportunidad de mirar los escaparates con sus amigas ni de llenarse la boca de crepes... y mucho menos un encuentro con alguien del sexo opuesto que acelere su corazón.
,"Ange no tenía ni una sola amiga. Si alguien descuidadamente actuaba amistosamente con Ange, sería reprendida por los guardias, o por los maestros."
,... Todos ellos tenían estrictas ordenes de no dejar a míseros humanos acercarce a la hija de la estimada familia Ushiromiya.
,"Durante ese tiempo, los programas de entrevistas siempre estaban hablando de Ushiromiya Eva, y siempre desparramando rumores sobre sus muchas perversas acciones financieras."
,... Aquellos que sabían sobre su ‘hija’ naturalmente empezaron a mantener su distancia.
,"... Incluso, ella era llamada bruja en la escuela, y cada vez que algo malo pasaba, se rumoreaba infundadamente como verdad que la escuela funcionaba según sus emociones, y que ella tenía algo que ver con ello."
,"El entorno hace a la persona.{n}A estas alturas, tenía un corazón tan endurecido como temían los que la rodeaban."
,"... Nadie confiaba en ella, así que ella ni siquiera intentaba creerles.{n}Nadie la amaba, así que ella ni siquiera intentaba amar."
,"Y encima de todo esto, cuando Eva contrajo una enfermedad incurable, se rumoreaba que esto también era una conspiración, y esta vez, Ange era marcada como la mente maestra de la misma..."
,Se rumoreaba que la niña bruja era de verdad una bruja.{n}Hasta los programas de entrevistas y las revistas semanales rumoreaban eso.
,"... Por lo tanto, Ange debido a eso; no, como si de verdad fuera cierto, lo aceptó."
,"Por lo tanto, ya que ella creía que era una bruja, cuando escuchó que le entregaban el nombre de la Bruja Dorada, solo tuvo ganas de decir ‘¿te acabas de dar cuenta ahora?’."
,"Sin embargo, ella estaba al menos segura de una cosa."
,Este título de bruja que ella heredó definitivamente nunca sería heredado por nadie más.
,"Ella sería la última heredera de la familia Ushiromiya, y la última aislada Bruja Dorada..."
,Ange podía ser vista en el techo de un rascacielos.
,"Comparado a los vientos del mundo que la había abatido hasta ahora, este fuerte y frío viento era cálido y placentero."
,"Debajo de ella había una hermosa escena nocturna, y un brillante río de luces rojas y blancas."
,"El cielo estaba despejado esta noche... Por lo que realmente debería haber incontables estrellas extendiéndose por el cielo. Sin embargo, la luz del suelo era tan brillante que no se veían en absoluto."
,... Ange no podía imaginar que lo que ella buscaba podría estar en esa luz estelar nunca antes vista.
,El mundo real bajo ella parecía tan lejano desde aquí.
,... Ella podía imaginar que este lugar era el más cercano al mundo en el que ella realmente debería estar.
,... Había una única cosa que Ange maldecía:
,"¿Por qué no pude ir a aquella conferencia familiar, a aquel día de hace 12 años?"
,"Si hubiese ido, probablemente habría podido estar con mi familia para siempre."
,"... Recientemente... he estado soñando con mi familia, una y otra vez."
,"Mi yo de hace 12 años les llama frenéticamente, pidiéndoles que no vayan a la conferencia familiar."
,"Pero mamá y papá están demasiado lejos, y mi mano no los alcanza."
,"Intento alcanzar la mano de Battler nii-san, esa mano que siempre me acariciaba la cabeza..."
,"Pero aunque pareciera que su mano estaba a punto de alcanzarme, no lo hace."
,"Por alguna razón, comencé a tener ese sueño una y otra vez."
,"... Cada vez que tenía ese sueño, intentaba estirar mi mano aún más fuertemente, pero mis inútiles esfuerzos continuaban repitiéndose dentro de mis sueños."
,Si al menos Battler nii-san hubiera podido vivir...
,"Entonces quizás, al menos nosotros seríamos capaces de vivir apoyándonos el uno al otro en mi fría y solitaria realidad."
,Pero su mano nunca me alcanzaba.
,Aun cuando trepo al techo de este alto edificio... Estoy distantemente separada de todos ellos.
,... Una misteriosa chica aparece en mis sueños y me urge.
,Aquella chica en mis sueños me urge a que llegue a la verdad de lo que había pasado hace 12 años.
Ushiromiya Ange,"""... Si pudiera saber... qué le pasó a papá y a todos los demás ese día... ¿Ellos volverían? ¡¿Al menos uno de ellos?!..."""
,No había forma... de que existiera alguien que pudiera responder aquellas palabras.
,"Entiendo... En este mundo, yo no tengo familia o amigos."
,Por lo tanto... vamos... Vamos a casa.{n}... A donde mi familia está.
,Desde el comienzo... la figura de Ange había estado al otro lado de la valla.
,"El escenario debajo era distante, hermoso, y tan fantástico que no daba lugar al temor."
,"Si mirara hacia abajo, seguramente sería llevada al mundo de abajo."
,... Así que miré hacia arriba.
,"Porque quería que me llevaran al mundo de arriba, al mundo donde estaba mi familia."
,... A quién le importa una vasta riqueza. A quién le importa un oro maldito.{n}A quien le importa el título de la Bruja Dorada {f:5:Beatrice}.
,Lo que realmente quiero... no puede ser obtenido ni siquiera con una montaña de oro...
,Lo que necesito para ello... es una pequeña dosis de valor... para dar un solo paso adelante.
,"... En ese instante, definitivamente escuché una voz.{n}Yo conocía esa voz."
,Era la voz que siempre me llamaba en sueños...
,"Ante mis ojos... en otras palabras, en el aire sobre ese oscuro cielo nocturno..."
,... Estaba la figura de aquella chica que había visto en mis sueños...
,"Ella habló de nuevo, con la misma voz que había escuchado en mis sueños."
{f:5:Bernkastel},"""... Se necesita tu ayuda."""
Ushiromiya Ange,"""... ¿Mi... ayuda?... ¿Quién la necesita?..."""
{f:5:Bernkastel},"""... Tu familia la necesita... Tu familia está atrapada en el periodo de 2 días que comenzó este día hace 12 años."""
Ushiromiya Ange,"""S-Si los salvo... ¡¿eso significa que ellos volverán?!"""
,"Cuando hice la pregunta que más anhelaba, la chica cruelmente dejo de hablar y agachó la cabeza."
{f:5:Bernkastel},"""... No puedo prometer eso. El enemigo es la Bruja Dorada, {f:5:Beatrice}... Un oponente poderoso. Yo no puedo oponerme a ella... Pero otra Bruja Dorada podría ser capaz de hacer algo."""
Ushiromiya Ange,"""... Yo... no sé... de qué estás hablando."""
{f:5:Bernkastel},"""... La única que se le puede oponer a la {f:5:Beatrice} de 1986... es la última {f:5:Beatrice} de 1998. En otras palabras, tú. Ange... {f:5:Ange Beatrice}."""
Ushiromiya Ange,"""Esa bruja de hace 12 años... ¿se llevó a mi familia?..."""
{f:5:Bernkastel},"""Así es. Ella es responsable de lo que le pasó a tu familia... La fuente que siempre te lleva a tu futuro de soledad."""
Ushiromiya Ange,"""... La... asesina... de mi familia."""
{f:5:Bernkastel},"""... A cambio, buscaré el Fragmento con el mundo ideal que deseas, el mundo en el que tu familia vuelve a casa... Pero no puedo prometerte que se cumpla tu deseo... El tablero de {f:5:Beatrice} en 1986 es casi perfecto."""
{f:5:Bernkastel},"""... Había planeado traerte ese Fragmento ideal como un regalo hoy, pero aún no puedo encontrarlo... Es un destino muy firme. No había visto algo así desde que luché contra {f:5:Lambdadelta}."""
Ushiromiya Ange,"""... Yo... no sé... de qué estás hablando."""
{f:5:Bernkastel},"""... Te estoy dando una oportunidad de vengarte... A cambio, prometo encontrarte y traerte la resolución más feliz que te sea posible recibir."""
Ushiromiya Ange,"""... Venganza..."""
{f:5:Bernkastel},"""... Podría ser un esfuerzo infructífero. Aún cuando logres tu venganza, no hay prueba certera de que tu familia regresará. Aún con una probabilidad milagrosa, es posible que seas capaz de traer solo a una persona de vuelta."""
,... Ange entendió el significado de ese sueño.
,"... Aquel sueño donde parecía que, con solo un poquito más, su mano podría al menos ser capaz de alcanzar a Battler nii-san."
Ushiromiya Ange,"""Una probabilidad milagrosa... sigue siendo más que cero, ¿verdad?... ¿Es del 1%?..."""
{f:5:Bernkastel},"""... Todos los valores de probabilidad son inútiles ante el resultado. Por lo tanto no puedo decirte el número."""
Ushiromiya Ange,"""Pero a diferencia de que no haga nada, definitivamente hay una pequeña posibilidad."""
{f:5:Bernkastel},"""Sí, siempre y cuando no abandones tu deseo... Pero prepárate. Es extremadamente cercana a cero."""
Ushiromiya Ange,"""... Muy bien. Aceptaré esa oferta."""
{f:5:Bernkastel},"""... ¿Estás segura? Es probable que no puedas regresar aquí otra vez."""
Ushiromiya Ange,"""Este no es el mundo al que pertenezco... Y... en cuanto al mundo al que pertenezco... lo encontraré yo misma. Dime tu nombre."""
{f:5:Bernkastel},"""La Bruja de los Milagros, {f:5:Bernkastel}. Y por ese nombre, te reconozco como la Bruja Dorada, {f:5:Ange Beatrice}... A partir de ahora, eres una verdadera bruja."""
,"En el instante en que ella proclamó que yo era una bruja... me sentí mareada, como si algo dentro de mí hubiera cambiado drásticamente."
,"Entonces, escuché un portazo.{n}... Era el sonido de la puerta que llevaba desde la escalera al techo."
,Allí estaban los guardias de la tía Eva.
,"... “Guardias” solo en nombre.{n}¿No son ellos la jaula más cercana a mí, encerrándome?"
,"Ellos vieron que yo ya estaba del otro lado de la valla y corrieron hacia adelante, horrorizados."
,"""20, objetivo encontrado. Se solicita asistencia en el techo."""
,"""¡Ange‐san!... ¡Estábamos buscándote! ¡Es peligroso allí, así que rápido, venga con cuidado!"""
{f:5:Bernkastel},"""... ¿Quiénes son?"""
Ushiromiya Ange,"""... Mi club de fans... Soy bastante popular."""
{f:5:Bernkastel},"""No tiene sentido ser atrapado... Vámonos."""
,"Viéndose irritada, {f:5:Bernkastel} giró en sí misma... en el cielo profundamente oscuro."
,"Observando ese casi perfecto gesto casual, la seguí como si eso fuera perfectamente normal."
,"""¡¡¡Ange‐san!!! ¡Espere! ¡¡No sea imprudente, cuidaaaadooooooooooo!!"""
Ushiromiya Ange,"""Aaah, es inútil, totalmente inútil. Hasta luego. <See you again>."""
Ushiromiya Ange,"""Por favor envíen una limusina para buscarme, ya que todos los demás estarán conmigo también. Nos vemos."""
