Speaker,Original Witch Hunt (OG)
Willard H. Wright,"""At first, I didn't get your existence either. ......But, I have formed a theory about you, after hearing all this. The important fact is that you're 19 years old."""
Ushiromiya Lion,"""......I don't remember telling you my age, but you got it right. ......How?"""
Willard H. Wright,"""Jessica said you were already the student council vice-president when she started, and that you became the president the next year. That means you're one year older than Jessica."""
,"Jessica is 18 years old, ......so Lion must be 19."
Ushiromiya Lion,"""I see... And what sort of theory can you make, now that you know I'm 19?"""
Willard H. Wright,"""You aren't Ushiromiya Natsuhi's child. That's the theory."""
Ushiromiya Lion,"""..................How rude. I don't know what game you're playing, but I won't allow you to insult both me and my mother like that."""
Willard H. Wright,"""Why are you the successor to the headship, instead of Krauss?"""
Ushiromiya Lion,"""I will succeed the headship when I come of age. When I have a kid, I'll probably pass the title down to them when they come of age."""
Willard H. Wright,"""Then why didn't Kinzo give the headship to Krauss when he came of age?"""
Ushiromiya Lion,""".........You heard what our Head said. He was used by the cunning elders of the Ushiromiya family and suffered much. That's why he decided that only young people should inherit the headship from now-"""
Willard H. Wright,"""In the world without you in it, there is no silver ring for the successor to the headship. ......That silver ring proves that Kinzo had a strong desire, which he didn't show in any other world, to see that you became the next head."""
Ushiromiya Lion,"""......I can't deny that you may have a point there. The Head always seemed to adore me particularly, and I was very young when he first promised to make me the Head when I came of age. He was very strict when he told me to keep up in my studies in preparation for that day."""
Ushiromiya Lion,"""......But I don't think my father was any less talented. Why did Grandfather skip over him and make me the successor? .........I've thought it strange from time to time, but since it's always been that way, I never said so aloud."""
Willard H. Wright,"""Do you know why Kinzo wanted you and not Krauss to become the next Head?"""
Ushiromiya Lion,"""How could I know? ......Are you trying to tell me to stop ignoring the heart again? Do you think you understand how the Head's heart works?"""
Willard H. Wright,"""It's because you're the child of Kinzo and Beatrice."""
{f:5:Bernkastel},"""......Well done. ...*giggle*giggle*giggle*giggle*."""
,There was a crisp applause and a mocking laugh.
Willard H. Wright,"""Bernkastel."""
{f:5:Bernkastel},"""......That was faster than I expected. I thought you'd let me play a bit longer."""
,"Bernkastel appeared sitting on the altar, ......almost as though it had become her own personal chair."
{f:5:Bernkastel},"""When did you realize that Lion shared Beatrice's blood?"""
Willard H. Wright,"""As soon as I realized that Lion was 19. ......It was the same number as 'the baby from 19 years ago', that hint which appeared in the 5th game."""
{f:5:Bernkastel},"""......Didn't that baby fall off a cliff?"""
Willard H. Wright,"""Lion is the baby who was accepted by Natsuhi and didn't fall off the cliff. In other words, if Natsuhi rejects the baby, Lion doesn't exist."""
Ushiromiya Lion,"""You're saying......I'm not Mom's child...?! That's insane.................."""
{f:5:Bernkastel},"""You say that, but you don't look too sure. ......*giggle*. That's right. Ushiromiya Lion is not Natsuhi's child. This is the grown-up version of the baby Kinzo got from somewhere 19 years ago."""
Willard H. Wright,"""Not 'somewhere'. ......Lion clearly shares Beatrice's blood. The proof is the silver ring, which is only ever given to Lion across all of the many worlds."""
Ushiromiya Lion,"""Why does the ring prove that I share Beatrice's blood?"""
Willard H. Wright,"""In all of the many worlds, you are the only one who is given it. That means that, in all worlds, you are the most important person to Kinzo, second only to Beatrice. And his love for you is clearly greater than it is for his son, Krauss, or his granddaughter, Jessica. And you are 19 years old. ......In other words, if we look back to see what happened 19 years ago, we are led to one theory."""
Ushiromiya Lion,"""19 years ago? What's supposed to have happened at the time I was born?"""
{f:5:Bernkastel},"""......You heard it too, didn't you? You even heard it today. And Will was with you, right?"""
Ushiromiya Lion,"""..................You don't mean...Rosa oba-san's story?!"""
Willard H. Wright,"""That's right. Rosa's story came out in the 3rd game, and when the age of the baby in the 5th game matched that date, a certain theory became possible. The fact that Kinzo brought a baby from somewhere and tried to add it to his family... proves that the baby was somehow important to him."""
Ushiromiya Lion,"""And I'm... the child......of the Kuwadorian Beatrice......"""
Willard H. Wright,"""The Kuwadorian Beatrice was the daughter of the Beatrice who came in the submarine. ......But Kinzo didn't think of her as a daughter. He believed she was the same person, Beatrice reborn. ......When that 'reborn Beatrice' reached the same age as the first Beatrice, and truly looked like Beatrice's double... Kinzo made a terrible mistake."""
Ushiromiya Lion,"""......I...I don't want to hear it!"""
{f:5:Bernkastel},"""That's how it is. Kinzo got Beatrice pregnant with Beatrice, and then he got that Beatrice pregnant with you. ......So, you're both Kinzo's child and Beatrice's grandchild."""
Ushiromiya Lion,"""............!"""
Willard H. Wright,"""If we consider Kinzo's heart, this is the inevitable theory we reach for explaining why he treated you so specially. He regretted his mistake so much that he tried to make you his proper grandchild."""
{f:5:Bernkastel},"""......In almost all cases, Natsuhi's pride is brutally hurt, and she refuses to raise Lion. Because of that, you almost always fall from the cliff and disappear."""
Ushiromiya Lion,"""......I, I heard......that I was the child they were finally blessed with after so long... and that Jessica was born the next year..."""
Willard H. Wright,"""If you really never suspected that Natsuhi wasn't your mother, ......then you should thank her in this world. The reason you never realized the truth is because she's shown as much affection for you as she did for Jessica."""
{f:5:Bernkastel},"""......There's no need to thank her. ......After all, it took a dizzying span of time just to find a Fragment with you in it."
{f:5:Bernkastel}," Mathematically speaking, there's actually a 2,578,916/2,578,917 chance of her refusing to raise you. You should probably be thanking me for creating this miracle, not Natsuhi. ...*giggle*giggle*."""
Willard H. Wright,"""Enough with your stupid probability games."""
{f:5:Bernkastel},"""Oh, I'm sorry."""
Ushiromiya Lion,"""............"""
Willard H. Wright,"""No matter whose blood you bear, that doesn't change the debt you owe to the family that raised you."""
Ushiromiya Lion,"""I realize that. ......Still, I would like some time to calm down and think things through. ...That is, if you'll refrain from ignoring my heart."""
Willard H. Wright,"""......Sure."""
,Lion took a deep breath and looked upwards.
,......Anyone would be shocked to find that their parents weren't who they believed them to be.
," Still, Lion should be grateful. Grateful towards the family that raised a child who wanted for nothing..."
Willard H. Wright,"""It is pretty interesting. ......Hard to believe that the Golden Witch Beatrice might've lived such an ordinary life, even at absurdly low probabilities."""
{f:5:Bernkastel},"""Isn't it? I think moments like this are hilarious......"""
,Will had said it plainly.
, Ushiromiya Lion......is how the Golden Witch Beatrice appears in a different world.
, The baby Natsuhi rejected 19 years previous.
," If she had accepted that child, this is the future that would occur..."
," However, if she doesn't accept that child, ......the witch is born."
, The baby whose birth was not celebrated becomes a witch...
Willard H. Wright,"""Lion is the dead cat. ......However, Lion's existence has nothing to do with what you're interested in, the Rokkenjima Serial Murders. ......In other words, Lion is the cat that disappears when you open the cat box."""
{f:5:Bernkastel},"""......*giggle*, exactly. Lion is just a disappearing cat. But this was pretty fun for a side-trip, don't you think?"""
Willard H. Wright,"""You're the only one having fun. ......If I wasn't trapped in here, I wouldn't even worry about reasoning this out."""
Ushiromiya Lion,"""...................I think I know why I was chosen to be your partner in this strange detective game. ......It seems this Bernkastel witch enjoys toying with people's fates and sneering at them."""
{f:5:Bernkastel},"""Wow, incredible. ......It's rare for someone to understand me the same day they meet me. ......*giggle*."""
Ushiromiya Lion,"""Apparently, ......I become something that's called a witch in another world. And, apparently, I'm the cause of some sort of crime. Is that my sin?"""
Willard H. Wright,"""It's no sin of yours. You are you. How things would be if the coin were flipped the other way doesn't matter to you."""
Ushiromiya Lion,"""Thank you. Even so, I don't think anyone would be pleased to hear that they caused some sort of trouble in the world of a different fate. ......Please, tell me. What do I do in that other world?"""
Willard H. Wright,""".........Bernkastel?"""
{f:5:Bernkastel},"""Should we show the Fragments to this kid?"""
Willard H. Wright,"""............"""
,"Will opened his hand... and something that looked like a pale-blue, glowing shard of a crystal appeared there."
," It was a memory...no, a game record...of all the games so far."
Willard H. Wright,"""......Touch this. You'll be able to see your fate in other worlds."""
Ushiromiya Lion,"""......Well, your face is telling me that I'd be happier if I didn't touch it."""
Willard H. Wright,"""Of course. ......You've probably guessed, but the story here is not a happy one."""
Ushiromiya Lion,"""Even so... ...Even if it is another world, ......it's still about me."""
Willard H. Wright,"""......You have both the right to know and the right not to know. If you can convince yourself that the one similar to yet different from you is a separate person, ......then touch it."""
{f:5:Bernkastel},"""Don't you want to know...? You wanna know the fate you might have reached?"""
Ushiromiya Lion,""".........I ask this as your partner. Would you show that to me?"""
Willard H. Wright,"""As your partner, I'd say 'look'. ......But as a friend, I'd say 'don't'."""
Ushiromiya Lion,"""Unfortunately, I'm not your friend."""
Willard H. Wright,"""Then, as a partner, I have one last question."""
Ushiromiya Lion,"""What?"""
Willard H. Wright,"""Are you............a boy or a girl?"""
Ushiromiya Lion,"""......Well, that came out of nowhere."""
Willard H. Wright,"""I could see you as a fairly slender boy. But then again, I could also see you as a no-nonsense sort of girl. ......Even Bernkastel has been intentionally keeping it a secret. She made Jessica call you 'our Successor-sama' all the time, instead of 'big brother' or 'big sister'."""
{f:5:Bernkastel},"""......*giggle* You are quick."""
Ushiromiya Lion,"""People often ask me about my gender. So, I always give the same irritated response. ......Which do you think I look like?"""
Willard H. Wright,"""......In the 5th game, you're treated as a boy. But in countless other games, you're thought of as a girl. "
Willard H. Wright,"......In the sixth game, when Ushiromiya Battler was the Master, two demons of different sexes appeared, but we didn't know which was which. ......In fact, strictly speaking, it started all the way back in the very first game. .........Your gender is one of the hidden mysteries that exists outside the games themselves."""
Ushiromiya Lion,"""I'd hate to give you an answer so easily, so I won't. We're partners, right? Does it really matter if I'm not the gender you'd prefer?"""
Willard H. Wright,"""..................You're right. If we're working together on this, I don't care what your gender is."""
Ushiromiya Lion,"""Thank you. ......I've formed a bit of a complex about it, so your words are very gratifying."""
Willard H. Wright,"""I'm all for gender equality. .........If someone's a waste of space, I'll smack 'em no matter who they are."""
Ushiromiya Lion,"""And of course, I'll pinch rude people no matter which gender they are."""
,"Slowly, ......Lion reached out and touched the Fragment."
," A moment later, Lion seemed to undergo a violent bout of dizziness...and silently slumped over like a puppet with its strings cut."
," It was no surprise. When people who don't understand parallel universes have many different fates jammed into their heads, they tend to feel like their heads are swelling and their sense of self is melting away."
,......Lion seemed to have lost consciousness.
Willard H. Wright,"""So, ......Lion had what it took to learn everything."""
{f:5:Bernkastel},"""A perfect piece to be your partner, wouldn't you say?"""
Willard H. Wright,"""I'll continue my reasoning. ......I've talked about the dead cat."""
{f:5:Bernkastel},"""Very true. Next up is the living cat."""
Willard H. Wright,"""The only one who can kill the Beatrice of 1986 is the one who created her."""
{f:5:Bernkastel},"""There are tons of hints. If you think about it, they've been coming since back when Beatrice was running the games."""
Willard H. Wright,"""That's true. ......In the 4th game between Beatrice and Battler, Beatrice's origin became clear. And, at that point, I learned who Beatrice was, and about that person's heart."""
{f:5:Bernkastel},"""What do you mean by heart?"""
Willard H. Wright,"""......The motive. ......The reason why Beatrice had to commit a game-like crime on October 5th, 1986, putting even her own fate on the line."""
{f:5:Bernkastel},"""Impressive. So, you figured out the 'who dunnit' and the 'why dunnit' by the end of the 4th game. ......Then what about the 'how dunnit'?"""
Willard H. Wright,"""Once you know who the culprit is, theorizing about the 'how dunnit' isn't impossible. ......Those linked closed rooms in the third game were a pretty nice job. Almost made me feel like applauding."""
{f:5:Bernkastel},"""And the 'who a-m I?', from the end of the 4th game......?"""
Willard H. Wright,"""The 'culprit' who can kill everyone at 24:00 on October 5th, no matter where they are. It's possible to make a certain hypothesis for that time. ......You might call that the other treasure of the Golden Land."""
{f:5:Bernkastel},"""......Ooh? So, you say you can reach all of the answers by the 4th game? In other words, with just Beatrice's games?"""
Willard H. Wright,"""It's possible. ......After that, Lambdadelta's game and Battler's game were just full of extra hints. ......As is this game of yours."""
{f:5:Bernkastel},"""*giggle*giggle*...... ......Well now, why don't you stop stalling for time, and just tell me? ......Who i-s... the culprit...?"""
,"At that moment, ......though there hadn't been anyone but them in the chapel, a small footstep rang out."
, That silhouette slowly walked up to Will and Bernkastel...and gave a small bow.
Willard H. Wright,""".........So, you've come."""
{f:5:Bernkastel},"""Did you call this person here?"""
Willard H. Wright,"""Yeah. ......'Who dunnit'. 'How dunnit'. And 'why dunnit'. ......I understand this person's motive."""
{f:5:Bernkastel},"""......And are 'you' going to give up just because he's found out your motive...? There's no concrete evidence, right? You could make a flashy fight of it, with red and blue."""
Willard H. Wright,"""That's not what they want anymore."""
,The person nodded slightly.
, Their wish......was to be noticed.
," Now that this had happened, there was no need for trivial excuses or pointless word games..."
Willard H. Wright,"""I believe that I understand your motive......your heart. ......I'm going to say it now. I called you here... to listen......and correct me if I've gotten anything wrong."""
Willard H. Wright,""".................."""
,The two of them nodded to each other once more.
Willard H. Wright,"""In your four games, I found your message. ......And in the three games with different Masters, I pictured the strange sort of fate that must have toyed with your life. ......It left me speechless. ......In every game, you die, without revealing that truth to anyone."""
,Having this person confess in this empty chapel might be pointless.
," However, even so, ......I believe it will give her some sort of salvation."
, People are only saved when someone understands them.
," No matter how many years have passed since her death, ...it's about time to forgive this pitiable witch, ......whose life ended before the one man she wanted to understand her could do so."
," At the end of the 5th game, Battler finally understood."
,"......However, ......it took him so long......and he didn't make it in time."
," So, even though she is alive here and now, Battler cannot save her."
," So, Battler is not here at Beatrice's funeral. He won't come. ......He didn't make it in time."
Willard H. Wright,"""......This is Beatrice's funeral. You will confess, ......the divine Master will hear, ......and I will forgive you. ......That's supposed to be Battler's job, but he didn't make it in time. So, you'll have to settle with me."""
{f:5:Bernkastel},"""......And Beato gave Battler so many hints, too. Lambda also gave that idiot a ton of hints. ......In comparison, that Battler's game of repentance after that was just laughable. ......But I won't make anyone laugh. I'll just indifferently carry out your funeral."""
Willard H. Wright,"""No more talking from you. That's my job."""
{f:5:Bernkastel},""".........*giggle*."""
Willard H. Wright,"""If you're ready, let's begin. ......No one will rush you. .........Bernkastel has closed off time for eternity until your funeral ends. You have as much time as you need to prepare yourself emotionally..."""
,The silhouette slowly shook its head.
, It had come here because it was already ready.
, Will nodded to show he understood.
,"......Then, the two of them looked into Bernkastel's eyes, ......and Will spoke out clearly."
Willard H. Wright,"{a:c: ""Here's the culprit.""}"
