Speaker,Original Witch Hunt (OG)
,......She softly wrapped that muffler around Sakutaro.
,"It really suited him, accenting his yellow with red very well."
Sakutarou,『.........Uryu.  ...Does it suit me......?
,Sakutaro looked embarrassed as he wore his first present ever.
,......Yeah.  It really suits him.
Ushiromiya Maria,"""Uu-.  Sakutaro, thank you so much for everything.  It was so fun tonight.  Maria can't even remember why she was crying.  ......Let's be together from now on.  And let's always play and laugh together."""
Sakutarou,"『Uryu-!  Love you, Maria!』"
Ushiromiya Maria,"""Maria too.  Love you, Sakutaro."""
,"After playing so wildly, Maria's room was a mess."
,Maybe she played a little too much.
,"......But I'm tired for today, so let's sleep together.And tomorrow, we'll clean up together and welcome Mama with a clean room.  ......Alright?  Sakutaro?"
,Uryu-♪
Ushiromiya Maria,"""......See?  Maria is...no, Maria and Sakutaro are so happy, right?"""
Ushiromiya Ange,"""............Is this your happiness, Maria onee-chan...?"""
Ushiromiya Maria,"""Yeah.  Maria is happy."""
Ushiromiya Ange,"""......Even though you were looking forward to that movie so much, and Rosa oba-san promised that she'd definitely take you, she completely forgot."""
Ushiromiya Maria,"""She just happened to forget because she was so busy with work.  ......Even if she had remembered, with her work, there would be nothing she could do."
Ushiromiya Maria,"  Whether she remembered or not, Mama would spend the night at work.  She couldn't go to the movies.  .........Whether she remembered or not is a minor problem."""
,......There's no way that's a minor problem.
,"After all, ......when Rosa oba-san answered 'Movie?' on the phone, it was obvious that she had completely forgotten her promise."
,"And when she had heard that, Maria onee-chan's mood had definitely darkened."
Ushiromiya Ange,"""Well, ......like you say, even if Rosa oba-san had remembered her promise, you wouldn't have been able to go to the movies in the end.  "
Ushiromiya Ange,"......But even so.  ......To think that your mother just forgot her promise to spend one of her few days off with you, ...it's sad.  I'd be mad."""
Ushiromiya Maria,"""........................Yeah.  It was sad.  Because even if she had remembered, we wouldn't have been able to go to the movies.  "
Ushiromiya Maria,"......But after that, I had a very, very fun night with Sakutaro.  You must've thought that pajama party looked really fun too, Ange."""
Ushiromiya Ange,"""..................There's no way that would be fun.  "
Ushiromiya Ange,"...I mean, all of that messing around you did that night, ......was just like intentionally making a big fuss about nothing so you could forget that you were lonely and that your mother wasn't coming home."""
Ushiromiya Maria,"""That's not true.  Really did have a fun party with Sakutaro."""
Ushiromiya Ange,"""No, that's not true!  You were just so sad, and you hated your mother so much for forgetting her promise, that you made a mess of your room...!!"""
Ushiromiya Maria,"""............Where was something like that ever written in Maria's diary?"""
Ushiromiya Ange,"""It isn't written anywhere!  But, ......by reading in the gaps between every line, I can understand your feelings!  You didn't have a good time at all that evening!"
Ushiromiya Ange,"  And you stayed up late when you were told not to, broke the strict rule about eating sweets outside of snack time, ......and when even that didn't bury your sadness, you went wild in your room, .........and made a mess of it, right...?!!"
Ushiromiya Ange,"  And after you made a mess of your room and were all tired out, .........all you did was claw at the bed sheets and cry yourself to sleep, right...?!"""
Ushiromiya Maria,""".........It is written in the diary that Mama probably forgot her promise about the movie, and that I stayed up late having a pajama party with Sakutaro, ......and made a mess of my room searching for treasure."""
Ushiromiya Ange,"""Yes.  And, .........this is what it means!  You were starving for Rosa oba-san's love, Maria onee-chan...!  And Rosa oba-san always put her work and her public image first, always keeping you on the back-burner...!"
Ushiromiya Ange,That's what disgusts me!  Because I know just how superficial Rosa oba-san's words of love for you are!!  You should realize this yourself!
Ushiromiya Ange,"And despite this, ......how can you say that you're happy?!  I don't understand, ......that part of you, Maria onee-chan!!  Even as old as I am, I can't understand it at all...!!  "
Ushiromiya Ange,"Why aren't you sad?  Why is it that you can experience a reality filled with misfortune and can call yourself happy?!  I can't do it, I can't understand it...!!"""
Ushiromiya Maria,"""............You are a sad kid, Ange."""
Ushiromiya Ange,"""I don't get it!!  Why are you pitying me?!"""
Ushiromiya Maria,""".........Even though a 'fact' about a really fun pajama party is written about in my diary, .........if the same 'fact' is observed by different people, it has a different form."""
,I remembered talking about something like this with Bernkastel.
,"Truth is unfixed and changes its form every time it's witnessed.By the way it is perceived, ...in other words, depending on the person who perceives it, a single truth becomes different truths."
,And truths of the past are painted over by truths of the future......
Ushiromiya Maria,"""In this diary, Maria wrote that what happened that night was very, very fun."""
Ushiromiya Ange,"""......You described the events of that night as something very happy."""
Ushiromiya Maria,"""And yet, when you read the diary, the events of that night sound very, very sad."""
Ushiromiya Ange,"""......Even though you describe it as happiness, I read it as something different."""
Ushiromiya Maria,"""Stop it."""
Ushiromiya Ange,"""........................"""
Ushiromiya Maria,"""This...tells of a happy night.  .........This is...the 'truth' of that night.  Please, don't take this happy truth, ............and paint over it with a new, different truth."""
Ushiromiya Ange,""".........Does this make you, ......happy, Maria onee-chan?"""
Ushiromiya Maria,"""Yes.  Maria is happy.  .........That's why Ange, who cannot feel happiness in the same situation, is so pitiable."""
,".........Both Maria at that time, and I now, were in the same isolated situation, with no friends."
,"So Ange, ......accepted an isolated reality as an isolated reality.But Maria, ......painted over an isolated reality with a reality of happiness."
,"Ushiromiya Maria took a sad truth, ......and changed it into happiness."
,"That was, ......the only, yet very large, ...difference between me and Maria onee-chan."
,"And even though I am unable to accept it, ......I am also jealous of that power."
Ushiromiya Maria,"""Yes.  ...That's right.  This is 'power'.  ......Maria was able to become happy with that power.  Because you don't have that power, you cannot become happy, Ange."""
Ushiromiya Ange,"""What.........is, ............that power............?"""
Ushiromiya Maria,"""Maria didn't know what to call that power either.  ......At this point in time, at least.  ...Eventually, Maria was taught its true form.  "
Ushiromiya Maria,"......Talk about it later.  On the next page.  .........So then, so then, late Sunday night.  With a present, just like she'd promised, Mama came back......"""
Ushiromiya Rosa,""".........I'm back."""
Ushiromiya Maria,"""Mama-, welcome hoooooooome!!"""
Sakutarou,"『Uryu-!!  Mama came back, Mama came back!』"
,"Waiting to greet Rosa as she returned home all tired out, was Maria, in an unbelievably good mood, holding Sakutaro."
,"Most likely, Rosa's worn out expression was partly because she really was tired, ......but partly because it would be a pain when Maria, who should have been grumbling after staying home alone for several days, would cling to her sobbing."
,"However, when she was welcomed by an unbelievably happy Maria, ......and found that her fears were unbelievably needless, Rosa couldn't hide her surprise."
Ushiromiya Rosa,"""Wh, ......what's going on, Maria...?  You're in a great mood...?!  Is someone here...?!"""
,"It was strange enough to make Rosa think that a friend had come over, and that she had come home right when they were having a good time playing together."
,But there were no other shoes by the entrance.
,"......Even though Maria was in such high spirits, she was home alone."
,"At first, Rosa was suspicious that the cause of this unexpected good mood could be nothing good, but that really was a needless fear, ......and in any event, Maria really had been in a good mood as she stayed at home."
,".........Even if Rosa's heart had been as cold and hard as a rock, ...after being welcomed with a smile like this..."
,"Rosa started to honestly accept that smile, and a smile rose to her own face automatically."
,"......In that smile, you could see none of the weariness caused by being unable to return home for several days."
,Maria kept talking about what a fun time she'd had playing with the stuffed animal Sakutaro.
,"Rosa really hadn't imagined that the stuffed animal she herself had given would be liked so much, and she couldn't hide her pleased surprise."
Ushiromiya Rosa,"""I see.  So you spent the time together with Sakutaro.  Well done, Maria.  Here's a present for Maria and Sakutaro for being so good."""
Sakutarou,『Uryu-!  Present!  Present!』
Ushiromiya Maria,"""Uu-!  What is it, what is it?!"""
,Both Maria and Sakutaro started jumping around.
,There were two presents.One was an assortment of western sweets.
,Inside was a Scotch cake.It looked to be of very high quality.
,"But Maria was more interested in the other one.The other one was an even bigger box, and it was pretty heavy."
Ushiromiya Rosa,"""Try and open it.  They might become new friends for you and Sakutaro, right?"""
Ushiromiya Maria,"""Waaaaaaaaaahhh...!  What's this!  What's this?!"""
,"Inside, laid there like chess pieces, were about 20 small ceramic figures shaped like animals."
,"Squirrels, rabbits, small birds, dogs and cats.And they were all holding musical instruments."
,"In addition to them, there was also a panorama-style background.A forest scene was drawn on it.The small forest animals were gathered in a plaza and looked like they were having a good time."
,Rosa set it up on the table.
,"......And when she then lined up the ceramic figures like chess pieces in front of it, .........it became a band of forest animals."
Ushiromiya Rosa,"""Isn't it wonderful?  I saw it in the store window, and I was taken with it at a glance.  This is a present for you for being such a good girl home alone, Maria."""
Ushiromiya Maria,"""Uuuu---!!!  Thank you, Mama-!!!  "
Ushiromiya Maria,"Awesome, Sakutaro!  Look how much our friends have grown...!  It's just like you said, Sakutaro.  It was true that if we had a fun, noisy time, our friends would grow in number...!"""
Sakutarou,"『Right, didn't I tell you?  Look, we have more friends, look, we have more friends!  Uryu~♪』"
,"Relieved that her gift had been appreciated, Rosa remembered that she was filled with several days of weariness..."
Ushiromiya Maria,"""Mama, really good job...!  You can go take a shower.  If you take a hot one, I'm sure your weariness will go away.  Want to take a bath?  Maria will choose what to put in the bath today!"""
Ushiromiya Rosa,"""Thank you.  But it's already late, so get ready to go to bed.  Mama is tired, so I'll just take a shower and go to bed.  I have to get up early tomorrow."""
Ushiromiya Maria,"""Yeah, got it!  Here, Mama, I'll take your coat o-ff."""
Ushiromiya Rosa,"""I can do it myself......Oh, thank you."""
Ushiromiya Maria,"""Mama, your coat is full of smells from outside.  ......Uu-?  Oh, sorry, something dropped.  Maria will pick it up, okay?"""
,"When she had taken Rosa's coat, a receipt or ticket stub or something had fallen out."
,"...It had been in Mama's pocket, so it was probably important."
,Maria hurriedly picked it up...
,It looked like a ticket for the Green Car or the Shinkansen or something.
,............Atami?Wasn't that a famous place for its hot springs...?
,"At that time.  ...With a razor-sharp sound, the warm atmosphere shattered."
,"Instead of the Rosa who had been there just a second ago, enjoying the gift with her daughter and recovering from her weariness with a long-awaited return home, .........there stood a person who looked exactly the same, but who had a completely different, terrifying expression on her face."
,...In her hand was the ticket stub that Maria had picked up....She had stolen it from Maria's hand in an instant.
,"Just a few seconds too late, ...by the pain of her hand that had been hit, and her mother's expression, Maria realized that she must have done something wrong."
,But she didn't know what she had done that had gotten her in trouble.
,......It was probably because of that ticket stub-like thing.
,"Was she not supposed, ......to touch it.........?"
,"Even though she had tried so hard to welcome Mama with fun and happiness, ...she had touched something important to Mama without asking, and had ruined that pleasant atmosphere..."
,......So Maria apologized immediately.
Ushiromiya Maria,"""S, .........sorry........."""
Ushiromiya Rosa,"""....................."""
,"Even though she must have heard those words of apology, Rosa's expression actually darkened."
,...Maybe those weren't the words she had been hoping for.
,"Maria didn't know what to do, and stared at her mother's reaction..."
,"Then, even though it should have been such an important ticket stub, Rosa crushed it up and hurried off to her room..."
,"Maria, ......didn't really understand what she had done wrong......"
Ushiromiya Maria,""".........Uu-............Maria must have, .........done something she shouldn't have.........That paper must have been something important for Mama's work.  And Maria touched it without asking..."""
Sakutarou,"『Uryu.........You didn't do anything wrong, Maria............And tonight was so very happy.』"
Ushiromiya Maria,"""Yeah.  ...Happy."""
Sakutarou,"『And when Mama takes a bath and clears her head, she'll go back to being the normal, nice Mama.  So you must not worry about it.  Uryu.』"
Ushiromiya Maria,"""You're right......  Mama's tired too.  ......Uu-, must not worry about it.  Maria is so very happy tonight."""
Sakutarou,『Uryu.』
Ushiromiya Ange,"""............Just stop it.  ...I can't watch this."""
Ushiromiya Maria,"""......Ange, I think you're looking for happiness in the wrong way.""@"
