Speaker,Italian (Ars Magica) (Old) (ITA)
,La guardia si inchinò silenziosamente e andò nell'atrio.
Ushiromiya Ange,"""... Non solo è soffocante, ma è anche buia. Posso aprire le tende...?"""
Ushiromiya Eva,"""... Hai detto a quel sicario che hai assunto di sparare attraverso la finestra...?"""
Ushiromiya Ange,"""... Desidererei poter essere pagata per assassinarti. Tutto ciò che dovrei fare è rilassarmi a casa per un mese e il lavoro verrebbe portato a termine da solo."""
Ushiromiya Eva,"""... Heheheheh, hahhahhahhahha..."""
,La loro discussione era decisamente morbosa per una zia e la propria nipote.
,"... Tuttavia, non sembrava che stessero scherzando. ... Come minimo, Eva credeva che qualcuno stesse attentando alla sua vita."
,Tutta l'immensa fortuna della famiglia Ushiromiya era andata in possesso di Ushiromiya Eva.
,... Si diceva che questa fortuna includesse le 10 tonnellate d'oro che si pensava Ushiromiya Kinzo avesse nascosto.
,"Non poté essere evitato che questo vasto patrimonio cadesse nelle mani dell'astuta, furba ed estremamente invidiosa Eva... ma si vociferava che se fosse passato ad Ange, che non era nient'altro che una ragazzina, certe persone avrebbero tentato di entrarne subito in possesso, sottraendolo a lei."
,"Ora, Eva e Ange erano le uniche discendenti di Kinzo. ... Se Eva fosse morta, tutto il patrimonio sarebbe passato ad Ange."
,"... E se anche Ange fosse stata uccisa... quel patrimonio sarebbe andato alla famiglia della Madre di Ange, Kyrie."
,"In questo senso, non solo Eva, ma anche Ange... era in una posizione in cui non sarebbe stato strano se fosse stata presa di mira da sconosciuti."
,... Ed Eva aveva odiato Ange per un lungo periodo.
,"Questo perché sapeva che, dopo aver perso il suo prezioso figlio unico George... colei che avrebbe ereditato il suo patrimonio sarebbe stata la ragazza che era assente a quella conferenza di famiglia di 12 anni fa, e che era sopravvissuta."
,"Eva evitava Ange, l'avversava, e persino la odiava."
,"Isolò Ange in una scuola speciale e la separò dalla giovinezza e dalla felicità che ha una persona normale, provando a tenerla come animale domestico fino alla morte."
,"... Tuttavia, Eva fu colpita da una malattia incurabile, e ironicamente... la vita che le era rimasta era la stessa di quella di Kinzo alla conferenza di famiglia di 12 anni fa."
,Sia Eva che Ange... si odiavano l'una con l'altra.
,Nonostante fossero tra loro le ultime parenti di sangue... si odiavano talmente tanto da sperare che l'altra morisse in fretta...
Ushiromiya Ange,"""... Quindi? Perché ti sei presa la briga di chiamarmi...?"""
Ushiromiya Eva,"""... Non mi è rimasto molto tempo. ... Quei medici ciarlatani ancora non hanno individuato nessuno dei veleni che circolano in me. ... Lo so. Sono sicura che sia una droga segreta per assassinii usata da quelli del KGB sovietico."
Ushiromiya Eva,"... Ooh, sarò uccisa, sarò uccisa...!! Non è fantastico?! Molto presto, io morirò, e allora tu sarai così sollevata...!"""
Ushiromiya Ange,"""... Che persona patetica."""
,"Questo succedeva sempre. ... Immediatamente deviarono dall'argomento principale, distorcendolo in una discussione più inquietante."
,"Eva, del tutto paranoica, credeva che qualcuno cercasse sempre di ucciderla."
,"In realtà, dopo aver ereditato il vasto patrimonio della famiglia Ushiromiya, lei aveva usato metodi brutali proprio come Kinzo aveva fatto in passato, e aveva ripetutamente guadagnato denaro con qualsiasi mezzo, creandosi molti nemici lungo la strada."
,"Con un enorme capitale, aveva progettato di comprare aggressivamente le imprese in rapida crescita, facendole poi ricomprare ad un prezzo più alto mascherandola come riconciliazione."
,"... Ironicamente, era lo stesso tipo di azione con cui era stata colpita l'azienda di suo marito 12 anni prima..."
,Lei l'aveva fatto ripetutamente per 12 anni. ... Si era anche guadagnata molto odio.
,"Se dalla tomba suo marito avesse sentito queste cose, l'avrebbe difesa, dicendo che succedeva per via della solitudine dall'aver perso la sua famiglia."
,"... Tuttavia, di tutte le persone che ora la conoscevano, nessuna l'avrebbe difesa."
,"Per un po', Eva parlò eloquentemente di come la sua vita fosse presa di mira, elencando nomi di persone che la odiavano, e ridendo del fatto che non era ancora stata uccisa."
,"Nonostante Ange avesse sentito il proprio nome incluso in quella lista, la sua espressione non cambiò affatto, e aspettò indifferente che Eva si stancasse..."
Ushiromiya Eva,"""... Sai una cosa? ... Ti odio davvero."""
Ushiromiya Ange,"""Sono onorata. Anche io."""
Ushiromiya Eva,"""... Ho costruito questo futuro per il bene di George. ... E pensare che è stato portato via da te. ... Pensare che è stato rubato dalla figlia di Rudolf... non riesco a sopportarlo. ... Pensare che, senza avere un figlio... persino la mia fortuna mi sarà rubata... questo... non riesco a perdonarlo...!"""
Ushiromiya Ange,"""... In questo caso, perché non dai tutta la tua fortuna in beneficenza? Perché non a quelle persone religiose a cui fatto affidamento tante volte?"""
Ushiromiya Eva,"""... *cackle*cackle*! Dicono tutti la stessa cosa. ... Il mio eccessivo patrimonio è diventato un peso per me. Dicono sempre qualcosa come che ho bisogno di abbandonarlo e purificare me stessa. ... Ahhahahahahahahahaha! Allora ho pensato ad una cosa. Ho smesso di donare!"""
,"Per un periodo, Eva aveva cercato i fondatori di molti culti religiosi nuovi e strani, forse cercando pace nel suo cuore."
,"... Ma alla fine, ciò non le diede alcun sollievo, e aumentò solamente ancora di più la sua invidia..."
Ushiromiya Ange,"""... Se hai troppi soldi, perché non inizi a comprare dei purosangue e farci un po' di carne in scatola?"""
Ushiromiya Eva,"""Ho pensato a qualcosa di persino più interessante. ... *cackle*cackle*cackle*cackle*! Mi sono preoccupata molto per questo. Come potrei farti cose orribili?"
Ushiromiya Eva,"... Ho pensato di ucciderti. Ho pensato anche di eliminare tutto il mio patrimonio, lasciarti senza un soldo e venderti ad un mercante di schiavi o qualcosa del genere."
Ushiromiya Eva,"Non sarebbe meraviglioso? Avresti le tue gambe e braccia tagliate e intratterresti i clienti fino alla tua morte. Aaah, sarebbe così meraviglioso, *cackle*cackle*cackle*!!"""
Ushiromiya Ange,"""... Ti stai divertendo?"""
Ushiromiya Eva,"""Sì. È divertente spaventarti... ma molto presto, io morirò. ... Quindi ho pensato a come causarti dolore anche dopo che sono morta."
Ushiromiya Eva,"... E poi... *cackle*cackle*!! Era estremamente facile. ... Ti ho chiamato perché volevo parlarti."""
Ushiromiya Ange,"""... Ho gli esami di metà corso imminenti. Sbrigati."""
Ushiromiya Eva,"""... Ho deciso. Ti farò ereditare tutta la mia fortuna."""
Ushiromiya Ange,"""... Huh."""
Ushiromiya Eva,"""Non solo questo... ho deciso che fino all'ultimo giorno prima di morire... io aumenterò più che posso quel patrimonio, lo gonfierò in maniera enorme e te lo farò tutto ereditare. ... *cackle*cackle*, riesci ad immaginare cosa succederà...?"""
Ushiromiya Ange,"""... Non ci arrivo. Perché è stupido."""
Ushiromiya Eva,"""Ehhehhehheh, *cackle*cackle*cackle*cackle*!! Esatto, non ci arrivi, vero...?! Aspettalo con piacere, è davvero divertente essere ricchi...! Ogni giorno, mostri da tutto il Giappone vengono a giocare."
Ushiromiya Eva,"D'ora in poi, la tua intera vita sarà seguita da talk show e settimanali. I media mi criticheranno a prescindere da ciò che faccio! Se farò una donazione, mi attaccheranno come classista, e se esiterò, sarò considerata un'avara."
Ushiromiya Eva,"Oh, ogni giorno è davvero meraviglioso, sai? Ho capito che amerei invitare te in questo tipo di vita, ora che sei così giovane e hai così tanto davanti a te. {n}Non è veramente meraviglioso?"""
Ushiromiya Ange,"""... Sembra che la gente abbia ragione nel criticare tutto ciò che hai fatto."""
Ushiromiya Eva,"""*cackle*cackle*cackle*!! Troppo vero, già, è troppo vero. ... Prosegui, abusa di me quanto vuoi. E poi tu avrai il peso di quella critica."
Ushiromiya Eva,"... La cultura giapponese dice che le persone buone vivono in una povertà onorabile, mentre i ricchi dovrebbero morire. Non importa ciò che farai, alla fine diventerai il simbolo dell'invidia e dell'odio in tutto il Giappone."
Ushiromiya Eva,... *cackle*cackle*cackle*! Mi chiedo quanto sarà sconvolta la tua vita dopo che vivrai così...?
Ushiromiya Eva,Non hai alleati! Nessuno ascolterà i tuoi problemi. Maltrattarti diventerà uno sport pubblico. E nessuno potrà fermarlo!
Ushiromiya Eva,"Oh, Ange! Eheheheheheh, oh, non vedo davvero l'ora. ... Mi chiedo come vivrai la tua vita, e come la finirai...! Goditi appieno la tua vita dove sarai incapace di fidarti di qualcuno al mondo, sarai incapace di amare qualcuno, sarai incapace di parlare con qualcuno...!!"
Ushiromiya Eva,"Ti aspetterò pazientemente per ascoltare questa storia di avversità quando scenderai all'inferno. Heheheheh, ahahhahahahahahahaha, {n}wa-hahhahhahhahhahhahhahha, gkk, *cough*cough*, ghah!!"""
,La sua folle risata si trasformò in una tosse dolorosa.
,"Senza cambiare minimamente espressione, guardando del tutto indifferente... Ange fissò l'unica sopravvissuta di Rokkenjima."
,"Forse perché aveva trovato strana la violenta tosse, dando una leggera bussata sulla porta, la guardia entrò dentro."
,"Ange la fissò, facendo capire in silenzio che non si sarebbe mossa di un passo."
,"... Ange era preparata a qualche tipo di trappola per incastrarla nella morte di Eva. Tuttavia, fu fortunatamente una preoccupazione inutile."
,"Come la guardia sfregò la schiena di Eva, versò acqua calda in una tazza da un thermos."
,"Mentre lo fece, Eva continuò a tossire, sembrando che stesse soffrendo."
,Ange pensò che questa fosse la forma finale della strega di Rokkenjima che lei sarebbe stata in grado di vedere.
,"Alla fine, la tosse si calmò ed Eva ritornò al suo respiro normale. ... Tuttavia, lo scintillio di follia nei suoi occhi non si era minimamente placato."
Ushiromiya Eva,"""*cackle*cackle*cackle*cackle*cackle*cackle*cackle*!! Ora, io ti donerò il maledetto ammasso di oro e l'eredità del capofamiglia Ushiromiya... così come... il nome di Strega Dorata, Beatrice. ... Goditi la tua folle, contorta vita adatta al nome della strega...!"""
Ushiromiya Ange,"""Non ne ho bisogno. Cosa più importante, dimmi. ... Quel giorno, cos'è successo su Rokkenjima? ... Non credo che sia stato un incidente. Dimmi la verità su cosa è successo quel giorno, e perché sono morti mio Padre, mia Madre e Nii-san...!!"""
Ushiromiya Eva,"""*cackle*cackle*...! Oh, questo dev'essere il modo migliore per tormentarti, vero? ... Cosa è successo quel giorno? Cosa è successo quel giorno del 1986...? Vuoi sapere cosa hanno detto prima di morire, giuuusto...?"
Ushiromiya Eva,"Non te lo diròòòòòòòòòò, aaahhhyahhyahhyahhyah!! Ti lascerò l'oro maledetto! Ma sai una cosa? Mi porterò la verità che tu desideri con me nella tomba...! Questa è la maniera migliore con cui posso tormentarti!!"
Ushiromiya Eva,"È troppo crudele? Se vuoi sentirla, prova ad andare all'inferno e chiederlo lì alla tua famiglia! In questo caso, è meglio che muori ora, giusto?! Ahhahahahahaha, perché ora non ti rassegni e muori?! Waaahhahahahahahahahahahahahahahahahahahahahahahahahahahaha!!"""
,Quella risata continuò fino a quando lei iniziò di nuovo a tossire.
,E quella tosse non si calmò fino a quando non iniziò a gemere e ad avere le convulsioni...
,"4 ottobre, 1986."
,"Su Rokkenjima, fu tenuta la consueta e ultima riunione della famiglia Ushiromiya."
,"E il giorno dopo, il 5 ottobre..."
,Successe ‘un incidente estremamente sfortunato’ e la famiglia Ushiromiya fu sterminata.
,"‘Fortunatamente’, Ushiromiya Eva scampò ad esso, e ottenne quasi tutto il patrimonio della famiglia Ushiromiya."
,"Tuttavia, a causa dei molti pettegolezzi turbolenti che circondavano la famiglia Ushiromiya, il modo in cui Eva si comportò in seguito, e le sue azioni innaturali al ‘momento dello sfortunato incidente’, il popolo fu in tumulto per il fatto che potesse essere una cospirazione per tenersi tutta l'eredità per lei."
,"Sotto le pressioni della gente, i procuratori provarono ripetutamente ad investigare, e i media iniziarono a tracciare lo schema di una cospirazione che chiamarono il Sospetto di Rokkenjima, ma alla fine, non furono nemmeno capaci di trovare abbastanza prove che quello ‘sfortunato incidente’ fosse un crimine."
,"Tuttavia, dato che i media continuarono a dare l'impressione che il Sospetto di Rokkenjima fosse una cospirazione di Eva, l'opinione pubblica cominciò a credere che lei fosse il vero colpevole."
,"... Ovviamente, essa fu anche influenzata dalla cattiva impressione provocata da tutte quelle opprimenti attività finanziarie facilmente condannabili, che lei aveva portato avanti usando quell'immenso patrimonio."
,"Ogni volta che lei faceva qualcosa e i pettegolezzi si diffondevano, i media ritornavano sulla storia del Sospetto di Rokkenjima, incolpando il sistema giudiziario dicendo che lei era la vera colpevole, e che l'unica ragione per la quale non fosse stata ancora arrestata era che persino la polizia era stata corrotta."
,Quindi l'impressione che lei fosse la cattiva diventava sempre più forte...
,"Il suo animo alla fine degenerò... e ironicamente, iniziò a farla trasformare nel tipo di umana che il pubblico si aspettava..."
,"Ora, Eva non aveva nessuno di cui si fidava, e nessuna famiglia."
,"... Dopo che morì il suo amato marito, i talk show occasionalmente nominavano la sua azienda, dicendo che era gestita avventatamente, criticando e infangando i suoi precedenti meriti."
,"Persino il suo amato figlio, George, fu sceneggiato come lo stereotipato ‘figlio ricco e pigro’ che il pubblico si aspettava... e nessuno voleva nemmeno sapere che carattere semplice e onesto possedeva."
,... Di quanto tutto questo feriva Eva e la portava alla rovina... non importava a nessuno.
,"Il pubblico era interessato solo per la curiosità, su come una malvagia donna ultra-ricca che aveva ucciso la sua intera famiglia avesse vissuto i suoi patetici anni seguenti."
,Quindi successe sempre di più... e alla fine... la personalità di Eva si modificò fino a quando non fu definita come una pazza...
,"Si diceva che lei a volte ricordasse che questo era esattamente la stessa maniera in cui suo Padre, che una volta ammirava, era stato i suoi ultimi anni, e rise di se stessa con disprezzo..."
,"E, nel giorno di quell'ultima conferenza di famiglia..."
,"Dato che la figlia di Ushiromiya Rudolf, Ange, si era ammalata ed era rimasta con la famiglia di sua Madre, non aveva partecipato."
,"All'età di 6 anni, aveva perso la sua famiglia e ottenuto Eva come tutrice."
,"Dato che Ange era diventata l'unica parente di Eva, lei ‘si prese molta cura di Ange’."
,"Aveva disposto guardie sempre alle spalle di Ange, per evitare che diventasse un intralcio."
,"... Ange ebbe addirittura i suoi diritti di giocare con gli amici, di tornare a casa da scuola con loro, e di divertirsi tutti insieme... strappati via."
,"‘Per fare in modo che vivesse una piacevole e completa vita scolastica’, Eva aveva mandato Ange in un'elegante collegio che si occupava di ogni suo bisogno, isolandola totalmente dal resto del mondo."
,Non conosceva nemmeno le canzoni famose che le ragazze della sua età erano solite canticchiare.
,Non aveva mai avuto l'opportunità di fare shopping con le amiche o di assaggiare crepes... tantomeno di incontrare una persona del sesso opposto che le facesse sobbalzare il cuore.
,"Ange non aveva nemmeno un amico. Se qualcuno si fosse comportato amichevolmente con lei, sarebbe stato richiamato dalle guardie, oppure dagli insegnanti."
,... Avevano tutti l'ordine di non permettere a sciatti umani di avvicinare la figlia della stimata famiglia Ushiromiya.
,"A quei tempi, i talk show parlavano continuamente di Ushiromiya Eva, e diffondevano continuamente voci sulle sue malefiche imprese finanziarie."
,... Quelli che sapevano di sua ‘figlia’ naturalmente iniziarono a tenere le distanze.
,"... Anche ora, a scuola era chiamata strega, e ogni volta che accadeva qualcosa di brutto, anche se non c'erano prove, si sussurrava che la scuola avesse fatto qualcosa di non concepibile per lei."
,"L'ambiente fa la persona. Ormai, il suo cuore era selvaggio come temevano quelli intorno a lei."
,"... Nessuno le credeva, per cui lei nemmeno tentava di credere in loro. {n}Nessuno la amava, per cui lei nemmeno tentava di amare."
,"E soprattutto, quando Eva venne colpita da un morbo incurabile, si diceva che anche questa era una cospirazione, e che stavolta Ange ne era a capo..."
,Tutti dicevano che la ragazza era una strega. Anche i talk show e i settimanali dicevano ciò.
,"... Quindi anche Ange, alla fine, no, come se potesse anche essere vero, lo accettò."
,"Per cui, dato che lei già credeva di essere una strega, quando sentì che il titolo di Strega Dorata venne trasmesso a lei, si sentì semplicemente come se dicesse ‘ve ne siete accorti solo ora?’"
,"Tuttavia, era almeno sicura di una cosa."
,Questo titolo di strega da lei ereditato non sarebbe di certo passato a nessun altro.
,"Sarebbe stata l'ultima capofamiglia della famiglia Ushiromiya, e l'ultima, isolata Strega Dorata..."
,Ange si trovava sul tetto di un grattacielo.
,"Paragonato ai venti del mondo che si erano scagliati su di lei fino a quel momento, questo forte, freddo vento era caldo e piacevole."
,"Sotto di lei si estendeva un magnifico paesaggio notturno, e uno scintillante fiume di luci rosse e bianche."
,"Quella notte c'era bel tempo. ... Quindi dovevano esserci davvero tantissime stelle in cielo. ... Però, le luci dal basso erano troppo forti, quindi non si potevano vedere."
,... Ange non poteva assolutamente immaginare che la cosa che cercava davvero potesse essere in quelle stelle che non si potevano vedere.
,Il mondo reale sotto di lei sembrava così distante.
,... Poteva immaginare che quel posto era il più vicino al mondo in cui lei viveva.
,... C'era solo una cosa che Ange malediceva.
,"Perché non era stata in grado di andare a quella riunione di famiglia, in quel giorno di 12 anni prima?"
,"Perché, se ci fosse andata, sarebbe probabilmente rimasta per sempre con la sua famiglia."
,... Ci ripensò più e più volte... e fantasticò sulla sua famiglia.
,"La me stessa di 12 anni fa grida freneticamente, pregandoli di non andare alla riunione di famiglia."
,"Ma sia Papà che Mamma sono troppo lontani, e la mia mano non può raggiungerli."
,"Battler Nii-san mi ha sempre amata, e la sua mano accarezzava sempre la mia testa"
,"... ma anche se sembra che quella mano possa raggiungermi, neanche quella può."
,"Per qualche ragione, iniziai ad avere questo sogno ripetutamente."
,"... Ogni volta che avevo questo sogno, cercavo di stendere sempre più la mia mano, ma i miei sforzi inutili continuavano a ripetersi."
,Anche se fosse rimasto in vita solo Battler Nii-san...
,... Allora forse saremmo riusciti a vivere sostenendoci a vicenda nella mia fredda e desolata realtà.
,Ma la sua mano non mi ha mai raggiunta.
,Quindi anche salendo sul tetto di questo edificio... Sono separata da loro da una distanza enorme.
,... Una ragazza misteriosa apparve nei miei sogni sollecitandomi.
,Quella ragazza nel sogno mi sollecitò ad arrivare alla verità su ciò che accadde 12 anni prima.
Ushiromiya Ange,"""... Tutto ciò che accadde a mio Padre e a tutti gli altri quel giorno... se solo potessi capire cosa fosse... potrebbero tornare indietro? Almeno uno di loro...!"""
,Non c'era modo... che esistesse qualcuno in questo mondo che potesse rispondermi.
,"Capisco. ... In questo mondo, non ho una famiglia né degli amici."
,Per cui... andiamo. ... Andiamo a casa. ... Dove si trova la mia famiglia.
,Dall'inizio... la figura di Ange si trovava dall'altra parte dell'inferriata.
,"Lo scenario sotto i suoi occhi era distante, magnifico e così fantastico che non lasciava spazio alla paura."
,"Poiché se avesse guardato in basso, sarebbe stata di sicuro catturata dal mondo sottostante."
,... Guardai in alto.
,"Perché volevo essere portata nel mondo lì sopra, il mondo dove si trova la mia famiglia."
,... A chi importa di un patrimonio esagerato. A chi importa dell'oro maledetto. {n}A chi importa della Strega Dorata Beatrice.
,Ciò che voglio davvero... non si può ottenere nemmeno con una montagna d'oro...
,Ciò di cui ho bisogno per questo... è fare un semplice passo in avanti... solo quel po' di coraggio.
,... In quel momento... sentii di sicuro una voce. Conoscevo quella voce.
,La voce che mi ha sempre... chiamato nei miei sogni...
,"Davanti ai miei occhi... in altre parole, fluttuando nell'aria in quell'oscuro scenario notturno..."
,... C'era la figura della ragazza che avevo visto nei miei sogni...
,"Parlò di nuovo, con la stessa voce che avevo udito nei miei sogni."
{f:5:Bernkastel},"""... È richiesto il tuo supporto."""
Ushiromiya Ange,"""... Il mio... supporto...? Chi ne ha bisogno...?"""
{f:5:Bernkastel},"""... La tua famiglia. ... La tua famiglia è intrappolata per l'eternità in quel giorno di 12 anni fa fino al giorno successivo."""
Ushiromiya Ange,"""Io... se li salvo... significa che la mia famiglia tornerà?!"""
,"Quando feci la domanda che più di tutte mi premeva, la ragazza crudelmente smise di parlare e abbassò la testa."
{f:5:Bernkastel},"""... Non posso prometterlo. Il nemico è la Strega Dorata Beatrice. {n}Un avversario potente. Non posso confrontarmi con lei. ... Ma, un'altra Strega Dorata dovrebbe essere in grado di poter fare qualcosa."""
Ushiromiya Ange,"""... I-Io non so... di cosa stai parlando."""
{f:5:Bernkastel},"""... L'unica che può opporsi alla Beatrice del 1986... è l'ultima Beatrice del 1998. ... In altre parole, tu. Ange. ... {c:86EF9C:ANGE} Beatrice."""
Ushiromiya Ange,"""Quella strega di 12 anni fa... ha portato via la mia famiglia...?"""
{f:5:Bernkastel},"""Proprio così. È lei il tuo nemico. ... La causa che conduce sempre al tuo futuro di solitudine."""
Ushiromiya Ange,"""... Il nemico... della mia... famiglia."""
{f:5:Bernkastel},"""... In cambio, cercherò il Frammento con il mondo ideale che desideri, il mondo in cui la tua famiglia torna a casa. ... Non prometterò che il tuo desiderio verrà espresso. ... La scacchiera di Beatrice è piuttosto perfetta."
{f:5:Bernkastel},"... Avevo intenzione di portarti proprio oggi quel Frammento ideale come dono, ma ancora non riesco a trovarlo. ... È un destino davvero stabile. Non ho visto nulla del genere da quando ho combattuto contro Lambdadelta."""
Ushiromiya Ange,"""... N... Non ho idea... di cosa tu stia dicendo."""
{f:5:Bernkastel},"""... Ti sto dando l'opportunità di vendicarti. In cambio, se è possibile per te riceverla, ti prometto di cercare la soluzione più felice per te."""
Ushiromiya Ange,"""... Vendetta..."""
{f:5:Bernkastel},"""... Potrebbe essere uno sforzo inutile. Anche nel caso in cui riuscissi ad avere la tua vendetta, non c'è certezza che la tua famiglia possa tornare. Anche con un miracolo, potresti essere in grado di portare indietro una sola persona."""
,... Ange capì il significato di quel sogno.
,"... Quel sogno in cui sembrava che, con un piccolo sforzo in più, la sua mano poteva raggiungere almeno Battler Nii-san."
Ushiromiya Ange,"""Una possibilità miracolosa... è comunque più di zero, giusto...? È 1%...?"""
{f:5:Bernkastel},"""... Cercare di leggere le possibilità prima del risultato è inutile. Per cui non posso dirti quel numero."""
Ushiromiya Ange,"""Ma almeno facendo qualcosa, c'è di certo una piccola possibilità."""
{f:5:Bernkastel},"""Sì. Finché non accantonerai il tuo desiderio. Ma preparati. È estremamente vicina allo zero."""
Ushiromiya Ange,"""... Perfetto. Accetterò quest'offerta."""
{f:5:Bernkastel},"""... Sei sicura? Probabilmente non sarai in grado di tornare di nuovo qui."""
Ushiromiya Ange,"""Questo non è il mondo in cui dovrei essere. ... E troverò da sola il mondo in cui dovrei essere. Dimmi il tuo nome."""
{f:5:Bernkastel},"""La Strega dei Miracoli, Bernkastel. E nel mio nome, Ti riconosco come la Strega Dorata. ANGE Beatrice. ... In questo momento, sei una vera strega."""
,"Nel momento in cui proclamò che ero una strega... mi sentii confusa, come se qualcosa dentro di me fosse cambiato drasticamente."
,"In quell'istante, sentii un *clunk*. ... Era il rumore della porta che conduceva dalle scale alla terrazza."
,Erano le guardie di Eva oba-san.
,"... ‘Guardie’ era solo un nome. Non sono forse la gabbia più vicina a me, che mi rinchiude?"
,"Videro che stavo già dall'altra parte della rete e corsero in avanti, spaventati."
,"""20, bersaglio trovato. Richiedo assistenza sulla terrazza."""
,"""Ange-san...! La stavamo cercando! È pericoloso stare lì, veloce, venga da questa parte!"""
{f:5:Bernkastel},"""... Cos'è questo?"""
Ushiromiya Ange,"""... È il mio fan club. ... Sono abbastanza popolare."""
{f:5:Bernkastel},"""È inutile farsi prendere. ... Andiamo."""
,"Sembrando infastidita, Bernkastel si girò. ... Verso il cielo nero pece."
,"Guardando quel gesto perfettamente disinvolto, la seguii come se fosse completamente normale."
,"""Ange-san!!! Aspetti! Non sia frettolosa, faccia attenziooooneeeeeeeeeee!!"""
Ushiromiya Ange,"""Aaah, è inutile, è tutto inutile. Alla prossima volta, {p:0:＜}see you again{p:0:＞}."
Ushiromiya Ange,"Fai venire una limousine a prendermi. Perché anche tutti gli altri saranno lì. {n}Ci vediamo."""
