Speaker,Italian (Ars Magica) (Old) (ITA)
Dlanor,"""Proprio COSÌ. ... Gli esseri umani sono creature deboli, che non possono nemmeno riflettere se prima non hanno una prova che ragionare razionalmente sia POSSIBILE."""
{f:5:Virgilia},"""... Che ragionare razionalmente sia possibile. ... In parole povere, hanno bisogno di essere incoraggiati che potranno trovare la soluzione se si impegnano al massimo."""
,Forse... è vero.
,... È come con l'esercizio fisico.
,"Se ti viene detto di fare dieci giri di campo di corsa, puoi sforzarti e farcela."
,"Tuttavia, senza sapere quante volte devi fare il giro del campo, con ogni probabilità ti stancheresti prima ancora di aver fatto tre giri."
,Lo stesso vale per quando si pensa e riflette su qualcosa.
,Gli umani vedono un problema differentemente a seconda del fatto... che gli venga garantito che sia risolvibile o meno...
{f:5:Virgilia},"""Nei romanzi gialli, c'è sempre una scena in cui il detective annuncia di aver scoperto chi è il colpevole. ... È un segno che vuole dire ‘Tutti gli indizi sono stati dati nelle parti precedenti della storia, perciò, cari lettori, cercate di arrivarci ragionando per favore’."""
Ushiromiya Battler,"""... Ah. Ho sempre pensato che fosse solo un topos, ma in realtà aveva anche questo scopo."""
{f:5:Virgilia},"""Per dirla senza eufemismi, fintanto che il detective non pronuncia quelle parole... i lettori non avranno voglia di trovare la soluzione, a prescindere da quanto amino risolvere i mystery."""
Dlanor,"""... Non eri anche tu così durante i giochi PRECEDENTI...?"""
Ushiromiya Battler,"""..."""
,Adesso che me lo sento dire... forse era proprio così.
,Forse la mia lotta contro Beato è iniziata davvero nel secondo gioco.
,"All'inizio, non mi sono impegnato seriamente a risolvere gli enigmi delle stanze chiuse... che Beato mi sferrava contro."
,"Dopotutto, non sapevo nulla oltre al fatto che delle persone fossero morte in una stanza sigillata, e che finestre e porte erano tutte chiuse a chiave dall'interno."
,... In parole povere non avevo indizi.
,Perciò mi rifiutavo di ribattere sulla base che non fossi in condizione di lottare perché la mancanza di indizi rendeva ogni ragionamento impossibile.
,"... Dopodichè, Beato mi ha deriso, eh... chiedendomi se avessi intenzione di ripetermi ancora e ancora, per sempre, dando origine ad una ripetizione infinita della stessa mossa..."
,"Quella volta, Beato disse questo:"
{f:5:Beatrice},"‘Certo che no. Ti darò ciò che gli individui come te pretendono sempre. Il motivo per cui ogni volta smetti di pensare e poi te ne lamenti è la ‘mancanza di informazioni’! Se poi ti vengono date delle informazioni, prendi a dubitare se queste informazioni siano veritiere o meno ‘rinnegandone i fondamenti’! Non è una bella situazione di comodo? Che paroline astute per nascondere la tua incompetenza!’"
,"E poi, disse che mi avrebbe dato delle informazioni che non si sarebbero potute mettere in discussione, e creò la regola della verità rossa."
,"Raggiunta quella svolta, il sipario sulla lotta tra me e Beato finalmente si alzò..."
Ushiromiya Battler,"""... Dunque... è stato allora che ho finalmente ottenuto la certezza di poter trovare una soluzione a questa storia se ci avessi provato... e sono salito con lei sul palco per la prima volta...?"""
Dlanor,"""Beatrice. ... È una persona BIZZARRA. Sebbene gli enigmi siano gli unici rifugi in cui le streghe possono vivere, lei prese ad offrirti verità rosse, un metodo con cui quegli stessi enigmi possono essere RISOLTI."""
,Si potrebbe dire che la verità rossa sia un indizio datomi da Beato per permettermi di partecipare a questa battaglia a colpi di ragionamento.
,... Come se si trattasse di caramelle.
,"Avendomi dato degli indizi, è come se lei mi stesse dicendo... prova a trovare la soluzione... trovarla è possibile."
,... Quando si garantisce che un enigma può essere risolto... esso non può essere considerato un vero ‘enigma’.
Ushiromiya Battler,"""Non è quasi come se in questo modo... Beato stessa... stesse ammettendo... di non essere davvero una strega...?"""
{f:5:Virgilia},"""Oh cielo. Mi sembra una conclusione logica. ... Che ragazza veramente bizzarra."""
{f:5:Beatrice},"""..."""
,Beato non rispose.
,Con i suoi occhi grigi... non faceva altro che fissare senza espressione il vapore che si sollevava dal suo tè nero...
Dlanor,"""Mio Padre creò il Decalogo perché agisse come supporto per la forza di PENSIERO. ... Di sicuro non fu creato per decidere con arroganza di certe COSE."""
Ushiromiya Battler,"""... Un supporto... per la forza di pensiero..."""
Dlanor,"""Proprio COSÌ. Grazie a Knox Ottavo, è proibito che il caso venga risolto utilizzando indizi non PRESENTATI. ... Ciò non significa soltanto che si è obbligati ad evitare di creare teorie che non siano supportate da INDIZI."""
{f:5:Virgilia},"""Se lo si considera da una prospettiva differente... significa che chi pone gli indovinelli è costretto ad esporre degli indizi che conducano alla soluzione."""
Ushiromiya Battler,"""... Dunque, in altre parole... se si segue il Decalogo... tutti gli enigmi devono avere indizi... e quindi, è garantito che trovare la soluzione sia possibile."""
,Capisco... così è questo che intendono per supporto per la forza di pensiero.
,"Se puoi credere che sia risolvibile, inizi ad aver voglia di provare a risolvere quegli enigmi."
,"Se sei in grado di credere che gli indizi esistono davvero, ti prende l'entusiasmo di rileggere la storia per cercarli..."
Ushiromiya Battler,"""Ammetto che... forse ha il potere di dar coraggio a chi si dà da fare per trovare una soluzione."""
Dlanor,"""Sembri convinto che il Decalogo di Knox sia una serie di restrizioni imposte da chi crea l'enigma, ma esso è anche essenziale per i LETTORI. ... Usando il Decalogo come supporto, ci viene conferito il coraggio necessario a ragionare, assieme alla forza di volontà necessaria a rileggere la storia più volte alla ricerca degli indizi che sappiamo devono esservi NASCOSTI."""
Ushiromiya Battler,"""... È come il coperchio di un barattolo di marmellata che è troppo stretto e non vuole aprirsi. ... Come Mamma diceva sempre... se sei convinto di non poterlo aprire, allora veramente non si aprirà, a dispetto di quanto ti possa impegnare. ... La stessa cosa succede negli sport. Dicono che l'avere o meno una buona immagine di sé e credere di poter vincere a prescindere da tutto abbia un grosso impatto sui risultati."""
,"In tal caso. Il Decalogo di Knox non è davvero un insieme di restrizioni arroganti e severe. ... Lo si può anche vedere come un modo per incoraggiare i lettori, che stanno cercando di risolvere il giallo, dicendo loro di fare del proprio meglio dato che, senza alcun dubbio, è risolvibile..."
Ushiromiya Battler,"""... È un'interpretazione interessante, questa. ... Però, ho sentito che non tutti i romanzi gialli al mondo seguono sempre il Decalogo, non è così? ... Se si dovesse incappare in uno di questi, non ci si sentirebbe come se ti avessero preso per i fondelli...?"""
Dlanor,"""Lo stesso Decalogo non è altro che una singola interpretazione, e non vale per tutti i MYSTERY. ... Anche se tra i seguaci più fervidi dell'opera di mio Padre, pare ci siano coloro che criticano aspramente quelle opere che violano il Decalogo e le chiamano ERESIE..."""
,Nel mondo dei mystery non c'è fine alle problematiche di questo tipo.
,"Questo o quel famoso giallo era davvero un mystery risolvibile, ovvero, un giallo che seguiva il Decalogo di Knox?"
,Questo genere di diatriba è già un tema costante dell'universo dei gialli.
,"Infatti, nelle discussioni sui mystery, controversie come questa si fanno a volte più infervorate delle discussioni sui trucchi veri e propri..."
Ushiromiya Battler,"""Posso capire perché viene voglia di criticare. ... Si cerca di trovare una soluzione, si crede che sia risolvibile e si segue il Decalogo, ma in realtà la storia non è stata minimamente fatta per essere risolta. Posso capire perché sarebbe una gran seccatura."""
,Esatto.
,Quando si lotta usando il Decalogo... c'è una sola cosa che si desidera venga garantita sin dall'inizio.
,Ovvero... si vuole la garanzia che il giallo in questione seguirà il Decalogo.
,"Se un'opera si presenta come giallo ortodosso, allora non devi preoccuparti di nulla."
,"Tuttavia, il genere giallo contiene in sé vari sottogeneri che ortodossi non sono."
,... Allora questo significa che cercare di ragionare su un giallo non convenzionale... è una totale perdita di tempo...?
Ushiromiya Battler,"""... Vista da questa prospettiva... sembra davvero arrogante come cosa."""
Dlanor,"""Sì. Trovo, a mia volta, estremamente triste che il Decalogo di mio Padre sia stato utilizzato come un'arma tanto ARROGANTE."""
Ushiromiya Battler,"""... Ma poco fa tu hai combattuto Beato usando il Decalogo come arma. ... Posso considerarla una prova che quest'universo dove tutto è un gioco creato da Beato segue il Decalogo di Knox...?"""
{f:5:Beatrice},"""..."""
,Quando feci quella domanda... calò un silenzio strano.
,"Virgilia, Dlanor... e naturalmente, Beato... rimasero tutte in silenzio per un po'..."
,Quasi come se la mia domanda avesse sfiorato l'essenza più profonda di qualcosa...
{f:5:Virgilia},"""Questa è... una domanda a cui io non posso rispondere."""
Ushiromiya Battler,"""Perché...?"""
{f:5:Virgilia},"""Questo è un gioco creato da questa ragazza. ... Un gioco creato per decidere chi tra voi due vincerà. ... Questa ragazza l'ha definito uno scontro tra mystery e fantasy."""
{f:5:Virgilia},"""Ma sfortunatamente, non l'ha mai definito un mystery convenzionale. {n}Ciò significa che non ci sono garanzie che segua il Decalogo."""
Dlanor,"""... Tuttavia, allo stesso tempo, {p:0:＜}Miss{p:0:＞} Beatrice ha affermato che questo gioco è un confronto tra te e LEI. ... In altri termini, una possibilità che tu vinca ESISTE."""
Ushiromiya Battler,"""In altre parole... stai dicendo che ragionarci su è possibile?"""
{f:5:Beatrice},"""..."""
{f:5:Virgilia},"""... Se lo chiedessi a questa ragazza, probabilmente ti direbbe che è possibile. ... Tuttavia, allo stesso modo in cui lei è la persona che ha lanciato la sfida e tu sei colui che è stato sfidato, voi due siete creature differenti. ... Un enigma che Beato può aver posto credendolo risolvibile... può e non può essere un enigma risolvibile anche per te."""
,"Per esempio, supponiamo di porre un semplice indovinello che qualsiasi giapponese capirebbe."
,"... Ma, se la persona a cui stiamo sottoponendo quest'indovinello è uno straniero con un dizionario Giapponese-Inglese alla mano, potrebbe rivelarsi quasi impossibile da risolvere."
,"... In altri termini, è possibile avere un ‘problema risolvibile’ a senso unico che sarà facile per chi lo pone ma estremamente difficile per la persona che cerca di risolverlo..."
,"A proposito, conosci l'indovinello straniero: ‘Perché i draghi dormono tutto il giorno?’"
,La risposta è ‘Perché combattono i cavalieri’.
,"Si tratta di un indovinello proveniente dal mondo anglofono, perciò potrebbe essere un po' difficile per un giapponese."
{f:5:Virgilia},"""Per questo motivo... non posso assicurarti che questo racconto è qualcosa che sarai senz'altro in grado di risolvere. ... Posso però assicurarti una cosa. ... E lo farò con la verità rossa."""
Ushiromiya Battler,"""... Di che si tratta?"""
{f:5:Virgilia},"""{p:1:Beato voleva che trovassi la soluzione,} {p:1:per cui ha reso questo gioco} {p:1:... gli enigmi di questa storia... risolvibili.} Soltanto questo, te lo assicuro con la verità rossa."""
,Si trattava di... quell'unica certezza... che tutti coloro che si impegnano a riflettere desiderano.
Dlanor,"""Non so se il Decalogo di mio Padre sarà applicabile alla soluzione oppure se ti condurrà ad ESSA. ... Ciononostante, quando ti troverai in un punto critico e vorrai una bussola per i tuoi pensieri, prego, prova pure ad utilizzare il mio Decalogo se te ne RICORDERAI. ... Potrebbe darti nuovo coraggio e, forse, anche qualche nuova SCOPERTA..."""
Ushiromiya Battler,"""Grazie mille. Se proprio mi dovessi bloccare, considererò il tuo stile di combattimento. ... Sei sicura che non ci siano problemi ad aiutare così un nemico?"""
Dlanor,"""Non PREOCCUPARTI. Mi sono presentata a questo tea party senza portare un PENSIERO. Spero tu possa apprezzare l'aiuto al posto di uno SNACK. ... Inoltre... se dovessimo vederci nuovamente, probabilmente non ci sarà il tempo per discutere con CALMA."""
,... Il Decalogo di Knox... e la verità rossa di Virgilia.
Ushiromiya Battler,"‘{p:1:Beato voleva che trovassi la soluzione,} {p:1:perciò ha reso gli enigmi di questo gioco risolvibili }’."
,In parole povere... Beato desidera che io sia in grado di risolverlo.
,Non si tratta forse... di una prova che ragionarci su è possibile...?
,"... Naturalmente, questo è il punto di vista di Beato... e non significa per forza che ragionarci sia possibile per me..."
,"In confronto a prima, quando non sapevo nemmeno se se ne potesse ragionare razionalmente o meno... è probabile che quella semplice affermazione mi abbia dato un bel po' di coraggio..."
,Perlomeno ha il potere di mettere a tacere qualsiasi pensiero negativo su come pensare sia inutile a prescindere...
{f:5:Virgilia},"""... Se prima l'altra parte non ti assicura che è possibile arrivare alla soluzione riflettendo, non ci proverai. ... È un po' come l'amore tra due timidi giovani."""
Ushiromiya Battler,"""Amore?"""
{f:5:Virgilia},"""Sì. ... Se prima non si hanno certezze che l'altro ti ami, non vuoi contraccambiare. ... Non è così?"""
,Sia ragazzi che ragazze... vogliono prima sentire qualcun altro dire che li ama.
,È questo il loro sogno.
,"... Se sono innamorati, non vogliono amare l'altra persona prima di essere sicuri... che i loro sentimenti siano ricambiati."
,"Dopotutto, nulla fa male come un amore non corrisposto... e le ferite sul cuore che si lascia dietro perdurano per tanto tempo."
,Temendo quel dolore... desiderano innanzitutto una prova che l'altro li ami più di ogni altra cosa...
Dlanor,"""Capisco, è un modo interessante per descrivere il rapporto tra scrittore e lettore in un GIALLO."""
,Già... forse i romanzi gialli si possono comparare all'amore.
,Sia scrittore che lettore... vogliono innanzitutto che l'altra parte dica che troveranno la soluzione (che la soluzione può essere trovata).
,"Fino a che lo scrittore non avrà la certezza che, se glielo dovesse sottoporre, il lettore cercherà sicuramente di risolvere l'indovinello, non avrà voglia di scrivere la propria storia."
,Lo stesso vale per i lettori.
,"Fino a che non avranno la certezza che saranno sicuramente in grado di risolvere l'enigma se ci provano, non avranno voglia di leggere la storia."
,Perché non vuole scrivere quel che considera un capolavoro e poi sentirsi ferito quando nessuno lo leggerà.
,Perché non vogliono riflettere su quel che considerano un capolavoro e poi sentirsi feriti quando capiranno che è stato tutto invano.
Ushiromiya Battler,"""Partendo da questi presupposti... dire che è come l'amore tra timidi ragazzini che frequentano le elementari o le scuole medie non è affatto un'esagerazione. ... Nonostante lo vogliano dal profondo del cuore, non hanno il coraggio di rivelare i propri sentimenti, per cui aspettano inquieti che sia l'altra persona a farsi avanti... e alla fine dell'estate, non è accaduto nulla."""
Ushiromiya Battler,"""Heheh, a volte uno dei due finisce addirittura con una persona completamente diversa. È così che è andata col mio primo amore, ihihi."""
,"Assieme a questi sentimenti a senso unico che non riescono ad esprimere, piangono il passare di un'estate che non tornerà mai più, e i giorni della loro gioventù volgono al termine."
,Lo scrittore che non voleva scrivere prima di essersi guadagnato il supporto dei lettori... andrà avanti per sempre senza pubblicare il suo primo lavoro.
,Il lettore che aspettava che lo scrittore diventasse famoso... trascorrerà tutta la vita senza conoscere le gioie del genere mystery.
{f:5:Virgilia},"""... Battler-kun. Quand'è che questo amore timido che assomiglia alla questione del ‘prima l'uovo o la gallina’... raggiunge il livello in cui si evolve in amore reciproco...?"""
Ushiromiya Battler,"""Beh... probabilmente quando la situazione si fa più complessa. ... Inizia come il rapporto tra due amici, i due comunicano di più tra loro... e quando entrambi raggiungono il livello in cui sono sicuri... che ‘questa persona mi piace e di certo io piaccio a lei’... beh, probabilmente a quel punto diventano automaticamente una coppia di amanti."""
Ushiromiya Battler,"""L'impressione che ho ricevuto finora è che le relazioni che iniziano con una dichiarazione d'amore improvvisa tendono a finire più spesso, mentre invece coppie che non si dichiarano mai ma si accorgono di essere sempre state insieme, di solito restano insieme per un lasso di tempo incredibilmente lungo."""
Dlanor,"""In altri termini, ciò accade dopo che i due si fidano l'uno dell'altra e nasce un rapporto di fiducia... è questo che stai DICENDO."""
Ushiromiya Battler,"""... Forse. ... È un po' strano. ... Ho sempre pensato che un mystery fosse una lotta tra scrittore e lettore... ma forse in realtà non lo è."""
{f:5:Virgilia},"""Esatto. Si tratta di qualcosa che non può proseguire senza un rapporto costruito sulla fiducia reciproca... un rapporto d'amore."""
Ushiromiya Battler,"""..."""
{f:5:Beatrice},"""..."""
Ushiromiya Battler,"""... Quindi, stai dicendo che il nostro... non è un rapporto in cui ci uccidiamo a vicenda, ma un rapporto d'amore?"""
{f:5:Virgilia},"""... *giggle*. Sebbene non mi sembriate altro che un paio di studenti delle elementari che si tormentano a vicenda... heheheheh."""
,Virgilia ci prendeva in giro come una donna di mezza età.
,Ad ogni modo... anche se non mi aspetto amicizia o un rapporto di fiducia... posso accettarla come avversaria.
,"Beato si sta battendo con tutte le sue forze, nel tentativo di farmi ammettere che lei è una strega."
,Perciò agirò di conseguenza e faro del mio meglio per negare l'esistenza delle streghe.
Dlanor,"""Come sai che {p:0:＜}Miss{p:0:＞} Beato... si sta battendo con tutte le sue FORZE?"""
Ushiromiya Battler,"""Posso dedurlo guardandola."""
Dlanor,"""Non ha certo proclamato in rosso di star combattendo contro di te con tutte le sue FORZE. ... Eppure, comunque non nutri DUBBI? Tu sei colui che ha dichiarato che non avrebbe creduto a nulla tranne che alla verità ROSSA."""
Ushiromiya Battler,"""... Nn..."""
{f:5:Virgilia},"""*giggle*. ... Sono certa che questa sia la fase in cui si comunica di più e si impara a non dubitare del proprio rapporto che Battler-kun ha menzionato prima."""
,Virgilia e Dlanor ridacchiarono insieme.
,"... Un solo uomo, più donne. Si parla d'amore."
,"... Ehi aspetta un attimo, questa non è forse la situazione peggiore in cui avrebbero potuto prendermi in giro?"
,"Quando tentai di cambiare argomento e di stabilire un'atmosfera appropriata per un tea party... nella piovosa Terra Dorata cercando goffamente un argomento più raffinato, Virgilia capì le mie intenzioni all'istante e rise di me..."
,......
,"Anche in questa situazione, Beato continuava a guardare in basso con quegli occhi grigi, fissando il suo tè nero..."
,......
,"... Già, è proprio così..."
,Virgilia e Dlanor... mi hanno dato così tanti indizi...
,"Eppure, c'ho riflettuto a stento..."
,"A questo punto, è troppo tardi per qualsiasi cosa..."
,... ‘Lasciatemi riflettere’.
,Ora che è già troppo tardi per qualsiasi cosa e ho tra le mani una quantità infinita di tempo... lasciatemi riflettere.
,"... Ancora una volta, lasciatemi riflettere sulla verità rossa datami da Virgilia... e sul supporto del Decalogo che Dlanor mi ha conferito..."
,Con la verità rossa... Virgilia ha garantito che Beato mi abbia almeno lasciato abbastanza spazio in questa vicenda per poter ottenere la vittoria.
,... Quella garanzia espressa con la verità rossa mi darà ancora una volta... ... la forza di far battere di nuovo il mio cuore...
,"E poi... c'è il supporto che è il Decalogo, datomi da Dlanor."
,Dlanor stessa mi ha avvertito che il Decalogo non è onnipotente e quindi non può risolvere ogni enigma.
,"Tuttavia, ha menzionato come lo si possa usare come metodo per risolvere... no, per affrontare gli enigmi."
,... Lasciatemi provare.
,"Nonostante non ci siano garanzie che questa storia sia un mystery oppure un fantasy... lasciatemi credere che sarò sicuramente in grado di trovare la soluzione... che si tratta di un racconto risolvibile, un mystery... e lasciatemelo affrontare un'ultima volta..."
,"Quando ripresi conoscenza... mi ritrovai all'improvviso... in quella strana sala da tè... dove spesso avevo discusso furiosamente con Beato sedendo a quel tavolo, di fronte a lei."
,"... Naturalmente, Beato non era da nessuna parte. C'ero soltanto io... completamente solo."
,Va bene così. A dispetto di tutto... non smetterò di pensare.
,Bene allora.
,"... Vediamo, quali erano i Comandamenti di Knox...?"
,Sono sicuro che Dlanor ne abbia spiegato la maggior parte mentre li usava per colpirmi.
,"Certo, un po' li ricordo."
,Com'è che andava... il primo...?
Gertrude,"""... Consentitemi di parlare. Knox Primo. È proibito che il colpevole sia qualcuno non menzionato nella parte iniziale della storia."""
,Mentre mormoravo chiedendomi cosa dicesse il primo...
,... Come a rispondere alla mia domanda... apparve la sottoposta di Dlanor.
,"Senza sprecarsi con un inutile ‘salve’, mi disse più o meno quel che volevo sapere."
Ushiromiya Battler,"""... Già, è così. Il Primo. ... Il colpevole deve essere una delle persone menzionate nella parte iniziale della storia."""
,Quindi... questo significa che il colpevole deve essere già apparso... durante il primo gioco...?
,"Vero, è uno dei fondamenti più essenziali del genere giallo. Qualcosa di scontato."
,... Scontato...?
,... Ma davvero io... l'ho considerato una nozione di base...?
,"Con ogni nuovo gioco, il numero di persone in questa storia continua a crescere."
,Ciò viola la regola del cerchio chiuso.
,"A quel punto, diventa tutto un pasticcio."
,Mi sono arreso dentro di me... pensando che il vero colpevole o la mente dietro tutto questo non doveva essere ancora apparso e che quindi ragionare fosse inutile...?
,Se leggo questa storia come fosse un fantasy... nuovi personaggi continuano ad apparire al punto che se comparissero anche re dei demoni o dei o creatori non ci sarebbe nulla di strano.
