Speaker,Italian (Ars Magica) (Old) (ITA)
{f:5:Beatrice},"""Ma comunque, Lady Lambdadelta, sei stata sconfitta da lei, *cackle*cackle*...!"""
{f:5:Lambdadelta},"""Urrrrrrrrgggh, non te li dirò, non te li dirò! Tsu-n!"""
{f:5:Beatrice},"""*cackle*cackle* hahhahahahahahaha! ... Non è mai noiosa, quella Lady Lambdadelta."""
{f:5:Bernkastel},"""... Vero? Prenditi cura di lei. È una persona sola."""
{f:5:Beatrice},"""Capisco. Quindi è una di ‘quelle’ che sono tanto popolari oggigiorno. *cackle*, come si ci aspetterebbe da Lady Lambdadelta. Così all'avanguardia. *cackle*cackle*cackle*cackle*."""
{f:5:Bernkastel},"""Vai. Quella ragazza sta aspettando che tu la segua."""
{f:5:Beatrice},"""... Allora, se volete scusarmi."
{f:5:Beatrice},"Ci vediamo al prossimo gioco. *cackle*cackle*cackle*cackle*cackle*!"""
{f:5:Bernkastel},"... Mi spiace. È arrivata quella fastidiosa, ma non farci caso."
{f:5:Bernkastel},Piuttosto... le cose si sono fatte brutte.
{f:5:Bernkastel},Pensavo di aver affrontato una fine davvero tragica nel gioco di Lambda... ma questa volta... è eccezionalmente orribile.
{f:5:Bernkastel},... Non è tanto difficile quanto capire quel sentimento che ti fa rannicchiare e chiuderti in te stesso.
{f:5:Bernkastel},"Se incontri quella fine ancora diverse volte, il tuo cuore verrà ucciso senza dover aspettare cento anni."
{f:5:Bernkastel},"... Beato mi ha scoperta, perciò lo confesserò."
{f:5:Bernkastel},"Tu sei, ora, proprio come ero io in passato, quando ero imprigionata dentro il mondo di Lambda."
{f:5:Bernkastel},"Rinchiusa all'interno del labirinto del fato crudele, tormentata da una strega, per così dire."
{f:5:Bernkastel},... Io sono una strega nata da lì.
{f:5:Bernkastel},... Quindi forse sono come una sorella maggiore per te. {n}Perciò ho deciso che ti avrei prestato il mio potere.
{f:5:Bernkastel},Tuttavia... anche paragonato al mio fato... il tuo è... veramente brutale.
{f:5:Bernkastel},"Non solo ti compatisco, ma mi viene da piangere per il tuo tragico fato."
{f:5:Bernkastel},"Ma per favore, non perderti d'animo. {n}Per favore, non sottometterti a Beato, qualsiasi cosa succeda."
{f:5:Bernkastel},"Certo, il gioco di quella ragazza è abbastanza scorretto."
{f:5:Bernkastel},"Mi è stato concessa solo un'occhiata al piano di gioco, ma i dispositivi intelligenti e ingiusti sono così spregevoli, che probabilmente superano di molto quelli del piano di gioco di Lambdadelta."
{f:5:Bernkastel},"E quel che è ancor più spaventoso, è quando quella ragazza muove una pedina, non è che fa sempre la miglior mossa possibile."
{f:5:Bernkastel},"È qui dove è molto diversa da Lambda. {n}Lambda usa sempre un gran numero di pedine per fare la miglior mossa possibile, al fine di vincere."
{f:5:Bernkastel},Ma Beato certe volte usa delle scorciatoie intenzionalmente quando muove le sue pedine.
{f:5:Bernkastel},"Siccome quando siamo nei guai, cerchiamo di scoprire la strategia dell'avversario guardando le loro mosse, ciò crea un formidabile ammontare di disturbi nelle nostre informazioni."
{f:5:Bernkastel},Questo potrebbe causare un fastidioso ammontare di disordine.
{f:5:Bernkastel},"... Tuttavia, come negli scacchi, un giocatore potrebbe creare dei disturbi per il proprio avversario con una mossa inutile, ma tralascerebbe comunque una mossa più preziosa."
{f:5:Bernkastel},"In altre parole, non è che le tue opportunità di andare in vantaggio siano zero."
{f:5:Bernkastel},"Sebbene tu non possa crederci, anche questo gioco era così."
{f:5:Bernkastel},... Anche se quegli sviluppi sembravano così opprimenti... c'era realmente un punto debole.
{f:5:Bernkastel},Uno che mi fa venire voglia di prenderne vantaggio.
{f:5:Bernkastel},... Sebbene non sappia se sia una trappola o se ci stia testando.
{f:5:Bernkastel},"Comunque sia, non arrenderti. {n}Non smettere di pensare. {n}Non negare ogni possibilità."
{f:5:Bernkastel},"Finché continui a mantenere quel desiderio di combattere, Beato non vincerà."
{f:5:Bernkastel},"Qual è l'elemento più importante in difensiva durante la battaglia di una strega? {n}Piuttosto che cercare di vincere, cerca di non perdere."
{f:5:Bernkastel},"... Se perderai quando la accetterai, allora non dovrai assolutamente accettarla."
{f:5:Bernkastel},... Farti accettare le streghe. {n}Non c'è più dubbio che sia uno delle condizioni di vittoria di Beatrice.
{f:5:Bernkastel},"Ora che ho annunciato che sono tua alleata, farò anche un grande sforzo prestandoti il mio potere."
{f:5:Bernkastel},Fai uno sforzo anche tu.
{f:5:Bernkastel},"Se ti stai ancora rannicchiando a terra, sbrigati a rialzarti."
{f:5:Bernkastel},"... Umm, in momenti come questi, cosa usavo dire?"
{f:5:Bernkastel},"... Umm, uh{n}... Fi... Fight, oh~. Mii, nipah~{p:0:☆}"
{f:5:Bernkastel},"... È così imbarazzante, fare ciò."
{f:5:Bernkastel},"... Ho fatto tanto per te, quindi ora alzati in fretta."
{f:5:Lambdadelta},"""... Ah, eccoti. Mi chiedo dove sia finita Bern? *giggle*, potrebbe essere più ingenua?"""
{f:5:Lambdadelta},"Ciononostante. {n}Come al solito, le pedine che Bern sceglie sono abbastanza misere."
{f:5:Lambdadelta},"È come con gli scacchi, no? {n}Se tutti i tuoi pezzi fossero pedoni, avresti zero possibilità di vittoria, giusto? {n}Se tutti i tuoi pezzi fossero torri o alfieri, non perderesti di sicuro."
{f:5:Lambdadelta},"... B-Beh, l'ultima volta, mi sono sentita un po' pentita e ho detto che poteva far avanzare le sue pedine da dove voleva, e poi quell'idiota di Bern, senza considerare il mio atto di compassione, ha iniziato con tu-tti i suoi pedoni verso la mia parte di scacchiera!!"
{f:5:Lambdadelta},"Cos'è, non era nemmeno una perdita o altro!! Aaah, solo ricordarlo mi fa venire la nausea."
{f:5:Lambdadelta},"A causa di ciò, non riuscirò a fermarmi finché non vedrò la faccia senza parole di Bern."
{f:5:Lambdadelta},"A causa di ciò, e anche perché qualcuno come te è la pedina di Bern, mi sento magnificamente!"
{f:5:Lambdadelta},"E inoltre, odierei quella ragazza anche se non avessi perso, quindi le farò digrignare i denti con pentimento, piangendo come un bambino, è talmente ingenua, *giggle*, hoh-hoh-hoh-hoh-hoh-ho!"
{f:5:Lambdadelta},"Su su, ridi insieme a me, oh-hoh-hoh-hoh-ho!"
{f:5:Lambdadelta},... Un attimo. {n}Stai ancora rannicchiato a terra?
{f:5:Lambdadelta},Stai così solo perché Beato si è fatta un po' seria?
{f:5:Lambdadelta},Potresti essere più patetico di così?
{f:5:Lambdadelta},"Sei così patetico, ti aiuterò giusto un pochino."
{f:5:Lambdadelta},"Io, la grande Lady Lambdadelta, la Strega della Certezza e la più forte dell'universo, mi unirò solo un po' con te e le tue possibilità di vittoria senza speranza. Dovresti ringraziarmi."
{f:5:Lambdadelta},"Sai, Beatrice potrà essere un strega crudele e potente, ma non può nulla contro di me."
{f:5:Lambdadelta},Perché? Perché lei è sciocca.
{f:5:Lambdadelta},"Mentre quella ragazza elaborerà la scacchiera così che possa vincere con sole poche mosse in più, non ti metterà alle strette intenzionalmente."
{f:5:Lambdadelta},Farà cose come prendere pezzi inutili e piazzare troppe pedine sulla scacchiera per fare le cose impari.
{f:5:Lambdadelta},"In breve, potresti dire che ha la brutta abitudine di giocare facendo sembrare che stia vincendo."
{f:5:Lambdadelta},"Quasi tutti i suoi vari attacchi che sono dolorosi per te e Bern, sembrano come uno spreco incredibile ed esagerato per me."
{f:5:Lambdadelta},"... In altre parole, questo significa che ha una debolezza, e che tu hai una possibilità. Capisci? Non è un avversario di cui preoccuparsi, no?"
{f:5:Lambdadelta},"Certe volte si sbaglia nelle sue strategie e obiettivi. {n}E si diverte troppo per cose cattive. {n}Come risultato, si crea ed espone i suoi punti deboli."
{f:5:Lambdadelta},È impossibile per una delle streghe più forti come me capire perché agisce in modo così rilassato.
{f:5:Lambdadelta},Perché diminuisce le sue possibilità di vittoria.
{f:5:Lambdadelta},"... Ma, beh."
{f:5:Lambdadelta},"A causa di ciò, il tipo di strega come Bern, che osserva attentamente il proprio avversario, ha una pessima affinità con lei. Siccome osservare lei non funziona."
{f:5:Lambdadelta},... Forse è davvero facile per Bern capire e usare un tipo obbediente e onesto come me. Mi fa arrabbiare!
{f:5:Lambdadelta},"... Beh, tuttavia, una super potenza di fuoco come me può battere in modo diretto una leggera e ampia raffica come Beatrice, quindi è come a sasso-carta-forbici."
{f:5:Lambdadelta},"Se io sono carta, Beato è sasso. {n}Il che significa che Bern è forbici. {n}Beh, magari quello non importa."
{f:5:Lambdadelta},"Anche se la mia carta perde contro le forbici di Bern, se fosse una super-carta, che è decisamente più imponente di una normale carta, potrebbe persino battere le forbici, giusto?!"
{f:5:Lambdadelta},"In altre parole, io, Lady Lambdadelta, sono super-carta! {n}Hoh-hoh-hoh-ho!"
{f:5:Lambdadelta},"Sembra che tu abbia recuperato un po' del tuo colorito. {n}Quella Beato, si sta divertendo torturando una certa pedina chiamata Rosa."
{f:5:Lambdadelta},"Al primo sguardo, penseresti che abbia davvero una cattiva abitudine, vero? {n}Sbagliato."
{f:5:Lambdadelta},"... Sta solo passando il tempo, sperando che ti rialzerai e tornerai."
{f:5:Lambdadelta},È una mossa per infiammare la tua giusta indignazione facendo intenzionalmente qualcosa di detestabile.
{f:5:Lambdadelta},"Ah accidenti, odio i tipi come lei!"
{f:5:Lambdadelta},"Bene allora, tornerò."
{f:5:Lambdadelta},Ah! Non dire a nessuno che ti ho aiutato un pochino!
{f:5:Lambdadelta},"Voglio dire, non è che ti ho aiutato perché volevo salvarti, ok?!"
{f:5:Lambdadelta},"A me, la più forte strega dell'universo, è stato rubato il posto di più forte quando ho perso contro Bern!"
{f:5:Lambdadelta},"Quindi devo riprendermi quel posto da Bern, ma se qui Bern perde contro Beato, allora la posizione di più forte passa a Beato, giusto?!"
{f:5:Lambdadelta},"... Beh, non mi sto proprio lamentando. Sarebbe più facile rubarlo da Beato, ma poi non mi sentirei soddisfatta, capisci?!"
{f:5:Lambdadelta},Sconfiggerò Bern! {n}E mi riprenderò la mia posizione di più forte!
{f:5:Lambdadelta},"Non è come se ti stessi veramente aiutando, ok?! {n}Non ti perdonerò se farai piangere Bern!"
