Speaker,Italian (Majotachi no Sub) (New) (IT)
Ushiromiya Battler,"""È come per la camera chiusa dell'altra volta... Le informazioni sono insufficienti!! Non si riesce a ragionare in questo modo! Si possono tirar fuori scuse di ogni tipo, si può adoperare qualsiasi gioco di prestigio!! Non ha senso usare la deduzione!"""
{f:5:Beatrice},"""Ah! Ancora con questa lagna? Starai a guardare perché non hai abbastanza elementi da cui partire? Non si può dedurre nulla perché le informazioni sono incerte? Ah, le solite scuse impiegate da voi umani per smettere di pensare in maniera critica. Chi ti credi di essere, miserabile umano?!"""
{f:5:Beatrice},"""Stai dicendo che, se non sei al livello del demone di Laplace, non riesci a formulare neanche un singolo pensiero, razza di incapace?!! E per giunta parli come se la mancanza di informazioni giocasse a tuo svantaggio, quando in realtà è l'esatto opposto, o sbaglio?"""
{f:5:Beatrice},"""Più aumenteranno le informazioni che riceverai, e più soffrirai! Il risultato che otterrai sarà soltanto un compressore che ti schiaccerà con maggior forza! Kueheheheheheheheheh!!"""
Ushiromiya Battler,"""Beh, in tal caso, lasciami dire una cosa. Prima di tutto, è impossibile verificare che sia una camera chiusa!! Se stiamo già tirando fuori demoni e diavoli, anch'io ne ho uno in serbo per te..."""
Ushiromiya Battler,"""Posso dimostrare che questa {i:non sia} una camera chiusa. Sarà sufficiente mostrare un modo con cui si può entrare e uscire!"""
Ushiromiya Battler,"""Ma è impossibile dimostrare che questa {i:sia} una camera chiusa!!!! Non si può negare l'infinità di metodi per entrare. In altre parole, questa non è che una probatio diabolica!! La definizione di camera chiusa è in realtà indimostrabile!!"""
{f:5:Beatrice},"""Dopo aver cessato di usare il giudizio critico con il pretesto della mancanza di informazioni, te ne esci fuori con questo... E sia. Se questa è la tua mossa, te la concederò. Continua pure."""
Ushiromiya Battler,"""Innanzitutto, sembra che stai cercando di dire che la cappella è una camera chiusa... Poco prima ho avuto la possibilità di dare un'occhiata in giro, ed effettivamente, all'interno non sono riuscito a trovare nessuna via di entrata o di uscita, ad eccezione della porta..."""
Ushiromiya Battler,"""Ma {i:solo perché non sono riuscito a trovarla}, non significa che ciò dimostri che sia una camera chiusa!!"""
Ushiromiya Battler,"""Se ci fosse una {i:porta nascosta} o qualcosa che non potrei scovare, le tue premesse verrebbero spazzate via!! Ergo, a prescindere che io riesca o meno a scoprire una porta nascosta, non potrai mai negare l'esistenza di un metodo X con cui si potrà entrare e uscire dalla camera chiusa!"""
Ushiromiya Battler,"""E questo metodo X può essere impiegato senza ricorrere alla magia. Dopotutto, è una {i:porta nascosta}! Tanto sono sicuro che in questa cappella ce ne sarà qualcuna impossibile da trovare. Quindi non ho bisogno di dedurre un bel niente, perché la magia è impossibile!!"""
{f:5:Beatrice},"""...Ohoh, è questa la tua argomentazione? Kuahahahah, che sprovveduto."""
{f:5:Beatrice},"""Una mossa prevedibile. Perciò lasciami rispondere con la mia... Io ho sempre ritenuto un'idiozia il concetto di ‘camera chiusa’ che compare nei gialli di voi infimi umani."""
{f:5:Beatrice},"""La ragione? Perché vengono usate nella maniera sbagliata... Tu pensi che le ‘camere chiuse’ che appaiono nei gialli siano davvero tali? Credo proprio di no, giusto?!"""
{f:5:Beatrice},"""‘{i:Che tipo di trucco hanno usato per farla sembrare una camera chiusa?}’! Ecco cosa pensi."""
{f:5:Beatrice},"""Per farla breve, in tutti i gialli con camere chiuse che si sono susseguiti tra voi umani nel corso dei secoli, non è mai esistito uno che fosse autentico!!"""
Ushiromiya Battler,"""Oooh!! Non dire queste cose, guarda che i fanatici dei gialli sono tipi spaventosi! Christie si starà rivoltando nella tomba!"""
{f:5:Beatrice},"""Hmph!! Io però sono diversa. Ho dato vita ad una vera e propria camera chiusa! E posso provarlo. Sai perché? Perché sono una strega!!"""
{f:5:Beatrice},"""Per poter dimostrare la probatio diabolica occorre che io porti con me un diavolo? Allora fa proprio al caso mio! In quanto strega ho buone amicizie con i diavoli, te ne porterò quanti ne vuoi!!"""
Ushiromiya Battler,"""Benissimo!! ‘Per entrare nella cappella, papà e gli altri hanno usato una porta nascosta, oppure vi ci sono stati portati’! Come pensi di rispondere a questa mossa?!"""
{f:5:Beatrice},"""Così. ‘È irrilevante se fossero vive o morte. Sei persone sono entrate davvero dalla porta’!!"""
Ushiromiya Battler,"""Ehh?!?! Cogliona!! Era chiusa a chiave, come avrebbero fatto?!!"""
{f:5:Beatrice},"""L'ho aperta con la magia, e li ho invitati ad accedere!!"""
Ushiromiya Battler,"""Col cavolo!! Io non posso accettare la magia, per cui non esiste che io accetti qualcosa di simile!! Stai mentendo!! Quella porta si aprirà con qualche espediente. Oppure ce n'è una nascosta, accetterò soltanto una di queste due opzioni!!"""
{f:5:Beatrice},"""...Scacco perpetuo!! È così che negli scacchi si chiama una ripetizione di posizioni. Nella nostra partita sta accadendo lo stesso, una discussione che non avanza perché entrambe le parti rigettano le premesse dell'altra..."""
{f:5:Beatrice},"""In molte partite questo porterebbe a un pareggio, ma ciò smorzerebbe drasticamente l'interesse!! Noi non avremo dei pareggi. Le alternative sono queste: o mi riconoscerai e ti sottometterai a me, o mi negherai!!"""
Ushiromiya Battler,"""Almeno su questo sono d'accordo!! Sistemeremo la questione una volta per tutte, proprio come tu desideri!!"""
{f:5:Beatrice},"""Mhmhmhmh! Mi piace il tuo spirito...! Perciò mi è venuta un'idea. Penso che aggiungerò una nuova regola a questa partita fra noi due."""
Ushiromiya Battler,"""Una nuova regola...?! Tanto sarà una regola a tuo favore, vero?!"""
{f:5:Beatrice},"""Ma perché mai? Ti concederò ciò che la gente come te non smette mai di bramare. La ragione per cui cessate sempre di pensare con la vostra testa per poi lamentarvi è la {i:mancanza di informazioni}!! E se in risposta vi vengono fornite tali informazioni, ne dubitate la veridicità, per poi {i:rigettare le premesse}!"""
{f:5:Beatrice},"""Non è comodo? Davvero delle gran belle parole per occultare la vostra inettitudine. Ho deciso di rimuovere quel pretesto conveniente. Dovresti ringraziarmi, kuahahah!"""
Ushiromiya Battler,"""Hai detto che sono entrati dalla porta, e io ho risposto che non poteva essere... Vorresti affermare che fosse una risposta evasiva?"""
{f:5:Beatrice},"""Proprio così. Perciò, d'ora in poi, {p:1:farò in modo che quando dirò il vero, userò il rosso}."""
Ushiromiya Battler,"""C-Cosa vuoi dire...?! Continua a spiegarti!"""
{f:5:Beatrice},"""Non importa quale mossa magica io possa adoperare, potrai continuare a scappare all'infinito, ripetendo costantemente frasi come ‘mancanza di informazioni’ e ‘rigetto delle premesse’..."""
{f:5:Beatrice},"""Sarebbe oltremodo tedioso, anche se alla fine vincerei ugualmente... ho in mente di fornirti le ‘informazioni’ e le ‘premesse’ che desideri."""
{f:5:Beatrice},"""Tuttavia, probabilmente metterai in dubbio ogni singola mia parola. Questo non è sbagliato di per sé. Anch'io giocherò ogni mossa a mia disposizione per farti cedere. Non disprezzo il nostro approccio di cercare le migliori mosse possibili..."""
{f:5:Beatrice},"""Ma ciò non costituirebbe una partita. Per cui ho stabilito questa regola."""
{f:5:Beatrice},"""{p:1:Ogni dichiarazione che farò in rosso è la verità}! Non ci sarà alcun bisogno di dubitare!"""
Ushiromiya Battler,"""E dovrei crederci...?!"""
