Speaker,Italian (Majotachi no Sub) (New) (IT)
Nanjo Terumasa,"""...In passato, anch'io qualche volta ho finto in questo modo, e mettevo dei dolcetti in posti segreti... Probabilmente l'avrà fatto una volta o due anche Kumasawa-san, anzi, tutti i domestici e tutta la famiglia Ushiromiya."""
Ushiromiya Battler,"""...Chi è che non pianificherebbe una storia e lascerebbe dei dolcetti in giro, se può far felice una bambinella dal cuore puro... Vorrebbe dire che fai spesso questo genere di cose, cugino George?"""
Ushiromiya George,"""...Chissà."""
,Confessarlo apertamente sarebbe stato poco elegante.
,"Una volta accertatosi accuratamente che Maria non lo sentisse, George lo ammise."
Ushiromiya Battler,"""In altre parole... è un po' come per Babbo Natale. Per proteggere i sogni di un bambino, i genitori cospirano insieme e dicono bugie, e una volta che è andato a letto, mettono i regali vicino al letto."""
Ushiromiya Jessica,"""...Io i sogni dei bambini li voglio proteggere... Ovviamente so già da tempo che Babbo Natale non esiste, ma... se si sarebbe potuto evitare di infrangerlo, avrei voluto continuare a crederci per tutta la vita."""
Nanjo Terumasa,"""...Siccome gli adulti sono consapevoli che il mondo è pieno di avversità... vogliono quantomeno proteggere i sogni innocenti dei bambini."""
Ushiromiya Maria,"""Uuh!! {f:5:Beatrice} esiste! {i:Esisteee}!!!"""
Kumasawa Chiyo,"""Sì, certo che esiste. {f:5:Beatrice}‐sama esiste, sai? Quando l'altro giorno stavo essiccando dello sgombro per farci un po' di tè con il brodo, tutto ad un tratto..."""
Ushiromiya George,"""...Beh, è qualcosa del genere, per farla breve... Almeno in teoria."""
Ushiromiya Battler,"""In parole povere... a parte Maria, nessuno credeva veramente alla strega."""
Ushiromiya George,"""Non la metterei esattamente in questo modo... Non è che non ci credevamo... Noi cercavamo di far sì che {i:lei} potesse crederci."""
,Tutto questo era per non tradire l'innocenza di una bambina.
,"Ma Babbo Natale non esiste nella realtà. Se non si vuole che un bambino lo scopra e ne rimanga deluso, sarebbe meglio non mostrargli tali illusioni sin dall'inizio..."
,Forse Battler la pensava così perché non era ancora maturato abbastanza?
,La sua mente aveva gradualmente formato un'idea sull'identità della strega di Rokkenjima...
,"Ma nella situazione attuale, tale concezione era ben che superata, e ogni sua premessa era stata ribaltata..."
Ushiromiya Battler,"""...Pensavamo di sapere cosa fosse, ma la strega {f:5:Beatrice}‐sama è apparsa per davvero. Dico bene?"""
Ushiromiya Battler,"""Oltretutto, a giudicare dallo scalpore causato dai nostri genitori, sembra che non fosse un'ospite invitata... La faccenda è interessante."""
Ushiromiya George,"""In realtà non ci sono basi per affermare che una donna dal nome di {f:5:Beatrice} non esista... È la probatio diabolica di cui parlava zio Rudolf... Nessuno di noi sapeva che esistesse una donna che si fa chiamare Beatrice..."""
Ushiromiya George,"""Ma questo non significa che possiamo negare la possibilità che {f:5:Beatrice} esista."""
Ushiromiya Jessica,"""...Dottor Nanjo, lei conosce nostro nonno da molto tempo, giusto?"""
Nanjo Terumasa,"""...Ad un certo punto della riunione di famiglia, ho ricevuto moltissime domande da Klaus-san e gli altri... e il loro argomento era se, molto tempo fa, Kinzo-san potesse aver avuto un'amante di nome Beatrice, da cui sarebbe potuta nascere una figlia illegittima."""
Ushiromiya Battler,"""Capisco. Nella testa dei nostri genitori c'è solo la distribuzione dell'eredità.{n}È chiaro come il sole che per loro sarebbe un problema, se dovesse presentarsi la figlia di un'amante."""
Nanjo Terumasa,"""Klaus-san e gli altri avranno chiesto informazioni a Genji-san. Ma Genji-san è uno stretto collaboratore di Kinzo-san, a cui ha giurato fedeltà... e probabilmente, è un amico intimo in cui Kinzo ripone fiducia, più di quanto farebbe con me..."""
Nanjo Terumasa,"""Dubito che Genji-san avrà detto loro qualcosa... E immagino che dopo avranno deciso di parlarne con me, che sono un suo vecchio amico..."""
Ushiromiya Battler,"""E quindi...? Ci dica le sue conclusioni, dottor Nanjo... Il nonno aveva un'amante che si chiamava {f:5:Beatrice} o no?"""
Nanjo Terumasa,"""...Sì, l'aveva... E no, non l'ho mai incontrata... Però avevo sentito da Kinzo-san che egli avesse una relazione con una donna del genere... Pare che fosse deceduta parecchi anni or sono."""
Ushiromiya Battler,"""...È morta... Prima avevano avuto una figlia?"""
Nanjo Terumasa,"""Questo non lo so... Ma Kinzo-san diceva sempre che stava ricercando il modo per riportare {f:5:Beatrice} in vita..."""
Nanjo Terumasa,"""Solitamente, se qualcuno perdesse la donna amata ed essa lasciasse un figlio, tutto il proprio amore verrebbe riversato su quel bambino... Perciò ho semplicemente supposto che Kinzo-san e {f:5:Beatrice} non avessero avuto figli..."""
Ushiromiya Battler,"""...Mh...? Quindi anche questa sarebbe una probatio diabolica."""
Ushiromiya Jessica,"""...Vero... È impossibile provare che {i:non esista} una bambina avuta tra lui e un'amante... Ora che è apparsa per davvero, ciò indica che lei {i:esista}."""
Ushiromiya George,"""È un ragionamento un po' affrettato... È più realistico presumere che qualcuno abbia saputo dei problemi in merito all'eredità della famiglia Ushiromiya, fosse a conoscenza della relazione di molto tempo fa di nostro nonno con un'amante, e si sia spacciata per lei per cercare di guadagnare qualcosa dalla questione ereditaria."""
Ushiromiya Battler,"""...È qualcosa di realistico... Tuttavia, non possiamo confutare l'ipotesi che ci sia davvero una figlia illegittima, e che questa abbia vissuto in isolamento, senza ricevere attenzioni dal nonno, per poi tornare qui in cerca di vendetta, giusto...?"""
Ushiromiya Jessica,"""Vendettaaa?! Ma cosa cavolo dici?!"""
Ushiromiya Battler,"""Aaah, scusa, scusa... Noi maschi tendiamo senza accorgercene a esagerare le cose per renderle più interessanti. Ho visto troppi film strambi. Ihihihih!"""
,"Normalmente, sarebbe stata una battuta di poco conto..."
,"Ma nel giorno della riunione di famiglia, in cui si sarebbe discusso sulla distribuzione dell'eredità, un argomento scottante persino fra gli stessi parenti, aveva fatto la sua comparsa un'ospite misteriosa che si faceva chiamare {f:5:Beatrice}, che nessuno aveva invitato..."
,La battuta di Battler non poteva venire recepita in maniera divertente.
,"Per questi motivi, Nanjo fu di grande aiuto quando rise fragorosamente per rasserenare l'atmosfera."
Nanjo Terumasa,"""Ahahahah... Capisco, capisco, sembra piuttosto avvincente. Leggerei molto volentieri un romanzo con una trama del genere."""
Ushiromiya Battler,"""Ma non credo che una cosa del genere sarebbe fattibile nel mondo reale... Dopotutto, ora come ora, in quest'isola ci sono una, due, tre... diciotto persone, no?"""
Ushiromiya Battler,"""Se facesse qualcosa di strano, verrebbe sopraffatta immediatamente. E grazie al tifone, non può neanche lasciare l'isola. In altre parole, non c'è modo che possa avvenire qualche crimine scellerato."""
Ushiromiya George,"""...Sono d'accordo. È in un vicolo cieco senza vie d'uscita, ed è in un frangente in cui è più che sospettabile, per cui non credo proprio che potrebbe compiere trame di vendetta spietate del genere."""
Nanjo Terumasa,"""Suppongo di no... Se così fosse, sarebbe più fattibile vendicarsi nell'ombra senza mostrarsi. I regolamenti di conti compiuti palesandosi in pompa magna si possono concepire solo nei drammi storici."""
Ushiromiya Jessica,"""Beh, chi lo sa? La vendetta si basa sulle emozioni, mica sulla logica. Specialmente se sta meditando di buttarci giù insieme a lei, e in tal caso né la polizia, il numero di persone o l'assenza di vie di fuga la spaventeranno."""
Ushiromiya George,"""Va tutto bene, Jessica-chan. Non avverrà nessuna delle cose orribili che stiamo immaginando."""
Ushiromiya Battler,"""Ihihih! Come se la lotta all'ultimo sangue dei nostri genitori per l'eredità non fosse già abbastanza orribile."""
Ushiromiya Jessica,"""...Infatti... Papà e zio Rudolf sono fisicati, e zia Eva si allena nelle arti marziali... Andrà tutto bene. Già..."""
,"Jessica non lo disse ad alta voce, ma aveva vagamente notato che, per la questione dell'eredità, suo padre si era schierato contro tutti gli altri fratelli."
,"Davanti ai ragazzi si comportavano come se fossero in buoni rapporti, ma una volta svanita quell'illusione, come era avvenuto a cena, era scoppiata una baraonda tumultuosa."
,"Era comprensibile che Jessica, accorgendosi di ciò, temesse che suo padre e sua madre si fossero cacciati in qualche guaio... e che potessero diventare dei sacrifici umani per qualcosa di terribile..."
Ushiromiya Battler,"""Siamo seri. Il fratellone George ha ragione... Non accadrà nulla. Anche se pretendesse di essere una strega, cosa potrebbe fare una singola {i:donna umana} che non sa nemmeno usare la magia?"""
Ushiromiya Maria,"""Kihihihihihihihihihihihihihihihihihihih..."""
,La risata sinistra che rieccheggiò all'improvviso fece sobbalzare tutti i presenti...
,"E quando si accorsero che quella strana risata veniva da Maria, furono scioccati per la seconda volta."
Ushiromiya Maria,"""...Capisco... Quindi è così che la pensi, Battler."""
Ushiromiya Battler,"""...C-Cosa? Non fare quella risata inquietante."""
Ushiromiya Maria,"""Per il momento hai accettato l'esistenza di {f:5:Beatrice}. La riconosci in quanto ospite e 19ª persona nell'isola... Ma questo è tutto, vero...? Non riconosci che Beatrice, la 19ª persona, sia una strega, dico bene...?"""
Ushiromiya Battler,"""Tra tutti i possibili discorsi, te ne esci con questo... Ma certo che no. {i:Le streghe non possono esistere}. L'unica alternativa è che sia una donna umana che si finge tale."""
Ushiromiya Maria,"""...Kihihihihihihihihihihihihihihih. Mmmh...? Che strano, Battler... Questa non è una probatio diabolica, o sbaglio...? Le streghe non possono esistere? Ma solo perché non ne ha mai incontrata una, non significa che puoi negarne l'esistenza, giusto...?"""
Ushiromiya Battler,"""...Giusto... Effettivamente è così. Non posso dimostrare che le streghe non esistono... Tuttavia, anche se non posso dimostrarlo, posso sostenerlo. Io sostengo che le streghe non esistono."""
Ushiromiya Maria,"""Perché...? Come puoi sostenere che le streghe non esistono, se non puoi dimostrarlo...?"""
Ushiromiya Battler,"""Perché cose del genere non esistono."""
Ushiromiya Maria,"""Kihihihihihihihihihihihihihihihih! Sarebbe questa la tua argomentazione definitiva? Termini la tua dimostrazione senza prove o ragionamenti?{n}Un classico caso di un ignorante che sguazza nella sua stessa superficialità. Certo che rifiuti con tutto te stesso di pensare con la tua testa. Kihihihihihihihih...!"""
Ushiromiya Battler,"""In tal caso, ho una sola risposta da darti, Maria... Che la fazione della strega deve mostrare una prova contraria. È un'altra probatio diabolica... Portala qui e chiuderemo qui la storia..."""
Ushiromiya Battler,"""Così facendo, questa donna che si fa chiamare {f:5:Beatrice}... non dovrebbe fare altro che tirar fuori con la sua bacchetta una magia spettacolare che sprizza stelle sbriluccicanti, {i:e mostrarci qualcosa che sia impossibile da compiere per gli {y:0:Umani}{n:0:umani}}, dico bene?"""
Kumasawa Chiyo,"""...Su, dico ad entrambi. Datevi una calmata, per favore..."""
,"Kumasawa notò che il clima che tirava tra loro due era leggermente degenerato, e si mise in mezzo per rabbonirli..."
,Tutt'ad un tratto Battler sembrò accorgersi di essersi comportato in modo immaturo.
,"Ma l'espressione di Maria rimase corrucciata... Continuava a fissare Battler, ridendo in modo sinistro..."
Ushiromiya Jessica,"""Piantala anche tu, Maria... Ritorniamo tutti di buon umore, d'accordo?"""
Ushiromiya Maria,"""Kihihihihihihihihihihih, kihihihihihihihihihihihihih."""
Ushiromiya Battler,"""..."""
Ushiromiya Maria,"""...Se è questo quello che vuoi, {f:5:Beatrice} te lo mostrerà senz'altro. {i:Qualcosa di impossibile per gli {y:0:Umani}{n:0:umani}}. Quando lo farà, anche tu crederai, vero? In {f:5:Beatrice}, ovviamente."""
Ushiromiya Battler,"""...Certo... Se mi concederà di assistere, ci crederò."""
Ushiromiya Maria,"""È un dibattito che si giocherà a scacchi tra te e la strega, Battler... Se subirai uno scacco matto, crederai nella strega."""
Ushiromiya Battler,"""Oh, è un'analogia arguta... La strega mostrerà la sua magia. Il mio re verrà messo sotto scacco."""
Ushiromiya Battler,"""Io cercherò dei cavilli, spiegando che anche per un umano, in qualche modo, è possibile imitare la magia, e il mio re sarebbe salvo... Nel caso non ci riuscissi, uno scacco matto sarebbe effettivamente un'ottima metafora."""
Ushiromiya Maria,"""Battler... Negli scacchi, sia le tue pedine che quelle del tuo avversario si muovono nello stesso modo. Per questo è possibile prevedere le mosse dell'avversario..."""
Ushiromiya Maria,"""Ma sai una cosa? Non hai preso in considerazione che, rispetto alle tue pedine, quelle del tuo avversario potrebbero muoversi in modi molto più insoliti. Dai per scontato che, poiché le streghe non possono esistere, i movimenti dei pezzi di {f:5:Beatrice} saranno per forza identici ai tuoi."""
Ushiromiya Battler,"""..."""
Ushiromiya Maria,"""...Ma vedi... Mi dispiace, Battler, ma il tuo avversario di scacchi non è {y:0:Umano}{n:0:umano}. È una strega... Lei può spostare le sue pedine in modi in cui un {y:0:Essere Umano}{n:0:essere umano} non può muoverle... Ora come ora, stai commettendo degli errori nelle tue valutazioni... Tu apprezzi il ragionamento a scacchiera di zia Kirie, vero?"""
Ushiromiya Battler,"""...Già. Mi piace un modo di pensare che ti pone nei panni del tuo avversario."""
Ushiromiya Maria,"""Proprio per questo non ti sarà utile. Il tuo avversario è una strega, ma tu non vuoi accettarlo... Pertanto, non riuscirai a comprendere le mosse a disposizione di una strega, e i tuoi ragionamenti a scacchiera non funzioneranno. Ciò che sai del tuo avversario è sbagliato. Il ragionamento a scacchiera è privato della sua premessa essenziale."""
Ushiromiya Battler,"""...Oh... Ecco dove volevi arrivare."""
Ushiromiya Maria,"""{i:Non puoi vincere a scacchi contro una strega}...! Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihih!"""
Shannon,"""...Non so cosa sia successo in seguito. A noi domestici è stato ordinato di non avvicinarci alla sala da pranzo..."""
Ushiromiya George,"""...Capisco. E tu hai mai incontrato questa {f:5:Beatrice} prima d'ora, Shannon?"""
Shannon,"""...Non saprei."""
,Era una risposta un po' strana.{n}Non sembrava volesse esattamente intendere che aveva dei vaghi ricordi.
Shannon,"""...Per noi domestici, {f:5:Beatrice}‐sama è l'altra padrona di questa villa... Alcuni dicono che siamo stati influenzati dal padrone e che abbiamo sparso questa voce..."""
Shannon,"""ma quando ho iniziato a lavorare qui, si mormorava già da tempo sulla storia di {f:5:Beatrice}‐sama."""
Ushiromiya George,"""Ne avevo sentito parlare... Pare che se non le porgi rispetto verrai maledetto, e che alcuni domestici abbiano veramente subito degli incidenti."""
Shannon,"""Sì... ma sono sicura che il grado in cui ci si crede vari da domestico a domestico... Io, ehm... credo che il rispetto per queste cose non vada dimenticato, quindi non ho mai dubitato della sua esistenza..."""
Shannon,"""Una piccola parte di me... ecco... credeva che una creatura misteriosa, quale la Strega Dorata, esistesse senz'altro."""
Ushiromiya George,"""...E poi, la strega, la cui esistenza era incerta, alla fine si palesò veramente, apparendo davanti all'ingresso in grande stile... È questo ciò che successe?"""
Shannon,"""...Non saprei... Io... non so nulla."""
Ushiromiya George,"""...Shannon, quando le hai portato la cena, vi siete dette qualcosa?"""
Shannon,"""...No, nulla."""
Ushiromiya George,"""Capisco... Però non mi convince molto una strega che si nutre di cibo. Alla fine potrebbe solo trattarsi di qualcuna che conosce la leggenda della strega di quest'isola, e che ha assunto il nome di {f:5:Beatrice}."""
Ushiromiya George,"""...Shannon-chan, credo che tu abbia imparato a rispettare {f:5:Beatrice}, e la ritieni come una divinità protettrice della villa. Perciò, quando una persona ti è comparsa davanti e si è presentata con tale nome, forse ciò ti ha lasciato un po' turbata."""
Shannon,"""...Hai ragione. Sicuramente è andata così."""
,"Dinanzi all'atteggiamento spento di Shannon, George era un po' confuso su cosa fare..."
,"Probabilmente, non solo Genji, ma anche i domestici più giovani, tra cui Shannon, erano stati tempestati di domande su chi potesse essere questa persona dal nome di {f:5:Beatrice}..."
,"Considerando questa ipotesi, cercò in qualche modo di tirarla su."
,"Come Maria e Jessica, era evidente che neanche Shannon sembrava riuscire a nascondere del tutto l'agitazione, causata dalla visita improvvisa di una persona che diceva di essere la Strega Dorata."
,"Si disse che doveva essere questo il caso...{n}Ma forse, George non sapeva cosa Shannon provava dentro di sé."
,Shannon era triste e amareggiata...
,La porta per la Terra Dorata sarebbe stata aperta...{n}La strega lo aveva reso chiaro.
,Ciò voleva dire la fine di ogni cosa...
,Anche se avesse accettato l'anello di fidanzamento di George... oramai non si sarebbero mai potuti sposare.
,No... Lo sapeva fin dall'inizio...{n}Un mobile come lei... aveva forse il diritto di sposarsi?
,Anche se la strega non fosse giunta ad annunciare la loro fine... la cosa non era forse destinata a fallire prima o poi?
,Possibile che avesse rivolto i suoi pensieri alle piacevoli giornate trascorse con George... ignorando volutamente la triste realtà?
Ushiromiya George,"""...Qualcosa non va...? È da un po' che sei molto giù di morale."""
Shannon,"""George‐san... Che cosa vuol dire... essere fidanzati?"""
Ushiromiya George,"""Eh?! Ah... ehm, ehm! Significa promettere di sposarsi... Ma io ritengo che abbia un valore identico a quello del matrimonio stesso..."""
Ushiromiya George,"""A dire il vero, voglio sposarti qui ed ora, e portarti a casa con me... Ma ho molto da imparare, e non sono ancora capace di costruire il mio dominio indipendente. Proprio per questo, una volta che sarò diventato un uomo maturo, voglio portarti a casa con me a testa alta."""
Ushiromiya George,"""Non sto parlando di un futuro lontano. Ti chiedo solo di aspettare per poco più di tre anni... Ciononostante, non voglio nascondere i miei sentimenti durante questo periodo."""
Ushiromiya George,"""Perciò... ho deciso di offrirti un anello di fidanzamento... Forse questo è un pretesto deprecabile per un uomo. Fidanzarsi per via del mio desiderio di aspettare, dato che non posso conciliare una moglie e un lavoro, potrebbe essere qualcosa di disdicevole. Ma non lascerò che tu—"""
Shannon,"""...Grazie infinite... Capisco bene che per te, George-san, un anello di fidanzamento non è un regalo come tanti da offrire ad un'amante."""
Ushiromiya George,"""E-Esattamente. Un anello di fidanzamento non è un semplice ornamento. È un giuramento tra persone che si amano, una promessa sacra impressa sotto forma di un anello."""
Shannon,"""...Uhuhuh... In tal caso, se ci sposassimo subito diventerebbe inutile, vero?"""
Ushiromiya George,"""A-Allora non sarà un anello di fidanzamento. Te lo darò in quanto anello nuziale... In un modo o nell'altro, non cambia il fatto che io ti offrirò un anello."""
Shannon,"""Quindi sarebbe una sorta di contratto d'acquisto, come per dire: ‘Questa donna è mia, che nessuno la tocchi’."""
Ushiromiya George,"""Nnngh... no, ecco... non è questo quello che... Coff coff."""
,"George era conscio del suo carattere indegno. Quando sì era invaghito di Shannon, giurando di diventare un uomo magnifico, lui promise di lasciarsi alla spalle quella parte vergognosa di sè."
,"Perciò scelse di rispondere in maniera un po' rude, anche se di proposito...{n}Credeva che così avrebbe potuto rassicurare Shannon."
Ushiromiya George,"""...No... forse hai ragione... Sayo. Tu sarai mia moglie... Non ti cederò a nessun altro. Sarai solo mia... Così nessuno ti ruberà... Questo è ciò che rappresenta l'anello... Senza alcun dubbio."""
Shannon,"""Grazie infinite, George‐san. Te ne sono veramente grata."""
,"‘Se tu dici questo, George-san...’"
,‘Mi daresti lo stesso questo anello di fidanzamento... anche se fosse stato deciso dal fato... che questa promessa non potrà essere mantenuta...?’
,Shannon provò a chiederlo... ma le parole non le uscirono dalla bocca.
,Perché George le aveva già dato una risposta...
,"George glielo aveva detto. Aveva detto che, per lui, un anello di fidanzamento era quasi del tutto identico ad uno nuziale."
,"Pertanto, accettare l'anello di George aveva un significato ben più sacro della promessa di sposarsi."
Ushiromiya George,"""Per cui... non lo chiamerò più un anello di fidanzamento. Da adesso in poi, non saremo più fidanzati. Sarà un anello nuziale."""
Shannon,"""S-Si può fare...? È corretto, ecco, dichiarare la nostra unione senza la benedizione di Dio...?"""
Ushiromiya George,"""Sì. Per Dio, mio padre, e mia madre, riferirlo a posteriori sarà sufficiente. Noi due proclameremo la nostra unione per conto nostro... Nessuno potrà obiettare."""
Shannon,"""...George‐san..."""
Ushiromiya George,"""Non lo dico per via di un sentimento passeggero. Non lo dico perché ti guardo solo per come sei ora... Ma anche per come sarai domani, e dopodomani ancora... Mentre dico ciò, sto persino pensando a quando nel futuro tu sarai anziana."""
Shannon,"""...Ne parli sempre, George-san... Di come vuoi trascorrere la tua vecchiaia placidamente, circondato da figli in salute e nipoti."""
Ushiromiya George,"""Già. Arrivati a quel punto, sarai una donna anziana seduta al mio fianco. Questo è il mio pronostico, anzi, la mia previsione... Sì. Perché quel giorno giungerà senz'altro."""
Shannon,"""...Giungerà... senz'altro? Potrò... credere in ciò?"""
Ushiromiya George,"""Sì. Senz'altro. Non c'è alcun dubbio... E questo anello ne sarà la tacita prova."""
Shannon,"""...Mostramelo... per favore."""
Ushiromiya George,"""Eh? Ah, ah, ah... E-e-eccolo...!"""
,"Pensando che gli stesse dicendo di mostrarle l'anello, George tirò fuori con ansia il cofanetto..."
,"Nonostante avesse fatto tanta pratica, non era riuscito ad apparire elegante."
,Ma Shannon non stava badando a questi dettagli...
,"Nel suo viso aleggiava un sorriso contornato da uno sguardo intenso e penetrante, avvolto da un velo di lacrime..."
,"I suoi occhi fissavano quelli di George... no, qualcosa al di là di essi..."
Shannon,"""Per favore... mostrami... quel futuro."""
Ushiromiya George,"""C... Certo... Te lo mostrerò. Senz'altro... Te lo prometto... E non solo fino alla vecchiaia... Anche dopo la nostra morte... Anche se diventassimo degli spiriti, resteremo insieme per sempre."""
,"Shannon si asciugò le lacrime e prese il cofanetto. Al suo interno vi era un anello con un diamante, più che adeguato a poter benedire i due."
,George disse la frase per cui si era esercitato più e più volte nella sua mente.
Ushiromiya George,"""...V-Voglio che tu indossi quell'anello al dito che preferisci, in modo che così darai la tua risposta. Cioè per domani mattina, ecco..."""
Shannon,"""...Uhuhuh."""
,"Shannon sorrise, per poi prendere l'anello... e con un gesto completamente naturale, lo mise all'anulare della mano sinistra."
,"Il suo comportamento sembrava davvero... incredibilmente spontaneo, e per un attimo George ne rimase stupefatto..."
Shannon,"""Questa è la mia risposta... George‐san."""
Ushiromiya George,"""Shannon... No... Sayo..."""
Shannon,"""...Anche se diventassimo degli spiriti... noi rimarremo insieme... nei secoli... dei secoli... George‐san."""
,"Non ci fu nessuna benedizione divina, nessun sacerdote a presenziare, nulla di tutto ciò. Ma i due avevano proclamato la loro unione.{n}Quel giorno, due anime si erano legate l'una con l'altra..."
Kanon,"""...Sorella... Sei una stolta."""
Shannon,"""...Davvero?"""
Kanon,"""Nonostante tu sia un mobile... Nonostante tu... sia un mobile...!"""
Shannon,"""Non sono un mobile. Non più."""
Kanon,"""...Bugiarda!! Perché ti stai riempiendo di illusioni?! Lo fai anche se tu sai che non potremo mai diventare umani! Lo fai anche se tu sai che non potrai mai essere umana, a meno che tu non raggiunga la Terra Dorata...!!"""
Kanon,"""Nonostante tutto questo, perché hai gettato via la tua promessa di raggiungere la Terra Dorata...?!!"""
Shannon,"""Giusto. Accettando l'anello... verrebbe annullata la promessa con {f:5:Beatrice}‐sama, vero...? Uhuhuh, scusami."""
Kanon,"""...Da qui in poi, io, tu, il signorino George, il padrone, e tutti quanti gli altri, saremo sullo stesso piano. Verranno sacrificate tredici persone. Soltanto cinque saranno invitate nella Terra Dorata... E tu stessa hai rifiutato... uno di quei posti..."""
Shannon,"""Strano... Sembra che sia tu quello che ha rimpianti, Kanon-kun."""
Kanon,"""Non dovresti avere dei rimpianti, sorella?! Ti sei fidanzata, giusto?!{n}Pur sapendo che era un destino irrealizzabile!!"""
Shannon,"""Sì. Ho promesso che saremmo rimasti insieme nei secoli dei secoli, per tutta l'eternità..."""
Shannon,"""E sai una cosa...? La nostra eternità... si era compiuta in quell'istante. Anche se dovessimo diventare dei sacrifici, essa si è già compiuta. Perciò a me sta bene."""
Shannon,"""...Kanon, sei tu in realtà ad avere dei rimpianti.... Siamo dei mobili, giusto? Saremo liberati a prescindere da quale sarà il risultato... In tal caso, non importa se raggiungemo o meno la Terra Dorata..."""
Shannon,"""Eppure ti sei impuntato sul volerci arrivare... Vuoi diventare umano ad ogni costo, vero...? Perché?"""
Kanon,"""Perché io voglio diventare umano!! Sono stufo di essere un mobile!!"""
Shannon,"""Perché?"""
Kanon,"""Anch'io... avrei voluto innamorarmi...!!!"""
,"Kanon stava piangendo copiosamente... Dopodiché, lanciò un grido disumano."
