Speaker,Italian (Majotachi no Sub) (New) (IT)
Gohda Toshiro,"""Signorino George, è da molto che non ho l'onore di incontrarla. Mi permetta di aiutarla."""
Ushiromiya Hideyoshi,"""Come sempre sei un maestro nel fornire un'accoglienza coi fiocchi... Se mai ti stancherai di questo lavoro, fammi uno squillo quando vuoi. Per te ci sarà sempre un posto!"""
Gohda Toshiro,"""Lei mi offre lodi che non mi merito. Mi permetta di aiutarla, signor Hideyoshi."""
,"Dopodiché Gouda-san accolse tutti i presenti, assistendoli nello sbarco."
,"Il suo vocabolario e il suo portamento erano sofisticati e, come potrei dirlo, conformi ad un professionista."
,"In contrasto con le sue apparenze da omaccione, era una persona di gran classe."
,"La sua stazza intimidatoria mi aveva messo in soggezione, ma era molto più cordiale di quanto avessi immaginato."
,"Disse che lavorava qui da due anni, ma non c'era alcun dubbio che in passato avesse svolto impieghi dello stesso tipo."
,"Dopo che tutti scesero dal battello, la corda per l'ormeggio venne sciolta, e la barca cominciò ad allontanarsi dal porto."
,Probabilmente sarebbe ritornata al porto di Niijima.
,Il capitano agitò la mano per salutarci. Anche Maria ricambiò il gesto con premura.
Ushiromiya Battler,"""...Mmmh, già da prima sentivo che ci fosse qualcosa fuori posto, ed ecco cos'era: non si sentono le grida dei gabbiani."""
Ushiromiya Jessica,"""I gabbiani? Intendi gli uccelli?"""
,"Ogni volta che venivo su quest'isola, i gabbiani mi accoglievano con quei loro ‘nyaa, nyaa’ squillanti."
,"Per questo motivo, anche quando sentuvo questi versi altrove, avevo come la sensazione di star andando ad una riunione di famiglia."
,"Dato che l'isola di Rokkenjima era rimasta intatta, ad eccezione di una minuscola porzione in cui abitava la famiglia Ushiromiya, si diceva che essa fosse un paradiso per gli uccelli selvatici."
,"Era come se la banchina diventasse un'enorme colonia di gabbiani, e quest'isola ne era sempre piena."
,"I gabbiani non erano venuti a salutarci, perciò provavo un leggero senso di malinconia."
Ushiromiya Rosa,"""Qualcosa non va, Battler-kun?"""
Ushiromiya Battler,"""Oh, zia Rosa... No, nulla di che, è che non si sentono le grida dei gabbiani, per cui mi sento un po' triste..."""
Ushiromiya Rosa,"""Oh, ora che me lo fai notare, è vero. Sono sempre chiassosi, eppure oggi non ce n'è neanche uno."""
Ushiromiya Maria,"""...Uuh? Perché non ci sono i gabbiani?"""
Ushiromiya Rosa,"""Mmmh, forse oggi si saranno riuniti anche loro da qualche parte? Maria, anche tu volevi vedere i gabbiani?"""
Ushiromiya Maria,"""Uuh, volevo vederli."""
Ushiromiya Battler,"""Ma come mai non se ne vede neanche uno? Forse Jessica li ha cotti come spiedini e se li è pappati tutti!"""
Ushiromiya Maria,"""...Uuh?!"""
Ushiromiya Jessica,"""N-Non turbarla! Maria potrebbe pensar male!!"""
Ushiromiya Maria,"""Uuh, uuh, uuh! La cugina Jessica li ha cotti come spiedini, li ha cotti come spiedini! Uuh!!"""
Ushiromiya Jessica,"""Non è vero, non è vero! Perché mai dovrei fare una cosa simile?!"""
Ushiromiya Battler,"""Giusto, giusto, Jessica li ha cotti come spiedini! Lei con loro ci fa il polpettone, e lo spiedo di fegato!"""
Ushiromiya Maria,"""Ci fa il minestrone! E lo spiedo di fegato!! Uuh, uuh, uuh! Ahahahahah! Ihihih, ihihih!"""
,"Maria si unì alle mie prese in giro di Jessica, e sembrava divertirsi."
,"Ooh, lei sì che sa stare al gioco! Bene bene, oggi lei sarà la prima a diventare mia seguace!"
,"Lei rise molto allegramente quando le sorrisi, felice per questo piccolo legame di solidarietà che si era creato tra di noi."
Ushiromiya George,"""Non è così, Maria-chan. Pare che gli uccelli selvatici siano sensibili ai cambiamenti metereologici e della pressione atmosferica. Probabilmente stasera il tempo peggiorerà. Può essere che siano tornati ai loro nidi prima del solito."""
Ushiromiya Maria,"""...Uuh. Niente spiedini? La cugina Jessica non li aveva cotti come spiedini?"""
Ushiromiya Jessica,"""Ma no, ma no!! H-Ho detto che non farei mai una cosa simile! Forza, Battler, confessa di aver mentito!"""
Ushiromiya George,"""Battler-kun. Maria-chan è una ragazza ingenua, quindi prende sul serio anche le battute. Dovresti fare più attenzione a come scherzi."""
,...Il fratellone George mi aveva ripreso gentilmente e in modo pacato...
,"In termini di stazza ero anche più grande del fratellone, ma rimaneva sempre il mio fratellone. Non potevo fare altro, se non porgere le mie più sincere scuse."
Ushiromiya Battler,"""G-Già, scusatemi... Maria, la mia era solo una battuta. Oggi i gabbiani stanno buoni nei loro nidi."""
Ushiromiya Maria,"""...Battler ha mentito? Il cugino George ha detto la verità?"""
,"Si era divertita così tanto, eppure alla fine è stata ingannata...?I suoi occhi innocenti sembravano incolparmi... Forse ho esagerato, anche se di poco."
Ushiromiya Battler,"""Già, proprio così. Quello che ha detto il fratellone George è vero. Dato che il tempo è brutto, oggi saranno tornati a casa. Ma non vuol dire che siano spariti, no? Giusto, zia?!"""
Ushiromiya Rosa,"""Hai ragione. Se domani il tempo sarà migliorato, ritorneranno sicuramente, e ci faranno sentire il loro ‘nyaa nyaa’."""
Ushiromiya Maria,"""Uuh. Aspetterò che il tempo si farà bello, e che ritorneranno. Aspetterò fino a domani. Aspetterò che il tempo si farà bello. Uuh, uuh!"""
,"Maria era tornata di buon umore, e non vedeva l'ora che arrivasse domani, quando i gabbiani sarebbero tornati a riempire il cielo."
,"Ad ogni modo, il fratellone George è abile nel prendersi cura dei bambini..."
,"Se non sbaglio il fratellone si era preso amorevolmente cura anche di me, quando sei anni fa ero un moccioso..."
,"Forse hai del talento in questo, fratellone."
Ushiromiya Rosa,"""George-kun è bravo a prendersi cura dei bambini. Potresti anche lavorare come maestro d'asilo, sai?"""
Ushiromiya Jessica,"""Ah, è come se fossi nato per questo, cugino George. Personalmente ti ci vedo più in questo ambito, invece che a fare affari dentro qualche ufficio dirigenziale, non trovate?"""
Ushiromiya George,"""Suvvia. Il maestro d'asilo è un mestiere serio. Non è un impiego dove basta farsi piacere dai bambini."""
Ushiromiya Rosa,"""Come sei modesto, George-kun. Ma anche Battler-kun sa come attirare l'attenzione dei bambini, no? Un attimo fa Maria sembrava divertirsi un mondo, anche se per poco tempo. Continua a giocare con lei come hai fatto finora. Però scegli meglio le tue battute, ok? Uhuhuh."""
,"Zia Rosa si lasciò sfuggire una risatina, e nel mentre mi fece una specie di occhiolino."
,"Mi pareva felice di vedere Maria divertirsi, proprio come ci si aspetterebbe da una madre."
Ushiromiya Rudolf,"""Su, Rosa. E che diavolo state facendo voi mocciosi? Muovetevi!"""
Ushiromiya Rosa,"""Sì, sì, arriviamo."""
,Il vecchiaccio sventolava la mano per farci sbrigare. Dovevamo muoverci.
,"Se potevamo parlare mentre stavamo in piedi, avremmo avuto tempo anche dopo aver posato i bagagli nelle nostre stanze."
Gohda Toshiro,"""Bene signori, vi mostrerò la strada per la dépendance, dove alloggerete per la notte. Prego, da questa parte."""
,"Gouda-san richiamò i presenti, per poi farci strada. A chiudere il gruppo vi era Kumasawa-san."
,"Il percorso era contorto e serpentino, e si diramava all'interno di una selva oscura. Era leggermente in salita."
,"Immagino che avessero reso il percorso tortuoso per far notare di meno il pendio, ma secondo me sarebbe stato meglio se avessero fatto direttamente delle scale rettilinee, o qualcosa del genere..."
,"Avevano attorcigliato il sentiero di proposito, per dare un effetto di lontananza e di autorevolezza..."
,"Poco tempo dopo, vedemmo una scalinata in pietra posta in mezzo alla vegetazione..."
,"Aaah, me lo ricordavo questo posto. Se si saliva, mi pareva che..."
,"Arrivati in cima ai gradini in pietra, si poteva osservare una stupenda dépendance."
,"Ovviamente la sua architettura era bellissima, ma soprattutto... era impossibile non restare ammaliati dallo splendore di quell'incantevole roseto, che si estendeva dinanzi a noi."
Ushiromiya Hideyoshi,"""Aaah! Come al solito, anche quest'anno è una meraviglia... Una vera gioia per gli occhi..."""
,"Le persone che, dopo aver salito la scalinata di pietra, venivano accolte dalla visione del roseto, diedero voce alle loro impressioni, una dopo l'altra."
Ushiromiya Eva,"""Sbaglio o i fiori quest'anno sono leggermente meno in salute? Dopotutto, può darsi che sia dovuto al poco calore di quest'estate."""
Gohda Toshiro,"""Credo che sia dovuto anche a questo. È un peccato che la fioritura di quest'anno sfiguri lievemente, se paragonata a quella dell'anno scorso."""
,"Anche tenendo in conto di ciò, rimaneva un roseto eccezionale. Mi ricordai che, anche prima di sei anni fa, venivamo accolti ogni anno da una montagna di rose..."
,"Questo roseto era la prima cosa che accoglieva i visitatori di Rokkenjima, e persino i parenti che si recavano qui annualmente non riuscivano a nascondere il loro stupore."
,"E per di più, mi sembrava essere una versione decisamente migliore del giardino dei miei ricordi di sei anni fa."
Ushiromiya Kyrie,"""Ogni volta è sempre uno spettacolo. Sarebbe bellissimo avere un roseto del genere a casa nostra."""
Ushiromiya Rudolf,"""Lascia perdere, e poi chi se ne prenderebbe cura? Insetti, malattie, le rose sono difficili da tenere, lo sai?"""
Ushiromiya Rosa,"""Sarà. Ma Kirie-san pare prendersi cura della sua rosa ogni giorno, e fa in modo che nessun insetto le si avvicini, giusto?"""
Ushiromiya Rudolf,"""Eh? Di cosa cavolo stai parlando?"""
Ushiromiya Kyrie,"""Esattamente. Ma in questo caso è la rosa che va a caccia di insetti, quindi al massimo sarebbe una pianta carnivora dal pessimo carattere."""
Ushiromiya Rudolf,"""...Oh, ecco che volevate dire. Seriamente, Rosa, per oggi puoi darci un taglio? Mi sono lasciato quel genere di cose alle spalle una volta per tutte."""
Ushiromiya Rosa,"""Chissà. Dopotutto la sregolatezza è quasi parte del tuo DNA, fratellone...!"""
Ushiromiya Kyrie,"""Stai tranquilla, Rosa-san. Se una rosa mi gioca troppi scherzetti, la taglio direttamente alla radice."""
Kumasawa Chiyo,"""Ohohohoh, che discorso inquietante."""
Ushiromiya Hideyoshi,"""Gli uomini popolari vanno sempre a braccetto col rischio. Nella mia prossima vita vorrei nascere un po' più belloccio!"""
Ushiromiya Rudolf,"""Te lo ripeto, Hideyoshi-san, io non sono popolare con le donne... Anche tu, Kirie, smettila con questi discorsi inquietanti. Così hai fatto appassire la mia rosa."""
Ushiromiya George,"""Ehi, Maria-chan, vieni qui a vedere. Queste rose sono particolarmente splendide."""
Ushiromiya Maria,"""...Le rose sono splendide... Uuh!"""
Ushiromiya Battler,"""Mmmh, che buon profumo. Proprio come piacciono a me."""
Ushiromiya Jessica,"""E piantala! Maria finirà per imitarti e si farà male con le spine!"""
,"Quando feci finta di annusare il profumo delle rose con fare molto pomposo, Jessica si arrabbiò..."
,"Nel momento in cui mi girai con la convinzione che stesse esagerando, Maria stava imitando ogni mio movimento, facendo ridere di gusto il fratellone George."
Ushiromiya George,"""Su, Maria-chan, fai attenzione. Le spine delle rose fanno male."""
Ushiromiya Maria,"""...Uuh...? Cugino George. Questa rosa è strana. Uuh."""
Ushiromiya Jessica,"""Strana? Cos'ha che non va?"""
,Maria indicò una delle rose. Notammo subito che cosa la rendesse fuori posto.
,"In mezzo a tutte quelle splendide rose, era l'unica che stava appassendo."
,"Non c'era una ragione particolare. Alcune rose fioriscono, e altre appassiscono."
,"Sotto non vi era nulla di più, ma sebbene tutte le altre fossero in buono stato, una non stava bene, e Maria sembrava molto impensierita da ciò..."
,Doveva averle fatto senz'altro provare un senso di esclusione.
Ushiromiya George,"""Poverina, è l'unica rosa che non sta bene...?"""
Ushiromiya Maria,"""...Uuh. Le altre stanno bene, ma solo questa sta male."""
Ushiromiya Jessica,"""Beh, è perché fioriscono e appassiscono a ritmi diversi. Immagino che invece di appassire più tardi, questa rosa sia fiorita più velocemente delle altre, no?"""
Ushiromiya Battler,"""Proprio così. Immagino che sia fiorita al massimo, abbia svolto il suo dovere e sia andata a riposarsi. Non stare così tanto in pensiero."""
Ushiromiya Maria,"""...Uuh."""
,Sembrava che la sensibilità innocente di Maria fosse in qualche modo urtata dalla rosa che stava appassendo in solitudine.
,"Sebbene lo avesse compreso da un punto di vista logico, sembrava non riuscisse a liberarsi del suo senso di malinconia."
Ushiromiya George,"""In tal caso, Maria-chan... Finché non torniamo a casa, potrai badare a questa rosa."""
Ushiromiya Maria,"""Uuh?"""
,"Il fratellone George si alzò in piedi, frugando qualcosa nelle sue tasche.{n}Da essa tirò fuori la carta di una caramella che aveva mangiato in aereo."
,"La attorcigliò con delicatezza, per poi usarla a mo' di spago e legarla alla rosa come segno di riconoscimento."
Ushiromiya Jessica,"""Wow, è proprio caruccia!"""
Ushiromiya George,"""Bene, così abbiamo marcato la rosa. Più tardi portale dell'acqua. Sono sicuro che la rosa ne sarà felice."""
Ushiromiya Maria,"""...Uuh! Le porterò dell'acqua!"""
Ushiromiya George,"""Dopo tutte queste cure, sarebbe carino dare alla rosa un nome. Credo che ne sarebbe felice, così svilupperà un legame con te."""
Ushiromiya Maria,"""Un nome...? Un nome... Uuh... Uuh..."""
,"Mentre teneva le braccia incrociate, Maria cominciò a spremersi le meningi, seppur manentendo il suo solito volto imbronciato."
,Almeno sembrava essersi ripresa del tutto dal suo sconforto. Proprio come ci si aspetterebbe dal fratellone.
Ushiromiya Jessica,"""Sei sempre stato comprensivo, cugino George. Hai il mio rispetto."""
Ushiromiya Battler,"""Eh sì. È uno tutto d'un pezzo. Dovremmo prendere esempio da lui!"""
Ushiromiya Hideyoshi,"""Questo giardino era così splendido anche quando eravate bambini?"""
Ushiromiya Eva,"""È diventato così imponente dopo che me ne sono andata. Ma ero affezionata alla semplicità del vecchio giardino. Mio fratello maggiore lo ha modificato in maniera troppo pacchiana. Era molto meglio com'era prima."""
Ushiromiya Hideyoshi,"""Pensa positivo, Eva! Lascia il passato alle spalle, e ammira la bellezza di quello che c'è adesso. È così che troverai la pace."""
Ushiromiya Eva,"""Non intendevo dire quello... È solo che avrei voluto farti vedere quanto il giardino fosse bello una volta."""
Gohda Toshiro,"""Bene signori, se non vi dispiace. Lasciate che vi guidi verso le vostre stanze."""
,"Gouda-san richiamò tutti per capire se fossero pronti, ma erano completamente rapiti dal roseto che non vedevano da un anno, e non lo ascoltarono minimamente."
,"Non essendo una comitiva turistica, non avevamo degli orari precisi da dover rispettare."
,"E poi, i nostri parenti non avevano motivo di venire spronati da qualcuno, dato che erano nei pressi della loro cara, vecchia casa."
,"Comprendendo tali circostanze, Gouda-san rimase sorridente, e attese fino al momento in cui i nostri genitori non si stancarono delle rose e gli chiesero di portarli verso le loro camere..."
Ushiromiya Hideyoshi,"""Oh...! Eeehi! Ma guarda, se non è Kanon-kun! È da tanto che non ci si vede, come stai?!"""
,Gridò ad alta voce lo zio Hideyoshi all'improvviso.
,Quando guardammo nella direzione verso cui stava agitando la mano... vedemmo un ragazzo dalla costituzione esile.
,"La sua figura appariva ancor più minuta, dopo aver visto un uomo dalla grossa corporatura come Gouda."
,"Il ragazzo stava spingendo una carriola, in cui vi erano ammassati, tra le varie cose, degli attrezzi da giardinaggio."
,"Una volta che realizzò di essere stato chiamato, egli mise giù la carriola e si tolse il berretto, chinando il capo."
Kanon,"""...Buongiorno a voi."""
,"...Forse era più giovane di me. Dal modo in cui si atteggiava, capii che anche lui era un domestico."
,"Aveva ricambiato al saluto portogli da zio Hideyoshi, ma sembrava essere un tipo distaccato."
,Era un saluto leggermente privo di sentimento.
,"Quando Gouda notò che il nostro interesse si era spostato su di lui, si mise a fianco del ragazzo e ce lo presentò."
Gohda Toshiro,"""Signorino Battler, lasci che ve lo presenti. Lui è uno dei domestici al servizio della famiglia Ushiromiya... Porgi i tuoi saluti al nostro ospite, Kanon-san."""
Kanon,"""...Piacere di conoscerla. Io sono il domestico... Kanon ({p:0:嘉音})."""
,"In fin dei conti la mia prima impressione non era sbagliata: sembrava essere poco socievole, o impacciato nel parlare."
,"Confrontandolo con Gouda-san, che come domestico era straordinariamente posato, volente o nolente risultava essere immaturo, come ogni ragazzo della sua età."
,"Gouda-san lo esortò con voce bassa a presentarsi in maniera un po' più adeguata, ma il suddetto Kanon si limitò a volgere lo sguardo a terra."
Gohda Toshiro,"""Kanon-san. Non potresti fornire un'accoglienza più calorosa...?"""
Kanon,"""...No... Perché noi... siamo mobili."""
,"Più che a rifiutarsi di migliorare la sua presentazione per dispetto, dava più l'impressione di non sapere cosa aggiungere, e di non poter fare altro se non restare in silenzio."
Ushiromiya Jessica,"""V-Vedi, Kanon-kun è di poche parole, non ama chiacchierare. Non è molto socievole, ma in fondo è una brava persona! Non farti un'idea sbagliata...!"""
Ushiromiya Jessica,"""Lavori qui da tre anni, vero? Se non sbaglio, sei qui da un anno prima di Gouda-san, giusto, Kanon-kun?"""
,"Jessica si affrettò ad assisterlo, anche se non mi aveva dato un'impressione particolarmente brutta..."
,"Già, a quanto pareva i suoi modi freddi giocavano spesso a suo svantaggio."
Ushiromiya Battler,"""Beh, piacere mio. Io sono Battler! Ho diciotto anni, e tu quanti ne hai?"""
Kanon,"""..."""
,"Lui tacque, come per soppesare se avesse dovuto rispondere o meno a tale domanda... E Jessica si fece avanti ancora una volta."
Ushiromiya Jessica,"""Fammi pensare...! Se non ricordo male, ha due anni in meno di noi, quindi... sedici, giusto?"""
Kanon,"""...Sì... proprio così."""
,"Sembrava che se avesse potuto, avrebbe preferito non rivelarci la sua età."
,Non voleva dircela perché credeva che lo avremmo guardato dall'alto in basso...
,"Anch'io, quando avevo la sua età, ricordo che odiavo quando gli adulti mi chiedevano quanti anni avessi..."
,"Capisco, sedici anni, eh? Dev'essere un periodo difficile... In tal caso, ho fatto una domanda inopportuna."
Ushiromiya Battler,"""Eheh, che bello, praticamente siamo coetanei! Non farti problemi, chiamami Battler! E io ti chiamerò Kanon!"""
Kanon,"""...Molte grazie. Apprezzo il pensiero... signorino Battler."""
,Jessica per qualche ragione sembrava agitata. Sembrava pensare che la mia opinione su Kanon stesse peggiorando a causa del suo rifiuto.
,"Beh, una ragazza come Jessica non sarebbe riuscita a capire il nervosismo che prova un maschio di quell'età."
,"Anche se avevamo solo due anni di differenza, decisi di essere più comprensivo, essendo il più grande che doveva dare l'esempio al più giovane."
Gohda Toshiro,"""Kanon-san, potresti essere un po' più cordiale? Anche sorridere fa parte dei doveri di un domestico, giusto?"""
Kanon,"""...Sono mortificato... Ci proverò."""
Kumasawa Chiyo,"""Ohohoh... Gouda-san, Kanon-kun sta facendo del suo meglio, no?"""
,Sembrava che venisse spesso ammonito per i suoi modi freddi. E a quanto pareva non aveva fatto alcun progresso.
,"Gouda-san mantenne il suo sorriso professionale, ma si lasciò sfuggire un piccolo sospiro di rassegnazione."
Kanon,"""...Signori, ho ancora dei lavori da svolgere... Se vogliate scusarmi."""
,"Sembrava che anche lo stesso Kanon, viste le circostanze, si sentisse a disagio nel rimanere ulteriormente in silenzio."
,"Dopo aver nuovamente svolto un piccolo inchino, si voltò e riprese a spingere la carriola."
,"E in quel momento, improvvisamente la carriola barcollò e cadde violentemente, spargendo a terra il suo carico."
,"Immagino che l'unica ruota della carriola si fosse scontrata con qualche sassolino, e che avesse perso l'equilibrio."
Gohda Toshiro,"""Cos'hai combinato...? Su, su, rimetti subito tutto a posto...!"""
,"Gouda lo spronò a bassa voce, come a dirgli che per un domestico fosse disdicevole fare una brutta figura di fronte agli ospiti."
,"Kanon-kun, che lo aveva capito anche senza che glielo dicesse, rimise nella carriola il carico caduto senza proferire parola."
,"Sembrava cavarsela con gli oggetti da giardinaggio più leggeri come pale e simili, ma sembrava avere dei problemi a sollevare dei sacchi di fertilizzante dall'aria voluminosa."
Ushiromiya Jessica,"""Va tutto bene? Come sei sbadato. Forza."""
Gohda Toshiro,"""Signorina, così si sporcherà i vestiti. La prego, lasci fare a me."""
,"Con fare signorile, Gouda-san sfilò dalle mani di Jessica la pala che lei aveva raccolto."
,"Dietro di lui vi era Kanon-kun, che continuava ad avere problemi con i sacchi di fertilizzante."
Ushiromiya Maria,"""...Uuh. Ti sporcherai i vestiti?"""
Ushiromiya Battler,"""Non preoccuparti, quelli che indosso io non sono poi così di classe."""
Ushiromiya Battler,"""E poi, io odio quelli che al ristorante fanno raccogliere alla cameriera la forchetta caduta."""
,"Sollevai gli altri sacchi che erano caduti. Certo, non erano leggeri, ma per me era un gioco da ragazzi."
,Kanon-kun si girò sorpreso verso di me. Era lo sguardo di qualcuno che non si aspettava di ricevere aiuto da un ospite.
Kanon,"""...S-Signorino Battler... Sto bene... Mi occuperò io del resto, perciò..."""
Ushiromiya Battler,"""Non farti problemi! Anche se non sembra, sono un tipo tosto! Eheh!"""
,"Dato che Kanon-kun sembrava essere ancora nel periodo dello sviluppo, era di fisico un po' gracile."
,Forse un peso del genere era un po' troppo per lui da sopportare.
Ushiromiya George,"""Certo che è piuttosto pesante. È normale che sia difficile per te. Non preoccuparti, Kanon-kun."""
Ushiromiya Battler,"""E con questa mi sono messo in mostra. Che ne dite di dimenticarci di quello che è successo sul battello?"""
Ushiromiya Jessica,"""Ah! Come se potessi rimediare a quella tua grande scenata con così poco! Ahahahah! Più tardi dirò a Kanon-kun quanto sei stato divertente, Battler!"""
Ushiromiya Maria,"""Cadooo, cadooo!! Uuh, uuh, uuh!!!"""
,"Mentre si comportavano in quel modo, rimisi com'era prima il carico nella carriola."
Kanon,"""...Chiedo perdono per avervi fatto assistere a questa scena incresciosa."""
Gohda Toshiro,"""Molto bene, per ora basta così. Prego, puoi andare."""
,"Lasciare che gli ospiti, che avrebbero dovuto sentirsi i benvenuti, vedessero qualcosa di così riprovevole... per un domestico era una fonte di vergogna."
,"Sollecitato da Gouda ad allontanarsi, Kanon-kun se ne andò."
Ushiromiya Eva,"""Lo maltratti troppo, Gouda-san. Non avresti fatto meglio ad aiutarlo, invece di rimproverarlo con cattiveria?"""
Gohda Toshiro,"""...Ha ragione, non ci avevo pensato. Chiedo umilmente perdono."""
,"Gouda-san porse le sue scuse con savoir-faire, senza alterare il suo sorriso di un millimetro."
Ushiromiya Hideyoshi,"""Kanon-kun è bravo in un sacco di cose. Ma il suo essere giovane gioca spesso a suo svantaggio. Che peccato."""
Ushiromiya Rudolf,"""È un'età difficile. Dagli un po' di tregua. I domestici silenziosi sono quelli migliori. Giusto, Kumasawa-san?"""
Kumasawa Chiyo,"""Ohohohoh, Signor Rudolf, com'è severo!! Dovrebbe saperlo bene, non c'è domestica più silenziosa di me!"""
,"Davanti a quella palese bugia, tutti si fecero sfuggire istintivamente una risata.Nemmeno lei credeva alle sue stesse parole. Lo aveva detto per sdrammatizzare."
,"Eh già, tipico atteggiamento della vecchia Kumasawa."
,"Grazie alla risata fragorosa di Kumasawa-san, l'atmosfera che si era fatta un po' pesante si alleggerì."
Ushiromiya Kyrie,"""Vorrei posare le valigie il prima possibile. Qual'è la disposizone delle stanze, Gouda-san?"""
Gohda Toshiro,"""La disposizione è la stessa dell'anno scorso. Vi guiderò io. Prego, da questa parte."""
,"Fummo condotti verso una dépendance carina ed elegante. Per una notte, questa sarebbe stata la nostra residenza temporanea."
Kanon,"""..."""
,"Mentre entravano in fila dentro la struttura, Kanon li osservò da oltre una siepe."
,"Dopodichè, rivolse il suo sguardo verso i pesanti sacchi di fertilizzante impilati nella carriola."
,"La sua mente rimuginava sull'errore commesso poco prima. Battler, grande e grosso com'era, aveva alzato i sacchi che Kanon non era riuscito a sollevare, come se fossero delle piume."
,"Agli occhi di un osservatore esterno, sarebbe stato difficile capire quale effetto avesse avuto quell'atto di gentilezza su Kanon."
,Ma bastava vederlo allontanarsi a testa china per percepire l'impressione di una profonda riservatezza...
,"Dalle sue labbra sfuggì un flebile soliloquio. Ma i mormorii erano così bassi, che non raggiunsero nemmeno le sue stesse orecchie."
Kanon,"""...Persino io..."""
,"Kanon piegò la testa, e diede un piccolo morso al labbro..."
Ushiromiya Battler,"""Mi ricordavo il roseto, però... non ricordo di questa dépendance. È stata costruita di recente?"""
,"Su quelli che sembravano i lati del cancello vi era scritto ‘Toraian’ ({ruby:Rifugio del Visitatore:{p:0:渡来庵}}), ma visto che tutti la definivano una dépendance, imparai a fare lo stesso."
,"La casa in stile occidentale all'ultimo grido che si affacciava sul roseto possedeva un magnifico design, implementato con gran cura per essere in armonia col giardino."
Ushiromiya George,"""Proprio così! È stata costruita due anni fa. Ci fanno alloggiare qui sin da allora."""
Ushiromiya Jessica,"""Eheh, questo posto ti piacerà di più di quella vecchia villa che conosci bene. Vorrei avere anch'io qui la mia stanza!"""
Ushiromiya Maria,"""Uuh! La vuole anche Maria! La vuoleee!"""
,"...Anche la mia dimora potrebbe essere considerata da ricchi, ma in confronto a quella del ramo principale sembra proprio una casa qualunque."
,"Il loro sfoggio di ricchezze, indicato dall'aver costruito una dépendance così impeccabile per dei visitatori che si sarebbero recati qui poche volte l'anno, mi lasciava sbalordito."
Gohda Toshiro,"""Signora Eva, signor Hideyoshi. Questa è la vostra stanza, accomodatevi pure. Signor Rudolf, Signora Kirie, accomodatevi pure, questa è la vostra stanza."""
Ushiromiya Eva,"""Questo posto è elegante e di classe come sempre. Lo stile occidentale è davvero superbo."""
Ushiromiya Hideyoshi,"""Lo stile occidentale va bene per due o tre giorni, ma per stanziarsi più a lungo serve per forza lo stile nipponico! Un giapponese si rilassa meglio sopra ad un tatami."""
Ushiromiya George,"""...Ahah, stanno litigando sul se rendere la loro nuova casa in stile nipponico o in stile occidentale. Mamma serba ancora rancore verso papà per aver iniziato i lavori in quello nipponico, e bisticciano spesso a riguardo."""
