Speaker,Italian (Majotachi no Sub) (New) (IT)
,Tuttavia... io la conoscevo.{n}Sebbene fosse il nostro primo incontro... a causa del ritratto... io la conoscevo...!
{f:5:Beatrice},"""Genji. Servi a Battler da bere. Quale bevanda alcolica si confarrebbe a quest'uomo...?"""
Ronoue Genji,"""...Lo stesso distillato che il padrone ama sin da quando era giovane."""
{f:5:Beatrice},"""Andrà bene, serviglielo... Che piacere averti qui, Battler Ushiromiya.{n}Prima di tutto, siediti..."""
{f:5:Beatrice},"""Hai invocato varie volte il mio nome, giusto? In segno di rispetto, ti ho concesso di incontrarti con me... E dimmi, cosa mi domanderai? Su cosa inquisirai?"""
{f:5:Beatrice},"""Presto verranno aperte le porte per la Terra Dorata. A breve ci sarà un banchetto per celebrare la mia rinascita, in cui verrò accolta fra le altre streghe... Nel frattempo, risponderò a tutti i quesiti che vorrai."""
Ushiromiya Battler,"""...H-Ho una marea di cose da chiederti!! Cosa è successo a quest'isola?!{n}E perché stanno avvenendo crimini di questo tipo?!"""
Ushiromiya Battler,"""Voglio sapere anche delle camere chiuse!! E la cappella?! E la camera di Jessica?! E la stanza per i domestici?! E la camera di zia Natsuhi?! E il salotto?!"""
Ushiromiya Battler,"""C'è tanto altro che vorrei chiederti!! Come la vera natura della strega!! Sei veramente una strega, Beatrice?!! Quali sono i tuoi scopi, cosa vuoi che noi facciamo, perché mi hai chiamato qui?!! Rispondi a tutto!!!"""
Ushiromiya Kinzo,"""Aaaah, fai silenzio!! Pensi che chiedendo, avrai delle risposte?!?!"""
{f:5:Beatrice},"""Non dire così, Kinzo. A volte anche una flebile e labile ragnatela può proteggere dalla furia di re Erode... Così come in questo mondo non esiste qualcosa di inutile, non esistono neppure domande inutili."""
{f:5:Beatrice},"""Molto bene, risponderò ad ogni domanda... Ma ad una condizione."""
Ushiromiya Battler,"""Sarebbe?"""
{f:5:Beatrice},"""Se una volta che avrai ascoltato tutto, sarai convinto della mia esistenza...{n}ti inginocchierai, e mi bacerai le scarpe. Ti ho chiamato qui affinché tu ti sottometta a me..."""
{f:5:Beatrice},"""Io e Kinzo abbiamo fatto una scommessa. Cosa accadrà prima: Kinzo che si farà venire in mente una nuova mossa, o io che ti farò soggiogare dinanzi a me?{n}Non ho alcuna intenzione di perdere. Mhmhmhmhmhmhmh...!"""
Ushiromiya Battler,"""...P-Parli troppo con quella tua cazzo di bocca!! Va bene, d'accordo. Prova pure a convincermi... Prova a convincermi che tu sei senza ombra di dubbio una potente strega, capace di usare delle misteriose e stupefacenti grandi magie!!"""
Ushiromiya Battler,"""Se mi sottometterò, ti bacerò e farò tutto quello che ti pare!!!"""
,"La strega ridacchiò, sogghignando con fare compiaciuto.{n}Dopodiché, lo scrutò con uno sguardo malevolo, che lo intimava a non rimangiarsi la parola data..."
{f:5:Beatrice},"""Ben detto!! Ordunque, da quale quesito dovrei cominciare?! Risponderò a tutto!! Avanti, quale sarà la prima domanda?!?!"""
