Speaker,Italian (Majotachi no Sub) (New) (IT)
Ushiromiya Maria,"""Uuh! Maria ha detto che era stata {f:5:Beatrice} fin dall'inizio, lo ha sempre detto! Uuh!"""
Ushiromiya Jessica,"""...Stento a crederci, ma questo prova che il colpevole era la strega che si fa chiamare {f:5:Beatrice}."""
Shannon,"""Ha ragione... Sono successe parecchie cose strane, che un umano non avrebbe mai potuto compiere..."""
Ushiromiya Maria,"""Uuh. Solo una strega poteva uccidere zia Eva in quella camera chiusa, ad esempio. Non avrebbe potuto farlo un umano! Uuh!"""
Kanon,"""...Non solo è stata chiarita l'esistenza di una 19ª persona, ma è anche ovvio che questo individuo possegga poteri che gli umani non possono neanche concepire."""
Ushiromiya Jessica,"""In tal caso, penso non ci siano problemi se chiamiamo questo individuo col nome di ‘{f:5:Beatrice}’."""
Ushiromiya George,"""...Forse, la Strega Dorata... l'abbiamo incontrata verso la fine."""
Ushiromiya Maria,"""Ecco perché Maria continuava a dire che {f:5:Beatrice} esiste! È andato tutto storto perché nessuno ci ha creduto. Uuh! Se non si crede ai miracoli, essi non avvengono, lo ha anche detto una sua amica strega! Uuh!"""
Shannon,"""Esatto. {f:5:Beatrice}-sama è magnanima nei confronti di chi la rispetta."""
Kanon,"""...Sembra che la signorina Maria sia sempre stata risparmiata dalle minacce di {f:5:Beatrice}-sama, nonostante gli orribili crimini verificatisi uno dopo l'altro."""
Ushiromiya Jessica,"""Beh, Maria ha creduto in {f:5:Beatrice} fin dal principio... Ma allora, come spiegate gli omicidi di Kanon-kun e degli altri, che credevano in lei nella stessa maniera?"""
Kanon,"""...Probabilmente {f:5:Beatrice}-sama aveva le proprie ragioni."""
Shannon,"""Se la poesia dell'epigrafe rappresentava la cerimonia di resurrezione di {f:5:Beatrice}-sama, occorrevano molti sacrifici... Può darsi che sia stato scelto come uno di essi."""
Ushiromiya George,"""...Shannon-chan, hai incontrato una fine orribile... Speravo almeno che la tua morte potesse essere un po' più serena."""
Shannon,"""...Beh, ecco... non è stata dolorosa... Comunque sia... ora sto benissimo, quindi non si preoccupi."""
,"Dopo aver visto George accarezzare la guancia di Shannon, che era stata distrutta durante lo svolgimento della storia, tutti quanti scoppiarono in una grossa risata allegra."
Ushiromiya George,"""Comunque, come posso dirlo... ero convinto che fossimo in un tipico giallo. Sono rimasto un po' sorpreso dallo scoprire che quella era una storia di fantasia. Dopotutto, credevo che fossimo in un vero e proprio racconto giallo, dato che c'erano dei problemi che coinvolgevano un'eredità all'interno di una villa in stile occidentale, posta in un'isola sperduta segregata dal mondo esterno."""
Ushiromiya Maria,"""...Uuh. Non è una storia di fantasia! {f:5:Beatrice} {i:esiste}! Uuh."""
Kanon,"""...Sì, lo sappiamo. {f:5:Beatrice}-sama {i:esiste}."""
Shannon,"""Sì, è vero... {f:5:Beatrice}-sama {i:esiste}."""
Ushiromiya Jessica,"""...Detesto ammetterlo, ma non ho altra scelta. È chiaro che fosse coinvolta una strega, ossia la 19ª persona...!"""
Ushiromiya George,"""Sono successi diversi eventi impossibili per un essere umano. Nel corso della storia, volevamo negarlo e pensavamo a diverse alternative..."""
Ushiromiya George,"""Ma ora posso dirlo con certezza. Ogni singolo crimine avvenuto era impossibile per un essere umano... Solo la strega {f:5:Beatrice} poteva riuscirci, usando i suoi poteri magici."""
Ushiromiya Jessica,"""Il colpevole era una strega. Questo è chiaro come il sole. Lunga vita a {f:5:Beatrice}-sama. Ahahahahahah."""
Ushiromiya Maria,"""Uuh. Tutti ci credono. Maria è felice. Uuh!"""
Shannon,"""...Le divinità e le streghe possono sembrare terrificanti agli occhi di chi le teme, ma sono sicura che siano calorose con chi crede in loro e le rispetta."""
Kanon,"""...Penso che tu abbia ragione, sorella."""
Ushiromiya Jessica,"""Bene, dopo tante fatiche, questi casi immaginari di omicidi sono finiti. Che ne dite di rimboccarci le maniche e di provare a risolvere l'enigma dell'epigrafe, proprio come ci aveva detto di fare {f:5:Beatrice}?"""
Ushiromiya Maria,"""Uuh! Ci sto! {f:5:Beatrice} sicuramente ne sarà felice."""
Ushiromiya George,"""Ahahahahah... Nel corso della storia, abbiamo tutti ignorato quella lettera."""
Shannon,"""...Tutto quell'impegno nell'impostare l'enigma, ed è stato quasi completamente trascurato. Un po' mi dispiace per {f:5:Beatrice}-sama."""
Ushiromiya Maria,"""Ho appuntato l'epigrafe! Risolviamola insieme, risolviamola insieme...!"""
Ushiromiya George,"""Probabilmente abbiamo sbagliato a partire da quel punto del racconto."""
Shannon,"""...Può darsi. Forse avremmo dovuto cercare di risolvere l'enigma dell'epigrafe, come ci aveva consigliato {f:5:Beatrice}-sama."""
Ushiromiya Jessica,"""Beh, ora è un po' tardi. Io direi di riprovarci adesso, e la strega ci perdonerà. Forza, forza, proviamo a risolvere l'enigma dell'epigrafe... Iniziava con un: ‘Il fiume degli ayu, che attraversa la mia cara terra natia’..."""
,"Maria mise il suo quaderno sul tavolo, aprendolo alla pagina in cui aveva trascritto l'epigrafe, e mentre tutti la studiavano, ipotizzavano animatamente diverse congetture su quell'enigma."
,"Passarono il tempo all'insegna del divertimento e del relax, circondati dall'aroma del tè nero e dei biscotti alla vaniglia appena sfornati..."
Ushiromiya Battler,"""...Aspettate un secondo."""
,"Tuttavia, Battler parlò, spegnendo così l'atmosfera che si era creata."
,"A guardarlo, sembrava leggermente insoddisfatto. Che cosa non poteva piacergli di tutto quello spasso?"
Ushiromiya Battler,"""...Sono stato ad ascoltarvi per un po', ma perché avete smesso di ragionare? Perché siete così sicuri che sia stata opera di una strega...? Come diamine può essere possibile?"""
,Usando quelle semplici parole... l'atmosfera allegra del tea party evaporò in un istante.
,"George, Jessica. Shannon, Kanon. E infine Maria..."
,"Erano confusi, chiedendosi che cosa stesse dicendo Battler."
,"Anche Battler, nella sua stupidità e nella sua ignoranza, capì di essersi espresso male."
Ushiromiya George,"""...P-Perché? Non sono dei casi chiaramente impossibili per un essere umano?"""
Ushiromiya Jessica,"""G-Giusto, giusto... Tutti i delitti erano impossibili per un umano."""
Shannon,"""È vero... Dopotutto, non erano pieni di elementi che un essere umano non potrebbe spiegare...?"""
Kanon,"""...Signorino Battler, non capisco cosa lei stia dicendo."""
Ushiromiya Battler,"""S-Sono io quello che non ha la minima idea di cosa stiate dicendo! Non è ovvio che questi casi erano stati compiuti da un essere umano? Non può essere che esistano le streghe, no...?"""
Shannon,"""A-Allora... Quando sono stata uccisa nel magazzino, e metà della mia faccia è stata orribilmente distrutta... come poteva il colpevole fare una cosa del genere, se era un essere umano...?"""
Ushiromiya Battler,"""...Quello... beh, mi viene un po' difficile pensare a come abbia potuto compiere un atto così crudele."""
Ushiromiya Battler,"""Ma lì era il magazzino del roseto, vero? Sono sicuro che là dentro ci fossero un mucchio di aggeggi strani. Che ne so, magari può aver usato qualche attrezzo elettrico, tipo un trituratore o una sega elettrica."""
Shannon,"""...Q-Questo è... ecco..."""
Ushiromiya Jessica,"""Allora, Battler... Come spiegheresti la sparizione di nostro nonno dalla camera chiusa del suo studio...? Anche se la porta era sigillata, il nonno era sparito all'improvviso, giusto...?"""
Ushiromiya Battler,"""Ne abbiamo parlato anche nel corso della storia. Non si può escludere che il nonno abbia adoperato qualche metodo per aggirare lo scontrino. È anche possibile che se ne sia andato dalla finestra, o che sia caduto da lì, e che zia Natsuhi abbia chiuso le finestre dall'interno. Posso farmi venire in mente diversi mezzi che si potrebbero usare senza fare ricorso alla magia, visto?"""
Ushiromiya Jessica,"""...H-Ha senso, ma..."""
Ushiromiya George,"""In tal caso, Battler-kun, come spieghi il modo in cui i miei genitori sono stati uccisi nella camera per gli ospiti? La porta era chiusa dalla serratura e dalla catenella. Naturalmente, anche le finestre erano chiuse. In che modo pensi che un umano avrebbe potuto uccidere i miei genitori?"""
Ushiromiya Battler,"""...Beh... in effetti durante la storia abbiamo messo quel trucco da parte. Ad ogni modo, è molto probabile che il colpevole avesse la chiave. E questo garantiva uno spiraglio della porta, nella misura consentita dalla catenella..."""
Ushiromiya Battler,"""Dirlo mi addolora, ma è possibile che, attraverso quello spiraglio, sia stato adoperato uno strumento... Anzi, forse vi hanno infilato qualcosa...?"""
Ushiromiya Battler,"""Nnngh, la catenella è un oggetto molto basilare, ma è una componente importante nella creazione di una camera chiusa... Tuttavia, sono stati usati numerosissimi trucchi che involvono camere chiuse. Comprate in un negozio di libri qualche storia gialla con delle camere chiuse, e troverete un metodo che combacerà alla perfezione..."""
Ushiromiya Battler,"""Comunque sia, non mi viene in mente niente, ma posso assicurarvi che in un modo o nell'altro, non c'è nulla che un umano non possa fare."""
Ushiromiya George,"""Non è un modo di ragionare tremendamente irrazionale...? È insensato affermare che un umano possa fare qualcosa, nonostante non si riesca a spiegare come..."""
Ushiromiya Battler,"""...Perché è insensato? Perché tu e gli altri avete smesso di ragionare? Anche se qualcosa a prima vista sembra impossibile, in un modo o nell'altro si può riuscire a farlo. Non è sempre così nei racconti?"""
Ushiromiya Jessica,"""Battler, sei tu quello che dice cose insensate... Se dici che un umano può farlo, prova a spiegare come. Non ci riesci, vero?"""
Ushiromiya Battler,"""Quando non riuscite a spiegare qualcosa, vi sentite più sereni a concludere subito che il colpevole è una strega. Con questa logica, tutti i casi irrisolti nel mondo si potrebbero risolvere dicendo che è stata colpa di una strega!"""
Ushiromiya Maria,"""...Battler, stai cambiando discorso, e non stai spiegando niente... Noi stiamo dicendo questo: ‘Un essere umano non può riuscirci. Ergo, il colpevole è un'entità che non è umana. Una strega.’ Nonostante ciò, Battler continua a decidere arbitrariamente che è impossibile che sia stata una strega, pur non sapendo spiegarne il motivo..."""
Ushiromiya Maria,"""Kihihihihihihihihihihihih, è esattamente come quando l'umanità era nei secoli bui. Come quegli sciocchi che, anche se non sapevano spiegare come mai la Terra non potesse girare attorno all'universo, insistevano che fosse quest'ultimo a girare intorno alla Terra."""
Ushiromiya Battler,"""...Q-Questa logica non mi piace affatto. In pratica stai cercando di dirmi questo... Che se non posso spiegare come un umano possa farlo, allora devo accettare che il colpevole sia {f:5:Beatrice}."""
Kanon,"""...Non è che la stiamo obbligando. Ci stiamo solo chiedendo su quali basi lei afferma tutte queste cose senza senso, signorino Battler."""
Ushiromiya Battler,"""S-Senza senso...? E-Ehi, sto dicendo cose così strane?!"""
Ushiromiya Battler,"""Sarei io quello strambo?! Mi state facendo paura!"""
Kanon,"""...Signorino Battler. Quando sono morto nella sala caldaie, sono stato ucciso da una 19ª persona che non sarebbe dovuta esistere..."""
Kanon,"""Mi può spiegare come potrebbe essere stata opera di un umano? In quel momento, la posizione di tutti noi diciotto era ben nota. Eppure, io sono stato ucciso."""
Ushiromiya Battler,"""Abbiamo parlato anche di questo nel corso della storia, ricordi...?! La vecchia Kumasawa, per esempio. Lei ha detto che ti aveva raggiunto nella sala caldaie poco dopo, ma non possiamo sapere per certo se stesse mentendo."""
Ushiromiya Battler,"""Non sappiamo se sia entrata nella sala caldaie insieme a te e ti abbia colto di sorpresa infilzandoti! Oppure, quando hai messo piede nella sala caldaie hai attivato una trappola, che era stata piazzata in modo da piantare uno di quei punteruoli."""
Ushiromiya Battler,"""Ad ogni modo, la puzza del cadavere del nonno proveniva dall'inceneritore. Qualcuno dev'essere per forza andato lì, quindi se è stata posizionata una trappola, il colpevole poteva tranquillamente essere lontano da lì, e crearsi così un alibi all'ora del tuo decesso...!"""
Shannon,"""...Che genere di trappola poteva esserci nella sala caldaie...?"""
Ushiromiya George,"""Giusto. Subito dopo, ci eravamo tutti precipitati nella sala caldaie. Ma non abbiamo trovato nessun meccanismo strano!"""
Kanon,"""...Esatto. Signorino Battler, con che tipo di marchingegno potrei essere stato ucciso...?"""
Ushiromiya Battler,"""Beh... Non lo so... Ma ad ogni modo, doveva sapersi destreggiare con qualche macchinario, o forse qualcuno stava mentendo... Che ne dite di questo?!"""
Ushiromiya Battler,"""Kanon-kun, e se fosse stata tutta una tua farsa?! E-Esatto, stavi recitando!! Anche zia Eva e zio Hideyoshi stavano facendo una parte. Hanno creato loro stessi una camera chiusa, e si sono finti morti!"""
Ushiromiya Jessica,"""...Battler... Per caso... hai... battuto la testa?"""
Shannon,"""...Ehm... devo portarle qualche bevanda fresca...?"""
Ushiromiya Battler,"""N-Non sto dicendo nulla di così strano, da meritarmi queste occhiate compassionevoli... Sto solo dicendo che è possibile alla fine ricavarne un trucco, ok?"""
Ushiromiya Battler,"""E poi pensateci, non è forse una convenzione delle storie gialle che in realtà le vittime non sono morte!?"""
Ushiromiya George,"""Una convenzione...?"""
Ushiromiya Battler,"""I-In altre parole, quando Kanon-kun è stato ucciso, era chiaro dove tutti noi ci trovassimo. E diamo per valido che la vecchia Kumasawa non abbia mentito."""
Ushiromiya Battler,"""Ma questo valeva solo per i sopravvissuti... Se il colpevole avesse finto di essere morto, si fosse mischiato con le vittime per far perdere le proprie tracce, e poi avesse agito lontano dal resto del gruppo, si spiegherebbe tutto!"""
Ushiromiya Jessica,"""...Ah... Quindi stai cercando di dire che zia Eva o uno degli altri sia il colpevole...? Ma le loro morti non erano state confermate dal dottor Nanjo con le sue conoscenze mediche?"""
Kanon,"""...Giusto. Il dottor Nanjo ha verificato tutte le vittime... Signorino Battler, secondo la sua teoria, allora il dottor Nanjo sarebbe uno dei colpevoli?"""
Ushiromiya Battler,"""G-Già, esatto!! Cambierebbe tutto se pensiamo che il dottor Nanjo possa essere uno dei colpevoli, e che possa aver mentito sulle dichiarazioni di morte...!{n}Visto? Anche questa è una convenzione delle storie gialle!!"""
Ushiromiya Maria,"""...Ma anche il dottor Nanjo è stato ucciso, no...?"""
Ushiromiya Battler,"""Uhm... riguardo a quello... Ma certo, il dottor Nanjo ha inscenato la propria morte!"""
Ushiromiya Battler,"""Dopotutto, a parte il dottor Nanjo, non c'era nessun altro che potesse esaminare i cadaveri, ed eravamo già agitati di nostro. Non abbiamo avuto neanche un attimo di tempo per controllare con calma se il loro cuore avesse smesso di battere! Con questo ragionamento, qualsiasi vittima avrebbe potuto vagare in giro!"""
Shannon,"""...Credo che per noi sei morti all'inizio, sarebbe stato difficile... Dopotutto, la saracinesca era chiusa... e c'era un lucchetto che non poteva essere aperto dall'interno..."""
Ushiromiya Jessica,"""Esatto. La chiave era custodita da mia mamma. Allora anche mamma sarebbe una dei colpevoli?"""
Ushiromiya Battler,"""...Aaaaaaah, un attimo, un attimo... Forse era impossibile per i primi sei, ma per zia Eva e zio Hideyoshi la porta era chiusa solamente dall'esterno. Per cui, possono averla aperta dall'interno, e... Giusto, dopo che abbiamo lasciato la stanza, saranno saltati giù dalla finestra e sono andati per primi nella sala caldaie...!"""
Ushiromiya Battler,"""V-Vi sembra forzato...?! Forse il dottor Nanjo avrà fatto un errore nell'esaminare i cadaveri?!"""
Ushiromiya Battler,"""Ecco, l'ha detto lui stesso, no? Ha detto che nelle autopsie c'è un alto tasso di diagnosi errate! Ci si può fingere morti se si dissimula per bene, o se si prepara un cadavere con cui sostituirsi!! Possiamo pensarci dopo al metodo o al trucco usato, ma in ogni caso, non è complicato negare che vi sia una 19ª persona!"""
Ushiromiya Battler,"""Tantomeno che vi sia una {i:strega}, giusto? Sicuramente non può essere quello!!"""
Ushiromiya Maria,"""...Non capisco perché Battler si stia incaponendo a provare che il colpevole fosse uno di noi. Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihi, Battler vuole sospettare di uno dei suoi parenti...?"""
Ushiromiya Battler,"""Non è così... Voglio solo dire che non posso accettare così facilmente che esista una 19ª persona, e anche se ve ne fosse una, dovremmo basare i nostri discorsi sulla base che essa sia un essere umano, e che le streghe sono elementi che saltano fuori alla fine, quando si è in preda alla disperazione e ogni cosa è stata smentita."""
Ushiromiya Battler,"""Le streghe non possono esistere, giusto?! Perché state tutti accettando con superficialità che il colpevole sia una strega?"""
Ushiromiya Battler,"""È ammirevole come il vostro amore per la famiglia non voglia farvi pensare che uno dei nostri parenti sia il colpevole. Ma è giusto che questo vi faccia sviare?! Non volete trovare lo spregevole assassino di così tante persone?!"""
Ushiromiya Battler,"""Fratellone, non vuoi vendicare i tuoi genitori?! Jessica, non vuoi vendicare Kanon-kun, e tu, Kanon-kun, non vuoi vendicare Shannon-chan?! Shannon-chan, tu dovresti desiderare di conoscere chi ti abbia ucciso."""
Ushiromiya Battler,"""Perché vi siete arresi su tutti i fronti e avete deciso che il colpevole è la strega?!Che cosa vi prende?!"""
,"Lo sciocco e irascibile Battler inveii contrò di loro, cercando di forzare la sua ignoranza sugli altri..."
,"Tuttavia, si limitarono ad osservarlo in silenzio, rivolgendogli occhiate compassionevoli."
,"Al che la saggia Maria rise, facendo notare a Battler il suo errore."
Ushiromiya Maria,"""...Kihihihihihihihihih... Sono esterrefatta... Tutto ciò che vedo è Battler che ripete cose senza senso, convinto di aver capito qualcosa..."""
Ushiromiya Maria,"""E quindi? Cosa verrà dopo? Come ci sarebbe riuscito un umano? In termini concreti, come avrebbe fatto? Se chiedessi questo, Battler sicuramente eluderebbe il discorso con frasi vaghe come: ‘Ora non mi viene in mente niente’, oppure: ‘Con qualche meccanismo’..."""
Ushiromiya Maria,"""Ad ogni modo, Battler, da te voglio sapere {i:questo}. Perché {i:non credi} in {f:5:Beatrice}? Perché, nonostante lei {i:esista}?"""
Ushiromiya Battler,"""Perché {i:non esiste}! Le streghe {i:non esistono}!! È impossibile!!"""
,...Era come un bambino cocciuto che non voleva accettare qualcosa.
,"Battler venne accerchiato da sguardi ricolmi di pietà, ma essi non raggiunsero il suo cuore ostinato."
Ushiromiya Jessica,"""...Non vedi che ti stai comportando proprio come un bambino viziato e testardo?"""
Shannon,"""...Signorino Battler, capisco quello che prova, ma..."""
Kanon,"""...{f:5:Beatrice} {i:esiste}."""
Ushiromiya George,"""Battler-kun... perché non ci credi? Nonostante vi siano così tante prove circostanziali."""
Ushiromiya Battler,"""Non accetto il ragionamento per cui se non si può spiegarlo, allora è tutta colpa della strega. Significa che se non so il metodo con cui una lampadina riesce ad illuminarsi, allora è la magia a farlo?"""
Ushiromiya Battler,"""Non funziona così, no?! Non c'è nulla che non possa essere spiegato senza ricorrere alla magia!! Parlare di streghe e magia è una rinuncia ad usare la testa!Voi e il fratellone vi siete arresi perché non capite cosa sia accaduto! Non è così?!"""
Ushiromiya Maria,"""...Kihihihihihihihihihihihihih... Alla fine... sembra che Battler sarà l'unico che non ci crederà mai..."""
Ushiromiya Maria,"""Se anche una sola persona non ci crede, {i:il miracolo} non avverrà mai... Quindi, se Battler non riconsidererà i suoi pregiudizi ignoranti, il miracolo... no, la magia, non sarà mai completata."""
Ushiromiya Battler,"""Eheh... Ora capisco... Finalmente ci sono arrivato. In altre parole, volete costringermi a dire che esiste quest'eccelsa strega, giusto? Una bugia accettata da tutti diventa {i:la verità}... È così che stanno le cose...?!"""
Ushiromiya Battler,"""Mi dispiace. Mi dispiace, ma è tutto inutile, mi rifiuto. {i:Mi state mettendo sotto pressione, ecco perché è tutto inutile.}"""
Ushiromiya Maria,"""...Perché?"""
Ushiromiya Battler,"""Scusatemi, ma mi lascereste rigirare la scacchiera per l'ultima volta...? C'è un modo molto semplice per farmi accettare l'esistenza di una strega..."""
Ushiromiya Battler,"""E non è il metodo contorto del dire: ‘Non può averlo fatto un umano, quindi è stata una strega’! Basta mostrarmi una strega che mi faccia vedere come abbia usato la magia."""
Ushiromiya Battler,"""Inoltre, ciò che Maria ha detto prima è stato l'elemento che le ha irrimediabilmente scavato la fossa... Ossia, che se anche una sola persona non ci crede, {i:il miracolo} non avverrà mai..."""
Ushiromiya Battler,"""Ma i veri miracoli accadono lo stesso, a prescindere che la gente ci creda o meno! Anche se io sia l'unico a non crederci!! Perciò, qualunque miracolo, magia o strega che richiede il mio crederci, non è altro che una bugia bella e buona!!"""
Ushiromiya Maria,"""..."""
,L'atmosfera inquieta che seguì la tirata ignorante di Battler... venne spazzata via dal suono di una risatina noncurante.
,Di chi era quella risata...? Battler era sorpreso da quella voce che non aveva mai sentito prima d'ora.
,"Vedendo George, Jessica, Shannon, Kanon e Maria, si accorse che si erano improvvisamente ammutoliti con riverenza."
Ushiromiya Maria,"""...{f:5:Beatrice}."""
{f:5:Beatrice},"""...Bene... È da diverso tempo che non incontro un umano così interessante."""
Ushiromiya Battler,"""...C-Chi... sei tu...?"""
{f:5:Beatrice},"""...Non conosci nemmeno chi ha allestito il tea party a cui sei stato invitato...? Magnifico. Mhmhmhmhmh...!"""
Kanon,"""...Costei è {f:5:Beatrice}-sama, la Strega Dorata che ha vissuto per mille anni."""
Shannon,"""Sono molto lieta di incontrarla, {f:5:Beatrice}-sama..."""
Ushiromiya George,"""...La prego, perdoni gli improperi di Battler-kun."""
Ushiromiya Jessica,"""Q-Questo ragazzo è soltanto duro a capire, ecco, ancora non comprende la situazione in cui si trova...!"""
{f:5:Beatrice},"""Mhmhmhmhmhmh... Magnifico... Dopo aver vissuto per mille anni, la maggior parte delle streghe si stanca di vivere. Che piacere conoscere anche uomini in possesso di una spina dorsale come te."""
Ushiromiya Maria,"""...È un grande onore essere al cospetto di {f:5:Beatrice} in persona, Battler."""
Ushiromiya Battler,"""...Eh... Eheheheheh...!! Davvero... Sono senza parole... Vi siete spinti fino a tanto... per convincermi che il colpevole sia una 19ª persona...?"""
Ushiromiya Battler,"""La cosa si fa interessante...! Ve l'ho detto che è tutto inutile...!! Tu devi essere l'illusione della strega {f:5:Beatrice}, come affermano Maria e gli altri..."""
Ushiromiya Battler,"""E se tutti credono che qualcosa del genere esista, ti sarà finalmente concesso di esistere... Sei un'entità reale e al tempo stesso irreale, vero? È per questo che vuoi far credere anche me. {i:Visto che sono l'unico a non crederci, tu non esisti}... Non è forse così?!"""
{f:5:Beatrice},"""...Niente male come capacità di comprensione, per un semplice plebeo che non sa nulla di spiriti... Capisco, sembra che in qualche modo tu sia nato con una forte resistenza alla magia..."""
{f:5:Beatrice},"""Sei il nemico naturale di noi streghe... Non importa quanto capovolgiamo il vostro mondo, {i:non crederete mai in noi}. {i:Pertanto, la magia non farà effetto}...{n}Una spiegazione accettabile per il tuo atteggiamento. Mhmhmhmh...!"""
Ushiromiya Battler,"""Non ho idea di cosa tu stia dicendo, ihihih! Molto carino da parte tua scomodarti per mostrarti a noi, ma non credo minimamente alla tua esistenza."""
Ushiromiya Battler,"""È vero che in questi due giorni sono accadute molte cose strane. Come ha detto prima Maria, io penso che tutti i trucchi possano essere spiegati, ma ancora non riesco a esporre i dettagli pratici di ciascuno di essi. Ciononostante, io non cederò."""
Ushiromiya Battler,"""Sono diverso da loro, capisci? Non accetterò mai la logica per cui è stata opera di una strega solo perché non so spiegarlo."""
{f:5:Beatrice},"""...Mi piaci sempre di più. Farti sottomettere a me ne varrà la pena..."""
{f:5:Beatrice},"""Sei proprio il tipo d'uomo a cui vorrei far lodare il mio nome... Sono proprio gli uomini come te quelli a cui vorrei far baciare la punta delle mie scarpe... Mhmhmhmhmhmh!"""
Ushiromiya Battler,"""Se vuoi sparare cavolate, parla pure quanto vuoi...! Io negherò la tua esistenza. Tutti gli avvenimenti possono essere spiegati con {i:dei trucchi umani}...!!{n}Non ci sarà modo di infilarci neanche un pizzico di magia o di streghe!!"""
{f:5:Beatrice},"""Bene..! Così la mia noia millenaria sarà alleviata."""
{f:5:Beatrice},"""Allora sentiamo. Poco fa hai detto che per uccidere Eva e Hideyoshi sarebbe stato sufficiente utilizzare lo spiraglio della porta, vero...? Spiegami come avrebbero potuto essere uccisi con qualche trucco umano."""
Ushiromiya Battler,"""...Eh. Sei subito saltata alla parte più difficile... Significa che è il trucco di cui vai più fiera? {i:Miss Vero Colpevole}?"""
,"{f:5:Beatrice} agitò la sua pipa dorata, dalla cui estremità fuoriuscì un fumo tenue dai colori dell'arcobaleno..."
,I vapori avvolsero in un battibaleno l'ambiente circostante... e all'improvviso si ritrovarono nel corridoio della villa.
,"La porta di fronte a loro, leggermente socchiusa e bloccata dalla catenella, era..."
,"Esatto, era la porta d'ingresso della camera dove erano stati uccisi Eva e Hideyoshi."
Ushiromiya Battler,"""...C-Comodo..."""
{f:5:Beatrice},"""Dunque. Mostrami come si potrebbe fare da questo piccolo spiraglio, Battler, o qualunque sia il tuo nome."""
Ushiromiya Battler,"""Ugh... P-Probabilmente, con qualche arma a munizioni che può lanciare quei {i:punteruoli}. Se ne avesse usato uno..."""
{f:5:Beatrice},"""Come avrebbe potuto mirare ad Eva sul letto, quando lei non è visibile da quella fessura...? E come avrebbe potuto mirare ad Hideyoshi, che si era chiuso nel bagno...?"""
Ushiromiya Battler,"""...Merda... C'è uno spiraglio... Un modo dovrebbe pur esserci..."""
{f:5:Beatrice},"""Mhmhmhmh. Se non riesce a venirtene uno in mente, permettimi di mostrartelo."""
Ushiromiya Battler,"""...Oh? La somma strega mi farà vedere come... Mostrami cosa sai fare..."""
Ushiromiya Maria,"""...Battler, non è così che ci si rivolge a {f:5:Beatrice}..."""
{f:5:Beatrice},"""Magnifico. Che uomo interessante... Tutto ciò mi fa venire ancora più voglia di sottometterti."""
Ushiromiya Battler,"""...Eh! Vuoi davvero farmi baciare le tue scarpe così tanto...?! Solo se mi arrendo! Ma sta' a vedere, svelerò sicuramente questo trucco, e sarai tu quella che mi bacierà, ma sul culo!"""
