Speaker,Italian (Majotachi no Sub) (New) (IT)
{f:5:Lambdadelta},"""Certo, in bocca al lupo, Lady {f:5:Beatrice}! Quella lì mi ha fatto soffrire come una dannata. La mia ira non si placherà finché non subirà da noi due una sconfitta schiacciante, per poi venire ripagata con il doppio della sua medicina!!"""
{f:5:Bernkastel},"""...In bocca al lupo, Lambda. E quanto a te, Beato... A prescindere dall'esito, la nostra sarà una battaglia molto significativa."""
{f:5:Lambdadelta},"""Esatto. Naturalmente, non ho intenzione di perdere, ma per noi ci sono cose più importanti della vittoria o della sconfitta."""
{f:5:Beatrice},"""In fondo, ciò che noi disprezziamo è la noia."""
,"Le tre streghe si misero a ridere: una sogghignava, l'altra sghignazzava, e l'altra ancora si stava sbellicando."
{f:5:Bernkastel},"""...Ben detto. Ti ringrazio, Beato. Pare che finalmente io possa scongiurare la noia. Fai del tuo meglio per intrattenermi. Insieme alla tua alleanza con {f:5:Lambdadelta}."""
{f:5:Beatrice},"""Lascia fare a me. Mhmhmhmhmh...!!"""
{f:5:Lambdadelta},"""Se questo è tutto, Beato, allora iniziamo subito una riunione strategica! Conosco tutti i punti deboli di quella mocciosa, te li spiegherò uno per uno!"""
{f:5:Beatrice},"""Eppure, lei ha avuto la meglio su di te, Lady {f:5:Lambdadelta}, kuahahahah...!"""
{f:5:Lambdadelta},"""Uffaaaaaa, non te li dico più, non te li dico più! Sgrunt!"""
{f:5:Beatrice},"""Kuahahahahahahahahahahahah...! Non mi stancherò mai della personalità di Lady {f:5:Lambdadelta}."""
{f:5:Bernkastel},"""...Vero? Prenditi cura di lei. Si sente sola facilmente, anche se può non sembrarlo."""
{f:5:Beatrice},"""Capisco. È una di ‘quelle tipe’ che sono tanto popolari oggigiorno, dunque. Mhmhmh, tipico di Lady {f:5:Lambdadelta}. È sempre avanti con i tempi. Mhmhmhmhmhmhmh."""
{f:5:Bernkastel},"""Sbrigati ad andare. Quella ragazzina sta aspettando che tu la segua."""
{f:5:Beatrice},"""...Allora tolgo il disturbo."""
{f:5:Beatrice},"""Ci vediamo alla prossima partita. Kuahahahahahahahahahah!"""
{f:5:Bernkastel},"...Mi dispiace. È arrivata una seccatura, ma non stare a preoccuparti."
{f:5:Bernkastel},Piuttosto... Hai passato dei brutti momenti.
{f:5:Bernkastel},Credevo di aver sperimentato una fine alquanto tragica nella mia partita con Lambda... ma questa... è stata particolarmente cruenta...
{f:5:Bernkastel},Posso capire cosa ti spinge a raggomitolarti e a serrare il tuo cuore.
{f:5:Bernkastel},"Se trapasserai per più volte in un modo simile, il tuo spirito perirà senza dover aspettare cent'anni..."
{f:5:Bernkastel},"Beato ha letto le mie intenzioni, perciò ti confesserò questo."
{f:5:Bernkastel},"In questo momento, tu sei esattamente come ero un tempo, quando ero imprigionata nel mondo di Lambda."
{f:5:Bernkastel},"Rinchiusi all'interno di un labirinto tessuto da un fato crudele, e tormentati a seconda dei capricci di una strega..."
{f:5:Bernkastel},Fu ciò a far nascere la strega che sono...
{f:5:Bernkastel},"Pertanto, si potrebbe dire che io sia per te come una sorella maggiore.{n} È per questo che decisi di concederti il mio potere."
{f:5:Bernkastel},Tuttavia... anche volendolo paragonare al mio fato... il tuo è... decisamente orrendo.
{f:5:Bernkastel},"Non solo empatizzo con il tuo tragico destino, ma mi stanno quasi venendo le lacrime agli occhi."
{f:5:Bernkastel},"Ma ti prego, non scoraggiarti.{n}Non piegarti mai e poi mai di fronte a Beato."
{f:5:Bernkastel},"Bisogna ammettere che, nelle partite di quella ragazza, si gioca in maniera molto sleale."
{f:5:Bernkastel},"Ho potuto dare solo una lieve occhiata alla scacchiera, ma i suoi metodi sono così infidi e subdoli, e i suoi trucchi di scena sono di un tale cattivo gusto, che probabilmente superano di gran lunga quelli sulla scacchiera di {f:5:Lambdadelta}."
{f:5:Bernkastel},"E la cosa ancor più terrificante di quella ragazza è che, quando lei muove una pedina, non è detto che effettui necessariamente la mossa migliore."
{f:5:Bernkastel},"In questo aspetto diverge molto da Lambda.{n}Per poter vincere, Lambda muove sempre un'incommensurabile quantità di pedine nel migliore dei modi possibili."
{f:5:Bernkastel},Ma ci sono delle volte in cui Beato muove intenzionalmente i suoi pezzi in maniera poco ottimale.
{f:5:Bernkastel},"È un problema per quelli come noi, che tentano di scoprire la strategia dell'avversario mediante le loro mosse, e ciò crea una notevole e ostica quantità di rumore informativo."
{f:5:Bernkastel},Quest'interferenza potrebbe rilevarsi problematica...
{f:5:Bernkastel},"Tuttavia, se prendiamo ad esempio gli scacchi, un giocatore potrebbe effettuare una mossa infruttuosa per inviare del rumore informativo all'avversario, ma ciò non toglie che ha rinunciato ad una mossa vantaggiosa."
{f:5:Bernkastel},"In altre parole, non vuol dire che le tue opportunità di sfruttarla siano pari a zero."
{f:5:Bernkastel},"Potrai anche non crederci, ma era così anche per questa partita..."
{f:5:Bernkastel},"Sebbene il suo proseguimento possa esserti sembrato inesorabile...{n}in realtà, c'era uno spiraglio."
{f:5:Bernkastel},Quasi come se voleva che ce ne approfittassimo...
{f:5:Bernkastel},"Non sappiamo però se fosse una trappola, oppure un modo per metterci alla prova."
{f:5:Bernkastel},"Ad ogni modo, non demordere.{n}Non smettere di pensare.{n}Non escludere nessuna possibilità."
{f:5:Bernkastel},"Finché preserverai il tuo animo combattivo, Beato non vincerà."
{f:5:Bernkastel},"Quando si combatte contro una strega, la difesa è la chiave fondamentale, capito?{n}Invece di cercare di vincere, prova a non perdere..."
{f:5:Bernkastel},"Se una volta che la riconoscerai tu perderai, allora non dovrai assolutamente riconoscerla..."
{f:5:Bernkastel},Fare in modo che tu riconosca le streghe.{n}Non c'è alcun dubbio che questa sia una delle condizioni per la vittoria di Beatrice.
{f:5:Bernkastel},"Adesso che ho annunciato di essere tua alleata, mi impegnerò per aiutarti quanto più potrò."
{f:5:Bernkastel},Impegnati anche tu.
{f:5:Bernkastel},"Se sei ancora raggomitolato, rimettiti subito in piedi..."
{f:5:Bernkastel},"Vediamo, cos'è che dicevo in momenti come questi...?"
{f:5:Bernkastel},"Ehm, ecco...{n} {i:F‐}{i:Fight} {i:on~}. Meep, nipah~{p:0:☆}."
{f:5:Bernkastel},...Che imbarazzo fare una cosa del genere...
{f:5:Bernkastel},"Mi sono spinta fino a questo punto, per cui alzati subito."
{f:5:Lambdadelta},"""...Eccoti qua. Chissà dov'è andata a deprimersi Bern. Uhuhuhuh, non credo possa esserci qualcuno più patetico di lei."""
{f:5:Lambdadelta},"Ma bando alle ciance.{n}Come al solito, Bern ha scelto una pedina moscia."
{f:5:Lambdadelta},"È come negli scacchi, no?{n}Se tutti i tuoi pezzi fossero dei pedoni, avresti zero possibilità di vittoria, giusto?{n}E se tutti i tuoi pezzi fossero delle torri o degli alfieri, sarebbe impossibile per te perdere..."
{f:5:Lambdadelta},"B-Beh, l'ultima volta feci l'errore di sentirmi in colpa, dicendole che poteva far muovere le sue pedine dal punto che preferiva, e quella Bern ha iniziato a far entrare tuuutti i pedoni nella sua mano verso il mio lato della scacchiera, senza curarsi del mio atto di compassione!!"
{f:5:Lambdadelta},"Che cavolo, è facile perdere così!! Aaah, mi viene il voltastomaco solo a pensarci."
{f:5:Lambdadelta},"Pertanto, la sottoscritta non si darà pace finché non vedrà la faccia ammutolita di Bern."
{f:5:Lambdadelta},"È per questo che vedere te, una pedina di Bern, ridotta in uno stato simile, mi fa godere come non mai!"
{f:5:Lambdadelta},"E inoltre, potrà sembrare assurdo, ma quella mocciosa odia tantissimo perdere, perciò ti assicuro che adesso starà digrignando i denti dalla frustrazione, e piangendo a dirotto come una fontana, è davvero patetica, uhuhuhuh, ohohohohohoh!"
{f:5:Lambdadelta},"Su, ridi assieme a me, ohohohohoh...!"
{f:5:Lambdadelta},Un attimo.{n}Ti stai ancora raggomitolando?
{f:5:Lambdadelta},Beato ha iniziato a fare un po' sul serio e hai già questa brutta cera?
{f:5:Lambdadelta},Più pietosi di così si muore.
{f:5:Lambdadelta},"Mi fai talmente pena, che ti darò un piccolo aiutino."
{f:5:Lambdadelta},"Io, la Grande Lady {f:5:Lambadelta}, Strega della Certezza e la più forte nell'universo, renderò leggermente più certe le tue abissali chance di vittoria.{n}Sii riconoscente."
{f:5:Lambdadelta},"Sai, {f:5:Beatrice} sarà pure una strega crudele e potente, ma contro di me non avrebbe scampo."
{f:5:Lambdadelta},Il motivo? Perché è indulgente.
{f:5:Lambdadelta},"Mentre quella ragazza modella la partita in uno stato in cui potrà fare scacco matto dopo qualche mossa, fa intenzionalmente in modo di non metterti con le spalle al muro."
{f:5:Lambdadelta},"Ad esempio, si mangerà dei pezzi inutili, o renderà la scacchiera più sbilanciata, posizionando pedine aggiuntive."
{f:5:Lambdadelta},"Per farla breve, ha la brutta abitudine di iniziare a giocherellare quando sembra che stia vincendo."
{f:5:Lambdadelta},"Quasi tutti i suoi vari attacchi, che tu e Bern trovate strazianti... dal mio punto di vista sono un gigantesco spreco di risorse..."
{f:5:Lambdadelta},"In altre parole, vuol dire che lei ha uno spiraglio, e tu hai una possibilità. Capito? Visto che non è un avversario di cui preoccuparsi?"
{f:5:Lambdadelta},"A volte confonde i mezzi per i fini.{n}E gioca troppi brutti scherzi.{n}Il risultato è che così si crea dei punti deboli, che poi lei espone."
{f:5:Lambdadelta},"Per una strega fortissima come me, il motivo per cui fa queste cose con un aria così rilassata mi è incomprensibile."
{f:5:Lambdadelta},Arriva addirittura ad abbassarsi da sola le percentuali di vittoria.
{f:5:Lambdadelta},"Ma, oh beh."
{f:5:Lambdadelta},"Per questo una strega come Bern, che prevede l'avversario per poi evitarlo, ha una compatibilità davvero pessima con lei. Perché leggere le sue intenzioni non sortisce alcun effetto..."
{f:5:Lambdadelta},Forse è facile per Bern capire e sfruttare una tipa retta e onesta come me.{n}Mi fa una rabbia...!
{f:5:Lambdadelta},"Beh, d'altro canto, in uno scontro frontale, una con una gigantesca potenza di fuoco come me potrebbe distruggere una come Beato, dal vasto ma debole sbarramento d'artiglieria, perciò in un certo senso è come il triangolo della morra cinese."
{f:5:Lambdadelta},"Se io sono la carta, Beato è il sasso.{n}Il che significa che Bern è le forbici.{n}Beh, forse è un discorso fine a se stesso."
{f:5:Lambdadelta},"È vero che la mia carta perde contro le forbici di Bern, ma se fossi una super-carta, che è di gran lunga più potente della carta normale, potrebbe persino battere le forbici, giusto?!"
{f:5:Lambdadelta},"In parole povere, io, Lady {f:5:Lambdadelta}, sono una super-carta!{n} Ohohohoh!"
{f:5:Lambdadelta},Pare che tu abbia recuperato un po' del tuo colorito.{n}Quella Beato si sta divertendo a torturare una pedina dal nome di Rosa.
{f:5:Lambdadelta},"A prima vista, penseresti che abbia dei passatempi davvero discutibili, vero?{n} Ti sbagli..."
{f:5:Lambdadelta},"Sta solo ammazzando il tempo, in attesa che tu ti rialzerai e tornerai."
{f:5:Lambdadelta},"Con questa sua mossa, sta compiendo qualcosa di volutamente spregevole per fomentare la tua indignazione morale."
{f:5:Lambdadelta},"Aaah, le tipe così mi danno sui nervi!"
{f:5:Lambdadelta},"Detto questo, io torno indietro."
{f:5:Lambdadelta},Ah! Questo mio piccolo aiutino deve rimanere un segreto fra noi!
{f:5:Lambdadelta},"Mica ti ho fornito supporto perché volevo darti una mano, intesi?!"
{f:5:Lambdadelta},"Io, la strega più forte dell'universo, ho perso il posto di più forte dopo aver perso contro Bern!"
{f:5:Lambdadelta},"Quindi devo riprendermi quel posto da Bern, ma se Bern perdesse contro Beato, allora la posizione di più forte passerebbe a lei, giusto...?!"
{f:5:Lambdadelta},"Beh, mi farebbe più comodo riprenderla da Beato, ma questo non placherà la mia rabbia, va bene?!"
{f:5:Lambdadelta},Sarò io a sconfiggere Bern!{n}E ritornerò nella posizione di più forte!!
{f:5:Lambdadelta},"Comunque io non sto cercando di darti una mano, d'accordo?!{n}Non ti perdonerò se farai piangere Bern!"
