Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Turkish (TR)
,"So, did that count as a silent yes? ","In this case, did that count as a silent yes?"," In this case, did that count as a silent yes? ",となると、これはもはや無言のイエスも同然ということなのか。,[=JP],"В таком случае следовало ли воспринимать это как молчаливое ""да""?","Nesse caso, esse silêncio contaria como um sim?",如此一來，這不就等同於給出了無言的 YES 嗎？,如此一来，这不就等同于给出了无言的 YES 吗？,"In questo caso, poteva contare come un ‘sì’ silenzioso?","Bu senaryoda, bunu sessiz bir evet olarak değerlendirebilir miydik?"
,"Aunt Eva and Dad were trying to interpret the letter in their favor, their greed clearly visible. ","Auntie Eva and Dad had been trying to interpret the letter in their favor, their greed clearly visible.","Eva oba-san and Dad were trying to interpret the letter in their favor, their greed clearly visible.",絵羽伯母さんとウチの親父は、この手紙を自分たちに有利に解釈しようと、欲の皮をギチギチに突っ張らせていた。,[=JP],"Тётя Ева и отец пытались истолковать это письмо в свою пользу, не скрывая своей жадности.","A tia Eva e o meu pai tentaram interpretar a carta ao seu favor, e a ganância deles ficou claramente visível.",繪羽姑母與我家老爸，貪慾都快撐破肚皮了地，拚命將那封信按對自己有利的方向解釋。,绘羽姑母与我家老爸，贪欲都快撑破肚皮了地，拼命将那封信按对自己有利的方向解释。,"Eva oba-san e mio Padre stavano cercando di interpretare la lettera a loro favore, la loro avidità era chiaramente visibile.",Eva Teyze ve Babam mektubu kendi çıkarları doğrultusunda yorumlamaya çalışıyorlardı ve açgözlülükleri açıkça göze çarpıyordu.
,"It wouldn't have mattered so much if that was all, but the adults had now started focusing on Maria, who had received the letter. They kept pounding her with questions about who had given it to her. ","It wouldn't have mattered so much if that was all, but the adults had then started focusing on Maria, who had received the letter. They kept pounding her with questions about who had given her that letter."," It wouldn't have mattered so much if that was all, but the adults had now started focusing on Maria, who had received the letter. They kept pounding her with questions about who had given her that letter.",それだけならまだしも、大人たちは今度はその矛先を、手紙を受け取った真里亞に向けた。誰から受け取ったのかとしつこく何度も詰問した。,[=JP],"Если бы на этом всё закончилось, то ещё ладно, но теперь взрослые сосредоточили внимание на Марии, получившей письмо. Они продолжали изводить её вопросами о том, кто вручил ей это письмо.","Não importaria muito se fosse só isso, mas os adultos começaram a focar na Maria, que havia recebido a carta. Eles continuaram a encher ela com perguntas sobre quem havia entregue a carta.",僅是如此還好，可大人們竟然又把矛頭指向了拿到信的真里亞。一遍又一遍，沒完沒了地逼問她，是從誰那裡拿到的信。,仅是如此还好，可大人们竟然又把矛头指向了拿到信的真里亚。一遍又一遍，没完没了地逼问她，是从谁那里拿到的信。,"Se fosse stato tutto non sarebbe importato molto, ma gli adulti avevano iniziato a concentrarsi su Maria, che aveva ricevuto la lettera. Continuavano a martellarla con domande su colei che le aveva dato quella lettera.",Hepsi bu kadarla kalsa çok da sorun olmazdı ama yetişkinler daha sonra mektubu teslim alan Maria'ya yoğunlaşmaya başlamışlardı. Mektubu ona kimin verdiğine dair sorularla onu sıkıştırmaya devam ettiler.
,"Maria repeated over and over again that she had gotten it from {f:5:Beatrice}, but there was no way such a mysterious person could've sneaked onto the island. ","Maria repeated over and over again that she had gotten it from {f:5:Beatrice}, but there was no way a mysterious person like that could be mixed in with the others on this island."," Maria repeated over and over again that she had gotten it from Beatrice, but there was no way that such a mysterious person would sneak onto the island.",真里亞は、ベアトリーチェにもらったと何度も繰り返すのだが、そんな謎の人物がこの島に紛れ込んでいるわけもない。,[=JP],"Мария снова и снова повторяла, что она получила его от {f:5:Беатриче}, но не было никакой возможности, чтобы таинственный человек мог проникнуть на остров.","A Maria repetiu diversas vezes que a carta foi entregue pela {f:5:Beatrice}, mas não tem como uma misteriosa pessoa como ela ter se misturado em meio aos outros nessa ilha.",雖然真里亞不斷重複回答說，是從貝阿朵莉切那裡拿到的，但這個島上根本就不可能會有這麼個神秘人物。,虽然真里亚不断重复回答说，是从贝阿朵莉切那里拿到的，但这个岛上根本就不可能会有这么个神秘人物。,"Maria ripeté più e più volte che l'aveva ricevuta da Beatrice, ma in nessun modo una persona così misteriosa si sarebbe potuta introdurre nell'isola.","Maria mektubu {f:5:Beatrice}'den aldığını defalarca tekrarladı, ama böyle gizemli bir kişinin bu adadaki diğer insanların arasına karışmış olması mümkün değildi."
,"...After all, this island's small, and there's no one living on it outside the Ushiromiya family household. ","...After all, this is a small island where no one lives except the Ushiromiya family.","...In any event, this was a small island where no one lived outside the Ushiromiya family.",…何しろここは、右代宮家以外誰も住まない小さな島なのだから。,[=JP],"...В любом случае, это был маленький остров, на котором, помимо семьи Уширомия, больше никто не проживал.","...Afinal, esta é uma pequena ilha onde vive apenas a família Ushiromiya.",…畢竟，這可是除右代宮家以外沒人住的小島啊。,…毕竟，这可是除右代宫家以外没人住的小岛啊。,"... In ogni caso, questa è solo una piccola isola in cui nessuno oltre alla famiglia Ushiromiya vive.","...Sonuçta, burası Ushiromiya ailesi dışında kimsenin yaşamadığı küçük bir ada."
,Maria kept repeating that she'd gotten it from {f:5:Beatrice} no matter how many times she was asked. ,"Maria kept repeating that she had gotten it from {f:5:Beatrice}, no matter how many times she was asked.", Maria kept repeating that she had gotten it from Beatrice no matter how many times she was asked.,真里亞は何度聞かれてもベアトリーチェにもらったと繰り返すだけ。,[=JP],"Мария продолжала повторять, что получила его от {f:5:Беатриче}, сколько бы раз её не спрашивали.","A Maria continuou a repetir que ela havia recebido da {f:5:Beatrice}, não importando quantas vezes fosse perguntado.",不管問真里亞多少次，她都只是重複回答著，是從貝阿朵莉切那裡拿到的。,不管问真里亚多少次，她都只是重复回答着，是从贝阿朵莉切那里拿到的。,Maria continuò a ribadire che l'aveva presa da Beatrice per quante volte glielo chiedessero.,Maria kendisine defalarca sorulmasına rağmen mektubu {f:5:Beatrice}'den aldığını söylemeye devam etti.
,"The adults seemed to think she was trying to trick them, so they didn't hold back and questioned her until she broke out in tears... ","It seemed that the adults felt that she was trying to trick them, so they didn't hold back, and questioned her until she broke out in tears..."," It seemed that the adults felt that she was trying to trick them, so they didn't hold back and questioned her until she broke out in tears...",それを大人たちは、誤魔化していると感じたらしく、彼女が泣き出すまで詰問を決して緩めようとはしなかった…。,[=JP],"Взрослые же, по‐видимому, считали, что она пытается их обмануть, и поэтому они не отставали и допрашивали её, пока она не расплакалась...","Parecia que os adultos sentiam que ela estava tentando enganá‐los, por isso eles não se contiveram, e continuaram a perguntar até que ela começar a chorar...",大人們似乎感覺這麼說是在搪塞他們，直到她哭出來之前，都沒有放鬆過逼問…。,大人们似乎感觉这么说是在搪塞他们，直到她哭出来之前，都没有放松过逼问…。,"Sembrava che gli adulti pensassero che volesse prenderli in giro, quindi non si posero freni e le fecero domande finché non scoppiò a piangere...","Yetişkinler Maria'nın kendilerini kandırmaya çalıştığını düşünmüş olacaklar ki geri adım atmadılar, ve Maria gözyaşlarına boğulana kadar onu sorgulamaya devam ettiler..."
,"When Maria was released, she sobbed, all worn out from crying. ","By the time Maria was released, she had cried herself to the point of exhaustion."," When Maria was released, she sobbed, all worn out from crying.",真里亞は解放された時、泣き疲れてぐったりしていた。,[=JP],"Когда Марию отпустили, она всхлипывала, вся измотанная от плача.","Com o tempo, a ela acabou sendo liberada e chorou ao ponto de ficar exausta.",真里亞得到解放的時候，整個人都已經哭得精疲力竭了。,真里亚得到解放的时候，整个人都已经哭得精疲力竭了。,"Quando Maria fu lasciata in pace, singhiozzò, esausta dal pianto.","Maria rahat bırakıldığında, bitkin düşmüş bir halde hüngür hüngür ağlıyordu."
,"After our parents ordered us to go to the guesthouse and take Maria with us, they shut themselves up in the dining hall and started getting louder and louder as they discussed the inheritance. ","Our parents ordered us to go to the guesthouse and take Maria with us, then shut themselves up in the dining hall, and started getting louder and louder as they discussed the inheritance."," After our parents ordered us to go to the guesthouse and take Maria with us, they shut themselves up in the dining hall, and started getting louder and louder as they discussed the inheritance.",親たちは、真里亞を連れてゲストハウスに行っていろと一方的に命じると、自分たちは食堂に閉じこもり、ますますに遺産の話で盛り上がるのだった。,[=JP],"После того, как наши родители велели нам идти в домик для гостей и взять Марию с собой, они заперлись в обеденном зале и начали всё громче и громче обсуждать наследство.","Nossos pais nos mandaram ir para a casa de hóspedes e levar a Maria junto, se trancaram na sala de jantar e começaram a discutir cada vez mais alto sobre a herança.",長輩們單方面地向我們命令完“將真里亞帶到賓館去”，就關起餐廳門，更加熱烈地討論起了遺產的事。,长辈们单方面地向我们命令完“将真里亚带到宾馆去”，就关起餐厅门，更加热烈地讨论起了遗产的事。,"Dopo che i nostri genitori ci ordinarono di andare alla casa degli ospiti insieme a Maria, si rinchiusero nella sala da pranzo, e iniziarono a parlare sempre più forte discutendo sull'eredità.","Ailelerimiz bize Maria'yı da yanımıza alarak konukevine gitmemizi söyledikten sonra yemek salonuna kapandılar, ve gittikçe artan ses tonlarıyla miras konusunu tartışmaya başladılar."
,"It seemed that, because of that strange letter, Uncle Krauss's chances of becoming the next Head might've been reduced to a blank slate, and in exchange for accepting him, my dad and the rest were trying to swindle Uncle Krauss out of a lot of money...or something like that. ","It seemed that, because of that strange letter, the possibility had arisen that Uncle Krauss's ability to become the next head could be returned to a blank slate, and in exchange for accepting him, my dad and the rest were trying to swindle Uncle Krauss out of a lot of money...or something like that."," It seemed that, because of that strange letter, the possibility had appeared that Krauss oji-san's ability to become the next head had been reduced to a blank slate, and in exchange for accepting him, my dad and the rest were trying to swindle Krauss oji-san out of a lot of money..., something like that.",どうやら、おかしな手紙のせいで、蔵臼伯父さんが次の当主になるという話が白紙に戻る可能性が出てきていて、それを認める見返りに親父たちが蔵臼伯父さんから大金をせしめる…、みたいな感じのようだった。,[=JP],"Получалось так, что это странное письмо привнесло возможность низвести становление дяди Краусса следующим главой семьи, и в обмен на признание его главой, мой отец и остальные пытались развести дядю Краусса на большое количество денег... Ну, или что‐то в этом роде.","Parecia que, por causa daquela estranha carta, surgiu a possibilidade do tio Krauss não se tornar mais o chefe por meio da sucessão direta. E para aceitar isso, meu pai, junto aos outros, estão tentando barganhar uma grande quantia de dinheiro com o tio Krauss...ou algo assim.",看起來，因為那封怪信，藏臼伯父成為下任當主的事出現了化為烏有的可能，老爸他們在以承認由他做當主為條件，逼迫藏臼伯父交出一大筆錢…，貌似就是這種感覺。,看起来，因为那封怪信，藏臼伯父成为下任当主的事出现了化为乌有的可能，老爸他们在以承认由他做当主为条件，逼迫藏臼伯父交出一大笔钱…，貌似就是这种感觉。,"Sembrava che, a causa di quella strana lettera, Krauss potesse perdere la possibilità di diventare il prossimo capofamiglia, e affinché lo accettassero come tale, mio Padre e gli altri stavano cercando di estorcergli un mucchio di denaro... o qualcosa di questo tipo.","Görünene göre, o esrarengiz mektup yüzünden Krauss Amca'nın bir sonraki Reis olma şansı sıfıra inmiş olabilirdi, ve onu kabul etmeleri karşılığında Babam ve diğerleri Krauss Amca'dan yüklü miktarda para koparmaya çalışıyorlardı...gibi bir şey."
,"Disgusted as we were, Jessica and I were happy to move over to the guesthouse. ","Jessica and I, both astonished, were happy to move over to the guesthouse."," Astonished as we were, Jessica and I were happy to move over to the guesthouse.",憮然とした俺と朱志香は、喜んでゲストハウスへ移動することにした。,[=JP],"Как бы поражены мы ни были, Джессика и я были рады уйти в домик для гостей.","A Jessica e eu, ambos indignados, ficamos felizes em ir para a casa de hóspedes.",心灰意冷的我與朱志香，欣然聽命去了賓館。,心灰意冷的我与朱志香，欣然听命去了宾馆。,"Esterrefatti, io e Jessica eravamo felici di andare nella casa degli ospiti.",Tiksinti içinde olduğumuz için Jessica ve ben konukevine geçmekten mutluyduk.
,"We didn't want to be under the same roof as those filthy adults, their heads so filled with thoughts about money. ","We didn't want to be under the same roof as those filthy adults, their heads so filled with thoughts about money."," We didn't want to be under the same roof as those filthy adults, their heads so filled with thoughts about money.",カネのことで頭がいっぱいの、汚い大人たちと同じ屋根の屋敷にいたくなかったのだ。,[=JP],"Мы не желали находиться под одной крышей с этими отвратительными взрослыми, чьи головы были забиты лишь мыслями о деньгах.","Nós não queríamos ficar sob o mesmo teto que aqueles adultos imundos, com suas cabeças preenchidas por pensamentos relacionados a dinheiro.",我們可不想與滿腦子都是錢的骯髒大人們待在同一個屋檐下。,我们可不想与满脑子都是钱的肮脏大人们待在同一个屋檐下。,"Non volevamo stare sotto lo stesso tetto di quegli sporchi adulti, con le loro teste piene di pensieri sui soldi.",Kafaları parayla ilgili düşüncelerle dolu o pislik yetişkinlerle aynı çatı altında olmak istemiyorduk.
,"George-aniki pleaded on our parents' behalf, saying that he wanted us to understand them. ","George‐aniki pleaded on behalf of our parents, saying that he wanted us to understand them."," George-aniki pleaded on behalf of our parents, saying that he wanted us to understand them.",譲治の兄貴は、そんな親たちを理解してやってほしいと弁護する。,[=JP],"Джордж‐аники выступил от имени наших родителей, сказав, что мы должны понять их.","O George‐aniki alegou em nome dos nossos pais, dizendo que nós precisamos entendê‐los.",讓治大哥說著希望我們理解大人的話，為長輩們辯護。,让治大哥说着希望我们理解大人的话，为长辈们辩护。,"George-aniki ci supplicò, dicendo che voleva che capissimo i nostri genitori.","George-aniki, ailelerimiz adına ricada bulunarak onları anlayışla karşılamamızı istediğini söyledi."
,"...I understood his reasoning. No matter how filthy this talk of money was, it wouldn't go away if you just closed your eyes to it. ","...I understood his reasoning. No matter how filthy this talk of money was, it wouldn't go away if you just closed your eyes to it.",[=UP],…理屈ではわかる。金の話はどんなに汚くとも、目を閉じれば済む問題ではない。,[=JP],"...Я понимал его рассуждения. Как бы ни были грязны те разговоры о деньгах, они не прекратятся, если мы просто закроем на это глаза.","...Eu entendo o raciocínio dele. Não importa o quão imundo essa conversa sobre dinheiro seja, ela não vai acabar só porque você fechou seus ouvidos para ela.",…道理我明白。但這不是“錢的事無論有多骯髒，閉上眼睛不管就行了”的問題。,…道理我明白。但这不是“钱的事无论有多肮脏，闭上眼睛不管就行了”的问题。,"... Capivo il suo ragionamento. Non importa quanto questi discorsi sui soldi fossero ripugnanti, non se ne sarebbero andati via se avessimo semplicemente chiuso gli occhi.","...Neden böyle düşündüğünü anlayabiliyordum. Bu para konusu ne kadar iğrenç olursa olsun, gözlerinizi kapatsanız da geçmeyecekti."
,"But even so, how could they sink so low as to overtly fight over the money of the dead...? ","But even so, how could they so blatantly degenerate into such money‐grubbing demons..."," But even so, how could they sink so low as to overtly fight over the money of the dead...",しかしそれでも、ああもあからさまにカネの亡者に成り下がれるものなのか…。,[=JP],"Но даже так, как они могли пасть настолько низко, чтобы устроить открытую грызню за деньги мёртвого...","Mesmo assim, como eles podem se degenerar de forma tão descarada, completamente cegos pelo dinheiro...?",問題在於，有必要墮落成如此露骨的金錢奴隷嗎…？,问题在于，有必要堕落成如此露骨的金钱奴隶吗…？,"Ma comunque, come potevano scendere così in basso da lottare sui soldi di un morto...","Ama yine de, nasıl bu kadar açık bir şekilde para düşkünü şeytanlara dönüşebiliyorlardı..."
,"Maria had cried herself dry and was hiding in her bed. She hadn't even twitched for a while, so she was probably sleeping... ","Maria had cried herself dry, and was hiding in her bed. She hadn't even twitched for a while, so she was probably sleeping..."," Maria had cried herself dry, and was hiding in her bed. She hadn't even twitched for a while, so she was probably sleeping...",真里亞は泣きつかれ、今はベッドに潜っている。さっきからぴくりとも動かないから、きっと眠ってしまったのだろう…。,[=JP],"Мария выплакалась и спряталась в своей постели. Она не шевелилась уже некоторое время, так что она, вероятно, спала...","A Maria já havia chorado até não ter mais lágrimas, e estava escondida em sua cama. Ela não se moveu nenhuma vez, então provavelmente estava dormindo...",真里亞哭累了，上床躲了起來。從剛才起就一動不動，一定是睡著了吧…。,真里亚哭累了，上床躲了起来。从刚才起就一动不动，一定是睡着了吧…。,"Maria era esausta dal pianto, e si stava nascondendo nel suo letto. Non si era neanche mossa per un po' di tempo, quindi forse stava dormendo...","Maria'nın ağlamaktan gözleri kurumuştu ve yorganın altında saklanıyordu. Bir süredir hiç kıpırdamamıştı, yani muhtemelen uyuyordu..."
Ushiromiya George,"""......Who in the world gave that letter to Maria-chan?"" ",""".........Who in the world gave that letter to Maria‐chan?""",""".........Who in the world gave that letter to Maria-chan?""",「………真里亞ちゃんは、一体誰にあの手紙をもらったんだろうね。」,「………真里亞ちゃんは、一体誰にあの手紙をもらったんだろうね」,""".........Кто же всё‐таки вручил Марии‐чан это письмо?""",""".........Afinal, quem será que deu aquela carta para a Maria‐chan?""",「………小真里亞，到底是從誰那裡拿到的信呢？」,「………小真里亚，到底是从谁那里拿到的信呢？」,"""... Chi avrà mai dato quella lettera a Maria-chan?""",""".........Maria-chan'a...bu mektubu kim verdi acaba?"""
Ushiromiya Jessica,"""George nii-san, you can't ask her that anymore. Isn't it fine to say that Maria got it from {f:5:Beatrice} and leave it at that...?"" ","""George nii‐san. You mustn't ask that anymore. If Maria says she got it from {f:5:Beatrice}, can't we just leave it at that...?""","""George nii-san, you can't ask her that. Isn't it fine to say that Maria got it from Beatrice and leave it at that...?""",「譲治兄さん。それはもう聞いちゃ駄目だぜ。真里亞がベアトリーチェにもらったっていうなら、それでいいじゃねぇかよ…。」,「譲治兄さん。それはもう聞いちゃ駄目だぜ。真里亞がベアトリーチェにもらったっていうなら、それでいいじゃねぇかよ…」,"""Джордж нии‐сан, её нельзя спрашивать об этом. Может, всё‐таки следует сказать, что она получила его от {f:5:Беатриче} и этим ограничиться?..""","""George nii‐san. Você não deveria perguntar mais isso. Se a Maria está dizendo que recebeu da {f:5:Beatrice}, não podemos simplesmente aceitar isso...?""",「讓治哥。這話可不能再問了嘞。真里亞說是從貝阿朵莉切那拿來的，那就當是這樣好了啦…」,「让治哥。这话可不能再问了嘞。真里亚说是从贝阿朵莉切那拿来的，那就当是这样好了啦…」,"""George nii-san, non puoi chiederglielo. Non va bene dire che Maria l'ha ricevuta da Beatrice senza discutere...?""","""George nii-san. Bu soruyu artık sormamalısın. Maria {f:5:Beatrice}'den aldığını söylüyorsa, konuyu burada kapatamaz mıyız...?"""
Ushiromiya Battler,"""After all, we don't want to make her cry any more than this."" ","""I mean, we don't want to make her cry any more than this.""","""Because we don't want to make her cry any more than this.""",「これ以上、真里亞を泣かせたくないしな。」,「これ以上、真里亞を泣かせたくないしな」,"""Потому что мы не хотим заставлять её плакать ещё больше, чем сейчас.""","""Nós não queremos fazer ela chorar mais.""",「可不能再惹真里亞哭了啊。」,「可不能再惹真里亚哭了啊。」,"""Perché non vogliamo farla piangere più di così.""","""Yani, Maria'yı daha da fazla ağlatmak istemeyiz."""
,"...Even though we said that, we couldn't clear away a gloomy feeling. ",......That said. Even we felt a confusion that we couldn't clear away.,"......Even though we said that, we couldn't clear away our gloomy feeling.",……そうは言ったものの。俺たちだって、もやもやしたものが晴れない。,[=JP],"......Но даже сказав такие слова, мы не могли избавиться от одолевающих нас мрачных чувств.",......Mesmo dizendo isso... Nós também sentimos uma confusão que não conseguíamos esclarecer.,……說是這麼說了。但即便是我們的心裡也都癢癢的，有著抹不掉的疑雲。,……说是这么说了。但即便是我们的心里也都痒痒的，有着抹不掉的疑云。,"... Anche se avevamo detto che, non potevamo mandar via i nostri sentimenti cupi.","......Böyle söylesek de, biz bile kafa karışıklığımızı gideremedik."
