Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,Shannon and George had chosen to go to Okinawa because there was a huge aquarium there. ,Shannon and George had chosen to go to Okinawa because there was a huge aquarium there., Shannon and George had chosen to go to Okinawa because there was a huge aquarium there.,紗音と譲治が旅行先を沖縄に選んだのは、巨大な水族館があったからだった。,[=JP],"Шаннон и Джордж решили отправиться на Окинаву, поскольку там находился огромный океанариум.",Shannon e George haviam escolhido ir para Okinawa porque lá tem um grande aquário.,紗音和讓治之所以會選擇去沖繩旅行，是因為那裡有座巨大的水族館。,纱音和让治之所以会选择去冲绳旅行，是因为那里有座巨大的水族馆。,Shannon e George avevano scelto di andare a Okinawa perché c'era un grande acquario lì.,"Shannon e George avevano scelto come meta Okinawa, perché lì c'era un enorme acquario.",Shannon ve George Okinawa'ya gitmeyi seçmişlerdi çünkü orada büyük bir akvaryum vardı.
,They did this because an aquarium had given them the opportunity to start going out. ,That was because their first meeting had revolved around an aquarium., And they had used the aquarium as an excuse to get together.,それは、彼らの出会いが水族館をきっかけにしたものだったからだ。,[=JP],"И они решили использовать океанариум в качестве предлога, чтобы вместе встретиться.",Isso porque a primeira vez em que eles se encontraram foi em um aquário.,而這又是因為，水族館正是成為了他們彼此相戀契機的場所。,而这又是因为，水族馆正是成为了他们彼此相恋契机的场所。,E lo avevano usato come scusa per trovarsi insieme.,Questo perché fu un acquario a concedere loro l'opportunità di uscire insieme.,Bunun nedeni ilk buluşmalarının bir akvaryum etrafında gerçekleşmiş olmasıydı.
,"Since their relationship had started at an aquarium, having their first overnight trip also be to an aquarium must have held some commemorative value. ","Since they had started at an aquarium, having their first overnight trip also be to an aquarium must have held some commemorative value."," Since their relationship had started at an aquarium, having their first overnight trip also be to an aquarium must have held some commemorative value.",水族館で始まった縁だから、初めてのお泊り旅行の行き先も水族館というちょっと記念的な意味もあったに違いない。,[=JP],"Поскольку их отношения начались в океанариуме, первая ночная поездка, тоже проведённая в океанариуме, являлась своеобразным юбилеем.","Como eles começaram em um aquário, fazer sua primeira viagem juntos a um aquário também tinha um valor comemorativo.",正因為這段緣分是從水族館開始的，所以第一次住宿旅行選擇去水族館，也肯定是帶著點紀念意義的。,正因为这段缘分是从水族馆开始的，所以第一次住宿旅行选择去水族馆，也肯定是带着点纪念意义的。,"Siccome la loro relazione era iniziata in un acquario, averci trascorso la loro prima notte del viaggio dev'essere stato qualche valore commemorativo.","Dal momento che la loro relazione iniziò con un acquario, averlo come destinazione della loro prima gita fuoriporta aveva senza dubbio un valore commemorativo.","Bir akvaryumda başladıklarına göre, ilk gecelik gezilerinin de bir akvaryuma olması hatıra değeri taşıyor olmalıydı."
Ushiromiya Jessica,"""That's like a huge commemorative turning point! And your first overnight trip!! How could you not make all kinds of progress there?! ","""This was your special commemorative trip, your turning point! Your first overnight trip!! Shouldn't there have been all kinds of progress?!""","""What a turning point! It was your first overnight trip!! Shouldn't there have been lots of progress?! ",「そんな記念の節目の！初のお泊り旅行なら！！色々と進展するもんがあるはずだぜー？！,「そんな記念の節目の！　初のお泊り旅行なら！！　色々と進展するもんがあるはずだぜー？！」,"""Это же такой поворотный момент! То была твоя первая поездка с ночёвкой! Разве ты не должна была ещё больше продвинуться за это время?!""","""Essa era a sua viagem comemorativa especial, seu ponto de virada! Sua primeira vez passando a noite fora!! Sua primeira viagem noturna!! Não deveria ter acontecido vários tipos de progresso?!""",「既然是這麼有紀念意義的！首次住宿旅行的話！！那理應是會有不少進展才對吧？！」,「既然是这么有纪念意义的！首次住宿旅行的话！！那理应是会有不少进展才对吧？！」,"""Che momento critico! È stato il vostro primo viaggio!! Non dovrebbero esserci stati molti progressi?!","""Era una tappa da festeggiare! Il vostro primo pernottamento fuori!!{n}Non dovevano esserci un sacco di sviluppi?!""","""Bu sizin için özel bir hatıra gezisiydi, sizin dönüm noktanızdı! İlk gece geziniz!! Her türlü gelişmenin olması gerekmez miydi?!"""
Ushiromiya Jessica,"But instead, you both got separate rooms?! A couple taking two single rooms?! Aah, geez, seriously, what's wrong with you?!"" ","""And yet! Separate rooms for the guy and girl?! A couple taking two single rooms?! Aah, geez, really, what's wrong with you?!""","And even so, separate rooms for the guy and girl?! A couple taking two single rooms?! Aah, geez, really, what's wrong with you!""",それが！男女別部屋？！カップルでシングルを２部屋？！あーもー、本当にどうかしてるぜ！」,「それが！　男女別部屋？！　カップルでシングルを２部屋？！　あーもー、本当にどうかしてるぜ！」,"""Но даже при таком раскладе — брать отдельные комнаты?! Пара заказала два одноместных номера?! А‐а, гр‐р, да что с тобой, в самом деле?!""","""E mesmo assim! Quartos separados para um cara e uma garota?! Um casal usando dois quartos de solteiro?! Aah, sério, qual o problema com vocês?!""",「可你們呢！男女分房睡？！情侶卻要了兩個單人房？！啊——真的是，真不知道你們在搞什麼！」,「可你们呢！男女分房睡？！情侣却要了两个单人房？！啊——真的是，真不知道你们在搞什么！」,"Ma anche così, camere separate per il ragazzo e la ragazza?! Una coppia che prende due camere singole?! Aah, ti prego, davvero, che c'è di sbagliato in te!""","""E invece?! Stanze separate per entrambi?! Una coppia che prende due camere singole? Aah, cacchio, seriamente, cos'hai che non va?!""","""Ve yine de! Kız ve erkek için ayrı odalar mı?! Bir çift iki tek kişilik oda mı alıyor?! Aah, tanrım, gerçekten, sizin neyiniz var?!"""
Shannon,"""...Err, umm, ......but we are both unmarried... ...George-san says showing restraint is good manners for a couple..."" ","""...Err, umm, ......but we're both single... ...George‐san says that respecting boundaries is good manners between men and women.......""","""...Err, umm, ......but we're both single... ...George-san says showing restraint is good manners for a couple.......""",「…それはその、……お互い独身の男女ですし…。…譲治さんが、そこをしっかりするのが男女のマナーだと仰って……。」,「…それはその、……お互い独身の男女ですし…。…譲治さんが、そこをしっかりするのが男女のマナーだと仰って……」,"""...Э‐э, м‐м‐м... но ведь мы не женаты... ...Джордж‐сан говорил, что проявление сдержанности — признак благовоспитанности для пары...""","""...Bem, hmm, ......mas nós dois somos solteiros... ...O George‐san disse que respeitar os limites faz parte das boas maneiras entre homens e mulheres.......""",「…這是因為那個，……我們都還是未婚的男女…。…讓治少爺也說了在這種事上嚴守規矩是男女間的禮節……」,「…这是因为那个，……我们都还是未婚的男女…。…让治少爷也说了在这种事上严守规矩是男女间的礼节……」,"""... Err, umm... ma siamo entrambi single... George-san dice che mostrare un limite sia una buona maniera per una coppia...""","""...È che, ehm... noi due non siamo sposati... George-san dice che per una coppia essere coscienziosi in queste cose è una buona usanza...""","""...Err, umm, ......ama biz evli değiliz... ...George-san sınırlara saygı göstermenin erkekler ve kadınlar arasında iyi bir davranış olduğunu söylüyor......."""
Ushiromiya Jessica,"""Like I said, the whole point of this overnight trip was so you could overcome that stage, right?! You should be way beyond just kissing and hugging by now!"" ","""For hell's sake, this overnight trip was so you could overcome that, wasn't it?! You're not at the stage of mere hugs and kisses any more!""","""Like I said, this overnight trip was so you could overcome that stage, right?! You're already at the level of things like kissing and hugging, right?!""",「だーから、それを踏み越えるためのお泊り旅行じゃねぇのかよー？！もはやチューとかギューとかのレベルじゃねぇぜー？！」,「だーから、それを踏み越えるためのお泊り旅行じゃねぇのかよー？！　もはやチューとかギューとかのレベルじゃねぇぜー？！」,"""Как я уже сказала, цель этой поездки с ночёвкой заключалась в том, чтобы вы смогли преодолеть эту стадию, верно?! Вы же уже достигли такого уровня отношений, когда можно и обниматься, и целоваться, не так ли?!""","""Mas esse tipo de viagem não é justamente para superar isso?! Você não está mais na fase de meros abraços e beijos!""",「所以說，不就是為了跨過這條線才去的住宿旅行嗎？！早就不是親親呀，抱抱呀這種程度的事嘞？！」,「所以说，不就是为了跨过这条线才去的住宿旅行吗？！早就不是亲亲呀，抱抱呀这种程度的事嘞？！」,"""Come ho detto, questo viaggio serviva affinché voi possiate superare quella fase. no?! Siete già al livello di cose come baci e abbracci, giusto?!""","""Infatti, siete andati a dormire fuori per superare questa fase, no?! Non siete oramai al di là dei baci e abbracci?!""","""Tanrı aşkına, bu gece gezisi bunun üstesinden gelebilmen içindi, değil mi?! Artık sadece sarılma ve öpüşme aşamasında değilsiniz!"""
Shannon,"""M-Milady, I don't know what you mean by that, b-but George-sama was a real gentleman with me until the end. ","""Mi‐Milady, I don't know what you mean by that, but... Geor‐...George‐sama was a real gentleman with me until the end.""","""M, Milady, I don't know what you mean by that.... G, George-sama was a real gentleman with me until the end. ",「お、お嬢様がどういう意味で仰ってるのかわかりませんが…。じょ、譲治さまは最後まで本当に紳士でいて下さいました。,「お、お嬢様がどういう意味で仰ってるのかわかりませんが…。じょ、譲治さまは最後まで本当に紳士でいて下さいました」,"""М‐миледи, я не понимаю, что вы подразумеваете под этим... Д‐Джордж‐сама до самого конца был со мной настоящим джентльменом.""","""O‐Ojou‐sama, eu não entendo o que você quer dizer com isso, mas...{n}O‐O...George‐sama foi um verdadeiro cavalheiro comigo até o final.""",「雖、雖然我不知道小姐的話裡是什麼意思…。但、但讓治少爺真的從一開始到最後都很紳士。」,「虽、虽然我不知道小姐的话里是什么意思…。但、但让治少爷真的从一开始到最后都很绅士。」,"""M-Milady, non so cosa intendete con ciò... G-George-sama è stato un vero gentiluomo con me fino alla fine.","""S-Signorina, non capisco cosa stia cercando di dirmi... m-ma il signorino George si è comportato fino all'ultimo da vero gentiluomo.""","""Le-Leydim, ne demek istediğinizi bilmiyorum ama... Geor-...George-sama sonuna kadar bana karşı gerçek bir centilmendi."""
Shannon,"""That is, I mean, ...I also... wondered if those things would happen, you know, ...but even though we are going out... I-I mean, it's not like we're married or anything..."" ","""That is, I mean, ......I also...wondered if those things would happen, you know, ...but we, we may be going out, but...I mean, it, it's not as if we are married or anything...""","That is, I mean, ...... I also, ...wondered if those things would happen, you know, ...but we, even though we are going out, I mean, it, it's not that we are married or anything...""",それはその、……私も、…そういうことがあるかなというか、…でも私たち、お付き合いはしてますけどその、べ、別に結婚してるわけじゃないし…。」,「それはその、……私も、…そういうことがあるかなというか、…でも私たち、お付き合いはしてますけどその、べ、別に結婚してるわけじゃないし…」,"""То есть, я хочу сказать... я тоже... гадала, произойдут ли такие вещи, если вам угодно знать... но, даже несмотря на то, что мы встречаемся, я имею в виду, это, не то чтобы мы женаты или что‐то в этом роде...""","""Além disso, ......eu também...estava me perguntando se essas coisas aconteceriam, sabe, ...mas nós, nós podemos estar saindo, mas...digo, não é como se fôssemos casados ou algo assim...""",「而且那個，……我也，…有想到過是不是會有那種事情，…不過我們，雖說是在交往，但、但還沒有結婚…」,「而且那个，……我也，…有想到过是不是会有那种事情，…不过我们，虽说是在交往，但、但还没有结婚…」,"Ecco, voglio dire... anch'io... mi sono chiesta se quelle cose sarebbero successe, sapete... ma noi, sebbene usciamo, voglio dire, non è che siamo sposati o cosa...""","""Voglio dire, ecco... anch'io... mi sono chiesta se sarebbe accaduto qualcosa...{n}ma anche se stiamo uscendo... non è che siamo sposati o qualcosa del genere...""","""Yani, demek istediğim, ......ayrıca ben de...bu tür şeylerin olup olmayacağını merak ettim, bilirsiniz, ...ama biz, biz çıkıyor olabiliriz, ama...yani, evli değiliz..."""
Shannon,"""These things you seem to be expecting... ......umm, should only be done after making a vow before God, umm, ...a-a-and... au."" ","""The kind of things you seem to be expecting, Milady, ......I mean, we must do so only after we properly make a vow in front of God, and, umm, ......ww...we mustn't... au.""","""What Milady seems to be expecting, ......I mean, we must do so only after we properly make a vow in front of God, umm, ......w w, we must..., au.""",「お嬢様が期待されているようなことはその、……ちゃんと神さまの前で誓いを立ててからするべきでその、……すす、するべきでその…、ぁぅ。」,「お嬢様が期待されているようなことはその、……ちゃんと神さまの前で誓いを立ててからするべきでその、……すす、するべきでその…、ぁぅ」,"""То, чего ожидала миледи... ......Я имею в виду, мы должны делать это только после того, как дадим друг другу клятву перед Богом, м‐м... м‐м‐мы должны... у‐у.""","""O tipo de coisa que você parece estar esperando, ojou‐sama, ......bem, nós devemos fazer apenas depois de fazermos nossos votos na frente de Deus, e, bem, ......nn...nós não devemos... au.""",「小姐您所期待的那種事情，……我覺得應該在神前立下誓言後再、……再再、再去…，啊嗚。」,「小姐您所期待的那种事情，……我觉得应该在神前立下誓言后再、……再再、再去…，啊呜。」,"""Quel che Milady sembra aspettarsi... ecco, dobbiamo fare così solo dopo che avremo fatto un proprio giuramento dinanzi Dio, umm... n-n-noi dobbiamo... au.""","""Signorina, queste cose che lei sembra aspettarsi... Ehm, dovrebbero essere fatte dopo aver espresso un voto sincero davanti a Dio, ecco... N-N-Noi dobbiamo... au.""","""Leydim, beklediğiniz türden şeyleri, ......demek istiyorum ki, ancak Tanrı'nın huzurunda düzgün bir şekilde yemin ettikten sonra yapmalıyız, umm, ......v-v-v...ve... au."""
