Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,"When he patted Maria's head and apologized, she seemed to accept it, sticking out her chest and proudly uu-uu-ing. ","When he patted Maria's head and apologized, she seemed to accept it, sticking out her chest and proudly ""uu‐uu""ing.","When he patted Maria's head and apologized, she seemed to accept it, sticking out her chest and proudly uu-uu-ing.",真里亞の頭を撫でながら謝ってやると、彼女は納得してくれたようで、胸を張る仕草をしながら、誇らしげにうーうーと唸っていた。,[=JP],"Когда он погладил Марию по голове и попросил прощения, та, похоже, удовлетворилась этим, гордо выпятила грудь и заукала.","Quando ele passou a mão na cabeça de Maria e se desculpou, ela pareceu aceitar, estufando seu peito enquanto ""uu‐uu""zava.",我一邊撫摸著真里亞的頭一邊道歉。她似乎接受了道歉，滿足地挺起胸膛，自豪地發出了“嗚——嗚——”的聲音。,我一边抚摸着真里亚的头一边道歉。她似乎接受了道歉，满足地挺起胸膛，自豪地发出了“呜——呜——”的声音。,"Ketika Battler mengelus kepala Maria dan meminta maaf, dia langsung menerimanya, membusungkan dada sambil bangga bilang ""uu-uu"".",Quando accarezzai la testa di Maria per scusarmi lei sembrò accettarlo gonfiando il petto e facendo uu-uu orgogliosamente.,"Quando accarezzò la testa di Maria per scusarsi, lei sembrò accettare le scuse, gonfiando il petto e facendo ‘uuh, uuh’ con fare trionfale.","Battler Maria'nın başını okşayıp özür dilediğinde, Maria bunu kabul etmiş gibi göründü, göğsünü kabarttı ve gururla ""uu-uu""ladı."
Ushiromiya Battler,"""......What's this? ""My Beloved Witch {f:5:Beatrice}"". ......""Behold the sweetfish river-"", ...what's with this weird, huge epitaph?"" ","""...............Let's see here. ""My beloved witch, {f:5:Beatrice}"". .........Behold the sweetfish river......wait.........what's with this weird, long epitaph?""",""".........What's this? 'My most beloved witch Beatrice'. .........My beloved hometown, ......what's with this weird, long epitaph?""",「………………何々。『我が最愛の魔女ベアトリーチェ』。………懐かしき故郷を貫く、…って、………何だこの怪しげな長い碑文はよ？」,「……………何々。『我が最愛の魔女ベアトリーチェ』。………懐かしき故郷を貫く、…って、………何だこの怪しげな長い碑文はよ？」,""".........Что тут у нас? 'Моя возлюбленная ведьма {f:5:Беатриче}'. .........Через город родной мой, любимый... ......Что это за странная, длинная эпитафия?""","""...............Vamos ver isso. ""Minha amada bruxa, {f:5:Beatrice}"". .........O rio dos ayus passa ......espera.........o que há com esse estranho e longo epitáfio?""",「………………我看看我看看。『吾最愛的魔女貝阿朵莉切』。………令人懷念的，貫穿故鄉的，………這又長又怪的碑文是啥啊？」,「………………我看看我看看。『吾最爱的魔女贝阿朵莉切』。………令人怀念的，贯穿故乡的，………这又长又怪的碑文是啥啊？」,"""...............Mari kita lihat. ""Penyihir tercintaku, {f:5:Beatrice}"". .........Sungai ikan sweetfish......tunggu.........epitaf aneh apa ini?""","""... Cos'è questo? ‘Mia benamata strega, Beatrice’. ... La mia amata terra natia... cos'è questa strana e lunga iscrizione?""","""...Cos'è questo? ‘{f:5:Beatrice}, mia amatissima strega’... ‘Il fiume degli ayu’... Eh...? Cos'è questa lunga e bizzarra iscrizione?""","""...............Bir bakalım. ""Sevgili cadım, {f:5:Beatrice}"". .........Tatlı balık nehrine bakın......bir dakika.........bu garip uzun kitabe de ne?"""
,"The plate did have the title of the portrait written on it, but it was much too big to contain only that. ","The plate did have the title of the portrait written on it, but it was much too big to contain only that.",[=UP],プレートには肖像画のタイトルが記されていたが、それだけを刻むにはあまりに大きい。,[=JP],"На плите действительно было написано название портрета, но её немалые размеры позволяли вместить что‐нибудь ещё помимо одного только названия.","A placa continha o título do retrato, mas era muito grande para conter só aquilo.",金屬板上雖然刻著肖像畫的標題，可是如果光刻這個的話就顯得太大了。,金属板上虽然刻着肖像画的标题，可是如果光刻这个的话就显得太大了。,"Plat itu memang berisi judul potret, tapi terlalu besar hanya untuk itu.","La lastra aveva il titolo del quadro scritta su di essa, ma era troppo grande per contenere solo quello.","Sulla lastra vi era scritto il titolo del ritratto, ma era troppo grande per esserci inciso solo quello.",Levhanın üzerinde portrenin başlığı yazıyordu ama sadece bunu içeremeyecek kadar büyüktü.
,Beneath the title was what appeared to be a long epitaph. ,"Beneath the title, what looked like a long epitaph was also written."," Beneath the title, what looked like an long epitaph was also written.",そしてタイトルの下には、碑文のようなものが長々と記されていた。,[=JP],"Под названием, судя по всему, было написано что‐то вроде длинной эпитафии.","Abaixo do título, tinha o que parecia ser um longo epitáfio escrito nela.",在標題的下面，刻著長長的像是碑文一樣的字。,在标题的下面，刻着长长的像是碑文一样的字。,"Di bawah judul, ada tulisan panjang yang mirip epitaf.","Al di sotto del titolo, c'era anche quella che sembrava una lunga epigrafe.","E sotto al titolo, c'era inscritta anche quella che sembrava essere una lunga epigrafe.",Başlığın altında da uzun bir kitabe gibi görünen bir şey yazılıydı.
,"If you just skimmed over it, several unnerving words would jump out at you. ","As I skimmed over it, I was taken aback by the array of unnerving words that jumped out at me."," If you just skimmed over it, several unnerving words would jump out at you.",その文言を斜め読みした時、物騒な単語がいくつも並び出してぎょっとする。,[=JP],"Стоило только коснуться её, и на тебя, словно звери из засады, прыгало несколько беспокойных слов.","Passando a mão nele, eu dei alguns passos para trás, surpreso com a quantidade de palavras perigosas contidas nele.",瀏覽了一下文字，一堆讓人不安的詞語排在一起，使我的心不禁一顫。,浏览了一下文字，一堆让人不安的词语排在一起，使我的心不禁一颤。,"Saat membacanya sekilas, aku terkejut dengan rangkaian kata-kata mengerikan yang mencolok.","Se la si sfiorava, molte inquietanti parole ti avrebbero colpito.","Guardandola di sfuggita, apparivano numerosi termini disturbanti che facevano accaponare la pelle.","Göz gezdirirken, gözüme çarpan bir dizi ürkütücü kelime beni şaşkına çevirdi."
Ushiromiya Jessica,"""Incredible, isn't it? Grandfather had that made. ...Pretty deep, huh?"" ","""Incredible, isn't it? Grandfather had that written. ...Pretty deep, huh?""",[=UP],「すげーだろ、ソレ。祖父さまが書かせたものだよ。…意味深だろ？」,[=JP],"""Удивительно, не так ли? Дедушка приказал вырезать этот текст. ...Сплошная муть, не находите?""","""Incrível, não é? O vovô que escreveu. ...É bem profundo, não acha?""",「這玩意厲害吧。是爺爺讓人寫上去的。…挺有深意的吧？」,「这玩意厉害吧。是爷爷让人写上去的。…挺有深意的吧？」,"""Luar biasa, kan? Kakek yang menyuruh buat ini. ...Cukup dalam, ya?""","""Incredibile, vero? L'ha scritta il Nonno. ... Molto profondo, eh?""","""Incredibile, eh? L'ha fatta scrivere il nonno... Molto profondo, vero?""","""İnanılmaz, değil mi? Bunu Büyükbabam yazmış. ...Oldukça derin, ha?"""
Ushiromiya Maria,"""Uu-! I know! It's the place where the gold's hidden!"" ","""Uu! I know! It's the place where the gold is hidden!""","""Uu-! Maria knows! The place where the gold is hidden!""",「うー！　真里亞知ってる！　黄金の隠し場所ー！」,[=JP],"""У‐у! Мария знает! Это место, где спрятано золото!""","""Uu! A Maria sabe! É o lugar onde o ouro está escondido!""",「嗚——！真里亞知道！藏黃金的地點——！」,「呜——！真里亚知道！藏黄金的地点——！」,"""Uu! Aku tahu! Di situlah emasnya disembunyikan!""","""Uu-! Maria lo sa! Il posto dov'è nascosto l'oro!""","""Uuh! Maria lo sa! È il nascondiglio dell'oro!""","""Uu! Maria biliyor! Altının saklı olduğu yer!"""
Ushiromiya Battler,"""...Wait, is it that story about the Ushiromiya family's hidden gold? ...Now there's another thing I remember from long ago... ...Hold on, Aniki, ...is this for real?"" ","""......Wait, is it that story about the Ushiromiya family's hidden gold? There's another thing that takes me back... ......Wait, Aniki, ...is that for real?""","""......Wait, is it that story about the Ushiromiya family's hidden gold? There's another thing that I remember from long ago......Wait, Aniki, ...is that for real?""",「……おいおい、右代宮家の隠し黄金の話か？　そりゃまた懐かしい話だな…。……ってゆーか兄貴、…これマジなのか？」,[=JP],"""......Погодите, это история о спрятанном золоте семьи Уширомия? Про это мне и так давно уже известно... Постой, Аники... Это что, правда?""","""......Espera, essa é a história sobre o ouro escondido da família Ushiromiya? Isso me faz lembrar que... ......Espera, aniki, ...isso é real?""",「……喂喂，是說那個右代宮家的藏金傳說嗎？這倒也是個懷念的話題啊……。……話說大哥啊，…這是真的麼？」,「……喂喂，是说那个右代宫家的藏金传说吗？这倒也是个怀念的话题啊……。……话说大哥啊，…这是真的么？」,"""......Tunggu, itu cerita tentang emas tersembunyi keluarga Ushiromiya? Hal lain yang mengingatkanku... ......Tunggu, Aniki, ...apa itu nyata?""","""... Aspetta, è quella storia sull'oro nascosto della famiglia Ushiromiya? {n}C'è un'altra cosa che ricordo da tempo fa... aspetta, Aniki... ma è vero?""","""...Aspetta, parli dell'oro nascosto della famiglia Ushiromiya...? Riecco una storia che non sentivo da tempo... Aspetta, fratellone... ma lui fa sul serio?""","""......Bekle, Ushiromiya ailesinin saklı altınıyla ilgili hikaye mi? Beni geçmişe götüren başka bir şey daha... ......Bekle, Aniki, ...bu gerçek mi?"""
Ushiromiya George,"""Grandfather had this made, but he never said anything about this picture or the epitaph. ......Even so, amongst the family, it is often whispered that it indicates the location of Grandfather's hidden gold...... and that he will relinquish the inheritance and the gold to the person who solves the riddle."" ","""Grandfather had this written, but he refuses to say anything about this picture or the epitaph. .........Even so, amongst the family, it is often whispered that it points to the location of Grandfather's hidden gold, and that he will relinquish the family headship and the gold to the person who solves the riddle.""","""Grandfather had this written, but he never said anything about this picture or the epitaph. ......Even so, amongst the family, it is often whispered that it points to the location of Grandfather's hidden gold, and that he will relinquish the inheritance and the gold to the person who solves the riddle.""",「これを書かせたお祖父さまは、この絵とこの碑文に関しては何も語ってくれないんだ。………でも親類たちの間では、お祖父さまの黄金の隠し場所を記したもので、この謎を解いた者に家督と黄金の全てを譲るという意味ではないかと、もっぱら囁かれてるよ。」,「これを書かせたお祖父さまは、この絵とこの碑文に関しては何も語ってくれないんだ。………でも親類たちの間では、お祖父さまの黄金の隠し場所を記したもので、この謎を解いた者に家督と黄金の全てを譲るという意味ではないかと、もっぱら囁かれてるよ」,"""Эта надпись была вырезана по приказу дедушки, но сам он никогда ничего не говорил об этой картине или эпитафии. ......Даже так, в самой семье часто шепчутся, что эпитафия указывает на место, где спрятано дедушкино золото, и он оставит наследство и золото тому человеку, который решит эту загадку.""","""O vovô escreveu isso, mas ele se recusa a dizer qualquer coisa sobre o retrato ou o epitáfio. .........Mesmo assim, dentro da família, há alguns rumores de que ele indica a localização do ouro escondido do vovô, e que ele vai passar a liderança da família e o ouro para quem resolvê‐lo.""",「命人寫下這些的爺爺，對這畫和這碑文，就連半點消息都不肯跟我們透露。………但是親戚們之間在悄悄傳著，說這碑文上會不會記載著爺爺藏黃金的地點，而爺爺的意思，會不會是要把家督與黃金，全部讓給解開這個謎的人。」,「命人写下这些的爷爷，对这画和这碑文，就连半点消息都不肯跟我们透露。………但是亲戚们之间在悄悄传着，说这碑文上会不会记载着爷爷藏黄金的地点，而爷爷的意思，会不会是要把家督与黄金，全部让给解开这个谜的人。」,"""Kakek yang membuat ini, tapi dia menolak menjelaskan tentang gambar atau epitaf ini. .........Tapi di keluarga, sering dibisikkan bahwa ini petunjuk lokasi emas tersembunyi Kakek, dan dia akan menyerahkan kepemimpinan keluarga beserta emasnya pada yang bisa memecahkan teka-teki ini.""","""Il Nonno, che ha scritto ciò, non ci ha mai detto nulla riguardo il quadro o questa iscrizione. ... Ma tra i nostri parenti, si dice spesso che indichi la locazione dell'oro nascosto del Nonno, e che lui premierà la persona che risolva questo enigma con tutto il patrimonio e l'oro.""","""Il nonno non ci ha mai detto nulla sul dipinto o su questa iscrizione che fece scrivere... Ma in famiglia si vocifera continuamente che indichi la posizione del nascondiglio dove il nonno tiene l'oro, e che a quanto pare cederà l'eredità alla persona che risolverà l'enigma, insieme a tutto l'oro.""","""Büyükbabam bunu yazdırdı ama bu resim ya da kitabe hakkında bir şey söylemeyi reddediyor. .........Yine de aile içinde bunun Büyükbabanın saklı altınlarının yerini gösterdiğinden sık sık bahsedilir, ve bilmeceyi çözen kişiye aile reisliğiyle beraber altını da bırakacağını söyledi."""
Ushiromiya Maria,"""Uu-! I heard that too, I heard that too! Lots and lots of gold!"" ","""Uu! I heard that too, I heard that too! Lots and lots of gold!""","""Uu-! Maria heard that too, Maria heard that too! Lots and lots of gold!""",「うー！　真里亞聞いた真里亞聞いた！　黄金いっぱいいっぱい！」,[=JP],"""У‐у! Мария тоже слышала, Мария тоже слышала! Много, много золота!""","""Uu! A Maria também ouviu isso, também ouviu isso! Muito, muito ouro!""",「嗚——！真里亞聽過真里亞聽過！黃金好多好多！」,「呜——！真里亚听过真里亚听过！黄金好多好多！」,"""Uu! Aku juga dengar itu, aku juga dengar! Emasnya banyak sekali!""","""Uu-! L'ha sentito anche Maria, l'ha sentito anche Maria! Tanto tanto oro!""","""Uuh! Maria lo sa, Maria lo sa! Una montagna, una montagna d'oro!""","""Uu! Maria da bunu duydu, Maria da bunu duydu! Bir sürü bir sürü altın!"""
Ushiromiya Jessica,"""...Well, something like that. Something like 10 metric tons of gold bars. I think it's fake, though."" ","""...Well, who knows, really. Ten tons of gold bars. Sounds a bit too fishy to me.""","""...Well, something like that. Something like 10 tons of gold bars. I think it's a fake, though.""",「…さてなぁ。１０ｔの金塊なんてねぇ。私ゃちょいと眉唾だけどな。」,「…さてなぁ。１０ｔの金塊なんてねぇ。私ゃちょいと眉唾だけどな」,"""...Ну, что‐то вроде этого. Где‐то около 10 тонн золота в слитках. Хотя мне кажется, что всё это липа.""","""...Bem, quem sabe, pode ser verdade. Dez toneladas de barras de ouro. Isso soa bem duvidoso pra mim.""",「…這個嘛。那可是十吨的金塊呀，我是覺得有點可疑嘞。」,「…这个嘛。那可是十吨的金块呀，我是觉得有点可疑嘞。」,"""...Yah, siapa tahu. Sepuluh ton batangan emas. Terlalu bagus untuk jadi kenyataan.""","""... Beh, una cosa del genere. Qualcosa come 10 tonnellate di lingotti d'oro. Penso sia falso, comunque.""","""...Beh, chissà. È un qualcosa come dieci tonnellate di lingotti d'oro. Comunque a me sembra un po' una balla.""","""...Yani, kim bilir. On ton külçe altın. Bana biraz fazla şüpheli geldi."""
Ushiromiya Battler,"""Still, when you read about it in an epitaph like this, it almost seems real."" ","""Still, if you read this all the way through, it almost seems real.""",[=UP],「しかしよ、こんな碑文を読んじまうと、マジかなって気になっちまぅなぁ。」,「しかしよ、こんな碑文を読んじまうと、マジかなって気になっちまぅなぁ」,"""Но всё равно, если дочитать до конца, то почти что веришь в это.""","""Ainda assim, se você ficar lendo isso, faz com que ele quase pareça real.""",「不過啊，對著這麼段碑文一讀，還真挺讓人好奇它到底是真是假誒。」,「不过啊，对着这么段碑文一读，还真挺让人好奇它到底是真是假诶。」,"""Tapi jika membaca ini sampai habis, hampir terasa nyata.""","""Però, se lo leggi per intero, sembra quasi vero.""","""Però, a leggere quest'epigrafe ti viene da chiedere se sia una roba seria.""","""Yine de, eğer bunu baştan sona okursan, neredeyse gerçek gibi görünüyor."""
