Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,"Her hair was down, and {f:5:Virgilia} was carefully tending to it with a comb. ","Her hair was down, and {f:5:Virgilia} was carefully fixing it up with a comb."," Her hair was down, and Virgilia was carefully fixing it up with a comb.",その髪を解き、ワルギリアは櫛で丁寧に手入れをしていた。,[=JP],"Её волосы были распущены, и {f:5:Вергилия} аккуратно расчёсывала их гребнем.","Seu cabelo estava caído, e {f:5:Virgilia} o penteava cuidadosamente com um pente.",解開其長髮，瓦爾基莉亞用梳子小心仔細地給她梳著頭。,解开其长发，瓦尔基莉亚用梳子小心仔细地给她梳着头。,"I suoi capelli erano sciolti, e Virgilia li stava premurosamente sistemando con un pettine."
,The usual Beato would surely have spent this time complaining about this and that regarding her hairstyle. ,"If {f:5:Beatrice} had been complaining about this and that regarding her hairstyle, then it would have been clear that she was the usual Beato."," If she had been complaining about this and that regarding her hairstyle, then it would have been clear that she was the usual Beato.",もし、髪型について、ああだこうだと彼女が文句を口にしてくれたなら、それは紛れもなく、いつものベアトであっただろう。,[=JP],"Начни Беато жаловаться на свою причёску, сразу стало бы ясно, что она всё та же Беато.","Se {f:5:Beatrice} tivesse reclamado disso e também de seu penteado, então ficaria claro que era a Beato de sempre.",如果關於髮型，她還會“應該這樣，應該那樣”地挑三揀四的話，那她就毫無疑問，是一直以來的貝阿朵吧。,如果关于发型，她还会“应该这样，应该那样”地挑三拣四的话，那她就毫无疑问，是一直以来的贝阿朵吧。,"Se si fosse lamentata di questo e quello riguardo la sua acconciatura, allora sarebbe stato chiaro che era la solita Beato."
,"...However, she made no response, showed no reaction. So it really only looked like {f:5:Virgilia} was combing the golden hair of a large doll... ","......However, she gave no responses, and showed no reactions.{n}So instead, it only looked like {f:5:Virgilia} was combing the golden hair of a large doll...","......However, she made no response, and showed no reaction. So instead, it only looked like Virgilia was combing the golden hair of a large doll...",……しかし、彼女は何も応えず、何も反応しない。だからワルギリアはまるで、大きな人形の黄金の髪を梳いているようにしか見えない…。,……しかし、彼女は何も応えず、何も反応しない。{n}だからワルギリアはまるで、大きな人形の黄金の髪を梳いているようにしか見えない…。,"......Но она не отвечала и никак не реагировала.{n}Поэтому казалось, будто {f:5:Вергилия} расчёсывает светлые волосы большой куклы...","......Porém, ela não disse nada, não demonstrou nenhuma reação.{n}Por isso, pareceu como se {f:5:Virgilia} estivesse penteando os cabelos dourados de uma boneca em tamanho natural...",……然而，她沒有任何反應，對什麼都不作出反應。{n}所以瓦爾基莉亞看起來簡直就像是，只是在梳理著一個大大的洋娃娃的黃金長髮…。,……然而，她没有任何反应，对什么都不作出反应。{n}所以瓦尔基莉亚看起来简直就像是，只是在梳理着一个大大的洋娃娃的黄金长发…。,"... Tuttavia, lei non rispose, e non mostrò alcuna reazione. Quindi invece, sembrava solo che Virgilia stesse pettinando i capelli di una grande bambola..."
,There was a table alongside them. ,"Alongside them, there was a table."," Alongside them, there was a table.",その傍らにはテーブル。,[=JP],Рядом с ними стоял стол.,Junto a elas estava uma mesa.,在這邊上，有張桌子。,在这边上，有张桌子。,"Vicino a loro, c'era un tavolo."
,"On it sat a chessboard, ...along with a jumble of black and white pieces locked in a closely-fought battle. ",On it was a chessboard...along with a mix of black and white pieces in an all‐out battle., On it was a chessboard...along with a mix of black and white pieces in an all-out battle.,卓上にはチェス盤と、入り混じり混戦する白と黒の駒たちが。,[=JP],"На нём была шахматная доска... с сочетанием чёрных и белых фигур, сошедшихся в решительной битве.","Sobre ela, um tabuleiro de xadrez...com diversas peças pretas e brancas, misturadas em uma batalha de todos contra todos.",桌上有著國際象棋盤，與攪和在一起混戰著的白黑棋子。,桌上有着国际象棋盘，与搅和在一起混战着的白黑棋子。,Su di esso una scacchiera... assieme a un misto di pezzi bianchi e neri impegnati in una battaglia all'ultimo sangue.
,"However, this setup looked somehow different from normal chess. ...Maybe the game was similar, though not identical. ","However, something about this setup looked different from normal chess.{n}...It might have been a game similar to chess but not identical."," However, something about this setup looked different from normal chess....It might have been a game similar to chess but not identical.",しかしその駒はチェスのそれとはどこか趣きが違う。…チェスとよく似た別のゲームかもしれない。,しかしその駒はチェスのそれとはどこか趣きが違う。{n}…チェスとよく似た別のゲームかもしれない。,"Вот только чем‐то эта игра отличалась от обычных шахмат.{n}...У них было много общего, но это точно были не шахматы.","Entretanto, algo em relação àquela disposição de peças parecia diferente de um xadrez ordinário.{n}...Poderia ser que fosse um jogo similar, mas não idêntico ao xadrez.",不過，這些棋子所行之步調與國際象棋中的那些有點不同。{n}…也許是盤很像國際象棋的別的遊戲也說不定。,不过，这些棋子所行之步调与国际象棋中的那些有点不同。{n}…也许是盘很像国际象棋的别的游戏也说不定。,"Tuttavia, qualcosa in questa disposizione sembrava diversa dagli scacchi normali. ... Poteva essere un gioco simile agli scacchi, ma non identico."
,"And on the other side, ...sitting back in his chair as he contemplated his next move, was a young man. ","And on the other side, ......sitting back in his chair as he contemplated his next move, was a young man."," And on the other side, ......sitting back in his chair as he contemplated his next move, was a young man.",そして向かいには、……椅子に深々と腰掛け、次の一手を熟考する青年の姿が。,[=JP],"На другой стороне...... продумывая следующий ход, на стуле сидел молодой человек.","E do outro lado, ......sentado em sua cadeira, como se contemplasse sobre seu próximo movimento, estava um jovem homem.",在這桌子的對面，……坐著一位把腰深深靠在椅子上，深思熟慮著下一步棋的青年。,在这桌子的对面，……坐着一位把腰深深靠在椅子上，深思熟虑着下一步棋的青年。,"E dall'altro lato... appoggiato allo schienale della sua sedia mentre contemplava la sua prossima mossa, c'era un giovane."
,"...No, perhaps it wasn't his next move he contemplated. ","...No, perhaps he wasn't thinking of his next move.",[=UP],…いや、次の一手ではないのかもしれない。,[=JP],"...Нет, пожалуй, он не думал о следующем ходе.","...Não, talvez ele não estivesse pensando sobre seu próximo movimento.",…不，他也許並非是在思考下一步棋。,…不，他也许并非是在思考下一步棋。,"... No, forse non stava pensando alla sua prossima mossa."
,"Every once in a while, he would change the positions of the pieces, reconsidering the situation after every change. ","Every once in a while, he would change the positions of the pieces, reconsidering the situation each time he changed it."," Every once in a while, he would change the positions of the pieces, reconsidering the situation each time he changed it.",時折、盤面の駒の配置を変え、局面を変えては再思考を繰り返す。,[=JP],"Время от времени он переставлял фигуры, каждый раз пересматривая ситуацию.","De tempos em tempos, ele mudava a posição das peças, reconsiderando a situação toda vez que mudava.",時不時地改變盤面上棋子的配置，改變局面反反覆覆地重新思考。,时不时地改变盘面上棋子的配置，改变局面反反复复地重新思考。,"Ogni tanto, cambiava la posizione dei pezzi, riconsiderando la situazione ad ogni spostamento."
,"Maybe he was reconstructing previous games, trying to discover the thought process behind the moves that had been made. ","Maybe he was reconstructing previous games, trying to discover the thought process behind those moves."," Maybe he was reconstructing previous arrangements, trying to discover the thought process behind those moves.",過去の譜面を再現し、その指し手の思考を探っているのかもしれない。,[=JP],"Возможно, воссоздавал предыдущие расстановки, выискивая мысли, скрытые за сделанными ходами.","Talvez ele estivesse reconstruindo os jogos anteriores, buscando descobrir o processo de pensamento por trás deles.",他或許是在再現過去的棋譜，探尋著對於下出此棋的思考也說不定。,他或许是在再现过去的棋谱，探寻着对于下出此棋的思考也说不定。,"Forse stava ricostruendo le disposizioni precedenti, provando a scoprire i processi logici dietro queste mosse."
,"In the past, Kinzo, the Ushiromiya Family Head, once said that learning chessboard arrangements was like taking a journey through the thoughts of the old masters. ","In the past...Kinzo, the Ushiromiya family head, once likened studying chess games to taking a journey through the thoughts of the old masters."," In the past... Kinzo, the Ushiromiya family head, once likened learning chessboard arrangements to taking a journey through the thoughts of the old masters.",かつて。右代宮家の当主、金蔵は、チェスの譜面を知ることを、過去の名人たちの思考を探る旅と例えたことがある。,[=JP],В прошлом... Кинзо — глава семьи Уширомия — однажды сравнил изучение шахматных расстановок с путешествием по разуму старых мастеров.,"No passado...Kinzo, o chefe da família Ushiromiya, gostava de estudar partidas de xadrez e fazer uma jornada através dos pensamentos de antigos mestres.",以前。右代宮家的當主金藏，曾將讀透國際象棋的棋譜，比喻為探尋過去名人們的思考的旅途。,以前。右代宫家的当主金藏，曾将读透国际象棋的棋谱，比喻为探寻过去名人们的思考的旅途。,"In passato... Kinzo, il capo della famiglia Ushiromiya, una volta aveva paragonato l'imparare gli schemi degli scacchi con l'intraprendere un viaggio attraverso i pensieri dei vecchi maestri."
,Ushiromiya Battler...was on a journey. ,Ushiromiya Battler...was on a journey., Ushiromiya Battler...was on a journey.,右代宮戦人は、旅をしている。,[=JP],Уширомия Баттлер... был в путешествии.,Ushiromiya Battler...estava em uma jornada.,右代宮戰人，正身在旅途之中。,右代宫战人，正身在旅途之中。,Ushiromiya Battler... aveva iniziato un viaggio.
,A search for the thought process...that had led the Golden Witch to create this arrangement and make these moves. ,A journey in search of the Golden Witch's thought process...which had led her to create these arrangements and make these moves.,――A journey in search of the Golden Witch's thought process...which had led her to create this arrangement and make these moves.,——この譜面を生み出し、この指し手を示した黄金の魔女の思考を探る旅に。,――この譜面を生み出し、この指し手を示した黄金の魔女の思考を探る旅に。,"Путешествии в поисках мыслей Золотой ведьмы, которые привели её к созданию такой расстановки и к таким ходам.",Uma jornada na busca do processo de pensamento da Bruxa Dourada...o que a levou a criar tais arranjos e fazer tais movimentos.,——身在，探尋創造出這棋譜，展示出這棋步的黃金魔女的思考的旅途之中。,——身在，探寻创造出这棋谱，展示出这棋步的黄金魔女的思考的旅途之中。,――Un viaggio in cerca della logica della Strega Dorata... che l'aveva portata a creare questa disposizione e fare queste mosse.
,"Battler took a black piece that should have been moved forward...and returned it to its original place, sighing deeply. ","Battler took a black piece which he had only just moved forward...and returned it to its original place, sighing deeply."," Battler took a black piece which should have been moved forward...and returned it to its original place, sighing deeply.",戦人は一手進めたはずの黒い駒を、元の場所に戻して深く溜息を漏らす。,[=JP],"Баттлер взял чёрную фигуру, которая должна была быть передвинута вперёд, и вернул её на прежнее место, глубоко вздохнув.","Battler pegou uma peça preta na qual ele havia movido apenas para frente...e a colocou de volta em sua casa original, suspirando profundamente.",戰人將本已下出的一步黑棋拿回到了原先的位置上，深深地嘆了一口氣。,战人将本已下出的一步黑棋拿回到了原先的位置上，深深地叹了一口气。,"Battler prese un pezzo nero che avrebbe dovuto essere mosso in avanti... e lo riportò alla posizione originale, sospirando profondamente."
,"Battler's pieces were white. However, on this chessboard, the black encampment was on Battler's side. He was reconstructing that arrangement, trying to play Beato's role... ","Battler's pieces were white. However, on that chessboard, the side facing Battler was Black's territory. He was stepping through the game from Beato's perspective..."," Battler's pieces were white. However, on that chessboard, Battler's side was the black encampment. He was reconstructing that arrangement, trying to play Beato's side...",戦人の駒は白だ。しかしそのチェス盤は、戦人側が黒の陣地となっていた。彼はベアト側のつもりで、譜面を再現しているのだ…。,[=JP],"Его фигуры были белыми. Но на этой шахматной доске он играл чёрными. Восстанавливая расстановку, он пытался играть со стороны Беато...","As peças de Battler eram as brancas. Contudo, naquele tabuleiro de xadrez, o lado que desafiava Battler era o território preto. Ele estava andando através dos jogos pela perspectiva de Beato...",戰人的棋子是白方。可是在這副國際象棋盤上，朝向戰人的卻是黑方的陣地。他是在站在貝阿朵方的角度上，再現著棋譜…。,战人的棋子是白方。可是在这副国际象棋盘上，朝向战人的却是黑方的阵地。他是在站在贝阿朵方的角度上，再现着棋谱…。,"Le pedine di Battler erano bianche. Tuttavia, su quella scacchiera, il lato di Battler era la zona dei neri. Stava ricostruendo quella disposizione, cercando di giocare dal punto di vista di Beato..."
Ushiromiya Battler,"""...The more I do this, the less I understand your moves."" ","""......The more I do this, the less I understand your moves.""",[=UP],「……お前の指し手は、やればやるほどに、理解できねぇぜ。」,「……お前の指し手は、やればやるほどに、理解できねぇぜ」,"""......Чем больше я это делаю, тем меньше понимаю твои ходы.""","""......Quanto mais eu faço isso, menos entendo seus movimentos.""",「……你所下出的棋，越是下下去，就越是無法理解。」,「……你所下出的棋，越是下下去，就越是无法理解。」,"""... Più lo faccio, meno capisco le tue mosse."""
,Even Battler...didn't expect that Beato would respond to that statement. ,Even Battler...didn't expect that Beato would respond to that statement.,[=UP],戦人とて、…その問い掛けにベアトが応えるとは思っていない。,[=JP],"Даже Баттлер... не ожидал, что Беато ответит на это высказывание.",Nem mesmo Battler...esperava que Beato fosse responder àquela declaração.,戰人也，…並不覺得，貝阿朵會對這話作出回應。,战人也，…并不觉得，贝阿朵会对这话作出回应。,Anche Battler... non si aspettava che Beato rispondesse a quell'affermazione.
,"Or rather...he was pretending to talk to himself, ...thinking there might still be some chance of her responding. ","No, ......he was still holding onto the hope that there might be a chance of her responding, and had only made it sound as though he was talking to himself."," No, ......thinking that there might still be a chance of her responding, ...he had spoken that as though talking to himself.",いや、……それでもひょっとしたら応えてくれるかもしれないと思って、…独り言を装い、口にした。,[=JP],"Нет...... думая, что ещё может быть шанс на её ответ, ...он сказал это, будто разговаривая сам с собой.","Não, ......ele ainda se apegava à esperança de que ela pudesse responder, e apenas fez parecer que estava falando consigo mesmo.",不，……他是即便如此還是想著，搞不好貝阿朵或許會答一下話，…而假裝自言自語地將此說出了口。,不，……他是即便如此还是想着，搞不好贝阿朵或许会答一下话，…而假装自言自语地将此说出了口。,No... pensando che ci sarebbe stata la possibilità di una sua risposta... aveva parlato come rivolgendosi a se stesso.
,Beato's eyes...reflected nothing. And her mouth told nothing. ,Beato's eyes......reflected nothing.{n}And her mouth told nothing.," Beato's eyes, ......reflected nothing. And her mouth told nothing.",ベアトは、……その瞳に、何も映さない。そしてその口が、何を語ることもない。,ベアトは、……その瞳に、何も映さない。{n}そしてその口が、何を語ることもない。,В глазах Беато...... ничего не отразилось.{n}И с её губ ничего не слетело.,Os olhos de Beato......refletiam o nada.{n}Sua boca nada dizia.,貝阿朵，……的雙瞳中，什麼都沒有。{n}而她的口中，也什麼都不會說。,贝阿朵，……的双瞳中，什么都没有。{n}而她的口中，也什么都不会说。,Gli occhi di Beato... non riflettevano nulla. E la sua bocca non diceva nulla.
{f:5:Beatrice},"""....................."" ","""........................""",[=UP],「…………………………………。」,「…………………………………」,[=UP],[=UP],[=JPC],[=JPC],"""..."""
