Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,"After noticing a burnt smell, it was natural that Kumasawa, who had just been using the burner in the kitchen, suspected that her own slip-up had caused it. Kumasawa hastily dashed away. ","After noticing a burnt smell, it was natural that Kumasawa, who had just been cooking in the kitchen, suspected that her own clumsiness had caused it. Kumasawa hastily dashed away.","After noticing a burnt smell, it was natural that Kumasawa, who had just been using the fire in the kitchen, suspected that her own clumsiness had caused it. Kumasawa hastily dashed away.",焦げた臭いがすれば、さっきまで厨房で火を扱った熊沢が、真っ先に自分の不手際かと疑いたくなるのも当然だった。熊沢はあたふたと駆け出していく。,[=JP],"Логично, что, ощутив запах гари, Кумасава, которая недавно готовила на кухне, заподозрила, что он был вызван её рассеянностью. Она поспешила откланяться.","Após perceber o cheiro de queimado, era natural que a Kumasawa, que estava cozinhando há pouco, suspeitasse que sua falta de cuidado na cozinha tivesse causado isso. Kumasawa apressadamente saiu correndo.",因為是焦味，所以剛才一直在廚房用火的熊澤，理所當然地立刻懷疑是自己有疏忽。她慌慌張張地向廚房跑去。,因为是焦味，所以刚才一直在厨房用火的熊泽，理所当然地立刻怀疑是自己有疏忽。她慌慌张张地向厨房跑去。,"Essendosi accorta di un odore di bruciato, è naturale che Kumasawa, che aveva appena usato il fuoco in cucina, sospettasse che l'avesse causato la propria sbadataggine. Kumasawa scattò via rapidamente.","Era naturale per Kumasawa che, dopo aver sentito un odore di bruciato, sospettasse che fosse dovuto alla propria sbadataggine, avendo operato ai fornelli in cucina fino a poco prima. E così, scattò via precipitosamente.","Yanık kokusunu fark ettikten sonra, mutfakta yemek pişirmekte olan Kumasawa'nın buna kendi sakarlığının neden olduğundan şüphelenmesi doğaldı. Kumasawa aceleyle fırladı."
Ronoue Genji,"""...Kanon, go with Kumasawa. Do not let her be alone."" ","""......Kanon, go with Kumasawa. Do not let her be alone.""",[=UP],「……嘉音、熊沢と行きなさい。ひとりにさせないように。」,「……嘉音、熊沢と行きなさい。ひとりにさせないように」,"""......Канон, иди вместе с Кумасавой. Не оставляй её одну.""","""......Kanon, vá com a Kumasawa. Não a deixe sozinha.""",「……嘉音，你和熊澤一起去。不要讓她一個人行動。」,「……嘉音，你和熊泽一起去。不要让她一个人行动。」,"""... Kanon, vai con Kumasawa. Non lasciarla sola.""","""...Kanon, vai con Kumasawa. Non lasciarla sola.""","""......Kanon, Kumasawa ile git. Yalnız kalmasına izin verme."""
Kanon,"""Y-Yes...!"" ","""Y‐yes...!""","""Y, yes...!""",「は、はい…！」,[=JP],"""С‐слушаюсь!..""","""S‐Sim...!""",「好、好的…！」,[=CHT],"""S-Sì...!""","""V-Va bene...!""","""T-Tamam...!"""
,"After nodding at Genji's order, Kanon followed after her. ...He wasn't running, but as he followed her, he tried to search for the cause of the smell in other directions as well. ","After nodding at Genji's order, Kanon went chasing after her.{n}...The others, although they did not run, also followed in order to search for the source of the smell.","After nodding at Genji's order, Kanon followed after her....He wasn't running, but as he followed her, he tried to search for the cause of the smell in other directions as well.",源次の指示に頷き、嘉音は後を追っていった。…走るわけではないが、それ以外の面々も臭い元を探すため、その後を追った。,源次の指示に頷き、嘉音は後を追っていった。{n}…走るわけではないが、それ以外の面々も臭い元を探すため、その後を追った。,"Ответив кивком на приказ Генджи, Канон рванул за ней.{n}...Остальные, хоть и не побежали, но проследовали за ними, чтобы обнаружить источник запаха.","Após acatar à ordem de Genji, Kanon apressou‐se em correr atrás dela.{n}...Os outros, apesar de não terem corrido, também os seguiram com o intuito de descobrir a origem do cheiro.",嘉音對源次點了點頭，追趕熊澤而去。{n}…雖然其他人並沒有跑起來，但為了尋找臭味的源頭，也都跟在後面。,嘉音对源次点了点头，追赶熊泽而去。{n}…虽然其他人并没有跑起来，但为了寻找臭味的源头，也都跟在后面。,"Dopo aver annuito all'ordine di Genji, Kanon la seguì. ... Non stava correndo, ma seguendola, tentò di trovare anche nelle altre direzioni la causa del tanfo.","Kanon annuì all'ordine di Genji, per poi seguirla... Anche il resto del gruppo la accompagnò, seppur non correndo, in modo da cercare la fonte della puzza.","Genji'nin emrini başıyla onayladıktan sonra, Kanon onun peşinden gitti.{n}...Diğerleri de koşmasalar da kokunun kaynağını aramak için onu takip ettiler."
Ushiromiya Maria,"""...Uu-. Stinks. ...Uuu--."" ","""...Uu. Stinky. ......Uuu.""","""...Uu-. Stinks. ......Uuu--.""",「…うー。臭い。……うーー。」,「…うー。臭い。……うーー」,"""...У‐у. Воняет. ......У‐у‐у.""","""...Uu. Fedido. ......Uuu.""",「…嗚——。好臭。……嗚——」,「…呜——。好臭。……呜——」,"""... Uu-. Puzza. ... Uuu--.""","""...Uuh. Puzza... Uuuuuh.""","""...Uu. Pis koku. ......Uuu."""
Ushiromiya Natsuhi,"""It truly is...a stench that makes the nose wrinkle. ...However, that doesn't mean we can just open a window for ventilation..."" ","""It truly is......a stench that makes the nose wrinkle. ...However, I am not sure it would be safe to open a window for ventilation...""","""It truly is......a stench that makes the nose wrinkle. ...However, that doesn't mean we can just open a window for ventilation...""",「これは確かに……、鼻が曲がりそうな臭いですね。…しかし換気のために窓を開けてもいいものか…。」,「これは確かに……、鼻が曲がりそうな臭いですね。…しかし換気のために窓を開けてもいいものか…」,"""Действительно... Такая вонь, что невольно морщишься. ...Однако я не уверена, что сейчас безопасно открывать окна для того, чтобы проветрить...""","""Isso realmente é......um cheiro que faz você torcer o nariz. ...Porém, eu não sei se seria seguro abrir uma janela para ventilação...""",「這味道還真是……，鼻子都快要變形了。…不過開窗換氣會不會有問題呢…」,「这味道还真是……，鼻子都快要变形了。…不过开窗换气会不会有问题呢…」,"""È davvero... un fetore che fa storcere il naso. ... Però, non possiamo aprire le finestre per mandarlo via...""","""È davvero... un fetore che fa storcere il naso... Magari potremo aprire le finestre per fare aria...?""","""Gerçekten de......insanın burnunu buruşturacak kadar pis bir koku. ...Ancak, havalandırma için bir pencere açmanın güvenli olacağından şüpheliyim..."""
,Natsuhi was reluctant to open the windows in a situation where self-defense was so important. ,Natsuhi was reluctant to open the windows in a situation where self‐defense was so important.,Natsuhi was reluctant to open the windows in a situation where self-defense was so important.,夏妃は、防犯上の都合から窓を開けることを渋る。,[=JP],"Нацухи не хотела открывать окна в ситуации, когда самооборона была так важна.",Natsuhi estava relutante em abrir uma janela em uma situação onde a defesa pessoal era tão importante.,夏妃出於安全考慮，對開窗還是有些顧慮。,夏妃出于安全考虑，对开窗还是有些顾虑。,Natsuhi era riluttante ad aprire le finestre in una situazione dove difendersi dai criminali era così importante.,"Per ragioni di sicurezza, Natsuhi era riluttante ad aprire le finestre.",Natsuhi kendini savunmanın bu kadar önemli olduğu bir durumda pencereleri açmak konusunda isteksizdi.
Ronoue Genji,"""......Let us run the fan. I do not believe there will be any need to open the windows."" ","""......Let us run the fan. I do not believe there will be any need to open the windows.""",[=UP],「……換気扇を回させましょう。窓を開ける必要はないと思います。」,「……換気扇を回させましょう。窓を開ける必要はないと思います」,"""......Позвольте включить вентилятор. Я не думаю, что открывать окна будет необходимо.""","""......Deixe que liguemos o ventilador. Eu acho que não há a necessidade de abrir nenhuma das janelas.""",「……開換氣扇吧。我覺得不必開窗。」,「……开换气扇吧。我觉得不必开窗。」,"""... Accendiamo il ventilatore. Non penso ci sia alcun bisogno di aprire le finestre.""","""...Azioneremo la ventilazione. Non ritengo necessario aprire le finestre.""","""......Vantilatörü çalıştıralım. Pencereleri açmaya gerek olduğunu düşünmüyorum."""
Ushiromiya Battler,"""...George-aniki, ...is it okay if I talk to you?"" ","""...George‐aniki. ......Is it okay if I talk to you?""","""...George-aniki. ......Is it okay if I talk to you?""",「…譲治の兄貴。……話し掛けても大丈夫かよ？」,[=JP],"""...Джордж‐аники. ......Не хочешь немного поговорить?""","""...George‐aniki. ......Podemos conversar um pouco?""",「…讓治大哥。……我可以和你說會兒話嗎？」,「…让治大哥。……我可以和你说会儿话吗？」,"""... George-aniki. ... Posso parlarti?""","""...Fratellone George... Posso parlarti?""","""...George-aniki. ......Seninle konuşmamın bir sakıncası var mı?"""
Ushiromiya George,"""...If it's about finding the culprit, then I have no problems."" ","""......If it's about finding the killer, then I have no problems.""","""......If it's about finding the culprit, then I have no problems.""",「……犯人を探す相談なら構わないよ。」,「……犯人を探す相談なら構わないよ」,"""......Если это насчёт поисков убийцы, то я не против.""","""......Se você quer falar sobre como encontraremos o assassino, então eu não me importo.""",「……如果要和我商量如何找出犯人的話，請便。」,「……如果要和我商量如何找出犯人的话，请便。」,"""... Se riguarda il trovare il colpevole, allora non ho problemi.""","""...Se si tratta di chiedermi consigli per scovare il colpevole, fai pure.""","""......Eğer katili bulmakla ilgiliyse, benim için sorun yok."""
,It seemed that George had managed to climb out of the abyss of sorrow. ,It seemed that George had already climbed out of the abyss of his sorrow.,It seemed that George still hadn't climbed out of the abyss of his sorrow.,譲治はもう悲しみの淵からは這い上がっているようだった。,[=JP],"Джордж, похоже, уже выбрался из глубин своей печали.",Parecia que o George já havia escalado o abismo da sua própria tristeza.,讓治似乎已經從悲傷的深淵裡爬上來了。,让治似乎已经从悲伤的深渊里爬上来了。,Sembrava che George non fosse ancora risalito dagli abissi della sua disperazione.,Sembrava che George non si fosse ancora ripreso dal baratro della sua disperazione...,George çoktan üzüntü uçurumundan kurtulmuş gibi görünüyordu.
,...All that filled his chest now was the quiet flame of hatred towards the culprit who had stolen the lives of the one he loved and his beloved parents. ,...All that filled his chest now was the quiet flame of hatred towards the killer who had stolen the lives of his beloved parents.,...All that filled his chest now was the quiet flame of hatred towards the culprit who had stolen the lives of his beloved parents.,…今、譲治の胸を満たしているのは、自分の愛した人と両親の命を奪った犯人を憎む静かなる炎の感情だけだ。,[=JP],"...Его грудь наполнял лишь безмолвный огонь ненависти к убийце, лишившему жизней его любимых родителей.",...Tudo dentro do peito dele agora era uma silenciosa chama de ódio contra o assassino que roubara a vida de seus amados pais.,…被犯人奪走了自己愛人和雙親的生命，此刻充滿讓治胸膛的，只有對於犯人無聲火焰般的憎恨之情。,…被犯人夺走了自己爱人和双亲的生命，此刻充满让治胸膛的，只有对于犯人无声火焰般的憎恨之情。,... Tutto ciò che riempiva il suo petto ora era la quieta fiamma del rancore per il colpevole che aveva rubato le vite dei suoi amati genitori.,"In quel momento, il suo petto era avvolto unicamente dalla quieta fiamma dell'odio nei confronti del colpevole, che aveva smorzato la vita della sua amata e dei suoi genitori.","...Artık göğsünü dolduran tek şey, sevgili anne ve babasının hayatlarını çalan katile karşı duyduğu nefretin sessiz aleviydi."
Ushiromiya Battler,"""...The chain for this room was set. ...From what I could tell by looking at it, I'm positive that it couldn't be opened from the outside. ...In other words, this was a perfect closed room."" ","""...The chain for the room was set. ...From what I could tell by looking at it, I'm positive that it couldn't be opened from the outside. ......In other words, that means it was a perfect locked room.""","""...The chain for this room was set. ...From what I could tell by looking at it, I'm positive that it couldn't be opened from the outside. ......In other words, this was a perfect closed room.""",「…部屋にはチェーンが掛かってた。…さっき構造を見たが、とても外から細工できる代物じゃねぇ。……つまり、完璧な密室だったってぇことだ。」,「…部屋にはチェーンが掛かってた。…さっき構造を見たが、とても外から細工できる代物じゃねぇ。……つまり、完璧な密室だったってぇことだ」,"""...Дверь комнаты была закрыта на цепочку. ...Если судить по тому, что я видел, можно сказать, что её невозможно открыть снаружи. ......Другими словами, это была идеальная закрытая комната.""","""...A corrente da porta do quarto estava posta. ...Do que eu posso dizer somente por olhar para ela, estou certo que ela não podia ser aberta pelo lado de fora. ......Em outras palavras, isso significa que era um quarto fechado perfeito.""",「…房間裡掛著鏈條鎖。…我剛才看了下構造，並不是可以從外側做手腳的水貨。……也就是說，是個完美的密室。」,「…房间里挂着链条锁。…我刚才看了下构造，并不是可以从外侧做手脚的水货。……也就是说，是个完美的密室。」,"""... La catena di questa stanza era inserita. ... Ho visto com'era messa soltanto un momento fa, ma sono sicuro che non potesse essere aperta dall'esterno. ... In altre parole, era una perfetta camera chiusa.""","""...La catenella della stanza era stata montata... Prima ho visto come era disposta, ma non è qualcosa che può essere maneggiata dall'esterno... In altre parole, era in tutto e per tutto una camera chiusa.""","""...Odanın zinciri sabitlenmişti. ...Bakarak söyleyebildiğim kadarıyla, dışarıdan açılamayacağından eminim. ......Yani, bu mükemmel bir kilitli oda olduğu anlamına geliyor."""
Ushiromiya George,"""......That does seem to be the case. In the case of the rose garden storehouse, they might've sneaked the shutter's key out of the servant room, or maybe they had a duplicate key. ...I can imagine many ways they could've done it. ",""".........Yes, it does. In the case of the rose garden storehouse, they might have sneaked the shutter's key out of the servant room, or maybe they had a duplicate key... I can imagine many ways they could've done it.""",""".........That makes sense. In the case of the rose garden storehouse, they might have sneaked the shutter's key out of the servant room, or maybe they had a duplicate key. ...I can imagine many ways they could've done it. ",「………そうなるね。薔薇庭園の倉庫の時は、シャッターの鍵を使用人室からこっそりと持ち出したのだろうとか、あるいは複製の鍵を持っていた可能性とか、いくつか方法が想像できた。,「………そうなるね。薔薇庭園の倉庫の時は、シャッターの鍵を使用人室からこっそりと持ち出したのだろうとか、あるいは複製の鍵を持っていた可能性とか、いくつか方法が想像できた」,""".........Пожалуй, что так. В случае с кладовой розария, они могли выкрасть ключ от подъёмной двери из комнаты прислуги, или же у них был дубликат. ...Я могу представить много способов, как они могли это сделать.""",""".........Sim, é verdade. No caso do depósito do jardim de rosas, ele pode ter roubado a chave do {i:shutter} na sala dos serviçais, ou talvez ele tinha uma chave dupla... Eu consigo pensar em vários jeitos diferentes para explicar como ele fez isso.""",「………是這樣呢。在玫瑰庭園倉庫的時候，我們還能想出偷偷從傭人室裡拿走卷閘門的鑰匙，或者犯人可能帶著複製的鑰匙等各種作案手法。」,「………是这样呢。在玫瑰庭园仓库的时候，我们还能想出偷偷从佣人室里拿走卷闸门的钥匙，或者犯人可能带着复制的钥匙等各种作案手法。」,"""... Ha senso. Nel caso del capanno del roseto, avrebbero potuto trafugare la chiave della saracinesca dalla stanza dei domestici, magari ne avevano un duplicato. ... Riesco a immaginare molti modi con cui avrebbero potuto farlo.","""...Così pare. Nel caso del magazzino del roseto, si potevano pensare a diversi metodi, come il trafugare di nascosto dalla stanza per i domestici la chiave della saracinesca, oppure potevano possedere un duplicato della chiave...""",""".........Evet, öyle. Gül bahçesi ambarı söz konusu olduğunda, kepengin anahtarını hizmetkâr odasından gizlice çıkarmış olabilirlerdi, ya da belki de yedek bir anahtarları vardı... Bunu yapabilecekleri birçok yol hayal edebiliyorum."""
Ushiromiya George,"......But this chain is different. Among generally used locking techniques, a chain is the simplest one to create a closed room with."" ",""".........But this chain is different. Among generally used locking techniques, a chain is the simplest one to create a locked room with.""",".........But this chain is different. Among generally used locking techniques, a chain is the simplest one to create a closed room with.""",………でも、チェーンは違う。チェーンは一般に浸透した施錠方法の中で、もっともシンプルに密室を構築できる。」,「………でも、チェーンは違う。チェーンは一般に浸透した施錠方法の中で、もっともシンプルに密室を構築できる」,""".........Но с этой цепочкой дело обстоит иначе. Среди обычных методов запирания, цепочка — наиболее простой способ создать закрытую комнату.""",""".........Mas a corrente da porta é diferente. Entre as diferentes formas de se trancar algo, uma corrente é o mais simples a ser usado para se criar um quarto fechado.""",「………但是，鏈條鎖可不一樣。在一般為人熟知的上鎖方法之中，鏈條鎖是最能簡單乾脆地構築密室的一種。」,「………但是，链条锁可不一样。在一般为人熟知的上锁方法之中，链条锁是最能简单干脆地构筑密室的一种。」,"... Ma questa catena è diversa. Tra tutte le tecniche usate generalmente per chiudere qualcosa, una catena è il modo più semplice per creare una camera chiusa.""","""Ma con la catenella è diverso. Tra tutte le metodologie di bloccaggio note al grande pubblico, impiegare una catena è quella più semplice per creare una camera chiusa.""",""".........Ama bu zincir farklı. Genel olarak kullanılan kilitleme teknikleri arasında zincir, kilitli bir oda yaratmak için en basit olanıdır."""
