Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES),Arabic (AR)
,"......Probably that's understandable, I had to tell myself, to stop myself from feeling somehow...sad and hurt.","...I couldn't satisfy myself with the thought that this was just inevitable, and it felt sad and painful for some reason. ","......That was probably reasonable as well, but being unable to satisfy myself, ...was sad and painful for some reason.",……それも無理からぬことだろうと、自分を納得させないと、…なぜか悲しくて辛かった。,[=JP],"......Такого, впрочем, вполне следовало ожидать, но от этой неудачи на душе у меня почему‐то стало горько и больно.","......Eu não consegui satisfazer a mim mesma de que isso era inevitável...e, por algum motivo, me senti triste e deprimida.",……若是不对自己说“这也是没办法的事”，…就会不禁悲从中来。,……若是不對自己說“這也是沒辦法的事”，…就會不禁悲從中來。,"... Anche questo è piuttosto logico, ma incapace di soddisfarmi... per qualche ragione fu triste e doloroso.",... No podía convencerme de que esto era inevitable... y por alguna razón me sentía triste y deprimida., ﺭﺑﻤﺎ ﻫﺬﺍ ﺃﻣﺮٌ ﻻ ﻣﻔﺮ ﻣﻨﻪ، ﻛﺎﻥ ﻋﻠﻲّ ﺃﻥ ﺃﻗﻨﻊ ﻧﻔﺴﻲ ﺑﺬﻟﻚ، ﻭﺇﻻ…ﻟﺸﻌﺮﺕُ ﺑﺤﺰﻥ ﻭﺃﻟﻢ ﻏﺮﻳﺒﻴﻦ......
,".........Ah, but I at least remember one thing.","......Ah, but I at least remember one thing. ",[=UP],………あぁ、でも、これだけは覚えてる。,[=JP],".........Ах, но, по‐крайней мере, я помнила одну вещь.",".........Ah, mas ao menos de uma coisa eu lembro.",………啊——，不过，有样东西还记得。,………啊——，不過，有樣東西還記得。,"... Ah, ma almeno ricordo una cosa.","... Ah, pero al menos recuerdo una cosa.", ﻟﻜﻨﻨﻲ ﻋﻠﻰ ﺍﻷﻗﻞ ﺃﺗﺬﻛﺮ ﺷﻴﺌًﺎ ﻭﺍﺣﺪًﺍ.........
,"You could say that it would probably be the same anywhere on the sea, ......but at least this one thing, I do remember.","You might say that it'd probably be the same anywhere on the sea, ...but I remember at least one thing. ","You could say that it would probably be the same anywhere on the sea, ......but I remember at least one thing.",海ならどこでも同じだろうと言われればそれまでだが、……これだけは覚えてる。,[=JP],"Такие звуки, наверное, можно услышать где угодно на море, но эта деталь врезалась мне в память.","Você poderia dizer que isto é igual em qualquer parte do mar, ......ao menos lembro disso.",虽说在海上的任何地方，这都是一样的，……但这个我还记得。,雖說在海上的任何地方，這都是一樣的，……但這個我還記得。,Si potrebbe dire che probabilmente è uguale in ogni parte del mare... ma ricordo almeno una cosa.,"Se podría decir que es lo mismo en cualquier parte del mar... pero al menos esto, sí lo recuerdo.", ﻗﺪ ﻳﻘﻮﻝ ﻗﺎﺋﻞ ﺇﻥ ﻛﻞ ﺍﻟﺒﺤﺎﺭ ﻣﺘﺸﺎﺑﻬﺔ، ......ﻭﻟﻜﻨﻲ ﻋﻠﻰ ﺍﻷﻗﻞ ﺃﺗﺬﻛﺮ...
,The cries...of the seagulls. I do remember those.,The cries... of the seagulls. I do remember...those. ,The cries...of the seagulls.I do remember...those.,うみねこの、鳴き声。これだけは、覚えている。,[=JP],Крики... чаек. Я помню... их.,O choro...das gaivotas. Eu lembro dele.,海猫的，鸣叫声。仅此一样，还记得。,海貓的，鳴叫聲。僅此一樣，還記得。,Il verso... dei gabbiani. Me lo ricordo... quello.,El llanto... de las gaviotas. Eso sí... lo recuerdo., ﻧﻮﺍﺡ... ﺍﻟﻨﻮﺍﺭﺱ. ﻫﺬﺍ ﻣﺎ ﻟﻦ ﺃﻧﺴﺎﻩ ﺃﺑﺪًﺍ.
,......I almost never went to the ocean when I was young.,"...When I was young, I rarely went to the ocean. ","......When I had been young, I'd rarely gone to the ocean.",……幼かった私にとって、海は滅多に行かない場所。,[=JP],"......Когда я была маленькой, мне редко доводилось плавать по океану.",......Eu quase nunca fui à praia quando era criança.,……对幼年时的我来说，大海是极少有机会去的地方。,……對幼年時的我來說，大海是極少有機會去的地方。,"... Quando ero piccola, raramente andavo verso l'oceano.","... Cuando era más joven, rara vez iba al océano.", ﺑﺎﻟﻜﺎﺩ ﻛﻨﺖُ ﺃﺫﻫﺐ ﺇﻟﻰ ﺍﻟﻤﺤﻴﻂ ﻓﻲ ﺻﻐﺮﻱ......
,"...So, to me, everything that symbolized the ocean meant Rokkenjima, and my family getting together.",...So everything that symbolized the ocean meant Rokkenjima and a family gathering to me. ,...So everything that symbolized the ocean meant Rokkenjima and a family gathering to me.,…だから、海にかかわる記号の全ては、六軒島と親族の集まりを意味した。,[=JP],"Поэтому всем, с чем у меня ассоциировался океан, были Роккенджима и семейное собрание.","...Por isso, para mim, tudo que simboliza o oceano era Rokkenjima, e minha família se reunindo.",…所以，与海有关的所有记号，全都意味着六轩岛、亲戚聚会。,…所以，與海有關的所有記號，全都意味著六軒島、親戚聚會。,... Quindi ogni cosa che simboleggiava l'oceano per me significava Rokkenjima e la riunione della famiglia.,"... Así que, para mí, todo lo que simbolizaba el océano significaba Rokkenjima y una reunión familiar.", ﻟﺬﺍ ﻛﺎﻥ ﻛﻞُّ ﻣﺎ ﺭُﻣِﺰ ﺇﻟﻰ ﺍﻟﻤﺤﻴﻂ ﻳﻌﻨﻲ ﻟﻲ ﺭﻭﻛﻴﻨﺠﻴﻤﺎ، ﻭﻟﻢَّ ﺷﻤﻞ ﻋﺎﺋﻠﺘﻲ...
,"In short, ......it was a symbol for the happiness of going out with my family.","In short, ...it was a symbol for the happiness of going out with my family. ",[=UP],早い話が、……家族でお出掛けという幸せの記号だったわけだ。,[=JP],"В общем, он являлся символом счастливого времени, проводимого с моей семьёй.","Resumindo, ......sair com a minha família simbolizava a felicidade.",简单来讲，……它们就是代表着一家人出门玩的，幸福的记号。,簡單來講，……它們就是代表著一家人出門玩的，幸福的記號。,In breve... era il simbolo della felicità di uscire con la mia famiglia.,En resumen... era un símbolo de la felicidad de salir con mi familia., ﺑﺎﺧﺘﺼﺎﺭ، ......ﻛﺎﻥ ﺭﻣﺰًﺍ ﻟﺴﻌﺎﺩﺓ ﺍﻟﺨﺮﻭﺝ ﻣﻊ ﻋﺎﺋﻠﺘﻲ.
,"However, at this point in time, it even seems doubtful whether that was happiness at all.","However, at this point in time, it seems doubtful whether that even was happiness. ","However, at this point in time, it seems doubtful whether that even was happiness.",もっとも、今となっては、その幸せ、というのも疑わしい。,[=JP],"Однако теперь я начинаю сомневаться, а было ли то время счастьем.","Antigamente, e até hoje, essa felicidade parece duvidosa.",不过说到底，到了现在，就连这幸福都显得挺可疑的。,不過說到底，到了現在，就連這幸福都顯得挺可疑的。,"Tuttavia, a questo punto, sembra persino messo incerto se quella fosse felicità.","Sin embargo, en este momento, me resulta dudoso si eso siquiera era felicidad.", ﻭﻣﻊ ﺫﻟﻚ، ﻓﻲ ﻫﺬﺍ ﺍﻟﻮﻗﺖ، ﺑﺎﺕ ﻣﻦ ﺍﻟﻤﺸﻜﻮﻙ ﻓﻴﻪ ﺇﻥ ﻛﺎﻧﺖ ﺗﻠﻚ ﺳﻌﺎﺩﺓً ﺃﺻﻼً.
,"In my younger days, the trip had felt like a relaxed family vacation, but considering my parents' situation at the time, it was surely a very difficult trip to handle, with the distribution of the inheritance filling the place with the smell of flaring tempers and fuses about to blow.","In my younger days, the trip had felt like a relaxed family vacation, but considering my parents' situation at the time, it was surely a very difficult trip to handle, with the distribution of the inheritance filling the place with the smell of gunpowder. ","In my younger days, the trip had felt like a relaxed family vacation, but considering my parents' situation at the time, it was surely a very difficult trip to handle, with the distribution of the inheritance filling the place with the smell of gunpowder.",幼い私には気楽な家族旅行気分だったが、両親たちの当時の都合から想像するならば、遺産分配で火薬の臭いが立ち込める、さぞや世知辛い旅行だったに違いない。,[=JP],"В дни, когда я была гораздо моложе, такая поездка воспринималась мною как отдых вместе с семьёй, однако теперь, принимая во внимание ситуацию, с которой приходилось иметь дело моим родителям, я понимаю, каким испытанием это было для них, сидящих на пороховой бочке под названием делёжка наследства.","Na minha infância, a viagem era algo como férias para a família descansar, mas considerando a situação dos meus pais na época, era realmente uma viagem muito difícil de se fazer, com o assunto da distribuição da herança preenchendo o lugar, com o cheiro de ânimos acirrados como pólvora.",虽然幼小的我无忧无虑地把这当成了家庭旅行，但从当时双亲的近况上来想，这想必是趟因遗产分配一事而充满了火药味的艰辛之旅吧。,雖然幼小的我無憂無慮地把這當成了家庭旅行，但從當時雙親的近況上來想，這想必是趟因遺產分配一事而充滿了火藥味的艱辛之旅吧。,"Nella mia giovinezza, il viaggio sembrava come una vacanza di famiglia, ma considerando la situazione dei miei genitori al tempo, di certo era un viaggio molto difficile da gestire, con la distribuzione dell'eredità che riempiva il posto con l'odore della polvere da sparo.","En mi juventud, el viaje me parecía unas relajadas vacaciones familiares, pero teniendo en cuenta la situación de mis padres en aquel momento, seguramente era un viaje difícil de manejar, con la distribución de la herencia llenando el lugar con olor a pólvora.", ﺑﺎﻟﻨﺴﺒﺔ ﻟﻲ ﻛﻄﻔﻠﺔ، ﻛﺎﻧﺖ ﻣﺠﺮﺩ ﺭﺣﻠﺔ ﻋﺎﺋﻠﻴﺔ ﻣﻤﺘﻌﺔ، ﻭﻟﻜﻦ ﺑﺎﻟﻨﻈﺮ ﺇﻟﻰ ﻇﺮﻭﻑ ﻭﺍﻟﺪﻱّ ﻓﻲ ﺫﻟﻚ ﺍﻟﻮﻗﺖ، ﻓﻼ ﺑﺪ ﺃﻧﻬﺎ ﻛﺎﻧﺖ ﺭﺣﻠﺔ ﻗﺎﺳﻴﺔ ﺗﻔﻮﺡ ﻣﻨﻬﺎ ﺭﺍﺋﺤﺔ ﺍﻟﺒﺎﺭﻭﺩ ﺑﺴﺒﺐ ﺗﻘﺴﻴﻢ ﺍﻟﻤﻴﺮﺍﺙ.
,"I can remember giggling all over the place, completely ignorant of my parents' feelings...","I can remember giggling all over the place, completely ignorant of my parents' feelings... ",[=UP],親の気持ちなど知りもせず、きゃっきゃと浮かれていた当時を、思い出す…。,[=JP],"Я помню, как всюду хихикала, совершенно не понимая их положения и чувств.","Eu consigo me lembrar de ficar rindo por todos os cantos, completamente ignorante dos sentimentos dos meus pais...",我想起了自己当时不知父母心事，瞎高兴的情景…。,我想起了自己當時不知父母心事，瞎高興的情景…。,"Riesco a ricordami che andavo in giro ridacchiando, ignorando completamente i sentimenti dei miei genitori...","Recuerdo haber estado riendo por todo el lugar, ignorando completamente lo que sentían mis padres...", ...ﺃﺗﺬﻛﺮ ﻛﻴﻒ ﻛﻨﺖ ﺃﻟﻬﻮ ﻭﺃﻣﺮﺡ ﻭﻗﺘﻬﺎ، ﺟﺎﻫﻠﺔً ﺑﻤﺸﺎﻋﺮ ﻭﺍﻟﺪﻱّ...
Amakusa Juuza,"""Rokkenjima, ......is it. The beginning of everything, and the last stop for all journeys.""","""...Rokkenjima, huh? The place of all beginnings, and the end of the line for all journeys."" ","""Rokkenjima, ......is it.  The beginning of everything, and the last stop for all journeys.""",「六軒島、……ですかい。全ての始まりで、全ての旅の終着駅ってわけだ。」,「六軒島、……ですかい。全ての始まりで、全ての旅の終着駅ってわけだ」,"""Роккенджима, значит... Начало всего и последняя остановка всех путешествий.""","""Rokkenjima, ......está logo ali. O início de tudo, a última parada de todas as jornadas.""",「六轩岛，……么？它既是一切的开端，也是一切旅程的终点啊。」,「六軒島，……麼？它既是一切的開端，也是一切旅程的終點啊。」,"""Rokkenjima... eccola. L'inizio di tutto, e l'ultima fermata di tutto il viaggio.""","""Rokkenjima... eh. El comienzo de todo y la última parada de todos nuestros viajes.""","""ﺭﻭﻛﻴﻨﺠﻴﻤﺎ، ......ﺇﺫًﺍ. ﻫﻨﺎ ﺑﺪﺃ ﻛﻞُّ ﺷﻲﺀ، ﻭﻫﻨﺎ ﺗﻨﺘﻬﻲ ﻛﻞُّ ﺍﻟﺮﺣﻼﺕ."""
,Amakusa tried too hard in an attempt to speak for my innermost feelings.,"Amakusa, in an attempt to speak for my innermost feelings, tried to sound cool. ","Amakusa, in an attempt to speak for my innermost feelings, tried to sound cool.",天草は、私の胸中を代弁したつもりになって、格好付けた言い方をする。,[=JP],"Амакуса, стремясь выразить мои потаённые чувства, пытался звучать важно.","O Amakusa se esforçou na tentativa de falar com os meus mais íntimos sentimentos, tentando parecer legal.",天草为代言我的心里话，故意耍帅地说道。,天草為代言我的心裡話，故意耍帥地說道。,"Amakusa, in un tentativo di parlare ai miei sentimenti più profondi, provò a sembrare figo.","Amakusa, en un intento de hablar por mis sentimientos, trataba de sonar genial.", ﺣﺎﻭﻝ ﺃﻣﺎﻛﻮﺳﺎ ﺟﺎﻫﺪًﺍ ﺃﻥ ﻳﺘﺤﺪَّﺙ ﻋﻦ ﻣﺸﺎﻋﺮﻱ ﺍﻟﺪَّﻓﻴﻨﺔ.
,"The boat slowly rounded the island. ......As the angle changed, I hoped that my memories of the island's silhouette at the time might come back just a little, but in the end, even as the inlet was completely hidden by the cliffs, I wasn't able to remember anything...","The boat slowly rounded the island. ...I hoped that viewing it at a different angle might bring back my memories of the island's silhouette at the time just a little, but in the end, even when that inlet was hidden completely by cliffs, I wasn't able to remember anything... ","The boat slowly rounded the island.......As the angle changed, I hoped that my memories of the island's silhouette at the time might come back just a little, but in the end, even though the inlet was completely hidden by cliffs, I wasn't able to remember anything...",船はゆっくりと島を回りこんでいく。……角度が変われば、当時の島影の記憶が少しは戻るだろうかと期待したが、結局、その入り江が完全に崖に隠れても、何も思い出すことは出来なかった…。,[=JP],"Катер медленно обогнул остров. Пока менялся угол обзора, я надеялась, что мои воспоминания о силуэте острова в то время вернутся хотя бы отчасти, но в итоге, хоть небольшой залив и оказался полностью скрыт скалами, я так ничего и не вспомнила.","O barco lentamente deu a volta na ilha. ......Conforme o ângulo mudava, eu esperava que minhas memórias do formato da ilha naquela época voltassem ao menos um pouco, mas no fim, mesmo a enseada estava completamente escondida pelos penhascos, e não fui capaz de lembrar de nada...",船在慢慢地绕岛航行。……虽然我在期待着，换下角度，也许就能稍微找回点对当时岛影的记忆，但结果，直到海湾完全被峭壁挡住了，也还是什么都没能想起来…。,船在慢慢地繞島航行。……雖然我在期待著，換下角度，也許就能稍微找回點對當時島影的記憶，但結果，直到海灣完全被峭壁擋住了，也還是什麼都沒能想起來…。,"La barca circumnavigò l'isola. ... Come cambiava angolo, speravo che i miei ricordi della sagoma dell'isola al tempo potessero riaffiorarmi un poco, ma alla fine, nonostante l'insenatura fosse completamente nascosta dalle scogliere, non fui capace di ricordare niente...","El barco poco a poco se acercaba a la isla... A medida que cambiaba el ángulo, esperaba que mis recuerdos de la silueta de la isla en aquel momento regresaran solo un poco, pero al final, aunque la ensenada estaba completamente oculta por los acantilados, no fui capaz de recordar nada...", ﺩﺍﺭ ﺍﻟﻘﺎﺭﺏ ﺣﻮﻝ ﺍﻟﺠﺰﻳﺮﺓ، ﺗﻤﻨﻴﺖ ﺃﻥ ﺃﺳﺘﻌﻴﺪ ﺑﻌﻀًﺎ ﻣﻦ ﺫﻛﺮﻳﺎﺕ ﻣﻼﻣﺢ ﺍﻟﺠﺰﻳﺮﺓ ﻣﻊ ﺗﻐﻴﺮ ﺍﻟﺰﺍﻭﻳﺔ،...... ...ﻭﻟﻜﻦ ﻓﻲ ﺍﻟﻨﻬﺎﻳﺔ، ﻭﺣﺘﻰ ﺑﻌﺪ ﺃﻥ ﺍﺧﺘﻔﻰ ﺍﻟﻤﻴﻨﺎﺀ ﺗﻤﺎﻣًﺎ ﺧﻠﻒ ﺍﻟﻤﻨﺤﺪﺭﺍﺕ، ﻟﻢ ﺃﺳﺘﻄﻊ ﺗﺬﻛُّﺮ ﺃﻱِّ ﺷﻲﺀ.
Ushiromiya Ange,"""......Captain, that thing you mentioned...about the other harbor...please tell me about it.""","""...Captain, please tell me... about that other harbor you mentioned."" ",[=UP],「……船長、さっきの。もう一つの船着場の話を聞かせてください。」,「……船長、さっきの。もう一つの船着場の話を聞かせてください」,""".....Капитан, насчёт той вещи, о которой вы упоминали — о другой гавани. Пожалуйста, расскажите о ней поподробней.""","""......Capitão, aquilo que você mencionou...sobre o outro porto...por favor, me fale sobre ele.""",「……船长。请再说一遍，刚才讲的另一个码头的事吧。」,「……船長。請再說一遍，剛才講的另一個碼頭的事吧。」,"""... Capitano, quella cosa che ha nominato... sull'altro molo... per favore me ne parli.""","""... Capitán, eso que mencionó... acerca del otro puerto... por favor, hábleme de ello.""", ...ﺃﻳُّﻬﺎ ﺍﻟﺮُّﺑﺎﻥ، ﺫﻟﻚ ﺍﻟﺸﻲﺀ ﺍﻟﺬﻱ ﺫﻛﺮﺗﻪ...... ﻋﻦ ﺍﻟﻤﺮﻓﺄ ﺍﻵﺧﺮ...ﺃﺭﺟﻮﻙ ﺃﺧﺒﺮﻧﻲ ﻋﻨﻪ.
Captain Kawabata,"""Mmhm. .........They say Rokkenjima's only got one harbor. But that's only its outward appearance.""","""Sure. ......Rokkenjima supposedly has only one harbor. But that's only for public appearances."" ","""Hmmm.  .........Rokkenjima supposedly has only one harbor.  But that's only it's public appearance.""",「うむ。………六軒島には、船着場は一つしかないことになっとる。だがそれは表向きだ。」,「うむ。………六軒島には、船着場は一つしかないことになっとる。だがそれは表向きだ」,"""Хм‐м‐м. .......На Роккенджиме предположительно имелась лишь одна гавань. Но это официально для широкой публики.""","""Mmhm. .........Dizem que Rokkenjima tinha apenas um porto. Mas isso era apenas para aparência externa.""",「嗯。………六轩岛上，说是只有一个码头。但是，这是表面上的。」,「嗯。………六軒島上，說是只有一個碼頭。但是，這是表面上的。」,"""Hmmm. ... Rokkenjima apparentemente ha solo un molo. Ma questo è solo ciò che è di dominio pubblico.""","""Mmm... Rokkenjima supuestamente solo tiene un puerto. Pero eso es solo para las apariencias públicas.""", ﺣﺴﻨًﺎ، ......ﻳُﻘﺎﻝ ﺇﻥَّ ﺭﻭﻛﻴﻨﺠﻴﻤﺎ ﻻ ﺗﻤﻠﻚ ﺇﻻ ﻣﺮﻓﺄً ﻭﺍﺣﺪًﺍ. ﻟﻜﻦ ﺫﻟﻚ ﻫﻮ ﺍﻟﻈﺎﻫﺮ ﻓﻘﻂ.
