Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES),Arabic (AR)
,"It seemed that this was what had happened with this envelope, and the stamp was postmarked October 3rd.","It seemed that the same thing had happened with this envelope, and the stamp was postmarked on October 3. ","It seemed that the same thing had happened with this envelope, and the stamp was postmarked on October 3.",この封筒もそうだったらしく、切手の消印は、１０月３日になっていた。,[=JP],"Похоже, так случилось и с этим конвертом, а марка была проштемпелёвана 3 октября.","Parece que foi o que aconteceu com este envelope, e o selo foi carimbado dia 3 de outubro.",这个信封貌似就属于上述这种情况，邮票上的邮戳是，10 月 3 日。,這個信封貌似就屬於上述這種情況，郵票上的郵戳是，10 月 3 日。,"Sembra che la stessa cosa sia accaduta a questa lettera, e il francobollo era stato timbrato il 3 ottobre.","Parecía que lo mismo había pasado con este sobre, y el sello fue timbrado el 3 de octubre.", ﻭﻳﺒﺪﻭ ﺃﻥّ ﻫﺬﺍ ﻣﺎ ﺟﺮﻯ ﻣﻊ ﺗﻠﻚ ﺍﻟﺮﺳﺎﻟﺔ، ﺇﺫ ﻛﺎﻧﺖ ﻣﺨﺘﻮﻣﺔً ﺑﺘﺎﺭﻳﺦ ﺍﻟﺜﺎﻟﺚ ﻣﻦ ﺃﻛﺘﻮﺑﺮ.
,It was postmarked on Niijima.{n}Niijima is a long way away from Rebun Island.,It was postmarked on Niijima. Niijima was a long way away from Rebun Island. ,"It was postmarked on Niijima.Niijima was a long ways away from Rebun Island.",消印は新島内だ。新島から礼文島は遠く離れている。,消印は新島内だ。{n}新島から礼文島は遠く離れている。,Причём почтовый штемпель поставили на Нииджиме.{n}Сам Нииджима находился довольно далеко от острова Ребун.,Foi carimbado em Niijima.{n}Niijima é bem longe da Ilha Rebun.,邮戳是在新岛盖的。{n}新岛与礼文岛相距甚远。,郵戳是在新島蓋的。{n}新島與禮文島相距甚遠。,Era stato timbrato a Niijima. Niijima era molto lontana dell'Isola Rebun.,Fue timbrado en Niijima.{n}Niijima estaba a varios días de la Isla Rebun.," ﻭﻗﺪ ﻭُﺿﻌﺖ ﺍﻟﺨﺎﺗﻤﺔ ﻓﻲ ""ﻧﻴﺠﻴﻤﺎ"". {n}ﻧﻴﺠﻴﻤﺎ ﺑﻌﻴﺪﺓٌ ﻋﻦ ﺟﺰﻳﺮﺓ ﺭﻳﺒﻮﻥ ﻣﺴﺎﻓﺔً ﻃﻮﻳﻠﺔ."
,"On top of that, the destination was also nonsensical.{n}......It had taken more than a week for the mail to be returned.","On top of that, the destination was also nonsensical. ...It had taken more than a week for the mail to be returned. ","On top of that, the destination was also nonsensical.......It had taken more than a week for the mail to be returned.",その上、住所もでたらめ。……返送には１週間以上の期間を経ていた。,その上、住所もでたらめ。{n}……返送には１週間以上の期間を経ていた。,"Более того, место назначение тоже сбивало с толку.{n}На возвращение почты ушло больше недели.","Mais do que isso, o destino é ridículo.{n}......Levou mais de uma semana para a correspondência ser retornada.",再加上，住址也是乱写的。{n}……距退回到他手上经过了超过一星期的时间。,再加上，住址也是亂寫的。{n}……距退回到他手上經過了超過一星期的時間。,"In più, la destinazione era anche senza senso. ... Ci è voluto più di una settimana per ritornare la posta.","Además de eso, el destino era también absurdo.{n}... Había tomado más de una semana para que el correo fuese devuelto.", ﻭﺯِﺩْ ﻋﻠﻰ ﺫﻟﻚ ﺃﻥّ ﺍﻟﻌﻨﻮﺍﻥ ﻛﺎﻥ ﻋﺒﺜًﺎ ﻻ ﻣﻌﻨﻰ ﻟﻪ. {n}......ﻭﻗﺪ ﺍﺳﺘﻐﺮﻕ ﺍﻟﺒﺮﻳﺪ ﺃﻛﺜﺮ ﻣﻦ ﺃﺳﺒﻮﻉٍ ﻟﻴﻌﻮﺩ.
,"......In other words, there was an extremely high chance that having this envelope returned to the sender after an indeterminate amount of time...had been the goal from the very beginning.","...In other words, there was probably a high chance that having the envelope returned to the sender after an unfixed amount of time... had been the goal from the very beginning. ","......In other words, there was probably a high chance that having the envelope returned to the sender after an unfixed amount of time...had been the goal from the very beginning.",……つまりこの封筒は、不定期間を経て差出人に返送されることを、初めから目論んでいた可能性が極めて高いということだろう。,[=JP],"Другими словами, имелась высокая вероятность, что в возвращении конверта адресанту неопределённое время спустя и заключалась цель с самого начала.","......Ou seja, há uma alta chance de que este envelope, que retornou para o remetente após um período de tempo indeterminado...tivesse esse propósito deste o princípio.",……也就是说，这个信封极有可能一开始就是为了，经由不定期限，退回到寄件人手中，才这么填写的。,……也就是說，這個信封極有可能一開始就是為了，經由不定期限，退回到寄件人手中，才這麼填寫的。,"... In altre parole, c'era un'alta possibilità che il ritorno della lettera al destinatario dopo un certo periodo di tempo... era l'obiettivo iniziale.","... En otras palabras, probablemente había una alta probabilidad de que la devolución del sobre al remitente después de una cantidad de tiempo sin fijar...hubiera sido la meta desde el principio.",  ......ﺃﻱ ﺇﻥّ ﻫﻨﺎﻙ ﺍﺣﺘﻤﺎﻻً ﻗﻮﻳًّﺎ ﺃﻥّ ﺇﻋﺎﺩﺓ ﺍﻟﺮﺳﺎﻟﺔ ﺇﻟﻰ ﺻﺎﺣﺒﻬﺎ ﺑﻌﺪ ﺃﻣﺪٍ ﻏﻴﺮ ﻣﻌﻠﻮﻡٍ، ﻛﺎﻥ ﻫﻮ ﺍﻟﻘﺼﺪ ﻣﻦ ﺍﻷﺻﻞ.
,Why do something like that.........?,Why do something like that......? ,"Why do something like that.........?",何のためにそんなことを………？,[=JP],Зачем было делать такое?,Por que alguém faria isso.........?,为什么，要这么做………？,為什麼，要這麼做………？,Perché fare qualcosa del genere...?,¿Por qué hacer algo así?..., ﻭﻟِﻢَ ﻳُﺼﻨﻊ ﺷﻲﺀٌ ﻛﻬﺬﺍ.........؟ 
,"Even before asking what it was that had been sent, this envelope was already veiled in mystery......","Even before asking what it was that had been sent, this envelope was already wrapped in mystery... ","Even before asking what it was that had been sent, this envelope was already wrapped in mystery......",何が送られてきたのかを問う以前の段階でさえ、この封筒は謎に包まれている……。,[=JP],"Этот конверт окутывала тайна ещё до того, как вставал вопрос, что послано в нём.","Mesmo depois de ter sido enviado, este envelope ainda estava velado pelo mistério......",在问送来了什么之前，这个信封本身就已充满了谜团……。,在問送來了什麼之前，這個信封本身就已充滿了謎團……。,"Anche dopo aver chiesto cosa ci fosse all'interno, questa busta è già avvolta nel mistero...","Incluso antes de preguntar qué era lo que había sido enviado, este sobre ya estaba envuelto en misterio...", ﺑﻞ ﻗﺒﻞ ﺃﻥ ﻳُﺴﺄﻝ ﻋﻤّﺎ ﺍﺣﺘﻮﺗﻪ، ﻛﺎﻧﺖ ﻫﺬﻩ ﺍﻟﺮﺳﺎﻟﺔ ﻣﻐﻤﻮﺭﺓً ﺑﺎﻷﺳﺮﺍﺭ......
Ushiromiya Ange,"""..................And inside it?""",""".........And inside it?"" ","""...............And inside it?""",「………………中身は？」,[=JP],"""...............А что внутри?""","""..................E o conteúdo?""",「………………里面装的是？」,「………………裡面裝的是？」,"""... E dentro?""","""... ¿Y adentro?""","""..................ﻭﻣﺎﺫﺍ ﻓﻲ ﺩﺍﺧﻠﻬﺎ؟"""
Nanjo Masayuki,"""Go ahead.""","""Go ahead."" ","""Go ahead.""",「どうぞ。」,「どうぞ」,"""Откройте.""","""À vontade.""",「请。」,「請。」,"""Va' avanti.""","""Adelante.""","""ﺗﻔﻀّﻞ."""
,"After getting the doctor's permission, I tilted the already opened envelope.","After getting the doctor's permission, I tilted the already opened envelope. ","After getting the doctor's permission, I tilted the already opened envelope.",医師に許可をもらい、すでに口の開いている封筒を傾ける。,[=JP],"С разрешения доктора, я вытряхнула уже открытый конверт.","Após receber permissão, eu virei o envelope já aberto.",得到了医师的许可后，缘寿将已开封了的信封倾斜。,得到了醫師的許可後，緣壽將已開封了的信封傾斜。,"Dopo aver ottenuto il permesso del dottore, aprii la busta già aperta.","Después de conseguir el permiso del doctor, incliné el sobre ya abierto.", ﻭﺑﻌﺪ ﺇﺫﻥ ﺍﻟﻄﺒﻴﺐ، ﺃﻣﻠﺖُ ﺍﻟﻈﺮﻑَ ﺍﻟﻤﻔﺘﻮﺡ ﻗﻠﻴﻼً.
,"From the inside came a small, folded letter, and a small key with a number tag attached. A swipe card slid out in addition.","From the inside came a small, folded letter, and a small key with a number plate attached. Then, a magnetic card slid out. ","From the inside came a small, folded letter, and a small key with a number plate attached.  Then, a magnetic card slid out.",すると中から、畳まれた小さな手紙と、ナンバープレートの付いた小さな鍵。それと磁気カードが溢れ出てきた。,[=JP],"Наружу выпало маленькое сложенное письмо и ключик с номерком. Кроме того, ещё выскользнула магнитная карта.","Dele saiu uma pequena carta dobra e uma pequena chave, com um número de identificação anexado. Saiu também um cartão magnético.",接着，从中滑出了折叠好的小小信纸，连着块号码牌的小小钥匙。以及一张磁卡。,接著，從中滑出了折疊好的小小信紙，連著塊號碼牌的小小鑰匙。以及一張磁卡。,"Dall'interno arrivò una piccola, lettera piegata, e una piccola chiave con una piccola placca numerata. Dopo, una carta magnetica scivolò fuori.","Del interior salió una pequeña carta plegada, y una pequeña llave con una matrícula adjunta. Luego, una tarjeta magnética se deslizó.", ﻓﺎﻧﺤﺪﺭﺕ ﻣﻨﻪ ﺭﺳﺎﻟﺔٌ ﺻﻐﻴﺮﺓٌ ﻣﻄﻮﻳّﺔ، ﻭﻣﻔﺘﺎﺡٌ ﺻﻐﻴﺮٌ ﻋُﻠِّﻘﺖ ﺑﻪ ﺭﻗﻌﺔ ﺭﻗﻢٍ. ﻭﺍﻧﺰﻟﻘﺖ ﺑﻄﺎﻗﺔُ ﺗﻤﺮﻳﺮٍ ﻣﻌﻬﺎ ﺃﻳﻀًﺎ.
,A112 was engraved on the key's number tag.{n}......I didn't know what it meant.,A112 was engraved on the key's number plate. ...I didn't know what it meant. ,"A112 was engraved on the key's number plate.......I didn't know what it meant.",鍵のナンバープレートにはＡ１１２と刻印されている。……何を指すのかはわからない。,鍵のナンバープレートにはＡ１１２と刻印されている。{n}……何を指すのかはわからない。,"На номерке ключа было выгравировано А112.{n}......Я не знаю, что это значит.",A112 estava gravado no número de identificação da chave.{n}......Eu não sei o que isso significa.,钥匙的号码牌上刻着 A112。{n}……不知道这是指什么。,鑰匙的號碼牌上刻著 A112。{n}……不知道這是指什麼。,Sulla placca c'era inciso A112. ... Non sapevo cosa significasse.,A112 estaba grabado en la matrícula de la llave.{n}... No sabía qué significaba.," ﻧُﻘِﺶ ﻋﻠﻰ ﺭﻗﻌﺔ ﺍﻟﻤﻔﺘﺎﺡ ""211A"". {n}......ﻭﻟﻢ ﺃﺩﺭِ ﻣﺎ ﺍﻟﺬﻱ ﻳﻌﻨﻴﻪ."
,The swipe card was pitch black and had gold letters engraved on it.,The magnetic card was pitch black and had gold characters engraved in it. ,"The magnetic card was pitch black and had gold characters engraved in it.",磁気カードは真っ黒で、金文字が刻印されている。,[=JP],"Магнитная карта была чёрная, как смоль, с выгравированными золотыми буквами.",O cartão magnético era completamente preto e possuía letras douradas nele.,磁卡通体漆黑，卡上刻着金色的文字。,磁卡通體漆黑，卡上刻著金色的文字。,La carta magnetica era nera come la pece e aveva dei caratteri in oro incisi su di essa.,La tarjeta magnética era de color negro y tenía caracteres dorados grabados en ella., ﻭﻛﺎﻧﺖ ﺍﻟﺒﻄﺎﻗﺔ ﺳﻮﺩﺍﺀَ ﻗﺎﺗﻤﺔً ﻣﺤﻔﻮﺭًﺍ ﻋﻠﻴﻬﺎ ﺑﺎﻟﺤﺮﻑ ﺍﻟﺬﻫﺒﻲّ.
,"""MEMBERS"" was written there in English. The jet‐black, gold‐lettered card design made it feel like something very high‐class.","""Members"" was written in English. The jet-black, gold-lettered card design made it feel like something very high-class. ","'Members' was written in English.The jet-black, gold-lettered card design made it feel like something very high-class.",英語で、メンバーズと記されていた。漆黒に金文字のカードデザインは、かなりの高級感を感じさせる。,[=JP],"На ней по‐английски было написано ""Members"", то есть ""Члены"". Сам вид блестящей чёрной карты с золотыми буквами производил впечатление чего‐то принадлежащего к высшей прослойке общества.","Nele estava escrito ""MEMBERS"". O preto azeviche e as letras em ouro do cartão passavam a impressão de ser algo de alta‐classe.",其文字是英语，members。黑底金字的卡片造型令人感到了非同一般的高档感。,其文字是英語，members。黑底金字的卡片造型令人感到了非同一般的高檔感。,"‘Members’ era scritto in inglese. Il design nero, con lettere dorate della carta lo fece sembrare come qualcosa di alta classe.","""MIEMBROS"" estaba escrito en inglés. El diseño de la tarjeta, de color negro con letras doradas, la hacía sentir como algo de clase alta."," ﻛﻠﻤﺔُ ""SREBMEM"" ﺑﺎﻹﻧﺠﻠﻴﺰﻳﺔ. ﺫﻟﻚ ﺍﻟﺴﻮﺍﺩُ ﺍﻟﺪﺍﻛﻦُ ﻭﺣﺮﻭﻑُ ﺍﻟﺬﻫﺐ ﺃﺿﻔﻴﺎ ﻋﻠﻴﻬﺎ ﻣﻬﺎﺑﺔَ ﺍﻟﺘﺮﻑ ﻭﺍﻟﺮﻗﻲّ."
,"......But of course, I didn't have a clue what kind of card it was just from that.","...But of course, I didn't have a clue what kind of card it was just from that. ","......But of course, I didn't have a clue what kind of card it was just from that.",……しかしもちろん、それだけでは何のカードなのか見当もつかない。,[=JP],"Но я, разумеется, не могла определить, для чего эта карта, руководствуясь только такими предпосылками.","......Mas é claro, eu não fazia ideia de que tipo de cartão era aquele.",……不过，当然，光凭这些是完全想不出这是张什么卡的。,……不過，當然，光憑這些是完全想不出這是張什麼卡的。,"... Ma ovviamente, non avevo la più pallida idea di che tipo di carta fosse solo da quello.","... Pero obviamente, no tenía idea de qué tipo de tarjeta era esa.",  ......ﻟﻜﻨّﻲ ﻟﻢ ﺃﺩﺭِ ﺃﻱّ ﻧﻮﻉٍ ﻣﻦ ﺍﻟﺒﻄﺎﻗﺎﺕ ﻛﺎﻧﺖ.
,"......I unfolded the letter.{n}Its contents were extremely brief, and only the following was written:","...I unfolded the letter. Its contents were extremely brief, and only the following was written: ","......I unfolded the letter.Its contents were extremely brief, and only the following was written:",……折り畳まれた手紙を広げる。そこには非常に簡潔に、以下のことだけが記されていた。,……折り畳まれた手紙を広げる。{n}そこには非常に簡潔に、以下のことだけが記されていた。,......Я раскрыла письмо.{n}Его содержание было предельно коротким и значилось там лишь следующее:,"......Eu abri a carta.{n}Seu conteúdo era extremamente breve, e tudo que estava escrito era:",……摊开折叠好的信纸。{n}纸上非常简洁地记着以下内容。,……攤開折疊好的信紙。{n}紙上非常簡潔地記著以下內容。,"... Aprii la lettera. I suoi contenuti erano estremamente brevi, e c'era scritto solo questo:","... Desdoblé la carta.{n}Su contenido era muy breve, y solo tenía escrito esto:",  ......ﻓﻨَﺸﺮﺕُ ﺍﻟﺮﺳﺎﻟﺔ. {n}ﻛﺎﻥ ﻣﻀﻤﻮﻧﻬﺎ ﻭﺟﻴﺰًﺍ ﻟﻠﻐﺎﻳﺔ، ﻭﻟﻢ ﻳُﻜﺘﺐ ﻓﻴﻬﺎ ﺳﻮﻯ ﺍﻵﺗﻲ: 
,07151129.,07151129. ,"07151129.",０７１５１１２９。,[=JP],[=UP],[=UP],07151129。,[=CN],[=UP],[=UP], 92115170 
,"And the name of a certain massive bank known throughout Japan, as well as the words ""Central Branch"".","Also written was the name of a certain massive bank known throughout Japan, as well as the words ""Central Branch"". ","Also written was the name of a certain massive bank known throughout Japan, as well as the words 'Central Branch'.",そして、誰もが知る日本の某巨大銀行の名が記され、本店とも書かれていた。,[=JP],"Также в нём было написано имя крупного и известного по всей Японии банка и слова ""Центральный филиал"".","O nome de um grande banco conhecido através do Japão, assim como as palavras ""Agência Central"".",以及，人尽皆知的日本某巨大银行的名字及“总行”的字样。,以及，人盡皆知的日本某巨大銀行的名字及“總行”的字樣。,"C'era anche scritto il nome di una certa grande banca conosciuta in tutto il Giappone, insieme alle parole ‘Sede Centrale’.","También estaba escrito el nombre de cierto banco enorme que se conoce en todo Japón, así como las palabras ""Sucursal Central""."," ﻭﻓﻴﻬﺎ ﺍﺳﻢُ ﻣﺼﺮﻑٍ ﺿﺨﻢٍ ﻣﻌﺮﻭﻑٍ ﻓﻲ ﺍﻟﻴﺎﺑﺎﻥ، ﻭﻛﻠﻤﺘﺎ ""ﺍﻟﻔﺮﻉ ﺍﻟﻤﺮﻛﺰﻱّ""."
,......That was all.,...That was all. ,"......That was all.",……それだけだ。,[=JP],И больше ничего.,......Isso era tudo.,……就这些而已。,……就這些而已。,... Tutto qui.,... Eso era todo.,  ......ﻭﻟﻢ ﻳﻜﻦ ﻓﻴﻬﺎ ﻏﻴﺮُ ﺫﻟﻚ.
Ushiromiya Ange,"""What's this.........?""","""And this is......?"" ","""This is.........?""",「これは………？」,[=JP],"""Это?..""","""O que é isto.........?""",「这是………？」,「這是………？」,"""Questa è...?""","""¿Esto es...?""","""ﻣﺎ ﻫﺬﺍ.........؟"""
Nanjo Masayuki,"""............... .........It's a card, a key, and a PIN for a safe‐deposit box. And it wasn't a normal safe‐deposit box either. It was an unsettling one, which was apparently reserved only for special clients.""","""...... ......It's a card, a key, and a PIN for a safe-deposit box. And it wasn't a normal safe-deposit box either. It was an unsettling one, which was apparently reserved only for special clients."" ",""".....................It's a card, a key, and a PIN for a safe-deposit box.  And it wasn't a normal safe-deposit box either.  It was an unsettling one, which was apparently reserved only for special clients.""",「……………。………貸し金庫のカードと鍵、そして暗証番号でした。それも普通の貸し金庫ではない。特別な顧客のみに許されているらしい、不気味な貸し金庫でした。」,「……………。………貸し金庫のカードと鍵、そして暗証番号でした。それも普通の貸し金庫ではない。特別な顧客のみに許されているらしい、不気味な貸し金庫でした」,"""..................Это карта, ключ и пин‐код от банковской ячейки. И вдобавок не от обычной, что вселяло тревогу. Она была зарезервирована для особых клиентов.""","""........................Um cartão, uma chave e um PIN para um cofre. E não era um cofre de depósitos normal. Era inquietante, e aparentemente reservado apenas para clientes especiais.""",「……………。………是银行保险箱的卡与钥匙，还有其密码。而且，那还不是普通的银行保险箱。是个只允许特别的顾客使用的，令人脊背发凉的银行保险箱。」,「……………。………是銀行保險箱的卡與鑰匙，還有其密碼。而且，那還不是普通的銀行保險箱。是個只允許特別的顧客使用的，令人脊背發涼的銀行保險箱。」,"""... Sono una carta, una chiave, e un PIN per un box di cassette di sicurezza. {n}E non era neanche un normale box di cassette di sicurezza. Era uno inquietante, che era apparentemente riservato solo a clienti speciali.""","""... Una tarjeta, una llave, y un PIN para una caja de seguridad. Y tampoco era una caja fuerte normal. Era una inquietante, la cual al parecer estaba reservada solo para clientes especiales.""","""...............  .........ﺇﻧﻬﺎ ﺑﻄﺎﻗﺔٌ ﻭﻣﻔﺘﺎﺡٌ ﻭﺭﻗﻢٌ ﺳﺮّﻱٌّ ﻟﺼﻨﺪﻭﻕِ ﺃﻣﺎﻧﺎﺕ. ﻭﻟﻴﺲ ﺻﻨﺪﻭﻗًﺎ ﻋﺎﺩﻳًّﺎ، ﺑﻞ ﻭﺍﺣﺪٌ ﻣﺨﺼّﺺٌ ﻟﻌﻤﻼﺀَ ﺧﺎﺻّﻴﻦ ﻓﺤﺴﺐ."""
,"After he had finished putting his affairs in order following his father's funeral, he visited the bank.","After he finished putting his affairs in order following his father's funeral, he had visited the bank. ","After he finished putting his affairs in order following his father's funeral, he had visited the bank.",医師は、父の葬式後の身辺整理を終えた後、銀行本店を訪れた。,[=JP],"Завершив все дела, касающиеся похорон его отца, он посетил банк.","Após ter terminado todos os negócios relacionados ao funeral de seu pai, ele visitou o banco.",办完父亲的葬礼，医师在处理完各种琐事后，去了一趟总行。,辦完父親的葬禮，醫師在處理完各種瑣事後，去了一趟總行。,"Dopo aver finito di mettere in ordine i suoi affari in seguito al funerale di suo Padre, aveva visitato la banca.","Después de terminar de poner sus asuntos en orden tras el funeral de su padre, visitó el banco.", ﻭﺑﻌﺪ ﺃﻥ ﺃﻧﻬﻰ ﺍﻟﻄﺒﻴﺐُ ﺗﺮﺗﻴﺐَ ﺷﺆﻭﻧِﻪ ﻓﻲ ﺃﻋﻘﺎﺏ ﺟﻨﺎﺯﺓ ﻭﺍﻟﺪﻩ، ﻗﺼﺪ ﺍﻟﻤﺼﺮﻑ.
,"......PIN and key and card. There was no doubt that something of great importance was stored there, and it was natural that he was curious about what that could be.","...PIN and key and card. There was no doubt that something of great importance was kept there, and he had been naturally curious about what it might be. ","......PIN and key and card.There was no doubt that something of great importance was kept there, and it was natural that he had been curious about what that could be.",……暗証番号と鍵と磁気カード。何か重要なものが預けられていることは間違いなく、それが何であるか、関心を持ったのは当然のことだった。,[=JP],"......Пин‐код, ключ и карта. Там, вне всяких сомнений, хранилось что‐то важное, поэтому было вполне естественно заинтересоваться, чем же это окажется.","......Um PIN, uma chave e um cartão. Não havia dúvidas de que algo de grande importância estava armazenado lá, e era natural que ele ficasse curioso com o que poderia ser.",……密码、钥匙、磁卡。毫无疑问，肯定是保管着某一重要的东西，会想要知道那是什么，也是人之常情。,……密碼、鑰匙、磁卡。毫無疑問，肯定是保管著某一重要的東西，會想要知道那是什麼，也是人之常情。,"... PIN e chiave e carta. Non c'era dubbio che qualcosa di grande importanza era tenuto lì, ed era naturale che era stato curioso di sapere cosa potesse essere.","... PIN, llave y tarjeta. No cabía duda de que algo de gran importancia se guardaba allí, y era natural que tuviera curiosidad acerca de lo que podría ser.",  ......ﺑﻄﺎﻗﺔٌ ﻭﺭﻗﻢٌ ﺳﺮّﻱٌّ ﻭﻣﻔﺘﺎﺡ. ﻟﻢ ﻳﻜﻦ ﺭﻳﺐٌ ﺃﻥّ ﺷﻴﺌًﺎ ﺫﺍ ﺷﺄﻥٍ ﻗﺪ ﻭُﺩِﻉ ﻫﻨﺎﻙ، ﻭﻛﺎﻥ ﻣﻦ ﺍﻟﻄﺒﻴﻌﻲّ ﺃﻥ ﻳﺘﻤﻠّﻜﻪ ﺍﻟﻔﻀﻮﻝُ ﻟﻤﺎﻫﻴّﺘﻪ.
,"At first, he didn't know what to do.{n}......The card wasn't properly his possession.","At first, he hadn't known what to do. ...The card wasn't something he'd owned in the first place. ","At first, he hadn't known what to do.......The card wasn't something he had originally owned.",初めはどうすればいいかわからなかった。……本来、自分の所有するものではないカードだ。,初めはどうすればいいかわからなかった。{n}……本来、自分の所有するものではないカードだ。,"Поначалу он не знал, как поступить.{n}......Ведь он не был настоящим владельцем карты.","A princípio, ele não soube o que deveria fazer.{n}......O cartão não era propriedade dele.",刚开始时，不知该怎么做才好。{n}……毕竟，那是本不属于自己的磁卡。,剛開始時，不知該怎麼做才好。{n}……畢竟，那是本不屬於自己的磁卡。,"All'inizio, non sapeva cosa fare. ... La carta non era qualcosa che possedeva originariamente.","Al principio, él no sabía qué hacer.{n}... La tarjeta no era algo de lo que fuera propietario.", ﻓﻲ ﺍﻟﺒﺪﺀ ﻟﻢ ﻳﺪﺭِ ﻣﺎ ﻳﻔﻌﻞ. {n}......ﺍﻟﺒﻄﺎﻗﺔ ﻟﻢ ﺗﻜﻦ ﻓﻲ ﺣﻴﺎﺯﺗﻪ ﻋﻠﻰ ﺍﻟﺤﻘﻴﻘﺔ.
,"When he mustered up his courage and showed the card to a bank clerk, he was then switched to a clerk of clearly high status, and was guided to a large vault on the fourth basement floor.","When he mustered up his courage and showed the card to a bank clerk, he was then switched to a clerk of clearly high status...and was guided to a large vault on the fourth basement. ","When he had mustered up his courage and showed the card to a bank clerk, he was then switched to a clerk of clearly high status, and was guided to a large vault on the fourth basement.",勇気を出して行員にカードを見せると、明らかに格のある行員に対応が変わり、地下４階の大金庫室に案内された。,[=JP],"Когда он набрался смелости и показал карту банковскому клерку, того клерка заменил клерк явно выше по званию, который отвёл его в большое хранилище в четвёртом подвале.","Quando reuniu toda sua coragem e mostrou o cartão para o caixa do banco, ele foi passado para outro funcionário de maior importância, e guiado até um grande cofre dentro do quarto andar do subsolo.",鼓起勇气给行员看了下磁卡后，明显地位不低的行员立刻态度一变，领他去了地下四楼的大金库。,鼓起勇氣給行員看了下磁卡後，明顯地位不低的行員立刻態度一變，領他去了地下四樓的大金庫。,"Quando fece appello al suo coraggio e mostrò la carta a un bancario, fu passato a un impiegato di status chiaramente alto, e venne guidato ad una grande camera blindata nel quarto seminterrato.","Cuando logró reunir todo su valor y se la enseñó a un empleado del banco, fue pasado a un empleado de claramente alto estatus, y fue guiado a una gran bóveda de seguridad en el cuarto sótano.", ﻟﻜﻦ ﺣﻴﻦ ﺗﺠﺮّﺃ ﻭﻋﺮﺽ ﺍﻟﺒﻄﺎﻗﺔَ ﻋﻠﻰ ﺃﺣﺪ ﺍﻟﻤﻮﻇّﻔﻴﻦ، ﺣُﻮِّﻝ ﺇﻟﻰ ﻣﻮﻇّﻒٍ ﺭﻓﻴﻊِ ﺍﻟﻤﻨﺰﻟﺔ، ﻓﻘﺎﺩﻩ ﺇﻟﻰ ﺧﺰﺍﺋﻦَ ﻋﻈﻴﻤﺔٍ ﻓﻲ ﺍﻟﻄﺎﺑﻖ ﺍﻟﺮﺍﺑﻊ ﺗﺤﺖ ﺍﻷﺭﺽ.
,The security on the way there was strict.,The security on the way there was strict. ,"The security on the way there was strict.",そこに至るまでのセキュリティは厳重。,[=JP],Охрана на пути была очень строгой.,A segurança durante o percurso foi bem rígida.,一路上的保安措施可以说非常森严。,一路上的保安措施可以說非常森嚴。,La sicurezza nella via era stretta.,La seguridad por el camino era muy estricta, ﻭﻛﺎﻧﺖ ﺍﻟﺤﺮﺍﺳﺔ ﻓﻲ ﺍﻟﻄﺮﻳﻖ ﺷﺪﻳﺪﺓً.
,"The doctor had himself stored valuable items such as real estate transcripts in safe‐deposit boxes before, but this was something on a whole different level......","The doctor had himself stored valuable items such as real estate transcripts in safe-deposit boxes before, but this was something on a whole different level... ","The doctor had himself stored valuable items such as real estate transcripts in safe-deposit boxes before, but this was something on a whole different level......",医師も、不動産の謄本などの重要なものを貸し金庫に預けた経験があるが、ここのそれはまったく格が違っていた……。,[=JP],"Самому доктору прежде доводилось хранить в банковских ячейках ценные предметы, такие как документы недвижимости, но тут был совершенно другой уровень...","O médico já havia guardado itens de valor como transcrições imobiliárias em caixas de cofre antes, mas isto era algo completamente diferente......",医师也曾有过把不动产副本等重要的东西存放进银行保险箱的经历，但与这一比，就是小巫见大巫了……。,醫師也曾有過把不動產副本等重要的東西存放進銀行保險箱的經歷，但與這一比，就是小巫見大巫了……。,"Il dottore aveva già depositato oggetti di valore come trascrizioni immobiliari in box di cassette di sicurezza prima, ma questo era qualcosa ad un livello completamente differente...","El doctor había guardado objetos de valor como transcripciones de bienes raíces en depósitos de cajas de seguridad antes, pero esto estaba en un nivel completamente diferente...", ﻭﻗﺪ ﺍﺳﺘﺨﺪﻡ ﺍﻟﻄﺒﻴﺐُ ﺻﻨﺎﺩﻳﻖَ ﺍﻷﻣﺎﻧﺎﺕ ﻣﻦ ﻗﺒﻞٍ ﻟﺤﻔﻆ ﻭﺛﺎﺋﻖَ ﻋﻘﺎﺭﻳّﺔٍ ﻭﻧﺤﻮﻫﺎ، ﻏﻴﺮ ﺃﻥّ ﻫﺬﺍ ﻛﺎﻥ ﻣﻦ ﻃﺮﺍﺯٍ ﺁﺧﺮ......
