Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR)
,"It was dim, and I was looking through a narrow gap between all the various pieces of equipment strewn about, so I couldn't make out any more detail than that.","It was dim and cramped because of the various pieces of equipment strewn about, so I couldn't make out the situation clearly. ","It was dim, and narrow because of all the various pieces of equipment strewn about, so I couldn't make out the situation clearly.",薄暗いし、色々と荷物がごちゃごちゃ置かれている狭間からなので、その様子はそれ以上詳しくはわからない。,[=JP],"Внутри было тускло и мало места из‐за разбросанных повсюду разных инструментов, так что я не мог чётко разглядеть, что к чему.","Estava escuro, e eu estava olhando por uma pequena fresta entre os equipamentos espalhados, por isso não consegui ver com muitos detalhes.",由于光线昏暗，再加上我是通过乱糟糟地堆着的物品的缝隙往里看的，所以掌握不了更具体的情况。,由於光線昏暗，再加上我是通過亂糟糟地堆著的物品的縫隙往裡看的，所以掌握不了更具體的情況。,"C'era poca luce e spazio, grazie a tutti i vari attrezzi sparsi qua e là, perciò non riuscii a decifrare con chiarezza la situazione.",[=UP],"Estaba poco iluminado, y angosto debido a todas las piezas de equipamiento, así que no pude ver la situación claramente.", ﻛﺎﻥ ﺍﻟﻀﻮﺀ ﺧﺎﻓﺘًﺎ، ﻭﻛﻨﺖُ ﺃﻧﻈﺮ ﻣﻦ ﺛﻐﺮﺓٍ ﺿﻴّﻘﺔ ﺑﻴﻦ ﺍﻷﺩﻭﺍﺕ ﺍﻟﻤﺒﻌﺜﺮﺓ، ﻓﻠﻢ ﺃُﺑﺼﺮ ﺃﻛﺜﺮ ﻣﻦ ﺫﻟﻚ.
,"......But when they showed not even a tremor after I called out to them, and because of the way the loops around their necks seemed to carry the full weight of their bodies, I could sense no trace of life from them......","...But when they showed not even a tremor after I called out to them, and because of the way the loops around their necks seemed to carry the full weight of their bodies, I could sense no trace of life from them... ",[=UP],……しかし、声を掛けてもぴくりとも反応せず、完全に首のロープに全ての体重を預けきっている様子から、生きている気配を感じ取ることは出来なかった……。,[=JP],"......Но когда они даже не дрогнули после того, как я им крикнул, из‐за того, что петли на шее, судя по всему, несли тяжесть всего тела, я почувствовал, я осознал, что не ощущаю в них жизни...","......Mas quando eles não demonstraram nenhum tremor depois que eu os chamei, e por causa da forma como os nós em volta de seus pescoços parecia carregar todo o peso do corpo deles, eu não consegui ver qualquer traço de vida neles......",……不过，从对于我的喊声一动不动毫无反应，完全把体重压在套住脖子的绳套上的情形上，感觉不到一丝丝生气……。,……不過，從對於我的喊聲一動不動毫無反應，完全把體重壓在套住脖子的繩套上的情形上，感覺不到一絲絲生氣……。,"... Ma quando non si smossero nemmeno di un centimetro dopo che li ebbi chiamati, e a causa del modo in cui i cappi attorno al loro collo sembravano supportare l'intero peso dei loro corpi, io non riuscivo ad avvertire una minima traccia di vita provenire da loro...",[=UP],"... Pero cuando no mostraron ni siquiera un temblor después de que los llamara, y por la forma en que los lazos alrededor de sus cuellos parecían soportar todo el peso de sus cuerpos, no pude percibir ningún rastro de vida en ellos...", ......ﻟﻜﻨّﻬﻤﺎ ﻟﻢ ﻳُﺒﺪﻳﺎ ﺃﺩﻧﻰ ﺣﺮﺍﻙٍ ﺣﻴﻦ ﻧﺎﺩﻳﺘﻬﻤﺎ، ﻭﻣﻊ ﺛِﻘَﻞ ﺍﻷﺟﺴﺎﺩ ﺍﻟﻤﻌﻠّﻘﺔ ﺑﺘﻠﻚ ﺍﻟﺤﻠﻘﺎﺕ ﻋﻠﻰ ﺍﻟﻌﻨﻖ، ﻟﻢ ﺃﺷﻌﺮ ﻣﻨﻬﻤﺎ ﺑﺄﺩﻧﻰ ﺑﺎﺩﺭﺓ ﺣﻴﺎﺓ......
Ushiromiya Battler,"""You've got to be............kidding me......right............? ......Why.........""","""You've gotta be......kidding me, ...right......? ...Why......?"" ","""You've got to be......, .........kidding me......right............?  ......Why.........?""",「そんな……、………嘘……だろ…………。……どうして………。」,「そんな……、………嘘……だろ…………。……どうして………」,"""Вы должно быть... разыгрываете меня... да? ......Почему?""","""Você só pode............estar brincando......né............? ......Por quê.........?""",「不……、………不是……吧…………。……为什么………？」,「不……、………不是……吧…………。……為什麼………？」,"""Questo... è uno scherzo... giusto...? ... Perché...?""",[=UP],"""Esto es... una broma... ¿verdad?... ¿Por qué?...""","""ﻻ... ﻻ ﺑﺪّ ﺃﻧّﻜﻤﺎ............ﺗﻤﺰﺣﺎﻥ......ﺃﻟﻴﺲ ﻛﺬﻟﻚ............؟ ......ﻟﻤﺎﺫﺍ........."""
,The shutter is still closed.,The shutter was still closed. ,The shutter was still closed.,シャッターは閉まったままなのだ。,[=JP],Затвор был всё ещё закрыт.,O {i:shutter} ainda está fechado.,卷闸门关得好好的。,卷閘門關得好好的。,La serranda era ancora chiusa.,[=UP],La persiana metálica aún estaba cerrada., ﺍﻟﻤﺼﺮﺍﻉ ﻻ ﻳﺰﺍﻝ ﻣُﻐﻠﻘًﺎ.
,"......And there's only a single key, which I'm sure Gohda‐san took possession of.","...And there was only a single key, which had supposedly been given to Gohda-san. ","......And there was only a single key, which had supposedly been given to Gohda-san.",……そして鍵はひとつしかなく、郷田さんが預かったはず。,[=JP],"И имелся лишь один ключ, находившийся в распоряжении Годы‐сана.","......E só tem uma chave, que eu tenho certeza que estava com o Gohda‐san.",……而且那仅此一把的钥匙应该在乡田身上。,……而且那僅此一把的鑰匙應該在鄉田身上。,"... E c'era una sola chiave, che presumibilmente era stata data a Gohda-san.",[=UP],"... Y solo había una llave, la cual supuestamente se le había entregado a Gohda-san.", ......ﻭﻟﻴﺲ ﻟﻬﺎ ﺳﻮﻯ ﻣﻔﺘﺎﺡٍ ﻭﺍﺣﺪٍ، ﻭﺃﻧﺎ ﻭﺍﺛﻖ ﺃﻥّ ﻗﻮﺩﺍ-ﺳﺎﻥ ﻛﺎﻥ ﻳﺤﻤﻠﻪ.
,So how did the culprit......open the shutter and kill the two of them inside......?,So how had the culprit...opened the shutter and killed both of them inside...? ,"So how had the culprit, ......opened the shutter and killed both of them inside......?",なのにどうやって犯人は、……シャッターを開けて、中の二人を殺したんだよ……？,[=JP],Тогда как преступник отпер дверь и убил их обоих внутри?,Então como o culpado......abriu o {i:shutter} e matou os dois lá dentro......?,可尽管如此，犯人又是怎么开的，……卷闸门，将在里面的两人杀害的啊……？,可儘管如此，犯人又是怎麼開的，……卷閘門，將在裡面的兩人殺害的啊……？,Quindi in che modo il colpevole... aveva aperto la serranda e ucciso all'interno tutti e due...?,[=UP],"Entonces, ¿cómo hizo el culpable... para abrir la persiana y matarlos a los dos adentro?...", ﻓﻜﻴﻒ ﺗﻤﻜّﻦ ﺍﻟﺠﺎﻧﻲ......ﻣﻦ ﻓﺘﺢ ﺍﻟﺒﺎﺏ ﻭﻗﺘﻞ ﺍﻻﺛﻨﻴﻦ ﻓﻲ ﺍﻟﺪﺍﺧﻞ......؟
,"No wait, they weren't necessarily killed...{n}If this is a suicide......","No, wait, they weren't necessarily killed... If this is a suicide... ","No wait, they weren't necessarily killed...If this is a suicide......",いいや、殺されたとは限らない…。これは自殺なんだとしたら……。,いいや、殺されたとは限らない…。{n}これは自殺なんだとしたら……。,"Нет, стойте‐ка, они ведь не обязательно убиты...{n}Если это самоубийство...","Não, espera, eles não foram necessariamente mortos...{n}Se tiver sido suicídio......",不、不一定是被杀…。{n}若是自杀的话……。,不、不一定是被殺…。{n}若是自殺的話……。,"No un momento, non devono per forza essere stati uccisi... se questo è un suicidio...",[=UP],"No, espera, no fueron necesariamente asesinados...{n}Si esto fuera un suicidio...", ﻻ، ﻣﻬﻼً، ﻟﻌﻠّﻬﻤﺎ ﻟﻢ ﻳُﻘﺘﻼ ﺃﺻﻼً...{n}ﺇﻥ ﻛﺎﻥ ﻫﺬﺍ ﺍﻧﺘﺤﺎﺭًﺍ......
,"......That way, this locked room makes sense, but I don't know why the two of them would hang themselves...!!","...That way, this closed room makes sense, but I don't know why they would hang themselves and commit suicide...!! ","......That way, this closed room makes sense, but I don't know why they would hang themselves and commit suicide...!!",……密室のつじつまは合うけど、二人が首を吊って自殺する意味がわからない…！！,[=JP],"То тогда в этой закрытой комнате проявляется логика, вот только я не представляю, с какого перепугу они повесились!","......Dessa forma, esse quarto fechado faria sentido, mas eu não faço ideia do que os levou a se enforcarem...!!",……虽然情况与密室相符，但他们两个为什么上吊自杀啊…？！！,……雖然情況與密室相符，但他們兩個為什麼上吊自殺啊…？！！,"... Questa stanza chiusa ha senso così, ma non so perché avrebbero dovuto impiccarsi e uccidersi...!!",[=UP]," ¡¡Sí, de esa manera, esta habitación cerrada tiene sentido, ¡¡pero no sé por qué se colgarían y se suicidarían!!...", ......ﻓﺬﻟﻚ ﻳُﻔﺴّﺮ ﺍﻟﻐﺮﻓﺔ ﺍﻟﻤﻐﻠﻘﺔ، ﻟﻜﻨّﻲ ﻻ ﺃﺩﺭﻱ ﻟِﻢَ ﺷﻨﻘَﺎ ﺃﻧﻔﺴﻬﻤﺎ...!!
,"Feebly, ...I slumped down on the spot.","Feebly, ...I slumped down on the spot. ",[=UP],俺は力なく、…その場にへたり込む。,[=JP],"На меня напала слабость, и я тяжело осел на землю.","Sem forças, ...eu caí de onde estava.",我全身没了力气，…瘫坐在地。,我全身沒了力氣，…癱坐在地。,Senza forze... crollai lì dove mi trovavo.,[=UP],Débilmente... me desplomé en el sitio., ﻭﺍﻫﻨًﺎ، ...ﺧَﺮﺭﺕُ ﻓﻲ ﻣﻜﺎﻧﻲ.
,"Now, the only humans alive on this island......are me, Maria, ......and my old bastard's old bastard.","Now, the only humans alive on this island... ...are me, Maria, ...and that damn geezer. ","Now, the only humans alive on this island, ......are me, Maria, ......and that damn geezer.",　これで、この島に生きてる人間は、……俺と真里亞と、……クソジジイだけ。,これで、この島に生きてる人間は、……俺と真里亞と、……クソジジイだけ。,"Теперь единственными живыми людьми на этом острове являемся я, Мария, и этот треклятый старикашка.","Agora, os únicos humanos vivos na ilha......são eu, a Maria{n}......e o desgraçado do meu avô.",这下，这个岛上的活人，……就只有我与真里亚、……与混帐老头了。,這下，這個島上的活人，……就只有我與真里亞、……與混帳老頭了。,"Adesso, gli unici esseri umani in vita su quest'isola... siamo io, Maria... e quel maledetto vecchiaccio.",[=UP],"Ahora, los únicos humanos con vida en esta isla... somos yo, María, y ese maldito viejo.", ﺍﻵﻥ، ﻟﻢ ﻳﺒﻖَ ﻋﻠﻰ ﻫﺬﻩ ﺍﻟﺠﺰﻳﺮﺓ ﻣﻦ ﺍﻟﺒﺸﺮ ﺍﻷﺣﻴﺎﺀ... ...ﻏﻴﺮﻱ، ﻭﻣﺎﺭﻳﺎ، ......ﻭﺫﻟﻚ ﺍﻟﻮﻏﺪ ﺍﺑﻦُ ﺍﻟﺤﺮﺍﻡ ﺍﺑﻦ ﺍﻟﺰﻓﺖ ﺍﻟﺸﺎﻳﺐ.
,".........No, there's also that nutso woman calling herself {f:5:Beatrice}...","......No, there's also that insane woman calling herself {f:5:Beatrice}... ",".........No, there's also that insane woman calling herself Beatrice...",………じゃないや、あのイカれた、ベアトリーチェとか名乗る女もだ…。,[=JP],".........Нет, есть ещё и та сбрендившая девушка, зовущая себя {f:5:Беатриче}...",".........Não, tem também aquela mulher maluca que se diz ser a {f:5:Beatrice}...",………啊、不对，还有一个疯疯癫癫的，自称是贝阿朵莉切的女人…。,………啊、不對，還有一個瘋瘋癲癲的，自稱是貝阿朵莉切的女人…。,"... No, c'è anche quella donna folle che si fa chiamare Beatrice...",[=UP],"... No, también está esa loca mujer que dice ser {f:5:Beatrice}...", .........ﻻ، ﻟﻴﺲ ﻫﻮ ﻟﻮﺣﺪﻩ، ﺑﻞ ﺗﻠﻚ ﺍﻟﻤﺠﻨﻮﻧﺔ ﺍﻟﺘﻲ ﺗُﺴﻤّﻲ ﻧﻔﺴﻬﺎ {f:7:ﺑﻴﺎﺗﺮﻳﺲ} ﺃﻳﻀًﺎ...
,Maria's been acting like she's on the witch's side from the beginning.{n}And Gramps is the very person who revived the witch.{n}Plus there's the witch herself.,"There's Maria, who had acted like the witch's ally from the beginning. And that geezer, the ringleader who revived the witch. And...the witch herself. ","Maria, who had acted like the witch's ally from the beginning.And that geezer, the ringleader who had revived the witch.And, the witch herself.",真里亞は初めから魔女の味方のような素振り。そしてジジイは魔女を蘇らせた張本人。そして、魔女本人。,真里亞は初めから魔女の味方のような素振り。{n}そしてジジイは魔女を蘇らせた張本人。{n}そして、魔女本人。,"Мария с самого начала вела себя как её союзница.{n}А этот старикан является главным зачинщиком всего, возродившим ведьму.{n}Плюс сама ведьма.",A Maria tem agindo como se ela estivesse do lado da bruxa desde o início.{n}E o vovô é a pessoa que reviveu a bruxa.{n}E tem também a própria bruxa.,真里亚从一开始就表现得像是站在魔女那边。{n}死老头是复活了魔女的罪魁祸首。{n}还有一个是魔女本人。,真里亞從一開始就表現得像是站在魔女那邊。{n}死老頭是復活了魔女的罪魁禍首。{n}還有一個是魔女本人。,"Maria, che sin dall'inizio ha agito come l'alleata della strega. E quel vecchiaccio, il capobanda che aveva resuscitato la strega. E poi, la strega stessa.",[=UP],"María, quien se había comportado como la aliada de la bruja desde un comienzo.{n}Y ese viejo, el cabecilla que había revivido a la bruja.{n}Además... está la bruja misma.", ﻭﻣﻨﺬ ﺍﻟﺒﺪﺀ، ﻛﺎﻧﺖ ﻣﺎﺭﻳﺎ ﺗﺘﺼﺮّﻑ ﻛﺄﻧّﻬﺎ ﻣﻦ ﺃﺗﺒﺎﻉ ﺍﻟﺴﺎﺣﺮﺓ.{n}ﻭﺟﺪّﻱ ﻫﻮ ﻣﻦ ﺑﻌﺜﻬﺎ ﻣِﻦ ﺭﻗﺎﺩﻫﺎ.{n}ﻭﻓﻮﻕ ﺫﻟﻚ... ﺍﻟﺴﺎﺣﺮﺓ ﻧﻔﺴﻬﺎ.
,"......What the hell... .........Then, it's just as though............I'm the only one on this island............","...What the hell....... By now, I might as well be... ...the only one on this island...... ","......What the hell, .........now, it's just as though, ............I'm the only one on this island.........",……何だよ、………もう、この島には、…………俺ひとりしかいないも、……同然じゃないかよ…………。,[=JP],......Чёрт возьми... сейчас я словно... один на всём острове...,"......Mas que merda... .........Então, é como eu pensei............eu sou o único nesta ilha............",……什么啊，………这个岛上，…………已经跟，……只有我一个一样了啊…………。,……什麼啊，………這個島上，…………已經跟，……只有我一個一樣了啊…………。,... Che diavolo... è come se ora... fossi l'unico su quest'isola...,[=UP],"... Qué demonios... ahora, es como si... yo fuera el único en esta isla...", ......ﺃﻱّ ﻋﺒﺚٍ ﻫﺬﺍ... .........ﺇﺫﻥ، ﻓﻜﺄﻧّﻤﺎ... .........ﻟﻢ ﻳﺒﻖَ ﻓﻲ ﻫﺬﻩ ﺍﻟﺠﺰﻳﺮﺓ ﺳﻮﺍﻱ............
,"Using my pole as a cane, I feebly rose to my feet.","Using my pole as a cane, I feebly rose. ","Using my pole as a cane, I feebly rose.",俺は棒切れを杖代わりに、力なく立ち上がる。,[=JP],"Воспользовавшись своим копьём как посохом, я с трудом поднялся.","Usando meu pedaço de pau como uma bengala, eu me levantei com dificuldade.",我将枪柄撑在地上，以此为拐杖，有气无力地站了起来。,我將槍柄撐在地上，以此為拐杖，有氣無力地站了起來。,"Usando la mia asta come un bastone da passeggio, mi alzai privo di forze.",[=UP],"Usando mi palo como bastón, me levanté débilmente.", ﺍﺗّﻜﺄﺕُ ﻋﻠﻰ ﺭﻣﺤﻲ ﻛﺎﻟﻌﺼﺎ، ﻭﻧﻬﻀﺖُ ﻣﺘﻬﺎﻭﻳًﺎ.
,"......Damn, I can't do it like this...{n}I've got to avenge...everyone......","...Damn, I can't do it like this... I've got to avenge...everyone... ","......Damn, I can't do it like this...I've got to avenge...everyone......",……クソ、こんなのじゃ駄目だ…。みんなの仇を、俺が取らないと……。,……クソ、こんなのじゃ駄目だ…。{n}みんなの仇を、俺が取らないと……。,"......Чёрт, так дело не пойдёт...{n}Я должен отомстить за всех...","......Merda, eu não consigo fazer isso assim...{n}Eu tenho que vingar...todos......",……可恶，不可以这样…。{n}我得去为大家报仇……。,……可惡，不可以這樣…。{n}我得去為大家報仇……。,"... Dannazione, non posso farcela così... io devo vendicare... tutti...",[=UP],"... Maldita sea, no puedo estar así...{n}Tengo que vengar... a todos...", ......ﺍﻟﻠﻌﻨﺔ، ﻻ ﻳﻤﻜﻨﻨﻲ ﺍﻻﺳﺘﻤﺮﺍﺭ ﻫﻜﺬﺍ...{n}ﻋﻠﻲّ ﺃﻥ ﺃُﺛﺄﺭ... ﻟﻠﺠﻤﻴﻊ......
Ushiromiya Battler,"""Damn iiiiiiiit...... This is no good... Yeah, it's no good, it's no goddamn good at all... Damn iiiiiiiiiiiiitt.........""","""Damn iiiiiiiit, ...it's useless this way... Aaah, it's useless, it's all useless... Damn iiiiiiiiiiiiitt......"" ","""Damn iiiiiiiit......, it's useless this way...  Aaah, it's useless, it's all useless...  Damn iiiiiiiiiiiiitt.........""",「畜生ぉおおぉぉ……、こんなんじゃ駄目だ…。あぁ、駄目だぜ、全然駄目だ…。畜生おおおおぉぉ………。」,「畜生ぉおおぉぉ……、こんなんじゃ駄目だ…。あぁ、駄目だぜ、全然駄目だ…。畜生おおおおぉぉ………」,"""Прокля‐а‐атье‐е‐е, это бесполезно... А‐а‐а, бесполезно, всё это бесполезно... Чёрт побери‐и‐и‐и‐и...""","""Merdaaaaaaaa...... Isso não está certo... Sim, isso não está certo, não está nada certo... Merdaaaaaaaaaaaaaa.........""",「畜生—————……，我可不能这样啊…。啊啊、不行啊，完全不行啊…。畜生——————………」,「畜生—————……，我可不能這樣啊…。啊啊、不行啊，完全不行啊…。畜生——————………」,"""Dannazioneeee... così è inutile... aaah, è inutile, è tutto inutile... Dannazioneeeeeeeeeeee...""",[=UP],"""Malditaaa seeeeea... es inútil de esta manera... Aaah, es inútil, es totalmente inútil... Maldita seaaaaaaaaaaaaaaa...""","""ﺗﺒًّﺎﺍﺍﺍﺍﺍﺍﺍﺍ...ﻛُّﻠﻪ ﺑِﻼ ﺟﺪﻭﻯ... ﻧﻌﻢ، ﻫﺬﺍ ﺑِﻼ ﺟﺪﻭﻯ، ﻛُّﻠﻪ ﺑِﻼ ﺟﺪﻭﻯ... ﺳﺤﻘًﺎﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍﺍ........."""
,I got the crying out of the way while I could... So that all my weak emotions would be squeezed out with my tears...,Might as well cry while I can... ...So that my frail emotions will be squeezed out with my tears... ,Why don't I cry for now...So that my frail emotions will be squeezed out with my tears...,今の内に、泣いておく…。弱々しい気持ちを全て涙と一緒に、搾り出しておくために…。,[=JP],Почему бы мне сейчас не поплакать? Так мои эмоции хотя бы выйдут со слезами...,Eu gritei o mais alto que eu pude... Para que todas as minhas emoções fossem expelidas junto com minhas lágrimas...,就趁现在，哭吧…。去将那懦弱的情感与眼泪一起，排出体外…。,就趁現在，哭吧…。去將那懦弱的情感與眼淚一起，排出體外…。,Perché non piango per adesso... in questo modo le mie emozioni più fragili verranno cacciate vie assieme alle lacrime...,[=UP],Me quité el llanto de encima mientras pude... Para que todas mis débiles emociones fueran exprimidas con mis lágrimas..., ﺃﻃﻠﻘﺖُ ﺻﺮﺧﺘﻲ ﺑﺎﻛﻴًﺎ ﻣﺎ ﺍﺳﺘﻄﻌﺖ... ﻷُﻓﺮﻍ ﻣﻦ ﺻﺪﺭﻱ ﻛﻞَّ ﺿﻌﻒٍ ﻣﻊ ﺩﻣﻮﻋﻲ...
,"Then, ......I straightened up, and gazed into the darkness in the direction of the mansion.","Then, ...I straightened up and gazed into the darkness in the direction of the mansion. ",[=UP],それから俺は、……背筋を伸ばし、屋敷のある方角の暗闇を見た。,[=JP],Затем я выпрямился и глянул в темноту в направлении особняка.,"Então, ......eu me endireitei e olhei para a escuridão, na direção da mansão.",哭完后，……我挺直腰板，望向了大屋方向的黑暗。,哭完後，……我挺直腰板，望向了大屋方向的黑暗。,"Poi... drizzai la schiena, e puntai lo sguardo sull'oscurità in direzione della villa.",[=UP],"Entonces... recobré la compostura, y miré a la oscuridad en dirección a la mansión.", ﺛﻢّ، ......ﺍﻋﺘﺪﻟﺖُ ﻭﺍﻗﻔًﺎ، ﻭﺃﻟﻘﻴﺖُ ﺑﺼﺮﻱ ﺇﻟﻰ ﺍﻟﻈﻠﻤﺔ ﻓﻲ ﺟﻬﺔ ﺍﻟﻘﺼﺮ.
,".........At the entrance to the mansion, the witch is waiting.","......At the entrance to the mansion, the witch is waiting. ",[=UP],………屋敷の玄関に、魔女が待ち受ける。,[=JP],.........У входа в особняк меня ждёт ведьма.,".........Na entrada da mansão, a bruxa está esperando.",………魔女正在大屋的正门等着。,………魔女正在大屋的正門等著。,"... All'entrata della villa, la strega sta aspettando.",[=UP],"... En la entrada de la mansión, la bruja está esperando.", .........ﻫﻨﺎﻙ، ﻋﻨﺪ ﺑﻮّﺍﺑﺘﻪ، ﺗﻨﺘﻈﺮ ﺍﻟﺴﺎﺣﺮﺓ.
,"I'll go, ......and settle this.",I'll go...and settle this. ,[=UP],行って、……ケリをつけてやる。,[=JP],Я пойду... и разберусь с этим раз и навсегда.,"Eu vou ir, ......e acabar com isso.",走，……去做个了结。,走，……去做個了結。,Andrò... e sistemerò questa faccenda.,[=UP],Iré... y terminaré con esto., ﺳﺄﺫﻫﺐ، ......ﻭﺃُﻧﻬﻲ ﺍﻷﻣﺮ.
,"I'll find the source of this weird, blood‐soaked night, ......and crush her with my own hands...!","I'll find the source of this weird, insane night...and crush her with my own hands...! ","I'll find the source of this weird, insane night, ......and crush her with my own hands...!",このおかしなおかしな、狂った夜の元凶を、……俺の手で、ぶっ潰してやる…！,このおかしなおかしな、血まみれの夜の元凶を、……俺の手で、ぶっ潰してやる…！,"Я найду источник этой странной, ужасной ночи... И раздавлю его собственными руками!","Eu vou encontrar a fonte dessa bizarra noite banhada à sangue, ......e esmagá‐la com minhas próprias mãos...!",用我的手来，干掉这场荒唐怪异的疯狂之夜的，……元凶…！,用我的手來，幹掉這場荒唐怪異的瘋狂之夜的，……元凶…！,Scoverò l'origine di questa folle notte bizzarra... e la faro a pezzi con le mie stesse mani...!,[=UP],¡Encontraré la fuente de esta extraña y sangrienta noche... y la aplastaré con mis propias manos!..., ﺳﺄﻛﺸﻒ ﺃﺻﻞَ ﻫﺬﻩ ﺍﻟﻠﻴﻠﺔ ﺍﻟﻐﺮﻳﺒﺔ، ﺍﻟﻤﻐﻤﻮﺳﺔ ﺑﺎﻟﺪﻡ، ......ﻭﺃﺣﻄّﻤﻬﺎ ﺑﻴﺪﻱّ ﺃﻧﺎ...!
,"Amidst the pouring rain, ......I walked through the rose garden without an umbrella, letting myself get soaked.","Amidst the pouring rain, ...I walked through the rose garden without an umbrella, letting myself get soaked. ",[=UP],土砂降りの雨の中、……俺は傘もなく、濡れるに任せて、薔薇庭園を歩く。,[=JP],"Я шёл через розарий под проливным дождём без зонтика, наплевав на то, что промок до нитки.","Em meio à chuva torrencial, ......eu caminhei através do jardim de rosas, sem guarda‐chuva, ficando completamente ensopado.",冒着倾盆大雨，……我伞也不撑，任由雨水淋湿身体，走在玫瑰庭园之中。,冒著傾盆大雨，……我傘也不撐，任由雨水淋濕身體，走在玫瑰庭園之中。,"Sotto la pioggia battente... attraversavo il roseto senza un ombrello, lasciando che mi inzuppassi.",[=UP],"Entre la lluvia que caía... caminé por el jardín de rosas sin un paraguas, empapándome.", ﺗﺤﺖ ﺍﻟﻤﻄﺮ ﺍﻟﻤﻨﻬﻤﺮ، ......ﺳﺮﺕُ ﻋﺒﺮ ﺣﺪﻳﻘﺔ ﺍﻟﻮﺭﺩ ﺩﻭﻥ ﻣﻈﻠّﺔ، ﺗﺎﺭﻛًﺎ ﻧﻔﺴﻲ ﺗﺒﺘﻞّ.
,......I could see the arbor in the distance.,...I could see the arbor on the other side. ,......I could see the arbor on the other side.,……向こうに東屋が見えた。,[=JP],Тут я увидел беседку на другой стороне.,......Eu conseguia ver o gazebo ao longe.,……在花丛对面，看到了亭子。,……在花叢對面，看到了亭子。,... Potevo scorgere il pergolato dall'altra parte.,[=UP],... Pude ver la pérgola al otro lado., ......ﻭﺑﻌﻴﺪًﺍ، ﻻﺣﺖ ﻟﻲ ﺳﻘﻴﻔﺔ ﺍﻟﺤﺪﻳﻘﺔ.
,"According to Jessica, it seemed that George‐aniki had also been killed...","According to Jessica, it seemed that George-aniki had also been killed... ","According to Jessica, it seemed that George-aniki had also been killed...",朱志香の話では、譲治の兄貴も殺されたらしい…。,[=JP],"По словам Джессики, Джордж‐аники тоже был мертв...","De acordo com a Jessica, parece que é onde o George‐aniki também foi morto...",据朱志香所说，让治大哥好像也已遇害…。,據朱志香所說，讓治大哥好像也已遇害…。,"Stando a Jessica, sembra che anche George-aniki fosse stato ucciso...",[=UP],"Según Jessica, parecía que George-aniki también había sido asesinado...", ﻭﺑﺤﺴﺐ ﻣﺎ ﻗﺎﻟﺖ ﺟﻴﺴﻴﻜﺎ، ﻓﻘﺪ ﺑﺪﺍ ﺃﻥّ ﺃﺧﻲ ﺟﻮﺭﺝ ﻗُﺘﻞ ﻫﻮ ﺍﻵﺧﺮ...
,"Well, by this point, there's no need to worry about the lives of any hostages.{n}......I left the path, aiming for the arbor.","Well, by this point, there's no need to worry about the lives of any hostages. ...I left the path, aiming for the arbor. ","Well, by this point, there's no need to worry about the lives of any hostages.......I left the path, aiming for the arbor.",どうせ、今さら人質の命も何もない。……俺は、道を外れ、東屋を目指す。,どうせ、今さら人質の命も何もない。{n}……俺は、道を外れ、東屋を目指す。,"Ну, сейчас уже нет необходимости заботиться о жизни любого из заложников.{n}......Я свернул с пути и направился к беседке.","Bem, agora não há motivos para se preocupar com a vida dos reféns.{n}......Eu saí do meu caminho e fui em direção ao gazebo.",反正，现如今，人质的命是一条都不剩了。{n}……我换了条道，朝亭子走去。,反正，現如今，人質的命是一條都不剩了。{n}……我換了條道，朝亭子走去。,"Beh, a questo punto, non c'è bisogno di preoccuparsi per le vite di eventuali ostaggi. ... Lasciai il sentiero, diretto al pergolato.",[=UP],"Bueno, a estas alturas, ya no hay necesidad de preocuparse por la vida de ningún rehén.{n}... Dejé el camino, yendo hacia la pérgola.", ﻋﻠﻰ ﺃﻱٍ، ﻻ ﺟﺪﻭﻯ ﻣﻦ ﺍﻟﻘﻠﻖ ﻋﻠﻰ ﺍﻟﺮﻫﺎﺋﻦ ﺑﻌﺪ ﺍﻵﻥ.{n}......ﺗﺮﻛﺖُ ﺍﻟﻄﺮﻳﻖ، ﻗﺎﺻﺪًﺍ ﺍﻟﺴﻘﻴﻔﺔ.
,"Then, ............I saw George‐aniki's weather‐beaten corpse...","Then, ......I saw George-aniki's weather-beaten corpse... ","Then, .........I saw George-aniki's weather-beaten corpse...",そして、…………譲治の兄貴の死体が、雨曝しになっているのを見た…。,[=JP],И вот тут‐то моему взору предстал обветренный труп Джорджа‐аники...,"Então, ............eu vi o cadáver do George‐aniki batido pelo tempo...",接着，…………我看到了，让治大哥暴露在雨中的尸体…。,接著，…………我看到了，讓治大哥暴露在雨中的屍體…。,Poi... vidi il corpo di George-aniki bistrattato dal maltempo...,[=UP],"Entonces... vi el cadáver de George-aniki, batido por el clima...", ﺛﻢّ، ............ﺭﺃﻳﺖُ ﺟﺜﻤﺎﻥ ﺃﺧﻲ، ﻗﺪ ﻧﺎﻟﺘﻪُ ﺃﻧﻮﺍﺀ ﺍﻟﺰﻣﻦ ﻭﺍﻟﻤﻄﺮ...
