Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR)
,"Though it could also be taken for a rant, it was as a result of faithfully carrying out that philosophy of his...that Kinzo had raised the Ushiromiya family to such prosperous heights......","As a result of faithfully carrying out that rant-like philosophy of his, Kinzo had glorified the Ushiromiya family to the state it was in today... ","As a result of faithfully carrying out that philosophy of his that sounded like a rant, Kinzo had glorified the Ushiromiya family to the state it was in today......",金蔵は今日まで、その暴言とも聞こえる自らの哲学を忠実に実行した結果、右代宮家をここまで繁栄させてきたのだ……。,[=JP],"В результате добросовестного следования этой философии, звучащей как болтовня, Кинзо прославил семью Уширомия до уровня, на котором она находилась сегодня......","Embora também pudesse ser assumido como um discurso retórico, era também resultado de uma fiel resolução de sua filosofia...que levou a família Ushiromiya ao patamar que é hoje......",金藏一直以来忠实地实行着这些听起来甚至像是蛮横胡言的自己的哲学的结果，就是使右代宫家有了今日的繁荣……。,金藏一直以來忠實地實行著這些聽起來甚至像是蠻橫胡言的自己的哲學的結果，就是使右代宮家有了今日的繁榮……。,"Come risultato per aver portato avanti fedelmente quella sua filosofia che suonava come una declamazione, Kinzo aveva glorificato la famiglia Ushiromiya fino allo stato in cui era ora...",[=UP],"Como resultado de llevar a cabo esa filosofía que sonaba como si simplemente estuviera despotricando, Kinzo había alzado a la familia Ushiromiya a su actual estado...",ﻋﻠﻰ ﺍﻟﺮﻏﻢ ﻣﻦ ﺃﻧﻪ ﻳﻤﻜﻦ ﺍﻋﺘﺒﺎﺭﻫﺎ ﻫﺬﻳﺎﻧًﺎ، ﺇﻻ ﺃﻧﻬﺎ ﻛﺎﻧﺖ ﻧﺘﻴﺠﺔ ﻟﺘﻨﻔﻴﺬﻩ ﻟﺘﻠﻚ ﺍﻟﻔﻠﺴﻔﺔ ﺑﺈﺧﻼﺹ...ﺃﻥ ﻛﻴﻨﺰﻭ ﻗﺪ ﺭﻓﻊ ﻋﺎﺋﻠﺔ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ ﺇﻟﻰ ﻫﺬﻩ ﺍﻟﻤﺮﺍﺗﺐ ﺍﻟﻤﺰﺩﻫﺮﺓ......
,"It may be hard to imagine after his immersion in the occult in recent years, but it was that brutal aggressiveness that was Ushiromiya Kinzo's charisma and aura...","It may be hard to imagine after his immersion in the occult in recent years, but that brutally overbearing outlook was no more or less than Ushiromiya Kinzo's charisma and aura... ","It may be hard to imagine after his immersion in the occult in recent years, but that brutal overbearing quality was itself Ushiromiya Kinzo's charisma and aura...",近年のオカルト被れの金蔵からは想像もつかないだろうが、この凶暴なる強引さこそが、右代宮金蔵のカリスマであり、オーラでもある…。,[=JP],"Возможно, это трудно себе представить после его погружения в оккультизм в последние годы, но эта грубая нахрапистая черта сама по себе являлась харизмой и аурой Кинзо...","Poderia ser difícil imaginar após seus recentes anos imersos no ocultismo, mas esta era a agressiva e brutal aura do carisma de Ushiromiya Kinzo...",虽然从近几年痴迷神秘学的金藏身上是完全想象不到的吧，但这份凶暴的强硬，正是右代宫金藏的魅力、霸气…。,雖然從近幾年痴迷神秘學的金藏身上是完全想像不到的吧，但這份凶暴的強硬，正是右代宮金藏的魅力、霸氣…。,"Può essere difficile da immaginare dopo la sua immersione nell'occulto dei recenti anni, ma quella brutale e oppressiva qualità era proprio il carisma e l'aura di Ushiromiya Kinzo...",[=UP],"Aunque fuera difícil de imaginar tras su inmersión en el ocultismo en los últimos años, ese bruto autoritarismo era en sí el carisma y aura de Kinzo...",ﻗﺪ ﻳﻜﻮﻥ ﻣﻦ ﺍﻟﺼﻌﺐ ﺗﺨﻴﻞ ﺫﻟﻚ ﺑﻌﺪ ﺍﻧﻐﻤﺎﺳﻪ ﻓﻲ ﺍﻟﺴﺤﺮ ﻓﻲ ﺍﻟﺴﻨﻮﺍﺕ ﺍﻷﺧﻴﺮﺓ، ﻟﻜﻦ ﺗﻠﻚ ﺍﻟﻌﺪﻭﺍﻧﻴﺔ ﺍﻟﻮﺣﺸﻴﺔ ﻛﺎﻧﺖ ﻫﻲ ﺟﺎﺫﺑﻴﺔ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ ﻛﻴﻨﺰﻭ ﻭﻫﺎﻟﺘﻪ...
Ushiromiya Kinzo,"""Such a weak‐minded person has no qualification to inherit everything of the Ushiromiya family. In that case, is Eva, Rudolf, or Rosa qualified?""","""Such an unsatisfactory person is not qualified to inherit everything of the Ushiromiya family. In that case, is Eva, Rudolf, or Rosa qualified?"" ","""Such an unsatisfactory person is not qualified to inherit everything of the Ushiromiya family.  In that case, is Eva, Rudolf, or Rosa qualified?",「このような不甲斐ない蔵臼に、右代宮家の全てを継承する資格などない。ならば、絵羽、留弗夫、楼座の３人にはあるのか？,「このような不甲斐ない蔵臼に、右代宮家の全てを継承する資格などない。ならば、絵羽、留弗夫、楼座の３人にはあるのか？」,"""Столь неудовлетворительная личность не подходит для наследования всего принадлежащего семье Уширомия. Тогда годятся ли Ева, Рудольф или Роза?""","""Tal pessoa com uma mentalidade tão fragilizada não possui as qualificações para herdar os bens da família Ushiromiya. Neste caso, estaria Eva, Rudolf ou Rosa qualificados?""",「如此不像样的藏臼没资格继承右代宫家的一切。那么，绘羽、留弗夫、楼座三人有么？」,「如此不像樣的藏臼沒資格繼承右代宮家的一切。那麼，繪羽、留弗夫、樓座三人有麼？」,"""Una persona così insoddisfacente non è qualificata ad ereditare ogni cosa della famiglia Ushiromiya. In questo caso, sono Eva, Rudolf, o Rosa qualificati?",[=UP],"""Una persona tan poco satisfactoria no puede heredar todo lo de la familia Ushiromiya. Entonces, ¿están Eva, Rudolf o Rosa calificados?""","""ﺷﺨﺺ ﺿﻌﻴﻒ ﺍﻟﻌﻘﻞ ﻛﻬﺬﺍ ﻻ ﻳﻤﻠﻚ ﺍﻟﻤﺆﻫﻼﺕ ﻟﻴﺮﺙ ﻛﻞ ﺷﻲﺀ ﻣﻦ ﻋﺎﺋﻠﺔ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ. ﻓﻲ ﻫﺬﻩ ﺍﻟﺤﺎﻟﺔ، ﻫﻞ ﺇﻳﻔﺎ، ﺃﻭ ﺭﻭﺩﻭﻟﻒ، ﺃﻭ ﺭﻭﺯﺍ ﻣﺆﻫﻠﻮﻥ؟"""
Ushiromiya Kinzo,"""That is also <no>!! You were not able to solve the riddle, and neither were you able to scheme to drag Krauss down from his throne! All the three of you could manage to do was put together a united front to try to extort money from Krauss.""","""Again, <no>!! You were unable to solve the riddle, and you were also unable to use a scheme to drag Krauss down! All the three of you managed to do was gather together in a united front to try and extort money from Krauss. ","That is also <no>!!  You were unable to solve the riddle, and despite that, you were unable to use a scheme to drag Krauss down!  All the three of you managed to do was gather together in a united front to try and extort money from Krauss.",これもノーである！！　碑文の謎を解けず、さりとて蔵臼を引き摺り下ろす策も弄せず！　お前たちに出来たのは３人寄せ集めで共同戦線を張って、蔵臼からカネをせびろうとしたことだけ。,「これもノーである！！　碑文の謎を解けず、さりとて蔵臼を引き摺り下ろす策も弄せず！　お前たちに出来たのは３人寄せ集めで共同戦線を張って、蔵臼からカネをせびろうとしたことだけ」,"""С вами то же самое! Вы не смогли разгадать загадку, и, несмотря на это, не преуспели в принуждении Краусса хитростью делать по‐вашему! Вашей троицы хватило лишь на то, чтобы выступить против него единым фронтом и попытаться вытянуть из него деньги.""","""A resposta também é um <NO>!! Vocês não foram capazes de resolver o enigma, e sequer capazes de armar um plano capaz de tirar Krauss de seu trono! Vocês três poderiam se unir em um fronte de ataque para tentar extorquir dinheiro do Krauss.""",「同样是，NO！！解不开碑文之谜，却也耍不出能把藏臼拉下位子的手段！你们所做的仅仅是三人一起结成共同战线，死乞白赖地硬要藏臼给钱。」,「同樣是，NO！！解不開碑文之謎，卻也耍不出能把藏臼拉下位子的手段！你們所做的僅僅是三人一起結成共同戰線，死乞白賴地硬要藏臼給錢。」,"Anche questo è un {p:0:＜}no{p:0:＞}!! Siete stati incapaci di risolvere l'enigma, e a dispetto di ciò, siete stati incapaci di orchestrare un piano per abbattere Krauss! Tutti ciò che voi tre siete riusciti a fare è stato riunirvi in un fronte comune e provare ad estorcere denaro a Krauss.",[=UP],"""¡¡De nuevo, <no>!! ¡Fueron incapaces de resolver el acertijo y de usar algún plan para destruir a Krauss! Todo lo que han sido capaces de hacer ha sido formar un frente unido para intentar sacarle dinero a Krauss.""","""ﻫﺬﺍ ﺃﻳﻀﺎً <ﻻ>!! ﻟﻢ ﺗﺘﻤﻜﻨﻮﺍ ﻣﻦ ﺣﻞ ﺍﻷﺣﺠﻴﺔ، ﻭﻟﻢ ﺗﺘﻤﻜﻨﻮﺍ ﻣﻦ ﺍﻟﺘﺂﻣﺮ ﻹﺳﻘﺎﻁ ﻛﺮﺍﻭﺱ ﻣﻦ ﻋﺮﺷﻪ! ﻛﻞ ﻣﺎ ﺗﻤﻜﻨﺘﻢ ﺛﻼﺛﺘﻜﻢ ﻣﻦ ﻓﻌﻠﻪ ﻫﻮ ﺗﺸﻜﻴﻞ ﺟﺒﻬﺔ ﻣﻮﺣﺪﺓ ﻟﻤﺤﺎﻭﻟﺔ ﺍﺑﺘﺰﺍﺯ ﺍﻟﻤﺎﻝ ﻣﻦ ﻛﺮﺍﻭﺱ."""
Ushiromiya Kinzo,"""And even that scheme was thoughtless! You can't even corner Krauss all by himself! .........There could be nothing more shameful!""","And even that scheme was thoughtless! You can't even corner Krauss all by himself! ......There could be nothing more shameful!"" ","  And even that scheme was thoughtless!  You can't even corner Krauss all by himself!  .........There could be nothing more shameful!",しかもその策も浅はかそのもの！　蔵臼一人を追い詰めることさえ出来やしない！　………情けないことこの上なしッ！,「しかもその策も浅はかそのもの！　蔵臼一人を追い詰めることさえ出来やしない！　………情けないことこの上なしッ！」,"""И даже задуманная вами уловка оказалась бесполезной! Вы не способны даже загнать Краусса в угол, когда он сам за себя! .........Нет ничего постыдней, чем это!""","""Mas mesmo este plano foi impensado! Sequer conseguiram encurralar Krauss sozinhos! .........Não há como ser mais vexatório que isto!""",「而且，这计策也很肤浅！连把藏臼一人逼上绝路都做不到！………没出息到了无以复加的地步！」,「而且，這計策也很膚淺！連把藏臼一人逼上絕路都做不到！………沒出息到了無以復加的地步！」,E anche quel piano era sconsiderato! Non riuscite nemmeno a mettere spalle al muro il solo Krauss! ... Non ci potrebbe essere niente di più vergognoso!,[=UP],"""¡E incluso eso fue inútil! ¡No pueden ni siquiera acorralar a Krauss en solitario!... ¡No hay nada más vergonzoso!""","""ﻭﺣﺘﻰ ﺫﻟﻚ ﺍﻟﻤﺨﻄﻂ ﻛﺎﻥ ﻃﺎﺋﺸﺎً! ﻻ ﻳﻤﻜﻨﻜﻢ ﺣﺘﻰ ﻣﺤﺎﺻﺮﺓ ﻛﺮﺍﻭﺱ ﺑﻤﻔﺮﺩﻩ! .........ﻻ ﻳﻤﻜﻦ ﺃﻥ ﻳﻜﻮﻥ ﻫﻨﺎﻙ ﻣﺎ ﻫﻮ ﺃﻛﺜﺮ ﺧﺰﻳﺎً!"""
Ushiromiya Kinzo,"""You lack the avarice to steal away the position of successor by any means necessary!! In order to get what you want, you should pay all sacrifices, be covetous, avaricious to the last...!! Fortune smiles upon the greedy!!""","""You lack the avarice to steal away the position of Successor by any means!! In order to get what you want, you should sacrifice everything, becoming as covetous and greedy as possible...!! The goddess of luck smiles upon the greedy!! ","You lack the avarice to steal away the position of next head by any means!!  In order to get what you want, you should pay all sacrifices, become as covetous, as greedy as possible...!!  The goddess of luck smiles upon the greedy!!",次期当主の座をどんなことをしてでも奪い取ろうという貪欲さが足りぬ！！　欲しいもののためには如何なる犠牲も払い、どこまでも貪欲となるべし、強欲となるべし…！！　幸運の女神は貪欲なる者にこそ微笑む！！,「次期当主の座をどんなことをしてでも奪い取ろうという貪欲さが足りぬ！！　欲しいもののためには如何なる犠牲も払い、どこまでも貪欲となるべし、強欲となるべし…！！　幸運の女神は貪欲なる者にこそ微笑む！！」,"""Вам не хватает целеустремлённости всеми средствами отобрать место следующего главы! Чтобы получить желаемое, вы должны пойти на любые жертвы, стать, насколько это возможно, скупыми и жадными! Богиня удачи улыбается жадным!""","""A falta de avareza de vocês para roubar a posição de sucessor a todo custo é algo necessário!! A fim de conseguir aquilo que querem, devem pagar todos os sacrifícios, serem ambiciosos, serem avarentos...!! A deusa da sorte sorri para aqueles que são gananciosos!!""",「你们缺少不管做什么都要抢到下任当主宝座的贪欲！！为了想要的东西，得敢于牺牲一切，得把贪欲与贪婪发挥到极致…！！幸运的女神会向贪得无厌之人微笑！！」,「你們缺少不管做什麼都要搶到下任當主寶座的貪慾！！為了想要的東西，得敢於犧牲一切，得把貪慾與貪婪發揮到極致…！！幸運的女神會向貪得無厭之人微笑！！」,"Mancate di avarizia per rubare la posizione di prossimo capofamiglia!! {n}Per ottenere quello che volete, dovreste fare dei sacrifici, diventare più bramosi, più avidi possibile...!! La dea della fortuna sorride agli avidi!!",[=UP],"""¡¡No tienen la avaricia necesaria para robar la posición de sucesor por cualquier método!! ¡¡Para conseguir lo que quieren, deben pagar todo sacrificio, ser tan codiciosos y ávidos como puedan!!... ¡¡La diosa de la fortuna sonríe a los codiciosos!!""","""ﻳﻨﻘﺼﻜﻢ ﺍﻟﺠﺸﻊ ﻟﺴﺮﻗﺔ ﻣﻨﺼﺐ ﺍﻟﺨﻠﻴﻔﺔ ﺑﺄﻱ ﻭﺳﻴﻠﺔ ﺿﺮﻭﺭﻳﺔ!! ﻣﻦ ﺃﺟﻞ ﺍﻟﺤﺼﻮﻝ ﻋﻠﻰ ﻣﺎ ﺗﺮﻳﺪﻭﻥ، ﻳﺠﺐ ﺃﻥ ﺗﺪﻓﻌﻮﺍ ﻛﻞ ﺍﻟﺘﻀﺤﻴﺎﺕ، ﻭﺃﻥ ﺗﻜﻮﻧﻮﺍ ﻃﺎﻣﻌﻴﻦ، ﺟﺸﻌﻴﻦ ﺣﺘﻰ ﺍﻟﻨﻬﺎﻳﺔ...!! ﺍﻟﺤﻆ ﻳﺒﺘﺴﻢ ﻟﻠﻄﻤﺎﻋﻴﻦ!!"""
Ushiromiya Kinzo,"""You three, who lack that wild spirit, are as unfit for the succession as Krauss!!""","You three, who don't have that wild spirit, are as unfit for the succession as Krauss is!!"" ","  You three, who don't have that wild spirit, are as unfit for the succession as Krauss is!!""",　その野生の精神がないお前たち３人に、蔵臼同様に継承の資格などありはしないッ！！」,「その野生の精神がないお前たち３人に、蔵臼同様に継承の資格などありはしないッ！！」,"""Вы трое, не наделённые этим диким духом, так же как и Краусс не годитесь в наследники!""","""Vocês três, que faltam com um espírito atroz, são inadequados, assim como Krauss, para obterem a sucessão!!""",「没有这种野生精神的你们三人，与藏臼一样，没有继承的资格！！」,「沒有這種野生精神的你們三人，與藏臼一樣，沒有繼承的資格！！」,"Voi tre, che non avete questo spirito selvaggio, siete inadatti alla successione quanto Krauss!!""",[=UP],"""¡¡Ustedes tres, que no tienen ese espíritu salvaje, son tan inadecuados para la sucesión como Krauss!!""","""ﺃﻧﺘﻢ ﺍﻟﺜﻼﺛﺔ، ﺍﻟﺬﻳﻦ ﺗﻔﺘﻘﺮﻭﻥ ﺇﻟﻰ ﺗﻠﻚ ﺍﻟﺮﻭﺡ ﺍﻟﺠﺎﻣﺤﺔ، ﻏﻴﺮ ﻣﺆﻫﻠﻴﻦ ﻟﻠﺨﻼﻓﺔ ﻣﺜﻞ ﻛﺮﺍﻭﺱ ﺗﻤﺎﻣﺎً!!"""
,Eva and the rest had no words to respond with. And they couldn't figure out what it was that Kinzo was about to say...,Eva and the rest had no words to respond with. And they couldn't calculate what it was Kinzo was about to say... ,"Eva and the rest had no words to respond with.And they couldn't calculate what it was Kinzo was about to say...",絵羽たちに返せる言葉はない。そして、金蔵が何を語ろうとしているのか、計りかねている…。,[=JP],"Ева и остальные не нашли, что ответить. И они не могли просчитать, что собирался сказать Кинзо...",Nem Eva nem nenhum deles tinha palavras para responder àquilo.{n}Eles nem sequer conseguiam entender sobre o que Kinzo estava falando...,绘羽等人无话可还。而且也完全猜不出，金藏到底要说什么…。,繪羽等人無話可還。而且也完全猜不出，金藏到底要說什麼…。,Eva e gli altri non avevano parole per rispondere. E non potevano pensare a cosa Kinzo stava per dire...,[=UP],Eva y el resto no tenían palabras para responder. Y no tenían ni idea de qué estaría a punto de decir Kinzo...,ﻟﻢ ﻳﻜﻦ ﻟﺪﻯ ﺇﻳﻔﺎ ﻭﺍﻟﺒﻘﻴﺔ ﻛﻠﻤﺎﺕ ﻟﻠﺮﺩ ﺑﻬﺎ. ﻭﻟﻢ ﻳﺘﻤﻜﻨﻮﺍ ﻣﻦ ﻣﻌﺮﻓﺔ ﻣﺎ ﺍﻟﺬﻱ ﻛﺎﻥ ﻛﻴﻨﺰﻭ ﻋﻠﻰ ﻭﺷﻚ ﻗﻮﻟﻪ...
,Was Kinzo actually planning to proclaim that no one would succeed the head?,Was Kinzo actually planning to proclaim that no one would succeed the Headship? ,"Was Kinzo actually planning to proclaim that no one would succeed the head?",金蔵はまさか、誰にも当主を継がないとでも宣言するつもりだろうか？,[=JP],"Намеревался ли Кинзо объявить, что никто не наследует главенство?","Estaria Kinzo, na verdade, planejando proclamar que nenhum deles sucederia a chefia da família?",金藏难道是要宣言，不让任何人继承当主么？,金藏難道是要宣言，不讓任何人繼承當主麼？,Kinzo aveva in mente di proclamare che nessuno sarebbe succeduto a capofamiglia?,[=UP],¿Realmente pretendía decir que no habría sucesor?,ﻫﻞ ﻛﺎﻥ ﻛﻴﻨﺰﻭ ﻳﺨﻄﻂ ﺑﺎﻟﻔﻌﻞ ﻹﻋﻼﻥ ﺃﻥ ﻻ ﺃﺣﺪ ﺳﻴﺨﻠﻔﻪ؟
,"If so, that would work to Eva, Rosa, and Rudolf's advantage.","If so, that would work to Eva, Rosa, and Rudolf's advantage. ","If so, that would work to Eva, Rosa, and Rudolf's advantage.",もしそうならば、それは絵羽たちにとって利することになる。,[=JP],"Если так, то это сыграет на руку Еве, Розе и Рудольфу.","Se fosse este o caso, seria uma vantagem para Eva, Rosa e Rudolf.",若是如此的话，那就会对绘羽等人很有利。,若是如此的話，那就會對繪羽等人很有利。,"Se così fosse, sarebbe andato a favore di Eva, Rosa, e Rudolf.",[=UP],"Eso sería una ventaja para Eva, Rosa y Rudolf.",ﺇﺫﺍ ﻛﺎﻥ ﺍﻷﻣﺮ ﻛﺬﻟﻚ، ﻓﺈﻥ ﺫﻟﻚ ﺳﻴﻜﻮﻥ ﻓﻲ ﺻﺎﻟﺢ ﺇﻳﻔﺎ ﻭﺭﻭﺯﺍ ﻭﺭﻭﺩﻭﻟﻒ.
,"Because the only thing the siblings would ultimately need to do is coordinate everything between them after Kinzo's death, and split the inheritance evenly.","After all, in the end, they'd just have to renegotiate everything among the siblings after Kinzo's death, splitting the inheritance evenly. ","Because in the end, they would just have to retune everything between the siblings after Kinzo's death, and split the inheritance evenly.",結局のところ、金蔵の死後に兄弟で改めて調整し、遺産を山分けすればいいだけの話だからだ。,[=JP],Поскольку в конечном и итоге братьям и сёстрам просто придётся уладить всё между собой после смерти Кинзо и поделить наследство поровну.,Porque tudo o que os irmãos precisariam fazer de ultimato seria coordenar tudo após o falecimento de Kinzo e dividir a herança generosamente.,因为这样的话，归根到底，就只需要在金藏死后，兄妹几人重新协调一下，平分遗产就行了。,因為這樣的話，歸根到底，就只需要在金藏死後，兄妹幾人重新協調一下，平分遺產就行了。,"Perché alla fine, avrebbero dovuto sistemare tutto fra fratelli dopo la morte di Kinzo, e dividere equamente l'eredità.",[=UP],"Pues al final, los hermanos solo tendrían que ponerse de acuerdo entre ellos y repartirlo todo a partes iguales tras la muerte de Kinzo.",ﻷﻥ ﺍﻟﺸﻲﺀ ﺍﻟﻮﺣﻴﺪ ﺍﻟﺬﻱ ﺳﻴﺤﺘﺎﺟﻪ ﺍﻹﺧﻮﺓ ﻓﻲ ﺍﻟﻨﻬﺎﻳﺔ ﻫﻮ ﺗﻨﺴﻴﻖ ﻛﻞ ﺷﻲﺀ ﺑﻴﻨﻬﻢ ﺑﻌﺪ ﻭﻓﺎﺓ ﻛﻴﻨﺰﻭ، ﻭﺗﻘﺴﻴﻢ ﺍﻟﻤﻴﺮﺍﺙ ﺑﺎﻟﺘﺴﺎﻭﻱ.
,"On the contrary, if a specific person's name was raised and proclaimed to be the one to succeed the head, that would surely be {i:more} troublesome.",It would surely be more troublesome if a specific person's name was raised and proclaimed to be the Successor. ,"It would surely be more troublesome if a specific person's name was raised and proclaimed to be the one to succeed the head.",むしろ、具体的に個人名を挙げて、誰かに継承を宣言される方が厄介に違いなかった。,[=JP],"Если же будет названо и объявлено конкретное имя другого человека, который унаследует главенство, то это доставит {i:определённые} проблемы.","Do contrário, se o nome de uma pessoa em específico fosse trazido à tona e proclamado que ela seria o sucessor, isto certamente seria ainda {i:mais} problemático.",不如说，反而是具体举出某一个人的名字，宣言让此人继承的情况会难办得多。,不如說，反而是具體舉出某一個人的名字，宣言讓此人繼承的情況會難辦得多。,Sarebbe stato di sicuro più problematico se avesse fatto il nome di una persona specifica e avesse proclamato che sarebbe diventato il nuovo capofamiglia.,[=UP],"Por el contrario, seguramente sería un {i:mayor} problema que se proclamase a una persona en particular como sucesor.",ﻋﻠﻰ ﺍﻟﻌﻜﺲ ﻣﻦ ﺫﻟﻚ، ﺇﺫﺍ ﺗﻢ ﺫﻛﺮ ﺍﺳﻢ ﺷﺨﺺ ﻣﻌﻴﻦ ﻭﺇﻋﻼﻧﻪ ﻫﻮ ﻣﻦ ﺳﻴﺨﻠﻒ ﺍﻟﺰﻋﺎﻣﺔ، ﻓﻤﻦ ﺍﻟﻤﺆﻛﺪ ﺃﻥ ﺫﻟﻚ ﺳﻴﻜﻮﻥ {i:ﺃﻛﺜﺮ} ﺇﺯﻋﺎﺟﺎً.
,......But would Kinzo really say something that would benefit any of the four siblings after lambasting them so much?,...But would Kinzo really say something to benefit any of the four siblings after demeaning them so much? ,"......But would Kinzo really say something that would benefit any of the four siblings after demeaning them so much?",……しかし、ここまで四兄弟を扱き下ろした金蔵が、その誰かが得をするようなことを言うだろうか。,[=JP],"......Но неужели Кинзо действительно скажет что‐либо выгодное для своих детей после того, как настолько принизил их?",......Mas Kinzo realmente iria querer dizer algo que iria beneficiar algum dos quatro irmãos depois de ridicularizar tanto eles?,……不过，把四兄妹贬得一无是处的金藏，真的会说出让其中某人获利的话吗？,……不過，把四兄妹貶得一無是處的金藏，真的會說出讓其中某人獲利的話嗎？,... Ma Kinzo avrebbe davvero detto qualcosa che avrebbe favorito uno dei quattro fratelli dopo averli avviliti così tanto?,[=UP],... ¿Pero realmente diría Kinzo algo que los beneficiara a los cuatro hermanos tras humillarlos de esa forma?,......ﻭﻟﻜﻦ ﻫﻞ ﺳﻴﻘﻮﻝ ﻛﻴﻨﺰﻭ ﺣﻘﺎً ﺷﻴﺌﺎً ﻳﻔﻴﺪ ﺃﻳﺎً ﻣﻦ ﺍﻷﺷﻘﺎﺀ ﺍﻷﺭﺑﻌﺔ ﺑﻌﺪ ﺃﻥ ﻭﺑﺨﻬﻢ ﻛﺜﻴﺮﺍً؟
Ushiromiya Eva,"""......You don't think...he's going to say that because no one will succeed him, he'll donate all of his fortune to charity or something, right......?""","""...You don't think...he's going to say that because no one will succeed him, he'll donate all of his fortune to charity or something, right...?"" ","""......You don't think...he's going to say that because no one will succeed him, he'll donate all of his fortune to charity or something, right......?""",「……まさか、誰にも引き継がないからと、財産を全て慈善団体にでも寄付するとか言い出すつもりじゃないでしょうね……。」,「……まさか、誰にも引き継がないからと、財産を全て慈善団体にでも寄付するとか言い出すつもりじゃないでしょうね……」,"""......Как ты думаешь... Не собирается ли он сказать, что раз никто не наследует ему, то он пожертвует всё своё состояние на благотворительность, а?""","""......Você não acha que...ele vai dizer que ninguém o sucederá, e então vai doar toda a sua fortuna para a caridade, né......?""",「……爸总不会是要说，不让任何人继承，要把所有财产捐给慈善团体吧……？」,「……爸總不會是要說，不讓任何人繼承，要把所有財產捐給慈善團體吧……？」,"""... Non penserete che... dirà che dato che nessuno gli succederà, donerà tutta la sua fortuna in beneficenza o roba simile, vero...?""",[=UP],"""... No creen que... va a decir que, ya que nadie va a ser su sucesor, lo donará todo a la caridad o algo así, ¿verdad?...""","""......ﻻ ﺗﻌﺘﻘﺪ... ﺃﻧﻪ ﺳﻴﻘﻮﻝ ﺇﻧﻪ ﻷﻧﻪ ﻻ ﺃﺣﺪ ﺳﻴﺨﻠﻔﻪ، ﺳﻴﺘﺒﺮﻉ ﺑﻜﻞ ﺛﺮﻭﺗﻪ ﻟﻠﺠﻤﻌﻴﺎﺕ ﺍﻟﺨﻴﺮﻳﺔ ﺃﻭ ﺷﻲﺀ ﻣﻦ ﻫﺬﺍ ﺍﻟﻘﺒﻴﻞ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ......؟"""
Ushiromiya Rosa,""".........I'm afraid I wouldn't put it past Father.""","""......I'm afraid I wouldn't put it past Father."" ",""".........I'm afraid I wouldn't put it past Father.""",「………お父様ならやりかねないという恐怖はあるわ。」,「………お父様ならやりかねないという恐怖はあるわ」,""".........Отец вполне может пойти на такое.""",""".........Temo que o pai poderia fazer tal coisa.""",「………怕的就是，爸这人真有可能做得出来。」,「………怕的就是，爸這人真有可能做得出來。」,"""... Ho paura che nostro Padre sarebbe capace di una cosa simile.""",[=UP],"""... Me temo que no me extrañaría viniendo de padre.""",""".........ﺃﺧﺸﻰ ﺃﻧﻨﻲ ﻻ ﺃﺳﺘﺒﻌﺪ ﺫﻟﻚ ﻋﻠﻰ ﺃﺑﻲ."""
Ushiromiya Rudolf,"""The blood's just risen to his head...... For the time being, we're just gonna have to hear him out.""","""The blood's just risen to his head... We can't do anything but let him talk for now."" ","""The blood's just risen to your head......  We can do nothing but hear him out.""",「頭に血が上ってるだけさ……。しばらくは聞き流すしかねぇ。」,「頭に血が上ってるだけさ……。しばらくは聞き流すしかねぇ」,"""Тебе кровь в голову ударила... Нам ничего не остаётся, кроме как выслушать его.""","""O sangue não apenas subiu à sua cabeça...... Por ora, vamos apenas ouvi‐lo.""",「只是热血冲头罢了……。暂时只能当没听到。」,「只是熱血衝頭罷了……。暫時只能當沒聽到。」,"""Vi è solo salito il sangue alla testa... non possiamo far altro che ascoltarlo.""",[=UP],"""La sangre te está subiendo a la cabeza... Lo único que podemos hacer es escucharle.""","""ﻟﻘﺪ ﺻﻌﺪ ﺍﻟﺪﻡ ﺇﻟﻰ ﺭﺃﺳﻪ...... ﻓﻲ ﺍﻟﻮﻗﺖ ﺍﻟﺤﺎﻟﻲ، ﻋﻠﻴﻨﺎ ﻓﻘﻂ ﺃﻥ ﻧﺴﺘﻤﻊ ﺇﻟﻴﻪ."""
