Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
{f:5:Featherine},"""......In short, the tale must be put inside a cat box at the appropriate time. ......The cat box has been the subject of this long tale, so is it not better to refrain from writing the finale in its entirety, to instead put it in the cat box and leave it there...?""","""...In short, the tale must be put inside a cat box at the appropriate time. ...The cat box has been the subject of this long tale, so is it not better to refrain from writing its demise, to instead put it in the cat box and leave it there...?"" ","""......In short, the tale must be put inside a cat box at the appropriate time. ......The cat box has been the subject of this long tale, so is it not better to refrain from writing its demise, to instead put it in the cat box and leave it there...?""",「……つまり、物語は適当なところで猫箱にしまうべきなのだ。……猫箱を巡っての長き物語なのだから、その終焉も最後までを記さず、猫箱にしまってしまうのが良いのではあるまいか…？」,[=JP],"""......В общем, историю надо в нужное время положить в кошачью коробку. ......Кошачья коробка была темой этой длинной истории, так что не лучше ли воздержаться от написания её кончины и вместо этого положить историю в кошачью коробку, оставив её там?..""","""......Resumindo, um conto deve ser colocado dentro da caixa de gato no momento apropriado. ......A caixa de gato foi objeto deste longo conto, logo não seria melhor conter‐me de escrever seu final por completo, ao invés de colocá‐lo na caixa e deixá‐lo lá...?""",[=UP],「……換言之，就是要把故事在適當的時候關入貓箱。……關於貓箱的故事還很長，不記述到終焉的最後一刻，把最後關入貓箱不也很好嗎…？」,「……换言之，就是要把故事在适当的时候关入猫箱。……关于猫箱的故事还很长，不记述到终焉的最后一刻，把最后关入猫箱不也很好吗…？」,[=UP],[=UP],[=UP]
,{f:5:Featherine}......spoke to no one inside the empty study.,{f:5:Featherine}...spoke to no one inside the empty study. ,Featherine...spoke to no one inside the empty study.,フェザリーヌは、自分以外に誰もいない書斎で、……誰にともなく、そう語る。,[=JP],{f:5:Фезарин}...говорила в никуда в пустом кабинете.,{f:5:Featherine}......falou para ninguém dentro do escritório vazio.,[=UP],菲澤莉努在沒有他人在的書房中，……這樣自言自語。,菲泽莉努在没有他人在的书房中，……这样自言自语。,[=UP],[=UP],[=UP]
,"Of course, no one commented on her words.","Of course, no one commented on her words. "," Of course, no one commented on her words.",もちろん、誰かが相槌を打つわけもない。,[=JP],"Разумеется, никто не прокомментировал её слова.","É claro, ninguém comentou sobre suas palavras.",[=UP],當然，也不是打算是與誰交流。,当然，也不是打算是与谁交流。,[=UP],[=UP],[=UP]
,"However, {f:5:Featherine} seemed to hear something.{n}She nodded and grinned contentedly.","However, {f:5:Featherine} seemed to hear something. She nodded and grinned contentedly. "," However, Featherine seemed to hear something. She nodded and grinned contentedly.",しかしフェザリーヌには、それが聞こえたらしい。ウンウンと頷くと、にんまり笑う。,しかしフェザリーヌには、それが聞こえたらしい。{n}ウンウンと頷くと、にんまり笑う。,"Но {f:5:Фезарин}, казалось, что‐то услышала.{n}Она кивнула и довольно улыбнулась.","Entretanto, {f:5:Featherine} pareceu ter ouvido alguma coisa.{n}Ela assentiu e sorriu, contente.",[=UP],但是菲澤莉努似乎能聽到回應。{n}嗯嗯地點著頭，滿意地笑著。,但是菲泽莉努似乎能听到回应。{n}嗯嗯地点着头，满意地笑着。,[=UP],[=UP],[=UP]
{f:5:Featherine},"""Yes, I know. I will write a bit further, then lay down my pen. ......Then, it will be time for us to say our goodbyes.""","""Yes, I know. I will write a bit further, then lay down my pen. ...Then, it will be time for us to say our goodbyes."" ",[=UP],「わかっている。もう少しだけを書き足し、そこで筆を置こう。……それで、そなたとはお別れだ。」,「わかっている。もう少しだけを書き足し、そこで筆を置こう。……それで、そなたとはお別れだ」,"""Да, знаю. Напишу ещё немного и положу перо. ......А затем нам придёт пора прощаться.""","""Sim, eu sei. Eu irei escrever um pouco mais, e assim largar minha caneta. ......Assim, será hora de nos despedirmos.""",[=UP],「我知道。再少許寫一段，然後就停筆。……這樣，就是同汝的告別了。」,「我知道。再少许写一段，然后就停笔。……这样，就是同汝的告别了。」,[=UP],[=UP],[=UP]
,"{f:5:Featherine} held up a finger and spun it around, a signal that she wanted to darken the room.","{f:5:Featherine} held up a finger and spun it around, a signal that she wanted to darken the room. ","Featherine held up a finger and spun it around, a signal that she wanted to darken the room.",フェザリーヌが、少し暗くせよと指を掲げてくるくる回す。,[=JP],"{f:5:Фезарин} повертела пальцем, показывая, что хочет затемнить комнату.","{f:5:Featherine} ergueu seu dedo e o girou, indicando que ela queria escurecer o quarto.",[=UP],菲澤莉努抬起手指轉了轉，讓周圍稍微暗些。,菲泽莉努抬起手指转了转，让周围稍微暗些。,[=UP],[=UP],[=UP]
,The lights in the study dimmed......,The lights in the study dimmed... , The lights in the study dimmed......,すると、書斎の明かりが、ゆっくりと消えていく……。,[=JP],Свет в кабинете потускнел......,As luzes do cômodo enfraqueceram......,[=UP],於是，書房的燈，慢慢滅掉……。,于是，书房的灯，慢慢灭掉……。,[=UP],[=UP],[=UP]
{f:5:Featherine},"""Would you mind letting me rest for a while? ......During that time, my cat......or rather, my miko will entertain you......""","""Would you mind letting me rest for a while? ...During that time, my cat...or rather, my miko will entertain you..."" ",[=UP],「ほんの少しだけ休ませてはくれぬか。……その間は、我が猫、……もとい、我が巫女にお相手をさせよう……。」,「ほんの少しだけ休ませてはくれぬか。……その間は、我が猫、……もとい、我が巫女にお相手をさせよう……」,"""Ничего если я сделаю короткий перерыв? ......А в это время моя кошка...... или, вернее, моя мико развлечёт вас......""","""Se importaria de me deixar descansar por um tempo? ......Durante esse tempo, minha gata......ou melhor, minha miko irá entreter você......""",[=UP],「能讓我稍微休息一陣嗎。……這段時間，我的貓，……或者說，讓我的巫女來同汝交流吧……」,「能让我稍微休息一阵吗。……这段时间，我的猫，……或者说，让我的巫女来同汝交流吧……」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""Owowow{0}ow{0}ow{0}ow{0}ow{0}ow{0}ow, you suck! Can't you be less clumsy with that needle?!""","""Owowowowowowowowow, you suck! Can't you be less clumsy with that needle?!"" ","""Owowowowowowowowow, you suck! Can't you be less clumsy with that needle?!""",「あ痛たたたたたたたたたたッ、ヘタクソッ、もっと上手に縫ってー！」,[=JP],"""Ой‐ой‐ой‐ой‐ой‐ой, достала! Ты можешь обращаться с этой иглой не так неуклюже?!""","""Aiaiai{0}ai{0}ai{0}ai{0}ai{0}ai{0}ai, sua merda! Não poderia ser um pouco melhor com agulhas?!""",[=UP],「啊疼疼疼疼疼疼疼疼，太爛了，再縫好一點——！」,「啊疼疼疼疼疼疼疼疼，太烂了，再缝好一点——！」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""......Shut up. If you don't want it sewn by hand, I'll use a sewing machine. Clatter‐clatter‐clatter.""","""...Shut up. If you don't want it sewn by hand, I'll use a sewing machine."" ","""......Shut up. If you don't want it sewn by hand, I'll use a sewing machine.""",「……うっさいわね。手縫いが嫌なら、ミシンでやるわよ。だだだだって。」,「……うっさいわね。手縫いが嫌なら、ミシンでやるわよ。だだだだって」,"""......Заткнись. Если не хочешь зашивать вручную, я возьму швейную машинку.""","""......Cala a boca. Se não quer costurado à mão, então use uma máquina de costura. *dadadadadda*""",[=UP],「……真吵啊。討厭手縫的話，我就用縫紉機了。嗒嗒嗒嗒地。」,「……真吵啊。讨厌手缝的话，我就用缝纫机了。嗒嗒嗒嗒地。」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""No! No machines! I want you to do it by hand! So please, just a bit more gently......owow!""","""No! No machines! I want you to do it by hand! So please, just be a bit more gentle...owow!"" ",[=UP],「ミシンは嫌よー！　手縫いがいいー！　だからせめてもうちょっとやさしく……、痛い痛い！」,[=JP],"""Нет! Не надо машин! Я хочу, чтобы ты зашила вручную! Так что, прошу, будь чуть нежнее...... ой‐ой!""","""Não! Sem máquinas! Eu quero que faça à mão! Por favor, só seja mais gentil......aiai!""",[=UP],「不要縫紉機——！手縫就好——！所以至少稍微溫柔點……，好疼好疼！」,「不要缝纫机——！手缝就好——！所以至少稍微温柔点……，好疼好疼！」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""It's nothing a little spit can't fix.""","""It'll get better if you spit on it."" ","""It'll get better if you spit on it.""",「唾つけときゃ治るわよ。」,「唾つけときゃ治るわよ」,"""Будет лучше, если плюнуть.""","""Não é como se um cuspe não resolvesse.""",[=UP],「用口水就能治好了。」,[=CHT],[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""Yeep!! Tell me before you start licking me all of a sudden!""","""Gyah!! Don't just start licking me all of a sudden!"" ","""Gyah!! Don't just start licking me all of a sudden!""",「キャン！！　予告なく舐めないでー！」,[=JP],"""Гья! Не начинай вдруг лизать меня!""","""Kyan!! Me avise antes de começar a me lamber de repente!""",[=UP],「呀！！不要不經預告就舔——！」,「呀！！不要不经预告就舔——！」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""I'm going to sew you up with a long, fat needle now. It'll hurt like hell, so you'd better close your eyes. Five, four, three, two—""","""Hmm, I think this needle should be thick enough. This'll hurt like hell, so you'd better close your eyes. 5, 4, 3, 2-"" ","""Hmm, I think this needle should be thick enough. This'll hurt like hell, so you'd better close your eyes. 5, 4, 3, 2-""",「今から畳針でぶっすり縫うわよ。マジで痛いから覚悟して。５、４、３、２、」,[=JP],"""Хм‐м, вот эта игла достаточно толстая. Будет адски больно, так что лучше закрой глаза. 5, 4, 3, 2‐""","""Vou costurar você com uma agulha mais grossa agora. Vai doer um monte, então é bom fechar os olhos. Cinco, quatro, três, dois—""",[=UP],「現在我要用疊針給你縫了喲。超疼的，你可要準備好。5、4、3、2、」,「现在我要用叠针给你缝了哟。超疼的，你可要准备好。5、4、3、2、」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""A‐and keep that stuff to yourse{-}e{-}e{-}e{-}elf!! Ah, B‐Bern, d‐don't, don't, aaaa!!""","""D-Don't say that right before you start!! Gyaaah, gyaaaaahhh!!"" ","""D, don't say that right before you start!! Gyaaah, gyaaaaahhh!!""",「そ、そういう予告は嫌ぁああぁーーー！！ぎゃーぎゃーー！！」,「そ、そういう予告は嫌ぁああぁーーー！！　あ、べ、ベルン、や、やめて、やめてったら、あぁー！！」,"""Н‐не говори это прямо перед тем как начать!!! Б‐Берн, стой, подожди, гья‐а‐а‐а!!!""","""E‐Eu odeio essas coisa{‐}a{‐}a{‐}a{‐}asss!! Ah, B‐Bern, n‐não, não, aaaa!!""",[=UP],「這、這種預告也不要————！！啊，貝、貝倫，別、別呀，都說別啦，啊啊——！！」,「这、这种预告也不要————！！啊，贝、贝伦，别、别呀，都说别啦，啊啊——！！」,[=UP],[=UP],[=UP]
,"But despite all this, the two of them truly were close.","But despite all this, the two of them truly were close. ",[=UP],と騒ぐ割には、仲睦まじい二人だった。,[=JP],"И всё же, они вдвоём действительно были близки.","Apesar de tudo isso, as duas eram verdadeiramente próximas.",[=UP],這樣吵鬧的，和睦的兩人。,这样吵闹的，和睦的两人。,[=UP],[=UP],[=UP]
,"Though {f:5:Lambdadelta} had been brutally dismembered in the final fight, she had survived.","Though {f:5:Lambdadelta} had been brutally dismembered in the final fight, she had survived. "," Though Lambdadelta had been brutally dismembered in the final fight, she had survived.",最後の戦いで、ばらばらにされたラムダデルタは、ちゃんと生きていた。,[=JP],"Хотя {f:5:Лямбдадельту} жестоко расчленили в последней схватке, она выжила.","Embora {f:5:Lambdadelta} tivesse sido brutalmente desmembrada na luta final, ela sobreviveu.",[=UP],在最後的戰鬥中，全身散架的拉姆達戴露塔也活了下來。,在最后的战斗中，全身散架的拉姆达戴露塔也活了下来。,[=UP],[=UP],[=UP]
,"But, unfortunately, she was still dismembered.","But, unfortunately, she was still dismembered. "," But, unfortunately, she was still dismembered.",ただ困ったことに、ばらばらの状態でだ。,[=JP],"Но, к сожалению, осталась расчленённой.","Mas, infelizmente, ainda estava desmembrada.",[=UP],不過令人困擾的是，是以散架的狀態復活的。,不过令人困扰的是，是以散架的状态复活的。,[=UP],[=UP],[=UP]
,"So, {f:5:Bernkastel} was sewing her arms and head back on with a needle and thread.","So, {f:5:Bernkastel} was sewing her arms and head back on with a needle and thread. "," So, Bernkastel was sewing her arms and head back on with a needle and thread.",だから、その腕や頭などを、ベルンカステルがちくちくと、針と糸で縫い合わせているのだ。,[=JP],Поэтому {f:5:Бернкастель} иглой и нитью пришивала обратно её руки и голову.,"Por isso, {f:5:Bernkastel} estava costurando seus braços e cabeça de volta usando uma linha e uma agulha.",[=UP],所以，貝倫卡斯泰露在將她的手臂還有頭，一樣一樣地用針線縫起來。,所以，贝伦卡斯泰露在将她的手臂还有头，一样一样地用针线缝起来。,[=UP],[=UP],[=UP]
,"The left arm, which was still waiting to be reattached, walked around on the bed impatiently with its index and middle fingers.","The left arm, which was still waiting to be reattached, walked around on the bed impatiently with its index and middle fingers. "," The left arm, which was still waiting to be reattached, walked around on the bed impatiently with its index and middle fingers.",まだ縫い合わせてもらえない左腕が自分はまだかまだかと、世話しなくベッドの上を、人差し指と中指でヨチヨチと歩き回っている。,まだ縫い合わせてもらえない左腕が自分はまだかまだかと、せわしなくベッドの上を、人差し指と中指でヨチヨチと歩き回っている。,"Левая рука, всё ещё ожидающая возвращения на место, нетерпеливо ходила по кровати указательным и средним пальцами.","O braço esquerdo, que ainda aguardava para ser recolocado, caminhou sobre a cama, impaciente, com seu indicador e o dedo do meio.",[=UP],還沒有縫上去的左手像是催促一樣，在床上用食指和中指來回來去地走著。,还没有缝上去的左手像是催促一样，在床上用食指和中指来回来去地走着。,[=UP],[=UP],[=UP]
,"Only the arms were left to do, so it looked like this would be finished soon.","Only the arms were left to do, so it looked like this would be finished soon. "," Only the arms were left to do, so it looked like this would be finished soon.",残すところはあと腕だけで、もうほとんど体は出来上がっているようだった。,[=JP],"Остались только руки, поэтому, похоже, осталось недолго.","Faltavam apenas os braços, logo parecia que acabaria em breve.",[=UP],剩下的就只有手臂，大部分的身體已經恢復了原樣。,剩下的就只有手臂，大部分的身体已经恢复了原样。,[=UP],[=UP],[=UP]
,"Then, Erika returned, slamming the door open.","Then, Erika returned, slamming the door open. "," Then, Erika returned, slamming the door open.",そこへバターンと威勢良くドアを開いて、ヱリカが帰ってくる。,[=JP],"Хлопнув дверью, вернулась Эрика.","Então, Erika retornou, abrindo a porta com tudo.",[=UP],這時門啪嗒一聲被猛然打開，是繪梨花回來了。,这时门啪嗒一声被猛然打开，是绘梨花回来了。,[=UP],[=UP],[=UP]
Furudo Erika,"""I'm home, my master!! I bought some sesame salt!!""","""I'm home, my master!! I bought some sesame salt!!"" ",[=UP],「ただいま帰りました、我が主ー！！　ごま塩、買って来ましたー！！」,[=JP],"""Я дома, госпожа! Купила кунжутную соль!""","""Estou de volta, minha mentora!! Eu comprei sal de sésamo!!""",[=UP],「我回來了，我主——！！芝麻鹽，為您買來了——！！」,「我回来了，我主——！！芝麻盐，为您买来了——！！」,[=UP],[=UP],[=UP]
{f:5:Lambdadelta},"""......Why sesame salt? You aren't planning to put it in tea, are you...?""","""...Why sesame salt? You aren't planning to put it in tea, are you...?"" ",[=UP],「……ごま塩って何？　まさか紅茶に入れる気…？」,[=JP],"""......Почему кунжутную соль? Ты же не собираешься сыпать её в чай?..""","""......Por que sal de sésamo? Não está pensando em colocar isso no chá, né...?""",[=UP],「……芝麻鹽是什麼？難道是打算放進紅茶…？」,「……芝麻盐是什么？难道是打算放进红茶…？」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""It's Erika's toy. ......Erika, did you bring your chopsticks?""","""It's Erika's toy. ...Erika, did you bring your chopsticks?"" ",[=UP],「ヱリカの玩具よ。……ヱリカ、お箸は持ってきた？」,[=JP],"""Это игрушка Эрики. ......Эрика, ты принесла свои палочки?""","""É o brinquedo da Erika. ......Erika, você trouxe seu hashi?""",[=UP],「是繪梨花的玩具。……繪梨花，有筷子嗎？」,「是绘梨花的玩具。……绘梨花，有筷子吗？」,[=UP],[=UP],[=UP]
Furudo Erika,"""Yes, my master!! Great detectives have their magnifying glasses! Furudo Erika has her chopsticks.""","""Yes, my master!! Great detectives have their magnifying glasses! Furudo Erika has her chopsticks."" ",[=UP],「はい、我が主！！　名探偵に虫眼鏡！古戸ヱリカにお箸ですっ。」,「はい、我が主！！　名探偵に虫眼鏡！　古戸ヱリカにお箸ですっ」,"""Да, госпожа! У великих детективов всегда есть лупы! У Фурудо Эрики есть палочки.""","""Sim, minha mentora!! Grandes detetives têm as suas lupas! Furudo Erika possuí seus hashis.""",[=UP],「有的，我主！！名偵探有放大鏡！古戶繪梨花有筷子。」,「有的，我主！！名侦探有放大镜！古户绘梨花有筷子。」,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""Are you ready? Pour out that sesame salt and use those chopsticks to separate the sesame seeds from the salt.""","""Are you ready? Pour out that sesame salt and use those chopsticks to separate the sesame seeds from the salt."" ",[=UP],「じゃあいい？　そのごま塩の中身をざらっと出して、お箸で、ごまと塩に分けなさい。」,「じゃあいい？　そのごま塩の中身をざらっと出して、お箸で、ごまと塩に分けなさい」,"""Готова? Высыпи кунжутную соль и палочками отдели кунжут от соли.""","""Está pronta? Despeje o sal de sésamo e use seu hashi para separar as sementes de sésamo do sal.""",[=UP],「那聽好啊？把這芝麻鹽倒出來，用筷子把芝麻和鹽分開。」,「那听好啊？把这芝麻盐倒出来，用筷子把芝麻和盐分开。」,[=UP],[=UP],[=UP]
Furudo Erika,"""Yes, my master!! Please watch my fantastic chopstick‐wielding skills!!""","""Yes, my master!! Please watch my fantastic chopstick-weilding skills!!"" ","""Yes, my master!! Please watch my fantastic chopstick-weilding skills!!""",「はい、我が主！！　私の華麗なるお箸さばきを、どうかご覧下さいっ！！」,[=JP],"""Да, госпожа! Взгляните на мои фантастические навыки обращения с палочками!""","""Sim, minha mentora!! Por favor, observe minhas fantásticas habilidades manuseando hashis!!""",[=UP],「是，我主！！請看我那華麗的筷技！！」,「是，我主！！请看我那华丽的筷技！！」,[=UP],[=UP],[=UP]
