Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT)
{f:5:Lambdadelta},"""...Ooooh, I get it. So this time, you'll intentionally fight at a disadvantage by not making a detective proclamation...and win despite that...! You're scheming to not only wipe out your loss from the previous game, but to totally flip the score upside down, right?"" ","""......Ooooh, I get it. So this time, you'll intentionally fight at a disadvantage by not making a detective proclamation...and win despite that...! You're aiming to not only wipe out your loss from the previous game, but to totally flip the score upside down, right?""","""......Ooooh, I get it. So this time, you'll intentionally fight at a disadvantage by not making a detective proclamation...and win despite that...! You're scheming to not only wipe out your loss from the previous game, but to totally flip the score upside down, right?""",「……ははぁん、なぁるほどぉ？　つまり今回、わざと探偵宣言を出さないことで、わざと不利に戦い、それでも勝って見せちゃって…！　前回の負けを、帳消しどころか大逆転にしようって魂胆ね？」,[=JP],"""......О‐о‐о, поняла. Так на этот раз вы намеренно собираетесь бороться в невыгодном положении без провозглашения детективом... и всё равно победить!.. Вы планируете не только смыть провал в предыдущей игре, но и полностью перевернуть счёт с ног на голову, да?""","""......Ahah, entendi. Dessa vez você pretende, intencionalmente, lutar em desvantagem, abrindo mão de fazer proclamações do detetive...e vencer mesmo assim...! Você não está buscando apenas apagar a derrota do jogo anterior, mas virar completamente o placar, não é?""",「……哈～昂～，原～來～如此？總而言之，這次是偏就要不拿出偵探宣言，偏就要在不利中戰，在這種情況下地贏給我們看…！是盤算著要把上局的敗北，豈止消帳，簡直是要來個大逆轉吧？」,「……哈～昂～，原～来～如此？总而言之，这次是偏就要不拿出侦探宣言，偏就要在不利中战，在这种情况下地赢给我们看…！是盘算着要把上局的败北，岂止消帐，简直是要来个大逆转吧？」,"""... Ooooh, capito. Quindi questa volta combatterai intenzionalmente con uno svantaggio senza fare la proclamazione da detective... e vincere nonostante ciò...! Hai intenzione non solo di cancellare la sconfitta del gioco precedente, ma di ribaltare completamente il punteggio, giusto?""",[=UP]
{f:5:Beatrice},"""...Y-You intend to participate in the game Battler-san poured his heart and soul into with a foolish handicap like that...? That is not only presumptuous, it's quite rude...!"" ","""Y‐......you intend to challenge the game Battler‐san poured his heart and soul into with a foolish handicap like that...? That is not only presumptuous, it's quite rude...!""","""Y, ......you intend to challenge the game Battler-san poured his heart and soul into with a foolish handicap like that...? That is not only presumptuous, it's quite rude...!""",「ば、……戦人さんの渾身のゲームに、そんなおかしなハンデをつけて戦うなんて…。身の程知らず以前に、失礼ですっ…。」,「ば、……戦人さんの渾身のゲームに、そんなおかしなハンデをつけて戦うなんて…。身の程知らず以前に、失礼ですっ…」,"""Со... ......собираетесь поставить в игре Баттлера, в которую он влил душу и сердце, такое глупое препятствие?.. Это не только самонадеянно, но и грубо!..""","""V‐......Você pretende desafiar o jogo que o Battler‐san dedicou alma e coração para criar, dando uma {i:colher de chá} dessas...? Além de ser presunçoso, é extremamente rude...!""",「竟……竟要在戰人先生傾盡全力的遊戲中，加上這種莫名其妙的不利條件地戰…。在說不自量之前，先得說聲很失禮…」,「竟……竟要在战人先生倾尽全力的游戏中，加上这种莫名其妙的不利条件地战…。在说不自量之前，先得说声很失礼…」,"""I... Intendi partecipare al gioco che Battler-san ha creato con tutto il suo cuore e la sua anima con uno sciocco handicap del genere...? Non solo è da presuntuosi, è parecchio scorretto...!""",[=UP]
Ushiromiya Battler,"""...You've got a point there. It sounds more like an excuse just in case they lose."" ","""......Sure is. It sounds more like an excuse just in case they lose.""",[=UP],「……そうだな。むしろ、負けた時の言い訳にするための保険にすら聞こえるぜ。」,「……そうだな。むしろ、負けた時の言い訳にするための保険にすら聞こえるぜ」,"""......Действительно. Звучит как оправдание на случай их поражения.""","""......Isso mesmo. Parece mais uma desculpa para caso percam.""",「……是啊。聽起來，反而甚至像為落敗時有藉口講的保險。」,「……是啊。听起来，反而甚至像为落败时有借口讲的保险。」,"""... Certo che lo è. Suona più come una scusa nel caso in cui perdessero.""",[=UP]
{f:5:Lambdadelta},"""True, you could also look at it that way. If they win, it's a great victory, but if they lose, Erika's side has a nice little excuse. Isn't that a bit unsporting?"" ","""True, you could look at it that way. If they win, it's a great victory, but if they lose, Erika's side has a nice little excuse... Isn't that a bit unsporting?""","""True, you could also look at it that way. If they win, it's a great victory, but if they lose, Erika's side has a nice little excuse. Isn't that a bit unsporting?""",「確かに、そういう見方もあるわね。勝てば大勝利。でも負ければ言い訳可能なんて、ちょっとヱリカ側にムシのいい話だわ。」,「確かに、そういう見方もあるわね。勝てば大勝利。でも負ければ言い訳可能なんて、ちょっとヱリカ側にムシのいい話だわ」,"""Да, тоже верно. Если они выиграют, это будет великая победа, а если проиграют — у стороны Эрики появится хорошее оправдание. Как‐то нечестно.""","""Realmente, você pode encarar dessa forma. Se vencerem, será uma grande vitória, mas se perderem, o lado da Erika vai ter uma ótima desculpa... Não é um pouco antidesportivo?""",「確實，也是能這麼看呢。贏了就大獲全勝。但輸了能講藉口什麼的，繪梨花方就有點太佔便宜了。」,「确实，也是能这么看呢。赢了就大获全胜。但输了能讲借口什么的，绘梨花方就有点太占便宜了。」,"""Vero, puoi vederla anche così. Se vincessero, sarebbe una grande vittoria, ma se perdessero, Erika avrebbe una bella scusa. Non è un po' antisportivo?""",[=UP]
{f:5:Bernkastel},"""Don't worry, this bet is balanced on both sides. ...If this game is won by a Human without the detective proclamation, it'll be impossible for Battler and the others to pick up the pieces of the Illusion of the Witch. ","""Don't worry, the bet will be evenly balanced. ......If Erika can win this game as a {y:0:Human}{n:0:human} without the detective proclamation, it will be impossible for Battler and the others to pick up the pieces of the witch illusion.""","""Don't worry, this bet is balanced on both sides. ......If we win as a human without the detective proclamation this game, it will be impossible for Battler and the others to pick up the pieces of the Illusion of the Witch.",「大丈夫よ、ちゃんと賭けるものは公平だわ。……今回のゲームに、探偵宣言なしのニンゲンで勝てれば、戦人たちの魔女幻想は粉々の再起不能。,「大丈夫よ、ちゃんと賭けるものは公平だわ。……今回のゲームに、探偵宣言なしのニンゲンで勝てれば、戦人たちの魔女幻想は粉々の再起不能」,"""Не беспокойся, ставка уравновешена с обеих сторон. ......Если победит {y:0:Челове}{n:0:челове}к, не провозглашённый в этой игре детективом, Баттлер и другие ни за что не соберут фрагменты иллюзии ведьмы.""","""Não se preocupe com isso, eu aposto que será uniformemente equilibrado. ......Se a Erika puder vencer este jogo no papel de {y:0:Humano}{n:0:humano}, sem qualquer proclamação do detetive, será impossível para o lado do Battler recuperar as partes da ilusão da bruxa.""",「放心，賭注是公平的。……在本局遊戲中，如果是由無偵探宣言的人類獲勝的話，戰人他們的魔女幻想即會被粉碎，再也無法東山再起。」,「放心，赌注是公平的。……在本局游戏中，如果是由无侦探宣言的人类获胜的话，战人他们的魔女幻想即会被粉碎，再也无法东山再起。」,"""Non preoccuparti, è una scommessa bilanciata per entrambe le parti. {n}Se vinceremo questo gioco come umani senza la proclamazione da detective, sarà impossibile per Battler e gli altri raccogliere i pezzi dell'Illusione della Strega.",[=UP]
{f:5:Bernkastel},"...But on the other hand, if Erika loses, that detective trash will be sent into the depths of oblivion along with the worst possible Fragment."" ","""......But on the other hand, should Erika lose, I'm going to hurl that garbage detective into the depths of oblivion along with the worst possible fragment."""," ......But on the other hand, if Erika loses, that detective trash will be sent into the depths of oblivion along with the worst possible Fragment.""",……でも逆に、ヱリカが負けるようなら、このゴミクズ探偵は忘却の深遠に、最悪のカケラと一緒にブチ込んでやるの。」,「……でも逆に、ヱリカが負けるようなら、このゴミクズ探偵は忘却の深遠に、最悪のカケラと一緒にブチ込んでやるの」,"""......Но, с другой стороны, если Эрика проиграет, это детективное ничтожество отправится в глубины забвения вместе с худшим из всех возможных фрагментов.""","""......Mas, por outro lado, se Erika perder, eu vou jogar essa detetive de merda nas profundezas do esquecimento, junto com pior dos Fragmentos possíveis.""",「……但反之，如果繪梨花輸了的話，我就把這垃圾雜碎偵探連同最糟的碎片，一起扔進忘卻的深淵。」,「……但反之，如果绘梨花输了的话，我就把这垃圾杂碎侦探连同最糟的碎片，一起扔进忘却的深渊。」,"... D'altro canto, se Erika perderà, quella schifezza di detective verrà spedita nell'abisso dell'oblio, col peggior Frammento possibile.""",[=UP]
Furudo Erika,"""............"" ","""..............................""","""............""",「…………………………。」,「…………………………」,[=OG],[=UP],[=JPC],[=JPC],"""...""",[=UP]
{f:5:Bernkastel},"""...See? That's balanced, isn't it? An ultimate victory with a mere Human, not a superman detective, destroying the Illusion of the Witch. ...She's putting her own destruction on the line to make that bet. ","""......See? Balanced, right? The ultimate victory of destroying the witch illusion as a mere {y:0:Human}{n:0:human}, not a superhuman ""detective"". ......In exchange for that, she wagers her own destruction.""","""......See? That's balanced, isn't it? An ultimate victory with a mere human, not a superman detective, destroying the Illusion of the Witch. ......She's putting her own destruction on the line to make that bet.",「……ね？　公平でしょう？　探偵という超人でなく、ただのニンゲンが魔女幻想を打ち破るという最高の勝利。……それと引き換えに自身の破滅を賭けてるわけ。,「……ね？　公平でしょう？　探偵という超人でなく、ただのニンゲンが魔女幻想を打ち破るという最高の勝利。……それと引き換えに自身の破滅を賭けてるわけ」,"""......Вот видите? Всё уравновешено. Окончательная победа, когда иллюзию ведьмы разрушит обычный {y:0:Челове}{n:0:челове}к, а не сверхчеловек‐детектив. ......Ради этой ставки она ставит на кон свою гибель.""","""......Viu? Balanceado, não é mesmo? A suprema vitória de destruir a ilusão da bruxa estando no papel de um mero {y:0:Humano}{n:0:humano}, e não um ""detetive"" super‐humano. ......Em troca disso, ela está apostando sua própria destruição.""",「……瞧？很公平吧？此乃，不是以叫做偵探的超人，而是以普普通通的人類打破魔女幻想的，最棒的勝利。……作為這個代價，她賭上了自身的破滅。」,「……瞧？很公平吧？此乃，不是以叫做侦探的超人，而是以普普通通的人类打破魔女幻想的，最棒的胜利。……作为这个代价，她赌上了自身的破灭。」,"""... Visto? Equo, non è così? Una vittoria definitiva come semplice umano, non un super detective, distruggendo l'Illusione della Strega. ... Sta puntando la sua stessa vita per questa scommessa.",[=UP]
{f:5:Bernkastel},"I've gotten bored with these sluggish repeating games that you and the former Beato made. ...So we're raising the stakes and settling it all at once."" ","""I've gotten tired of the never‐ending stream of bland and boring games that you and the former Beato played. ......So we're raising the stakes and settling it all at once."""," I've gotten bored with these sluggish repeating games that you and the former Beato made. ......So we're raising the stakes and settling it all at once.""",私はかつてのベアトとあんたのゲームみたいに、ダラダラとぬるいゲームを繰り返されちゃもう退屈なわけ。……だから勝負のレートを上げて、一気に勝負をさせるわけ。」,「私はかつてのベアトとあんたのゲームみたいに、ダラダラとぬるいゲームを繰り返されちゃもう退屈なわけ。……だから勝負のレートを上げて、一気に勝負をさせるわけ」,"""Мне надоели ваши с прежней Беато вялые повторяющиеся игры. ......Поэтому мы повысим ставки и разрешим всё за раз.""","""Eu cansei da incessante repetição sem fim dos jogos preguiçosos e lenientes que você e a antiga Beato jogaram. ......Por isso estamos aumentando as apostas para desistir tudo de uma vez.""",「我已經膩味，如以前貝阿朵與你的對局般，磨磨蹭蹭地反覆進行不溫不火的對決了。……所以調高勝敗的賠率，一口氣地決出輸贏。」,「我已经腻味，如以前贝阿朵与你的对局般，磨磨蹭蹭地反复进行不温不火的对决了。……所以调高胜败的赔率，一口气地决出输赢。」,"Mi sono annoiata di questi giochi fiacchi preparati da te e dalla vecchia Beato. ... Quindi stiamo alzando la posta per sistemare i conti una volta per tutte.""",[=UP]
{f:5:Lambdadelta},"""...Well, that is true. ...If Battler {i:makes it through} this game, it'll mean that Battler has ""won"" Beato's game, and the game will end. ...In a sense, it's a showdown you can't escape, right...?"" ","""......Well, that is true. ......If Battler can {i:sell} this game, it will mean that Battler has ""won"" Beato's game, and the game will come to an end. ......In a sense, this is the kind of finale you can't pass up, right...?""","""......Well, that is true. ......If Battler makes it through this game, it will mean that Battler has 'won' Beato's game, and the game will end. ......In a sense, it's a showdown you can't escape, right...?""",「……まぁ、確かにそうね。……今回のゲームを、戦人が{i:通しちゃったら}、ベアトのゲームに戦人が“勝利”したことになり、ゲームは終了してしまう。……ある意味、逃がすことの出来ない決戦だものねぇ…？」,「……まぁ、確かにそうね。……今回のゲームを、戦人が{i:通しちゃったら}、ベアトのゲームに戦人が“勝利”したことになり、ゲームは終了してしまう。……ある意味、逃すことの出来ない決戦だものねぇ…？」,"""......Ну, что верно, то верно. ......{i:Доведя эту} игру до конца, Баттлер 'победит' игру Беато, и игра закончится. ......В каком‐то смысле вам не избежать решающего столкновения, да?..""","""......Bem, isso é verdade. ......Se o Battler puder {i:vencer} este jogo, significará que o Battler ""venceu"" o jogo da Beato, e o jogo finalmente vai acabar. ......De certa forma, esse é o tipo de final que você não pode deixar passar, certo...?""",「……倒也的確如此呢。……本局遊戲，戰人{i:若能通過}，那在貝阿朵的遊戲中，戰人即是取得了“勝利”，遊戲結束。……從某種意義上講，這可是場不可逃跑的決戰哦…？」,「……倒也的确如此呢。……本局游戏，战人{i:若能通过}，那在贝阿朵的游戏中，战人即是取得了“胜利”，游戏结束。……从某种意义上讲，这可是场不可逃跑的决战哦…？」,"""... Beh, è vero. ... Se Battler riuscisse a superare questo gioco, significherebbe che Battler ha ‘vinto’ il gioco di Beato, e il gioco finirebbe. ... In un certo senso, è uno spettacolo a cui non puoi sottrarti, giusto...?""",[=UP]
Ushiromiya Battler,"""...... ...I see your position. ...Are you okay with that, Erika?"" ","""..................... ......I understand your position. ......Are you fine with that, Erika?""","""..................I see your position. ......Are you okay with that, Erika?""",「…………………。……言い分はわかった。……ヱリカはそれでいいのか。」,「…………………。……言い分はわかった。……ヱリカはそれでいいのか」,"""..................Мне ясна ваша позиция. ......Тебя всё устраивает, Эрика?""","""..................... ......Eu entendo a sua posição ......Está de acordo com isso, Erika?""",「…………………。……明白話中之意了。……繪梨花，你願意如此？」,「…………………。……明白话中之意了。……绘梨花，你愿意如此？」,"""... Capisco la tua posizione. ... A te sta bene, Erika?""",[=UP]
Furudo Erika,"""......Y-Yes, of course. ...In order to regain my master's trust in me, which was lost by my previous defeat, ...I-I will risk even my own destruction..."" ",""".........Y‐......yes, of course. ......In order to regain my master's trust in me, which I lost with my previous defeat, ...I...I will risk even my own destruction...""",""".........Y, ......yes, of course. ......In order to regain my master's trust in me, which was lost by my previous defeat, ...I...I will risk even my own destruction...""",「………え、……えぇ、もちろんですっ。……前回の敗北で失った、主よりの信頼を取り戻すために、…わ、…私は自分の破滅すらも賭けるのですっ…。」,「………え、……えぇ、もちろんですっ。……前回の敗北で失った、主よりの信頼を取り戻すために、…わ、…私は自分の破滅すらも賭けるのですっ…」,""".........Д... ......да, разумеется. ......Чтобы вернуть доверие госпожи, потерянное из‐за моего прошлого поражения... я... я рискну даже жизнью...""",""".........S‐......Sim, é claro. ......Para recuperar a confiança da minha mentora, a qual eu perdi no jogo anterior, ...e‐eu arriscarei até mesmo a minha própria destruição...""",「………是……是呀，當然。……為挽回因上次敗北而失去的我主的信任，…我、…我連自身的破滅都敢賭…」,「………是……是呀，当然。……为挽回因上次败北而失去的我主的信任，…我、…我连自身的破灭都敢赌…」,"""... S... Sì, certo. ... Per recuperare la fiducia della mia padrona, andata persa per la mia precedente sconfitta... io... rischierò anche la mia stessa distruzione...""",[=UP]
Ushiromiya Battler,"""Is that of your own will...?"" ","""Is that of your own will...?""",[=UP],「お前の意思なのか…。」,「お前の意思なのか…」,"""По своей воле?..""","""Essa é {i:a sua} vontade...?""",「這是你的意志嗎…？」,「这是你的意志吗…？」,"""È quello che vuoi...?""",[=UP]
Furudo Erika,""".........!"" ","""..................""","""............""",「………っ………。」,「………っ………」,[=OG],[=UP],「………呃………」,[=CHT],"""...""",[=UP]
{f:5:Lambdadelta},"""........."" ","""........................""","""............""",「……………………。」,「……………………」,[=OG],[=UP],[=JPC],[=JPC],"""...""",[=UP]
{f:5:Bernkastel},"""......What's wrong, Erika? Answer him, okay...?"" ","""............What's wrong, Erika? Answer him...""",""".........What's wrong, Erika? Answer him, okay...?""",「…………どうしたの、ヱリカ？　答えて上げなさい…？」,[=JP],""".........В чём дело, Эрика? Ответь ему.""","""............Qual o problema, Erika? Responda...""",「…………怎麼了，繪梨花？回答他呀…？」,「…………怎么了，绘梨花？回答他呀…？」,"""... Che c'è, Erika? Rispondigli, ok...?""",[=UP]
Furudo Erika,"""......O-Obviously. This is my own will. ...I certainly will not lose... ...Even without the detective proclamation, ...I-I will defeat you no matter what...!!"" ","""O‐.........obviously. This is my own will. ......I will not lose... ......Even without the detective proclamation, ...I...I will defeat you no matter what...!!""","""O, .........obviously. This is my own will. ......I certainly will not lose... ......Even without the detective proclamation, ...I...I will defeat you no matter what...!!""",「と、………当然ですっ。私の意志ですっ。……私は、絶対に負けません…。……探偵宣言なんかなくても、……あ、…あんたを必ずっ、……打ち破って見せます…！！」,「と、………当然ですっ。私の意思ですっ。……私は、絶対に負けません…。……探偵宣言なんかなくても、……あ、…あんたを必ずっ、……打ち破って見せます…！！」,"""Ко... ......конечно же. Я сама так хочу. ......Я ни за что не проиграю......... Даже без провозглашения детективом... я......я одолею вас несмотря ни на что!..""","""É‐.........É óbvio. Essa é a minha vontade. ......Eu não irei perder... ......Mesmo sem a proclamação do detetive, ...e‐eu irei derrotá‐lo a qualquer custo...!!""",「當、………當然，這是我的意志。……我，絕對不會輸的…。……縱然沒有什麼偵探宣言，……我、…我也必將擊敗你，……給大家看…！！」,「当、………当然，这是我的意志。……我，绝对不会输的…。……纵然没有什么侦探宣言，……我、…我也必将击败你，……给大家看…！！」,"""O... Ovviamente. È quello che voglio. ... Non perderò di certo... anche senza la proclamazione del detective... io... ti sconfiggerò a tutti i costi...!!""",[=UP]
{f:5:Beatrice},"""......Battler-san......"" ","""............Battler‐san.........""",""".........Battler-san.........""",「…………戦人さん………。」,「…………戦人さん………」,""".........Баттлер.........""",[=UP],「…………戰人先生………」,「…………战人先生………」,"""... Battler-san...""",[=UP]
Ushiromiya Battler,"""...... ...Sure, that's fine. If that's what you want, I'll accept that challenge."" ","""........................... ......Alright. If that's what you want, I'll accept your challenge.""","""..................Sure, that's fine. If that's what you want, I'll accept that challenge.""",「………………………。……いいだろう。お前がそうしたいというなら、その勝負を受けてやる。」,「………………………。……いいだろう。お前がそうしたいというなら、その勝負を受けてやる」,"""..................Отлично. Если ты так хочешь, я принимаю вызов.""","""........................... ......Certo. Se é o que você quer, eu aceitarei o seu desafio.""",「………………………。……好吧。既然你想這麼做的話，那我就接受這個對決。」,「………………………。……好吧。既然你想这么做的话，那我就接受这个对决。」,"""... Certo, va bene. Se è quello che vuoi, accetterò questa sfida.""",[=UP]
Furudo Erika,""".........! ...Th-Thank you very much. I'll make sure you regret it."" ",""".................. ......Th‐thank you very much. I'll make sure you regret it.""","""..................Th, thank you very much. I'll make sure you don't regret it.""",「………………ッ、……あ、ありがとうございます。受けたことを、必ず後悔させてやりますから。」,「………………ッ、……あ、ありがとうございます。受けたことを、必ず後悔させてやりますから」,"""..................Б‐благодарю. Вы об этом не пожалеете.""",""".................. ......M‐Muito obrigada. Farei questão de fazê‐lo se arrepender.""",「………………呃，……非、非常感謝。我必會叫你為點頭後悔。」,「………………呃，……非、非常感谢。我必会叫你为点头后悔。」,"""... G-Grazie mille. Mi assicurerò di non fartene pentire.""",[=UP]
