Speaker,Steam (ST),Umineko Project (UP),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
Ushiromiya Rudolf,"""Who knows. Those would be some pretty annoying genes. ......That's enough talking about Asumu. Right now, you're the one who's here. Right?"" ","""Beats me. Those'd be some damned annoying genes. .........Stop talking about Asumu. Right now, the one who's here is you. Right?""",「さぁな。だとしたら迷惑な遺伝子だな。………明日夢の話はよせ。今、ここにいるのはお前だ。そうだろ？」,[=JP],"""Кто знает. Но это довольно‐таки досадные гены. .........Довольно разговоров об Асуму. Прямо сейчас, единственная, кто рядом со мной, это ты. Ведь так?""","""Quem sabe... Se forem, são genes bem problemáticos. .........Pare de falar sobre a Asumu. Agora, a única aqui é você. Certo?""",「天知道。若是如此，那倒真是麻煩的遺傳因子啊。………別提明日夢了。現在，在這的是你。沒錯吧？」,「天知道。若是如此，那倒真是麻烦的遗传因子啊。………别提明日梦了。现在，在这的是你。没错吧？」,"""Chissà. Nel caso, si tratterebbe di geni alquanto seccanti. ... Basta parlare di Asumu. In questo momento, a fianco a me ci sei tu. Giusto?"""
Ushiromiya Kyrie,"""...You're right, sorry."" ","""...You're right, sorry.""",「…そうね、ごめんなさい。」,「…そうね、ごめんなさい」,"""...Ты прав, извини.""","""...Você está certo, desculpe.""",「…是呢，對不起。」,「…是呢，对不起。」,"""... Hai ragione, scusami."""
Ushiromiya Hideyoshi,"""Heeey, the cars are here! Exactly three of them. Get in, get in!"" ","""Heyyy, the cars are here! Exactly three of 'em. All in, all in!""",「おーい、ハイヤーが来たでぇ！　ちょうど３台や。乗るで乗るで！」,[=JP],"""Э‐эй, такси уже приехало! Ровно три машины. Давайте, усаживайтесь!""","""Eiii, os carros chegaram! Exatamente três deles. Entrem, entrem!""",「喂——，車來了吶！剛好三輛。上車上車！」,「喂——，车来了呐！刚好三辆。上车上车！」,"""Ehi, le auto sono qua! Ce ne sono giusto tre. Salite, salite!"""
Ushiromiya Maria,"""Fall, faaall!! Where's the parachuuute, where's the parachuuute?!! Uu-uu-, *giggle*!!"" ","""Gonna fall, gonna faaall!! Where's the parachuuute, where's the parachuuuute!! Uu‐uu, *giggle*!!""",「落ちる落ちるー！！　パラシュートどこーパラシュートどこー！！うーうーきゃっきゃっ！！」,「落ちる落ちるー！！　パラシュートどこーパラシュートどこー！！　うーうーきゃっきゃっ！！」,"""Падаем, па‐а‐адаем!!! Где парашю‐ют, где парашю‐ют!!! У‐у‐у, ха‐ха‐ха‐ха!!!""","""Vou cair, vou caiiir!! Cadê o paraquedas?! Cadê o paraquedas?!{n}Uu‐uu, *risos*!!""",「要掉下去啦要掉下去啦——！！降落傘在哪——降落傘在哪——！！嗚——嗚——哈哈！！」,「要掉下去啦要掉下去啦——！！降落伞在哪——降落伞在哪——！！呜——呜——哈哈！！」,"""Cado, caaado!! Dov'è il paracadute, dov'è il paracadute!! Uu-uu- hahahaha!!"""
Ushiromiya Battler,"""Why you little!! Hold on, hold on, stop right there! I'll sentence you to the little girl tickle punishmeeent!!"" ","""You little rapscallio~n!! Wait, wait, come back here, you! I'll sentence you to the tickle punishme~nt!!""",「こんにゃろ〜！！　待て待て待ちやがれー！幼女くすぐりの刑に処してやる〜！！」,「こんにゃろ〜！！　待て待て待ちやがれー！　くすぐりの刑に処してやる〜！！」,"""Ах ты, маленькая негодя‐яйка!!! А ну сто‐ой! Приговариваю тебя к щекотке!!!""","""Sua...!! Espera, espera, ei, volte aqui! Eu sentencio você a punição de cosquinhas!!""",「你這傢伙～！！等等等等，給我站住——！處以搔癢之刑～！！」,「你这家伙～！！等等等等，给我站住——！处以搔痒之刑～！！」,"""Razza di monel~la!! Aspetta aspetta aspettami! Ti condannerò a subire la punizione del solletico riservato alle bimbe piccole~!!"""
Ushiromiya Eva,"""Heheheheheh. Being in high spirits is such a wonderful thing. Without Battler-kun and Maria-chan, the atmosphere in that plane would have been pretty grim."" ","""Ehheheheheh. It's good that they're in high spirits. If Battler‐kun and Maria‐chan weren't there, the atmosphere in that plane would have been very stiff.""",「うっふふふふ。元気でいいわ。戦人くんと真里亞ちゃんがいてくれなかったら、機内の空気はさぞや硬かったでしょうねぇ。」,「うっふふふふ。元気でいいわ。戦人くんと真里亞ちゃんがいてくれなかったら、機内の空気はさぞや硬かったでしょうねぇ」,"""Эххе‐хе‐хе‐хех. Хорошо, что они в приподнятом настроении. Если бы Баттлера‐куна и Марии‐чан здесь не было, то в самолёте царила бы весьма чопорная атмосфера.""","""Ehheheheheh. É bom ver que eles estão animados. Se o Battler‐kun e a Maria‐chan não estivessem lá, o clima no avião ficaria bem mais pesado.""",「嗯、哼哼哼哼。活潑真好呢。要是沒戰人君與小真里亞在的話，想必機內的氣氛肯定會很僵硬哦。」,「嗯、哼哼哼哼。活泼真好呢。要是没战人君与小真里亚在的话，想必机内的气氛肯定会很僵硬哦。」,"""Ehheheheheh. È bello vedere che sono così allegri. Se non ci fossero stati Battler-kun e Maria-chan, l'atmosfera su quell'aereo sarebbe stata davvero fredda."""
Ushiromiya Rudolf,"""Thanks. I'll assume you mean that literally. ...Hey, brats! The taxis are here! You can play around later."" ","""Thanks. I'll take that at face value. ......Hey, brats! The taxis are here! Save the games for later.""",「ありがとよ。言葉通りの意味で受け取っとくぜ。……おら、ガキども！　タクシー来てるぞ！　お遊びは後にしろぃ。」,「ありがとよ。言葉通りの意味で受け取っとくぜ。……おら、ガキども！　タクシー来てるぞ！　お遊びは後にしろぃ」,"""Спасибо. Я пойму это буквально. ......Эй, вы! Такси уже здесь! Позже наиграетесь.""","""Obrigado. Eu irei aceitar isso tal como significa. ......Ei, pirralhos! Os táxis estão aqui! Deixem as brincadeiras para depois.""",「謝謝。這話，我就以字面意思理解了。……喂，小鬼們！出租車來了！等會再玩。」,「谢谢。这话，我就以字面意思理解了。……喂，小鬼们！出租车来了！等会再玩。」,"""Grazie. Ti prendo sulla parola. ... Ehi, marmocchi! I taxi sono qui! Potete giocare dopo."""
Ushiromiya Maria,"""Uu-uu-!! Taxiii, taxiii!! I'm getting in fiiirst! *giggle*!!"" ","""Uu‐uu!! Taxiii, taxiii!! I'm gonna be first iiiiin! *giggle*!!""",「うーうー！！　タクシータクシー！！　真里亞一番乗りー！　きゃっきゃ！！」,[=JP],"""У‐у!!! Такси‐и‐и, такси‐и‐и!!! Мария‐я‐я садится пе‐е‐ервой! Кья‐кья!!!""","""Uu‐uu!! Táxiii, táxiii!! A Maria vai ser a primeira a entraaaar! *risos*!!""",「嗚——嗚——！！出租車，出租車——！！真里亞第一個——！哈哈！！」,「呜——呜——！！出租车，出租车——！！真里亚第一个——！哈哈！！」,"""Uu-uu-!! Taxiii, taxiii!! Mariaaa sale per primaaaa! Kyakkya!!"""
Ushiromiya Rosa,"""Hey! Maria, and you too, Battler-kun, stop fooling around! You'll bump into someone!"" ","""Hey! Maria, and you too, Battler‐kun, stop fooling around! You'll bump into someone!""",「コラ！　真里亞も戦人くんも、もうはしゃがない！　人にぶつかるわよ！」,[=JP],"""Эй! Мария, и ты тоже, Баттлер‐кун, хватит дурачиться! Вы так врежетесь в кого‐нибудь!""","""Ei! Maria, e você também, Battler‐kun, parem de ficar brincando! Vão acabar batendo em alguém!""",「不乖！真里亞還有戰人君，都別鬧了！會撞上人的！」,「不乖！真里亚还有战人君，都别闹了！会撞上人的！」,"""Ehi! Maria, e anche tu, Battler-kun, smettetela di agitarvi tanto! Urterete qualcuno!"""
,The tone of Aunt Rosa's voice grew a little frightening. ,The tone of Auntie Rosa's voice became a little frightening.,楼座叔母さんの声色が、ちょっぴり怖くなる。,[=JP],Голос тёти Розы стал немного напуганным.,O tom de voz da tia Rosa ficou um pouco assustador.,樓座姑母的聲調與臉色變得有一點點嚇人。,楼座姑母的声调与脸色变得有一点点吓人。,Il tono della voce di Rosa oba-san si fece un po' intimorito.
,"When even Battler realized they were fooling around a bit too much, ...just as expected, he bumped into someone. ","Battler, too, had started to think that perhaps he really was fooling around too much...when, just as expected, he bumped into someone.",戦人も、さすがにはしゃぎ過ぎたかなと思ったら、案の定、人に肩をぶつけた。,[=JP],"А сам Баттлер, как только осознал, что они и в самом деле перегибают с дурачеством... Как и ожидалось, врезался в кого‐то.","Battler também começou a pensar que talvez estivesse exagerando...quando, bem como esperado, ele colidiu com alguém.",戰人也是，剛一想“自己確實有點鬧過頭了吧”，就果不其然地，撞到了某人的肩膀。,战人也是，刚一想“自己确实有点闹过头了吧”，就果不其然地，撞到了某人的肩膀。,"E Battler, appena accortosi che si stavano davvero scatenando troppo... proprio come c'era da aspettarsi, finì addosso a qualcuno."
Ushiromiya Battler,"""Oh, sorry..."" ","""Oh, sorry...""",「あ、すんません…。」,「あ、すんません…」,"""Ой, извините...""","""Ah, desculpa...""",「啊，對不起…」,「啊，对不起…」,"""Oh, mi scusi..."""
Ushiromiya George,"""Battler-kun, you guys are going in that car. You're keeping them waiting."" ","""Battler‐kun, your family is going in the car over there. You're keeping them waiting.""",「戦人くんたちはあっちの車だよ。待たせちゃってるよー。」,「戦人くんたちはあっちの車だよ。待たせちゃってるよー」,"""Баттлер‐кун, вы, ребята, едете в этой машине. Вы заставляете всех ждать.""","""Battler‐kun, sua família vai ir naquele carro. Está deixando eles esperando.""",「戰人君，你們是坐那輛車。都在等你了哦？」,「战人君，你们是坐那辆车。都在等你了哦？」,"""Tu, Battler-kun, devi salire su quella macchina lì. Ti stanno aspettando."""
,"After George urged him to hurry on, Battler apologized to the person he had bumped into and ran up to his parents, who were telling him to come quickly. ","Rushed on by George, Battler made an apologetic gesture to the person he had bumped into and ran up to his parents, who were telling him to come quickly.",譲治に急かされ、戦人はぶつかった人に拝む仕草を送りながら、早く来いと呼ぶ両親のもとへ駆けていく。,[=JP],"После того, как Джордж посоветовал ему поспешить, Баттлер извинился перед тем, кого нечаянно толкнул, и подбежал к поторапливающим его родителям.","Apressado por George, Battler fez um sinal de desculpas para a pessoa com quem ele colidiu e correu até seus pais, que estavam dizendo para ele andar logo.",被讓治一催，戰人邊雙手合十，朝剛才撞到的人行了個禮，邊向喊著“快點過來”的雙親跑去。,被让治一催，战人边双手合十，朝刚才撞到的人行了个礼，边向喊着“快点过来”的双亲跑去。,"Dopo che George l'ebbe invitato a fare in fretta, Battler si scusò con la persona contro cui aveva urtato e corse dai suoi genitori, che gli stavano intimando di raggiungerli velocemente."
,"With a clunking sound, the doors on the three taxis were shut one after another, and they departed for the harbor... ","With clunking sounds, the doors on the three taxis were shut one after another, and they departed, heading for the harbor......",３台のタクシーは、次々にバンバンっと扉を閉め、港へ向けて出発していった……。,[=JP],"С глухим звуком закрылись одна за другой двери на всех трех такси, и они отбыли в направлении гавани...","Fazendo um som metálico, as portas dos três táxis se fecharam uma após a outra, e partiram em direção ao porto......",三輛出租車，接連“啪啪”地關好車門，出發駛向了海港……。,三辆出租车，接连“啪啪”地关好车门，出发驶向了海港……。,"Con un suono metallico, le portiere dei tre taxi si chiusero una dopo l'altra, e si misero in marcia, in direzione del porto..."
,...As their taxis dashed away... ,......As their taxis dashed away...,……彼らのタクシーが走り去ると。,[=JP],......Как только их такси отъехали подальше...,......Assim que os táxis deram partida...,……隨著載著他們的出租車的離去。,……随着载着他们的出租车的离去。,... Mentre i loro taxi si allontanavano...
,The entire world grew suddenly dull... and slowed to a halt. ,"...the entire world grew suddenly dull, ......and slowed to a halt.",世界の全てが急に鈍りだし、……緩やかに停止した。,[=JP],"Весь мир внезапно потускнел, а затем замедлился до полной остановки.","...o mundo todo repentinamente começou a ficar maçante, ......e lentamente começou a parar.",世界上的一切，忽然慢了下來，……緩緩地靜止了。,世界上的一切，忽然慢了下来，……缓缓地静止了。,Il mondo tutt'intorno si ingrigì all'improvviso... e rallentò fino a fermarsi.
,"Voices, the wind, and even sound... All of it stopped, and all the people who were trying to move froze like the instant someone takes a photo, ...coming to a halt. ","Voices, the wind, and even sound—absolutely everything ceased, and as if they had been frozen in the instant a photo was taken, everything moving or about to move......stopped.",声も風も、音も。……何もかもが止み、動き動こうとする者すべてが、写真に撮られた瞬間でそのまま凍りついたかのように、……停止する。,[=JP],"Голоса, ветер и даже звук... Всё остановилось, будто застыло в момент съёмки фотографии; все, кто пытался пошевелиться... остановились.","As vozes, o vento e até mesmo o som — absolutamente tudo cessou, como se tivesse congelado no instante em que uma fotografia foi tirada, tudo que se movia ou estava para se mover......parou.",風、聲音。……一切的一切全都停止，所有會動的東西都如同在被攝入照片中的那一瞬間凍結了般，……靜止了。,风、声音。……一切的一切全都停止，所有会动的东西都如同在被摄入照片中的那一瞬间冻结了般，……静止了。,"Le voci, il vento, e persino i rumori... ogni cosa cessò, e, come se fossero stati bloccati mentre gli stavano facendo una foto, tutti coloro che stavano per muoversi... si fermarono."
,"People and machines and clock hands, even the dust dancing in the wind, ...were frozen. Some people who were walking froze with one leg still in the air. Scraps of paper dancing in the wind were pinned in midair, frozen in place. ","People, machines, clock hands, even the dust dancing in the wind—frozen.{n}People who were in the middle of walking—frozen, with one foot still raised.{n}Scraps of paper dancing in the wind—frozen, pinned in midair.",人も機械も時計の針も、風に舞う砂埃も、凍り付いている。歩いてる途中の人が、片足を上げたまま、凍り付いている。風に舞う紙くずが、空中に縫い止められ、凍り付いている。,人も機械も時計の針も、風に舞う砂埃も、凍り付いている。{n}歩いてる途中の人が、片足を上げたまま、凍り付いている。{n}風に舞う紙くずが、空中に縫い止められ、凍り付いている。,"И люди, и машины, и стрелки на часах, даже пыль, танцующая на ветру — всё замерло.{n}Идущие люди оцепенели со всё ещё приподнятой ногой.{n}Обрывки бумаги, развевавшиеся по ветру, застыли прямо в воздухе.","Pessoas, máquinas, relógios de pulso, até mesmo a poeira que dançava com o vento — congelou.{n}Pessoas que estavam no meio de uma caminhada — congelaram, com uma perna ainda erguida.{n}Pedaços de papel dançando ao vento — congelaram, fixos em meio ao ar.",人、機械、鐘錶的指針，隨風飄舞的沙塵，凍住了。{n}正在行走的行人，一只腳還抬在半空中地，凍住了。{n}風中飄舞著的紙屑，如同被釘在了空中般，凍住了。,人、机械、钟表的指针，随风飘舞的沙尘，冻住了。{n}正在行走的行人，一只脚还抬在半空中地，冻住了。{n}风中飘舞着的纸屑，如同被钉在了空中般，冻住了。,"Persone e automobili e le lancette degli orologi, persino il pulviscolo che danzava nel vento, erano perfettamente fermi. Le persone che stavano camminando erano come congelate, con uno dei due piedi ancora alzato. {n}Pezzi di carta che stavano danzando nel vento erano come inchiodati a mezz'aria, del tutto fermi."
,"...Then, among the shadows standing still in this unmoving world, a single one stirred. ","......And among these stationary figures in this world that had come to a standstill, a single one...moved.",……その、止まってしまった世界に立ち尽くすはずの人影がひとつ、動く。,[=JP],"......И среди теней, замерших в этом остановившемся мире, только одна пошевелилась.","......Entre essas figuras estacionárias deste mundo que havia paralisado, uma única...se moveu.",……一個本應佇立於這個靜止世界中的人影，動了一下。,……一个本应伫立于这个静止世界中的人影，动了一下。,"... E tra le ombre che restavano ferme in questo mondo congelatosi, una soltanto si mosse."
,It was a girl. The girl Battler had just bumped into... ,It was a woman. The very woman that Battler had just bumped into...,それは女。さっき、戦人が肩をぶつけた女だった…。,[=JP],"Это была девушка. Девушка, в которую недавно врезался Баттлер...",Era uma mulher. A mesma mulher na qual Battler havia colidido antes...,那是一個女人。正是，剛才戰人撞到的女人…。,那是一个女人。正是，刚才战人撞到的女人…。,Si trattava di una ragazza. La ragazza contro cui Battler aveva urtato proprio poco prima...
,"Though she had moved, it was a truly subtle thing. ",It was truly the slightest of movements.,動いたといっても、それは本当にわずか。,[=JP],Её движения были изящны.,Foi o mais delicado dos movimentos.,雖說是動了，但這真的只是動了一下下。,虽说是动了，但这真的只是动了一下下。,"Si mosse, sì, ma si trattò di una cosa molto discreta."
