Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES)
{f:5:Beatrice},"""Would you mind telling me what it is...?""","""Would you mind telling me what it is...?"" ",[=UP],「不愉快でなければ、教えていただけませんか…。」,「不愉快でなければ、教えていただけませんか…」,"""Вы не могли бы сказать мне, что?..""","""Se importaria de me contar o que é...?""",「如果并未令您不快的话，可否相告…？」,「如果並未令您不快的話，可否相告…？」,"""Ti dispiacerebbe dirmi di che si tratta...?""","""¿Le importaría decirme qué es?..."""
Ushiromiya Battler,""".........Telling you would be...easy. ......But I don't want to tell you. I'm not trying to be mean. ......I just want...to believe in a miracle myself, just a little bit.""","""......Telling you would be...easy. ...But I don't want to tell you. I'm not trying to be mean. ...I just want...to believe in a miracle for a bit myself."" ",""".........Telling you would be...easy. ......But I don't want to tell you. I'm not trying to be mean. ......I just want...to believe in a miracle for a bit myself.""",「…………教えるのは、…容易い。……でも、教えたくない。意地悪のつもりはないんだ。……ただ、俺もわずかに、奇跡を信じたい。」,「…………教えるのは、…容易い。……でも、教えたくない。意地悪のつもりはないんだ。……ただ、俺もわずかに、奇跡を信じたい」,""".........Сказать... просто. ......Но я не хочу говорить. Я не вредничаю. ......Просто хочу... сам некоторое время верить в чудо.""",""".........Contar a você seria...fácil. ......Mas eu não quero te contar. Não estou tentando ser malvado. ......Eu só quero...eu mesmo, acreditar em um milagre, mesmo que seja mínimo.""",「…………告诉你…很容易。……但是，我不想说。这并非存心使坏。……仅仅是，我也想略微地去，相信下奇迹。」,「…………告訴你…很容易。……但是，我不想說。這並非存心使壞。……僅僅是，我也想略微地去，相信下奇跡。」,"""... Dirtelo sarebbe... semplice. ... Ma non voglio farlo. Non sto cercando di fare il meschino. ... Voglio soltanto... credere anch'io per un po' in un miracolo.""","""... Decírtelo sería... fácil... Pero no quiero decírtelo. No estoy tratando de ser mezquino... Solo quiero... creer por un poco más que un milagro pueda suceder para mí."""
{f:5:Beatrice},""".....................A miracle...?""","""......A miracle...?"" ","""............A miracle...?""",「…………………奇跡…？」,[=JP],"""............В чудо?..""",""".....................Um milagre...?""",「…………………奇迹…？」,[=JP],"""... Un miracolo...?""","""... ¿Un milagro?..."""
,"Yes, this was the single miracle seed that Battler had preserved.","Yes, this was the single miraculous seed that Battler had left behind. ","Yes, this was the single miracle seed that Battler had left behind.",そう、これは戦人が、一粒だけ残す、奇跡の種。,[=JP],"Да, единственное семя чуда, оставленное Баттлером.","Sim, essa era a singela semente milagrosa que Battler havia preservado.",对，这即是战人所留下的，仅此一粒的，奇迹的种子。,對，這即是戰人所留下的，僅此一粒的，奇跡的種子。,"Sì, questo era il singolo seme miracoloso che Battler si era lasciato dietro.","Sí, esta era la única semilla milagrosa que Battler había conservado."
,"......If Beato could remember a certain something without being told, ......that would prove that Beato had revived in the truest sense.","...If Beato could remember a certain something without being told, ...that would prove that Beato had truly revived. ","......If Beato could remember a certain something without being told, ......that would prove that Beato had truly revived.",……もしも、教えていないはずのことを思い出してくれたら、……それはきっと、ベアトが本当の意味で蘇ったことの、証。,[=JP],"......Если Беато сможет вспомнить нечто определённое сама...... это докажет, что она действительно возродилась.","......Se Beato pudesse lembrar certa coisa sem que lhe fosse contada, ......isso provaria que Beato havia verdadeiramente revivido.",……如果，她能想起理应未被告知的事的话，……那这就一定是，贝阿朵从真正意义上复活了的…证据。,……如果，她能想起理應未被告知的事的話，……那這就一定是，貝阿朵從真正意義上復活了的…證據。,... Se Beato avesse ricordato un certo qualcosa senza che le venisse detto... sarebbe stata la prova che era davvero risorta.,... Si ella pudiera recordarlo sin que se lo digan... demostraría que Beato había resucitado realmente.
,So he wouldn't tell her.,So he wouldn't tell her. , So he wouldn't tell her.,だから、教えない。,[=JP],Поэтому он не говорил ей.,"Por isso, ele não contaria a ela.",所以，不说。,所以，不說。,Perciò non glielo avrebbe detto.,Así que no se lo diría.
,......It was Battler's final seed...which existed because he still couldn't abandon his hope that Beato might revive.,"...It was Battler's final seed, ...which existed because he still couldn't abandon his hopes for Beato's revival. ",......It was Battler's final seed... which existed because he still couldn't abandon his hopes that Beato would revive.,……それだけが、ひょっとしたらベアトが蘇るかもしれないと、……未だに希望を捨てられない戦人の、最後の、種。,[=JP],"......Это было последнее семя Баттлера...... существующее потому, что он до сих пор не смог отказаться от надежд на возрождение Беато.",......Essa era a última semente de Battler...que existia porque ele não conseguia abandonar suas esperanças de que Beato poderia ser revivida.,……它乃是只此一粒的，代表着“搞不好贝阿朵真能复活也说不定”的，……还未能扔掉希望的战人的，最后的…种子。,……它乃是只此一粒的，代表著“搞不好貝阿朵真能復活也說不定”的，……還未能扔掉希望的戰人的，最後的…種子。,... Era l'ultimo seme di Battler... che esisteva perché ancora non riusciva ad abbandonare le sue speranze sulla resurrezione di Beato.,... Era la semilla final de Battler... que existía porque él todavía no podía abandonar sus esperanzas de que Beato reviviría.
{f:5:Beatrice},"""If you can't tell me, then I won't ask. ......If I have upset you, please forgive me...""","""If you can't tell me, then I won't ask. ...If I have displeased you, please forgive me..."" ","""If you can't tell me, then I won't ask. ......If I have displeased you, please forgive me...""",「戦人さんが話せないことなら、私も聞きません。……不愉快な思いをさせてしまったなら、どうかお許し下さい…。」,「戦人さんが話せないことなら、私も聞きません。……不愉快な思いをさせてしまったなら、どうかお許し下さい…」,"""Если вы не можете сказать мне, я не стану спрашивать. ......Простите, если я вызвала у вас недовольство...""","""Se não pode contar para mim, então eu não perguntarei. ......Se ficou incomodado, eu peço que me perdoe...""",「既然战人先生不愿说，那我也不再问了。……如若令您感到了不快，还请千万见谅…」,「既然戰人先生不願說，那我也不再問了。……如若令您感到了不快，還請千萬見諒…」,"""Se non puoi dirmelo, allora non lo chiederò. ... Perdonami se ti ho portato dispiacere...""","""Si no me lo puede decir, entonces no voy a preguntar... Si le he disgustado, por favor perdóneme..."""
Ushiromiya Battler,"""Don't worry about it. I'm just clinging to the past. .....................""","""Don't worry about it. I just never know when to give up. ........."" ","""Don't worry about it. I'm just stubborn. ............""",「気にすんな。俺が未練がましいだけだ。…………………。」,「気にすんな。俺が未練がましいだけだ。…………………」,"""Забудь. Просто я упрям. ............""","""Não se preocupe. Eu só não sei quando desistir. .....................""",「别在意。仅仅是我放不下罢了。…………………」,「別在意。僅僅是我放不下罷了。…………………」,"""Non preoccuparti. Sono soltanto testardo. ...""","""No te preocupes por eso. Solo soy obstinado..."""
,"As she watched that sad smile, Beato's chest tightened.","As she watched that sad smile, Beato's chest tightened. ",[=UP],その、悲しい笑顔を見て、ベアトの胸は締め付けられる。,[=JP],"Когда она посмотрела на его печальную улыбку, в груди у Беато всё сжалось.","Observando o triste sorriso dele, o peito de Beato apertou.",瞧着他这副悲伤的笑容，贝阿朵的心被狠狠揪住。,瞧著他這副悲傷的笑容，貝阿朵的心被狠狠揪住。,"Guardando quel sorriso triste, a Beato si strinse il cuore.","Cuando ella miró esa sonrisa triste, el pecho de Beato se apretó."
,......He was looking at her...and seeing the old her.,...He was looking at her...and seeing the old her. ,[=UP],……彼が自分を通して、今の自分でない自分を見ているからだ。,[=JP],......Он смотрел на неё... и видел её прежнюю.,......Ele estava olhando para ela...e vendo sua antiga versão.,……而这是因为，他正通过自己，看着不是此刻的自己的自己。,……而這是因為，他正通過自己，看著不是此刻的自己的自己。,... Lui la stava guardando... e vedeva la vecchia lei.,... Él la miraba... y veía a la antigua Beato.
,Yes......I must become my former self...for his sake.,"Yes, ...I must become my former self...for his sake. ", Yes......I must become my former self...for his sake.,やはり、………彼のためにも、自分はかつての自分にならねばならない。,[=JP],Да...... ради него... я должна стать прежней собой.,Sim......eu devo me tornar a antiga eu...pelo bem dele.,果然，………就当是为了他，自己也必须去成为过去的自己。,果然，………就當是為了他，自己也必須去成為過去的自己。,Sì... devo diventare la vecchia me stessa... anche per il suo bene.,Sí... debo convertirme en mi antiguo yo... por su bien.
,"My older sister who gets burned by spiderwebs, and I who don't, must become one.","My older sister who gets burned by spiderwebs, and I who don't, must become one. "," My older sister who gets burned by spiderwebs, and I who don't, must become one.",蜘蛛の巣で火傷する姉と、火傷しない自分が、一つにならなければならない。,[=JP],"Моя старшая сестра, которую обжигает паутина, и я, кого она не обжигает, должны стать единым целым.","Minha irmã mais velha, que se queima ao tocar teias de aranha, e eu, que não me queimo, devemos nos tornar uma.",碰到蛛网会受灼伤的姐姐，与不会受灼伤的自己，必须合为一体。,碰到蛛網會受灼傷的姐姐，與不會受灼傷的自己，必須合為一體。,"La mia Sorella maggiore che viene ustionata dalle ragnatele, e io che non lo sono, dobbiamo diventare una cosa sola.","Mi hermana mayor que se quema por telarañas y yo que no, debemos convertirnos en una."
,"......Surely, it's more useful to him if I go on a journey to find myself now......than if I simply watch over his game.","...Surely, it's more useful to him if I go on a journey to find myself now... ...than if I simply watch over his game. ",[=UP],……今の自分は、戦人のゲームを見守るより、自らが何者かを問う旅の方がきっと、……戦人の役に立つのかもしれない。,[=JP],"......Несомненно, для него будет полезнее, если я сейчас отправлюсь на поиски себя...... чем если я просто буду наблюдать за его игрой.","......Sim, seria mais útil para ele se eu partisse em uma jornada para me encontrar......do que simplesmente ficar assistindo ao seu jogo.",……当前的自己，比起注视战人的对局，还是去踏上自问自己是何人的旅途，……定将更加对战人有帮助也说不定。,……當前的自己，比起注視戰人的對局，還是去踏上自問自己是何人的旅途，……定將更加對戰人有幫助也說不定。,"... Sicuramente, è più utile per lui se ora parto per un viaggio in cerca di me stessa... piuttosto che guardare semplicemente il suo gioco.","... Seguramente, sería más útil para él si me voy en un viaje para encontrarme a mí misma ahora... en vez de simplemente vigilar su juego."
{f:5:Beatrice},"""How do you feel about this game? ......Do you think you can win?""","""How do you feel about this game? ...Do you think you can win?"" ",[=UP],「今回のゲームは如何です。……勝てそうですか。」,「今回のゲームは如何です。……勝てそうですか」,"""Что думаете об этой игре?......Победите ли вы?""","""Como se sente em relação a este jogo? ......Acha que pode vencer?""",「本局游戏，情况如何？……能赢吗？」,「本局遊戲，情況如何？……能贏嗎？」,"""Cosa pensi di questo gioco? ... Credi di poter vincere?""","""¿Cómo te sientes acerca de este juego?... ¿Cree que puede ganar?"""
Ushiromiya Battler,"""Yes, I believe I can. I'll win......and end this eternal torture, just like Beato wanted.""","""I intend to win. I'll win...and end this eternal torture, just like Beato wanted."" ","""I intend to win. I'll win......and end this eternal torture, just like Beato wanted.""",「勝てるつもりでいるさ。勝って、……ベアトの望みどおり、この永遠の拷問を終わらせる。」,「勝てるつもりでいるさ。勝って、……ベアトの望みどおり、この永遠の拷問を終わらせる」,"""Я намерен победить. Я одержу победу...... и положу конец этой вечной пытке, как и хотела Беато.""","""Sim, eu acredito que sim. Eu vencerei......e encerrarei essa eterna tortura, assim como a Beato queria.""",「我觉得能赢。获胜，……遵照贝阿朵所愿地结束这个永远的拷问。」,「我覺得能贏。獲勝，……遵照貝阿朵所願地結束這個永遠的拷問。」,"""Intendo vincere. Vincerò... e porrò fine a questa eterna tortura, proprio come voleva Beato.""","""Tengo la intención de ganar. Voy a ganar... y poner fin a esta tortura eterna, justo como Beato quería."""
{f:5:Beatrice},"""When it ends.........what will happen to the world...?""","""When it ends, ......what will happen to the world...?"" ",[=UP],「終わったら、…………世界は、どうなるのでしょう…。」,「終わったら、…………世界は、どうなるのでしょう…」,"""Когда всё закончится......... что станет с этим миром?..""","""Quando acabar.........o que vai acontecer com este mundo...?""",「在结束后，…………世界，会变成怎样呢…？」,「在結束後，…………世界，會變成怎樣呢…？」,"""Quando finirà... cosa accadrà al mondo...?""","""Cuando esto terminé... ¿qué le sucederá al mundo?..."""
Ushiromiya Battler,"""Who knows. ......I'm really not sure. ...But that's what we wished for. ......So, no matter what the result is, I intend to accept it.""","""Who knows. ...I wonder. ...However, that's what we wished for. ...So, no matter what the result is, I'll accept it."" ","""Who knows. ......I wonder. ...However, that is what we wished for. ......So, no matter what the result is, I'll accept it.""",「さぁな。……どうなるんだろうな。……ただ、それを俺たちは望んだんだ。……だから、どんな結果が訪れようとも、それを受け入れるつもりだ。」,「さぁな。……どうなるんだろうな。……ただ、それを俺たちは望んだんだ。……だから、どんな結果が訪れようとも、それを受け入れるつもりだ」,"""Кто знает. ......Хотелось бы знать. ...Но мы этого хотели. ......Каким бы ни был результат, я приму его.""","""Não sei... ......Eu realmente não tenho certeza. ...Mas é isso que ela queria. ......Por isso, não importa qual seja o resultado, eu estou disposto a aceitá‐lo.""",「天知道。……它会变成怎样呢？……不过，这是我们的心愿。……所以，无论到来的是怎样的结果，我都打算将此接受。」,「天知道。……它會變成怎樣呢？……不過，這是我們的心願。……所以，無論到來的是怎樣的結果，我都打算將此接受。」,"""Chi lo sa. ... Me lo chiedo anch'io. ... Tuttavia, questo è ciò che abbiamo desiderato. {n}Perciò, non importa quale sarà il risultato, io lo accetterò.""","""Quién sabe... Me pregunto lo mismo... Sin embargo, eso es lo que deseamos... Así que, no importa cuál sea el resultado, lo aceptaré."""
{f:5:Beatrice},""".........I wonder what will happen to me...""","""......What will happen to me...?"" ",""".........What will happen to me...?""",「…………私は、どうなるのでしょう…。」,「…………私は、どうなるのでしょう…」,""".........Что станет со мной?..""",""".........Eu me pergunto o que vai acontecer comigo...""",「…………我…又会变成怎样呢…？」,「…………我…又會變成怎樣呢…？」,"""... Cosa mi succederà...?""","""... ¿Qué pasará conmigo?..."""
,Beato was...uncertain.,Beato was...uncertain. ,[=UP],ベアトは、不安だった。,[=JP],Беато не была уверена.,Beato estava...incerta.,贝阿朵，很是不安。,貝阿朵，很是不安。,Beato era... incerta.,Beato estaba... insegura.
,Even she was probably no more than a piece in this game.,Even she was probably no more than a piece in this game. , Even she was probably no more than a piece in this game.,自分さえも、このゲームの駒に過ぎないだろう。,[=JP],Даже она в этой игре не более чем фигура.,Mesmo que ela provavelmente não fosse mais do que uma peça do jogo.,就连自己，都只不过是这个游戏的棋子吧？,就連自己，都只不過是這個遊戲的棋子吧？,Anche se probabilmente non era altro che una pedina in questo gioco.,Ella probablemente no era más que una pieza en este juego.
,"......If the game ended, then would she, one who had been born out of that game's rules, ......disappear...?","...If the game ended, then would she, one who had been born out of that game's rules, ...disappear...? ",[=UP],……ゲームが終わるということは、そのルールから生まれた自分も、……消え去るということではないだろうか…。,[=JP],"......Если игра закончится, она, рождённая из её правил...... исчезнет?..","......Se o jogo terminasse, então ela, que nasceu das regras do jogo, ......desapareceria...?",……游戏结束会不会意味着，从这规则所诞生出来的自己，……也将一起消失呢…？,……遊戲結束會不會意味著，從這規則所誕生出來的自己，……也將一起消失呢…？,"... Se il gioco fosse finito, allora lei, nata dalle regole di quel gioco... sarebbe scomparsa...?","... Si el juego se terminara, entonces ella, quien había nacido de las normas de aquel juego... ¿desaparecería?..."
Ushiromiya Battler,"""The game will probably disappear. ......But now, I completely understand magic. ......So, I'll be able to carry you off the game board. ......I think that was your wish.""","""The game will probably disappear. ...But now, I completely understand magic. ...So, I'll be able to carry you off the game board. ...I think that was your wish."" ",[=UP],「ゲームは、消えるだろうな。……だが、俺はもう、魔法を完全に理解している。……だからお前を、ゲーム盤の外へ連れ出せる。………それが、お前の望みだったはずだ。」,「ゲームは、消えるだろうな。……だが、俺はもう、魔法を完全に理解している。……だからお前を、ゲーム盤の外へ連れ出せる。………それが、お前の望みだったはずだ」,"""Думаю, эта игра исчезнет. ......Но теперь я полностью понимаю магию. ......Я смогу вывести тебя с игровой доски. ......Наверное, это и было твоим желанием.""","""O jogo provavelmente vai desaparecer. ......Mas agora, eu entendo completamente a magia. ......Por isso, eu serei capaz de trazer uma conclusão ao seu tabuleiro. ......Eu acredito que esse é o seu desejo.""",「游戏是会消失吧。……但是，我已完全理解了魔法。……所以，我能把你带到棋盘外。………这即应是，你的心愿。」,「遊戲是會消失吧。……但是，我已完全理解了魔法。……所以，我能把你帶到棋盤外。………這即應是，你的心願。」,"""Il gioco probabilmente sparirà. ... Ma ora capisco appieno la magia. ... Perciò, sarò in grado di portarti fuori dal campo da gioco. ... Credo che questo fosse il tuo desiderio.""","""El juego probablemente desaparecerá... Pero ahora, entiendo completamente la magia... Así que, seré capaz de llevarte afuera del tablero de juego... Pienso que ese era tu deseo."""
{f:5:Beatrice},"""My......wish...?""","""My...wish...?"" ","""My...wish...?""",「私の、……望み…？」,[=JP],"""Моим...... желанием?..""","""O meu......desejo...?""",「我的……心愿…？」,「我的……心願…？」,"""Il mio... desiderio...?""","""¿Mi... deseo?..."""
