Speaker,Steam (ST),Umineko Project (UP),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT)
,"His true life work was... the study of occultism, Western magic, alchemy, and everything else to do with the occult, as well as demonology. ","His true life work...was the study of Western occultism, Western magic, alchemy, and all else falling under the umbrella of ""the occult"", as well as demonology.",彼の本当のライフワークは、神秘学、西洋魔法、錬金術、それら全てを内包するオカルト、そして悪魔学。,[=JP],"Истинная же работа его жизни... представляла собой изучение оккультизма, магии запада, алхимии, а также всего остального, что связано с оккультизмом, включая демонологию.","O verdadeiro trabalho de sua vida...era um estudo do ocultismo ocidental, magia ocidental, alquimia e tudo mais que se enquadrava na categoria de ""oculto"", bem como demonologia.",他真正當做畢生事業在研究的，是將神秘學、西洋魔法、鍊金術等全部包括在內的神秘事物，以及惡魔學。,他真正当做毕生事业在研究的，是将神秘学、西洋魔法、炼金术等全部包括在内的神秘事物，以及恶魔学。,"La sua vera vita lavorativa era... lo studio dell'occultismo, magia occidentale, alchimia, e qualsiasi altra cosa avesse a che fare con l'occulto, così come la demonologia.",[=UP]
,"In short, he was the person in the best position to understand the details of Kinzo's research... ","In short, he was one of the people best positioned to understand the details of Kinzo's research...",つまり、金蔵の研究内容をもっとも理解できる立場にある人間のひとりであった…。,[=JP],"Короче говоря, он был человеком, способным лучше всего понять детали и подробности исследования Кинзо...","Resumindo, ele era uma das pessoas mais capacitadas para entender em detalhes as pesquisas de Kinzo...",也就是說，他是一位處於最能理解金藏研究內容的立場上的人…。,也就是说，他是一位处于最能理解金藏研究内容的立场上的人…。,"In poche parole, era la persona più adatta a capire i dettagli della ricerca di Kinzo...",[=UP]
Professor Ootsuki,"""First, what I learned by appraising those books was that Ms. Ushiromiya Eva had absolutely no education in the study of folklore... and that the original owner of the books, Ushiromiya Kinzo, was certainly one of the top five authorities on demonology in Japan."" ","""First, what I learned by appraising the books was that {nobr:Mrs. Ushiromiya} Eva had absolutely no education in folkloristics, and that the original owner of the books, {nobr:Mr. Ushiromiya} Kinzo, was without doubt one of the top five authorities on demonology in Japan.""",「まず、蔵書を鑑定してわかったことは、右代宮絵羽氏には民俗学的な教養はまったくなく、そしてその蔵書の本来の持ち主である右代宮金蔵氏は、日本で五指に入る悪魔学の権威であったことは、間違いないということです。」,「まず、蔵書を鑑定してわかったことは、右代宮絵羽氏には民俗学的な教養はまったくなく、そしてその蔵書の本来の持ち主である右代宮金蔵氏は、日本で五指に入る悪魔学の権威であったことは、間違いないということです」,"""Первой подробностью, что я узнал при оценке книг, являлось абсолютное отсутствие у Уширомия Евы образования в сфере изучения фольклора, а также то, что изначальный владелец книг, Уширомия Кинзо, являлся одним из пяти лучших знатоков по демонологии в Японии.""","""Primeiro, o que eu aprendi avaliando os livros é que a {nobr:Sra. Ushiromiya} Eva não possuía qualquer conhecimento sobre folclore, e o dono original dos livros, {nobr:Sr. Ushiromiya} Kinzo, era, sem dúvida, uma das cinco principais autoridades em demonologia do Japão.""",「首先，我通過鑑定藏書所明白的，是右代宮繪羽氏全無民俗學上的修養，以及這批藏書原本的主人右代宮金藏氏，無疑是在日本排得進前五的惡魔學權威。」,「首先，我通过鉴定藏书所明白的，是右代宫绘羽氏全无民俗学上的修养，以及这批藏书原本的主人右代宫金藏氏，无疑是在日本排得进前五的恶魔学权威。」,"""Innanzitutto, ciò che ho appreso esaminando i libri è che Ms. Ushiromiya Eva non aveva assolutamente alcuna educazione nello studio del folklore, e che l'originale proprietario dei libri, Ushiromiya Kinzo, era senza dubbio uno dei cinque massimi esperti di demonologia in Giappone.""",[=UP]
,"April, 1987. ","April, 1987.",１９８７年４月。,[=JP],Апрель 1987 года.,"Abril, 1987.",1987 年 4 月。,[=CHT],"Aprile, 1987.",[=UP]
,A major city antique shop obtained a large quantity of ancient documents that were thought to have a high historical value. ,A major city antique shop came into possession of a large quantity of ancient texts thought to have a high historical value.,都内の大手古物商が、歴史的価値が高いと思われる大量の古文書を入手する。,[=JP],"Городской антикварный магазин приобрёл огромное количество старинных документов, которые, как считалось, имеют большую историческую ценность.",Um grande antiquário da cidade ficou de posse de uma vasta quantidade de textos antigos que teriam um alto valor histórico.,東京都的某個大古董商拿到了一大批估計具有很高歷史價值的古書。,东京都的某个大古董商拿到了一大批估计具有很高历史价值的古书。,Un negozio di antichità molto grande in città ha reperito una gran quantità di antichi documenti che si pensava avessero un gran valore storico.,[=UP]
,"They were entrusted with them by Ushiromiya Eva, who wanted them to be sold at auction. ","The texts had been entrusted to them by Ushiromiya Eva, who had requested for them to be put up for auction on her behalf.",これは、右代宮絵羽が競売に掛けるよう依頼して預けたものであった。,[=JP],"Они попали в него после того, как Уширомия Ева продала их на аукционе.","Os textos foram confiados a ela por Ushiromiya Eva, que os requisitou para serem colocados a leilão em seu nome.",這批書是右代宮繪羽委託其拍賣，寄放在古董商處的。,这批书是右代宫绘羽委托其拍卖，寄放在古董商处的。,Ne erano entrati in possesso dopo che Ushiromiya Eva li aveva venduti all'asta.,[=UP]
,"At the time, it was thought that Eva would succeed the Ushiromiya family and have all the wealth to herself, as the only survivor. ","At the time, everyone thought that Eva had succeeded the Ushiromiya family and obtained all the wealth for herself as the only survivor.",当時、絵羽は唯一の生き残りとして右代宮家の家督を継承し、全ての財産を独占したかに思われていた。,[=JP],"Тогда считалось, что Ева самолично унаследует всё богатство семьи Уширомия как единственный выживший.","Naquela época, todos pensaram que Eva havia sucedido a família Ushiromiya e obtido toda a riqueza para si, como única sobrevivente.",當時，輿論認為，繪羽作為唯一的生還者繼承了右代宮家的家督，獨吞了所有的財產。,当时，舆论认为，绘羽作为唯一的生还者继承了右代宫家的家督，独吞了所有的财产。,"A quel tempo, si pensava che Eva sarebbe stata l'erede della famiglia Ushiromiya e che avrebbe avuto tutti i beni per sé come unica sopravvissuta.",[=UP]
,"However, at that point, not even half a year had passed since the accident, and the others had not been missing long enough to be presumed dead, even under extraordinary circumstances. ","However, at that point, barely half a year had passed since the accident, which was not enough for the rest of the family to be legally declared dead in absentia, even given the extraordinary circumstances.",しかし、当時は事故から半年しか経ておらず、危難失踪が成立していなかった。,[=JP],"Однако тогда же с момента трагедии не прошло и полгода, и несмотря на окружающие дело необычные обстоятельства, не было установлено, что другие отсутствовали достаточно долго, чтобы признать их мёртвыми.","Entretanto, naquele momento, pouco mais de meio ano havia se passado desde o incidente, o que não era o suficiente para que a ausência do resto da família fosse legalmente declarada como morta, mesmo dadas as circunstâncias extraordinárias.",不過，當時距事故發生才只過了半年，遇難失踪尚未成立。,不过，当时距事故发生才只过了半年，遇难失踪尚未成立。,"Tuttavia, a quel punto, nemmeno metà anno era passato dall'incidente, e nonostante le circostanze straordinarie, non era stato stabilito che gli altri fossero scomparsi così a lungo da essere ritenuti morti.",[=UP]
,"Because of that, Eva had supposedly been in a very tight spot financially, unable even to collect on her family's life insurance. ","Because of that, Eva was thought to have been in a very tight spot financially, unable even to collect from her family's life insurance.",その為、絵羽は家族の生命保険さえ降りず、経済的にかなり困窮していたと思われる。,[=JP],"По этой причине считалось, что Ева находилась в трудном финансовом положении, не способная даже получить деньги со страховки жизней её родственников.","Por causa disso, se pensou que Eva estava em uma situação financeira muito apertada, incapaz até de coletar o seguro de vida de sua família.",因此，繪羽可能是連家人的死亡保險賠償金都拿不到，經濟上非常窮困。,因此，绘羽可能是连家人的死亡保险赔偿金都拿不到，经济上非常穷困。,"A causa di ciò, si pensava che Eva fosse in ristrettezze economiche, essendo incapace di percepire l'assicurazione sulla vita della sua famiglia.",[=UP]
,"It seems she tried to sell everything of value, and even the books kept in the place where she'd escaped harm in, Kuwadorian, were used for this purpose. ","It seems that she tried to sell everything of value, and even the books kept in Kuwadorian, her location when she escaped harm, became a target of this.",絵羽は金目のものは何でも売り払おうとしたらしく、彼女が難を逃れた時に所在していた九羽鳥庵に収められていた蔵書も、この対象となったのだ。,[=JP],"Похоже, она пыталась продать всё ценное, и даже книги из того места, где она спаслась, Кувадориана, не избежали этой участи.","Parece que ela tentou vender tudo o que tinha de valor, até mesmo os livros que estavam em Kuwadorian, local para o qual ela escapou dos danos se tornou alvo disto.",那時的繪羽貌似想把值錢的東西都賣掉，收藏在她逃過一劫時身處的九羽鳥庵中的藏書也成了其中之一。,那时的绘羽貌似想把值钱的东西都卖掉，收藏在她逃过一劫时身处的九羽鸟庵中的藏书也成了其中之一。,"Sembra che abbia cercato di vendere qualsiasi cosa avesse valore, e anche i libri custoditi nel luogo in cui era scappata, Kuwadorian, diventarono un bersaglio di ciò.",[=UP]
,"These old books, which would eventually be called ""the Ushiromiya Library"", were later gathered from antique shops by authorities in the field so that they could be appraised, ...and those authorities were astounded. ","And when the authorities in the field gathered at the request of the antique shop to appraise these documents—which were later called ""the Ushiromiya Library""—they were given the shock of their lives.",そして、後に「右代宮蔵書」と呼ばれるそれら古文書は、古物商によって鑑定のために集められた権威たちの度肝を抜いた。,[=JP],"А потом эти самые книги, названные ""Библиотекой семьи Уширомия"", оказались собраны для оценки из антикварных магазинов авторитетами в своих областях... И эти самые авторитеты были поражены.","E quando as autoridades no campo se juntaram devido ao pedido da loja de antiquário para avaliar os documentos — na qual posteriormente foram chamados de ""Biblioteca Ushiromiya"" — eles foram surpreendidos com algo que nunca imaginariam.",然後，這批在之後被人稱為「右代宮藏書」的古書，將古董商為了鑑定而請來的權威們嚇破了膽。,然后，这批在之后被人称为「右代宫藏书」的古书，将古董商为了鉴定而请来的权威们吓破了胆。,"E questi vecchi libri, che successivamente furono chiamati ‘la Biblioteca Ushiromiya’, furono in seguito raccolte dagli esperti del campo dai negozi di antichità così da poter essere valutati... e gli esperti rimasero strabiliati.",[=UP]
Professor Ootsuki,"""At least speaking from the perspective of occultism, the impact of that discovery on the world was comparable to the discovery of the Dead Sea scrolls."" ","""At least speaking from the perspective of occultism, the shock waves that discovery sent throughout the world were comparable to the discovery of the Dead Sea Scrolls.""",「少なくとも神秘学の見地から言えば、その発見が世界に与えた衝撃は死海文書発見にも匹敵するものでした。,「少なくとも神秘学の見地から言えば、その発見が世界に与えた衝撃は死海文書発見にも匹敵するものでした」,"""По крайней мере, с оккультной точки зрения, эффект от того открытия был равносилен открытию Свитков Мёртвого моря.""","""Ao menos falando da perspectiva do ocultismo, as ondas de choque que aquela descoberta enviou através do mundo foram comparadas a descoberta dos Manuscritos do Mar Morto.""",「至少從神秘學的觀點來講，這次發現，甚至與帶給世界衝擊的{c:86EF9C:死海文書}的發現匹敵。{c:86EF9C:（詳見魔導書同名條目）}」,「至少从神秘学的观点来讲，这次发现，甚至与带给世界冲击的{c:86EF9C:死海文书}的发现匹敌。{c:86EF9C:（详见魔导书同名条目）}」,"""Almeno parlando dal punto di vista dell'occulto, l'impatto di quella scoperta sul mondo era paragonabile a quella della scoperta dei rotoli del Mar Morto.",[=UP]
Professor Ootsuki,"""This is because...contained within ""the Ushiromiya Library"" were many extremely vital documents that had never been found, though their existence had been known of for more than a millenium."" ","""The reason for this is that the ""Ushiromiya Library"" even included some extremely important documents...which had been known to exist for more than a thousand years, but had never before been found.""",『右代宮蔵書』には、なんと千年以上にも亘る間、その存在だけが知られているにもかかわらず、発見されていなかった数々の極めて重要な文献さえ含まれていたからです。」,「『右代宮蔵書』には、なんと千年以上にも亘る間、その存在だけが知られているにもかかわらず、発見されていなかった数々の極めて重要な文献さえ含まれていたからです」,"""Так было потому, что 'Библиотека семьи Уширомия' содержала множество различных и чрезвычайно важных документов, о существовании которых было известно более тысячи лет, однако прежде они так и не были найдены.""","""O motivo para isso é que a ""Biblioteca Ushiromiya"" incluía até mesmo alguns documentos extremamente importantes...os quais já se tinha conhecimento da existência há mais de mil anos, mas nunca haviam sido encontrados.""",「這是因為，在『右代宮藏書』中，居然有著在橫跨上千年的歲月裡，只知其存在，而一直都未被發現的許許多多極其重要的文獻。」,「这是因为，在『右代宫藏书』中，居然有着在横跨上千年的岁月里，只知其存在，而一直都未被发现的许许多多极其重要的文献。」,"Questo perché, contenuti nella ‘Biblioteca Ushiromiya’, vi erano molti documenti estremamente importanti che, nonostante la loro esistenza fosse stata nota per più di mille anni, non furono mai trovati.""",[=UP]
,"The many dreams of the occult, such as those represented by alchemy, always stirred an intense fascination in dilettantes. ","The so‐called ""romantic"" side of the occult, epitomized for example by alchemy, never ceases to stir an intense fascination in dilettantes.",錬金術に代表されるような、いわゆる夢のあるオカルトは、常に好事家を魅了して止まない。,[=JP],"Множество оккультных мечтаний, вроде представленных в алхимии, всегда разжигали страстное увлечение в любителях и дилетантах.","O tão chamado lado ""romântico"" do oculto epitomizado, por exemplo, pela alquimia, nunca deixou de instigar um fascínio extremo aos diletantes.",以鍊金術為代表的富有夢幻色彩的神秘學，無時無刻不在魅惑著好事者們。,以炼金术为代表的富有梦幻色彩的神秘学，无时无刻不在魅惑着好事者们。,"I molti sogni dell'occulto, come quelli rappresentati dall'alchimia, avevano sempre un grande fascino sui dilettanti.",[=UP]
,"It is whispered that many ""magic books"" of great historical value, currently unknown to the public, might be in the secret possession of extremely wealthy lovers of the occult. ","Even now, it is whispered that in various places around the world, a great number of ""magic books"" of historical value...might be in the secret possession of very wealthy lovers of the occult, unannounced to the public.",未だに全世界には、未公表の歴史価値ある「魔法書」が大量に残されていて、オカルトを愛する大富豪たちが秘密に所持しているのではないかと囁かれているのである。,[=JP],"Поэтому ходят слухи, что множество ""магических книг"", имеющих огромную историческую ценность и пока неизвестных широкой публике, может находиться в тайном владении богатых заядлых любителей оккультизма.","Mesmo agora, é sussurrado em vários cantos do mundo que um grande número de ""livros mágicos"" de valor histórico...poderiam estar sob posse de amantes muito ricos do ocultismo, sem o conhecimento do público.",據傳，在這個世界上，可能還留有許許多多尚未公諸於眾的「魔法書」，被熱愛神秘學的大富豪們秘密收藏著。,据传，在这个世界上，可能还留有许许多多尚未公诸于众的「魔法书」，被热爱神秘学的大富豪们秘密收藏着。,"Si mormora che molti ‘libri magici’ di grande valore storico, non ancora mostrati al pubblico, potrebbero essere dei beni segreti di amanti dell'occulto molto ricchi.",[=UP]
,"Items such as Leonardo da Vinci's notebooks, which are particularly popular among dilettantes, are said to be prime examples of this. ","The prime candidates for this are said to be items such as Leonardo da Vinci's notebooks, which are particularly popular among dilettantes.",好事家の中でもとりわけ人気の高い、レオナルド・ダ・ヴィンチの手稿などがその最たるものと言われる。,[=JP],"Поговаривали, что такие вещи, как записки Леонардо да Винчи, особенно популярные среди дилетантов, являлись ярким примером подобных книг.","Os principais candidatos são ditos como os cadernos de Leonardo da Vinci, que são particularmente populares entre os diletantes.",在好事者中也擁有特別高的人氣的萊奧納多·達·芬奇的手稿，據說就是最典型的例子。,在好事者中也拥有特别高的人气的莱奥纳多·达·芬奇的手稿，据说就是最典型的例子。,"Si dice che oggetti come il taccuino di Leonardo da Vinci, che sono piuttosto popolari tra i dilettanti, ne fossero i primi esempi.",[=UP]
,"It is said that approximately 5,000 pages of these notebooks currently exist, and that over 10,000 have been lost, but some researchers believe that a large part of this lost portion may be monopolized by certain enthusiasts and members of the extremely rich. ","It is said that approximately five thousand pages of the notebooks currently exist, and over ten thousand have been lost, but some researchers believe that a large part of this lost portion may be being monopolized by certain dilettantes and millionaires.",手稿は約五千枚が現存し、一万枚以上が紛失していると言われるが、この紛失分の数割が、特定の大富豪や好事家によって独占されている可能性があると一部の研究者は見ている。,[=JP],"Также ходят слухи о существовании около 5000 страниц этих записок и о потере более 10000 других страниц, но некоторые исследователи полагают, что большая часть из потерянного может находиться в руках у определённых любителей и индивидуумов, принадлежащих к числу богатых людей.","É dito que existem aproximadamente cinco mil páginas desses cadernos, e mais de dez mil foram perdidas, mas alguns pesquisadores acreditam que grande parte dessa porção perdida está sendo monopolizada por certos diletantes e milionários.",雖然據說手稿現存約五千張，遺失了上萬張，但一部分研究者認為，遺失部分中的大多數有可能是被某些特定的大富豪與好事者占為已有了。,虽然据说手稿现存约五千张，遗失了上万张，但一部分研究者认为，遗失部分中的大多数有可能是被某些特定的大富豪与好事者占为已有了。,"Si dice che approssimativamente 5000 pagine del taccuino esistano ancora oggi, e che oltre 10,000 siano state perdute, ma alcuni ricercatori credono che una grossa parte di questa sezione perduta potrebbe essere monopolizzata da alcuni dilettanti e da alcune persone estremamente ricche.",[=UP]
,"It is said that because of this, even now, dilettantes who can't help but seek these spare no expense to search around for quietly hoarded away and unannounced notebooks... ","It is said that because of this, even now, dilettantes who can't help but seek these spare no expense to search around for quietly hoarded‐away and unannounced notebooks...",その為、今もなお、求めて止まない好事家が、死蔵されて眠っている未公開手稿を求め、金に糸目をつけずに探し回っているという…。,[=JP],"Ещё говорят, что по этой причине даже сейчас любители, которые не в силах удержаться от поиска подобных документов, не жалеют средств в стремлении отыскать быстро припрятанные и не объявленные записки...","É dito que por causa disso, mesmo agora, diletantes não podem fazer nada além de buscar por cadernos guardados em sigilo e nunca anunciados, sem poupar despesas...",因此，即便是現在，也有著對其謀求不止的好事者，為了得到沉眠於封藏中的未公開手稿，而不惜重金地到處尋覓…。,因此，即便是现在，也有着对其谋求不止的好事者，为了得到沉眠于封藏中的未公开手稿，而不惜重金地到处寻觅…。,"Si dice che a causa di tutto ciò, anche adesso, i dilettanti che non possono far altro che cercarli senza badare a spese per trovare taccuini tranquillamente dimenticati e non rivelati...",[=UP]
,There is probably no doubting that Ushiromiya Kinzo was himself one of those dilettantes. ,There is probably no doubting that Ushiromiya Kinzo was himself one of those dilettantes.,右代宮金蔵もまた、そんな類の好事家であったことは、疑いようもないだろう。,[=JP],Так что в принадлежности Уширомии Кинзо к числу таких любителей вряд ли можно было сомневаться.,Provavelmente não restam dúvidas de que o próprio Ushiromiya Kinzo era um desses diletantes.,右代宮金藏也屬於這類好事者，這是毋庸置疑的吧。,右代宫金藏也属于这类好事者，这是毋庸置疑的吧。,Non c'è alcun dubbio che Ushiromiya Kinzo fosse anch'esso uno di quei dilettanti.,[=UP]
