Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
Ushiromiya Ange,"""...What is it...? ...A key...?"" ",""".........What is it...? .........A key...?""","""......What is it...? ......A key...?""",「………これ、何…？　………鍵…？」,[=JP],"""......Что это?.. ......Ключ?..""",""".........O que é isso...? .........Uma chave...?""",「………這是、什麼…？………鑰匙…？」,「………这是、什么…？………钥匙…？」,"""... Che cos'è...? Una chiave...?"""
,"Battler took a large key attached to a necklace out of his pocket, then held it out to Ange. ","Battler took a large key attached to a necklace out of his pocket, then held it out to Ange.",[=UP],戦人は懐より、首飾りに繋がった大きな鍵を取り出し、縁寿に差し出す。,[=JP],Баттлер достал из кармана большой ключ на ожерелье и протянул его Энджи.,"Battler pegou uma grande chave, presa em um colar, de dentro de seu bolso e a entregou para Ange.",戰人從懷裡取出了一把和項鏈連在一起的大鑰匙，遞給緣壽。,战人从怀里取出了一把和项链连在一起的大钥匙，递给缘寿。,"Battler tirò fuori dal suo taschino una grande chiave attaccata a una collana, e la porse a Ange."
,"It was large enough to cover his entire palm, and little Ange probably wouldn't even be able to wrap her hand all the way around it. ","It was large enough to cover Battler's entire palm, and little Ange probably wouldn't even be able to wrap her hand all the way around it."," It was large enough to cover Battler's entire palm, and little Ange probably wouldn't even be able to wrap her hand all the way around it.",それは戦人の手の平いっぱいの大きさがあり、幼い縁寿には一握りしても余るほどの大きさが感じられた。,[=JP],"Ключ был размером с ладонь Баттлера, и маленькая Энджи даже не могла полностью вложить его в руку.","Era grande o bastante para ocupar toda palma de Battler, e a pequena Ange provavelmente sequer seria capaz de fechar sua mão enquanto a segurasse.",這鑰匙和戰人的手掌一般大小，對年幼的緣壽來說，大到了好像一只手都握不住似的。,这钥匙和战人的手掌一般大小，对年幼的缘寿来说，大到了好像一只手都握不住似的。,"Era abbastanza grande da coprire tutto il palmo di Battler, e la piccola Ange probabilmente non sarebbe stata in grado di avvolgere la sua mano intorno ad essa."
,"The key glittered gold and had a beautiful, intricate design. ","The key glittered gold and had a beautiful, intricate design."," The key glittered gold and had a beautiful, intricate design.",金色に輝き、凝った意匠が施された美しい鍵。,[=JP],Красивый ключ со сложным дизайном сверкал золотом.,A chave reluzia ouro e possuía um belo e intrincado design.,這是把閃著金色光輝，樣式精美的鑰匙。,这是把闪着金色光辉，样式精美的钥匙。,La chiave scintillava d'oro e aveva un motivo bellissimo e complesso.
,Its weight alone made it clear that this key was something very important. ,Its weight alone made it clear that this key was something very important., Its weight alone made it clear that this key was something very important.,その重みだけで、さぞ大切な鍵に違いないとわからせてくれた。,[=JP],Вес ключа только подчёркивал его важность.,Apenas seu peso já era o suficiente para indicar que a chave era algo muito importante.,想必僅憑它的重量，就能讓人明白，這是把很貴重的鑰匙。,想必仅凭它的重量，就能让人明白，这是把很贵重的钥匙。,Solo il suo peso diceva chiaramente che questa chiave era qualcosa di molto importante.
,Battler put the necklace around Ange's neck. ,Battler put the necklace around Ange's neck., Battler put the necklace around Ange's neck.,戦人はその鍵のついた首飾りを、縁寿の首に掛ける。,[=JP],Баттлер надел ожерелье на шею Энджи.,Battler colocou o colar no pescoço de Ange.,戰人把鑰匙上連著的項鏈，掛在了緣壽的脖子上。,战人把钥匙上连着的项链，挂在了缘寿的脖子上。,Battler mise la collana intorno al collo di Ange.
Ushiromiya Battler,"""This precious key is yours alone."" ","""This precious key is yours alone, Ange.""",[=UP],「これは縁寿だけの、大切な鍵だ。」,「これは縁寿だけの、大切な鍵だ」,"""Этот драгоценный ключ только твой, Энджи.""","""Esta preciosa chave pertence apenas a você, Ange.""",「這是只屬於緣壽的，重要的鑰匙。」,「这是只属于缘寿的，重要的钥匙。」,"""Questa preziosa chiave è solo tua, Ange."""
Ushiromiya Ange,"""What's it for...?"" ","""What's it for......?""",[=UP],「何の鍵なの……？」,[=JP],"""От чего он?..""","""Pra que ela serve......?""",「是什麼的鑰匙……？」,「是什么的钥匙……？」,"""A che serve...?"""
Ushiromiya Battler,"""The time to use it will come soon. When it does, you'll have to decide for yourself. ...Understand?"" ","""The time to use it will come soon. When it does, you'll have to decide for yourself. ......Understand?""",[=UP],「使うべき時は、すぐに来る。そして縁寿が、自分で決めるんだ。……わかるね？」,[=JP],"""Время воспользоваться им скоро придёт. И тогда ты должна будешь решить сама. ......Понимаешь?""","""A hora de usá‐la logo vai chegar. E quando chegar, terá que decidir sozinha. ......Entendeu?""",「使用它的時刻，很快就會到來。到時就由緣壽你自己來決定。……明白了嗎？」,「使用它的时刻，很快就会到来。到时就由缘寿你自己来决定。……明白了吗？」,"""Il momento di usarla verrà presto. Quando accadrà, dovrai decidere per te stessa. ... Capito?"""
,"...Of course, she didn't have a clue what Battler was saying. ","......Of course, she didn't have a clue what Battler was talking about.","......Of course, she didn't have a clue what Battler was saying.",……戦人が何を言っているのか、わかるはずもない。,[=JP],"......Разумеется, она понятия не имела, о чём говорил Баттлер.","......É claro, ela não fazia ideia do que Battler estava falando.",……戰人所言何意，緣壽當然不可能明白。,……战人所言何意，缘寿当然不可能明白。,"... Ovviamente, non aveva la minima idea di quello che stava dicendo Battler."
,"But she did realize that he was telling her to take good care of this key. So, Ange nodded, at least in response to that part. ","But she did realize that he was telling her to take good care of this key. So, Ange nodded, at least in response to that part."," But she did realize that he was telling her to take good care of this key. So, Ange nodded, at least in response to that part.",でも、この鍵を大切にしろという話だけはわかる。だから縁寿は、それについてだけ、頷いて見せた。,[=JP],"Но Энджи поняла, что он просит её беречь этот ключ. Поэтому она кивнула, по крайней мере, в ответ на эту часть.","Mas percebeu que Battler estava dizendo para ela cuidar muito bem daquela chave. Por isso, Ange assentiu, ao menos em resposta a essa parte.",但是，她明白這把鑰匙需要好好保管。所以緣壽在關於這一點上，點了點頭。,但是，她明白这把钥匙需要好好保管。所以缘寿在关于这一点上，点了点头。,"Ma capì che le stava dicendo di prendersi molta cura di questa chiave. {n}Quindi, Ange annuì, almeno in risposta a quella parte."
,"In her hand, the key had felt heavy. However, now that it was around her neck, it felt as light as an ordinary necklace. ","In her hand, the key had felt heavy. However, now that it was around her neck, it felt as light as an ordinary necklace."," In her hand, the key had felt heavy. However, now that it was around her neck, it felt as light as an ordinary necklace.",手に持った時は、ずしりと重いと思ったのに。首に掛けてみると、普通の首飾り程度の重さにしか感じられなかった。,[=JP],"В её руке ключ казался тяжёлым. Но оказавшись у неё на шее, он был таким же лёгким, как обычное ожерелье.","Em sua mão, a chave era muito pesada. Contudo, agora que estava ao redor do seu pescoço, ela parecia tão leve quanto um simples pingente.",拿在手上的時候，明明覺得沉甸甸的。而掛在脖子上後，就只能感受到一般項鏈程度的重量了。,拿在手上的时候，明明觉得沉甸甸的。而挂在脖子上后，就只能感受到一般项链程度的重量了。,"Sulla sua mano, la chiave sembrava pesante. Tuttavia, ora che era intorno al suo collo, sembrava leggera come una normale collana."
,How strange. ,How strange., How strange.,とても不思議だった。,[=JP],Так странно.,Que estranho.,真是不可思議。,真是不可思议。,Che strano.
Ushiromiya Battler,"""Okay, let's go."" ","""Okay, let's go.""",[=UP],「さぁ。行こうか。」,「さぁ。行こうか」,"""Ну что, пойдём.""","""Certo, vamos indo.""",「來，我們走吧。」,「来，我们走吧。」,"""Ok, andiamo."""
Ushiromiya Ange,"""Where to...?"" ","""Where......?""",[=UP],「どこへ……？」,[=JP],"""Куда?..""","""Para onde......?""",「去哪兒……？」,「去哪儿……？」,"""Dove...?"""
,She had been sure that her brother was about to sit down. ,She had been sure that her brother was about to sit down.,[=UP],てっきり、兄は腰を下ろすものだと思っていた。,[=JP],"Она была уверена, что её брат собирался сесть.",Ela tinha certeza que seu irmão estava prestes a sentar.,我還以為，哥哥一定會坐下來呢。,我还以为，哥哥一定会坐下来呢。,Era sicura che suo Fratello si stesse per sedere.
,"After all, just a second ago, he said he'd tell her what happened on Rokkenjima on that day. ","Just a second ago, he had said that he'd tell her what happened on Rokkenjima that day."," Just a second ago, he had said that he'd tell her what happened on Rokkenjima that day.",兄はついさっき、あの日、六軒島で何があったのかを話そうと言ってくれたのだ。,[=JP],"Ещё минуту назад он сказал, что расскажет ей о произошедшем на Роккенджиме в тот день.","Segundos atrás, ele havia dito que contaria o que aconteceu em Rokkenjima naquele dia.",他剛剛才說過，要把那一天，六軒島上到底發生了什麼告訴我。,他刚刚才说过，要把那一天，六轩岛上到底发生了什么告诉我。,"Un secondo fa, aveva detto che le avrebbe raccontato cosa successe su Rokkenjima quel giorno."
,She'd expected him to tell her here... ,She had thought that he would tell her here......, She had thought that he would tell her here......,それを、ここで語ってくれるのかと思っていた……。,[=JP],"Она подумала, что он расскажет ей здесь......",Ela havia pensado que ele contaria a ela......,我還以為，他會在這裡告訴我那些……。,我还以为，他会在这里告诉我那些……。,Aveva pensato che glielo avrebbe raccontato qui...
Ushiromiya Battler,"""On that day, on that island, ...just what is it that happened?"" ","""On that day, on that island... What happened?""",[=UP],「あの日、あの島で。何があったのか。」,「あの日、あの島で。何があったのか」,"""Что произошло... в тот день на этом острове?""","""Naquele dia, naquela ilha... O que aconteceu?""",「那一天，那座島上。到底發生了什麼？」,「那一天，那座岛上。到底发生了什么？」,"""Quel giorno, su quell'isola... cosa è successo?"""
Ushiromiya Ange,"""I thought you were going to tell me about that, Onii-chan..."" ","""Weren't you about to tell me that, Onii‐chan...?""","""Weren't you about to tell me that, Onii-chan...?""",「お兄ちゃんがそれを、聞かせてくれるんじゃないの…？」,[=JP],"""Разве ты не собирался рассказать мне, братик?..""","""Você não ia me contar, onii‐chan...?""",「哥哥你不是要把這些講給我聽嗎…？」,「哥哥你不是要把这些讲给我听吗…？」,"""Non me lo stavi per raccontare, Onii-chan...?"""
Ushiromiya Battler,"""Absolutely. And you'll be given the chance to listen. ...However, to you, it may not feel as though you're merely listening to a story."" ","""Oh, I will. I'll tell the story and let you listen. ......However, it might be the kind of thing you can't really feel if you just hear about it from someone else.""",[=UP],「聞かせるとも。話して、縁寿に、聞かせる。……でもそれは、縁寿にはただ話を聞いているだけには、感じられないかもしれない。」,「聞かせるとも。話して、縁寿に、聞かせる。……でもそれは、縁寿にはただ話を聞いているだけには、感じられないかもしれない」,"""О, я расскажу. Я расскажу эту историю и дам тебе выслушать. ......Но она может быть такой, какую толком не испытаешь, услышав от другого.""","""Sim, eu vou. Eu vou contar uma história, e você vai ouvi‐la. ......Porém, talvez não seja o tipo de coisa que você realmente possa sentir apenas ouvindo alguém contar.""",「當然是要講的。說出來，講給緣壽你聽。……但是呢，僅僅是讓你聽我說的話，你肯定是感受不到的。」,「当然是要讲的。说出来，讲给缘寿你听。……但是呢，仅仅是让你听我说的话，你肯定是感受不到的。」,"""Oh, lo farò. Racconterò la storia e ti lascerò ascoltare. ... Tuttavia, potrebbe essere quel genere di cosa che non potresti veramente provare se l'ascolti da qualcun altro e basta."""
Ushiromiya Ange,"""......What does that mean...?"" ",""".........What do you mean...?""",[=UP],「………それはどういうこと…？」,[=JP],""".........То есть?..""",""".........O que quer dizer...?""",「………這是什麼意思…？」,「………这是什么意思…？」,"""... Cosa intendi...?"""
Ushiromiya Battler,"""What you really want...isn't to know what happened on that island on that day."" ","""What you really want...isn't to know what happened on that island on that day.""",[=UP],「縁寿が本当に望んでいるのは、あの日、あの島であったことを、知りたいんじゃない。」,「縁寿が本当に望んでいるのは、あの日、あの島であったことを、知りたいんじゃない」,"""На самом деле ты хочешь... не узнать, что случилось на острове в тот день.""","""O que você realmente quer...não é saber o que aconteceu na ilha naquele dia?""",「緣壽真正的願望，不就是想知道那一天，那座島上發生的事情嗎？」,「缘寿真正的愿望，不就是想知道那一天，那座岛上发生的事情吗？」,"""Quello che tu vuoi... non è sapere cosa è successo su quell'isola quel giorno."""
,"...So, ...he does understand, after all. ","......So, ......he does understand, after all.",[=UP],……やはり、……兄は、わかっていてくれた。,[=JP],......Значит...... он всё‐таки понимает.,"......Então, ......ela realmente entendeu.",……果然，……哥哥是了解我的。,[=CHT],"... Allora... capisce, dopotutto."
,What happened on that island that day? ,What happened on that island that day?, What happened on that island that day? ,あの日、あの島で何があったのか。,[=JP],Что произошло на этом острове в тот день?,O que aconteceu na ilha naquele dia?,那一天，那座島上到底發生了什麼。,那一天，那座岛上到底发生了什么。,Cosa è successo su quell'isola quel giorno?
,"Trying to answer that question was all I was capable of, so I wished for nothing more. ","Trying to answer that question was all I was capable of, so I wished for nothing more.",[=UP],それを知ろうとすることが、私に出来る限界だから、敢えてその程度を望んだのだ。,[=JP],"Попытки ответить на этот вопрос были всем, на что я способна, поэтому я не желала большего.","Tentar responder essa pergunta é tudo que sou capaz de fazer, por isso não desejei por mais nada.",對我來說，知曉這些就已經是極限了，我也只敢期待到這種程度。,对我来说，知晓这些就已经是极限了，我也只敢期待到这种程度。,"Provare a rispondere a quella domanda era tutto ciò che sapevo fare, quindi non desiderai niente di più."
,"...But, if I could... ","......But, if I could...",[=UP],……もし、許されるなら。,[=JP],......Но если бы могла...,"......Mas, se eu pudesse...",……如果，可以的話。,……如果，可以的话。,"... Ma, se avessi potuto..."
,I'd...want to go there. ,I'd......want to go there., I'd......want to go there.,私は、……行きたい。,[=JP],Я бы...... хотела отправиться туда.,Eu gostaria......de ir até lá.,我，……想要去。,[=CHT],Sarei... voluta andare lì.
,To that island. On that day. ,To that island. On that day., To that island. On that day.,あの日、あの島へ。,[=JP],На этот остров. В тот день.,Até a ilha. Até aquele dia.,那一天，去那座島。,那一天，去那座岛。,Su quell'isola. In quel giorno.
,"To Rokkenjima, on that day I couldn't go... To the Ushiromiya family mansion. ","To Rokkenjima, on that day I couldn't go... To the Ushiromiya family mansion."," To Rokkenjima, on that day I couldn't go... To the Ushiromiya family mansion.",私が行けなかったあの日の六軒島へ、右代宮本家のお屋敷へ。,[=JP],"На Роккенджиму в день, когда я не смогла приехать... В особняк семьи Уширомия.","Para Rokkenjima, para o dia que eu não pude ir... Para a mansão da família Ushiromiya.",去我沒能去成的那一天的六軒島，去右代宮本家的大屋。,去我没能去成的那一天的六轩岛，去右代宫本家的大屋。,"Su Rokkenjima, in quel giorno in cui non ero potuta andare... alla villa della famiglia Ushiromiya."
,"To Mom and Dad. To all the cousins, all the relatives. And...everyone else. ","Mom and Dad. All my cousins, all my relatives. And...everyone else."," Mom and Dad. All the cousins, all the relatives. And...everyone else.",お父さんやお母さん。いとこたちや親戚たち。みんな、みんな。,[=JP],"Мама и папа. Все кузены, все родственники. И... все остальные.","Pai, mãe. Todos os meus primos, meus parentes. E...todo mundo.",爸爸和媽媽。堂兄堂姐們和親戚們。大家，大家。,爸爸和妈妈。堂兄堂姐们和亲戚们。大家，大家。,"Mamma e Papà. Tutti i cugini, tutti i parenti. E... tutti gli altri."
,I want to go back...to that island on that day. ,I want to go back......to that island on that day., I want to go back......to that island on that day.,私は、あの日のあの島へ、……帰りたいのだ。,[=JP],Я хочу вернуться...... на остров в тот день.,Eu quero voltar......para a ilha daquele dia.,我想要，回到那座島上，……在那一天。,我想要，回到那座岛上，……在那一天。,Voglio tornare... su quell'isola in quel giorno.
,"So, I remain the way I was on that day. My heart and soul stopped, stuck as a six-year-old's forever... ","So, I've always remained the way I was on that day.{n}My heart and soul stopped, stuck as a six‐year‐old's forever..."," So, I've always remained the way I was on that day. My heart and soul stopped, stuck as a six-year-old's forever...",だから、私はいつまでも、あの日の私のままなのだ。６歳のまま、私の心と魂を、永遠に留めてしまっている…。,だから、私はいつまでも、あの日の私のままなのだ。{n}６歳のまま、私の心と魂を、永遠に留めてしまっている…。,"Из‐за этого я навсегда осталась такой, какой была тогда.{n}Моё сердце и душа остановились, навеки застряв в шестилетнем возрасте...","Por isso, eu continuei sempre como era naquele dia.{n}Meu coração e minha alma pararam, presos aos seis anos para sempre...",所以，我才會永遠都是，那一天的我的樣子。{n}6 歲的那天，我的心和靈魂，都永遠地停滯了…。,所以，我才会永远都是，那一天的我的样子。{n}6 岁的那天，我的心和灵魂，都永远地停滞了…。,"Quindi, sono sempre rimasta la stessa che ero quel giorno. Il mio cuore e la mia anima si sono fermati, bloccati come quelli di una ragazzina di sei anni per sempre..."
Ushiromiya Ange,"""...I want to go home."" ","""......I want to go back there.""",[=UP],「……帰りたいの、私は。」,「……帰りたいの、私は」,"""......Я хочу вернуться туда.""","""......Eu quero voltar lá.""",「……我，想要回去。」,[=CHT],"""... Voglio tornare lì."""
Ushiromiya Battler,"""I know."" ","""I know.""",[=UP],「わかってる。」,「わかってる」,"""Знаю.""","""Eu sei.""",「我知道。」,[=CHT],"""Lo so."""
Ushiromiya Ange,"""Mom, Dad, Onii-chan. Everyone. ...I want to go home...to where everyone is..."" ","""Mom, Dad, Onii‐chan. Everyone. .........I want to go......to where everyone is......""","""Mom, Dad, Onii-chan. Everyone. ......I want to go......to where everyone is......""",「お父さんとお母さん、お兄ちゃん。みんな。………私は、みんなのところへ、……帰りたい……。」,「お父さんとお母さん、お兄ちゃん。みんな。………私は、みんなのところへ、……帰りたい……」,"""Мама, папа, братик. Все они. ......Я хочу отправиться...... ко всем......""","""Pai, mãe, onii‐chan. Pessoal. .........Eu quero......ir para onde todos estão......""",「爸爸和媽媽，哥哥。大家。………我想要，……回到大家所在的地方……」,「爸爸和妈妈，哥哥。大家。………我想要，……回到大家所在的地方……」,"""Mamma, Papà, Onii-chan. Tutti. ... Voglio andare... dove sono tutti..."""
Ushiromiya Battler,"""That's why...I've decided to invite you there."" ","""That's why......I've decided to invite you there.""",[=UP],「だから、……招くことにしたんだ。」,「だから、……招くことにしたんだ」,"""Именно поэтому...... я решил пригласить тебя туда.""","""É por isso......que eu decidi convidá‐la.""",「所以，……我就招待你去了。」,[=CHT],"""Ecco perché... ho deciso di invitarti lì."""
Ushiromiya Ange,"""...Huh...?"" ",""".........Huh...?""","""......Huh...?""",「………え…？」,[=JP],"""......Э?..""",""".........Hã...?""",「………誒…？」,「………诶…？」,"""... Uh...?"""
Ushiromiya Battler,"""Your Onii-chan is the Game Master now. Only those who know everything about the game board can open it up and invite pieces in. ...So, I'll invite you to come to the game board."" ","""I'm the Game Master now. Only those who know everything about the game board can open it up and invite pieces in. ......So, I'll invite you to come to the game board.""",[=UP],「お兄ちゃんはもう、ゲームマスターなんだ。ゲーム盤の全てを知る者だけが、ゲーム盤を開き、駒を招くことが出来る。……だから俺は、縁寿をゲーム盤へ、招待する。」,「お兄ちゃんはもう、ゲームマスターなんだ。ゲーム盤の全てを知る者だけが、ゲーム盤を開き、駒を招くことが出来る。……だから俺は、縁寿をゲーム盤へ、招待する」,"""Я сейчас Владелец игры. Только те, кто знает всё об игровой доске, могут открывать её и приглашать на неё фигуры. ......Поэтому я приглашаю тебя на игровую доску.""","""Eu sou o Game Master agora. Apenas aqueles que sabem tudo sobre o tabuleiro podem abri‐lo e convidar peças. ......Por isso, eu irei convidá‐la para o tabuleiro.""",「哥哥我，已經是 GM 了。只有知曉遊戲盤上一切的人，才能夠展開遊戲盤，邀請棋子登上棋盤。……所以我現在，就把緣壽招待到棋盤上。」,「哥哥我，已经是 GM 了。只有知晓游戏盘上一切的人，才能够展开游戏盘，邀请棋子登上棋盘。……所以我现在，就把缘寿招待到棋盘上。」,"""Sono il Game Master ora. Solo coloro che sanno tutto della scacchiera possono aprirla e invitare pezzi all'interno. ... Quindi, ti inviterò a venire in questa scacchiera."""
Ushiromiya Ange,"""You'll...take me to Rokkenjima...on that day...?"" ","""You'll......take me to Rokkenjima......on that day......""","""You'll...take me to Rokkenjima......on that day...""",「私を、……あの日の六軒島へ、……連れていってくれるの……。」,「私を、……あの日の六軒島へ、……連れていってくれるの……」,"""Ты... заберёшь меня на Роккенджиму...... в тот день...""","""Você vai......me levar até a Rokkenjima......daquele dia......""",「要把我，……帶去，……那一天的六軒島上嗎……？」,「要把我，……带去，……那一天的六轩岛上吗……？」,"""Mi... porterai su Rokkenjima... in quel giorno..."""
Ushiromiya Battler,"""That's right. I'll invite you to the Rokkenjima of 1986."" ","""That's right. I'll invite you to the Rokkenjima of 1986.""",[=UP],「あぁ。縁寿を、１９８６年の六軒島へ、招待しよう。」,「あぁ。縁寿を、１９８６年の六軒島へ、招待しよう」,"""Да. Я приглашаю тебя на Роккенджиму 1986.""","""Isso mesmo. Irei convidá‐la para a Rokkenjima de 1986.""",「嗯。招待你到，1986 年的六軒島上去。」,「嗯。招待你到，1986 年的六轩岛上去。」,"""È così. Ti inviterò alla Rokkenjima del 1986."""
Ushiromiya Ange,"""Will I be able to see everyone...?"" ","""Will I be able to see them? Everyone......?""","""Will I be able to see everyone......?""",「会えるの？　みんなに……。」,「会えるの？　みんなに……」,"""Я смогу увидеть всех?..""","""Serei capaz de vê‐los? Poderei ver todo mundo......?""",「能見到嗎？大家……」,「能见到吗？大家……」,"""Potrò vedere tutti...?"""
Ushiromiya Battler,"""Of course."" ","""Of course.""",[=UP],「もちろん。」,「もちろん」,"""Конечно.""","""É claro.""",「當然了。」,「当然了。」,"""Ovviamente."""
Ushiromiya Ange,"""Even though...my memory is vague, ...and I can't remember anyone's face clearly...?"" ","""Even though......my memory is vague, ......and I can't remember anyone's faces clearly...""","""Even though...my memory is vague, ......and I can't remember anyone's faces clearly...""",「私、……もう記憶もおぼろげで、……みんなの顔、はっきりと思い出せないのに…。」,「私、……もう記憶もおぼろげで、……みんなの顔、はっきりと思い出せないのに…」,"""Даже если... мои воспоминания расплывчаты...... и я плохо помню их лица...""","""Mesmo que......a minha memória seja vaga, ......e eu não consiga lembrar muito bem de seus rostos...""",「我，……記憶已經很模糊了，……都不太記得大家的樣子了…」,「我，……记忆已经很模糊了，……都不太记得大家的样子了…」,"""Anche se... i miei ricordi sono vaghi... e non sono in grado di ricordare chiaramente i volti di tutti..."""
