Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Turkish (TR)
,"Hideyoshi laughed heartily, but Rudolf snickered. ","Hideyoshi laughed heartily, but Rudolf chuckled.",[=UP],秀吉は豪快そうに笑って見せるが、留弗夫はくすりと笑う。,[=JP],"Хидэёши от души рассмеялся, а Рудольф лишь усмехнулся.","Hideyoshi riu cordialmente, mas Rudolf riu de forma abafada.",看著秀吉那貌似豪快的笑容，留弗夫不禁一笑。,看着秀吉那貌似豪快的笑容，留弗夫不禁一笑。,"Hideyoshi rise di cuore, mentre Rudolf trattenne la risata.",Hideyoshi içtenlikle güldü ama Rudolf kıkırdadı.
,"After being scolded by Eva, they'd escaped to the deck together with their tails between their legs. There was little doubt who had gotten her way in that exchange. ","After being scolded by Eva and told to smoke outside, they had dejectedly fled to the deck together. There was almost no doubt he was under her thumb."," After they had been scolded by Eva, they had dejectedly ran out onto the deck together. They had almost certainly been dominated by her.",絵羽に表で吸えと叱られて、一緒にすごすごと甲板に逃げ出してきたのだ。尻に敷かれているに、ほぼ間違いあるまい。,[=JP],"Обруганные Евой, они удручённо выбежали на палубу. Она определённо доминировала над ними.","Após ser repreendido por Eva e ter sido mandado fumar do lado de fora, eles foram juntos para o exterior do barco, abatidos. Não restavam dúvidas de que ele estava sob suas ordens.",繪羽一吼“到外面抽去”，他倆就一起灰溜溜地逃到了甲板上。應該是妻管嚴無疑了。,绘羽一吼“到外面抽去”，他俩就一起灰溜溜地逃到了甲板上。应该是妻管严无疑了。,"Dopo essere stati sgridati da Eva, erano corsi sul ponte con la coda tra le gambe. Erano senza dubbio stati dominati da lei.","Eva tarafından azarlandıktan ve sigaralarını dışarıda içmeleri söylendikten sonra, keyifsiz bir şekilde birlikte güverteye çıkmışlardı. Onun, Eva'nın kontrolü altında olduğuna neredeyse hiç şüphe yoktu."
Ushiromiya Hideyoshi,"""...She isn't usually so short-tempered. ...In fact, she's usually a more gentle, quiet woman. Every year, she changes when this day comes."" ","""...She isn't usually so short‐tempered. ......Nah, she's usually a more gentle, quiet woman. Every year, she changes when this day comes.""","""...She isn't usually so short-tempered. ......Nah, she's usually a more gentle, quiet woman. Every year, she changes when this day comes.""",「…普段はあそこまで短気じゃないんや。……いいや、普段はもっと温和な、大人しい女なんやで。毎年毎年、この日になると人が変わりよるんや。」,「…普段はあそこまで短気じゃないんや。……いいや、普段はもっと温和な、大人しい女なんやで。毎年毎年、この日になると人が変わりよるんや」,"""...Она обычно не столь вспыльчива. ...Нет, обычно она более добрая, тихая женщина. Но она меняется каждый год с наступлением этого дня.""","""...Ela normalmente não tem esse temperamento curto. ......Não, ela costuma ser mais gentil, uma mulher reservada. Todo ano, ela muda quando esse dia chega.""",「…你姐平常不是這麼爆脾氣的。……不，平常她可是個更加溫和的，文靜女人吶。每年一到這一天，人就變了吶。」,「…你姐平常不是这么爆脾气的。……不，平常她可是个更加温和的，文静女人呐。每年一到这一天，人就变了呐。」,"""... Di solito non è così irascibile. ... No, abitualmente è una donna più gentile e tranquilla. Ogni anno, quando arriva questo giorno, lei cambia.""","""...Normalde bu kadar asabi değildir. ......Aslında, genellikle çok daha nazik ve sakin bir kadındır. Her yıl, bu gün geldiğinde değişir."""
Ushiromiya Rudolf,"""Is that so? To me, she looks just like the Aneki we've all known so long."" ","""Is that so? To me, she looks just like the Aneki we've all known for so long.""",[=UP],「そうなんですか？　俺らがよく知る昔っからの姉貴そのものに見えますがねぇ。」,「そうなんですか？　俺らがよく知る昔っからの姉貴そのものに見えますがねぇ」,"""Правда? По мне, так она та же Анеки, которую мы давно знаем.""","""Então é por isso? Para mim, ela parece a aneki que nós conhecemos há muito tempo.""",「是這樣嗎？在我們看來卻正是我們從小熟知的那位大姐本人。」,「是这样吗？在我们看来却正是我们从小熟知的那位大姐本人。」,"""Davvero? A me sembra la solita Aneki che conosciamo tutti da molto tempo.""","""Öyle mi? Bana göre, uzun zamandır tanıdığımız Aneki'ye benziyor."""
Ushiromiya Hideyoshi,"""...That's just it. She's back to bein' Eva of the Ushiromiya family. ...But that ain't the Eva I know."" ","""......That's right. She goes back to bein' Eva of the Ushiromiya family. ...But, that's different from the Eva who's with me.""","""......That's right. She's returned to bein' Eva of the Ushiromiya family. ...But, that's different from the Eva who's with me.""",「……そうや。右代宮家の絵羽に戻るんや。…でも、それはわしと一緒の絵羽とは違うんや。」,「……そうや。右代宮家の絵羽に戻るんや。…でも、それはわしと一緒の絵羽とは違うんや」,"""...Верно. Она вновь стала Евой из семьи Уширомия. ...Но она так отличается от той Евы, которую знаю я.""","""......Isso mesmo. Ela volta a ser a Eva da família Ushiromiya. ...Mas é diferente da Eva que está comigo.""",「……是呀。變回成了右代宮家的繪羽吶。…不過，這與和俺一起時的繪羽可是不同的吶。」,「……是呀。变回成了右代宫家的绘羽呐。…不过，这与和俺一起时的绘羽可是不同的呐。」,"""... Esatto. È ritornata ad essere la Eva della famiglia Ushiromiya. ... Ma è diversa dalla Eva che sta con me.""","""......Doğru. Ushiromiya ailesinin Eva'sı olmaya geri dönüyor. ...Ama bu hali, benimle birlikte olan Eva'dan farklı."""
Ushiromiya Rudolf,"""......... Well, I know why she's grumpy. ...This family conference is gonna be a pain."" ",""".................. Well, I can understand why she's grumpy. ...This family conference is going to be a pain.""",[=UP],「………………。まぁ、カリカリする気持ちもわかります。…今回の親族会議は面倒だ。」,「………………。まぁ、カリカリする気持ちもわかります。…今回の親族会議は面倒だ」,"""..................Что ж, я могу понять, чего она не в духе. ...Это семейное собрание будет тем ещё геморроем.""",""".................. Bem, eu consigo entender o motivo dela estar mal‐humorada.{n}...Essa conferência familiar vai ser um saco.""",「………………。不過，我也很理解大姐為何會心煩。…這次親族會議可棘手啊。」,「………………。不过，我也很理解大姐为何会心烦。…这次亲族会议可棘手啊。」,"""... Beh, posso capire perché è così di malumore. ... Questa conferenza di famiglia sarà un vero tormento.""",""".................. Peki, neden huysuz olduğunu anlayabiliyorum. ...Bu yılın aile konferansı tam bir eziyet olacak."""
Ushiromiya Hideyoshi,"""...Got that right. There's that plan to threaten money out of Krauss nii-san... We may call it a family conference, but it's gonna be just a sibling fight at this rate."" ","""......Sure is. ...That plan to threaten money out of Krauss nii‐san. It's a family conference only in name, really it's just a fight between siblings.""","""......Very true. ...That plan to threaten money out of Krauss nii-san. Even though we call it a family conference, it's really just a fight between the siblings.""",「……そやな。…あの蔵臼兄さんから、カネを脅し取ろうっちゅう計画や。親族会議なんて名ばかりの、こりゃただの兄弟喧嘩や。」,「……そやな。…あの蔵臼兄さんから、カネを脅し取ろうっちゅう計画や。親族会議なんて名ばかりの、こりゃただの兄弟喧嘩や」,"""...И не говори. ...Этот план по выбиванию денег из Краусса нии‐сана. Хоть мы и называем грядущее мероприятие семейным собранием, на самом деле это лишь грызня между братьями и сёстрами.""","""......Com certeza. ...O plano é ameaçar o dinheiro do Krauss nii‐san. É uma conferência familiar apenas no nome, mas, na realidade, não passa de uma briga entre os irmãos.""",「……是吶。…畢竟是計劃好了，要逼迫那位藏臼兄交出錢來吶。親族會議就只剩個名字了，完全成了場兄妹內訌吶。」,「……是呐。…毕竟是计划好了，要逼迫那位藏臼兄交出钱来呐。亲族会议就只剩个名字了，完全成了场兄妹内讧呐。」,"""... Già. ... Quel piano per estorcere soldi da Krauss nii-san. Sebbene la chiamiamo conferenza di famiglia, è in verità una lotta tra fratelli.""","""......Gerçekten. ...Şu Krauss nii-san'dan para koparmak için yaptığımız tehdit planı... Bu sadece ismen bir aile konferansı, aslında kardeşler arasında bir kavgadan fazlası değil."""
,"Before the family conference, three of the siblings had made a secret pact without Krauss. ","With the family conference ahead of them, the three siblings excluding Krauss had made a secret contract.","Before the family conference, three of the siblings had made a secret contract without Krauss.",親族会議を前に、蔵臼を除く３人の兄弟は密約を結んでいた。,[=JP],"До семейного собрания брат и сёстры втроём заключили тайный союз, не включавший Краусса.","Com a conferência familiar chegando, os irmãos, excluindo Krauss, fizeram um pacto secreto.",在親族會議前夕，除藏臼以外的三兄妹締結了密約。,在亲族会议前夕，除藏臼以外的三兄妹缔结了密约。,"Prima della conferenza, tre dei fratelli avevano fatto un contratto segreto senza Krauss.","Önlerindeki aile konferansı için, Krauss dışındaki üç kardeş gizli bir anlaşma yapmıştı."
,They were all facing urgent situations and needed a lot of money fast. ,"Each of them had a pressing situation to deal with, and urgently needed a lot of money.", The situation that pressed at all of them was an urgent need for a lot of money.,彼らには互いに差し迫った状況があり、取り急ぎ莫大なカネが必要なのだ。,[=JP],В сложившейся ситуации все они крайне нуждались в больших денежных суммах.,"Cada um deles tem alguma situação complicada que precisam resolver, e precisam urgentemente de muito dinheiro.",他們彼此都有迫近的危機，急需一大筆錢。,他们彼此都有迫近的危机，急需一大笔钱。,La situazione che li opprimeva tutti quanti era un urgente bisogno di soldi.,Her birinin halletmesi gereken acil bir durumu vardı ve acilen yüklü miktarda paraya ihtiyaçları vardı.
,"And the only one they could turn to was Krauss, who spoke for the Ushiromiya Head now that Kinzo spent his time shut up in his study. ","And the only one who could help them was Krauss, who spoke for the Ushiromiya head, since Kinzo was shut up in his study."," And the only one who could help them was Krauss, who spoke for the Ushiromiya head, since Kinzo was shut up in his study.",そしてそのアテは、書斎に閉じ篭った金蔵に代わって、右代宮家の当主を代行する蔵臼しかない。,[=JP],"И единственным, кто мог бы выручить их, был Краусс, говоривший от имени главы семьи Уширомия с тех пор, как Кинзо заперся в своём кабинете.","E o único que pode ajudá‐los é Krauss, que fala pelo chefe da família Ushiromiya, desde que Kinzo se trancou em seu estúdio.",然後他們能找的冤大頭，就只有為在書房閉門不出的金藏，代理右代宮家當主的藏臼一個。,然后他们能找的冤大头，就只有为在书房闭门不出的金藏，代理右代宫家当主的藏臼一个。,"E l'unico che avrebbe potuto aiutarli era Krauss, che parlava in vece del capofamiglia, dal momento che Kinzo si era rinchiuso nel suo studio.","Ve Kinzo çalışma odasına kapandığı için onlara yardım edebilecek tek kişi, Ushiromiya reisi adına konuşabilen Krauss'tu."
,"For a long time now, they'd vaguely sensed that Krauss was taking advantage of the fact that Kinzo had lost interest in his own wealth, and they suspected that he'd started embezzling that wealth to suit his own purposes. ","They had long felt that Krauss had started taking advantage of Kinzo's loss of interest in his own wealth, and was embezzling that wealth for his own use."," Since long ago, they had felt that Krauss was taking advantage of Kinzo's loss of interest in his own wealth, and had started embezzling that wealth for his own use.",蔵臼が、金蔵が財産に関心を失ったのをいい事に、それを私物化し摘み食いをしていることは、ずいぶん前から薄々と感付いていた。,[=JP],"Брат и сёстры уже давно ощущали, что Краусс в корыстных целях воспользовался потерей Кинзо интереса к своему богатству и начал растрачивать это богатство для собственных целей.","Há tempos eles têm um pressentimento de que Krauss começou a tirar vantagem da perda de interesse de Kinzo em relação à sua própria fortuna, e está desviando essa riqueza para uso pessoal.",几兄妹在很久以前就略微察覺到了，藏臼正借著金藏不再關心財產的機會，偷偷地蠶食財產，將之私有化。,几兄妹在很久以前就略微察觉到了，藏臼正借着金藏不再关心财产的机会，偷偷地蚕食财产，将之私有化。,"Da parecchio tempo, avevano la sensazione che Krauss stesse approfittando della perdita di interesse di Kinzo per il suo patrimonio, e che si stesse appropriando indebitamente di quel patrimonio per i suoi scopi.","Uzun zamandır Krauss'un Kinzo'nun kendi servetine olan ilgisini kaybetmesinden faydalanmaya başladığını, ve bu serveti kendi kullanımı için zimmetine geçirdiğini düşünüyorlardı."
,"Despite being disgusted by this, they'd turned a blind eye to it while everything was still going smoothly for them, ...but now that they needed money, they really couldn't afford to let it slide. ","When everything had been going well for the siblings, even though they had found it detestable, they had pretended not to notice, ...but now that they needed money, they couldn't just quietly accept that."," When everything had been going well for the siblings, even though they had found it detestable, they had pretended not to notice, ...but now that they needed money, they couldn't just quietly accept that.",自分たちが軌道に乗っている時は、憎々しく思いながらも、見て見ぬふりをしていたが、…自分たちにもカネがいる今の状況では、それはとても黙認できるものではない。,[=JP],"Пока у его брата и сестёр всё шло хорошо, они притворялись, будто не замечают, пусть даже и находили это отвратительным... Но теперь, когда им потребовались деньги, они не могли молча принять этот факт.","Quando tudo estava indo bem para os irmãos, mesmo pensando que isso era detestável, eles fingiam não perceber, ...mas agora que eles precisavam do dinheiro, não podiam aceitar aquilo em silêncio.",雖然在自己的人生穩步於軌道上時，只會憤恨地睜一隻眼閉一隻眼，…但到了自身急需用錢的現在，就怎麼都無法將此默認了。,虽然在自己的人生稳步于轨道上时，只会愤恨地睁一只眼闭一只眼，…但到了自身急需用钱的现在，就怎么都无法将此默认了。,"Quando tutto andava bene ai fratelli, sebbene lo trovassero insopportabile, loro facevano semplicemente finta di non farci caso... ma ora che avevano bisogno di soldi, non potevano semplicemente accettarlo in silenzio.","Kardeşler için her şey yolunda giderken, bunu tiksindirici bulsalar da fark etmemiş gibi davranmışlardı, ...ama şimdi paraya ihtiyaçları vardı ve bunu öyle sessizce kabul edemezlerdi."
,"Eva had asked Rudolf and Rosa to form an alliance, and they were now scheming to take that money away from Krauss. ","Eva had called Rudolf and Rosa into an alliance, and they were planning to exploit that knowledge in order to draw money out of Krauss..."," Eva had called Rudolf and Rosa into an alliance, and they had schemed to take that money away from Krauss.",絵羽は、留弗夫と楼座に連帯を呼び掛け、それを突く事で蔵臼からカネを引き出そうと企んでいる…。,[=JP],"Ева позвала Рудольфа и Розу в союз, и они замыслили путем интриги забрать эти деньги у Краусса.","Eva chamou Rudolf e Rosa para formarem uma aliança, e eles planejavam aproveitar esse conhecimento para conseguir o dinheiro de Krauss...",繪羽聯合起了留弗夫與樓座，企圖通過抖出此事來向藏臼詐錢…。,绘羽联合起了留弗夫与楼座，企图通过抖出此事来向藏臼诈钱…。,Eva aveva riunito Rudolf e Rosa in un'alleanza e avevano progettato di estorcere quei soldi da Krauss.,"Eva, Rudolf ve Rosa'yı işbirliği yapmaya davet etmişti ve birlikte Krauss'tan para koparmak için bu durumdan faydalanmayı planlıyorlardı..."
Ushiromiya Hideyoshi,"""......Rudolf-kun, both you and I are company presidents. We're responsible for the livelihood of our employees."" ",""".........Rudolf‐kun, both you and I are company presidents. We are responsible for the livelihood of our employees.""",""".........Rudolf-kun, both you and I are company presidents. We are responsible for the livelihood of our employees.""",「………わしも、そして留弗夫くんも社長や。社員の生活を背負っとる身や。」,「………わしも、そして留弗夫くんも社長や。社員の生活を背負っとる身や」,"""...Рудольф‐кун, мы с тобой оба президенты компаний. Мы несём ответственность за благосостояние наших работников.""",""".........Rudolf‐kun, tanto eu quanto você somos presidentes de empresas.{n}Nós somos responsáveis pelo sustento de nossos empregados.""",「………俺還有留弗夫君都是社長吶。是背負著職員生計之身吶。」,「………俺还有留弗夫君都是社长呐。是背负着职员生计之身呐。」,"""... Rudolf-kun, sia tu che io siamo presidenti di una compagnia. Noi siamo responsabili per il sostentamento dei nostri impiegati.""",""".........Rudolf-kun, sen de ben de şirket başkanlarıyız. Çalışanlarımızın geçiminden biz sorumluyuz."""
Ushiromiya Rudolf,"""Rosa's a president too. Well, as a hobby."" ","""Rosa is a president too. Well, as a hobby.""",[=UP],「楼座も社長ですよ。まぁ、道楽ですが。」,「楼座も社長ですよ。まぁ、道楽ですが」,"""Роза тоже президент. Ну, в качестве хобби.""","""A Rosa também é presidente. Bem, como um passatempo.""",「樓座也是社長。不過，也就只是玩玩。」,「楼座也是社长。不过，也就只是玩玩。」,"""Anche Rosa è un presidente. Beh, come passatempo.""","""Rosa da bir başkan. Yani, hobi olarak."""
Ushiromiya Hideyoshi,"""That's right, sorry. ...Basically, we've all got responsibilities."" ","""That's right, sorry. ......In short, all of us are bearin' some burden.""",[=UP],「そうやな、失礼。……つまり、わしらは誰もが、背負うモノを持っとるっちゅうことや。」,「そうやな、失礼。……つまり、わしらは誰もが、背負うモノを持っとるっちゅうことや」,"""Верно, прости. ...Короче говоря, на всех нас лежит тяжкое бремя.""","""Tem razão, me desculpe. ......Resumindo, todos nós carregamos algum tipo de fardo.""",「是吶，抱歉。……總之，俺們中的無論誰，都有背負之物吶。」,「是呐，抱歉。……总之，俺们中的无论谁，都有背负之物呐。」,"""Hai ragione, scusa. ... Per farla breve, ognuno di noi ha un peso sulle proprie spalle.""","""Doğru, üzgünüm. ......Kısacası, hepimiz biraz yük taşıyoruz."""
