Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,......It was the portrait's... witch. ,.........The witch...of the portrait.,".........The portrait's, ...witch.",…………肖像画の、…魔女。,[=JP],.........Ведьма... с портрета.,.........A bruxa...do retrato.,…………肖像畫上的，…魔女。,…………肖像画上的，…魔女。,... La strega... del ritratto., Era la figura del ritratto... La strega.,.........Portrenin...cadısı.
,She seemed to be having a one-sided conversation. ,She looked like she was having a one‐sided conversation., She seemed to be having a one-sided conversation.,何かを一方的に語り続けているようでした。,[=JP],"Похоже, она вела односторонний разговор.",Parecia que ela estava conversando consigo mesma.,她看似在單方面不停地說著什麼。,她看似在单方面不停地说着什么。,Sembrava parlare da sola.,Sembrava che stesse parlando da sola.,"O, tek taraflı bir konuşma yapıyor gibi görünüyordu."
,"She was probably talking to Rosa, but Rosa, whose mind was clouded up by a deep fog, didn't have a clue what was being said... ","She was probably talking to Rosa, but Rosa's mind was clouded up by a deep fog, and she didn't have a clue what was being said..."," She was probably talking to Rosa, but Rosa, whose mind was clouded up by a deep fog, didn't have a clue what was being said...",多分、楼座に対して話しているのでしょうが、深い霧に閉ざされたような思考では、何を言っているのかさっぱりでした…。,[=JP],"Её слова, судя по всему, предназначались Розе, но Роза, чей разум был глубоко затуманен, не имела ни малейшего понятия, о чём та говорит...","Ela provavelmente estava falando com Rosa, mas a mente de Rosa estava preenchida por uma densa névoa, e não fazia ideia do que estava sendo dito...",大概，是在對樓座說話吧，不過那猶如籠罩在深深霧中的思維，使樓座完全不明白說的是什麼…。,大概，是在对楼座说话吧，不过那犹如笼罩在深深雾中的思维，使楼座完全不明白说的是什么…。,"Era probabile che stesse parlando con Rosa, ma Rosa, la cui mente era avvolta da una spessa nebbia, non aveva idea di cosa stesse dicendo...","Forse si stava rivolgendo a Rosa, ma la sua mente era avvolta da una spessa coltre, e non aveva la minima idea di cosa stesse dicendo...","Muhtemelen Rosa ile konuşuyordu, ama Rosa'nın zihni yoğun bir sis bulutuyla kaplıydı ve ne söylendiğine dair en ufak bir fikri yoktu..."
{f:5:Beatrice},"""...Choose whatever you please. If there is anything you want, I'll give it all to you. You can think of it as a reward for your good luck, or else as proper compensation for how you've answered to my demands."" ","""......It can be anything. If there is anything you desire, I will give you it all. You may think of it as a reward for your good luck, or as a proper trade for my demands.""","""......Anything is fine. If there is anything you want, I'll give you it all. You can think of it as my reward for your good luck, and as a proper trade for my demands.""",「……何でも良い。そなたが望む物があるならば、その全てを与えよう。その強運への褒美と思うも良かろうし、妾の求めに対する正当な対価と考えても良い。」,「……何でも良い。そなたが望む物があるならば、その全てを与えよう。その強運への褒美と思うも良かろうし、妾の求めに対する正当な対価と考えても良い」,"""......Всё в порядке. Если ты чего‐нибудь желаешь, я дам тебе всё это. Ты можешь думать об этом как о моей награде за твою удачу, а так же об обмене за мои требования.""","""......Poderia ser qualquer coisa. Se tiver qualquer coisa que deseje, eu concederei a você. Você pode pensar nisso como uma recompensa pela sua boa sorte ou uma adequada troca pelas minhas demandas.""",「……無論什麼都行。只要是汝想要之物，妾身全都給予。把這當成對汝強運的獎賞也好，想成對妾身所求之物的正當等價報酬也行。」,「……无论什么都行。只要是汝想要之物，妾身全都给予。把这当成对汝强运的奖赏也好，想成对妾身所求之物的正当等价报酬也行。」,"""... Va bene qualsiasi cosa. Se c'è qualcosa che desideri, te la darò tutta. {n}Puoi considerarla la mia ricompensa per la tua buona sorte, e un giusto scambio per le mie richieste.""","""...Scegli pure qualsiasi cosa. Se c'è qualcosa che desideri, io te la concederò. Considerala una ricompensa della tua buona sorte, oppure vedila come uno scambio equo per le mie richieste.""","""......Her şey olabilir. Arzu ettiğin bir şey varsa, tamamını sana vereceğim. Bunu iyi şansının bir ödülü ya da taleplerime karşılık uygun bir değiş tokuş olarak düşünebilirsin."""
{f:5:Beatrice},"""It may have been a truly trivial matter from your perspective. However, the deal was important enough to me to be deserving of this reward."" ","""To you, it may not be that great a thing at all. But that is how significant this transaction is to me.""","""It probably isn't that big a thing for you at all. However, that is the only meaningful transaction as far as I am concerned.""",「そなたにとってはまったく大したことではないかもしれない。しかし、妾にとってはそれだけ意味がある取引だといういうことだ。」,「そなたにとってはまったく大したことではないかもしれない。しかし、妾にとってはそれだけ意味がある取引だということだ」,"""Это возможно, не столь и важная для тебя вещь. Впрочем, это единственная имеющая смысл сделка, интересующая меня.""","""Para você, pode não ser algo tão grandioso assim. Mas isso é uma significativa transação para mim.""",「雖然對汝來說或許並不是什麼大不了的事。可是，對妾身來說這卻是自有著意義的一場交易。」,「虽然对汝来说或许并不是什么大不了的事。可是，对妾身来说这却是自有着意义的一场交易。」,"""Probabilmente non è nulla di che per te. Ad ogni modo, è l'unica transazione valida per quel che mi riguarda.""","""Probabilmente per te questo non ha alcun significato. Tuttavia, questa è l'unica transazione che per me ha un valore.""","""Senin için bu o kadar da büyük bir şey olmayabilir. Ama bu alışveriş benim için oldukça önemli."""
,......What is she...talking about? ,............What is she...talking about.,"............What is she, ...talking about.",…………何の話を、しているのだろう。,[=JP],............Что она... имеет в виду?..,............Do que ela...está falando?,…………是在說什麼呢？,…………是在说什么呢？,... Di cosa... sta parlando.,...A cosa... si stava riferendo...?,............Neyden...bahsediyor?
,"...I don't know, ...I don't know. ","...I don't know, ...I don't know.",[=UP],…わからない、…わからない。,[=JP],...Я не понимаю... не понимаю.,"...Eu não sei, ...eu não sei.",…不明白，…不明白。,[=CHT],... Non lo so... non lo so., Io non lo sapevo... Non lo sapevo.,"...Bilmiyorum, ...bilmiyorum."
{f:5:Beatrice},"""It's just that...I am very much a witch. Perhaps you'd best ask for something only a witch can give you."" ","""Only, ......considering that I {i:am} a witch, I think it would be wise to ask for something that only a witch can grant.""","""It's just that, ......I am very much a witch. I think it would be wise to ask for something that only a witch can grant.""",「ただ、……せっかく妾は魔女なのだから。魔女にしか叶えられない願いを求めるのが利口ではないかと思うぞ。」,「ただ、……せっかく妾は魔女なのだから。魔女にしか叶えられない願いを求めるのが利口ではないかと思うぞ」,"""Просто дело в том что...... я — ведьма. Полагаю, было бы разумно попросить то, что может дать лишь ведьма.""","""Apenas, ......considerando que eu {i:sou} uma bruxa, eu penso que deve ser sábio pedir por algo que apenas uma bruxa possa conceder.""",「只不過，……難得妾身是魔女。所以妾身覺得，提出個只有魔女才能實現的願望，興許算是個比較聰明的做法。」,「只不过，……难得妾身是魔女。所以妾身觉得，提出个只有魔女才能实现的愿望，兴许算是个比较聪明的做法。」,"""È solo che... sono senza dubbio una strega. Credo che sarebbe saggio chiedere qualcosa che solo una strega può darti.""","""Basta che... terrai bene a mente che io sono una strega. Penso che sarebbe saggio chiedere qualcosa che solo una strega possa esaudire.""","""Ancak, ......{i:benim} bir cadı olduğumu düşünürsek, yalnızca bir cadının bahşedebileceği bir şey istemenin akıllıca olacağını düşünüyorum."""
{f:5:Beatrice},"""What a rare chance this is. To actually receive the favor of {f:5:Beatrice} the Golden, me. *cackle*cackle*!"" ","""Isn't this a rare chance. You can actually receive a favor from me, {f:5:Beatrice} the Golden. *cackle*cackle*!""","""Isn't this a rare chance. You can actually receive a favor from me, Beatrice the Golden. *cackle*cackle*!""",「せっかくの機会ではないか。この黄金のベアトリーチェから恩恵を得られるなど。くっくっく！」,[=JP],"""Какой редкий шанс, не находишь? Ты действительно можешь получить награду от меня, Золотой {f:5:Беатриче}. *Хихи*хихи*!""","""Não é uma chance rara? Você pode receber um favor de mim, {f:5:Beatrice}, d'Ouro. *gargalhada*gargalhada*!""",「這不正是難能可貴的機會嘛。可是能從本黃金之貝阿朵莉切這裡得到恩惠呢。呵呵呵！」,「这不正是难能可贵的机会嘛。可是能从本黄金之贝阿朵莉切这里得到恩惠呢。呵呵呵！」,"""Non è forse un'occasione rara, questa. Puoi davvero ricevere un favore da me, Beatrice la Dorata. *cackle*cackle*!""","""Non è forse questa una rara opportunità? Potresti ricevere un favore da {f:5:Beatrice} la Dorata. Mhmhmh!""","""Bu nadir bir şans değil mi? Altın {f:5:Beatrice} olan benden, gerçekten de bir lütuf alabilirsin,  *cackle*cackle*!"""
Ushiromiya Rosa,""".........Nng......"" ","""........................u.........""","""..................u.........""",「……………………ぅ………。」,「……………………ぅ………」,"""..................у...""",[=UP],「……………………嗚………」,「……………………呜………」,"""... Urk...""","""...Nngh...""",[=UP]
,"Finally, Rosa started to feel the blood flowing through her body. ...Her movements were still sluggish, and she couldn't even voice the words she was thinking. ","Finally, Rosa started to feel the blood flowing through her body.{n}...Her movements were still sluggish, and she couldn't even voice the words she was thinking.","Finally, Rosa started to feel the blood flowing through her body....Her movements were still sluggish, and she couldn't even voice the words she was thinking.",楼座はようやく、体に血が巡り始めるのを感じました。…体の動きはまだ緩慢で、思い通りの言葉すら口にできません。,楼座はようやく、体に血が巡り始めるのを感じました。{n}…体の動きはまだ緩慢で、思い通りの言葉すら口にできません。,"Роза наконец ощутила, как кровь течёт в её теле.{n}...Её движения по‐прежнему были вялыми, и она даже не могла озвучить свои мысли в словах.","Aos poucos, Rosa começou a sentir seu sangue fluindo por seu corpo.{n}...Seus movimentos ainda eram lentos, e ela sequer conseguia reproduzir com sua voz aquilo que estava pensando.",樓座終於感覺到，血液開始在體內循環了。{n}…身體還很遲鈍，就連把想說的話說出口都做不到。,楼座终于感觉到，血液开始在体内循环了。{n}…身体还很迟钝，就连把想说的话说出口都做不到。,"Finalmente, Rosa iniziava a sentire il sangue che le scorreva in corpo. ... I suoi movimenti erano ancora lenti, e non era nemmeno in grado di ripetere a voce le parole che stava pensando.","Alla fine, Rosa iniziò a sentire il sangue scorrere nelle proprie vene...{n}Era ancora lenta nei suoi movimenti, e non era neanche in grado di dare voce ai suoi pensieri.","Nihayet, Rosa damarlarında akan kanı hissetmeye başladı.{n}...Hareketleri hâlâ zayıftı ve düşündüğü kelimeleri bile dile getiremiyordu."
{f:5:Beatrice},"""I am commonly called the Golden Witch. Bestowing a mountain of gold, like the one I gave Kinzo, is trivial to me. ...After all, you can measure all the pleasures of the human world with money. Therefore, gold is no more or less than the manifestation of the human world's pleasures."" ","""I am commonly called the Golden Witch. Bestowing a mountain of gold, like I gave to Kinzo, is no problem for me. ......After all, every pleasure of the human world can be expressed in terms of cash. Put another way, gold is human pleasure itself.""","""I am commonly called the Golden Witch. Bestowing a mountain of gold, like I gave to Kinzo, is no problem for me. ......In any event, you can convert all pleasures of the human world into money. Therefore, gold is equal to all the pleasures of the human world.""",「妾の通り名は黄金の魔女。金蔵に与えたように、山成す黄金を与えることは造作もない。……何しろ、人の世の快楽は全てカネで換算できる。即ち、黄金こそが人の世の快楽そのものなのだ。」,「妾の通り名は黄金の魔女。金蔵に与えたように、山成す黄金を与えることは造作もない。……何しろ、人の世の快楽は全てカネで換算できる。即ち、黄金こそが人の世の快楽そのものなのだ」,"""Меня обычно величают Золотой Ведьмой. Подарить гору золота, вроде той, что дала Кинзо, для меня не проблема. ......В любом случае, ты можешь обратить все удовольствия человеческого мира в деньги. Поэтому золото равнозначно всем удовольствиям человеческого мира.""","""Eu sou comumente chamada de Bruxa Dourada. Conferir uma montanha de ouro, assim como eu dei a Kinzo, não é um problema para mim. ......Afinal, todo o prazer do mundo humano pode ser expressado em termos de dinheiro. Colocando de outra forma, o ouro em si é o prazer humano.""",「妾身的名號為黃金的魔女。就像給過金藏一樣，妾身要給予堆成山的黃金可一點都不費事。……畢竟，人世的快樂全都可以用錢來換算。換言之，黃金即正是人世的快樂。」,「妾身的名号为黄金的魔女。就像给过金藏一样，妾身要给予堆成山的黄金可一点都不费事。……毕竟，人世的快乐全都可以用钱来换算。换言之，黄金即正是人世的快乐。」,"""Sono largamente conosciuta come la Strega Dorata. Conferire a qualcuno una montagna d'oro, come quella che ho dato a Kinzo, non è difficile per me. {n}Ad ogni modo, puoi ricondurre tutti i piaceri del mondo degli uomini al danaro. Di conseguenza, l'oro equivale a tutti i piaceri del mondo degli uomini.""","""Solitamente sono conosciuta come la Strega Dorata. Non è un problema per me donare una montagna d'oro come feci con Kinzo... Dopotutto, tutti i piaceri del mondo umano possono essere valutati in termini di denaro. Ergo, l'oro stesso è la fonte di ogni piacere del mondo umano.""","""Bana genellikle Altın Cadı olarak hitap edilir. Kinzo'ya bahşettiğim gibi bir dağ dolusu altın bahşetmek benim için hiç sorun değil. ......Sonuçta, insan dünyasının her zevki para cinsinden ifade edilebilir. Başka bir deyişle, altın insan zevkinin bizzat kendisidir."""
{f:5:Beatrice},"""Can you imagine it? A mountain of gold that you couldn't use up as long as you lived."" ","""Can you imagine? A mountain of gold that you couldn't use up as long as you lived.""",[=UP],「そなたは想像ができるか？　生涯をかけても使い切れぬ黄金の山が。」,「そなたは想像ができるか？　生涯をかけても使い切れぬ黄金の山が」,"""Ты можешь себе представить? Гора золота, которое ты не могла использовать, пока была жива.""","""Consegue imaginar? Uma montanha de ouro que você não conseguiria gastar durante toda a sua vida.""",「汝能想像得到嗎？耗盡一生都用不盡的金山。」,「汝能想象得到吗？耗尽一生都用不尽的金山。」,"""Riesci a immaginarla? Una montagna d'oro tale che non riusciresti a sfruttarla tutta quanta nel corso della tua vita.""","""Riesci a immaginare una tale visione? Una pila d'oro che non riusciresti mai a esaurire nel corso della tua vita.""","""Hayal edebiliyor musun? Yaşadığın sürece bitiremeyeceğin altından bir dağ."""
,"As the witch blew on her pipe, multi-colored smoke enshrouded their surroundings. ","The witch blew on her pipe, and seven colors of smoke covered the area.","As the witch blew on her pipe, seven colors of smoke wrapped around the surroundings.",魔女が煙管を吹かすと、七色の煙が辺りを包みました。,[=JP],"Как только ведьма выдула свою трубку, семь оттенков дыма окутали всё вокруг.","A bruxa soprou seu cachimbo, e sete cores de fumaça cobriram o local.",魔女抽了口煙管，七彩之煙遍佈了周圍。,魔女抽了口烟管，七彩之烟遍布了周围。,"Quando la strega soffiò nella sua pipa, sette colori composti da fumo si avvolsero attorno all'ambiente circostante.","La strega soffiò dalla propria pipa, e l'area circostante venne avvolta da un fumo dai colori dell'arcobaleno.",Cadı piposunu üfledi ve yedi ayrı renkte duman etrafı kapladı.
,"As she did this, the inside of the parlor...was suddenly filled with stacks of gold ingots. ","When she did, the inside of the parlor...had suddenly become filled with stacks of gold ingots."," When she did, the inside of the parlor, ...had suddenly become filled with stacks of gold ingots.",すると、客間の中は、…いつの間にか積み上げた黄金のインゴットでいっぱいになっていました。,[=JP],"Когда он рассеялся, гостиная... вдруг наполнилась целыми штабелями золотых слитков.","Ao fazer isso, o interior da sala de visitas...repentinamente passou a ser preenchido por pilhas de lingotes de ouro.",接著，客廳中，…不知不覺間變得堆滿了金塊。,接着，客厅中，…不知不觉间变得堆满了金块。,"Quando fece ciò, l'interno del salotto... fu riempito all'improvviso da ammassi di lingotti d'oro.","Così facendo, l'interno del salotto... venne pervaso all'improvviso da cumuli di lingotti d'oro.","Bunu yaptığında, salonun içi...aniden altın külçe yığınlarıyla doldu."
,It looked like a shining gold-colored wall. ,It looked like a shining gold‐colored wall., It looked like a shining gold-colored wall.,それは眩い黄金色の壁のようにも見えます。,[=JP],"Казалось, что возникла сверкающая, золотая стена.",Era como uma reluzente parede de ouro.,這些看起來就像是發著光的黃金色牆壁。,这些看起来就像是发着光的黄金色墙壁。,Sembrava una scintillante parete color dell'oro.,Sembravano formare un muro sfavillante dalle tonalità auree...,Parlayan altın renkli bir duvar gibi görünüyordu.
,"...If each ingot was worth several ten million yen, how much would all of this be worth? ","...If each ingot was worth tens of millions of yen, how much would all of this be worth?",[=ST],…インゴットひとつで数千万円の価値があるのだとしたら、ここにある全てで一体いくらくらいになるというのでしょう。,[=JP],"...Если каждый слиток стоил несколько десятков миллионов иен, то сколько всё это стоило?","...Se cada lingote vale dez milhões de ienes, quanto você acha que tudo isso deve valer?",…假如一塊金塊是值數千萬日元的話，那在這裡的全部黃金又到底能換得多少錢呢？,…假如一块金块是值数千万日元的话，那在这里的全部黄金又到底能换得多少钱呢？,"... Se ogni lingotto valeva diverse decine di milioni di yen, quanto sarebbe valso tutto questo?","Se ogni lingotto aveva un valore di diverse decine di milioni di yen, quanto diamine valevano nell'insieme?","...Her bir külçe on milyonlarca yen değerinde ise, tüm bunların değeri ne kadar olurdu?"
,It seemed sinful to even think of such a number. ,It seemed sinful to even think of that number.,[=UP],その数字を知ることすら罪深く感じられるのでした。,[=JP],Грешно даже было думать о подобной астрономической цифре.,Parece até pecaminoso tentar pensar em um número.,光是算出這數字，就讓人感到了深重的負罪感。,光是算出这数字，就让人感到了深重的负罪感。,Anche solo pensare ad una simile cifra sembrava un peccato.,Anche il solo conoscere quella cifra pareva peccaminoso.,Bu sayıyı düşünmek bile günah gibi geliyordu.
{f:5:Beatrice},"""...However, the human world is difficult. I know there are some things that cannot be settled, no matter how high into the sky you pile up gold. I know there are cracks that cannot be filled. ","""......However, the human world is difficult. I know that there are some things that cannot be satisfied no matter how high into the sky you pile up gold. I know that there are cracks that can't be filled.""","""......However, the human world is difficult. I know that there are some things that cannot be satisfied no matter how high into the sky you pile up gold. I know that there are cracks that can't be filled.",「……しかし、人の世は難しい。どれほど空高く積み上げた黄金であろうとも、満たされぬものがあることを知っている。埋められぬ隙間があることを知っている。,「……しかし、人の世は難しい。どれほど空高く積み上げた黄金であろうとも、満たされぬものがあることを知っている。埋められぬ隙間があることを知っている」,"""......Однако, человеческий мир сложен. Я знаю, что есть некоторые вещи, которые невозможно исполнить, даже если твоя гора золота будет доставать до неба. Я знаю, что есть трещины, которые нельзя заполнить.""","""......Contudo, o mundo humano é difícil. Eu sei que existem algumas coisas que não podem ser realizadas, não importando o quão alto a sua pilha de ouro vá através do céu. Eu sei que existem rachaduras que não podem ser preenchidas.""",「……然而，人世很是複雜。妾身知道，無論把黃金堆高到有多接近天空，都有無法滿足之物。都有無法埋住的裂痕。」,「……然而，人世很是复杂。妾身知道，无论把黄金堆高到有多接近天空，都有无法满足之物。都有无法埋住的裂痕。」,"""... Tuttavia, il mondo degli esseri umani è complesso. So che ci sono cose che non si possono ottenere anche se ammassassi tanto oro da toccare il cielo. So che ci sono vuoti che non si possono riempire.","""...Tuttavia, il mondo umano è intricato. Sono consapevole che, anche ammassando talmente tanto oro da arrivare al cielo, esistono cose che esso non può procurare. So che ci sono fratture che non possono essere colmate.""","""......Fakat insan dünyası zordur. Gökyüzüne doğru ne kadar altın yığarsan yığ, bazı şeylerin tatmin edilemeyeceğini biliyorum. Doldurulamayacak çatlaklar olduğunu biliyorum."""
{f:5:Beatrice},"I won't make light of that, which is why this is a gift that only a witch such as I can give."" ","""I won't make light of that, and in fact, I believe that is why this is a gift that only a witch such as I can give."""," I won't make light of that, which is why this is a gift that only a witch such as I can give.""",妾はそれを蔑ろにしないし、それこそが、魔女である妾にしか与えられぬ褒美であると考えている。」,「妾はそれを蔑ろにしないし、それこそが、魔女である妾にしか与えられぬ褒美であると考えている」,"""Я не буду шутить над этим, вот почему такой подарок может сделать лишь такая ведьма, как я.""","""Eu não vou esclarecer isso e, de fato, acredito que é por isso que este é um presente que apenas uma bruxa como eu pode dar.""",「妾身不會蔑視這點，並認為這正是，只有身為魔女的妾身能給予的獎賞。」,「妾身不会蔑视这点，并认为这正是，只有身为魔女的妾身能给予的奖赏。」,"Non mi prenderò gioco di ciò, ed è per questo che questo è un dono che solo una strega come me può darti.""","""Non mi prenderò gioco di ciò, ed è proprio per via di questo, che ritengo che il mio sia un dono che può essere conferito solo da una strega come me...""","""Bunu hafife almayacağım ve aslında bu yüzden bunun sadece benim gibi bir cadının verebileceği bir lütuf olduğuna inanıyorum."""
{f:5:Beatrice},"""...Why don't I fill those cracks in for you? Yes, how about this. It's something only I can give. You should be very happy."" ","""......Why don't I fill those cracks in for you? Yes, how about this. It's something that only I can give. You should be very happy.""",[=UP],「……そなたのそれを、妾が埋めてやるというのはどうか。なるほど、これはいい。妾にしか与えられぬ物だ。そなたもさぞや喜ぼう。」,「……そなたのそれを、妾が埋めてやるというのはどうか。なるほど、これはいい。妾にしか与えられぬ物だ。そなたもさぞや喜ぼう」,"""......Почему бы мне не заполнить эти трещины для тебя? Да, как насчёт этого. Это то, что лишь я могу тебе дать. Ты должна быть крайне рада.""","""......Por que eu não preencho essas rachaduras para você? Sim, é isto. É algo que só eu posso conceder. Você deveria estar contente.""",「……汝心裡的這條縫，妾身來幫汝埋住如何呀？原來如此，這個好。此乃只有妾身能給予的東西。汝也定會高興。」,「……汝心里的这条缝，妾身来帮汝埋住如何呀？原来如此，这个好。此乃只有妾身能给予的东西。汝也定会高兴。」,"""... Ma perché non riempio io quei vuoti per te? Già, che ne dici. È qualcosa che solo io posso darti. Dovresti essere molto felice.""","""Perché non lasci che le riempia io per te? Sì, andrà bene. È qualcosa che solo io posso darti. Dovresti esserne molto felice...""","""......Neden bu çatlakları senin için ben doldurmuyorum? Evet, buna ne dersin? Bu sadece benim verebileceğim bir şey. Buna çok mutlu olmalısın."""
