Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Jessica,""".........I get it. Now I totally see why Grandfather hates coming down for meals. ",""".........I see. Now I really understand why Grandfather didn't want to show his face during meals.""",""".........I see. Now I really understand why Grandfather didn't want to show his face during meals.",「………なるほどな。祖父さまがメシの席にも顔を出したくない理由が、よーくわかったよ。,「………なるほどな。祖父さまがメシの席にも顔を出したくない理由が、よーくわかったよ」,""".........Ясно. Теперь я понимаю, почему дедушка вечно не желал спускаться, чтобы поесть вместе с нами.""",""".........Entendo. Agora eu realmente entendo por que o vovô não quis dar as caras durante o jantar.""",「………原來如此啊。爺爺連晚餐都不肯露面的理由，我算是知道嘞。」,「………原来如此啊。爷爷连晚餐都不肯露面的理由，我算是知道嘞。」,""".........Aku mengerti sekarang. Sekarang aku benar-benar paham kenapa Kakek benci turun untuk makan. ","""... Capisco. Ora capisco davvero perché il Nonno non voleva mostrarsi durante i pasti.","""...Capisco. Ora mi è perfettamente chiaro il motivo per cui il nonno non vuole farsi vedere durante i pasti.""",""".........Anlıyorum. Şimdi Büyükbabamın yemek sırasında neden yüzünü göstermek istemediğini gerçekten anlıyorum."""
Ushiromiya Jessica,"I'm so disillusioned with our parents right now! All that about money and the inheritance! How can they act like that right out in the open?!"" ","""I am so disillusioned with our parents now! The money, the inheritance! How could they act like that right out in the open!"""," I am so disillusioned with our parents now! The money, the inheritance! How could they act like that right out in the open!""",うちの親たちにはすっかり幻滅だぜ！　カネだの遺産だの！　よくもまぁ、あそこまで大っぴらに！」,「うちの親たちにはすっかり幻滅だぜ！　カネだの遺産だの！　よくもまぁ、あそこまで大っぴらに！」,"""Как же здорово я разочаровалась в наших родителях! Деньги, наследство! Как им вообще не стыдно рассуждать об этом так открыто!""","""Estou completamente desiludida com os meus pais agora! O dinheiro, a herança! Como eles podem agir dessa forma?!""",「這下爸媽在我心中的形象算是幻滅嘞！什麼錢啊遺產啊！還真敢旁若無人地談得那麼大聲！」,「这下爸妈在我心中的形象算是幻灭嘞！什么钱啊遗产啊！还真敢旁若无人地谈得那么大声！」,"Aku benar-benar kecewa pada orang tua kita saat ini! Semua omongan soal uang dan warisan itu! Bagaimana mereka bisa bersikap seperti itu begitu terang-terangan?!"" ","Sono così disillusa sui nostri genitori adesso! Il denaro, l'eredità! Come hanno potuto comportarsi così proprio in bella mostra!""","""Sono totalmente delusa dai nostri genitori! I soldi, l'eredità! Come possono comportarsi in questo modo così sfacciato?!""","""Artık ailelerimize olan bütün umutlarım tükendi! Para, miras! Göz göre göre nasıl böyle davranabilirler!"""
Ushiromiya Battler,"""Well, I'm already completely disillusioned with my old bastard. There's no way I could think any worse of him. Ihihi!"" ","""Well I'm already completely disillusioned with that old bastard. There's no way I could think any worse of him. Ihihi!""",[=UP],「俺の場合は、クソ親父に幻滅しきってるからよ。これ以上、評価の下がりようがないぜ。いっひっひ！」,[=JP],"""Ну, лично я уже давно окончательно разочаровался в своём папаше. Ему уже не упасть ниже в моих глазах. Ихи‐хи.""","""Bem, eu já estava completamente desiludido com o velho desgraçado. Não tem como eu pensar nada pior sobre ele. Ihihi!""",「對我來說，混蛋老爸的形象早幻滅得連渣都不剩了。再怎麼樣也沒法往下掉價了。嘿嘿嘿！」,「对我来说，混蛋老爸的形象早幻灭得连渣都不剩了。再怎么样也没法往下掉价了。嘿嘿嘿！」,"""Yah, aku sudah benar-benar kecewa dengan si brengsek tua itu. Tidak mungkin aku bisa berpikir lebih buruk lagi tentang dia. Ihihi!"" ","""Beh, sono già completamente disilluso col vecchio bastardo. Non c'è modo che io possa pensare ancora peggio di lui. Ihihi!""","""Quanto a me, ero già deluso dal mio vecchiaccio. Non c'è modo che io possa avere un'opinione più bassa di lui. Ihihih!""","""Yani, benim o yaşlı piçe olan tüm umutlarım çoktan tükendi. Onun hakkında daha kötüsünü düşünmeme imkan yok. Ihihi!"""
Ushiromiya Jessica,"""Th-That's exactly the same for me! Still, ...that freakin' shocked me. Shocked me to the core..."" ","""A‐and you think I'm not?! But even so......that freakin' shocked me. Shocked me to the bottom of my heart...""","""Th, that's exactly the same as me! However......, that freakin' shocked me. Shocked me to the bottom of my heart...""",「そ、そんなの私だって同じだぜ！　しかし……、今夜のには呆れたぜ。心底呆れたぜ…。」,「そ、そんなの私だって同じだぜ！　しかし……、今夜のには呆れたぜ。心底呆れたぜ…」,"""А‐аналогично! Однако... Это меня здорово шокировало. Потрясло меня до глубины души...""","""E‐E você acha que eu não?! Mas mesmo assim......aquilo me chocou muito. Me chocou do fundo do coração...""",「我、我也是一樣嘞！可是……，今晚還真是嚇到我了。我真心沒想到會是這樣…」,「我、我也是一样嘞！可是……，今晚还真是吓到我了。我真心没想到会是这样…」,"""I-Itu persis sama denganku! Tapi, ...itu benar-benar mengejutkanku. Mengguncangku sampai ke dalam-dalamnya..."" ","""È-È esattamente come me! Tuttavia... mi ha dannatamente scioccato. {n}Scioccato nel profondo del cuore...""","""A-Anch'io la penso allo stesso modo! Però... questa sera mi hanno sconvolta. Sconvolta nel profondo...""","""Be-Benim için öyle olmadığını mı düşünüyorsun?! Ama öyle bile olsa......bu beni şok etti. Kalbimin derinliklerine kadar şok oldum..."""
,"Jessica looked down at the floor, irritated. ","Jessica looked down at the floor, irritated.",[=UP],朱志香はイラつきながら俯く。,[=JP],Джессика раздражённо посмотрела на пол.,"Jessica olhava para o chão, irritada.",朱志香顯得很煩躁，低下了頭。,朱志香显得很烦躁，低下了头。,"Jessica menunduk, frustrasi. ","Jessica abbassò gli occhi al pavimento, irritata.",Jessica volse il suo sguardo irritato verso il pavimento...,Jessica sinirli bir şekilde yere baktı.
,"...She was always talking about how bad her parents were, but maybe she hadn't really felt that way deep inside. ","...She was always talking about how bad her parents were, but maybe she hadn't really felt that way deep inside.",[=UP],…普段は親のことを悪ぶって言っているが、実際は心の底からそうというわけでもないのかもしれない。,[=JP],"...Она всегда плохо отзывалась о своих родителях, но, по‐видимому, не считала так в глубине души.","...Ela estava sempre falando sobre o quão ruim eram os pais delas, mas talvez ela nunca tivesse se sentido dessa forma.",…雖然平常把父母說得很壞，但也許她的內心其實並不如此認為。,…虽然平常把父母说得很坏，但也许她的内心其实并不如此认为。,"...Dia memang sering bicara soal betapa buruknya orang tuanya, tapi mungkin sebenarnya dia tidak pernah merasakannya sedalam ini. ","... Parlava sempre di come fossero cattivi i suoi genitori, ma forse non lo pensava davvero in fondo al cuore.","Di solito parlava di come i suoi genitori si comportassero male, ma forse non era qualcosa in cui ci credeva davvero fino in fondo.",...Her zaman ailesinin ne kadar kötü olduğundan bahsederdi ama belki de içten içe böyle hissetmiyordu.
,The depths of Jessica's shock made that clear. ,I could realize that from the depths of Jessica's shock., I could realize that from the depths of Jessica's shock.,朱志香のショックの深さからそれがうかがえた。,[=JP],"Я мог понять это по тому, насколько шокирована была Джессика.",Eu pude perceber o quão profundo tinha sido o choque da Jessica.,從深受打擊的朱志香身上多少可以看出這點來。,从深受打击的朱志香身上多少可以看出这点来。,Betapa dalamnya keterkejutannya sangat terlihat jelas. ,Lo capii dalla profondità del suo shock.,Lo potevo intuire dalla profondità del suo shock.,Bunu Jessica'nın yaşadığı şokun derinliklerinden anlayabiliyordum.
Ushiromiya George,"""...You're all minors being supported by your parents, so you might not understand, ......but getting money is neither a simple nor a pretty thing. I won't try to force you to understand right now, since you're still kids. ......But even so, I want you to realize that your parents are just doing their best in their own way."" ","""......You are both minors and still being brought up by your parents, so you might not understand, ......but getting money is neither a simple nor a pretty thing. You are still minors, so I won't try to force you to understand right now. ......But still, I'd like you to realize that your parents are just doing their best in their own way.""","""......You are all minors and were brought up by your parents, so you might not understand, ......but getting money is neither a simple nor a pretty thing. Since you are minors now, I won't try to force you to understand. ......But still, I want you to realize that your parents are just doing their best in their own way.""",「……未成年の君たちはご両親に養育してもらってるからわからないだろうけど。……お金を得るというのは、単純な綺麗事じゃないよ。未成年である今にそれを理解しろとは言わない。……でも、ご両親なりに何かの努力をしていることだけは認めてあげてほしいな。」,「……未成年の君たちはご両親に養育してもらってるからわからないだろうけど。……お金を得るというのは、単純な綺麗事じゃないよ。未成年である今にそれを理解しろとは言わない。……でも、ご両親なりに何かの努力をしていることだけは認めてあげてほしいな」,"""......Вы ещё несовершеннолетние и воспитываетесь родителями, поэтому пока можете не понимать... Но зарабатывание денег — занятие не из простых и приятных. Поскольку вы ещё несовершеннолетние, я не буду пытаться заставить вас понять. ......Но всё равно, я хочу, чтобы вы поняли, что ваши родители просто делают всё возможное по‐своему.""","""......Vocês dois ainda são menores de idade e ainda dependem de seus pais, por isso talvez não entendam, ......mas ganhar dinheiro não é algo simples, e nem algo bonito. Por ainda serem menores de idade, eu não vou forçá‐los a entender. ......Mas ainda assim, eu gostaria que vocês percebessem que os seus pais estão fazendo o melhor que podem, da maneira deles.""",「……未成年的你們因為還在受著父母的養育，所以可能還沒什麼概念。……把錢搞到手這種事，可不是什麼單純的漂亮話。我也不是說讓你們在如今還未成年的時候就明白這一點。……只是，僅僅希望你們能夠理解，你們的父母也是在盡他們自己的努力。」,「……未成年的你们因为还在受着父母的养育，所以可能还没什么概念。……把钱搞到手这种事，可不是什么单纯的漂亮话。我也不是说让你们在如今还未成年的时候就明白这一点。……只是，仅仅希望你们能够理解，你们的父母也是在尽他们自己的努力。」,"""...Kalian semua masih di bawah umur dan masih ditanggung orang tua, jadi mungkin kalian belum mengerti, ......tapi mendapatkan uang itu bukan hal yang mudah atau indah. Aku tidak akan memaksakan kalian untuk memahami sekarang, karena kalian masih anak-anak. ......Tapi meskipun begitu, aku ingin kalian sadar bahwa orang tua kalian hanya berusaha sebaik mungkin dengan cara mereka sendiri."" ","""... Siete tutti minorenni e siete stati tirati su dai vostri genitori, quindi potreste non capire... ma ottenere denaro non è una cosa né semplice né carina. Dato che siete ancora in minore età, non proverò a forzarvi a capire. ... Però, voglio che realizziate che i vostri genitori stanno facendo del loro meglio a modo loro.""","""...Dato che siete ancora piccoli e siete stati cresciuti dai vostri genitori, probabilmente non riuscite a capire... ma ottenere del denaro non è una cosa semplice e gradevole. Siete ancora piccoli, perciò non vi chiederò di comprenderli... Però vorrei farvi capire che, a modo loro, i vostri genitori stanno facendo del loro meglio.""","""......İkiniz de reşit değilsiniz ve hala ebeveynleriniz tarafından yetiştiriliyorsunuz, bu yüzden anlamayabilirsiniz, ......ama para kazanmak ne basit ne de güzel bir şeydir. Hâlâ reşit değilsiniz, bu yüzden şu anda anlamanız için sizi zorlamayacağım. ......Ama yine de, ebeveynlerinizin kendi yöntemleriyle ellerinden gelenin en iyisini yaptıklarını bilmenizi isterim."""
Ushiromiya Battler,"""......Oh great, George-aniki's gotten all mature."" ",""".........Oh great, George‐aniki's gotten all mature.""",""".........Oh great, George-aniki's gotten all mature.""",「………やれやれ。譲治の兄貴は人間ができてるぜ。」,「………やれやれ。譲治の兄貴は人間ができてるぜ」,""".........Ну вот, 'Джордж‐аники проявил зрелость.'""",""".........Ótimo, agora o George‐aniki ficou maduro.""",「………哎呀哎呀。讓治大哥可真是成熟啊。」,「………哎呀哎呀。让治大哥可真是成熟啊。」,"""......Wah, George-aniki sekarang jadi dewasa banget."" ","""... Oh grande, George-aniki è diventato tutto maturo.""","""...Ma tu guarda. Il fratellone George è diventato una persona matura.""",""".........Harika, George-aniki iyice olgunlaştı."""
Ushiromiya Jessica,"""George nii-san, I know you're working hard as a full-fledged member of society, ......but does that mean you turn into a shameless, greedy vulture like our parents whenever you start talking about money and assets...?"" ","""I know that you're working hard as a full‐fledged member of society. ......But does that mean that when the conversation turns to money and assets and stuff, you're capable of turning into a shameless, greedy vulture, like our dads...?""","""I know that George nii-san has become a full-fledged member of society and is working hard, ......but does that mean that once you start talking about money and assets, you turn into an shameless, greedy vulture...?""",「譲治兄さんは、社会人になってバリバリ働いてるけどよ。……カネとか財産とか、そういう話になったら、ウチの親父たちみたいに強欲むき出しのハゲタカになれるってのかよ…？」,[=JP],"""Я знаю, что Джордж нии‐сан стал полноценным членом общества и трудится изо всех сил... Но значит ли это... что как только ты начнёшь болтать о деньгах и активах, то превратишься в жадного, бесстыдного стервятника?..""","""Eu sei que você está trabalhando muito para poder se tornar um membro da sociedade. ......Mas isso não significa que quando a conversa é sobre dinheiro, heranças e outras coisas, você seja capaz de se transformar em um descarado abutre ganancioso como os nossos pais...?""",「讓治哥你是進了社會就在拚命工作沒錯嘞。……但真要是牽扯到了錢啊財產啊之類的，難道你也會變成像我爸他們那樣貪得無厭的禿鷲嗎…？」,「让治哥你是进了社会就在拼命工作没错嘞。……但真要是牵扯到了钱啊财产啊之类的，难道你也会变成像我爸他们那样贪得无厌的秃鹫吗…？」,"""George nii-san, aku tahu kau sudah bekerja keras sebagai anggota masyarakat yang sebenarnya, ......tapi apa itu berarti kau akan berubah jadi burung pemakan bangkai rakus dan tidak tahu malu seperti orang tua kita saat mulai bicara soal uang dan aset...?"" ","""Sapevo che George nii-san è diventato un membro della società a pieno titolo e sta lavorando sodo... ma significa che una volta che cominci a parlare di soldi e beni, ti trasformi in un avvoltoio avaro e senza vergogna...?""","""Il cugino George è diventato un membro attivo della società che lavora sodo, ma... vuol dire che, quando ti metterai a parlare di robe di soldi e di proprietà, ti trasformerai in un avvoltoio avido e senza vergogna come i nostri padri...?""","""Toplumun tam teşekküllü bir üyesi olarak çok çalıştığını biliyorum. ......Ama bu, konu paraya, mal varlığına falan geldiğinde, babalarımız gibi utanmaz, açgözlü bir akbabaya dönüşebileceğin anlamına mı geliyor...?"""
