Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,"I decided to ask Shannon, who was putting away the serving cart behind us. ","I decided to ask Shannon, who was putting away the serving cart behind us."," I decided to ask Shannon, who was putting away the serving cart behind us.",俺たちの後で配膳ワゴンを片付けている紗音ちゃんに聞いてみることにする。,[=JP],"Тогда я решил спросить Шаннон, увозящей сервировочную тележку позади нас.","Eu decidi perguntar para a Shannon, que estava cuidando do carrinho atrás de nós.",我試著問了問在我們身後收拾餐車的紗音。,我试着问了问在我们身后收拾餐车的纱音。,Aku memutuskan bertanya pada Shannon yang sedang membereskan gerobak saji di belakang kami.,"Decisi di chiedere a Shannon, che stava mettendo via il carrello da servizio dietro di noi.","Decisi di chiedere a Shannon, che si trovava dietro di noi mentre sistemava il portavivande.",Arkamızdaki servis arabasını götürmekte olan Shannon'a sormaya karar verdim.
Ushiromiya Battler,"""Shannon-chan, what kind of sauce is this sour stuff?"" ","""Shannon‐chan, what kind of sauce is this sour stuff?""","""Shannon-chan, what kind of sauce is this sour stuff?""",「紗音ちゃん、この酸っぱいのは何のソースだい？」,[=JP],"""Шаннон‐чан, что это за такой кислый соус?""","""Shannon‐chan, que tipo de molho é essa coisa azeda?""",「紗音，這個酸的是什麼醬汁啊？」,「纱音，这个酸的是什么酱汁啊？」,"""Shannon-chan, saus asam ini terbuat dari apa?""","""Shannon-chan, che tipo di salsa è questa roba aspra?""",[=ITA],"""Shannon-chan, bu ekşi şey ne tür bir sos?"""
Shannon,"""......Umm...... ............uhh, ......aaah..."" ","""......Umm..................err.........u...""","""......Umm......, ............Err..., ......u..., """,「……ぇっと……、…………あの…、……ぅ…、」,[=JP],"""......М‐м‐м... э‐э... у...""","""......Hmm..................err.........u...""",「……這個……，…………那個…，……呃……」,「……这个……，…………那个…，……呃……」,[=UP],"""... Umm... Err... u...""","""...Uhm... Ecco... uh... """,[=UP]
,Shannon‐chan hesitated to speak. ,Shannon‐chan hesitated to speak.,Shannon-chan hesitated to speak.,　紗音ちゃんが言いよどむ。,紗音ちゃんが言いよどむ。,Шаннон‐чан медлила с ответом.,A Shannon‐chan hesitou em falar.,紗音吞吞吐吐說不出來。,纱音吞吞吐吐说不出来。,Shannon-chan ragu menjawab.,Shannon-chan esitò a parlare.,Shannon-chan esitava a rispondere.,Shannon-chan konuşmakta tereddüt etti.
,"Maybe her job was just to set the table, so she doesn't really know. Still, even considering that, she seems pretty stressed. ......Maybe I shouldn't have asked. ","Maybe she was just setting the table and doesn't really know.{n}She's hesitating a bit much for that, though.{n}......Did I ask something wrong?"," Maybe she was just setting the table and doesn't really know. Man, she's at a total loss.......did I ask something wrong? ",配膳はしてるがよくは知らないということなんだろう。にしちゃ、やたらと窮している。……悪いこと聞いちゃったかな？,配膳はしてるがよくは知らないということなんだろう。{n}にしちゃ、やたらと窮している。{n}……悪いこと聞いちゃったかな？,"Может быть, её задачей было всего лишь накрывать на стол, поэтому она не знала.{n}Да она в полном замешательстве.{n}Я что‐то не то спросил?",Talvez ela apenas tivesse servido a mesa e realmente não sabia.{n}Apesar dela ter hesitado muito só por causa disso.{n}......Eu perguntei alguma coisa errada?,估計她只負責上菜，詳細的也不太清楚吧。{n}看樣子，她是相當地不知所措。{n}……是我問了什麼不該問的嗎？,估计她只负责上菜，详细的也不太清楚吧。{n}看样子，她是相当地不知所措。{n}……是我问了什么不该问的吗？,Mungkin dia hanya mengatur meja dan tidak tahu detailnya.{n}Tapi keraguannya berlebihan untuk itu.{n}......Apa pertanyaanku salah?,"Forse stava soltanto preparando il tavolo e non lo sapeva. Ragazzi, è totalmente spaesata. ... Ho chiesto qualcosa di sbagliato?","Aveva apparecchiato il tavolo, ma probabilmente non lo sapeva con certezza.{n}Mi sembrava comunque piuttosto spaesata... Forse non avrei dovuto chiederglielo?",Belki de sadece masayı hazırlıyordu ve gerçekten bilmiyordu.{n}Yine de bunun için biraz fazla tereddüt ediyor.{n}......Yanlış bir şey mi sordum?
,Or did they use some ingredient that we'd be better off not knowing about? ,Or did they use something that we'd be better off not knowing about?,Or did they use something that we'd be better off not knowing about? ,それとも、聞いてはならない材料でも使ってるんだろうか。,[=JP],"Или может при изготовлении этого соуса они воспользовались чем‐то, о чём нам лучше не знать?",Ou eles usaram algo que era melhor nós não sabermos?,又或者是，他們使用了什麼不可告人的材料？,又或者是，他们使用了什么不可告人的材料？,Atau mereka menggunakan sesuatu yang sebaiknya tidak kami tahu?,O hanno usato qualcosa che è meglio non sappiamo cosa sia?,Oppure hanno usato qualche ingrediente che non ci conveniva conoscere?,Yoksa bilmememizin daha iyi olacağı bir şey mi kullandılar?
,"While Aunt Natsuhi made a gesture that seemed to indicate an oncoming headache, Kumasawa-san, who was setting the table at the opposite seat, began to chuckle. ","While Aunt Natsuhi acted as though she had a headache, Kumasawa‐san, who was setting the other side of the table, began to laugh with a ""hoh‐hoh‐ho"".","While Natsuhi oba-san acted as though she had a headache, Kumasawa-san, who was setting the table at the opposite seat, began to laugh with a 'Hoh-hoh-ho'.",夏妃伯母さんが頭痛でもするような仕草を見せると、向かいの席で配膳していた熊沢さんが、ほっほっほと笑い出す。,[=JP],"Пока тётя Нацухи вела себя так, словно у неё разболелась голова, Кумасава‐сан, накрывающая на стол напротив меня, начала смеяться своим фирменным ""хо‐хо‐хо"".","Enquanto a tia Natsuhi agia como se estivesse com dor de cabeça, a Kumasawa‐san, que estava do outro lado da mesa, começou a rir com um ""hoh‐hoh‐ho"".",一看見夏妃伯母顯出副頭開始痛了的樣子，在對面上菜的熊澤婆婆就嚯嚯嚯地笑了起來。,一看见夏妃伯母显出副头开始痛了的样子，在对面上菜的熊泽婆婆就嚯嚯嚯地笑了起来。,"Sementara Bibi Natsuhi terlihat pusing, Kumasawa-san di sisi lain meja tertawa ""hoh-hoh-ho"".","Mentre Natsuhi oba-san si comportava come se avesse mal di testa, Kumasawa-san, che stava preparando il tavolo sul lato opposto, cominciò a ridere con un ‘Hoh-hoh-ho’.","Mentre Zia Natsuhi si atteggiava come se avesse un mal di testa, Kumasawa-san, che stava apparecchiando il tavolo al lato opposto, iniziò a ridacchiare.","Natsuhi Teyze başı ağrıyormuş gibi davranırken, masanın diğer tarafında oturan Kumasawa-san ""hoh-hoh-ho"" diye gülmeye başladı."
Kumasawa Chiyo,"""What do you think we made it out of? Hohohoh, it'll shock you..."" ","""What do you think we made it out of? Hoh‐hoh‐ho, it'll shock you...""","""What ingredients do you think we made it out of? Hoh-hoh-ho, it'll shock you...""",「何の材料を使っていると思いますか？　ほっほっほ、驚きますよ…。」,「何の材料を使っていると思いますか？　ほっほっほ、驚きますよ…」,"""Как вы думаете, из чего он сделан? Хо‐хо‐хо, вы будете шокированы...""","""Do que você acha que é feito? Hoh‐hoh‐ho, isso vai deixar você chocado...""",「您覺得是用什麼材料做的？嚯嚯嚯，會讓您嚇一跳哦…」,「您觉得是用什么材料做的？嚯嚯嚯，会让您吓一跳哦…」,"""Menurutmu terbuat dari apa? Hoh-hoh-ho, ini akan mengejutkanmu...""","""Con che ingredienti credi che l'abbiamo preparato? Hoh-hoh-ho, ti shockerà...""","""Con quali ingredienti credi che l'abbiamo preparato? Ohohohoh, la risposta ti sorprenderà...""","""Bunu neyden yaptığımızı sanıyorsun? Hoh-hoh-ho, seni şok edecek..."""
Ushiromiya Battler,"""Huh? I-I don't have a clue. Wait a sec, Kumasawa baa-san, that laugh's pretty creepy. So, what is it?!"" ","""Huh? ...I, I don't have a clue. And, Kumasawa baa‐san, that laugh creeps me the hell out. So, what is it?!""","""Huh? I, I don't have a clue. Wait a sec, Kumasawa baa-san, that laugh's pretty creepy. So, what is it?!""",「え、…ぜ、全然わかんねぇぜ。というか、熊沢の婆さんがそういう笑い方すると不気味でならねぇぜ。んで、何なんだよ正体は！」,[=JP],"""А? Я... я понятия не имею. Секундочку, бабуля Кумасава, к чему жуткий смех? Ну, из чего он?!""","""Hã? ...E‐E não faço a menor ideia. Espera, Kumasawa baa‐san, você não precisa rir desse jeito assustador. Então, qual o ingrediente?!""",「這，…完、完全想不出來。還有，熊澤婆婆你這種笑法很恐怖啊。所以到底是什麼做的啊！」,「这，…完、完全想不出来。还有，熊泽婆婆你这种笑法很恐怖啊。所以到底是什么做的啊！」,"""Hah? ...Aku tidak tahu. Dan, Kumasawa baa-san, tawamu itu menyeramkan. Jadi, apa ini?!""","""Eh? N-Non ne ho idea. Aspetta un secondo, Kumasawa baa-san, quella risata è piuttosto spaventosa. Allora, cos'è?!""","""Eh? N-Non ne ho la più pallida idea. Un momento, quella tua risata fa venire i brividi, vecchia Kumasawa. Allora? Cos'è veramente?!""","""Ha? ...Hiç, hiçbir fikrim yok. Ve Kumasawa baa-san, bu gülüş beni çok korkutuyor. Peki, neyden yaptınız?!"""
Kumasawa Chiyo,"""...Don't tell anyone, okay? Listen very carefully."" ","""......Don't tell anyone, alright? Let me borrow your ears.""","""Don't tell anyone, alright? Let me borrow your ears.""",「……ナイショですよ？　お耳を拝借。」,「……ナイショですよ？　お耳を拝借」,"""Только никому не рассказывайте, ладно? Давайте я вам на ухо прошепчу.""","""......Não conte pra ninguém, certo? Me empreste seu ouvido.""",「……這話要保密喲？耳朵湊過來。」,「……这话要保密哟？耳朵凑过来。」,"""......Jangan bilang siapa-siapa, ya? Dekatkan telingamu.""","""Non dirlo a nessuno, intesi? Prestami orecchio.""","""..Non dirlo a nessuno, intesi? Avvicina l'orecchio.""","""......Kimseye söyleme, tamam mı? Kulaklarını yaklaştır."""
,"Kumasawa-san leaned across from the other side of the table. I leaned forward myself when she asked. Their interest caught, Jessica, George-aniki, and, of course, Maria also put their ears closer. ","Kumasawa‐san leaned across from the other side of the table. She'd asked to borrow my ears, so I leaned forward too. Their interest caught, Jessica, George‐aniki, and, of course, Maria, also put their ears closer.","Kumasawa-san leaned across from the other side of the table. I leaned forward too when she asked me to listen. Their interest caught, Jessica, George-aniki, and, of course, Maria also put their ears closer.",向かいから熊沢さんが乗り出してくる。耳を貸せというので俺も乗り出す。興味を持ち、朱志香も譲治兄貴も、もちろん真里亞も熊沢さんに耳を寄せる。,[=JP],"Кумасава‐сан перегнулась через стол на другой стороне. Следуя её словам, я наклонился вперёд. Заинтересовавшись, Джессика, Джордж‐аники и, разумеется, Мария, тоже приблизили уши.","A Kumasawa‐san se inclinou sobre a mesa. Como ela pediu para falar no meu ouvido, eu também me inclinei. Esse interesse pegou a Jessica, o George‐aniki e, é claro, a Maria, que também se aproximaram.",對面的熊澤婆婆探出身來。因為她叫我湊過去，我便也把耳朵湊了過去。對這話題感興趣的朱志香與讓治大哥，當然包括真里亞，也把耳朵湊向了熊澤婆婆。,对面的熊泽婆婆探出身来。因为她叫我凑过去，我便也把耳朵凑了过去。对这话题感兴趣的朱志香与让治大哥，当然包括真里亚，也把耳朵凑向了熊泽婆婆。,"Kumasawa-san bersandar dari seberang meja. Aku pun mendekat. Tertarik, Jessica, George-aniki, dan tentu saja Maria juga mendekatkan telinga.","Kumasawa-san si sporse dall'altro lato del tavolo. Anche io mi piegai in avanti quando mi chiese di ascoltarla. Catturato il loro interesse, anche Jessica, George-aniki, e, ovviamente, Maria, avvicinarono le orecchie.","Kumasawa-san si sporse dall'altro lato del tavolo. Poichè mi chiese di avvicinare l'orecchio, anch'io feci lo stesso. Jessica, il fratellone George e ovviamente pure Maria, aguzzarono i loro orecchi, essendosi anche loro incuriositi.","Kumasawa-san masanın diğer tarafına doğru eğildi. Kulaklarımı yaklaştırmamı istemişti, ben de öne doğru eğildim. İlgilerini çeken Jessica, George-aniki ve tabii ki Maria da kulaklarını yaklaştırdı."
Ushiromiya Maria,"""Uu-. What? Whaaat? Quickly! Quickly!"" ","""Uu. What? Whaat? Tell mee! Tell mee!""","""Uu-. What? Wha-t? Quickly-! Quickly-!""",「うー。何？　何ー？　早くー！　早くー！」,[=JP],"""У‐у! Что? Что‐о? Скорее! Скорее!""","""Uu. Quê? Quê~? Rápido! Rápido!""",「嗚——。什麼？什麼——？快說！快說——！」,「呜——。什么？什么——？快说！快说——！」,"""Uu. Apa? Apaa? Katakan padaku! Katakan padaku!""","""Uu-. Cosa? Co-sa? Veloce-! Veloce-!""","""Uuh. Cos'è? Cos'è?! Suuu! Suuu!""","""Uu. Ne? Nee? Söyle bana! Söyle bana!"""
Kumasawa Chiyo,"""You see, the sour part is made from... juice squeezed from a mackerel, hohohoh!"" ","""The sour part is, well... ......Actually, it's squeezed juice from a mackerel, hoh‐hoh‐ho!""","""The sour part is, well, ......Actually, it's squeezed juice from a mackerel, Hoh-hoh-ho!""",「この酸っぱいのはですねぇ。……実は、お魚の鯖の絞り汁ですよぅ、ほっほっほ！」,[=JP],"""Кислой частью на самом деле является... выжатый из скумбрии сок, хо‐хо‐хо!""","""Essa parte azeda é, bem... ......Na verdade, é suco espremido de cavalinha, hoh‐hoh‐ho!""",「這個酸酸的啊……其實是{c:86EF9C:鯖魚}擠出來的汁哦，嚯嚯嚯！{c:86EF9C:（詳見魔導書“日本文化相關”條目）}」,「这个酸酸的啊……其实是{c:86EF9C:鲭鱼}挤出来的汁哦，嚯嚯嚯！{c:86EF9C:（详见魔导书“日本文化相关”条目）}」,"""Bagian yang asam itu, sebenarnya... ......jus perasan ikan makarel, hoh-hoh-ho!""","""La parte aspra è, beh... veramente, è succo spremuto da uno sgombro, Hoh-hoh-ho!""","""In realtà, questa parte aspra... è una spremuta di sgombro, ohohohoh!""","""Ekşi kısmı aslında, şey... ......Aslında, uskumrunun sıkılmış suyu, hoh-hoh-ho!"""
,"""""""WHAT, mackerel?!?!"""""" ","""""""WHAT, mackerel?!?!""""""","""""""HAAAaaahh, mackerel?!?!""""""",「「「ええぇーーッ、サバぁッ？！？！」」」,[=JP],"""""""Что‐о‐о‐о‐о‐о, скумбрия?!!""""""","""""""QUÊ! Cavalinha?!?!""""""",「「「哎哎哎——，鯖魚！？！」」」,「「「哎哎哎——，鲭鱼！？！」」」,"""""""APA, makarel?!?!""""""","""""""HAAAaaahh, sgombro?!?!""""""","""""""Eeeeh, sgombro?!!!""""""","""""""NE, uskumru mu?!?!"""""""
,"""That's crazy,"" we all thought, horrified. Only Maria accepted it, nodding sagely. ","""Don't be ridiculous,"" we all thought, horrified.{n}Only Maria accepted it, nodding with an ""uh‐huh"".","""That's crazy,"" we all thought, horrified. Only Maria accepted it, nodding with an 'uh-huh'.",そんな馬鹿なと仰天する俺たち。納得した顔でウンウンと頷くのは真里亞だけだ。,そんな馬鹿なと仰天する俺たち。{n}納得した顔でウンウンと頷くのは真里亞だけだ。,"""Это безумие"", — с ужасом подумали мы.{n}Лишь Мария, кивая и укая, приняла это как данность.","""Isso é loucura"", nós pensamos horrorizados.{n}Apenas a Maria aceitou isso, concordando com um ""hm‐hmm"".",搞什麼玩意啊！我們目瞪口呆。{n}只有真里亞擺出一副明白了似的臉，狠狠點頭。,搞什么玩意啊！我们目瞪口呆。{n}只有真里亚摆出一副明白了似的脸，狠狠点头。,"Kami semua kaget dan tidak percaya.{n}Hanya Maria yang mengangguk percaya sambil bilang ""uh-huh"".","""È da matti"" pensammo tutti quanti, inorriditi. Solo Maria lo accettò, annuendo con un ‘uh-huh’.",Fummo stupiti da quell'enorme frottola. Soltanto Maria annuì con una faccia convinta.,"""Saçmalama"" diye düşündük hepimiz, dehşete düşmüş bir şekilde.{n}Sadece Maria ""uh-huh"" diye başını sallayarak kabul etti."
Ushiromiya Maria,"""Uu-? Mackerels are sour. This is what comes out when you squeeze them!"" ","""Uu? Mackerels are sour. If you squeeze them, this comes out!""","""Uu-? Mackerels are sour. If you squeeze them, this comes out!""",「うー？　鯖は酸っぱいよ？　絞ったらこうなる！」,[=JP],"""У‐у? Скумбрии кислые? Если их давишь, они дают сок!""","""Uu? Cavalinha é azeda. Se você espremer, vai sair isso!""",「嗚——？鯖魚很酸哦！擠了就會這樣！」,「呜——？鲭鱼很酸哦！挤了就会这样！」,"""Uu? Ikan makarel itu asam. Kalau diperas, jadinya begini!""","""Uu-? Gli sgombri sono aspri? Se li spremi, esce questo!""","""Uuh? Gli sgombri sono aspri, giusto? Diventano così quando li spremi!""","""Uu? Uskumrular ekşi. Onları sıkarsan bu çıkar!"""
,"""""...ha, wahahahahaha...!"""" ","""""...ha, wahahahahaha...!""""","""""...ha, Wahahahahaha...!""""",「「…ぷ、わっはっはっはっは…！」」,[=JP],"""""Ха... Ва‐ха‐ха‐ха‐ха‐ха!""""",[=UP],「「…噗，哇哈哈哈哈…！」」,[=CHT],[=UP],"""""... ha, Wahahahahaha...!""""","""""...Pfft, ahahahahahah...!""""","""""...ha, wahahahaha...!"""""
,"When Maria started clamoring that mackerel were sour, the adults were unable to contain their laughter. ","When Maria started clamoring that mackerel were sour, the adults were unable to contain their laughter.",[=UP],真里亞が鯖は酸っぱいと騒ぎ出すと大人たちは笑いを堪え切れなくなった。,[=JP],"Когда Мария начала кричать, что скумбрии кислые, взрослые не смогли сдержать смех.","Quando a Maria começou a clamar que cavalinha era azeda, os adultos não conseguiram se conter e começaram a rir.",真里亞吵嚷起鯖魚很酸後，大人們也忍不住笑了起來。,真里亚吵嚷起鲭鱼很酸后，大人们也忍不住笑了起来。,"Ketika Maria bersikeras makarel itu asam, para orang tua tidak bisa menahan tawa.","Come Maria cominciò ad affermare che gli sgombri erano aspri, gli adulti non furono in grado di contenere le risate.","Maria affermò a gran voce che gli sgombri erano aspri, e gli adulti non riuscirono a trattenere le risate.","Maria uskumrunun ekşi olduğunu haykırmaya başladığında, yetişkinler kahkahalarını tutamadılar."
Ushiromiya Rosa,"Only Aunt Rosa, her face red, ","""You've got it wrong, that's vinegared mackerel!"""," Only Rosa oba-san, her face red, told Maria that mackerel is sour only once prepared,",楼座叔母さんだけが赤面して真里亞に、違うわよ、酸っぱいのはしめ鯖でしょ！,「違うわよ、酸っぱいのはしめ鯖でしょ！」,"""Скумбрии становятся кислыми только после того, как их приготовят.""","""Você entendeu errado, isso é cavalinha preparada com vinagre!""",「不對啦，很酸的是醋鯖魚才對！」,「不对啦，很酸的是醋鲭鱼才对！」,"""Salah, itu makarel acar!""","Solo Rosa oba-san, col viso rosso, spiegò a Maria che lo sgombro è aspro solo dopo che viene preparato,","‘Ti sbagli, è lo sgombro marinato ad essere aspro!’","""Yanlış anladın, o sirkeli uskumru!"""
,whispered to Maria that mackerel is sour only once {ruby:vinegared:prepared as shimesaba}. ,Auntie Rosa said to Maria in a small voice while turning red., in a small voice.,　と小声で言う。,楼座叔母さんだけが赤面して真里亞に、小声で言う。,"Шёпотом сказала Марии тётя Роза, красная, как спелый помидор.","A tia Rosa falou para a Maria em voz baixa, enquanto ficava vermelha.",唯有樓座姑母滿面通紅地對著真里亞小聲說道。,唯有楼座姑母满面通红地对着真里亚小声说道。,Bibi Rosa berbisik pada Maria sambil memerah.,sottovoce.,"Solo zia Rosa, che era rossa in volto, lo spiegò sottovoce a Maria.",Rosa Teyze kıpkırmızı kesilirken küçük bir sesle Maria'ya böyle dedi.
,"Aaahh, now I totally remember. Kumasawa-san was always like this, wasn't she? I think I remember her tricking me too in all sorts of ways when I was young! ","Ahhhh, now I remember it perfectly.{n}Kumasawa‐san was always this kind of a character, wasn't she?{n}I think I remember her tricking me about all kinds of things when I was young as well!"," Ahh--, now I remember it perfectly. Kumasawa-san was always this kind of a character, wasn't she? I think she must have tricked me too in various ways when I was young! ",あーー、もう完ッ璧に思い出したぜ。熊沢さんってこういうキャラなんだよなぁ！俺も小さかった頃、熊沢の婆ちゃんに色々と騙されてた気がするぜ！,あーー、もう完ッ璧に思い出したぜ。{n}熊沢さんってこういうキャラなんだよなぁ！{n}俺も小さかった頃、熊沢の婆ちゃんに色々と騙されてた気がするぜ！,"Ах, вот теперь я точно вспомнил.{n}Кумасава‐сан всегда ведь была такой.{n}Думаю, она тоже всячески разыгрывала меня, когда я был моложе!","Ahhhh, agora eu me lembro perfeitamente.{n}A Kumasawa‐san sempre foi assim, não?{n}Acho que me lembro dela me enganado sobre um monte de coisas quando eu era menor!",啊——，我完全想起來了。{n}熊澤婆婆就是這種角色！{n}記得我小時候也被她騙了不少次！,啊——，我完全想起来了。{n}熊泽婆婆就是这种角色！{n}记得我小时候也被她骗了不少次！,"Ahhhh, sekarang aku ingat betul.{n}Kumasawa-san memang selalu suka bercanda seperti ini, ya?{n}Aku ingat dulu sering ditipunya juga!","Ahh--, ora ricordo perfettamente. Kumasawa-san era sempre stata così, vero? Credo che abbia ingannato in diversi modi anche me quando ero piccolo!","Ahh, ora ricordavo perfettamente! Kumasawa-san era fatta così! Sono sicuro che quand'ero piccolo sono stato fregato un sacco di volte da lei!","Ahhhh, şimdi çok iyi hatırlıyorum.{n}Kumasawa-san hep böyle biriydi, değil mi?{n}Sanırım ben de küçükken beni her türlü konuda kandırdığını hatırlıyorum!"
,"The most lethal has gotta be that one! Those flimsy black things in Chinese dishes! They're kikurage mushrooms! She told me they were penguin meat and I went all around school like a smartass telling everyone, didn't I?! ","Amongst all of them, the most painful must have been that one!{n}That flimsy black stuff you get in Chinese food! Kikurage mushrooms!{n}She told me it was penguin meat and I went all around school like a smartass telling everyone, didn't I?!","Amongst all of them, the most lethal must have been that one! That flimsy black thing in the Chinese dish! It was a {c:86EF9C:kikurage} mushroom! She told me it was penguin meat and I went all around school like a smartass telling everyone, didn't I?!",中でも致命的なのはアレだ！　中華料理に入ってる黒いヘロヘロ！　キクラゲだよ！　あれのこと、ペンギンの肉って吹き込まれて、俺、得意げに学校で言いふらしてたんだぜー？！,中でも致命的なのはアレだ！{n}中華料理に入ってる黒いヘロヘロ！　キクラゲだよ！{n}あれのこと、ペンギンの肉って吹き込まれて、俺、得意げに学校で言いふらしてたんだぜー？！,"Наиболее убойным из розыгрышей был, наверное, тот самый!{n}Та хрупкая чёрная вещь в китайском блюде! Это был гриб кикураге!{n}Она же сказала мне, что это было мясо пингвина, и я, разгуливая по школе с умным видом, говорил всем это!","Entre todas as mentiras, essa deve ter sido a mais dolorosa!{n}Aquela coisa preta e delgada que você encontra na comida chinesa! Cogumelos kikurage! Ela me disse que aquilo era carne de pinguim, e eu andei por toda escola, me achando inteligente e contando para todo mundo, não foi?!",這當中最過分的是！{n}中華料理中有的那種黑黑的軟軟的！沒錯就是木耳！{n}她居然告訴我那是企鵝肉，我當時還得意地在學校大說特說來著！,这当中最过分的是！{n}中华料理中有的那种黑黑的软软的！没错就是木耳！{n}她居然告诉我那是企鹅肉，我当时还得意地在学校大说特说来着！,"Yang paling menyebalkan adalah tentang itu!{n}Bahan hitam tipis dalam makanan Cina! Jamur kuping!{n}Dia bilang itu daging penguin dan aku menyombongkannya ke semua teman sekelas, kan?!","Tra tutti, il più letale dev'essere stato quello! Quella sottile cosa nera nel piatto Cinese! Era un fungo {c:86EF9C:kikurage}! Lei mi disse che si trattava di carne di pinguino e io girai tutta la scuola come un asino dicendolo a tutti, no?!","La peggiore fra tutte fu quella storia! Quella sul cibo flaccido e nero che si trova nella cucina cinese! Erano funghi kikurage! Mi bisbigliò che si trattava di carne di pinguino, e io andai in giro per la scuola a dirlo a tutti!","Hepsi arasında en acı verici olanı bu olsa gerek!{n}Çin yemeklerinde satılan şu dayanıksız siyah şey! Kikurage mantarları!{n}Bana penguen eti olduğunu söylemişti ve ben de ukala gibi bütün okulu dolaşıp herkese anlatmıştım, değil mi?!"
Ushiromiya Battler,"""Kumasawa baa-chan, you sure haven't changed...! You know Maria's gonna believe it now, right?"" ","""Kumasawa baa‐chan, you sure haven't changed...! You know Maria's gonna believe now, right?""","""Kumasawa baa-chan, you sure haven't changed...! You know Maria's gonna believe now, right?""",「熊沢の婆ちゃん、相変わらずだなぁ…！　真里亞が信じちゃうだろー？」,[=JP],"""Бабуля Кумасава, ты нисколечко не изменилась!.. Ты же знаешь, что Мария тебе поверит, верно?""","""Kumasawa baa‐chan, você nunca muda...! Você sabia que a Maria ia acreditar, não é mesmo?""",「熊澤婆婆還是老樣子啊…！真里亞可是真的會相信的哦？」,「熊泽婆婆还是老样子啊…！真里亚可是真的会相信的哦？」,"""Kumasawa baa-chan, kau memang tidak berubah...! Kau tahu Maria akan mempercayaimu, kan?""","""Kumasawa baa-chan, di certo non sei cambiata...! Sai che Maria adesso ci crederà, vero?""","""Vecchia Kumasawa, non sei cambiata affatto...! Non è che Maria potrebbe crederci?""","""Kumasawa baa-chan, hiç değişmemişsin...! Maria'nın bunu ciddiye alacağını biliyorsun, değil mi?"""
Kumasawa Chiyo,"""Hohohoh, it's just a joke. Now Gohda-san's going to tell us what the sauce really is, won't he?"" ","""Hoh‐hoh‐ho, it's just a joke! Gohda‐san will tell you what the sauce is in just a moment!""","""Hoh-hoh-ho, it's just a joke, right? Now, Gohda will tell us what the sauce's true nature is, won't he?""",「ほっほっほ、冗談ですよ？　今から郷田さんがソースの正体を教えてくれますからねぇ？」,[=JP],"""Хо‐хо‐хо, да шучу я. А теперь, Года‐сан, почему бы тебе не поведать об истинном составе этого соуса?""","""Hoh‐hoh‐ho, foi só uma piada! O Gohda‐san vai nos contar agora do que é feito o molho!""",「嚯嚯嚯，開玩笑的啦。接下來鄉田就會把這醬汁的真實身份告訴大家了喲！」,「嚯嚯嚯，开玩笑的啦。接下来乡田就会把这酱汁的真实身份告诉大家了哟！」,"""Hoh-hoh-ho, hanya bercanda! Gohda-san akan menjelaskan sausnya sebentar lagi!""","""Hoh-hoh-ho, è solo uno scherzo, giusto? Ora, Gohda ci dirà la vera natura della salsa, no?""","""Ohohohoh, non si vede che sto scherzando? Adesso Gouda ci dirà i veri ingredienti della salsa, no?""","""Hoh-hoh-ho, bu sadece bir şaka! Gohda-san birazdan sosun ne olduğunu söyleyecek!"""
,"Gohda looked a little put off about his masterpiece being laughed at for such a bizarre reason, but after clearing his throat once, he introduced the dessert to us. ","Gohda‐san looked a little put out from having his masterpiece laughed at in such a strange way, but after clearing his throat once, he introduced the dessert to us.","Gohda looked a little put off about his masterpiece being laughed at in such a strange way, but after clearing his throat once, he introduced the dessert to us.",郷田さんは自分の自信作を怪しげに笑われてちょっとだけ不満そうだったが、咳払いをひとつしてからデザートの紹介をしてくれた。,[=JP],"Года выглядел слегка уязвлённым, что над его шедевром шутят столь странным образом, но, прочистив горло, он приступил к описанию приготовленного им десерта.","O Gohda‐san parecia um pouco rancoroso por terem rido de sua obra prima com algo tão estranho, mas após limpar sua garganta, ele nos apresentou sua sobremesa.",鄉田雖然因自己的自信作被大家當笑話而有些不滿，但故意咳嗽了一聲後，還是為我們介紹起了甜點。,乡田虽然因自己的自信作被大家当笑话而有些不满，但故意咳嗽了一声后，还是为我们介绍起了甜点。,"Gohda-san terlihat sedikit kesal karena karyanya ditertawakan dengan cara aneh, tapi setelah membersihkan tenggorokannya, dia mulai memperkenalkan dessert.","Gohda sembrava un po' scontento per le risate rivolte al suo capolavoro in quella strana maniera, ma dopo essersi schiarito la voce, ci presentò il dessert.","Le risate di sospetto rivolte al suo capolavoro sembravano rendere Gouda leggermente scontento, ma una volta schiaritosi la voce, ci presentò il dessert.","Gohda-san, başyapıtına bu kadar garip bir şekilde gülünmesinden dolayı biraz keyfi kaçmış gibi görünüyordu, ama boğazını bir kez temizledikten sonra bize tatlıyı tanıttı."
