Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Nanjo Terumasa,"""Even the elderly would wish to decline."" ","""Even old people would wish to decline.""",[=UP],「年寄りも遠慮したいところですな。」,「年寄りも遠慮したいところですな」,"""Даже старики бы воздержались.""","""Até mesmo os idosos iriam rejeitar.""",「老年人也不必費心了吶。」,「老年人也不必费心了呐。」,"""Persino gli anziani rifiuterebbero.""","""Anche gli anziani declinerebbero.""","""Yaşlı insanlar bile bunu reddetmek isteyecektir."""
Kumasawa Chiyo,"""Hohohohoh! But it's delicious, you know?"" ","""Hoh‐hoh‐hoh‐ho! But it's delicious!""","""Hoh-hoh-hoh-ho! But it's delicious?""",「ほっほっほっほ！　おいしいんですけどねぇ？」,[=JP],"""Хо‐хо‐хо‐хо! Но ведь вкусно же?""","""Hoh‐hoh‐hoh‐ho! Mas é delicioso, sabiam?""",「嚯嚯嚯嚯！很好吃的哦？」,[=CHT],"""Hoh-hoh-hoh-ho! Ma non è delizioso?""","""Ohohohoh! Ma non è squisito?""","""Hoh-hoh-hoh-ho! Ama çok lezzetli!"""
,Kumasawa was really cheering up the mood with her classic mackerel jokes. ...But the sound of the downpouring rain kept turning their attention towards the mystery guest. ,Kumasawa was really raising the mood with the mackerel jokes that were her specialty. ...But the sound of the downpouring rain invariably focused their concern on the mystery guest.,"Kumasawa was really raising the mood with the mackerel jokes that were her specialty....But no matter what happened, the sound of the downpouring rain focused their concern on the mystery guest.",熊沢は十八番の鯖ネタでよく場の雰囲気を盛り上げてくれた。…しかし降りしきる雨の音は、どうしても彼らの関心を、謎の来客に向けてしまうのだった。,[=JP],"Кумасава действительно поднимала настроение своими шутками про скумбрию, в которых она была особенно хороша. ...Но несмотря ни на что, звук проливного дождя настойчиво возвращал их мысли к таинственной гостье.","Kumasawa estava realmente melhorando o humor com as piadas de cavalinha, que eram sua especialidade. ...Mas o som da chuva torrencial que caía invariavelmente focava a preocupação deles na hóspede misteriosa.",熊澤用她拿手的鯖魚笑話，漂亮地搞熱了氣氛。…可一刻不停的雨聲，卻使他們不由自主地在意起了那位謎一樣的客人。,熊泽用她拿手的鲭鱼笑话，漂亮地搞热了气氛。…可一刻不停的雨声，却使他们不由自主地在意起了那位谜一样的客人。,"Kumasawa stava alzando di molto l'umore con gli scherzi sullo sgombro che erano la sua specialità. ... Ma non importa che che sarebbe successo, il rumore della pioggia li faceva concentrare sulla preoccupazione riguardo al misterioso ospite.","Grazie alle battute sullo sgombro, che erano la sua specialità, Kumasawa stava risollevando di molto l'umore della stanza... Tuttavia, il rumore della pioggia incessante inevitabilmente volgeva i loro pensieri alla visitratrice misteriosa.","Kumasawa, uzmanlık alanı olan uskumru şakalarıyla ortamı gerçekten neşelendiriyordu. ...Ancak sağanak yağmurun sesi tüm dikkatlerini gizemli konuğa yöneltiyordu."
,"In the end, they showered Maria with questions again, since she was the only person here to have met {f:5:Beatrice}. ","In the end, they ended up showering Maria with questions again, since she was the only person here to have met {f:5:Beatrice}."," In the end, they ended up showering Maria with questions again, since she was the only person here to have met Beatrice.",結局、この中で唯一ベアトリーチェに会ったという真里亞は再び質問攻めになるのだった。,[=JP],"В итоге они снова засыпали Марию, единственного человека среди них, повстречавшего {f:5:Беатриче}, вопросами.","No fim, eles acabaram questionando Maria de novo, já que ela era a única pessoa entre eles a ter encontrado {f:5:Beatrice}.",結果，這之中唯一見過貝阿朵莉切的真里亞，又一次成為了大家提問攻勢的中心。,结果，这之中唯一见过贝阿朵莉切的真里亚，又一次成为了大家提问攻势的中心。,"Alla fine, finirono per tempestare nuovamente di domande Maria, siccome era l'unica persona ad aver incontrato Beatrice.","Alla fine, finirono per tempestare nuovamente di domande Maria, l'unica lì in mezzo ad aver incontrato {f:5:Beatrice}.","Neticede, burada {f:5:Beatrice} ile tanışan tek kişi olduğu için Maria'yı yine soru yağmuruna tuttular."
Ushiromiya George,"""......I can't believe...she was actually telling the truth."" ",""".........I never believed...that story was true.""",""".........I can't believe, ...that story was true.""",「………まさか、…あの話が本当だったとはね。」,「………まさか、…あの話が本当だったとはね」,""".........Мне до сих пор не верится... что эта история оказалась правдой.""",""".........Eu não consigo acreditar...que ela estava realmente dizendo a verdade.""",「………真沒想到，…那些話竟會是真的。」,「………真没想到，…那些话竟会是真的。」,"""... Non posso crederci... quella storia era vera.""","""...Non posso crederci... Quella storia era vera.""",""".........Bu hikayenin doğru olabileceğine...hiç inancım yoktu."""
Ushiromiya Battler,"""You make it sound like, though you never believed it, this ""Maria meets a witch"" business isn't news to you."" ","""From the way you say that, it sounds like this wasn't the first time you heard that Maria was meeting a witch, even if you didn't believe it.""","""From the way you say that you didn't believe, it sounds like this isn't the first time you've heard of this witch Maria says she met.""",「その口ぶりだと、真里亞が魔女に会ってたって話は、信じてなかったまでにも初耳じゃねぇってことらしいな。」,「その口ぶりだと、真里亞が魔女に会ってたって話は、信じてなかったまでにも初耳じゃねぇってことらしいな」,"""Судя по твоим словам, похоже, ты уже не в первый раз слышишь об этой ведьме, о встрече с которой толкует Мария.""","""Do jeito que você fala, esse negócio da ""Maria encontra uma bruxa"" não é novidade para você, por isso nunca acreditou nela.""",「聽你們這口氣，真里亞說的碰見過魔女這事，就算你們不信，但也不是第一次聽說了吧。」,「听你们这口气，真里亚说的碰见过魔女这事，就算你们不信，但也不是第一次听说了吧。」,"""Dal modo in cui dici di non crederci, sembra che non sia la prima volta che hai sentito di questa strega che Maria dice di aver incontrato.""","""Da come parli, sembra che non sia la prima volta che senti di Maria che incontra una strega, anche se non ci hai mai creduto.""","""Söylediklerinize bakılırsa, inanmıyor olsanız bile Maria'nın bir cadıyla buluştuğunu ilk kez duymuyormuşsunuz gibi duruyor."""
Ushiromiya Jessica,"""...Yeah. I thought it was just one of those fairy tales you'd expect from a dreamy kid that age."" ","""...Yeah. I thought it was a pretty typical fairy tale for people of that imaginative age.""","""...Yeah. I thought it was a pretty common fairy tale for people of that imaginative age.""",「…あぁ。夢見がちなお年頃の、よくあるおとぎ話くらいに思ってたぜ。」,「…あぁ。夢見がちなお年頃の、よくあるおとぎ話くらいに思ってたぜ」,"""...Да. Я думала, что это такая сказка для людей с богатым воображением.""","""...Sim. Eu pensei que era um desses típicos contos de fadas que a gente espera ouvir de uma criança sonhadora.""",「…嗯。我們還以為，那只是愛幻想的小孩常說的那種，傳說故事之類的嘞。」,「…嗯。我们还以为，那只是爱幻想的小孩常说的那种，传说故事之类的嘞。」,"""... Già. Ho pensato fosse una favola comune per persone di quell'età fantasiosa.""","""...Già. Pensavo fosse una storiella tipica di bambini di quell'età pieni di fantasia.""","""...Evet. O yaştaki hayal gücü geniş çocuklar için oldukça tipik bir peri masalı olduğunu düşünmüştüm."""
Ushiromiya Maria,"""She exists!! {f:5:Beatrice} ""exists""! Every year, when we come to the family conference, I meet her and we play together!"" ","""Exiiists!! {f:5:Beatrice} ""exiiists""! Every year when we come to the family conference, I see her and we play together!""","""Exi-sts!! Beatrice 'exi-sts'! Every year, when we come to the family conference, she meets with Maria, and we play together!""",「いるー！！　ベアトリーチェは“い”るー！　毎年、親族会議に来る度に、真里亞は会って、一緒に遊んでた！」,[=JP],"""Е‐е‐есть! {f:5:Беатриче} 'е‐е‐есть'! Каждый год, когда мы приезжаем на собрание семьи, она встречает Марию, и мы вместе играем!""","""Exiiiste!! A {f:5:Beatrice} ""exiiiste""! Todo ano, quando chegamos para a conferência familiar, a Maria encontra ela e brincamos juntas!""",「有的——！！貝阿朵莉切是“有”的——！每年來參加親族會議的時候，她都有在和真里亞碰面，還有在一起玩的！」,「有的——！！贝阿朵莉切是“有”的——！每年来参加亲族会议的时候，她都有在和真里亚碰面，还有在一起玩的！」,"""Esis-te!! Beatrice ‘esis-te’! Ogni anno, quando veniamo alla conferenza di famiglia, lei si incontra con Maria, e giochiamo insieme!""","""Esisteee!! {f:5:Beatrice} {i:esisteee}! Ogni anno che vengo alla riunione di famiglia ci incontriamo e giochiamo insieme!""","""Gerçeekk!! {f:5:Beatrice} ""gerçeekk""! Her yıl aile konferansına geldiğimizde Maria onu görüyor ve birlikte oynuyoruz!"""
Kumasawa Chiyo,"""That's right. Although {f:5:Beatrice}-sama doesn't usually show herself, I hear she sometimes unexpectedly appears before honest people with clean hearts. Hohohoh."" ","""That's right. Although {f:5:Beatrice}‐sama doesn't usually show herself, I hear that she sometimes unexpectedly appears before honest people with clean hearts, to play pranks. Hoh‐hoh‐ho.""","""That's right. Although Beatrice-sama doesn't usually show herself, I hear that she sometimes unexpectedly does so before honest people with clean hearts. Hoh-hoh-ho.""",「そうですねぇ。ベアトリーチェさまは、普段は姿をお見せになりませんけど、心が綺麗で素直な方の前には、ひょっこり姿を現してイタズラをすることもあるそうですからねぇ。ほっほっほ。」,「そうですねぇ。ベアトリーチェさまは、普段は姿をお見せになりませんけど、心が綺麗で素直な方の前には、ひょっこり姿を現してイタズラをすることもあるそうですからねぇ。ほっほっほ」,"""Совершенно верно. Хотя {f:5:Беатриче}‐сама обычно не показывает себя, я слышала, что она может неожиданно возникнуть перед людьми с чистыми сердцами. Хо‐хо‐хо.""","""Isso mesmo. Apesar da {f:5:Beatrice}‐sama normalmente não se mostrar, eu ouvi dizer que às vezes ela aparece inesperadamente diante de pessoas honestas e com corações puros, para pregar peças. Hoh‐hoh‐ho.""",「是呀。據說這貝阿朵莉切夫人，雖然平時不會在他人面前展露身姿，但是在心靈純潔誠實的人面前，夫人有時是會突然間冒出來，搞搞怪的哦。嚯嚯嚯。」,「是呀。据说这贝阿朵莉切夫人，虽然平时不会在他人面前展露身姿，但是在心灵纯洁诚实的人面前，夫人有时是会突然间冒出来，搞搞怪的哦。嚯嚯嚯。」,"""Esatto. Sebbene Beatrice-sama di solito non si mostra, ho sentito che spesso lo fa inaspettatamente dinanzi a persone oneste con cuori puri. Hoh-hoh-ho.""","""Esatto. Sebbene di solito {f:5:Beatrice}‐sama non si palesa agli altri, ho sentito che a volte appare all'improvviso davanti a persone oneste dal cuore puro, e che gioca degli scherzetti su di loro. Ohohoh.""","""Bu doğru. {f:5:Beatrice}-sama her ne kadar genellikle kendini göstermese de, bazen eşek şakaları yapmak için beklenmedik bir şekilde temiz kalpli ve dürüst insanların karşısına çıktığını duymuştum. Hoh-hoh-ho."""
,"""{f:5:Beatrice}"" referred to that character in the fairy tale about the Rokkenjima witch. ",{f:5:Beatrice} was a name which referred to the being in that fairy tale about the Rokkenjima witch.,Beatrice was a name which referred to the being in that fairy tale about the Rokkenjima witch.,ベアトリーチェは、六軒島の魔女というおとぎ話の中の存在を指し示す名前だ。,[=JP],"{f:5:Беатриче} было имя, принадлежащее созданию из легенды о ведьме Роккенджимы.",{f:5:Beatrice} era um nome que se referia àquela personagem do conto de fadas a respeito da bruxa de Rokkenjima.,貝阿朵莉切這名字，指的是六軒島魔女的傳說故事中的存在。,贝阿朵莉切这名字，指的是六轩岛魔女的传说故事中的存在。,Beatrice era un nome che si riferiva all'essere di quella favola sulla strega di Rokkenjima.,{f:5:Beatrice} era un nome usato per riferirsi alla creatura delle favole sulla strega di Rokkenjima.,"{f:5:Beatrice}, Rokkenjima cadısıyla ilgili peri masalındaki varlığa atıfta bulunan bir isimdi."
,"To keep Kinzo in a good mood, the family and servants acted as though they believed in the witch of his delusions. That's how Rokkenjima's fairy tale...or maybe ghost story...had come into being... ","Because the family and the servants publicly accepted the image of the witch of Kinzo's delusions to keep him in a good mood, it became established as Rokkenjima's fairy tale, or maybe ghost story..."," Because the family and the servants publicly accepted the image of the witch of Kinzo's delusions to keep him in a good mood, the Rokkenjima fairy tale, or maybe ghost story, was formed...",金蔵がずっと妄想してきた魔女像は、家人や使用人たちが金蔵のご機嫌取りをするために、肯定し吹聴していったため、六軒島のおとぎ話、あるいは怪談として確立していった…。,[=JP],"Поскольку семья и прислуга публично признали образ ведьмы из фантазий Кинзо для поддержания у того хорошего настроения, так возникла легенда Роккенджимы или даже история о призраке...","Para manterem Kinzo de bom humor, a família e os serviçais agiam como se acreditassem na bruxa e nas delusões dele. Foi assim que surgiu o conto de fadas de Rokkenjima, ou quem sabe sua história de fantasmas...",家人與傭人們為了討老爺子開心，對這金藏一直幻想著的魔女形象，予以肯定、大肆宣揚。因而最終，它成為了六軒島的傳說故事，又或者說是怪談…。,家人与佣人们为了讨老爷子开心，对这金藏一直幻想着的魔女形象，予以肯定、大肆宣扬。因而最终，它成为了六轩岛的传说故事，又或者说是怪谈…。,"Siccome la famiglia e i domestici accettarono pubblicamente l'immagine della strega dei deliri di Kinzo per tenerlo di buon umore, la favola di Rokkenjima, o forse la storia di fantasmi, nacque...","Per ingraziarsi il favore di Kinzo, i familiari e i domestici contribuivano a diffondere la storia della strega, su cui lui fantasticava continuamente, dando così forma alla favola di Rokkenjima, o forse, al suo racconto dell'orrore...","Aile ve hizmetkârlar, Kinzo'yu iyi bir ruh halinde tutabilmek için kuruntularındaki cadı imajını kabul ettikleri için, bu imaj Rokkenjima'nın peri masalı ya da belki de hayalet hikâyesi olarak anılmaya başlandı..."
,"To the family members who knew that backstory, the fairy tale of the Golden Witch wasn't something to be taken too seriously. ...However, they were never able to say that out loud in front of Kinzo. ","To the family members who knew that history, the fairy tale of the Golden Witch didn't have much substance. ...However, they hadn't been able to say that in front of Kinzo."," To the family members who knew those details, the fairy tale of the Golden Witch was only a vague thing....However, in front of Kinzo, they hadn't been able to say that.",そういう経緯を知る家人たちにとっては、黄金の魔女のおとぎ話は希薄なものでしかない。…しかし、金蔵の手前、彼らはそれを口にできなかった。,[=JP],"Для членов семьи, знающих подробности, легенда о Золотой Ведьме была весьма сомнительной вещью. ...Однако перед Кинзо они не смели сказать об этом.","Para os membros da família que conheciam essa história, o conto de fadas da Bruxa Dourada não tinha muita substância. ...Porém, eles nunca haviam sido capazes de dizer isso na frente de Kinzo.",對知道此事原委的家裡人來說，黃金魔女的傳說故事只是個虛無縹緲的東西。…只是，在金藏跟前，他們無法將之說出口。,对知道此事原委的家里人来说，黄金魔女的传说故事只是个虚无缥缈的东西。…只是，在金藏跟前，他们无法将之说出口。,"Per i membri della famiglia che conoscevano questi dettagli, la storia della Strega Dorata era solo una cosa vaga. ... Tuttavia, di fronte a Kinzo, non furono capaci di dire ciò.","Per i membri della famiglia che conoscevano questi dettagli, la storia della Strega Dorata non era che una semplice fiabetta... Ma non potevano dirlo davanti a Kinzo.",Bu geçmişi bilen aile üyeleri için Altın Cadı masalının pek bir önemi yoktu. ...Ancak bunu Kinzo'nun önünde söyleyemezlerdi.
