Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,"Genji and Kanon sat in some chairs a short distance away, their eyes lightly closed. ","Genji and Kanon sat in some chairs a short distance away, their eyes lightly closed."," Genji and Kanon sat in some chairs a short distance away, their eyes lightly closed.",源次と嘉音は、少し離れたところにある椅子に座り、軽く目を閉じていた。,[=JP],Генджи и Канон сидели в креслах неподалёку с чуть закрытыми глазами.,"Genji e Kanon sentaram em cadeiras com uma pequena distância entre eles, seus olhos já estavam parcialmente fechados.",源次和嘉音，坐在不遠處的椅子上，輕輕閉著眼睛。,源次和嘉音，坐在不远处的椅子上，轻轻闭着眼睛。,"Genji e Kanon sedevano in alcune sedie a poca distanza da Kumasawa, con gli occhi socchiusi.","Genji e Kanon si misero su delle sedie vicine fra loro, e socchiusero gli occhi.","Genji ve Kanon az ötedeki sandalyelere oturmuş, gözlerini hafifçe kapatmışlardı."
,"Just as Kumasawa had said, those two had probably built up a great deal of fatigue. ","Just as Kumasawa had said, those two had probably built up a great deal of fatigue."," Just as Kumasawa had said, those two had probably built up a great deal of fatigue.",熊沢の言う通り、二人とも疲労が溜まっているのだろう。,[=JP],"Как и сказала Кумасава, эти двое, вероятно, накопили очень много усталости.","Assim como a Kumasawa havia dito, aqueles dois provavelmente já tinham desenvolvido uma grande fadiga.",就如熊澤所說，兩人應該都已疲憊不堪。,就如熊泽所说，两人应该都已疲惫不堪。,"Proprio come aveva detto Kumasawa, quei due si erano probabilmente affaticati molto.","Proprio come aveva detto Kumasawa, i due probabilmente avevano accumulato molta stanchezza.","Kumasawa'nın söylediği gibi, bu ikisi muhtemelen büyük bir yorgunluk biriktirmişlerdi."
,But that didn't mean they could let it show in front of the relatives. ,But that didn't mean they could let it show in front of the relatives., But that didn't mean they could let it show in front of the relatives.,だからと言って、親族たちの前でそれを見せることはできない。,[=JP],"Но это не значило, что они могли показывать её перед теми, кому они прислуживали.",Mas isso não significava que eles poderiam demonstrar isso em frente à família.,就算這樣，他們也不會讓親族們看到這副模樣。,就算这样，他们也不会让亲族们看到这副模样。,Ma questo non significava che avrebbero mostrato quella fatica di fronte agli ospiti.,"Ciononostante, non potevano darlo a vedere davanti ai parenti.","Ama bu, akrabaların önünde bunu gösterecekleri anlamına gelmiyordu."
,...Avoiding that was one of their virtues. ,...Avoiding that was one of their virtues.,[=UP],…それが彼らの美徳だった。,[=JP],...Недопущение подобного было одним из их достоинств.,...Evitar isso era uma das suas virtudes.,…這就是他們堅守的美德。,…这就是他们坚守的美德。,... Evitare ciò era una delle loro virtù.,Non li si addiceva.,...Bundan kaçınmak onların erdemlerinden biriydi.
,"After the silence had continued for some time, ......Kanon opened his mouth and muttered. ","After the silence had continued for some time, .........Kanon opened his mouth and muttered."," After the silence had continued for some time, .........Kanon opened his mouth and muttered.",しばらくの間、沈黙が続いた後、………嘉音がぽつりと口にした。,[=JP],"После того, как тишина продолжилась некоторое время... Канон открыл рот и пробормотал.","Depois do silêncio que perdurou por algum tempo, .........Kanon abriu a boca e murmurou.",許久的沉默之後，………嘉音忽然低聲說道。,许久的沉默之后，………嘉音忽然低声说道。,Dopo che il silenzio continuò per un po' di tempo... Kanon aprì la bocca e sussurrò.,Dopo che il silenzio proseguì per un po'... Kanon mormorò qualcosa.,"Sessizlik bir süre daha devam ettikten sonra, .........Kanon ağzını açtı ve mırıldandı."
Kanon,""".........Shannon... ......Why...did she have to die in such a horrible way...?"" ","""...............Shannon... ...............Why...did she have to die in such a horrible way...?""","""...............Shannon...............Why..., did she have to die in such a horrible way...?""",「……………紗音…。……………どうして…、あんな酷い死に方を…。」,「……………紗音…。……………どうして…、あんな酷い死に方を…」,"""...............Шаннон... Почему... она должна была умереть таким ужасным образом?..""","""...............Shannon... ...............Por que...ela teve que morrer daquela forma horrível...?""",「……………紗音…。……………為什麼…，她會是那麼淒慘的死法…」,「……………纱音…。……………为什么…，她会是那么凄惨的死法…」,"""... Shannon... perché... doveva morire in un modo così orribile...?""","""...Shannon... Perché... è morta in un modo così orribile...?""","""...............Shannon... ...............Niye...böyle korkunç bir şekilde ölmek zorundaydı...?"""
Ronoue Genji,"""...Forget about the manner of her death. ......It was...nothing more than bad luck."" ","""......Forget about how she died. .........It was nothing more than...bad luck.""",[=UP],「……死に方のことは忘れなさい。………ただ、…運がなかっただけだ。」,「……死に方のことは忘れなさい。………ただ、…運がなかっただけだ」,"""......Забудь о том, как она умерла... Это было не что иное, как... невезение.""","""......Esqueça sobre como ela morreu. .........Não foi nada mais do que...má sorte.""",「……忘了她的死狀吧。………她只是，…不走運而已。」,「……忘了她的死状吧。………她只是，…不走运而已。」,"""... Dimentica com'è morta. ... Non è stata altro che... sfortuna.""","""...Non ricordarti com'è morta... Non è stata altro che... sfortuna.""","""......Onun nasıl öldüğünü unut. .........Şanssızlıktan...başka bir şey değildi."""
Kanon,"""......You're right. ...It was nothing more than bad luck..."" ",""".........You're right. ...It was nothing more than bad luck...""",""".........You're right. ...It was nothing more than bad luck.""",「………そうですね。…ただ、運がなかっただけです…。」,「………そうですね。…ただ、運がなかっただけです…」,""".........Вы правы. ...Это было не что иное, как невезение.""",""".........Você está certo. ...Não foi nada mais além de má sorte...""",「………是啊。…只是，不走運而已…」,「………是啊。…只是，不走运而已…」,"""... Hai ragione. ... Non è stata altro che sfortuna.""","""...Ha ragione... Non è stata altro che sfortuna...""",""".........Haklısın. ...Şanssızlıktan başka bir şey değildi..."""
,They both fell silent once again. ...Kanon's expression was filled with grief. ,They both fell silent once again. ...Kanon's expression was filled with grief.,[=UP],二人は再び沈黙する。…嘉音の表情は悲痛だった。,[=JP],Они вновь погрузились в молчание. ...Выражение Канона было полно скорби.,Ambos ficaram em silêncio mais uma vez. ...A expressão de Kanon estava preenchida pela tristeza.,兩人重歸沉默。…但嘉音的表情悲痛難抑。,两人重归沉默。…但嘉音的表情悲痛难抑。,Entrambi si fecero nuovamente silenziosi. ... Il volto di Kanon era colmo di afflizione.,Entrambi tornarono in silenzio... Il volto di Kanon era pervaso dallo strazio.,İkisi de bir kez daha sessizliğe gömüldü. ...Kanon'un yüz ifadesi kederle doluydu.
Kumasawa Chiyo,"""To think that Shannon-chan's actually dead... I still can't believe it. ...Poor thing... ...Not being able to see her again feels like a lie... I just wanted to see her smiling face one more time..."" ","""To think that Shannon‐chan's actually dead... I still can't believe it. ......Poor, poor Shannon‐chan... ......Not being able to meet her again feels like a lie... I just wanted to see that girl's smiling face one more time...""","""To think that Shannon-chan's actually dead... I still can't believe it. ......Poor, poor Shannon-chan.........Not being able to meet her again feels like a lie... I just wanted to see that girl's smiling face one more time...""",「紗音ちゃんが死んじゃったなんて…。未だに信じられませんよ。……本当に可哀想に…。……もう会えないなんて嘘みたいですよ…。もう一度あの子の笑顔が見たかったのに…。」,「紗音ちゃんが死んじゃったなんて…。未だに信じられませんよ。……本当に可哀想に…。……もう会えないなんて嘘みたいですよ…。もう一度あの子の笑顔が見たかったのに…」,"""......Подумать только, что Шаннон‐чан и вправду мертва... Я всё ещё не могу в это поверить. ......Бедная, бедная Шаннон‐чан... Невозможность встретить её вновь кажется ложью... Я хотела бы просто посмотреть на её улыбающееся лицо хотя бы ещё один раз...""","""E pensar que a Shannon‐chan realmente morreu... Eu ainda não consigo acreditar. ......Coitadinha... ......Não poder ser capaz de vê‐la de novo parece uma mentira... Eu só queria ver o rosto sorridente daquela criança mais uma vez...""",「紗音竟然已經死了…。老太婆我到現在都沒法相信呀。……真是太可怜了…。……一想到再也見不到她，就覺得這不是真的…。真希望能再看一次那孩子對我笑的模樣啊…」,「纱音竟然已经死了…。老太婆我到现在都没法相信呀。……真是太可怜了…。……一想到再也见不到她，就觉得这不是真的…。真希望能再看一次那孩子对我笑的模样啊…」,"""Shannon è morta... ancora non riesco a crederci. ... Povera, povera Shannon-chan... non riesco a credere che non potrò rivederla... volevo rivedere il volto sorridente di quella ragazza ancora una volta...""","""Pensare che Shannon-chan sia morta... Ancora non riesco a crederci.{n}Sono davvero dispiaciuta per lei... Non riesco a credere che non potrò più rivederla... Avrei voluto vedere il viso sorridente di quella fanciulla per un'altra volta.""","""Shannon-chan'ın gerçekten öldüğünü düşünmek... Buna hâlâ inanamıyorum. ......Zavallı, zavallı Shannon-chan... ......Onunla bir daha konuşamayacak olmak yalan gibi hissettiriyor... Sadece o kızın gülen yüzünü bir kez daha görmek isterdim..."""
,Kumasawa spoke with her back facing them. ,Kumasawa spoke with her back facing them.,[=UP],熊沢は背を向けたまま言う。,[=JP],"Кумасава заговорила, стоя к ним спиной.",Kumasawa falou enquanto estava de costas.,熊澤背對著他們如此說道。,熊泽背对着他们如此说道。,Kumasawa parlò voltata di spalle.,Kumasawa parlò mentre era ancora girata di spalle...,Kumasawa sırtı onlara dönük olarak konuştu.
,"...After all, Kumasawa hadn't seen Shannon's corpse, so she had no trouble mentioning Shannon's face. ","...Kumasawa hadn't seen Shannon's corpse, so she had no trouble mentioning Shannon's face.","...After all, Kumasawa hadn't seen Shannon's corpse, so she had no trouble mentioning Shannon's face.",…紗音の遺体を見ていない熊沢だから、もう一度笑顔が見たいと表情のことを口にできる。,[=JP],"...Так сложилось, что Кумасаве не довелось увидеть труп Шаннон, поэтому у неё не было проблем с воспоминаниями о её лице.","...Kumasawa não tinha visto o corpo de Shannon, por isso ela não via problemas em mencionar o rosto da Shannon.",…因為熊澤沒見過紗音的遺體，所以才說得出“想再看一次她的笑容”這種感慨的話。,…因为熊泽没见过纱音的遗体，所以才说得出“想再看一次她的笑容”这种感慨的话。,"... Dopotutto, Kumasawa non aveva visto il cadavere di Shannon, quindi non aveva problemi nel nominare il volto di Shannon.","Kumasawa potè pronunciare tali parole, perché non aveva visto il cadavere di Shannon...","...Kumasawa Shannon'un cesedini görmemişti, bu yüzden Shannon'un yüzünden bahsetmekte sakınca görmedi."
,"...When Kanon heard those words, it reminded him again of how only half of Shannon's face had been left, and his grieving expression twisted even further... ","...When Kanon heard those words, it reminded him again of how only half of Shannon's face had been left, and his grieving expression twisted even further...",[=UP],…嘉音はその言葉を聞き、半分しか残されなかった紗音の面影を再び思い出し、悲痛な表情をさらに歪めた…。,[=JP],"...Но когда Канон услышал эти слова, то они напомнили ему о том, что у Шаннон осталась только половина лица, и в его лице прибавилось скорби...","...Quando Kanon ouviu aquelas palavras, ele lembrou novamente como apenas metade do rosto de Shannon estava inteiro e sua expressão de luto se contorceu ainda mais...",…嘉音聽到這話，再次回想起紗音只剩下一半的面容，悲痛的表情更加扭曲了…。,…嘉音听到这话，再次回想起纱音只剩下一半的面容，悲痛的表情更加扭曲了…。,"... Quando Kanon udì quelle parole, gli tornò in mente il volto mezzo sfigurato di Shannon, e la sua rabbia crebbe ancora di più...","Quando Kanon le udì, gli tornò di nuovo in mente la metà rimasta del suo volto, e il dolore contorse ancor di più la sua faccia...","...Kanon bu sözleri duyduğunda, Shannon'un yüzünün sadece yarısının kaldığını tekrar hatırladı ve kederli ifadesi daha da kötüleşti..."
Kanon,"""......Why did {f:5:Beatrice}-sama do that to Shannon...? ...If she wanted a sacrifice, there were plenty of others to choose from... ...Why, ...why...?!"" ",""".........Why did {f:5:Beatrice}‐sama do that to Shannon...? ......If she wanted a sacrifice, there were plenty of others to choose from... ......Why... ......Why...?!""",""".........Why did Beatrice do that to Shannon...? ......If she wanted a sacrifice, there were plenty of others to choose from.........Why..., ......why...?!""",「………どうしてベアトリーチェさまは紗音を…。……生贄が欲しかったなら、他にも大勢いただろうに…。……どうして…、……どうして…！」,[=JP],""".........Почему {f:5:Беатриче} сделала это с Шаннон?.. Если она так хотела жертв, то тут было полно других, из кого можно было бы выбрать... Почему... почему?!""",""".........Por que a {f:5:Beatrice}‐sama fez aquilo com a Shannon...? ......Se ela queria um sacrifício, tinham muitos outros para escolher... ......Por quê...? ......Por quê...?!""",「………為什麼貝阿朵莉切夫人要把紗音…。……想要活祭的話，除她之外明明還有那麼多人…。……為什麼…？……為什麼…！」,「………为什么贝阿朵莉切夫人要把纱音…。……想要活祭的话，除她之外明明还有那么多人…。……为什么…？……为什么…！」,"""... Perché Beatrice ha fatto questo a Shannon...? ... Se proprio desiderava un sacrificio, c'erano un sacco di persone fra cui scegliere... perché... perché...?!""","""...Perché {f:5:Beatrice}-sama ha fatto questo a Shannon...? Se desiderava un sacrificio, c'erano molte altre persone... Perché... Perché...?!""",""".........{f:5:Beatrice}-sama Shannon'a bunu neden yaptı...? ......Eğer bir kurban istiyorsa, seçebileceği bir sürü kurban vardı... ......Neden... ......Neden...?!"""
Ronoue Genji,"""......It was nothing more than bad luck. ...If we were less lucky, you or I might have been lying out there instead of Shannon. ",""".........It was nothing more than bad luck. ...If chance had fallen even slightly differently, it could have been me or you lying out there.""",""".........It was nothing more than bad luck. ...If we were less lucky, one of us could have been lying out there.",「………ただ、運が悪かっただけだ。…少しの運が違えば、紗音の代わりにあそこに横たわっていたのは、私だったかもしれないしお前だったかもしれない。,「………ただ、運が悪かっただけだ。…少しの運が違えば、紗音の代わりにあそこに横たわっていたのは、私だったのかもしれないしお前だったのかもしれない」,""".........Это было не что иное, как невезение. ...Если бы мы были чуточку менее удачливы, то один из нас тоже бы мог лежать там.""",""".........Não foi nada mais do que má sorte. ...Se a sorte tivesse sido um pouco diferente, poderia ser você a estar deitado lá fora agora ou até mesmo eu.""",「………只是，運氣不好而已。…假如命運稍有不同的話，代替紗音倒在那裡的，說不定就是我，也可能是你。」,「………只是，运气不好而已。…假如命运稍有不同的话，代替纱音倒在那里的，说不定就是我，也可能是你。」,"""... Non è stata altro che sfortuna. ... Se non fossimo tanto fortunati, al posto di Shannon ci saremmo potuti essere tu o io stesi lì a terra.","""...Non è stata altro che una cattiva sorte... Se fossimo stati meno fortunati, al posto di Shannon ci saremmo potuti essere io o te stesi lì a terra.""",""".........Bu şanssızlıktan başka bir şey değildi. ...Eğer kader biraz daha farklı gelişseydi, orada yatan ben de sen de olabilirdik."""
Ronoue Genji,"Or it could have been someone else entirely. ...Everything is left to fate."" ","""Or even someone else. ......Everything is left to fate."""," And it could have been anyone else. ......Everything is left to fate.""",あるいは他の誰かだったのかもしれない。……全ては運命だ。」,「あるいは他の誰かだったのかもしれない。……全ては運命だ」,"""И это мог быть кто‐либо другой. ......Всё оставлено на милость судьбы.""","""Ou talvez outra pessoa. ......Tudo fica a cargo do destino.""",「又或者，其他的每個人都有可能。……這都是命運。」,「又或者，其他的每个人都有可能。……这都是命运。」,"O chiunque altro. ... Tutto è in mano al fato.""","""O avrebbe potuto essere chiunque altro... Tutto è in mano al fato.""","""Ya da bambaşka biri. ......Her şey kadere kalmış."""
Kanon,"""Genji-sama, ......you said the door to Madam's room was stained with traces of something like blood, right...? The same substance that was painted on the shutter?"" ","""Genji‐sama. .........You said that the door to Madam's room was stained with traces of something like blood, right...? The same substance that was painted on the shutter?""","""Genji-sama. .........You said that the door to Madam's room was stained with traces of something like blood, right...? The same substance that was painted on the shutter?""",「源次さま。………奥様の部屋の扉に、血のような跡が付いていたと仰っていましたね…？　シャッターに描かれていたのと同じもので？」,[=JP],"""Генджи‐сама. .........Вы сказали, что дверь в комнату мадам была запятнана чем‐то вроде крови, так?.. Та же субстанция была и на подъёмной двери?""","""Genji‐sama. .........Você disse que a porta do quarto da madame estava com traços de algo que parecia ser sangue, certo...? Foi a mesma substância usada para pintar o {i:shutter}?""",「源次先生。………聽您說過在太太房間的門上，有著像血一樣的痕跡…？那個和畫在捲閘門上的是同樣的嗎？」,「源次先生。………听您说过在太太房间的门上，有着像血一样的痕迹…？那个和画在卷闸门上的是同样的吗？」,"""Genji-sama. ... Hai detto che la porta di Madame era sporca di tracce di qualcosa tipo sangue, giusto...? O comunque della stessa sostanza dipinta sulla serranda?""","""Genji-sama... Lei ha affermato che la porta della stanza della madame era sporca di tracce che ricordavano del sangue, giusto...? Erano la stessa sostanza del disegno sulla serranda?""","""Genji-sama. .........Madam'ın odasının kapısında kan gibi bir şeyin izleri olduğunu söylemiştin, değil mi...? Kepengin üzerine boyanmış olan maddeyle aynı mı?"""
