Speaker,PC Japanese (JP)
Ushiromiya Maria,「……どうして縁寿は、真里亞が幸せじゃないと思うの？」
Ushiromiya Ange,「…………客観的に判断してよ。」
Ushiromiya Maria,「客観的に、縁寿の主観で、だね？」
Ushiromiya Ange,「…………………。……真実は、私にとってと真里亞お姉ちゃんにとってで、異なると言いたいの？」
Ushiromiya Maria,「真実は、観測者によって形を変えるよ。そして、未来の観測者が常に、その形状を上書きする。………縁寿は、真里亞の幸せを、どうしたいの…？」
Ushiromiya Ange,「…………………………。」
,日記のページがますますにすごい速度でめくれていく…。そして日記の奥深くより眩い光が溢れ出し……、全てを飲み込んで白で塗り潰した。
Ushiromiya Rosa,「………ごめんね、真里亞。ママね、緊急に片付けなきゃならない仕事が山積みで、ちょっと会社に缶詰にならなきゃならないの。……多分、明後日の深夜まで家に帰れないわ。」
Ushiromiya Maria,「……うー。……じゃあ、日曜日の一緒に映画を見に行く約束は……？」
Ushiromiya Rosa,「映画…？　えっと、」
,楼座の口調からは、明らかにその約束を忘れていた様子がうかがえた。
,しかし、それに対する真里亞の返事は、それを聞いたことを詫びるものだった…。
,…………ごめんなさい。
,それを聞いて母を困らせてしまったことを、真里亞は謝る……。
Ushiromiya Maria,「………真里亞、お留守番してる。ちゃんとお行儀良く待ってる。……毎日お風呂に入って新しい肌着にするよ。
Ushiromiya Maria,…お金の場所もわかってる。………毎日違うお店に行くようにする。あんまり遅い時間に出掛けないようにする。お巡りさんに聞かれたら、ママのお使いですって言うようにする。……ちゃんとママに言われた通りに言うようにする。」
Ushiromiya Rosa,「………………………。……そうね。ちゃんといい子にしてるのよ。そしたら、お土産を買ってきてあげるわ。いい？　夜は９時までに寝るのよ。ママが帰ってこないなんて、先生にも大人にも言っちゃ駄目よ。いいわね……？」
Ushiromiya Maria,「………………うん。……だからママ、お仕事がんばってね。……がんばってお仕事終わらせて……、少しでも早く帰ってきてね…。
Ushiromiya Maria,真里亞、……もう夜中に泣いて、近所の人に迷惑なんか掛けたりしないから……。……だから、早く帰ってきてね………。」
Ushiromiya Rosa,「………………。……じゃ、忙しいので切るわよ。……いい子にして待ってるのよ。余計なことはしちゃ駄目よ。じゃあね。」
,ブツリ。……楼座は、切り上げるような口調で、真里亞の返事を待たずに電話を切った。
,真里亞は受話器を行儀良く戻すと、ソファーに戻る。そこには、さっきまで一緒にテレビを見ていた、さくたろのぬいぐるみがあった。
,さくたろはテレビのリモコンを抱いている。……電話だからテレビを一度切ったのだ。
,早くテレビが見たいからまたスイッチを入れてくれという仕草だろう。
Ushiromiya Maria,「……………さくたろ。……テレビ、…見たい？」
Sakutarou,『……うりゅ？　真里亞はもう見たくないの…？　芸人チーム、全問正解したら逆転かもしれない。うりゅ〜！』
Ushiromiya Maria,「………うん。………もうテレビ、いいや。」
,また、……ママは仕事が忙しくて、帰ってこない。
,普段から残業の多いママは、深夜まで帰ってこない。
,……お付き合いがあるとかで、強くないのにお酒をいっぱい飲んで帰ってきて、真っ青な顔をしながら、そのままシャワーを浴びて床に入ってしまうのがいつもだ。
,そして週末も残業だとかお泊まりだとか言って、ほとんど帰ってきてくれない。
,……最近は大きな仕事を控えてるとか言って、頻繁にそういうことがある…。
,……図工の時間にがんばって描いて、みんなに笑われたけど、ママにだけはちゃんと見て欲しかった絵が、また見てもらえない。
,みんなに押し付けられた掃除だけど、ひとりでちゃんとがんばって、先生に褒められた話とか。
,お買い物に行ったら、お店のおじさんがいつも感心だねって言って、缶コーヒーをオマケしてくれた話とか。
,いっぱいお仕事がんばって帰ってくるママを励ましたくて、書いておいたメッセージカードが、こっそりママの枕の下に隠してあるとか。
Ushiromiya Maria,「……………他にも、…いっぱい、……お話したかった。」
Sakutarou,『………ママは、お仕事をいっぱい頑張ってくれてるんだよ。毎日のご飯のために、一生懸命働いてくれてるんだよ。』
Ushiromiya Maria,「……お仕事、やだ。……ママ、お仕事なんかやめちゃえ。」
Sakutarou,『お仕事は、大人の大切な仕事なんだよ。……真里亞にご飯を食べさせて、お洋服を買って、学校の給食費を払って、サマーキャンプの積立金を払って。……それはみんなママが働いてお金を稼いでくれるからなんだよ。』
Ushiromiya Maria,「…………………………。…ご飯いらない。お洋服もいらない。給食もいらないしサマーキャンプなんか行きたくない。…どうせ真里亞をどこの班も混ぜてくれないもん。」
Sakutarou,『うりゅ……。……ママはさっき電話で、お仕事から帰ってきたら、お土産を買ってきてくれるって約束してくれたよ？
Sakutarou,　ママは真里亞のことが大事で、寂しくさせてることを申し訳ないと思ってるから、そういう約束をしてくれたんだと思うよ。』
Ushiromiya Maria,「………そうかな。」
Sakutarou,『うりゅ！　面倒臭かったり、嫌だったりしたら、そんなことはしないもん！　……ママだって、真里亞の側にいつだっていたいんだよ。
Sakutarou,…それが出来なくて、ママも辛くて悲しい。…………ママが泣きながら、ずっと真里亞の隣にいて夜を過ごしてくれた日を、ボクは覚えてるよ。』
Ushiromiya Maria,「………うん。…何でママが泣いてるのかわからなかったけど、……悲しむママが悲しくて、…ただ真里亞は黙ってママの側にいることしか出来なかった。」
Sakutarou,『あの時、最後にママが言ったのを、ボクは覚えてるよ。……真里亞に、ありがとうって言った。………ただ側に居てくれるだけで、真里亞だけが世界でただ１人の味方なんだよって、ママは言ってくれた。……うりゅ、覚えてる？』
Ushiromiya Maria,「うん…。………真里亞が世界でただ１人の味方なんだよって、……ママ言った。」
,さくたろは、リモコンをテーブルに置くと、よちよちとソファーを這い上がって、私の膝に乗って、…私の瞳を見ながら言った。
Sakutarou,『……ママも、きっと真里亞と同じなんだよ。………ママの描いたデザインだけが、クライアントに笑われて。……ママの会社だけが、他の会社から面倒な仕事を押し付けられて。
Sakutarou,ママは社長だから、自分ひとりで片付けなくちゃならなくて。……ママの会社だけが、いつも他の会社の仕事に混ぜてもらえない。
Sakutarou,………ママの味方は、真里亞だけなんだよ。……その真里亞が、ママにお仕事なんかやめちゃえなんて言ったら、……ママの味方は、世界中の、どこにいるの………？』
Ushiromiya Maria,「……………ぅぅ…。………さくたろ……。」
Sakutarou,『ボクには、世界中でただひとり、真里亞がいる。……ママには、世界中でただひとり、真里亞がいる。………真里亞には？』
Ushiromiya Maria,「……ママもいるし、さくたろもいる…。」
Sakutarou,『だから真里亞は寂しくなんか、ない！　うりゅ！』
Ushiromiya Maria,「………うー。」
Sakutarou,『ママはお仕事が忙しいから、なかなか真里亞と一緒にいられないけど、真里亞はどうかそれを責めないで。……その代わり、ボクはいつも一緒に、そしていつまでも一緒に真里亞の側にいるから。……………だから泣かないで…？
Sakutarou,　………うりゅ…。ボクが一緒じゃ、………悲しみを止められない……？』
Ushiromiya Maria,「…………ぅぅ、……うううぅううぅ、さくたろ…。……うううぅううぅぅ！！　うわああああぁああああぁあう、わぁあああああぁあぅ…。」
,………真里亞は、がんばって塞ぎ続けてきた心の隙間から、…悲しみの雫をとうとう、零してしまう。……ぽたりぽたり。……ぽたぽた。
,……しくしくぽたぽた、ぽろぽろぽろ。
,ママが帰って来れない週末なんて、珍しいものじゃないはずなのに。
,……この夜が、普段の夜に比べて、特別、辛くて悲しかったわけじゃないのに。
,……真里亞は涙をぽろぽろと零す。
Sakutarou,『うりゅー…！　真里亞、泣かないで…。ボクがずっと一緒にいるから…。真里亞が泣いても、ボクは泣かない。ボクはライオンの子だから寂しくても泣かないよ。……ボクだって泣きたいけど、ボクは泣かないんだもん…！』
Ushiromiya Maria,「どうして、さくたろは泣かないの…？　こんなに寂しくて涙が堪えられなくても泣かないの…？」
Sakutarou,『うりゅ。だってボクが泣いたら、誰が真里亞を慰めるの…？　だからボクは泣かないよ。だって、真里亞に元気を出してもらいたいから。』
Ushiromiya Maria,「元気を出したら、……ママは帰ってくるの……？」
Sakutarou,『ママが帰ってきた時、元気な真里亞で迎えてあげたら、……ママはきっと喜ぶと思うな。うりゅ。』
Ushiromiya Maria,「……ママは、喜ぶ……？」
Sakutarou,『うりゅ。そしたらきっと、お仕事の疲れもきっと癒されると思うよ。そしたらきっと、いつもより早く元気になってくれて、真里亞ともいっぱい遊んでくれると思うな。』
Ushiromiya Maria,「…………………………。」
Sakutarou,『真里亞がママの待ってるお家へ帰ってきた時、ママが上機嫌で台所にいたら、すごく幸せな気持ちになるでしょ？　ママもきっと同じだよ。』
Ushiromiya Maria,「……真里亞がご機嫌でお留守番してたら、……ママも幸せになるかな。」
Sakutarou,『うりゅ！』
,さくたろは、その大きな頭で深々と頷いた。真里亞の目からは、もう新しい涙は零れない。
,……泣きはらした顔でママを迎えたら、きっとママも悲しむだろうから。
Sakutarou,『真里亞は知ってるよ。笑顔を呼ぶ魔法は、自分も笑わなきゃ出来ないってこと。』
Ushiromiya Maria,「……うん。……真里亞は知ってるよ。だからもう、泣かない。」
Sakutarou,『ねぇ、真里亞。ボクから楽しく過ごす提案があるよ。……うりゅ、聞いてくれる？』
Ushiromiya Maria,「……なぁに？」
Sakutarou,『ママが日曜日の深夜まで帰って来ないから。だから、ママに内緒のパジャマパーティをして遊ぼうよ。』
Ushiromiya Maria,「パジャマパーティ…？」
Sakutarou,『今夜は眠くなるまで、ベッドの中でお菓子を食べたりジュースを飲んだりしながら、ボクと遊ぶの。』
Ushiromiya Maria,「パジャマパーティ。……うん、楽しそう。…９時に寝なくていいの？　寝ないとママに怒られない？」
Sakutarou,『ママがいない時だけの、ボクと真里亞の秘密。だから今夜は、真里亞が眠くなるまで、ずっとボクたちで楽しく過ごそう。
Sakutarou,ジェリービーンズを食べながら、次は何の色を引くか当てっこして遊ぼう。ピーナッツを割って、どっちがお爺さんか当てて遊ぼう。
Sakutarou,クローゼットの中を宝探ししよう。他にも他にも！　コーラとメロンジュースを合わせたらどんな味になるかな。』
Ushiromiya Maria,「うー。いっぺんやってみたかったけど、ママにやっていい？って聞いたら駄目って怒られた。」
Sakutarou,『うりゅー！　ママに内緒で実験してみよう♪　今夜はいっぱい遊んでいっぱい笑って、涙を元気で吹き飛ばしちゃおう。大丈夫、ボクと一緒だから絶対に楽しいよ！　ボクが絶対に真里亞を幸せにしてあげるから。』
Ushiromiya Maria,「うん、うん。さくたろと一緒なら絶対に楽しいよ。絶対に幸せになれるよ。ありがとう、さくたろう。もう泣かないね。飛び切り楽しく二人で過ごして、思い切り元気になってママをお帰りなさいって迎えちゃおう。」
Sakutarou,『うりゅー！　今夜はいっぱい遊んでいっぱいご機嫌になっちゃおう♪　ママがいない夜にしか遊べない、秘密のパーティでいっぱい遊ぼう。
Sakutarou,ボクたちが賑やかにしてたらきっと、鏡の国や不思議の国から、たくさんの友達が遊びに来るよ。そしたらもう、ボクたちはお友達でいっぱいで、退屈なんか出来なくなっちゃう。うりゅー！』
Ushiromiya Maria,「うりゅー！！」
,……そして真里亞は、さくたろと二人きりのパジャマパーティを開いて、深夜まで楽しく遊んだ。
,ジェリービーンズを、袋を見ないで手を突っ込んで、何色を引くか当てて遊んだ。
,……さくたろは勘がよく、結構正解した。真里亞も途中、４連続で当てるという快挙を見せた。
,ピーナッツを割ってどっちがお爺さんになるかを当てる遊びは、ジェリービーンズの色当てよりも簡単でいっぱい正解できた。
,塩まみれになった指をしゃぶるのが、お行儀は悪いけど一番美味しかった。
,コーラもメロンジュースもそれぞれ大好き。
,そんな大好きなジュースを混ぜたなら、まるで錬金術みたいにピカーっと光って、誰も味わったことのない新しいジュースが生まれるんじゃないかと期待した。
,すごく美味しく出来たなら、それをさくたろジュースと名付けて販売しようと盛り上がった。
,でも、案外期待外れの微妙な味だった。色も何だかくすんで冴えない。
,…黒いのと緑のを混ぜたらやっぱりこんな色になってしまうか。……ピカピカ光るパイナップル色を想像していただけに、残念。
,でも、すごいすごい楽しい夜だった。
,これだけ楽しくしていたなら、ママも思わず帰って来たくなって、ひょっこりと帰宅してくれるかもしれない。
,……だから、急にママが帰ってくるような気がして、何度か玄関を見に行ったけど、仕事で忙しいママが帰ってこられるわけもなかった。
,でも、それは寂しいという気持ちじゃなく、こんなにも楽しい真夜中のパーティにママを加えてあげられなかったという、残念な気持ちだった。
,今度はママがいる時に開催して、ママも混ぜてあげよう。
,ママは真里亞にとって美味しくないものでも美味しいというから、さくたろジュースもすっごく美味しいと言ってくれるかもしれない。
,ママが疲れて帰ってきたらご馳走してあげよう。
,そして何よりも。
,……この楽しい夜をせめて手紙に書いて、ママに伝えたいと思った。
,こんなにも幸せな気持ちが、ママにも届きますように。
,いつもお仕事で大変で、疲れてぐったりして帰ってくるママに、この幸せがお裾分けできますように。
,日曜日の深夜にぐったりして帰ってくるに違いないママが、この幸せのお裾分けで、ちょっぴりでも元気になってくれますように……。
,その手紙を、ママの机の上にそっと置く。
,{e:070:“ママへ。{n}今日もお仕事お疲れさま☆　幸せのおすそわけ。{n}——真里亞より”}
,そして、こんな素敵な夜を提案してくれたさくたろに、真里亞は贈り物をすることにした。
,クローゼットの宝探しの時に見つけた、小さな赤いマフラー。
,まだ真里亞がものすごく小さかった頃、ママが編んでくれた小さな小さな赤いマフラー。
,毛糸の刺繍でマリアと書いてある。
,……そのマフラーをさくたろにそっと巻いてあげる。
,それは黄色い彼に、とてもよい赤いアクセントとなって似合った。
Sakutarou,『………うりゅ。…似合う……？』
,さくたろは、生まれて初めてもらったプレゼントをつけて、恥ずかしそうにしている。
,……うん。とってもよく似合ってる。
Ushiromiya Maria,「うー。さくたろ、いつもいつも本当にありがとう。こんなにも楽しい夜になったよ。どうして真里亞は泣いてたのか、もう思い出せないくらい。……これからも一緒にいようね。そしていつも楽しく遊んで笑っていようね。」
Sakutarou,『うりゅー！　真里亞、大好き！』
Ushiromiya Maria,「真里亞もだよ。さくたろ、大好き。」
,真里亞のお部屋は、こんなにも賑やかに遊んだので、しっちゃかめっちゃか。
,ちょっと楽しく遊び過ぎたかも。
,……でも、今日は眠いから一緒に寝よう。そして明日、一緒にお片付けして、綺麗なお部屋でママをお迎えしよう。……ね？　さくたろ？
,うりゅー♪
Ushiromiya Maria,「……ね？　真里亞は、うぅん、真里亞とさくたろは、こんなにも幸せだよ？」
Ushiromiya Ange,「……………………。これが、真里亞お姉ちゃんの幸せなの…？」
Ushiromiya Maria,「うん。真里亞は、幸せ。」
Ushiromiya Ange,「……楼座叔母さんは、あんなにも楽しみにして、絶対だよと約束した映画の約束を完全に忘れてた。」
Ushiromiya Maria,「お仕事で忙しかったから、たまたま忘れちゃったんだよ。……仮に覚えてたとしても、お仕事じゃどうしようもない。
Ushiromiya Maria,覚えてても覚えてなくても、どちらにせよ、ママはお仕事でお泊り。映画には行けなかった。………約束を覚えてたかどうかなんて、些細な問題だよ。」
,……些細な問題のわけはない。
,だって、……楼座叔母さんが電話の向こうで「映画？」と応え、完全に約束を忘れていたことは明白だった。
,そして、それを聞いた時、真里亞お姉ちゃんは、間違いなく表情を曇らせたのだから。
Ushiromiya Ange,「確かに、……真里亞お姉ちゃんの言うとおり、楼座叔母さんが約束を覚えていたとしても、結局、映画には行けなかった。
Ushiromiya Ange,……でも、それでも。……お母さんとのささやかな休日を過ごす約束を、一方的に忘れられていたなんて、…悲しい。私なら怒る。」
Ushiromiya Maria,「…………………………。…うん。悲しかったよ。たとえ覚えててくれたとしても、映画には行けなかったわけだから。
Ushiromiya Maria,……でも、私はその後、さくたろととてもとても楽しく夜を過ごした。縁寿も、パジャマパーティがすっごく楽しそうだって、思ったはず。」
Ushiromiya Ange,「………………………。楽しいわけなんかない。
Ushiromiya Ange,…だって、この夜の真里亞お姉ちゃんのはしゃぎぶりは、……お母さんが帰ってこなくて寂しくて、それを忘れるために、わざと空騒ぎをしただけじゃない。」
Ushiromiya Maria,「違うよ。さくたろと、本当に楽しくパーティをしたんだよ。」
Ushiromiya Ange,「いいえ、違う！　お姉ちゃんは悲しくて悲しくて、約束を忘れてたお母さんが憎くて憎くて、部屋で暴れただけじゃない…！！」
Ushiromiya Maria,「……………そんなこと、真里亞の日記のどこに書いてあったの？」
Ushiromiya Ange,「書いてはいない！　でも、……この一行飛ばしで書いてある行間から、お姉ちゃんの気持ちがわかるの！　お姉ちゃんはこの夜を楽しくなんか過ごさなかった！
Ushiromiya Ange,　それで、言いつけを破って夜更かしをし、おやつの時間以外には食べてはいけないと厳しく言われていたルールを破ってお菓子を食べ、……それでも悲しみが埋められなくて、部屋の中で暴れて、………散らかしただけじゃない…！！
Ushiromiya Ange,　そして部屋中を散らかして、疲れ切って、………そのままベッドのシーツを掻き毟りながら泣き疲れて眠っただけ…！」
Ushiromiya Maria,「………日記には確かに、ママが映画の約束を忘れてたらしいこと、そして私が夜更かしをしてさくたろとパジャマパーティをして、……宝探しで部屋を散らかしてしまったと書かれてるね。」
Ushiromiya Ange,「えぇ。それはつまり、………そういうことじゃない！　真里亞お姉ちゃんは、楼座叔母さんの愛に飢えていた…！　そして楼座叔母さんは自分の仕事や世間体ばかりを優先して、いつもお姉ちゃんを後回しにしていた…！
Ushiromiya Ange,だから虫唾が走るのよ！　楼座叔母さんの、お姉ちゃんのことを愛しているという言葉が、どれほど上辺だけのものか、知っているから！！　お姉ちゃんだって知ってるはず！
Ushiromiya Ange,なのに、……何で自分は幸せだなんて言えるの？！　真里亞お姉ちゃんの、……その辺りが私にはわからない！！　この歳になっても、さっぱり理解できない…！！
Ushiromiya Ange,どうして悲しくないの？　どうして不幸な現実を知りながら、自分は幸せだなんて言えるの？！　私には出来ない、わからないッ…！！」
Ushiromiya Maria,「……………縁寿は、悲しい子だね。」
Ushiromiya Ange,「わけわかんないッ！！　どうして私が憐れまなければならないの？！」
Ushiromiya Maria,「………私の日記には、こんなにも楽しくパジャマパーティの“事実”が記されているのに。………同じ“事実”も、異なる人間が観測すると、異なる姿になってしまうんだね。」
,ベルンカステルと、そんな話をしたことを思い出す。
,真実は不定形なもので、観測される度に姿を変えるもの。一つの真実は、その捉え方によって、…つまり人によって異なる真実となる。
,そして過去の真実は、未来の真実で塗りつぶされる……。
Ushiromiya Maria,「真里亞はこの日記で、この夜の出来事を、とてもとても楽しかったと記した。」
Ushiromiya Ange,「……真里亞お姉ちゃんはこの夜の出来事を、とても幸せだったと記述した。」
Ushiromiya Maria,「なのに、日記を読んだ縁寿は、この夜の出来事を、とてもとても悲しかったと読んだ。」
Ushiromiya Ange,「……真里亞お姉ちゃんは幸せだと記述したのに、私はそうではないと読み解いた。」
Ushiromiya Maria,「やめて。」
Ushiromiya Ange,「……………………………。」
Ushiromiya Maria,「これは、幸せな夜を記したものなの。………これが、この夜の“真実”。お願いだから、その幸せな真実を、…………新しい、そして異なった真実で塗り潰さないで。」
Ushiromiya Ange,「…………真里亞お姉ちゃんにはこれで、……幸せなの？」
Ushiromiya Maria,「うん。幸せ。………だから、同じ境遇の時、幸せに感じられない縁寿が、可哀想。」
,………友達もなく、孤独な境遇は、今の私も当時の彼女も同じ。
,そして縁寿は、……孤独な真実を、孤独な真実のままに受け入れる。しかし彼女は、……孤独な真実を、幸せな真実に塗り替えた。
,右代宮真里亞は、悲しい真実を、……幸せに変えたのだ。
,そここそが、……私と真里亞お姉ちゃんの、唯一にしてあまりに大きな、…違い。
,そして、それを受け容れられないと思いつつ、……その力を羨む自分もいる。
Ushiromiya Maria,「うん。……そうなの。それは“力”なの。……その力がある真里亞は幸せになれて。その力がない縁寿は、幸せになれない。」
Ushiromiya Ange,「その………力は、…………何なの…………？」
Ushiromiya Maria,「真里亞も、その力を何と呼ぶか、わからなかった。……この時点ではね。…やがて、その正体を教えてもらうの。
Ushiromiya Maria,……後に話すよ。後のページで。………そしてそして、日曜日の深夜。ママは約束どおりお土産を持って、帰ってきた……。」
Ushiromiya Rosa,「………ただいま。」
Ushiromiya Maria,「ママー、お帰りぃいいぃ！！」
Sakutarou,『うりゅー！！　ママ帰ってきた、ママ帰ってきた！』
,疲れ切っての帰宅となった楼座を出迎えたのは、さくたろを抱きながら、信じられないくらいに上機嫌の真里亞だった。
,楼座の疲れ切った表情は、実際の疲れもあっただろうが、……数日間の留守を経て愚図る真里亞に、ぶーぶーわーわーと泣きつかれるのがウンザリだというものも含まれていただろう。
,しかし、それが信じられないくらいに杞憂で、……信じられないくらいに元気な真里亞に迎えられ、楼座は驚きを隠せなかった。
Ushiromiya Rosa,「ど、……どうしたの真里亞…。とてもご機嫌ね…？！　誰か来ているの…？！」
,まるで、お友達が上がっていて、楽しく遊んでる最中に自分が帰ってきたのではないかと思ってしまうくらい。
,しかし玄関に他の靴はない。
,……真里亞はこんなにも上機嫌だけど、たったひとりで留守番をしていたのだ。
,楼座は初めこそ、理由のわからない上機嫌に、何かロクでもない理由があるのではないかと訝しがったが、それは本当に杞憂で、……とにかく本当に上機嫌で留守番をしてくれていたのだ。
,………岩のように冷え切り、硬くなった心であっても、…こんな笑顔で迎えられたら。
,楼座はその笑顔を素直に受け止められるようになり、自然と自分の顔も笑顔になっていった。
,……そこには数日の間、帰宅できなかったという疲労感はまったくなくなっていた。
,真里亞は、ぬいぐるみのさくたろと、如何に楽しく遊んで留守番をしていたかをいつまでも話し続ける。
,楼座は自分の贈ったぬいぐるみが、ここまで気に入ってもらえるとは思わず、嬉しい驚きを隠せずにいた。
Ushiromiya Rosa,「そう。さくたろうと一緒に仲良くお留守番していたのね。偉いわ真里亞。そんな偉い真里亞とさくたろうにお土産があるわよ。」
Sakutarou,『うりゅー！　お土産！お土産！』
Ushiromiya Maria,「うー！　何だろうね、何だろうね！」
,真里亞はさくたろと二人してはしゃぎ合う。
,お土産は２つあった。片方は洋菓子の詰め合わせ。
,中身はスコッチケーキ。上等な品らしかった。
,でも、真里亞の興味はもう片方に寄せられる。もう片方はさらに大きな箱で、重みも結構あった。
Ushiromiya Rosa,「開けてご覧。真里亞とさくたろうの、新しいお友達になれるかもね？」
