Speaker,PC Japanese (JP)
Shannon,「……ボイラー室のトラップって、どんなのですか…？」
Ushiromiya George,「そうだよ。あの後、すぐみんながボイラー室に駆けつけた。でもそんな変な仕掛けは見つけられなかったじゃないか！」
Kanon,「……左様です。戦人さま、どんな仕掛けで、僕は殺されたというのですか…？」
Ushiromiya Battler,「いや、…………それはわからねぇ。…でも、とにかく、何かの仕掛けをうまくやってだな、あるいは誰かが嘘をついて…、こうも考えられるぜ？！
Ushiromiya Battler,　そもそもあれは嘉音くんの自作自演だったとかな？！　そ、そうだ、自作自演だ！！　絵羽伯母さんたちも自作自演なんだよ。自分で密室を作り、死んだふりをした！」
Ushiromiya Jessica,「………戦人…。………お前、さっきから頭、…大丈夫か……？」
Shannon,「……あの、………冷たいお飲み物でもお持ちしましょうか…？」
Ushiromiya Battler,「そ、そこまで憐れみの目で見られるほど妙なことは言ってねぇだろ…。俺はあくまでも、トリックを考える上での可能性について言っただけだぜ？
Ushiromiya Battler,それにほら、死者が実は死んでないなんて、推理物のお約束じゃねぇかよ！」
Ushiromiya George,「お約束って…？」
Ushiromiya Battler,「つ、つまりだ。嘉音くんが殺された時、確かに俺たち全員の所在ははっきりしていた。そして熊沢の婆ちゃんも嘘はついてないとする。
Ushiromiya Battler,でも、それは生存者だけの話だ。……もし、死んだふりをして犠牲者に混じり姿を眩ましていた犯人が別行動をしていたとしたら、全ては説明できる！」
Ushiromiya Jessica,「…………はぁ…。つまり、絵羽叔母さんたちが犯人だと言いたいわけか…？　でも、叔母さんたちの死亡については南條先生が医者として判断してるぜ？」
Kanon,「……そうです。南條先生は、全ての犠牲者について確認しています。…もし戦人さんの説を採用するなら、南條先生も犯人ということになりますか？」
Ushiromiya Battler,「あ、あぁっ、そうだな！！　南條先生が犯人の一味で、嘘の死亡宣告をしていたかもしれないと考えりゃ、話は変わってくるぜ…！ほら、これも推理物のお約束じゃねぇかよ！！」
Ushiromiya Maria,「……でも、南條先生も殺されたよ…？」
Ushiromiya Battler,「っと、………それはだな。…そうさ、南條先生は偽装死なんだ！
Ushiromiya Battler,何しろ、南條先生以外に検死ができるやつはいねぇし、あの時はもう混乱してる状況下だ。本当に脈が止まってるかなんて、のんびり確かめてる暇もなかったぜ！　この論法なら、死者は誰だって歩き回れたことになる！」
Shannon,「………私たち最初の６人は難しかったんじゃないかと思います…。……だって、シャッターを閉められた上に、…内側からは開けられない南京錠を掛けられちゃいましたし…。」
Ushiromiya Jessica,「そうだぜ。その鍵は母さんが預かった。じゃあ、母さんも犯人の一味だってのかよ？」
Ushiromiya Battler,「…あぁあぁぁぁ、いやいや、…、最初の６人は無理そうだが、絵羽伯母さんたちは外から鍵を掛けただけだろ。なら内側から開けられるし…、…そうさ、俺たちが部屋を出た後、窓から飛び出して、ボイラー室に先回りしたとか！
Ushiromiya Battler,く、……苦しいか…？！　あるいは南條先生も検死を誤ったとかな？！
Ushiromiya Battler,ほら、自分でも言ってたぜ？　検死は誤診率が高いとかって！　うまく偽装したとか、身代わり死体を用意したとかで、死を誤魔化したんだ！！　方法やトリックは、これから考えるとして、とにかくとにかく、１９人目を否定することはそう難しいことじゃないんだ！
Ushiromiya Battler,ましてや魔女ぉ？　それだけは断じてありえねぇ！！」
Ushiromiya Maria,「…………戦人がさっきから、何で頑なに、みんなの中に犯人がいるようにしたいのか、わかんない。きひひひひひひひひひ、つまり戦人は、親族の誰かを疑いたいんだよね…？」
Ushiromiya Battler,「そういうわけじゃねぇ…。ただその、安易に１９人目を肯定はできねぇし、仮にいたとしてもそれは人間だって見地から話を構築すべきであって、それら全部を否定しきった最後の最後で苦し紛れに出てくるのが魔女だろって話をしたいんだ。
Ushiromiya Battler,魔女なんているわけないだろ？！　何でさっきからみんなは、魔女が犯人ってことでひょいひょい納得したがるんだ？
Ushiromiya Battler,　そりゃ、身内に殺人犯がいると思いたくねぇ家族愛は立派さ。でも、それで誤魔化しちまっていいのかよ？！　あれだけ大勢を殺した憎き犯人を見つけ出したいとは思わねぇのかよ？！
Ushiromiya Battler,兄貴だって、両親の仇を見つけたいだろ？！　朱志香だって嘉音くんの仇を、そして嘉音くんだって、紗音ちゃんの仇を見つけたいだろ？！　紗音ちゃんだって、自分を殺したのが誰なのか知りたいはずだ。
Ushiromiya Battler,何でこうパーンと全面降伏して、魔女が犯人ってことになっちまうんだよ？！　お前らさっきから何なんだ？！」
,短気で愚かな戦人は、自分の無知を他者に求めようと食って掛かります。
,…しかし、みんなは憐れみの眼差しで、ただ静かに見守るのでした。
,すると、聡明なる真里亞は笑いながら、戦人に間違いを指摘してあげました。
Ushiromiya Maria,「……………きひひひひひひひひ。…呆れてるんだよ。……戦人はさっきから、支離滅裂なことを繰り返しては何かをわかったような気になってるだけ。
Ushiromiya Maria,……だから？　それで？　人間にどうやって？　具体的には？　そう聞くと、決まって戦人は、今は思いつかないけど、とか、何かの仕掛けで、とか、抽象的な言葉で逃げたりお茶を濁したり。
Ushiromiya Maria,……むしろ、知りたいよ戦人。どうしてベアトリーチェを信じないの？　“い”るのに、どうして？」
Ushiromiya Battler,「“い”ねぇからだよ！　魔女なんか“い”ねぇ！！　いるわけがねぇ！！」
,……それは、まるで認めたくないというだけの、子どものわがままのよう。
,憐れみの眼差しが、静かに戦人を包みましたが、頑なな彼の心にそれは届きません。
Ushiromiya Jessica,「…………まるっきり、駄々っ子のわがままだぜ？」
Shannon,「……戦人さま。お気持ちはわかりますが…。」
Kanon,「………ベアトリーチェさまは、“い”らっしゃるのです。」
Ushiromiya George,「戦人くん…、どうして、信じないんだい？　これほどまでに、状況証拠は揃ってるのに。」
Ushiromiya Battler,「説明できなきゃ全て魔女なんて、俺はそんな論法は認めねぇ。どうして電球が明るくなるのか、仕掛けを知らなきゃ全て魔法ってことになるのか？
Ushiromiya Battler,違うだろ？！　魔法じゃなきゃ説明がつかないことなど存在しない！！　魔女だの魔法だのってのは、思考の放棄だ！　兄貴たちは、わからねぇ事件に屈服して降参しただけなんだ！　そうだろ？！」
Ushiromiya Maria,「…………………き、ひひひひひひひひひひひ。…やっぱり、……戦人だけはどうしても信じないね。
Ushiromiya Maria,……誰かひとりでも信じなかったら“奇跡”は起きない。……だから、戦人のその蒙昧な思い込みを改めさせなきゃ、奇跡が、……魔法が完成しないんだよ。」
Ushiromiya Battler,「へへ…。なぁるほどな。……ようやく一端が見えてきたぜ。…つまりお前らは俺に、魔女様は存在する、って言わせたいんだろ？　全員が認めた嘘は“真実”になる。……そういうこったろッ？！
Ushiromiya Battler,……生憎だな。ここばかりは生憎だが、そいつぁ全然駄目だぜ、お断りだ。……{i:お前らが俺にそう詰め寄るからこそ、だからこそ全然駄目なんだ}。」
Ushiromiya Maria,「…………………どうして？」
Ushiromiya Battler,「悪ぃが、最後の最後でもう一回、チェス盤をひっくり返させてもらうぜ…？　魔女の存在を俺に認めさせたいなら、一番簡単な方法があるはずさ。
Ushiromiya Battler,……それは、人間にはできないから魔女なんていう遠回しな方法じゃない！　魔女が魔法でやって見せた、それを俺に見せるだけの話なんだ。
Ushiromiya Battler,さらにだ、さっき真里亞が言ったことが一番墓穴を掘ってる。……誰かひとりでも信じなかったら“奇跡”は起きないってな。
Ushiromiya Battler,真の奇跡は、誰が信じようと信じまいと勝手に起こる！　たとえ俺一人が信じなかったとしてもだ！！　だからこそ、俺が信じれば成立する奇跡も魔法も、そして魔女も嘘っぱちだってわけさ！！」
Ushiromiya Maria,「…………………………………。」
,その戦人の無知な暴言によって荒んでしまった空気を、とても涼しげで軽やかな笑い声が吹き飛ばしてくれました。
,誰の笑い声…？　戦人は初めて聞くその声に驚きました。
,見れば、いつの間にか、譲治や朱志香、紗音に嘉音たちは畏まるように口を噤んでいます。
Ushiromiya Maria,「………………ベアトリーチェ。」
{f:5:Beatrice},「………良い。…久しぶりに愉快な人間に出会えたものよ。」
Ushiromiya Battler,「お、………………お前、………誰だ…。」
{f:5:Beatrice},「……招かれた茶会のホストも知らぬか。……良い良い。くっくっくっく…！」
Kanon,「…こちらのお方は、千年を生きる黄金の魔女、ベアトリーチェさまにあらせられます。」
Shannon,「ご機嫌麗しゅう、ベアトリーチェさま…。」
Ushiromiya George,「……戦人くんの暴言をどうかお許し下さい。」
Ushiromiya Jessica,「こ、こいつは頑固でその、まだ、自分の置かれた状況がわかってなくて……！」
{f:5:Beatrice},「くっくっくっくっく…。良い良い。……千年も生きると、大抵の魔女は生き飽きる。そなたのような気骨ある男も時には良い。」
Ushiromiya Maria,「……………ベアトリーチェがお姿を現してくれるのは、とても光栄なことだよ、戦人。」
Ushiromiya Battler,「……へ、………へっへっへっへ…！！　こりゃあ、……たまげたぜ。…そこまでして、俺に魔女が、…１９人目が犯人だと思い込ませてぇのかよ…。
Ushiromiya Battler,ますますに気に入った…！　だから全然駄目だぜ…！！　お前は、真里亞たちが主張する、魔女ベアトリーチェの幻影というわけだ。
Ushiromiya Battler,………そして、全員がその存在を信じることでようやく存在を許される。…そういう虚実の存在なんだろ？　だから俺にも信じさせたい。　{i:俺だけが信じないから、存在できない}。　………そうなんだろ？！」
{f:5:Beatrice},「………魔に通じぬ凡夫の分際にしては、理解力は悪くない。………なるほど、どうやらそなたは生まれながらにして、魔力に強い抵抗力を持つらしいな。
{f:5:Beatrice},……我ら魔女の天敵よ。…どう逆さに振るって見せようとも、{i:決して我らを信じない。}{i:だから魔法が及ばない。}…お前のその態度にも納得が行こうというものよ。くっくっくっく…！」
Ushiromiya Battler,「何を言ってやがるかさっぱりだぜ、いっひっひ！　わざわざお姿まで現してもらって恐縮だが、俺はお前さんの存在なんて、これっぽっちも信じやしないぜ。
Ushiromiya Battler,確かにこの２日間、妙なことは何度か起こった。さっき真里亞に言われた通り、俺はそれら全てにトリックの説明がつけられると思っているが、個々に具体的にはまだ挙げられてねぇ。だが、だからといって屈するわけじゃない。
Ushiromiya Battler,俺は兄貴たちとは違うぜ？　説明できないから、魔女の仕業だなんて論法には絶対ぇならねぇぜ。」
{f:5:Beatrice},「………ますますに気に入ったぞ。お前は屈服させ甲斐がある…。
{f:5:Beatrice},……お前のような男にこそ、我が名を讃えさせてみせたいぞ……？お前のような男にこそ、爪先にキスをさせてみたいものよ。…くっくっくっくっく！」
Ushiromiya Battler,「寝言言いたきゃ好きなだけ言ってろ…！　俺はお前なんか否定してやるぜ。全ての出来事を“人間とトリック”で説明してやる…！！　そこには一片たりとも魔女も魔法も入り込む余地はねぇッ！！」
{f:5:Beatrice},「良い！　……それでこそ千年の退屈も紛れるというものよ。
{f:5:Beatrice},ならば聞こう。お前は先ほど、絵羽たちを殺すのに、扉の隙間を利用すれば良いと言ったな…？　人間とトリックで、どう殺してみせるのか、説明するがいい。」
Ushiromiya Battler,「……へ。いきなり、一番辛いところから切り込んできやがったな。…ってことは、このトリックが一番の自信作、ってことなんだろ？{i:真犯人}さんよぅ。」
,ベアトリーチェが黄金の煙管を振るうと、そこから七色の煙が柔らかく尾を引きました。
,…それらは見る見る周囲を覆うと、……いつの間にかそこはお屋敷の廊下に。
,目の前には、チェーンで閉じられ、わずかに開いた客室の扉が…。
,そう、絵羽たちが殺された部屋の入口なのです。
Ushiromiya Battler,「……べ、便利じゃねぇかよ…。」
{f:5:Beatrice},「さて。このわずかの隙間から、どうしてみせるのか、戦人とやら。」
Ushiromiya Battler,「く、…………。……た、多分、あの“アイスピック”を打ち出せる射出機があるんだ。そいつを使って……。」
{f:5:Beatrice},「その隙間からは見えぬ、ベッドの上の絵羽をどう狙うのか？　……そして、バスルームに篭り扉を閉めた秀吉をどう狙うのか…？」
Ushiromiya Battler,「……………………………くそ、………。…隙間はある…。何か方法があるはずなんだ……。」
{f:5:Beatrice},「くっくっくっく。お前に思いつかぬなら、妾がやって見せても良いぞ。」
Ushiromiya Battler,「……ほぉ。魔女さまならどうやってみせるってんだよ…。お手並みを拝見してやろうじゃねぇか…。」
Ushiromiya Maria,「……………戦人、ベアトーリチェに口の聞き方がぞんざい…。」
{f:5:Beatrice},「良い良い。愉快な男よ。…それでこそ屈服させる楽しみが増すというものよ。」
Ushiromiya Battler,「……へ！　そんなに俺に爪先にキスをさせてぇかよ…！　俺が降参したらな！　だが見てろ、きっと俺がこのトリックを暴いて、逆に手前ぇを俺のケツにキスさせてやるぜ！」
{f:5:Beatrice},「……………くっくっく。愉快な男よ。覚えておこうぞ、その約束を。…弱き魔女は、力を得るために悪魔の尻にキスをする。それを超える屈服の誓いはないからな。そこまで言わせたからこそ、妾はお前を屈服させてみたくなる。………くっくっくっく…！」
,ベアトリーチェは、戦人の品なき暴言を気に留めることなく、黄金の煙管を再び振るいました。
,……そう、この黄金の煙管は、彼女にとっての大事なケーンなのです。
{f:5:Beatrice},「さぁさ、お出でなさいな子どもたち。我こそは煉獄の案内人。大罪を赦せし七つの杭を持て。」
,謳うような魔法の言葉に導かれ、７つの杭が集います。…それは、罪深き人の大罪を象徴する七人の悪魔たちの杭。
{f:5:Beatrice},「ベルゼブブにアスモデウス。さぁさ、罪を赦しなさい。罪人の魂を解放なさい…！」
Ushiromiya Battler,「ぅおッ…？！」
,ベアトリーチェの呼びかけに、ベルゼブブの杭とアスモデウスの杭が応えます。
,その２本の悪魔の杭は、まるでキューに弾かれたビリヤードの玉のように弾かれ、扉の隙間に吸い込まれていきます。
,そして、部屋中の壁に何度も乱反射する音が、まるで啄木鳥の啄ばむ音のように聞こえてくるのです。
,そして最後に、気持ちのいい音が聞こえました。
,……例えるなら、薪割りの時、振るい下ろした斧が綺麗にさっくりと薪を割ったような、とても小気味よい音。
,それは、２本の杭がそれぞれ、絵羽と秀吉の眉間に深々と打ち込まれた時の音。
{f:5:Beatrice},「…………ど真ん中というところよ。見てみるか…？」
,部屋からは確かに、眉間が砕ける音が二人分聞こえました。
,扉越しの戦人には見ることも叶いませんが、二度死ぬ二人は、二度目も寸分違わぬ同じ姿で倒れ、同じ模様の血痕を描くのでした。
Ushiromiya Battler,「ば、…………馬鹿野郎…。そ、……そんな滅茶苦茶で……！　こ、殺せてたまるかよッ！！！」
{f:5:Beatrice},「殺せるとも。……このように殺せるとも…！　くっくくくくくくく！」
,気付けばそこは廊下ではなく、元のお茶会の席。
,……戦人以外のみんなは神妙に座っていましたが、……嘉音が呻きながら口から鮮血を垂らし始めます。お茶会の席で、はしたないですね。
,嘉音の胸には、サタンの杭が深々と打ち込まれていました。
Kanon,「………………ぅ、……………く………。」
Ushiromiya Battler,「か、……嘉音くん……、嘉音くんッ！！く、……くそぉおおぉおぉ！！」
,激昂するのは戦人ばかり。
,他の、譲治や朱志香、紗音は、まるで先生に怒られている生徒のように、神妙に俯いています。
{f:5:Beatrice},「…嘉音は瑣末な怒りに囚われ、妾の宴を乱そうとした。……怒りに囚われやすいのがお前の大罪よ。清め、悔いてやり直すがいい。」
Kanon,「……ァト……リーチェ……、……さ、ま……………。」
Shannon,「ベ、…ベアトリーチェさま…。どうかお許し下さい…。嘉音くんは充分に反省したと思います……！」
{f:5:Beatrice},「良い。妾は敬う者に寛大である。……くっくっくっくっく…！」
Ushiromiya Battler,「ふざけるなッ！！！　こんな三文芝居で俺がお前の存在を認めると思うなよ？！　何が千年を生きた魔女だ！　手前ぇのトリックなんざ、千年じゃねえ、せいぜい百年程度のミステリー界が作ったお約束の累積上にあるだけだ！
Ushiromiya Battler,魔法なんかじゃねぇ！！　断じてねぇ！！　事件の全ては“人間とトリック”で説明がつく！！」
{f:5:Beatrice},「くっくっくっく！　我が千年を人間共の百年で語るか…。良い良い、だからこそ妾はお前を気に入る…！」
Ushiromiya Maria,「……………愚かな戦人…。きっひひひひひひひひひひひひひひひひ…！」
Ushiromiya George,「……よすんだ、戦人くん…。ベアトリーチェさまに逆らっちゃ…、い…けない……。」
Shannon,「…………ん、………ぅ、……………ぅ…。」
,紗音が頬を押さえながら呻き始めます。…虫歯でも痛むのかもしれません。
