Speaker,PC Japanese (JP)
,譲治の兄貴たちは、紗音ちゃんの遺体を一目みたいと懇願するが、大人たちは警察が来るまで駄目だと突っぱねる。
,それは現場保全のために全ての部屋を封印したというだけの意味ではない。
,…何しろ、６人も殺した犯人が徘徊した屋敷なのだ。
,今の右代宮家にとって、本宅であるはずの屋敷は、未知の殺人犯が出入りしている危険地帯も同然なのだ…。
,何しろ屋敷は広い。死角や暗がりも多く、完全な安全を保証するには人数に対し広大過ぎた。
,そこへ行くと、ゲストハウスは屋敷に比べればはるかに小さい建物だ。
,地上２階建て。部屋数は１０ちょっとくらい？……元々、この島のリゾート化を見越して、ペンションにするために建てたらしい。
,だから全体の把握がしやすく、安全も確保しやすい。篭城に向くというわけだ。
,……そして。この６人もの大量殺人が、“ゲーム”である可能性が極めて高い。
,犯人がそれを、手紙にて宣言してきたからだ。
,真里亞が昨日、ベアトリーチェにもらったと自称したのと同じ、紋章入りの洋形封筒が、祖父さまの死体が発見されたボイラー室内で見付かったという。
,その手紙の中身はこうだった。
,{e:070:誤解なきように。{n}私が求めるゲームは、皆さんが碑文の謎を解けるかどうかであって、私を捕まえられるかどうかではありません。{n}{n}碑文の謎を解かなければ、哀れな生贄はさらに増えるでしょう。{n}時間は、私の姿を探すより、碑文の謎解きに割いた方が賢明です。{n}{n}碑文の謎が誰にも解けないならば、誰も生き残れない。}
,{e:070:見事、碑文の謎を解けた人間が現れたなら、黄金郷の全ての黄金を与え、右代宮家の家督と、我が力の全てを与えるでしょう。{n}{n}金蔵さまより右代宮家の家督を引き継いだのは、私。{n}そして、私より家督を引き継ぐのは誰なのか、楽しみにしています。{n}{n}——黄金の魔女　ベアトリーチェ。}
,…碑文の謎ってのは、例のアレだ。
,屋敷の大広間に掲げられた魔女の肖像画のところに書いてある怪しげな碑文。
,祖父さまが書かせたもので、それを解いた者に家督を譲るとか、隠された黄金を譲るとか騒がせた例のアレだ。
,何年か前に掲げられて以来、親族たちは口では馬鹿にしながらも、影ではこっそりその謎に挑戦していたという。
,しかし、誰も解けずに今日に至っている。その難解な謎を、解いてみろと再び突きつけ、しかも解けなければ皆殺しだと脅迫している。
,……これを“ゲーム”と言わずして何というのか…。
,敷地内を捜索して犯人を探し出そうという勇ましい意見も、一度は出た。
,しかし、向こうは武装している可能性が高い上、しかもひとりとは限らない。
,また、…彼らは６人以上を殺せたかもしれないのに、それを{i:６人に留めた}。
,犯人を迂闊に刺激せず、大人しく警察の到着を待って安全地帯で篭城すべきだという意見が、最終的には支配したのだった…。
,大人たちは、ゲストハウス内の戸締りを厳重に確認した後、このロビーを砦に見立てる。
,そして銃を弄って緊張を紛らわしながら、まだまだ始まったばかりの長い一日に、早くも疲労の表情を見せるのだった…。
,俺には、何もできることはない。
,もし万が一、…{i:銃が余るようなこと}が起こった際に備え、銃の使い方を教えてもらうことくらいしか、今はできない……。
,……それでいい。そこで大人しくしててくれよ、{i:俺たち}。
Ushiromiya Battler,「……………また、最初は６人か。しかも今回は祖父さまと使用人が全部まとめてと来たもんだ。」
{f:5:Virgilia},「恐らく。あの子は前回のゲームでのあなたの指し手を慎重に研究したのでしょう。そしてあなたが最初に疑うと高い確率で推定される駒を、最優先で奪ったに違いありませんよ。」
Ushiromiya Battler,「……筋だな。…前回も前々回も。屋敷に精通し、マスターキーを持ち歩く使用人たち全員は、常に最高順位で疑わしい人物だった。
Ushiromiya Battler,……前回のゲームの、例えば朱志香の密室がいい例だ。使用人が犯人であることを認めさえすれば、あんなのは密室でも何でもない。」
{f:5:Virgilia},「故に。……あの子はそこを真っ先に切りに来た。あなたがやがて逃げ込むであろう退路を、真っ先に塞ぎに来たのでしょう。」
Ushiromiya Battler,「ベアトはすでに赤で、この島には１９人以上いないと宣言している。…それはつまり、………{i:諦めろってことだ}。……もう俺は、１８人の誰かを疑わざるを得ない。」
{f:5:Virgilia},「……あの子は、その１８人の駒を全て奪いきった上で、存在しないはずの１９人目として降臨し、あなたに自らが魔女であることを認めさせる手で来るでしょう。
{f:5:Virgilia},……魔法を見せ付けることで強引に屈服させる、恫喝的手法がもはや通じない以上、あの子に指せるのは正攻法だけなのですから。」
Ushiromiya Battler,「……上等だ。もうハッタリは通用しねぇぜ。」
{f:5:Virgilia},「気をつけて。まやかしは魔女のもっとも得意とするところ。…あの子が何を言おうと何を見せようと。あなたが信じる真実を、決して脅かすことなどできないのです。それを忘れないで。」
Ushiromiya Battler,「………おう。そう何度も同じ手が通用して堪るかってんだ。………出て来いよ、ベアトリーチェ。おッ始めようぜッ！！！」
{f:5:Beatrice},「すでに勝負のテーブルに着席しておるわ。妾の手番もすでに終了しておる。」
Ronove,「……マダムを敵に回すことになるとは。厄介ですね、お嬢様。…手の内をだいぶ読まれますよ。」
{f:5:Beatrice},「構わん。お師匠様の指し手など、すでに時代遅れの古典よ。恐れるに足りぬわ。」
{f:5:Virgilia},「…あなたが、私の教えた古典以上の何を指せるのか。期待していますよ、ベアトリーチェ？」
{f:5:Beatrice},「……くっくくくくくく。いいのか、戦人ぁ？　魔女を否定するそなたが魔女を軍師につけても…。」
Ushiromiya Battler,「下らねぇ挑発は無用だ。こいつは俺の相談役、いや、セコンドだ。ガチンコで殴りあうのは、俺とお前だってことには何の変化もない。」
{f:5:Beatrice},「わかっておる。……ヨチヨチのお前には自転車にも補助輪が必要だろう。好きにするが良い。さぁ、始めろ！！　お前の手番だッ！」
Ushiromiya Battler,「事件現場の再構築から始める。……ワルギリア、さっそく頼む！」
{f:5:Virgilia},「最初の遺体発見は紗音から。屋敷内の１階客間より発見されました。扉と窓は施錠され、密室を構成していました。」
Ushiromiya Battler,「……ベアトに説明要求。密室の定義を再確認。」
{f:5:Beatrice},「ふむ。密室の定義は、内外の出入りが一切隔絶された室内を指す。当然、内外からの一切の侵入・脱出は愚か、干渉もできない。それは包括的に、隠し扉の否定、外部干渉の余地一切の否定を含む。
{f:5:Beatrice},……以後、この定義を“ベアトリーチェの密室定義”と呼称する！」
Ushiromiya Battler,「細部確認。……外部干渉の余地の定義とは。」
{f:5:Beatrice},「外部から、釣り糸やら長くて細い棒やら等を使って直接的に干渉するあらゆる余地だ。つまり、扉や窓にはそのような小細工を混ぜる隙間すらもないと判断せよ。」
Ushiromiya Battler,「どうかな？　仮に隙間がなくても、リモコンなどの電波は干渉できるはずだぜ？」
{f:5:Beatrice},「良かろう。電波など、それに類する遠隔操作技術も干渉不可能であると定義に追加する。」
Ushiromiya Battler,「客間には内線電話もあるぜ。それと連動した仕掛けは遠隔操作にはならねぇのか？！」
{f:5:Beatrice},「電話はすでに使用不能だろうが。…あぁ、もう面倒だ。それも含めようぞ。直接、間接のあらゆる方法で、室外よりの密室内への干渉は不可能だ。」
Ushiromiya Battler,「声やノックは？　密室に入らずに外部から干渉できるはずだぜ？」
{f:5:Beatrice},「………密室であっても、声を掛けることやノックは不可能ではなかろう。意思疎通の可否は密室の定義に反しない。」
Ushiromiya Battler,「つまり、外部との伝達方法までは途絶していると定義できないんだな？」
Ronove,「そうなります。」
Ushiromiya Battler,「了解したぜ。………紗音ちゃんの客間はその“ベアトリーチェの密室定義”を満たすってんだな？」
{f:5:Beatrice},「その通りだ。」
Ushiromiya Battler,「………密室定義、了解した。ワルギリア、続けてくれ。」
{f:5:Virgilia},「はい。
{f:5:Virgilia},………紗音の遺体はマスターキー１本を所持。発見した親族がこれを回収。」
Ushiromiya Battler,「ベアトに復唱要求。今回のマスターキーの本数は？」
{f:5:Beatrice},「…ふ。前回と同じ。{p:1:各使用人が１本ずつで５本だ。}」
Ushiromiya Battler,「ってことは、密室にはまだならねぇってわけさ。マスターキーはまだ４本余ってる。紗音ちゃんを殺害後、４本の鍵の何れかで施錠するだけの話だ。」
Ronove,「その通りでございます。………そして、見付かったのはマスターキーだけではありませんよ。」
{f:5:Virgilia},「はい。
{f:5:Virgilia},……遺体のすぐ傍らに、紋章入りの洋形封筒が。中に手紙はなく、２階客室の鍵が入っていました。」
Ushiromiya Battler,「……２階客室の鍵…。それは、２階客室の扉を、マスターキー以外に唯一開けることができる鍵だ、という定義でいいのか？」
{f:5:Beatrice},「うむ。問題ないぞ。そして、マスターキーと違い、その１本しかない。」
Ronove,「つまり、ある特定の部屋を開けるには、マスターキー５本に加え、その１本しかないというわけです。」
Ushiromiya Battler,「……これはつまり、次は２階客室へ行け、というメッセージなのか？　となると、大人たちは２階客室へ移動したな？」
{f:5:Virgilia},「はい。
{f:5:Virgilia},２階客室の扉もまた施錠され、魔法陣が描かれていました。……親族は紗音の遺体脇より入手したその鍵によって開錠。
{f:5:Virgilia},室内にて熊沢の遺体を発見。室内は密室。定義は“ベアトリーチェの密室定義”に準拠。
{f:5:Virgilia},熊沢はマスターキー１本を所持。これを親族が回収。
{f:5:Virgilia},そして紗音同様に遺体の傍らに洋形封筒を発見。中には３階控え室の鍵が。親族は３階控え室へ移動。」
Ushiromiya Battler,「そして３階控え室の扉にも魔法陣で、さらに施錠されていて？」
{f:5:Virgilia},「はい。
{f:5:Virgilia},室内にて郷田の遺体を発見。室内は密室。“ベアトリーチェの密室定義”に準拠。
{f:5:Virgilia},郷田はマスターキー１本を所持。これを親族が回収。
{f:5:Virgilia},そしてこれまで同様に紋章入りの洋形封筒を発見。中より２階貴賓室の鍵が。親族は２階貴賓室へ移動。」
Ushiromiya Battler,「………何なんだこいつは…？　てめぇ、何を企んでやがる…？」
{f:5:Beatrice},「くっくっくっく。そう睨むほどのものでもあるまい？　密室ではあるが、それを開けるマスターキーはまだ何本もあるではないか。律儀にマスターキー以外の固有の鍵も進呈している。」
Ushiromiya Battler,「……気に入らねぇ展開だぜ。……だが展開は読めてきた。この調子で６人、続いてくってわけか？」
{f:5:Virgilia},「はい、その通りです。２階貴賓室にて源次の遺体を発見。
{f:5:Virgilia},マスターキー１本を回収。地下ボイラー室の鍵を発見。
{f:5:Virgilia},地下ボイラー室へ移動。地下ボイラー室にて金蔵の遺体を発見。
{f:5:Virgilia},礼拝堂の鍵を発見。
{f:5:Virgilia},礼拝堂に移動。
{f:5:Virgilia},礼拝堂にて嘉音の遺体を発見。マスターキー１本を回収。１階客間の鍵を発見。……以上で６名の遺体発見の再構築を終了します。」
Ronove,「追記です。金蔵の遺体の傍らで発見された洋形封筒には、礼拝堂の鍵と一緒に手紙が同封されておりました。手紙の内容はすでにご確認の通り。碑文の謎を解くよう改めて催促する内容です。」
Ushiromiya Battler,「………ってことは。……何だよこれ。最後の嘉音くんのところに、一番最初の紗音ちゃんの客間の鍵があったってことは…。密室が６つ、数珠繋ぎになってるってことなのか？」
{f:5:Beatrice},「その通り！　６つの密室が数珠繋ぎになっておる。それぞれを開錠する鍵は、それぞれ隣り合う密室によって閉じ込められている。
{f:5:Beatrice},つまり、６つの密室が１つの巨大密室を形成し、その中に全てのマスターキーと、固有鍵全てを閉じ込めてしまっているのだ…！
{f:5:Beatrice}, {p:1:ちなみに、６つの部屋の扉や窓はいずれも普通。オートロックのような、鍵を使用せず施錠できるような仕掛けは存在しない。}くっくっくっく、どうだよォ、綺麗なモンだろおぉおおおぉ？？？　うっひゃっひゃっひゃああ！」
Ronove,「ですからお嬢様、その辺りに品がございません。」
,ロノウェがたしなめると、ベアトは悪びれた様子もなくペロリと舌を出す。
{f:5:Beatrice},「うっひっひっひ、悪ぃ悪ぃ。ついつい戦人と遊んでると上機嫌になってしまうのでなァ。
{f:5:Beatrice},くっくっく、それで戦人ぁ？　お前の指し手はどうなんだよぅ？　特に思いつかないんなら、妾が山羊たちに遺体を運ばせて、魔法にて全ての扉を封じるところを特別に見せてやってもいいんだぜぇえぇ？」
Ushiromiya Battler,「好きにしろ。お前の主張する“魔法説”として拝聴しとく。だが、俺はお前の主張とはまったく異なる“人間説”を、お前の主張に一切干渉されることなく主張することができる。
Ushiromiya Battler,それはつまり！　お前の戯言に耳を貸す必要は何もないってことさッ！！　好きに魔法の杖でも振るって七色の魔法で扉を閉めるところでも実演してろってんだ。隣でその内、ガマの油と万能包丁の実演も始まるぜ！
Ushiromiya Battler,ワルギリア、事件現場を再構築！　粗を探すぜ！！　全員は間違いなく死亡してるのか？　誰かが死んだふりしてんならこんなの密室でも何でもねぇ！」
{f:5:Virgilia},「南條は全員の死亡を確認。ただし誤診率の否定は“悪魔の証明”により不可能。……つまり、誰かが生きているのを南條が見逃した可能性をゼロにすることはできません。」
Ushiromiya Battler,「来たな、“悪魔の証明”か。だが、そいつをぶった切る剣は存在する…！」
{f:5:Beatrice},「な、何だよォ、あいつら。……妾を除け者にして楽しそうだなぁ。妾は対戦者であるぞ…？　少しは構えと言うのに…。」
Ronove,「本来、チェスを対戦するのに当たり、相手とのコミュニケーションは不要です。
Ronove,……お嬢様は指し手以外のコミュニケーションによって煙に撒いていた。…それに惑わされないということはつまり、こういうことなのでしょう。」
{f:5:Beatrice},「……………むぅ。……なぜだか納得が行かぬ。」
Ronove,「お嬢様はチェスを挑んでいるはずではないのですか？」
{f:5:Beatrice},「それもそうだが。……むぅ！」
,ベアトリーチェは、理由もなく面白くない！という表情で頬を膨らます。
{f:5:Virgilia},「警察未介入の現場につき、人間側からの検証は限界があります。厳密な死亡確認の為、復唱要求することを推奨します。」
Ushiromiya Battler,「よっしゃ、ここで叩くぜ、復唱要求だッ！！
Ushiromiya Battler,　“被害者６人は全員死亡している”！！」
Ronove,「……お嬢様、復唱要求が出ておりますよ？」
Ushiromiya Battler,「おいッ、ぼんやりするな！！　復唱拒否か？！　ここからが戦闘開始だッ！！」
{f:5:Beatrice},「ふぇッ？！　おわったったったぁ！！くっくくく、済まぬ済まぬ、いいぞ応じるぞ。
{f:5:Beatrice}, {p:1:金蔵、源次、紗音、嘉音、郷田、熊沢の６人は死亡している！}」
Ushiromiya Battler,「何をぼんやりしてるんだか。…よし。まずはひとつ引き出したぞ。死んだフリって王道はまず否定されたな。」
{f:5:Beatrice},「くっくっく！　もはや手加減などせぬぞ、好きなだけ来るが良い。次々斜め切りにしてくれるわ！」
Ushiromiya Battler,「続けて復唱要求！６つの部屋には誰も隠れていない！　俺たちが認識していない人物の存在を否定してみせろ！」
{f:5:Beatrice},「応ずる。
{f:5:Beatrice}, {p:1:６つの部屋には誰も隠れていない！」}
Ushiromiya Battler,「よし。これで６人だけの缶詰は確定だな。そして死んだフリもない。」
{f:5:Beatrice},「……どうするどうするゥ？　人間にはもはやどうしようもないであろうがぁ。大人しく妾がステキな魔法で鍵を自由自在にするところを跪いて拝見しろよぉおぉ？」
Ushiromiya Battler,「寝言言ってろ。さらに復唱要求だ。“６人の死亡は即死である”！」
{f:5:Beatrice},「即死ぃ？　ほぅ、どういう意味だ、それは？」
{f:5:Virgilia},「……犠牲者の１人が瀕死の状態で部屋まで逃げ延び、内側から施錠して密室を作った後、息絶えた可能性もある、ということですよ。」
Ronove,「…ふ。密室殺人の古典ですか。致命傷を与え、しばらく後に死ぬことを確実とした場合。犠牲者が殺人者から逃れるために部屋に篭り、施錠後に死亡したなら、予期せずして密室が構成されることはありえます。」
{f:5:Virgilia},「その可能性を否定するには、赤き真実にて“６人は即死であった”ことを宣言する必要がありますよ。」
{f:5:Beatrice},「くっくっくっく！　良かろう良かろう、赤き宝刀にて切り伏せよう！
{f:5:Beatrice}, {p:1:　６人は即死であった！}　即死とはつまり、攻撃を受けて即座に行動不能になったという意味だ。
{f:5:Beatrice},まぁ、完全な意味での死亡には数秒、もしくは数分をかけたかもしれん。だが何れにせよ、自らの意思で何かの行動を取ることは完全に不可能であった。その意味において、即死と断言できる！」
Ushiromiya Battler,「…ここまでは古典の確認だ。お前との密室対決はここからだぜ…？犯人は内側にいないなら、外にいる。そして外からどうにかして彼らを殺したんだ。」
{f:5:Beatrice},「くっくっくっく！　何を血迷うか。“密室＝外部からの殺害は不可能”であろうが！　ゆえに魔法殺人しかありえない！」
Ushiromiya Battler,「いいや違うね。“殺人は現に起こった＝密室ではない”が正しいのさ！　お前がどう煙に撒こうと、これは断じて密室じゃない！密室に見えるだけの、紛い物だッ！」
Ronove,「しかし戦人さま。{p:1:室内には犠牲者しかおらず、それ以外の人物は室内には存在しておりません。}そしてお嬢様の密室定義により、外部からの遠隔殺人も明確に否定されておりますよ？」
Ushiromiya Battler,「待ちな。遠隔殺人の定義は広大だぜ？何も、部屋の外から釣り糸を引っ張って、室内の犠牲者を絞め殺したとか、そんなのばかりじゃねぇ。
Ushiromiya Battler,例えば、……トラップだって立派な遠隔殺人だ！」
{f:5:Beatrice},「トラップぅ？　ほぅ、それは何か！」
Ushiromiya Battler,「一例だが、彼らに予め決められた部屋に入り、内側から施錠して自ら密室を作り出すように指示を出す。そして室内には、彼らがそれとは知らないトラップが仕掛けられており、それによって彼らは殺された。……どうだッ？！　これなら矛盾は生じない！」
{f:5:Virgilia},「……問題ありません。現状と整合します。」
Ronove,「…当方も問題ありませんよ。お嬢様の密室定義にも抵触しません。」
{f:5:Beatrice},「くっはっははははははははは？！　何だそのマヌケな推理はァ？！　何れの室内にも不審なものは発見されなかったぞ？
{f:5:Beatrice},そのトラップはどのような形状なのか？！　どこに隠してあってどう作動したというのか？！　それを６人分、客間、客室、控え室、貴賓室、ボイラー室、礼拝堂の６つで説明してみせよ、どうだぁ？　出来まいッ？！？！」
Ushiromiya Battler,「反論拒否ッ！！　それを説明する必要はねぇ！！　にもかかわらず俺の主張は揺るがない！！」
{f:5:Beatrice},「なッ、何だとぉおおおぉおぉ…？！？！」
{f:5:Virgilia},「ベアトリーチェ、“悪魔の証明”ですよ。そのトラップの形状を説明できないことが即ち、トラップ否定の理由にはなり得ない！」
Ronove,「…………うまい。強引ながら見事な一手です。」
{f:5:Beatrice},「…くッ！！！　こいつ、すっかり手馴れおって……！！」
Ushiromiya Battler,「チェック。発見できていない殺人トラップＸにより、この密室殺人は成立可能だ。」
{f:5:Beatrice},「……あ、赤き真実にてそのチェックを斬る！！
{f:5:Beatrice}, {p:1:　６人はトラップで殺されてはいない}！」
Ushiromiya Battler,「トラップの定義は？！」
{f:5:Beatrice},「う、…えっと、…あれだ！　犠牲者が勝手に引っ掛かって発動するヤツとかだ。
{f:5:Beatrice},あー…、それだけじゃない！　リモコンで発動するとか、タイマーで発動するとか、……そういうの諸々全部含めたヤツだ！」
Ronove,「ぷっくっく…。仕掛け人が直接関与することなしに殺人を遂行できる全ての仕掛け、という定義でよろしいかと思いますよ。」
{f:5:Beatrice},「どッ、どうだ？！　切り返したぞッ！！人間にこの密室が破れて堪るか！！」
Ushiromiya Battler,「………………。…………お前も、勝つ為に必死だな。」
{f:5:Beatrice},「…何ぃ…？！　どういう意味だ…？」
Ushiromiya Battler,「……お前は自分の存在を俺に認めさせようと必死に戦ってる。今まで俺は、一方的にお前に弄られてるだけだと思ってた。
Ushiromiya Battler,…しかし実際は違った。お前もまた、俺の切り替えしに必死に抗い、自分の存在を示そうと戦っ;ている…！　俺はよ、…今ようやく実感してるぜ。」
,これは、俺が屈服するか否かを問う、俺に科せられた拷問じゃない。
Ushiromiya Battler,「俺とお前の、対等な戦いなんだ！！
Ushiromiya Battler,……さぁて面白くなって来たぜ？　６人は密室で死に、部外者は中に誰もいない。そして外部からはちょっかいは一切出せず、トラップもないと来た。これまでの俺だったら、これはもう魔法の仕業しかありえねぇだろうと思うだろうよ。
Ushiromiya Battler,……このタイミングで、お前におかしな魔法を実演されたら、そりゃあ屈服もしてただろうさ。………これがお前の得意戦術だ。
Ushiromiya Battler,…俺の指し手を全て迎撃し切り、俺が万策尽きたと膝を付く、心の防御力が弱るその瞬間に、これ見よがしにおかしな魔法を見せ付けて一気に勝負を持っていく！！」
{f:5:Virgilia},「………昔から短気な性分で。勝ちの目が見えると焦る悪い癖は相変わらずです。」
Ronove,「ぷっくっく。お嬢様はお預けができない性分ですから。」
{f:5:Beatrice},「えぇいうるさいうるさいぞ！！
{f:5:Beatrice},戦人の手番であるぞ？！　そなたが進めたトラップの駒は妾が赤にて斬り捨てた！　次は何を繰り出すのか？　存分に来るが良いッ！！」
Ushiromiya Battler,「おうッ！！　トラップまで潰され、一見、こいつは完全な密室犯罪に見える。……だからこそここで、チェス盤を引っ繰り返すぜッ！！」
{f:5:Beatrice},「…来たな、そなたの得意技よ！　何をどう引っ繰り返せるというのか？！　見せてみろぉおおおお！！」
Ushiromiya Battler,「あぁ、見せてやる！！　如何にして密室の中の６人を外から殺すかを考えるんじゃない！
Ushiromiya Battler,あぁ、駄目だ駄目だ、全然駄目だッ！　そうさ、どうやって外から殺すかじゃない。どうやって中で死んで密室にするかなんだ！
Ushiromiya Battler,……そうさ、これが答えなのさッ！！　犠牲者６人の中に犯人が含まれていたと考えれば、この密室は極めて容易に説明できる！」
{f:5:Beatrice},「なッ、何ぃいぃ？！馬鹿な！　その６人は死んだとはっきり妾は赤で言ったはず……！！」
Ushiromiya Battler,「死んだのは６人。犠牲者は殺された５人。もう１人は、自殺だったと仮定すればこの密室は打ち破れるッ！！」
Ronove,「……確かに。犯人が最後の密室に自ら入って施錠し、自らの命を絶てば、この連鎖密室は成立します。」
{f:5:Virgilia},「犯人の自殺。…普通では考えられない一手ですが、考えられないから存在しない、は存在しない。……そしてその動機を立証する義務は彼にない。魔女とのチェスでしか使えない、実に力強い一手…！」
Ronove,「……まぁ、動機がないとは言い切れませんね。…例えば、金蔵は余命があとわずかと宣告されています。残りわずかの生を惜しまず、自らの死をメッセージとした、…という動機付けも不可能ではないかもしれません。
Ronove,………お嬢様。こちらの手番ですよ。」
{f:5:Beatrice},「う、…うむ！　まさか、死者の尊厳を踏み躙ってまで犯人を生み出してくるとはな…！　こやつ、血も涙もない男よ…！」
Ushiromiya Battler,「死者を犯人に仕立て上げる。…この畜生にも劣る一手は、前回のゲームでお前が嘉音くんを陥れた一手だ。……この手でお前に一矢報いることが、ゲームは異なるが、あの時の嘉音くんへの手向けだ。
Ushiromiya Battler,今ッ、俺はあの時の嘉音くんの無念を晴らしたッ！！」
{f:5:Beatrice},「く……、くぅううぅぅ……ッ！！」
{f:5:Virgilia},「ここで手を休める義理はありませんよ。全員の死因が自殺でないことを確認すべきです。復唱の要求を推奨します。」
Ushiromiya Battler,「あぁ！！　だが、自殺なんて甘い言い方じゃ追い詰められねぇぜ！！　ベアト、こいつで詰めだ！！
Ushiromiya Battler,　復唱要求ッ！！　“６人は全員他殺である”！！」
Ronove,「…………………これは痛いですね。」
{f:5:Beatrice},「うぐッ…！！　……………………く、ぉぉ…！」
Ushiromiya Battler,「あぁん？　どうしたよ、６人が殺されたんだろ？！もっとも単純な一番最初の前提の確認でしかないぜ？　復唱できねぇのか？！」
{f:5:Beatrice},「ふ、……復唱を拒否する。…り、理由は特にない。」
Ushiromiya Battler,「ここでの復唱拒否はリザインと同じ意味だぜ？！
Ushiromiya Battler,チェックメイト！！　６人の中に犯人がいて、密室構築後に自殺を図った！　以上だッ！！」
{f:5:Beatrice},「…ま、待て！　いやその、……言う言う！　望み通り赤を行使するぞ！{p:1:　６人は誰も自殺していない！}
{f:5:Beatrice},どうだ？！　これで満足かッ…？！　くっくくくかっかかかかか！　切り返したぞ、切り返したッ！！！」
Ushiromiya Battler,「ちッ、……何だよ、言えるじゃねぇかよ…。…だがおかしいな。何であんなに狼狽してるんだ…？」
