Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,"I could open it a crack, but only enough to peek out into the corridor at best.","I could open it a crack, but only enough to peek out into the corridor at best. "," I could open it a crack, but only enough to peek out into the corridor at best.",わずかの隙間は許されるが、せいぜい廊下を覗き見られる程度。,わずかの隙間は許されるが、せいぜい廊下を覗き見られる程度。,"Я мог открыть в ней лишь щель, в лучшем случае достаточную, чтобы выглянуть в коридор.","Eu consegui abrir uma fresta nela, mas não serviu para nada mais além de espiar o corredor.",虽能稍微打开一条缝，但充其量只是能窥视下走廊。,雖能稍微打開一條縫，但充其量只是能窺視下走廊。,"Potevo aprirla appena, ma solo abbastanza da fare capolino nel corridoio nel migliore dei casi.","I could open it a crack, but only enough to peek out into the corridor at best.","Podría abrirla un poco, pero solo lo suficiente como para mirar hacia el corredor, como mucho.","I could open it a crack, but only enough to peek out into the corridor at best.","I could open it a crack, but only enough to peek out into the corridor at best.","I could open it a crack, but only enough to peek out into the corridor at best.","I could open it a crack, but only enough to peek out into the corridor at best."
,......It would probably be hard even to get just a fist through it.,Even getting just a fist through it would probably be hard. ," It would probably be hard even to get just a fist through it.",……握り拳ひとつさえ、通すのは難しいだろう。,……握り拳ひとつさえ、通すのは難しいだろう。,Через неё даже сложно просунуть руку.,......Provavelmente seria difícil até mesmo fazer um punho passar por ela.,……就连握紧的拳头，都很难通过吧。,……就連握緊的拳頭，都很難通過吧。,Probabilmente sarebbe difficile anche farci passare attraverso solo un pugno.,......It would probably be hard even to get just a fist through it.,Probablemente sería difícil tan sólo meter el puño a través de ese espacio.,......It would probably be hard even to get just a fist through it.,......It would probably be hard even to get just a fist through it.,......It would probably be hard even to get just a fist through it.,......It would probably be hard even to get just a fist through it.
,The windows wouldn't budge either.{n}They were no better than barred prison windows...,The window wouldn't budge either. It was no better than a barred prison window... ," The window won't budge either. It was no better than a barred prison window...",窓も、びくともしない。鉄格子の入った、監獄の窓も同然だった…。,窓も、びくともしない。{n}鉄格子の入った、監獄の窓も同然だった…。,Окно тоже не шелохнётся.{n}Ничем не лучше окна в тюремной камере...,As janelas não se mexiam um centímetro.{n}Não eram diferentes das janelas de uma cela...,窗户也是，坚实得纹丝不动。{n}简直等同于，用铁条制成的监狱铁窗…。,窗戶也是，堅實得紋絲不動。{n}簡直等同於，用鐵條制成的監獄鐵窗…。,Neanche la finestra si smuoverebbe. Non era meglio di una finestra sbarrata di prigione...,The windows wouldn't budge either.{n}They were no better than barred prison windows...,Tampoco puedo abrir la ventana.{n}Era peor que una ventana con barrotes de alguna prisión...,The windows wouldn't budge either.{n}They were no better than barred prison windows...,The windows wouldn't budge either.{n}They were no better than barred prison windows...,The windows wouldn't budge either.{n}They were no better than barred prison windows...,The windows wouldn't budge either.{n}They were no better than barred prison windows...
,The bathroom didn't even have a window.,The bathroom didn't even have a window. ," The bathroom didn't even have a window.",風呂場は、その窓さえない。,風呂場は、その窓さえない。,В ванной окон вообще не было.,O banheiro sequer tinha alguma abertura.,浴室里，连窗户都没有。,浴室裡，連窗戶都沒有。,Il bagno non aveva neanche una finestra.,The bathroom didn't even have a window.,El baño ni siquiera tenía una ventana.,The bathroom didn't even have a window.,The bathroom didn't even have a window.,The bathroom didn't even have a window.,The bathroom didn't even have a window.
,......The only thing that could get out through there was the water that flowed out if you turned on the tap.,...The only thing that could get out of there...was the water that flowed out if you turned on the tap. ,"......The only thing that could get out of there was the water that flowed out if you turned on the tap.",……そこから出られるのは、蛇口を捻って溢れ出す流水だけだ。,……そこから出られるのは、蛇口を捻って溢れ出す流水だけだ。,"......Оттуда могла выйти только вода, текущая, если повернуть кран.",......A única coisa que podia escapar daqui era a água que descia pelo encanamento quando você abria a torneira.,……能从那出去的，仅限拧开水龙头所喷出的流水。,……能從那出去的，僅限擰開水龍頭所噴出的流水。,... L'unica cosa che sarebbe potuta uscire da lì era l'acqua che fuoriusciva se aprivi il rubinetto.,......The only thing that could get out through there was the water that flowed out if you turned on the tap.,... Lo único que podía salir de aquí era el agua que fluía si se abría el grifo.,......The only thing that could get out through there was the water that flowed out if you turned on the tap.,......The only thing that could get out through there was the water that flowed out if you turned on the tap.,......The only thing that could get out through there was the water that flowed out if you turned on the tap.,......The only thing that could get out through there was the water that flowed out if you turned on the tap.
,"......No matter how hard I tried, ......I couldn't think of any way out of here.","...No matter what I do, ...I can't think of a way out of here. ","......No matter what I do, ......I can't think of a way out of here.",……どうやっても、……ここを出られる方法が思いつかない。,……どうやっても、……ここを出られる方法が思いつかない。,......Что бы я ни делал...... у меня не получается придумать способ выбраться отсюда.,"......Não importa o quanto me esforce, ......eu não consigo pensar em nenhuma forma de sair daqui.",……不管怎么做都想不出，……能从这出去的方法。,……不管怎麼做都想不出，……能從這出去的方法。,... Non importa cosa faccia... non riesco a pensare a una via d'uscita da qui.,"......No matter how hard I tried, ......I couldn't think of any way out of here.","... No importa qué haga, no se me ocurre ninguna forma de salir de aquí.","......No matter how hard I tried, ......I couldn't think of any way out of here.","......No matter how hard I tried, ......I couldn't think of any way out of here.","......No matter how hard I tried, ......I couldn't think of any way out of here.","......No matter how hard I tried, ......I couldn't think of any way out of here."
,"Shut in here like this, I was no more or less than a prisoner.","While shut up in a place like this, I truly am a prisoner. "," Being shut up in a place like this makes me a true prisoner.",ここに閉じ込められている自分は、まさに虜。,ここに閉じ込められている自分は、まさに虜。,"То, что я заперт здесь, делает меня настоящим пленником.","Preso em um lugar como esse, eu não sou diferente de um simples prisioneiro.",被关在这里的自己，整个就是一俘虏。,被關在這裡的自己，整個就是一俘虜。,Essere rinchiuso in un posto come questo mi rende un vero prigioniero.,"Shut in here like this, I was no more or less than a prisoner.",Estar encerrado en un lugar de esta manera me convierte en un verdadero prisionero.,"Shut in here like this, I was no more or less than a prisoner.","Shut in here like this, I was no more or less than a prisoner.","Shut in here like this, I was no more or less than a prisoner.","Shut in here like this, I was no more or less than a prisoner."
,"Unless someone came from outside to save me, ......I wouldn't be able to get out for all eternity.","Unless someone comes from outside to save me, ...I won't be able to get out for all eternity. "," Unless someone comes from outside to save me, ......I won't be able to get out for all eternity.",誰かが外から助けてくれない限り、……ここを永遠に出られはしないのだ。,誰かが外から助けてくれない限り、……ここを永遠に出られはしないのだ。,Если меня не придут спасти...... я никогда не смогу выйти отсюда.,"A não ser que alguém de fora venha para me salvar, ......eu ficarei preso aqui por toda a eternidade.",除非有谁从外面前来搭救，……否则永远都没法从这出去。,除非有誰從外面前來搭救，……否則永遠都沒法從這出去。,Finché qualcuno non viene da fuori per salvarmi... non riuscirò ad uscire per tutta l'eternità.,"Unless someone came from outside to save me, ......I wouldn't be able to get out for all eternity.",A menos que alguien de afuera venga a salvarme... no seré capaz de salir por toda la eternidad.,"Unless someone came from outside to save me, ......I wouldn't be able to get out for all eternity.","Unless someone came from outside to save me, ......I wouldn't be able to get out for all eternity.","Unless someone came from outside to save me, ......I wouldn't be able to get out for all eternity.","Unless someone came from outside to save me, ......I wouldn't be able to get out for all eternity."
,".........In that case, couldn't I just call for help?","......In that case, can't I just call for help? ",".........In that case, can't I just call for help? ",………なら、助けを呼べばいいのでは。,………なら、助けを呼べばいいのでは。,.........Тогда почему бы мне не позвать на помощь?,".........Sendo assim, eu não poderia pedir por ajuda?",………那么，去喊人来救我出去不就行了。,………那麼，去喊人來救我出去不就行了。,"... In quel caso, non posso semplicemente chiedere aiuto?",".........In that case, couldn't I just call for help?","... En ese caso, ¿no podría tan solo pedir ayuda?",".........In that case, couldn't I just call for help?",".........In that case, couldn't I just call for help?",".........In that case, couldn't I just call for help?",".........In that case, couldn't I just call for help?"
,"Yes, the tiny gap I could make in that door had to exist so that I could call for help.","Yes, the tiny gap I can make in that door must exist so that I can call for help. ","Yes, the tiny gap I can make in that door must exist so that I can call for help.",そう、あの扉に出来るわずかの隙間はやはり、助けを呼ぶためのものなのだ。,そう、あの扉に出来るわずかの隙間はやはり、助けを呼ぶためのものなのだ。,"Да, я могу открыть в двери крошечную щель для этого.","Sim, a pequena fresta que consigo abrir na porta pode servir para eu chamar por ajuda.",对，那扇门所能打开的一丝丝缝隙，果然是为喊人帮忙而留着的。,對，那扇門所能打開的一絲絲縫隙，果然是為喊人幫忙而留著的。,"Sì, la piccola fessura che posso fare in quella porta deve esistere così che io possa chiedere aiuto.","Yes, the tiny gap I could make in that door had to exist so that I could call for help.","Sí, el pequeño hueco que puedo hacer en esa puerta debe existir para que pueda pedir ayuda.","Yes, the tiny gap I could make in that door had to exist so that I could call for help.","Yes, the tiny gap I could make in that door had to exist so that I could call for help.","Yes, the tiny gap I could make in that door had to exist so that I could call for help.","Yes, the tiny gap I could make in that door had to exist so that I could call for help."
,But......could I make the words come out...?,But...can I make the words come out...? ," But......can I make the words come out...? ",でも、……口から言葉は、出せるだろうか…？,でも、……口から言葉は、出せるだろうか…？,Но...... как мне сказать?..,Mas......como vou fazer para as palavras saírem...?,但是，……从我的嘴巴，能蹦出话来吗…？,但是，……從我的嘴巴，能蹦出話來嗎…？,Ma... posso far uscire le parole...?,But......could I make the words come out...?,Pero... ¿podré decir las palabras?...,But......could I make the words come out...?,But......could I make the words come out...?,But......could I make the words come out...?,But......could I make the words come out...?
,"I had tried to call out for help before, but for some reason, the words couldn't escape my mouth.","Earlier, I tried to call out for help, but for some reason, the words couldn't escape my mouth. ","Earlier, I tried to call out for help, but for some reason, the words couldn't escape my mouth.",前にも、ここから助けを求めようとしたが、なぜか俺の口から言葉を出すことは出来なかった。,前にも、ここから助けを求めようとしたが、なぜか俺の口から言葉を出すことは出来なかった。,"Ранее я пытался позвать на помощь, но почему‐то слова не вышли из моего рта.","Eu já tentei chamar por ajuda antes, mas, por algum motivo, as palavras não vertiam pela minha boca.",之前，我也有尝试过从门缝喊人来帮忙，但不知为何从我的嘴巴，就是喊不出话来。,之前，我也有嘗試過從門縫喊人來幫忙，但不知為何從我的嘴巴，就是喊不出話來。,"Prima, provai a chiedere aiuto, ma per qualche ragione, le parole non potevano uscire dalla mia bocca.","I had tried to call out for help before, but for some reason, the words couldn't escape my mouth.","Antes, traté de pedir ayuda, pero por alguna razón, las palabras no podían escapar de mi boca.","I had tried to call out for help before, but for some reason, the words couldn't escape my mouth.","I had tried to call out for help before, but for some reason, the words couldn't escape my mouth.","I had tried to call out for help before, but for some reason, the words couldn't escape my mouth.","I had tried to call out for help before, but for some reason, the words couldn't escape my mouth."
,......I might have made some kind of mistake.,...Maybe I was just confused. ,"......I might have made some kind of mistake.",……何かの、間違いかもしれない。,……何かの、間違いかもしれない。,......Я мог что‐то неправильно понять.,......Talvez eu tivesse me confundido.,……也许，是哪搞错了吧。,……也許，是哪搞錯了吧。,... Devo aver commesso qualche errore.,......I might have made some kind of mistake.,... Debo haber cometido algún tipo de error.,......I might have made some kind of mistake.,......I might have made some kind of mistake.,......I might have made some kind of mistake.,......I might have made some kind of mistake.
,I might have just lost my voice in my haste and confusion.,I might've lost my voice in my haste and confusion. ," I might have just lost my voice in my haste and confusion.",焦って混乱していたので、声がかすれてしまっただけかもしれない。,焦って混乱していたので、声がかすれてしまっただけかもしれない。,"Может, я просто потерял голос в спешке и растерянности?",Eu posso ter perdido a voz por causa da minha apreensão e confusão naquela hora.,或许仅仅是因急得心乱如麻，而语未成声也说不定。,或許僅僅是因急得心亂如麻，而語未成聲也說不定。,Devo aver semplicemente perso la voce nella mia fretta e la mia confusione.,I might have just lost my voice in my haste and confusion.,Quizá solo perdí mi voz en mi apuro y confusión.,I might have just lost my voice in my haste and confusion.,I might have just lost my voice in my haste and confusion.,I might have just lost my voice in my haste and confusion.,I might have just lost my voice in my haste and confusion.
,I cracked the door open one more time.,I'll open the door and make that crack appear one more time. ," I'll open the door and make that crack appear one more time.",もう一度、扉を開けて隙間を作る。,もう一度、扉を開けて隙間を作る。,Открою ещё раз щель в двери.,Eu abri uma fresta na porta de novo.,我再一次地将门推开了一条缝。,我再一次地將門推開了一條縫。,Aprirò la porta e farò apparire quella fessura un'altra volta.,I cracked the door open one more time.,Abrí la puerta para que esa abertura apareciera una vez más.,I cracked the door open one more time.,I cracked the door open one more time.,I cracked the door open one more time.,I cracked the door open one more time.
,"The warm light of the hallway flowed in, making the darkness of the room stand out all the more...","The warm light of the hallway flowed in, making the darkness of the room stand out all the more... "," The warm light of the hallway flowed in, making the darkness of the room stand out all the more...",温かな廊下の明かりが漏れ、一層、部屋の闇を引き立たせる…。,温かな廊下の明かりが漏れ、一層、部屋の闇を引き立たせる…。,"Из коридора лился тёплый свет, всё больше выделяя темноту комнаты...","A calorosa luz do corredor inundou o quarto, fazendo com que a escuridão do mesmo se afastasse de uma vez só...",走廊上的温暖亮光漏入室内，更进一步地衬托出了房中的阴暗…。,走廊上的溫暖亮光漏入室內，更進一步地襯托出了房中的陰暗…。,"La calda luce del vestibolo affluì, facendo risaltare a maggior ragione l'oscurità della stanza...","The warm light of the hallway flowed in, making the darkness of the room stand out all the more...","La cálida luz del vestíbulo fluyó hacia dentro, haciendo que la oscuridad del cuarto sobresaliera aún más...","The warm light of the hallway flowed in, making the darkness of the room stand out all the more...","The warm light of the hallway flowed in, making the darkness of the room stand out all the more...","The warm light of the hallway flowed in, making the darkness of the room stand out all the more...","The warm light of the hallway flowed in, making the darkness of the room stand out all the more..."
,"Though I couldn't hear any voices, I did feel something peaceful.","Though I couldn't hear any voices, I did feel something peaceful. "," Though I couldn't hear any voices, I did feel something peaceful.",声は聞こえずとも、やはり和やかな気配が感じられる。,声は聞こえずとも、やはり和やかな気配が感じられる。,"Я не слышал голосов, но чувствовал нечто мирное.","Embora não conseguisse ouvir vozes, eu pude sentir uma certa tranquilidade.",虽并未听到声音，但果然是能感到和乐融融的欢快气息。,雖並未聽到聲音，但果然是能感到和樂融融的歡快氣息。,"Anche se non potevo sentire alcuna voce, sentivo qualcosa di tranquillo.","Though I couldn't hear any voices, I did feel something peaceful.","Aunque no podía oír ninguna voz, sentía algo pacífico allí.","Though I couldn't hear any voices, I did feel something peaceful.","Though I couldn't hear any voices, I did feel something peaceful.","Though I couldn't hear any voices, I did feel something peaceful.","Though I couldn't hear any voices, I did feel something peaceful."
,"......I was sure that everyone was in a room at the other end of the hallway, chatting happily about something.","...I'm sure everyone's in the room at the other end of the hallway, chatting happily about something. ","......I'm sure everyone's in the room at the other end of the hallway, chatting happily about something.",……廊下の向こうの部屋にきっとみんながいて、楽しそうに談笑してるに違いないのだ。,……廊下の向こうの部屋にきっとみんながいて、楽しそうに談笑してるに違いないのだ。,......Наверняка все радостно болтают о чём‐то в комнате на другом конце коридора.,"......Certamente todos estavam em um quarto ao final do corredor, conversando alegremente sobre algum assunto.",……大家肯定是正在走廊对面的房间里，开心谈笑着。,……大家肯定是正在走廊對面的房間裡，開心談笑著。,"... Sono sicuro che tutti sono nella stanza dall'altra parte del corridoio, chiacchierando allegramente riguardo a qualcosa.","......I was sure that everyone was in a room at the other end of the hallway, chatting happily about something.","... Estoy seguro de que todos están en la habitación al otro lado del pasillo, conversando felizmente sobre algo.","......I was sure that everyone was in a room at the other end of the hallway, chatting happily about something.","......I was sure that everyone was in a room at the other end of the hallway, chatting happily about something.","......I was sure that everyone was in a room at the other end of the hallway, chatting happily about something.","......I was sure that everyone was in a room at the other end of the hallway, chatting happily about something."
,"If I could just call out, someone would surely come to save me......","If I can just call out, surely someone will come to save me... "," If I can just call out, surely someone will come to save me......",声さえ出せれば、きっと誰かが助けに来てくれる……。,声さえ出せれば、きっと誰かが助けに来てくれる……。,"Если я смогу позвать на помощь, меня обязательно придут спасти......","Se eu conseguisse gritar, alguém certamente viria me salvar......",只要能喊出声，就一定会有人来救我的……。,只要能喊出聲，就一定會有人來救我的……。,"Se potessi solo chiamare, di sicuro qualcuno verrà a salvarmi...","If I could just call out, someone would surely come to save me......","Si tan solo pudiera llamarlos, seguramente alguien vendría a salvarme...","If I could just call out, someone would surely come to save me......","If I could just call out, someone would surely come to save me......","If I could just call out, someone would surely come to save me......","If I could just call out, someone would surely come to save me......"
,""".........Haah, .........haah, ............nng...""","""......Haah, ......haah, ......nng..."" ",""".........Haah, .........haah, .........nng...""",「………はぁ、………はぁ、…………んっ、…」,「………はぁ、………はぁ、…………んっ、…」,""".........Ха‐а......... ха‐а......... нгх...""",""".........Haah, .........haah, ............nng...""",「………哈啊，………哈啊，…………嗯，…」,「………哈啊，………哈啊，…………嗯，…」,"""... Haah... haah... nng...""",""".........Haah, .........haah, ............nng...""","""... Uff... uff... urgh...""",""".........Haah, .........haah, ............nng...""",""".........Haah, .........haah, ............nng...""",""".........Haah, .........haah, ............nng...""",""".........Haah, .........haah, ............nng..."""
,"Holding back some indescribable fear, I tried yelling once more...","Holding back some indescribable fear, I tried yelling once more... ","Holding back some indescribable fear, I tried yelling once more...",形容し難い、何かの恐怖感に耐えつつ、再び大きな声を出そうと試みる…。,形容し難い、何かの恐怖感に耐えつつ、再び大きな声を出そうと試みる…。,"Сдерживая неописуемый страх, я попытался закричать ещё раз...","Com um sentimento de medo difícil de descrever, eu tentei gritar mais uma vez...",我边忍耐着难以形容的莫名恐惧，边再次尝试大声喊叫…。,我邊忍耐著難以形容的莫名恐懼，邊再次嘗試大聲喊叫…。,"Trattenendo una paura indescrivibile, provai a urlare un'altra volta...","Holding back some indescribable fear, I tried yelling once more...","Soportando un miedo indescriptible, traté de gritar una vez más...","Holding back some indescribable fear, I tried yelling once more...","Holding back some indescribable fear, I tried yelling once more...","Holding back some indescribable fear, I tried yelling once more...","Holding back some indescribable fear, I tried yelling once more..."
,"""..................!! ...............!!! .....................!!!!""","""......!! ......!!! .........!!!!"" ","""............!! ............!!! ...............!!!!""",「………………ッッッ！！　……………！！！　…………………ッッッ！！！」,「………………ッッッ！！　……………！！！　…………………ッッッ！！！」,"""............! ............!!! ...............!!!!!!""","""..................!! ...............!!! .....................!!!!""",「………………！！……………！！！…………………！！！」,「………………！！……………！！！…………………！！！」,"""...!! ...!!! ...!!!!""","""..................!! ...............!!! .....................!!!!""","""¡¡...!! ¡¡¡...!!! ¡¡¡...!!!""","""..................!! ...............!!! .....................!!!!""","""..................!! ...............!!! .....................!!!!""","""..................!! ...............!!! .....................!!!!""","""..................!! ...............!!! .....................!!!!"""
,But the result was the same.,But the result was the same. ,"But the result was the same.",だが、結果は同じ。,だが、結果は同じ。,Но результат был тем же.,Mas o resultado foi o mesmo.,但是，结果一样。,但是，結果一樣。,Ma il risultato fu lo stesso.,But the result was the same.,Pero el resultado fue el mismo.,But the result was the same.,But the result was the same.,But the result was the same.,But the result was the same.
