Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,"No matter how far humans broaden their experiences, in the end, they can only hold a single personal worldview. Maybe that's why it's so interesting to interact with someone who has a different worldview.","No matter how far humans broaden their experiences, they always end up viewing the world through the lense of their own values. Maybe that's why it's so interesting to interact with people who have different worldviews. "," No matter how far humans broaden their experiences, they stick to their own view of the world in the end. Maybe that's why it's so interesting to mingle with people who have a different worldview.", 人間というのは、どんなに見聞を広めようとも、所詮は自分ひとりの価値観しか持てない。だからこそ、異なる価値観を持つ人間と交流することはこんなにも面白いのかもしれない。,人間というのは、どんなに見聞を広めようとも、所詮は自分ひとりの価値観しか持てない。だからこそ、異なる価値観を持つ人間と交流することはこんなにも面白いのかもしれない。,"Не так важно, насколько люди становятся опытны, ведь в конце концов у них остаётся свой взгляд на вещи. Может быть, как раз поэтому так интересно общаться с людьми, чей взгляд на мир отличается от остальных.","Não importa o quão vastas sejam as experiências de um humano, no fim, eles só podem abraçar uma única visão de mundo. Talvez por isso seja tão interessante interagir com alguém com uma visão de mundo diferente.",人类再怎么开阔见闻，终归也就只能持有自己一个人的价值观。说不定正因如此，与持有不同价值观的人交流才会如此有趣吧。,人類再怎麼開闊見聞，終歸也就只能持有自己一個人的價值觀。說不定正因如此，與持有不同價值觀的人交流才會如此有趣吧。,"Non importa quanto gli esseri umani aumentino le loro esperienze, alla fine rimangono fedeli alla propria visione del mondo. Forse questo è il motivo per cui è così interessante mescolarsi alle persone che ne hanno una percezione differente.","Ogni essere umano, a prescindere da quanto allarghi le sue conoscenze, conserverà comunque la propria visione delle cose. Forse è questa la ragione per cui è così tanto intrigante interagire con persone che hanno valori diversi dai nostri.","Por mucho que el ser humano amplíe sus experiencias, al final solo puede tener una única visión personal del mundo. Tal vez sea por eso que es tan interesante interactuar con alguien que tiene una visión del mundo diferente.",ﻣﻬﻤﺎ ﻳﺨﺘﺒﺮ ﺍﻟﻤﺮﺀ، ﻓﻠﻦ ﻳﺪﺭﻙ ﺳﻮﻯ ﻣﻨﻈﻮﺭﻩ ﻭﺣﺪﻩ. ﻟﻌﻞ ﻫﺬﺍ ﻣﺎ ﻳﺠﻌﻞ ﺍﻻﺣﺘﻜﺎﻙ ﺑﻤﻦ ﻳﺨﺘﻠﻒ ﻋﻨﻚ ﻣﺜﻴﺮﺍ ﻟﻼﻫﺘﻤﺎﻡ.,"No matter how far humans broaden their experiences, in the end, they can only hold a single personal worldview. Maybe that's why it's so interesting to interact with someone who has a different worldview.","No matter how far humans broaden their experiences, in the end, they can only hold a single personal worldview. Maybe that's why it's so interesting to interact with someone who has a different worldview.","İnsanlar edindikleri deneyimleri ne kadar ileri götürürlerse götürsünler, sonuçta yalnızca tek bir kişisel dünya görüşüne sahip olabilirler. Belki de bu yüzden farklı bir dünya görüşüne sahip biriyle etkileşime geçmek çok ilginçtir."
,I said that to her honestly.{n}And she responded:,I voiced my thoughts on this. She responded. ," I was honest when I said that. Then, she responded.", 僕は正直にそれを口にした。 すると彼女は答える。,僕は正直にそれを口にした。{n}すると彼女は答える。,"Я был откровенен, когда говорил это.{n}Тогда она ответила.","Eu disse isso para ela, honestamente.{n}E ela respondeu:",我将此如实说出。{n}说完后，她答道。,我將此如實說出。{n}說完後，她答道。,"Ero onesto quando lo dissi. Allora, lei rispose.",Le espressi con franchezza questo pensiero.{n}Lei mi rispose subito dopo.,Le dije eso con sinceridad.{n}Y ella respondió:,ﺻﺎﺭﺣﺘﻬﺎ ﺑﺬﻟﻚ.{n}ﻓﺄﺟﺎﺑﺖ:,I said that to her honestly.{n}And she responded:,I said that to her honestly.{n}And she responded:,Bunu ona dürüstçe söyledim.{n}O da cevap verdi:
Shannon,"""Certainly, this might not be the real sea. ...But, if those little guys swimming in there believe that it's a sea, then it certainly is a sea.""","""True, this may not be the real sea. ...But if those little guys swimming in there believe it's the sea, then that's what it is."" ","""Certainly, this might not be the real sea. ...But, if those little guys swimming in there believe that it's the sea, then to them it certainly is the sea.""",「確かに、これは本当の海ではないかもしれません。…でも、ここに泳ぐ彼らが海だと信じたなら、これは確かに海なんです。」,「確かに、これは本当の海ではないかもしれません。…でも、ここに泳ぐ彼らが海だと信じたなら、これは確かに海なんです」,"""Конечно, это не может быть настоящим морем. ...Но если те маленькие рыбки, что плавают там, считают что это — море, тогда конечно, для них это море.""","""De fato, este pode não ser o mar de verdade. ...Mas se esses pequeninos nadando aqui acreditarem que é o mar, então ele certamente é um mar.""",「的确，这也许不是真正的海。……可是，只要在此遨游的它们相信这是海，那这就确实是海。」,「的確，這也許不是真正的海。……可是，只要在此遨游的它們相信這是海，那這就確實是海。」,"""Certamente, questo può non essere il vero oceano. ... Ma, se quei piccolini che nuotano lì dentro credono che lo sia, allora per loro è certamente l'oceano.""","""È ovvio che questo non potrebbe essere mai un vero oceano... Ma se quelli che vi ci nuotano credono che sia un mare, lo diventerà senz'altro.""","""Es cierto que este no es el mar verdadero... Pero si esos pequeños peces que nadan ahí creen que es un mar, entonces ciertamente es un mar.""","""ﻻ ﺷﻚ ﺃﻧﻪ ﻟﻴﺲ ﺑﺤﻘﻴﻘﻲ. ...ﻭﻟﻜﻦ، ﻟﻮ ﺻﺪﻗﺖ ﻫﺬﻩ ﺍﻟﻤﺨﻠﻮﻗﺎﺕ ﺍﻟﺼﻐﻴﺮﺓ ﻫﻨﺎ ﺃﻧﻪ ﺑﺤﺮ، ﻓﻬﻮ ﺑﺎﻟﺘﺄﻛﻴﺪ ﺑﺤﺮ.""","""Certainly, this might not be the real sea. ...But, if those little guys swimming in there believe that it's a sea, then it certainly is a sea.""","""Certainly, this might not be the real sea. ...But, if those little guys swimming in there believe that it's a sea, then it certainly is a sea.""","""Elbette bu gerçek deniz olmayabilir. ...Ama eğer orada yüzen o küçük adamlar bunun bir deniz olduğuna inanıyorlarsa, o zaman bu kesinlikle bir denizdir."""
Ushiromiya George,"""Even though they're inside a finite tank.""","""Even though they're inside a finite tank?"" ","""Even though they're inside a finite tank?""",「たとえ、有限の水槽の中だったとしてもね。」,「たとえ、有限の水槽の中だったとしてもね」,"""Даже если они внутри ограниченного аквариума?""","""Mesmo que estejam dentro de um tanque finito.""",「即便它们只是身处于这有限的水槽之中啊。」,「即便它們只是身處於這有限的水槽之中啊。」,"""Anche se sono dentro a una vasca con dei bordi??""","""Anche se sono dentro a una vasca con dei bordi?""","""Aun así, ellos se encuentran dentro de un tanque finito.""","""ﺭﻏﻢ ﻛﻮﻧﻬﻢ ﻓﻲ ﺣﻮﺽ ﻣﺤﺪﻭﺩ؟""","""Even though they're inside a finite tank.""","""Even though they're inside a finite tank.""","""Sonu olan bir tankın içinde olsalar bile?"""
Shannon,"""The sea is finite too. No, even if it were infinite, how much could we cover in our whole lives? I'm sure that it would be so much smaller than a sea.""","""The sea is finite too. Then again, even if the sea were infinite, how much could we cover in our whole lives? I'm sure it'd be only a minuscule fraction of the sea."" ","""The sea is finite too. But, even if the sea were infinite, how much could we cover in our whole lives? I'm sure that it would only be a miniscule fraction of the sea.""",「海だって、有限ですよ。うぅん、仮に無限だったとしても。私たちは生きている内にどれほどの広さを行き来できるんでしょうね。きっと、それは海よりずっと狭い。」,「海だって、有限ですよ。うぅん、仮に無限だったとしても。私たちは生きている内にどれほどの広さを行き来できるんでしょうね。きっと、それは海よりずっと狭い」,"""И у моря есть границы. Но даже если бы море было бесконечно, какую часть его мы бы смогли охватить за всю нашу жизнь? Я уверена, что это была бы лишь крошечная часть моря.""","""O mar também é finito. Não, mesmo se ele fosse infinito, o quanto nós podemos cobrir durante toda a nossa vida? Tenho certeza de seria muito menor do que um oceano.""",「就算是海，也是有限的呀。不，就算假设海是无限的。我们在有生之年又能往来于其中的多少区域呢？肯定是比大海要狭小得多。」,「就算是海，也是有限的呀。不，就算假設海是無限的。我們在有生之年又能往來於其中的多少區域呢？肯定是比大海要狹小得多。」,"""Anche l'oceano ha un limite. Ma, anche se fosse infinito, quanto potremmo percorrerne in tutta la nostra vita? Sono sicura che sarebbe soltanto una minuscola frazione.""","""Persino l'oceano ha un limite. No, anche supponendo che sia infinito, quanto spazio potremmo percorrere in tutta la nostra vita? Sono sicura che sarebbe una minuscola frazione.""","""El mar también es finito. No, incluso si fuera infinito, ¿cuánto de ese mar podríamos recorrer a lo largo de toda nuestra vida? Estoy segura de que sería una distancia mucho más pequeña que el mismo mar.""","""ﻭﺍﻟﺒﺤﺮ ﻣﺤﺪﻭﺩ ﺃﻳﻀﺎ. ﺑﻞ ﺣﺘﻰ ﻟﻮ ﻛﺎﻥ ﺍﻟﺒﺤﺮ ﺑﻼ ﺣﺪ، ﻛﻢ ﺳﻨﺮﻯ ﻣﻨﻪ ﻓﻲ ﺣﻴﺎﺗﻨﺎ? ﻻ ﺷﻚ ﺃﻧّﻪ  ﺃﺻﻐﺮ ﺑﻜﺜﻴﺮ ﻣﻦ ﺑﺤﺮ ﺣﻘﻴﻘﻲ.""","""The sea is finite too. No, even if it were infinite, how much could we cover in our whole lives? I'm sure that it would be so much smaller than a sea.""","""The sea is finite too. No, even if it were infinite, how much could we cover in our whole lives? I'm sure that it would be so much smaller than a sea.""","""Denizin de sonu vardır. Hayır, sonsuz olsaydı bile, tüm hayatımız boyunca ne kadarını kapsayabilirdik ki? Bir denizden çok daha küçük olacağına eminim."""
Ushiromiya George,"""...Certainly. It's ironic, isn't it? Even though the world is so vast, most of us live out our lives without ever leaving our own country.""","""...You're right. It's ironic, isn't it? Even though the world is so vast, most of us humans live our lives without ever leaving our own country."" ","""...Certainly. It's ironic, isn't it? Even though the world is so vast, most of us live our lives without ever leaving our own country.""",「…確かに。皮肉な話だね。世界はこんなにも広いのに、僕たち人間のほとんどは、自分の国からも出ずに生涯を終える。」,「…確かに。皮肉な話だね。世界はこんなにも広いのに、僕たち人間のほとんどは、自分の国からも出ずに生涯を終える」,"""...Разумеется. Какая ирония, не находишь? Даже при том, что мир так огромен, большинство из нас живёт своими жизнями, не покидая пределов собственной страны.""","""...Certamente. É irônico, não é? Mesmo o mundo sendo tão vasto, a maioria de nós vive sua vida sem sequer deixar o seu próprio país.""",「…确实。真是讽刺啊。世界明明是如此辽阔，而我们人类中的绝大部分却连自己的国家都没有离开过，就结束了人生。」,「…確實。真是諷刺啊。世界明明是如此遼闊，而我們人類中的絕大部分卻連自己的國家都沒有離開過，就結束了人生。」,"""... Certamente. È ironico, vero? Anche se il mondo è così vasto, la maggior parte di noi vive la propria vita senza mai neanche lasciare il proprio Paese.""","""...Senza dubbio. È ironico. Anche se il mondo è così vasto, la maggior parte di noi trascorre la propria vita senza neanche lasciare il proprio paese.""","""... Eso es verdad. Es irónico, ¿no? Aunque el mundo es tan vasto, la mayoría de nosotros vive su vida sin salir de su propio país.""","""...ﺃﻧﺖ ﻣﺤﻘﺔ. ﺃﻟﻴﺲ ﻣﻦ ﺍﻟﻤﻔﺎﺭﻗﺎﺕ، ﺃﻥ ﻣﻌﻈﻢ ﺍﻟﻨﺎﺱ ﻓﻲ ﻫﺬﺍ ﺍﻟﻌﺎﻟﻢ ﺍﻟﻔﺴﻴﺢ ﻳﻌﻴﺸﻮﻥ ﺣﻴﺎﺗﻬﻢ ﻛﻠﻬﺎ ﻣﻦ ﻏﻴﺮ ﻣﻐﺎﺩﺭﺓ ﺑﻠﺪﺍﻧﻬﻢ؟""","""...Certainly. It's ironic, isn't it? Even though the world is so vast, most of us live out our lives without ever leaving our own country.""","""...Certainly. It's ironic, isn't it? Even though the world is so vast, most of us live out our lives without ever leaving our own country.""","""...Haklısın. İronik değil mi? Dünya bu kadar büyük olmasına rağmen, çoğumuz hayatımızı kendi ülkemizden hiç ayrılmadan yaşıyoruz."""
Shannon,"""All it takes is the belief that it is a complete world...for even the bottom of a narrow well to be a proper world, and a sea. ...In the eyes of the frogs who live there.""","""If the inhabitants of a place believe they're living in a complete world, then even the bottom of a narrow well can be a wonderful world, an entire ocean. ...At least to the frogs that live there."" ","""If they believe that this place is a complete world, then it would be a wonderful world, a sea...even if it were in the bottom of a narrow well. ...A sea in the eyes of the frogs that live there.""",「そこが、完成された世界だと信じられるなら。たとえ狭い井戸の底だったって、立派な世界で、海なんです。…そこに住むカエルにとっては。」,「そこが、完成された世界だと信じられるなら。たとえ狭い井戸の底だったって、立派な世界で、海なんです。…そこに住むカエルにとっては」,"""Если они думают, что это место и есть весь мир, то это был бы замечательный мир моря... Даже если он и ограничен. ...Море в глазах лягушек, обитающих в нём.""","""Tudo o que resta é acreditar que seja um mundo completo...assim mesmo um poço estreito pode ser um mundo, e também um oceano. ...Aos olhos dos sapos que vivem nele.""",「只要能相信那里是个已然完成的世界。那就算是狭窄的井底，也是一个完整的世界，是一片海洋。……在居住于那里的青蛙眼里，就是如此哦。」,「只要能相信那裡是個已然完成的世界。那就算是狹窄的井底，也是一個完整的世界，是一片海洋。……在居住於那裡的青蛙眼裡，就是如此哦。」,"""Se credono che questo posto sia un mondo completo, allora sarebbe un mondo bellissimo, un mare... anche se fosse soltanto il fondo di uno stretto pozzo. ... Un mare agli occhi delle rane che ci vivono.""","""Se crederanno di vivere in un mondo perfetto, anche il fondo di un piccolo pozzo sarà un oceano dentro uno stupendo reame... agli occhi delle rane che ci vivono.""","""Todo lo que se necesita es la creencia de que es un mundo completo... para que incluso el fondo de un pozo estrecho sea un mundo como tal, y hasta un mar... en los ojos de las ranas que viven allí.""","""ﺑﻤﺠﺮﺩ ﺍﻹﻳﻤﺎﻥ ﺑﺴﻜﻨﺎﻙ ﻋﺎﻟﻤﺎ ﻣﺘﻜﺎﻣﻼ...ﺣﺘﻰ ﻗﻌﺮ ﺍﻟﺒﺌﺮ ﺍﻟﻀﻴﻘﺔ ﺗﺼﺒﺢ ﺩﻧﻴﺎ ﺗﺎﻣﺔ، ﺑﺤﺮﺍ ...ﻓﻲ ﻧﻈﺮ ﺍﻟﻀﻔﺎﺩﻉ ﺳﺎﻛﻨﺘﻬﺎ.""","""All it takes is the belief that it is a complete world...for even the bottom of a narrow well to be a proper world, and a sea. ...In the eyes of the frogs who live there.""","""All it takes is the belief that it is a complete world...for even the bottom of a narrow well to be a proper world, and a sea. ...In the eyes of the frogs who live there.""","""Dar bir kuyunun dibinin bile gerçek bir dünya...ve deniz olabilmesi için tek gereken, onun eksiksiz bir dünya olduğuna inanmaktır. ...En azından orada yaşayan kurbağalara göre."""
,"Shannon, who spent her days as a servant on a small island ten kilometers in circumference called Rokkenjima, said that with a smile.","Shannon, who spent her days as a servant on a small island 10 kilometers in circumference called Rokkenjima, said that with a smile. ","Shannon, who spent her days as a servant on a small island 10 kilometers in circumference called Rokkenjima, said that with a smile.", 六軒島という、全長が１０ｋｍ程度の小島で使用人として日々を過ごす彼女は、微笑みながらそう言った。,六軒島という、全周が１０ｋｍ程度の小島で使用人として日々を過ごす彼女は、微笑みながらそう言った。,"Шаннон, проводившая свои дни в качестве прислуги на небольшом острове протяжённостью в 10 километров под названием Роккенджима, говорила об этом с улыбкой.","Shannon, que tinha passado sua vida como uma serviçal em uma pequena ilha com dez quilômetros de circunferência chamada Rokkenjima, disse isso com um sorriso.",在一座名为六轩岛的全长十公里左右的小岛上，天天过着佣人生活的她，微笑着，如此说道。,在一座名為六軒島的全長十公里左右的小島上，天天過著傭人生活的她，微笑著，如此說道。,"Shannon, che spendeva i propri giorni su una piccola isola di 10 chilometri di circonferenza chiamata Rokkenjima, disse ciò con un sorriso.","Shannon, che in qualità di domestica trascorreva ogni giornata su Rokkenjima, un'isolotto dalla circonferenza di 10 chilometri, pronunciò tali parole con un sorriso.","Shannon, que ha pasado sus días como sirvienta en una pequeña isla de diez kilómetros de circunferencia llamada Rokkenjima, dijo eso con una sonrisa.",ﺷﺎﻧﻮﻥ، ﺍﻟﺘﻲ ﺃﻣﻀﺖ ﻋﻤﺮﻫﺎ ﺧﺎﺩﻣﺔ ﻋﻠﻰ ﺟﺰﻳﺮﺓ ﺻﻐﻴﺮﺓ ﻣﺤﻴﻄﻬﺎ ﻋﺸﺮ ﻛﻴﻠﻮﻣﺘﺮﺍﺕ ﺗﺪﻋﻰ ﺭﻭﻛﻴﻨﺠﻴﻤﺎ ﻗﺎﻟﺖ ﺫﻟﻚ ﺑﺎﺑﺘﺴﺎﻡ.,"Shannon, who spent her days as a servant on a small island ten kilometers in circumference called Rokkenjima, said that with a smile.","Shannon, who spent her days as a servant on a small island ten kilometers in circumference called Rokkenjima, said that with a smile.","Günlerini Rokkenjima adlı, yaklaşık on kilometre çapındaki küçük bir adada hizmetkâr olarak geçiren Shannon, bunu gülümseyerek söyledi."
,"After we finished walking through the whole aquarium, we had a slightly late afternoon lunch at a restaurant with a nice view.","After we finished walking through the whole aquarium, we had a small late-afternoon lunch at a restaurant with a nice view. "," After we finished walking through the whole aquarium, we had a small late-afternoon lunch at a restaurant with a nice view.", 僕たちは水族館を一通り回った後、見晴らしのいい展望レストランで少し遅い昼食を取った。,僕たちは水族館を一通り回った後、見晴らしのいい展望レストランで少し遅い昼食を取った。,"После того как мы обошли весь океанариум, у нас состоялся запоздалый обед в ресторане, из которого открывался замечательный вид.","Depois que terminamos de caminhar por todo o aquário, nós tivemos um almoço levemente atrasado em um restaurante com uma bela vista.",我们在水族馆里走了一圈后，在一个视野开阔的餐馆里用了稍晚的午餐。,我們在水族館裡走了一圈後，在一個視野開闊的餐館裡用了稍晚的午餐。,"Dopo aver finito di visitare l'intero acquario, ci fermammo nel tardo pomeriggio per un piccolo pasto ad un ristorante con una bella vista.","Dopo aver finito di visitare tutto l'acquario, pranzammo nel tardo pomeriggio in un ristorante con un bel panorama.","Cuando terminamos de visitar el acuario, almorzamos a última hora de la tarde en un restaurante con buenas vistas.",ﺑﻌﺪﻣﺎ ﺟُﺒﻨﺎ ﺣﻮﺽ ﺍﻟﺴﻤﻚ ﻛﻠَّﻪ، ﺗﻨﺎﻭﻟﻨﺎ ﻏﺪﺍﺀ ﻣﺘﺄﺧﺮﺍ ﻓﻲ ﻣﻄﻌﻢ ﺫﻱ ﺇﻃﻼﻟﺔ ﺑﻬﻴﺔ.,"After we finished walking through the whole aquarium, we had a slightly late afternoon lunch at a restaurant with a nice view.","After we finished walking through the whole aquarium, we had a slightly late afternoon lunch at a restaurant with a nice view.","Tüm akvaryumu gezmeyi bitirdikten sonra, güzel manzaralı bir restoranda biraz geç bir öğle yemeği yedik."
,Any boy's heart will jump about at the sight of a buffet.,"The word ""buffet"" has the power to make any boy's heart leap. "," This buffet would certainly cause any boy's heart to jump about.", バイキング形式に心が躍るのは、男の子だったら誰でもそうに違いない。,バイキング形式に心が躍るのは、男の子だったら誰でもそうに違いない。,"Этот шведский стол, несомненно, способен привести в волнение сердце любого парня.",O coração de qualquer garoto pularia diante da visão de um buffet.,一看见自助餐就会雀跃不已，乃是只要是个男孩就必然会有的天性。,一看見自助餐就會雀躍不已，乃是只要是個男孩就必然會有的天性。,Questo buffet certamente farebbe felice il cuore di qualsiasi bambino.,Ero certo che l'idea di un buffet farebbe saltare di gioia qualsiasi ragazzino.,El corazón de cualquier chico se aceleraría al ver un bufet.,ﻛﻞ ﺍﻟﻔﺘﻴﺎﻥ ﺗﺨﻔﻖ ﻗﻠﻮﺑﻬﻢ ﻋﻨﺪ ﺭﺅﻳﺔ ﻣﺎﺋﺪﺓ ﻣﻔﺘﻮﺣﺔ.,Any boy's heart will jump about at the sight of a buffet.,Any boy's heart will jump about at the sight of a buffet.,Her çocuğun kalbi açık büfe görünce yerinden fırlar.
,I myself was like that in the past.,I was like that myself once. ," I myself was like that in the past.", 自分だって昔はそうだった。,自分だって昔はそうだった。,В прошлом я сам был таким.,Eu mesmo fui assim no passado.,我以前也是这样。,我以前也是這樣。,Anch'io ero così in passato.,Anch'io in passato ero così.,Yo mismo era así en el pasado.,ﺣﺘﻰ ﺃﻧﺎ ﻛﻨﺖ ﻛﺬﻟﻚ ﻓﻴﻤﺎ ﻣﻀﻰ.,I myself was like that in the past.,I myself was like that in the past.,Ben de geçmişte böyleydim.
,"But with Shannon beside me, this buffet felt different.{n}I couldn't shamefully make a huge pile of nothing but my favorite foods.","But with Shannon beside me, this buffet felt different. I couldn't shamefully pile on only the things I liked. "," But with Shannon beside me, this buffet felt different. I couldn't shamefully pile on only the things I like.", でも、紗音と一緒のバイキングは違う。 好きなものだけみっともなく山盛りにできない。,でも、紗音と一緒のバイキングは違う。{n}好きなものだけみっともなく山盛りにできない。,"Но вместе с Шаннон за этим шведским столом приходилось вести себя иначе.{n}Я не мог позорно навалить целую кучу всего, что мне нравилось.","Mas com a Shannon ao meu lado, este buffet parecia diferente.{n}Eu não podia descaradamente fazer uma grande pilha com minhas comidas favoritas.",不过，跟纱音一起用自助餐时就不一样了。{n}没办法不成体统地光去拿一大堆自己喜欢的食物。,不過，跟紗音一起用自助餐時就不一樣了。{n}沒辦法不成體統地光去拿一大堆自己喜歡的食物。,"Ma con Shannon al mio fianco, il buffet sembrava diverso. Non potevo ammucchiare senza ritegno soltanto le cose che mi piacevano.",Ma insieme a Shannon era tutta un'altra storia.{n}Non potevo arraffare senza ritegno soltanto le cose che mi piacevano.,"Pero con Shannon a mi lado, este bufet se sentía diferente.{n}No podía avergonzarme a mí mismo haciendo una pila enorme de mis comidas favoritas.",ﻭﺑﻮﺟﻮﺩ ﺷﺎﻧﻮﻥ ﻣﻌﻲ، ﻫﺬﻩ ﺍﻟﻤﺎﺋﺪﺓ ﻣﺨﺘﻠﻔﺔ{n}ﻻ ﻳﻨﺒﻐﻲ ﻟﻲ ﺃﻥ ﺃﺭﻛﻢ ﺃﻃﻌﻤﺘﻲ ﺍﻟﻤﻔﻀﻠﺔ ﻓﻮﻕ ﺑﻌﻀﻬﺎ ﺑﻼ ﺣﻴﺎﺀ.,"But with Shannon beside me, this buffet felt different.{n}I couldn't shamefully make a huge pile of nothing but my favorite foods.","But with Shannon beside me, this buffet felt different.{n}I couldn't shamefully make a huge pile of nothing but my favorite foods.",Ama Shannon yanımdayken bu açık büfe bana farklı geldi.{n}En sevdiğim yiyeceklerden oluşan kocaman bir yığını utanmadan yapamazdım.
,"I was—how should I put it—worried about my appearance, and chose a menu suited for a snob: toast, salad and coffee.","I was...how should I put it...worried about my appearance and choose a menu suited for a snob: toast, salad and coffee. "," I was...how should I put it...worried about my appearance and choose a menu suited for a snob, toast, salad and coffee.", 何て言うのかその、…見栄えを気にしてしまい、トーストにサラダにコーヒーなんて、キザったらしいメニューにしてしまう。,何て言うのかその、…見栄えを気にしてしまい、トーストにサラダにコーヒーなんて、キザったらしいメニューにしてしまう。,"Я должен был... как бы правильнее выразиться... соблюсти приличия и выбрать меню под стать снобу, то есть тосты, салат и кофе.","Eu estava — como eu poderia colocar — preocupado com a minha aparência, e escolhi um menu adequado a um esnobe: torrada, salada e café.",怎么说呢……，为了面子好看，我只拿了烤面包、沙拉和咖啡这种有点假斯文的菜品。,怎麼說呢……，為了面子好看，我只拿了烤麵包、沙拉和咖啡這種有點假斯文的菜品。,"Ero... come potrei dire... preoccupato del mio aspetto e scelsi un menu adatto ad uno snob, toast, insalata e caffè.","Ero, come potrei dirlo... preoccupato per la mia apparenza, e scelsi un menù dall'aria sofisticata: toast, insalata e caffé.","Estaba, cómo decirlo, preocupado por mi apariencia, por lo que opté por un menú propio de un esnob: tostadas, ensalada y café.",ﻛﻨﺖ -ﻛﻴﻒ ﺃﻗﻮﻟﻬﺎ- ﻣﻬﺘﻤﺎ ﺑﻤﻈﻬﺮﻱ، ﻓﺎﺧﺘﺮﺕ ﺃﻃﻌﻤﺔ ﺗﻠﻴﻖ ﺑﺎﻟﻨﺒﻼﺀ: ﺧﺒﺰ، ﺳﻠﻄﺔ ﻭﻗﻬﻮﺓ.,"I was—how should I put it—worried about my appearance, and chose a menu suited for a snob: toast, salad and coffee.","I was—how should I put it—worried about my appearance, and chose a menu suited for a snob: toast, salad and coffee.","Görünüşüm hakkında—nasıl söylemeliyim—endişeliydim, ve bir züppeye uygun bir menü seçtim: tost, salata ve bir kahve."
,"If I were by myself, I'd have made a pile of greasy stuff like yakisoba, mashed potatoes, gratins, and the like.","If I'd been by myself, I would've made a pile of oily stuff like yakisoba, mashed potatoes, gratin, and so on. "," If I were by myself, I'd have made a pile of oily stuff like yakisoba, mash potato, gratins, and the like.", 僕ひとりだったなら、焼きそばやマッシュポテトにグラタン等の油っぽいのを山盛りにしてるところだ。,僕ひとりだったなら、焼きそばやマッシュポテトにグラタン等の油っぽいのを山盛りにしてるところだ。,"Будь я один, то набрал бы кучу жирной еды, вроде якисобы, картофельного пюре, запеканки и тому подобного.","Se eu estivesse sozinho, teria feito uma pilha de coisas gordurosas, como yakisoba, purê de tomates, gratinados, e por aí vai.",若只有我一个人，就会去拿一大堆炒面、土豆泥和奶汁烤菜之类油腻的食物了。,若只有我一個人，就會去拿一大堆炒麵、土豆泥和奶汁烤菜之類油膩的食物了。,"Se fossi stato solo, avrei fatto una pila di cibi grassi come yakisoba, purè di patate, gratin, e cose del genere.","Se fossi stato solo, avrei preso una pila di cibi grassi come yakisoba, purè, patate gratinate, e così via.","Si estuviera solo, habría hecho una pila de cosas grasientas, como yakisoba, puré de papa, gratinados y cosas así.",ﻟﻮ ﻛﻨﺖ ﻭﺣﺪﻱ، ﻟﺴﻜﺒﺖ ﻃﻌﺎﻣﺎ ﺩﺳﻤﺎ ﻛﺎﻟﻴﺎﻛﻴﺴﻮﺑﺎ (ﺍﻟﻤﻌﻜﺮﻭﻧﺔ)، ﺍﻟﺒﻄﺎﻃﺎ ﺍﻟﻤﻬﺮﻭﺳﺔ، ﺍﻟﻐﺮﺍﺗﺎﻥ (ﺑﻄﺎﻃﺎ ﺑﺎﻟﺠﺒﻦ)، ﻭﺃﺷﻴﺎﺀ ﻛﻬﺬﻩ.,"If I were by myself, I'd have made a pile of greasy stuff like yakisoba, mashed potatoes, gratins, and the like.","If I were by myself, I'd have made a pile of greasy stuff like yakisoba, mashed potatoes, gratins, and the like.","Tek başıma olsaydım, yakisoba, patates püresi, graten ve benzeri bir yığın yağlı şey koyardım."
