Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,"From that fact, I imagine that Grandfather's condition has grown much worse, and it may even be one of the major topics of discussion at the family conference...","It made me think that Grandfather's condition might've worsened so much, it'd be a major topic of discussion at today's conference... After all, George said something like that just a second ago. "," I imagined that because Grandfather's condition had grown much worse, it may have become one of the major topics of discussion.",そのことから何となく、祖父さまの容態がだいぶ悪く、それが親族会議の議題のひとつとなっているのではないかと想像する…。,そのことから何となく、祖父さまの容態がだいぶ悪く、それが親族会議の議題のひとつとなっているのではないかと想像する…。,"Скорее всего, подумал я, состояние дедушки ухудшилось, и это станет одной из главных тем для обсуждения.","Por causa disso, eu presumi que as condições do vovô estavam piores, e isso pode vir a ser um dos principais tópicos da conferência familiar...",从这点上多少也不难想像到，爷爷的身体状况确实是相当差了，大概这也会成为亲族会议的议题之一吧…。,從這點上多少也不難想像到，爺爺的身體狀況確實是相當差了，大概這也會成為親族會議的議題之一吧…。,"Immaginai che dal momento che le condizioni del Nonno erano molto peggiorate, poteva essere diventato uno dei principali argomenti di discussione.","Con queste premesse, avevo supposto che le condizioni di salute di nostro nonno fossero peggiorate di molto, e che questo sarebbe stato uno degli argomenti di discussione della riunione di famiglia...","Por esto, supuse que la condición del abuelo había empeorado mucho, y esto puede haberse hecho uno de los principales temas de discusión...",ﺗﺼﻮﺭﺕ ﺃﻥ ﺳﺒﺐ ﺫﻟﻚ ﻫﻲ ﺣﺎﻟﺔ ﺟﺪﻱ ﺍﻟﺘﻲ ﺍﺯﺩﺍﺩﺕ ﺳﻮﺀﺍ، ﻭﺍﻟﺬﻱ ﺃﺻﺒﺢ ﺃﺣﺪ ﺍﻟﻤﻮﺍﺿﻴﻊ ﺍﻟﺮﺋﻴﺴﻴﺔ ﻓﻲ ﺍﻟﻨﻘﺎﺵ.,"From that fact, I imagine that Grandfather's condition has grown much worse, and it may even be one of the major topics of discussion at the family conference...","Ini menandakan kondisi Kakek semakin buruk, dan mungkin menjadi topik utama konferensi...","Bu gerçekten yola çıkarak, Büyükbabamın durumunun çok daha kötüye gittiğini tahmin ediyorum, ve hatta aile konferansının ana tartışma konularından biri olabilir..."
,"George‐aniki was just saying it, too.{n}For the past year, Grandfather has been continually pronounced as having very little time left to live.","Something about how we've been getting continuous reports since around last year that Grandfather didn't have long to live. ...It's nasty to think about it, but consider how rich Grandfather is. "," George was just saying it, too. Reports that Grandfather's remaining life was very short had been appearing continuously since around a year ago.",さっき譲治の兄貴も言ってる。祖父さまは去年辺りから余命が短いというような宣告をずっと受け続けてると。,さっき譲治の兄貴も言ってる。{n}祖父さまは去年辺りから余命が短いというような宣告をずっと受け続けてると。,"Джордж тоже упомянул об этом.{n}Сведения о том, что дедушке осталось мало жить на этом свете, начали непрерывно возникать где‐то приблизительно год назад.","O George‐aniki também estava falando sobre isso.{n}Desde o ano passado, ele continua dizendo que tem muito pouco tempo de vida restante.",刚才让治大哥也说过。{n}爷爷从去年开始就一直被告知命不久矣。,剛才讓治大哥也說過。{n}爺爺從去年開始就一直被告知命不久矣。,Anche George lo stava giusto dicendo. Rapporti che dicevano che il tempo di vita rimanente del Nonno era molto corto erano apparsi continuamente da circa un anno fa.,"Anche il fratellone George lo stava dicendo giusto poco fa. Ossia che da circa l'anno scorso, si ricevevano costantemente responsi sulla sua bassa aspettativa di vita...",George‐aniki estaba diciendo lo mismo.{n}Ya hace alrededor de un año que llegaban informes asegurando que al abuelo le quedaba muy poco tiempo de vida.,ﻟﻘﺪ ﻗﺎﻝ ﺟﻮﺭﺝ ﺫﻟﻚ ﺃﻳﻀﺎ.{n}ﺍﻟﺘﺸﺨﻴﺼﺎﺕ ﺍﻟﺘﻲ ﺗﺸﻴﺮ ﺇﻟﻰ ﺃﻥ ﺣﻴﺎﺓ ﺟﺪﻱ ﺍﻟﻤﺘﺒﻘﻴﺔ ﻗﺼﻴﺮﺓ ﺟﺪﺍ ﺗﺮﺩﺩﺕ ﺑﺎﺳﺘﻤﺮﺍﺭ ﻣﻨﺬ ﺣﻮﺍﻟﻲ ﻋﺎﻡ.,"George‐aniki was just saying it, too.{n}For the past year, Grandfather has been continually pronounced as having very little time left to live.","Baru saja George-aniki juga mengatakannya.{n}Sejak setahun terakhir, Kakek terus-menerus dinyatakan tinggal menghitung hari.","George-aniki de tam bunu söylüyordu.{n}Son bir yıldır, Büyükbabaya sürekli olarak çok az ömrü kaldığı söyleniyor."
,"...It's awful to talk about, but Grandfather is an extremely rich man.{n}At the time of his death, his wealth will suddenly be released, along with our parents' stomach acid, surely leading to some serious ulcers.","At the time of his death, his wealth will suddenly be released, probably along with a fair share of our parents' stomach acid, and it'll lead to ulcers for everyone. "," It was a nasty story, but Grandfather was an extremely rich man. At the time of his death, his wealth would suddenly be released, along with our parents' stomach acid, and would probably lead to ulcers.",…汚ぇ話だが、これだけ大富豪の祖父さまだ。死ねば遺産がどっと出て、親父たちの胃酸も同じくらいどっと出て、さぞや胃潰瘍になるだろうよ。,…汚ぇ話だが、これだけ大富豪の祖父さまだ。{n}死ねば遺産がどっと出て、親父たちの胃酸も同じくらいどっと出て、さぞや胃潰瘍になるだろうよ。,"В этой истории приятного мало, но дедушка — сказочно богатый человек.{n}После его смерти его богатство, наверное, будет высвобождено, что вызовет у наших родителей бурный приток желудочной кислоты, из‐за которого они заработают себе приличную язву желудка.","...É horrível ter de falar sobre isso, mas nosso avô é um homem extremamente rico. No momento de sua morte, sua riqueza vai ser libertada, assim como as ácidas dores de estômago de nossos pais, o que vai levar a algumas úlceras.",…虽然这么讲是有点肮脏，但爷爷毕竟也是超级大富豪。{n}他要是死了，那一大笔遗产一涌而出，我爸他们的胃酸也会随之一涌而出，想必都会得胃溃疡吧。,…雖然這麼講是有點骯髒，但爺爺畢竟也是超級大富豪。{n}他要是死了，那一大筆遺產一涌而出，我爸他們的胃酸也會隨之一涌而出，想必都會得胃潰瘍吧。,"Era una brutta storia, ma il Nonno era un uomo estremamente ricco. {n}Al momento della sua morte, le sue ricchezze sarebbero state improvvisamente sbloccate, assieme agli acidi gastrici dei nostri genitori, che avrebbero probabilmente portato a delle ulcere.","Non si dovrebbe dirlo, ma il nonno era un uomo estremamente ricco.{n}Al momento della sua morte, la sua eredità sarebbe venuta di colpo a galla, così come sarebbero venuti di colpo a galla gli acidi gastrici dei nostri genitori, causando senz'altro delle ulcere.","Por repugnante que esto resulte, el abuelo es un hombre sumamente rico.{n}En el momento de su muerte, su riqueza sería liberada, así como el ácido gástrico de nuestros padres, y probablemente formaría úlceras en el estómago.",ﺇﻧﻬﺎ ﻗﺼﺔ ﻧﺘﻨﻪ، ﻟﻜﻦ ﺟﺪﻱ ﻳﻤﻠﻚ ﺛﺮﻭﺓ ﺿﺨﻤﺔ.{n}ﻭﻋﻨﺪ ﻭﻓﺎﺗﻪ، ﺳﻴﺘﻢ ﺍﻟﻜﺸﻒ ﻋﻦ ﺛﺮﻭﺗﻪ، ﺟﻨﺒﺎ ﺇﻟﻰ ﺟﻨﺐ ﻣﻊ ﺃﻟﻢ ﺍﻟﺒﻄﻦ ﻵﺑﺎﺋﻨﺎ، ﺇﺫ ﻗﺪ ﻳﺼﻴﺒﻬﻢ ﺫﻟﻚ ﺑﺎﻟﻘﺮﺣﺔ.,"...It's awful to talk about, but Grandfather is an extremely rich man.{n}At the time of his death, his wealth will suddenly be released, along with our parents' stomach acid, surely leading to some serious ulcers.","...Ini sensitif, tapi Kakek sangat kaya.{n}Saat dia meninggal, kekayaannya akan dibagi-bagi, dan pasti memicu perselisihan serius.","...Konuşması bile korkunç ama Büyükbaba son derece zengin bir adam.{n}Ölümünden sonra serveti, ebeveynlerimizin mide asidiyle birlikte aniden serbest kalacak ve kesinlikle ciddi ülserlere yol açacaktır."
,"With this kind of thing, the greater the number of ways it must be split, the more trouble will be caused splitting it.","After all, this sort of thing just gets messier when there's more wealth to be divided. "," With this kind of thing, the greater the share, the more trouble would be caused.",こういうのの分け合いは多ければ多いほどトラブルになるそうだからな。,こういうのの分け合いは多ければ多いほどトラブルになるそうだからな。,"При таком раскладе — чем больше доля, тем больше хлопот она принесёт.","Com esse tipo de coisa, quanto maior forem as maneiras de se dividir, mais problemas isso vai causar.",毕竟像这种谈分配的问题，势必越说就越容易出纠纷。,畢竟像這種談分配的問題，勢必越說就越容易出糾紛。,"Con questo genere di cose, maggiore la parte, maggiori i problemi che ne sarebbero derivati.","Più spartisci qualcosa del genere, tanto più nascono problemi.","Y es que, cuanto más hay que repartir, más problemas hay.",ﻣﻊ ﻫﺬﺍ ﺍﻟﻨﻮﻉ ﻣﻦ ﺍﻷﻣﻮﺭ، ﻛﻠﻤﺎ ﺯﺍﺩﺕ ﺍﻟﻤﺸﺎﺭﻛﺔ، ﺗﻔﺎﻗﻤﺖ ﺍﻟﻤﺸﻜﻠﺔ.,"With this kind of thing, the greater the number of ways it must be split, the more trouble will be caused splitting it.","Semakin banyak pihak yang terlibat, semakin rumit pembagiannya.","Bu tür bir şey ne kadar çok parçaya ayrılırsa, parçalanması da o kadar büyük sorunlara yol açacaktır."
,"...This kind of talk would probably also be included in the family conference.{n}...Oh well, it's not like it has anything to do with us children.","There's a good chance they'll be talking about stuff like that at the family conference. ...Still, it's not like it's got anything to do with us kids. "," This would probably also be included in the family conference. Oh well, it's not like it had anything to do with us children.",…そういう話も、親族会議には含まれるのかもしれない。…まぁ、俺たち子供にゃ関係ないことだが。,…そういう話も、親族会議には含まれるのかもしれない。{n}…まぁ、俺たち子供にゃ関係ないことだが。,"Скорее и это тоже станет темой обсуждения.{n}Ну и ладно. Не то чтобы это касается нас, детей.","...Esse tipo de conversa provavelmente também vai ser discutida durante a conferência.{n}...Bem, não é como se isso tivesse a ver com nós, as crianças.",…没准这个问题，也会包含在亲族会议的议题里。{n}…不过，跟我们小孩没关系就是了。,…沒准這個問題，也會包含在親族會議的議題裡。{n}…不過，跟我們小孩沒關係就是了。,"Anche questo sarebbe probabilmente stato incluso nella conferenza di famiglia. Oh beh, non è che avesse nulla a che fare con noi ragazzi.","Anche questo probabilmente sarebbe stato incluso nella riunione di famiglia.{n}Oh beh, nulla che riguardasse noi ragazzi...","Dicha conversación podría aparecer en la conferencia familiar.{n}Aunque bueno, no es como si tuviera algo que ver con nosotros los jóvenes.",ﻣﻦ ﺍﻟﻤﺤﺘﻤﻞ ﺃﻥ ﻳﻨﺎﻗﺶ ﻫﺬﺍ ﺃﻳﻀﺎ ﻓﻲ ﺍﺟﺘﻤﺎﻉ ﺍﻟﻴﻮﻡ.{n}ﻻﺑﺄﺱ، ﻻ ﻋﻼﻗﺔ ﻟﻨﺎ ﻧﺤﻦ ﺍﻟﺼﻐﺎﺭ ﺑﻬﺬﻩ ﺍﻷﻣﻮﺭ.,"...This kind of talk would probably also be included in the family conference.{n}...Oh well, it's not like it has anything to do with us children.","...Pembahasan seperti ini pasti termasuk dalam konferensi keluarga.{n}...Tapi itu urusan orang tua, bukan kami anak-anak.","...Bu tür bir konuşma muhtemelen aile konferansında da konu olacaktır.{n}...Oh her neyse, bunun biz çocuklarla bir ilgisi yok."
,"......Finally, even though he's absent, let me introduce our Grandfather.","......Finally, even though he hasn't shown up, let me introduce our Grandfather. ","......Finally, even though he was absent, let me introduce our Grandfather.",……最後に、空席ではあるが、祖父さまの紹介をしよう。,……最後に、空席ではあるが、祖父さまの紹介をしよう。,"......И наконец, пусть он и отсутствует, позвольте мне представить нашего дедушку.","......Finalmente, mesmo sem a presença dele, me deixem apresentar o meu avô.",……最后，介绍下没有到场的爷爷。,……最後，介紹下沒有到場的爺爺。,"... Infine, anche se è assente, lasciate che vi introduca nostro Nonno.","Infine, anche se non è tra i presenti, lasciate che vi introduca nostro nonno.","Por último, aunque esté ausente, permítanme presentar a nuestro abuelo.",…..ﺃﺧﻴﺮﺍ، ﻋﻠﻰ ﺍﻟﺮﻏﻢ ﻣﻦ ﻏﻴﺎﺑﻪ ﻟﻜﻦ ﺍﺳﻤﺤﻮﺍ ﻟﻲ ﺃﻥ ﺃﻗﺪﻡ ﺟﺪﻧﺎ.,"......Finally, even though he's absent, let me introduce our Grandfather.","......Terakhir, meski tidak hadir, perkenalkan Kakek kami.","......Son olarak, burada olmasa da Büyükbabamızı takdim edeyim."
,The person who should be sitting in that seat of honor is Ushiromiya Kinzo ({p:0:金蔵}).,"The person who should be sitting in that ""Incipient's Chair"" is Ushiromiya Kinzo. ", The person who should be sitting in that 'Incipient's Chair' was Ushiromiya Kinzo.,あのお誕生日席に座るべき人物は、右代宮金蔵。,あのお誕生日席に座るべき人物は、右代宮金蔵。,"Человеком, которому полагалось сидеть на месте, именуемом ""начальственным стулом"", был Уширомия Кинзо ({p:0:金蔵}).",A pessoa que deveria estar sentada no assento de honra se chama Ushiromiya Kinzo ({p:0:金蔵}).,本应坐在那空着的上座之人，是右代宫金藏。,本應坐在那空著的上座之人，是右代宮金藏。,"La persona che dovrebbe essere seduta su quella ""Sedia dell'Incipiente"" era Ushiromiya Kinzo.",La persona che dovrebbe essere seduta a capotavola si chiama Kinzo ({p:0:金蔵}) Ushiromiya...,La persona que debería sentarse en aquel Asiento de Honor es Ushiromiya Kinzo ({p:0:金蔵}).,ﺍﻟﺮﺟﻞ ﺍﻟﺬﻱ ﻳﺠﺐ ﺃﻥ ﻳﺠﻠﺲ ﻋﻠﻰ ﻛﺮﺳﻲ “ﺧﻠﻴﻔﺔ ﺍﻟﻌﺎﺋﻠﺔ” ﻫﻮ ﻛﻴﻨﺰﻭ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ. ({p:0:蔵金}).,The person who should be sitting in that seat of honor is Ushiromiya Kinzo ({p:0:金蔵}).,Orang yang seharusnya duduk di kursi kehormatan itu adalah Ushiromiya Kinzo ({p:0:金蔵}).,O şeref koltuğunda oturması gereken kişi Ushiromiya Kinzo ({p:0:金蔵}).
,"...It really sucks. He gave everyone else in the family these weird names, but he himself uses one which is conservative as all hell.","...It really sucks. Everyone else in the family has these weird names, but he's got this perfectly normal one himself. ","...It really sucks. Everyone else in the family has these weird names, but he himself took this perfectly normal name.",…ひでぇ話さ。一族にみんな妙な名前をつけやがった分際で、自分は金蔵（きんぞう）なんてえれー無難な名前を名乗ってやがる。,…ひでぇ話さ。一族にみんな妙な名前をつけやがった分際で、自分は金蔵なんてえれー無難な名前を名乗ってやがる。,"...Какой отстой. Всем в семье даны странные имена, а он единственный нормальное носит.","...É realmente uma merda. Ele deu nomes estranhos para todos da família, mas ele mesmo tem um nome extremamente conservador.",…真是过分啊。把我们一家都搞成那种怪名字，自己却叫{ruby:Kinzo:金藏}这种挑不出毛病来的名字。,…真是過分啊。把我們一家都搞成那種怪名字，自己卻叫{ruby:Kinzo:金藏}這種挑不出毛病來的名字。,"... Che schifo. Tutti gli altri in famiglia hanno questi nomi strani, ma lui stesso se l'è preso perfettamente normale.","Che bastardo. A tutti in famiglia sono stati affibbiati dei nomi strani, ma guarda caso, lui ne ha uno perfettamente normale.","... Realmente apesta. Todos los demás en la familia tienen nombres extraños, pero él mismo tiene un nombre perfectamente normal.",…..ﻫﺬﺍ ﻣﻘﻴﺖ ﺣﻘﺎ. ﻛﻞ ﺷﺨﺺ ﻓﻲ ﺍﻟﻌﺎﺋﻠﺔ ﻳﺤﻤﻞ ﻫﺬﻩ ﺍﻷﺳﻤﺎﺀ ﺍﻟﻐﺮﻳﺒﺔ، ﻟﻜﻦ ﻫﻮ ﻧﻔﺴﻪ ﺃﺧﺬ ﻫﺬﺍ ﺍﻻﺳﻢ ﺍﻟﻄﺒﻴﻌﻲ ﺗﻤﺎﻣﺎ.,"...It really sucks. He gave everyone else in the family these weird names, but he himself uses one which is conservative as all hell.","...Sungguh menyebalkan. Dia memberi nama aneh untuk semua orang, tapi namanya sendiri biasa-biasa saja.",...Bu gerçekten berbat. Ailedeki diğer herkese bu tuhaf isimleri vermiş ama kendisi son derece muhafazakâr bir isim kullanıyor.
,"If only his name were written with those same characters for ""gold"" and ""vault"", but he let us call him ""Goldsmith"" or something, that'd be totally awesome!","If only his name were written Kinzo ({p:0:金蔵}), but he let us call him ""Goldsmith"" or something, I'd totally freak out. "," If only his name were written Kinzo({p:0:金蔵}), but he let us call him 'Goldsmith' or something, that'd be totally awesome.",そこで金蔵と書いてゴールドスミスとでも呼ばせたら、素敵ー！って絶叫しちまうんだけどな！,そこで金蔵と書いてゴールドスミスとでも呼ばせたら、素敵ー！　って絶叫しちまうんだけどな！,"Если его имя, состоящее из иероглифов ""золото"" и ""хранилище"", осталось неизменным, а он бы позволил нам называть его ""Голдсмит"" или чем‐то подобным, было бы просто здорово.","Como o nome dele é escrito com os mesmo caracteres de ""gold—ouro"" e ""warehouse—armazém"", poderíamos chamar ele de ""Goldsmith—ourives"" ou algo assim, isso é incrível!",这要是写作金藏却念作黄金史密斯的话，我一定会为此欢呼：太帅了——！,這要是寫作金藏卻念作黃金史密斯的話，我一定會為此歡呼：太帥了——！,"L'unica cosa è che il suo nome è scritto Kinzo ({p:0:金蔵}), ma si fa chiamare ‘Goldsmith’ o qualcosa del genere da noi, sarebbe totalmente fantastico.","Se scrivesse il suo nome come ‘Kinzo’ ma si facesse chiamare ‘Goldsmith’ o qualcosa del genere, griderei: ‘era ora!’.","Ojalá su nombre se escribiera con los caracteres de ""oro"" y ""bóveda"", y nos dejase llamarle ""Goldsmith"" o algo así. ¡Eso sí que sería genial!","ﻳﻤﻜﻦ ﻛﺘﺎﺑﺔ ﺍﺳﻤﻪ ﻓﻘﻂ ({f:6:蔵 金}) ""ﻛﻴﻨﺰﻭ""، ﻟﻜﻨﻪ ﺳﻤﺢ ﻟﻨﺎ ﺃﻥ ﻧﺴﻤﻴﻪ “ﺟﻮﻟﺪ ﺳﻤﻴﺚ” ﺃﻭ ﺷﻲﺀ ﻛﻬﺬﺍ، ﻫﺬﺍ ﻣﺪﻫﺶ ﺗﻤﺎﻣﺎ.","If only his name were written with those same characters for ""gold"" and ""vault"", but he let us call him ""Goldsmith"" or something, that'd be totally awesome!","Andai saja namanya ditulis dengan kanji yang sama tapi dibaca ""Goldsmith"" atau semacamnya, pasti akan keren sekali!","Keşke adı ""gold"" ve ""vault"" ile aynı karakterlerle yazılsaydı ve ona ""Goldsmith"" ya da onun gibi bir şey dememize izin verseydi, bu harika olurdu!"
,"As you can probably gather from all the talk about him, he's a frightening person with an extremely short temper.","As you can probably guess by now, he's a frightening person with an extremely short temper. "," As you can probably guess from the topics that have been raised, he was a frightening person with an extremely short temper.",さっきから何度か話題に上ってるので大体わかるだろうが、非常に短気でおっかないお人だ。,さっきから何度か話題に上ってるので大体わかるだろうが、非常に短気でおっかないお人だ。,"Как вы, наверное, уже могли догадаться из разговоров за столом, он был внушающим страх и крайне вспыльчивым человеком.","Como você deve ter percebido com as conversas, ele é uma pessoa assustadora e com um pavio extremamente curto.",从刚才开始就提过他好多次，想必大家也都知道了吧，他是个脾气非常暴躁的可怕之人。,從剛才開始就提過他好多次，想必大家也都知道了吧，他是個脾氣非常暴躁的可怕之人。,"Come potreste probabilmente intuire dagli argomenti che sono stati sollevati, era una persona spaventosa ed estremamente irascibile.","Come potrete probabilmente intuire dalle conversazioni avute finora, era una persona spaventosa ed estremamente irascibile.","Como se puede adivinar con todo lo que ya se ha dicho, es una persona con un temperamento fuerte.",ﻣﻦ ﺧﻼﻝ ﺍﻟﻤﻮﺿﻮﻋﺎﺕ ﺍﻟﺘﻲ ﺃﺛﻴﺮﺕ ﺣﻮﻟﻪ، ﻳﻤﻜﻦ ﻭﺻﻔﻪ ﺑﺄﻧﻪ ﺷﺨﺺ ﻣﺨﻴﻒ ﺫﻭ ﻣﺰﺍﺝ ﺍﻧﻔﻌﺎﻟﻲ ﻟﻠﻐﺎﻳﺔ.,"As you can probably gather from all the talk about him, he's a frightening person with an extremely short temper.","Seperti bisa ditebak dari semua cerita tentangnya, dia orang yang menakutkan dan pemarah.","Hakkında konuşulanlardan da anlayabileceğiniz gibi, son derece çabuk sinirlenen, korkutucu bir insan."
,"...Because I'm just his grandkid, and haven't met him since I was in elementary school six years ago, I don't remember ever having been beaten by him, but it seems that our parents were raised with an iron fist.","I'm one of his grandchildren, not a son, and I haven't seen him since elementary school. Thanks to that, I have no memory of being beaten myself, but our parents were apparently raised with an iron fist. "," Because I was one of the grandchildren and hadn't met the family since elementary school, I had no memory of being beaten, but it seems that our parents were raised with an iron fist.",…俺は孫だし、最後に会ったのは６年前の小学生の時だったので、叩かれたりした覚えはないんだが、親兄弟たちはずっと鉄拳で教育されてきたらしい。,…俺は孫だし、最後に会ったのは６年前の小学生の時だったので、叩かれたりした覚えはないんだが、親兄弟たちはずっと鉄拳で教育されてきたらしい。,"Поскольку я был одним из внуков и не встречался с семьёй, начиная с начальной школы, я не припоминаю, чтобы меня били, но вот наших родителей, по‐видимому, растили, держа в ежовых рукавицах.","...Como eu sou seu neto, e não o vejo desde o ensino fundamental, seis anos atrás, eu não me lembro dele ter me batido alguma vez, mas nossos pais sempre foram tratados com punhos de ferro.",…我毕竟是孙子辈的，最后一次见面又是六年前上小学的时候，所以并不记得有被他打过，但我爸那几兄妹好像一直是接受着他的铁拳教育长大的。,…我畢竟是孫子輩的，最後一次見面又是六年前上小學的時候，所以並不記得有被他打過，但我爸那几兄妹好像一直是接受著他的鐵拳教育長大的。,"Dal momento che io ero uno dei nipoti e non avevo incontrato la famiglia sin dalle elementari, non avevo memoria di essere stato picchiato, ma sembra che i nostri genitori fossero stati cresciuti col pugno di ferro.","Io sono un nipote, e l'ultima volta che l'avevo visto era sei anni fa, quando ero un alunno dalle elementari, perciò non ricordo di essere stato picchiato da lui, ma apparentemente i nostri genitori erano stati educati con il pugno di ferro.","Como soy uno de los nietos y no me he encontrado con la familia desde la escuela primaria, no tengo ningún recuerdo de haber sido golpeado, pero parece ser que nuestros padres fueron criados con un puño de hierro.",ﺑﺼﻔﺘﻲ ﺃﺣﺪ ﺍﻷﺣﻔﺎﺩ ﻭﻟﻢ ﺃﻗﺎﺑﻞ ﺍﻟﻌﺎﺋﻠﺔ ﻣﻨﺬ ﺍﻟﻤﺪﺭﺳﺔ ﺍﻻﺑﺘﺪﺍﺋﻴﺔ، ﻟﻢ ﺃﺗﺬﻛﺮ ﺃﻧﻨﻲ ﺗﻌﺮﺿﺖ ﻟﻠﻀﺮﺏ، ﻟﻜﻦ ﻳﻈﻬﺮ ﺃﻥ ﺁﺑﺎﺀﻧﺎ ﻗﺪ ﺗﺮﺑﻮﺍ ﺑﻘﺒﻀﺔ ﺣﺪﻳﺪﻳﺔ.,"...Because I'm just his grandkid, and haven't met him since I was in elementary school six years ago, I don't remember ever having been beaten by him, but it seems that our parents were raised with an iron fist.","...Sebagai cucu yang terakhir bertemu enam tahun lalu saat SD, aku tidak ingat pernah dipukulinya, tapi katanya orang tua kami dibesarkan dengan keras.","...Ben sadece torunu olduğum ve altı yıl önce ilkokula başladığımdan beri onunla tanışmadığım için, ondan dayak yediğimi hiç hatırlamıyorum, ancak görünen o ki ebeveynlerimiz demir yumruklarla yetiştirilmiş."
,"That earlier conversation between my dad and Uncle Krauss, about who should go try to convince Grandfather to come out, seems oddly funny if you take this into account.","That earlier conversation between my dad and Uncle Krauss, about who should go convince Grandfather to come down, seems pretty darn funny once you know their background. ", That earlier conversation between my father and Krauss oji-san about who should go try to convince Grandfather to come out seems oddly funny if we take this into account.,さっきの、不機嫌な祖父さまをお前が説得に行くのかという、蔵臼伯父さんとウチの親父のやり取りを、そういう裏を知った上で聞いてみると非常に微笑ましくなっちまうわけさ。,さっきの、不機嫌な祖父さまをお前が説得に行くのかという、蔵臼伯父さんとウチの親父のやり取りを、そういう裏を知った上で聞いてみると非常に微笑ましくなっちまうわけさ。,"Случившийся ранее разговор между моим отцом и дядей Крауссом о том, кому следует попытаться убедить дедушку, кажется странно смешным, если принять это во внимание.","Aquela conversa agora há pouco entre meu pai e o tio Krauss, sobre quem iria ir convencê‐lo a sair de seu estúdio, é estranhamente engraçada se você levar isso em conta.",刚才藏臼伯父和我爸之间，不是有过一段“你自己去把心情不好的爷爷请下来”的对话吗？知道内情后再听那段对话就显得很好玩了。,剛才藏臼伯父和我爸之間，不是有過一段“你自己去把心情不好的爺爺請下來”的對話嗎？知道內情後再聽那段對話就顯得很好玩了。,"Quella conversazione di prima tra mio Padre e Krauss oji-san a proposito di chi avrebbe dovuto andare a convincere il Nonno ad uscire, sembra stranamente divertente se teniamo presente questo.","Conoscendo i loro trascorsi, quella conversazione di prima tra mio padre e lo zio Klaus, riguardo a chi sarebbe andato a convincere quello scorbutico del nonno ad uscire, sembrava molto buffa.","Aquella conversación de antes entre mi padre y el tío Krauss sobre quién debía intentar convencer al abuelo de que salga, parece extrañamente divertida si tomamos eso en cuenta.","ﺗﻠﻚ ﺍﻟﻤﺤﺎﺩﺛﺔ ﺍﻟﺴﺎﺑﻘﺔ ﺑﻴﻦ ﺃﺑﻲ ﻭﺍﻟﻌﻢ ﻛﺮﺍﻭﺱ,ﺣﻮﻝ ﻣﻦ ﻳﺠﺐ ﺃﻥ ﻳﺬﻫﺐ ﻟﻴﻘﻨﻊ ﺟﺪﻱ ﺑﺎﻻﻧﻀﻤﺎﻡ ﺇﻟﻴﻨﺎ، ﺑﺪﺕ ﻣﻀﺤﻜﺔ ﺑﺸﻜﻞ ﻏﺮﻳﺐ ﺇﺫﺍ ﺃﺧﺬﻧﺎ ﻫﺬﺍ ﻓﻲ ﺍﻻﻋﺘﺒﺎﺭ.","That earlier conversation between my dad and Uncle Krauss, about who should go try to convince Grandfather to come out, seems oddly funny if you take this into account.","Percakapan tadi antara ayahku dan Paman Krauss tentang siapa yang harus membujuk Kakek keluar, jadi lucu kalau dipikir-pikir.","Babam ve Krauss Amca arasındaki şu konuşma, Büyükbabayı ortaya çıkması için kimin ikna etmesi gerektiği konusu, bunu dikkate alırsanız garip bir şekilde komik görünüyor."
